电话 呃我我想问一下为什么这个手机的流量不能用 
哎我问一下那可不可以帮我开通一个那个三十块钱五百兆的那个流量包 呃这个月的吗这个月的流量包 
刚才我办理一个家庭家庭网那个都多加一个号码 幺八零零 
钱好就是我刚才不小心把流量超了然后可以给我就是办一个套餐然后再把话费充一次吗 你看一下我超了多少 
哎你好可以可不可以帮我开通应急服务 噢您好那您这边如果说是想要开机的话呢那我们这边要那个 
服务 诶我那电话停机了帮我临时开通了没有在手机上那 
好帮我开通两城一家 哎等会儿哦 
喂您好 你好诶你帮我开通一个手另外一个手机号码的那个额香港的那个流量啊流量包啊噢好的 
诶请问我这个办两城一家现在先帮我开通可以吗 哦我现在一个月当月五月份的时候到广东是还有啊 
你你那个流流量包给我加二十八 呃对对对对 
那噢 哎你好帮我开通那个十块钱的呃流量 
哎你好就是我因为我这个这个名字吗就是我另外一个电话那我要把它那个八号那个就是那个家庭家庭网这个要怎么来操作 对对对但是也是用我的领是那个开通的 
嗯你好哎请讲这个本机号码帮我开通两城一家上海 噢不需要了呢 
帮我开通十元流量加油包 帮我申请一次性的 
你好帮我手机帮我办一下十八块钱套餐呀 啊对就一百分钟一百兆流量的 
诶你好那就是那个加家庭网要加一个人你把号码告诉我幺五七 五九五六 
哎你好呃我想我办一下流量套餐 呃 
您好请说嗯麻烦你帮我开通那个流量包大概需要多少的流量呢 这个这个月嗯嗯恩这个月的我看一下啊嗯其他问题吗 
噢我想叫你帮我那个呃加油包开通二十块钱嘛 嗯可以 
上次跟我说的那怎么办那个呃不五兆的是吧什么五兆带流量的 对啊 
噢帮我那个嗯流量包二十块钱 通 
诶你帮我输入一个家庭号码 嗯嗯哪里 
我开通什么啊 麻烦你帮我本机开通四g已经高清通话 
喂嗯帮我本机开通一下那个那个那个国际漫游啊 这边有开通了是吧 
嗯这个短信功能帮我开通是吧 好好 
你好你帮我那个一个号码开通一下泉州这个两城 到现在全国接听已经免费的时候 
喂你好呃其他的这个号码开通那个小港澳国际漫游的 噢好好 
您好很高兴为您服务喂你好能可以帮我开通一个上网流量吗 诶对 
诶小妹帮我开通那个十块钱一百兆的流量呢 这个月用下个月自动取消诶下个月自动取消的对对对对那帮您开好了可以了哈请问可以可以可以帮您的嗯没有没有了 
我想开一个流量包 对就加油包怎么怎么收费的 
因为我流量户主流量二十怎么 那现在流量完了我要补充包啊 
您好请讲发过去我想嗯诶帮我转一下那个我的手机要转到那个自动怎么帮我查一下 你把那个开的也发给我一个信息发发给我 
诶你好帮我帮我办办个流量包吧 不够用你看一下我那个流量还剩多少 
麻烦你给我看一下那个国际漫游 可以 
哎你好 我这张卡那个现我现在人在外地吗想那个流量够用稍讲请帮我我天可能说有一个是半年六十的六g啊是吧 
我想 想问一下我要办这个八元套餐 
嗯嗯 喂你好 
你好帮我开通一下流量对 呃 
喂你好 你好嗯那你帮我弄一下这个两城一家福鼎政府福州的两城一家 
诶你好呃这个月给我给我呃就是接下给我办一个那个十元那个流量包 嗯先扣费的是吗这个是吗 
那个能不能帮我把这张卡的移动数据开关开一下 没服务密码 
很高兴 啊我想帮我加一组号码到亲情网里面 
哎你好我想开通那个全国可以都可以用的流量包两百兆的 今天呃五百零四兆 
喂你好 哎我这个没开通比如说有时候人家打进来我在通话中提示的提示这个吗 
我那个嗯那个信号一千多分你能不能帮我换就话费 你那个现在那个里面就可以换成我这边是觉得差 
你好我的家庭号再加一个号码 好吧噢幺幺八七 
唉呀 帮我开一个一百八十天六g流量的那个楼六十块六六六十块钱六g的那个流量套餐业务我这边帮您本机直接开机即生效噢好好好好好您稍等 
因为我有个号码要开那个国际漫游 知道 
哎你好 帮美女帮我开通一下两城一家到福州的 
我要去金门你履行吗然后我想开通那个漫游功能 噢那个是开一整个月还是说只开一点的这一种 
哎你好就是我麻烦你帮我开通那个就是十块钱一个月那个那个什么流量流量包吧 就是每个月噢就这个月他就是用完了然后有用就有算嘛对不对 
喂你好 办理那个流量套餐 
喂你好 我我想开通泉州的两城一家个月 
喂你好诶你帮我这个开通国际长途漳州 对对对我要到外地去你要没费用了帮我开通就可以了噢 
啊我想那个帮我那个流量包帮我存六十块钱的再再一次 对然后你帮我下个月那个办那个八十八元不是有五五个g是不是 
呃给我开通个加油包 呃还有多少的 
喂美女你好我就想跟你说一声帮我开一g外的流量 诶这一个月使用的吧噢噢好稍等一下你不是但是我就说现在我的手机里面还有一g多流量但是在外地能不能用 
你好帮我开通我的彩铃功能谢谢 呃 
麻烦帮我开通一下那个十块钱的流量 什么十块钱一个g啊扣话费上个月已经扣的嗯嗯 
啊你好嗯可以帮我呃开一个那个流量包吗 啊对没错 
帮我开通应该每月十块的流量套餐 呃对 
那个我想办理一下那个家庭套餐就是那个家庭网的 呃对 
很高兴为您服务哎你好帮我开那个五十块钱一千条短信的那个返还 噢谢谢啊 

你好能不能帮我开通一个流量补充包啊 十块钱一百兆 
你好我需要开那个流量套餐 哎那个半年是的那个流量最多的 
呃我要开通流量呀 对稍等一下我看一下 
不能上哎你好帮我那个那个送流量是怎么为您 就是说要半年优惠的流量噢 
喂我想办理有一个套餐是十八块钱的送一百兆流量那个 等于十八块的这个 
喂你好帮我开机那个国际都国际漫游都可以 已经开通了是吧 
啊您好请帮我办一下那个港澳三天游的那个呃三十元流量六十八块现们对 好的 
您好请说刚刚搬楼下嘛 开两个十块钱加油包包月两个十块钱加油包包好的好的 
呃帮我加一个家庭号 对 
你好恩你好请讲那个我明天要退游戏是到那个马来西亚啊我想办理那个开通国际办理要不要费用呢要不要收费呢 对 
喂 也不会本机为什么啊然后拨拨出去 
这个肯定是买的就是没有四g四g上网那个信号啊帮我上网功能开 知道了我问一下呃不需还要吗对因为说不要本机不要他机才呀 
你帮我申请一个那个什么五十块钱六十几的六g的还有什么那个 啊这样你帮我申请 
你好比如说你你现在可以帮我 你们最近不是在搞那个流量包活动吗说六十块钱六个g的 
嗯 哎你好我想把我这个本机里面的那个积分然后转到呃我其他的那个 
哎你好麻烦你帮我办理一下十块一百mp九 它这个月现在开始 
您好请讲噢你可不可以帮我就是说充值一百兆的流量十块钱的那种有吗对呀有十块一百兆加油包马上生效下个月自动取消现在就给您开是吧是 再见行 
噢我想就是因为这个月流量好像用完了哈然后我想买买流量 二十五日一千兆 
帮我本机的那个本机的那个什么短信功能帮我立即开通一下吧 对呀 
你好那要开通一下流量办 我我先先你先帮我看一下我那个说省内流量还有没有还有国内流量啊肯定还有没事了都没有流量了 
喂你好美女嗯嗯现在可不可以买那个呃六十块六百兆的流量了 嗯 
呃你帮帮我查询一下说那个我那个呃在国外的无限量流量是不是到昨天已经呃 啊我想再细十八号一天 
你好请讲你好我要那个办理流量你可不可以帮忙处理一下 对对对 
嗯现在流量包还兑多少钱呢我就想用了半个月用月底会停嗯嗯 噢 
喂你好呃我想嗯嗯我想添加一个亲情号码呃然后再查一下我之前的亲情号码移动有几个费吧 诶可以发短信到我手机吗 
喂你好帮我开通一下来电提醒一个 这个吗对对对对对对它 
你好 帮我请问一下我本机都的话开通那个呃长途那个就是国际长途没了 
你好您说嗯我不会包那个十十块钱的流量 可以改啊 
要帮我开通一下国际漫游 好的 
嗯 
诶喂你好我这个任我用的这个一三八不是可以开通那个同城的嘛你帮我看一下呗下班前的 啊对不用另外付费噢 
你好帮我开通一下那个港澳开的 对对对然后还有那个流量三十分钟无限量用那个 
啊我这流量在营销能帮我开流量套餐 等 
嗯 哎就帮我开通一下那个流量包 
喂喂 啊你那那个流量怎么怎么给订房订流量那个流量 
您好很高兴为您服务呃您好我想开通一个国际漫游你好 呃呃就是我主要使用流量就是接接听电话可能会有一点接听电话但是非常少所以说我想办那个 
幺四零 给我加那个一百兆四十块钱的那个流量啊 
呃你帮我开一个流量套餐了 啊 
帮我开一个一百块钱两千条短信短信包 诶师傅弄好一百的关闭交费没有刚才你们那个名字啊 
这个不是有晚间的那个流量包的 对啊 
哎你好我这手机要开通两城一家哎你帮我看一下 我这个全国接听都免费是不是 
我想咨询一下我想添加那个家庭成员那个我要怎么添加添加一个号码 噢噢好的那你帮我添加一下可以呀就是我现在是主号对吧 
诶你好请问下就把那个一个小时的流量套餐包啊 啊谢谢了 
交了喂你好诶我想开通一下那个全球漫游 全球全球 
我 喂你好呃我想问一下我喂 
你好帮我开通那个我这个月消费完了吗现在 嗯 
喂你好请您帮我申请那个动漫包 呃那个动漫包了五百就开通了下个月生效不是啊删除啊 
诶我想请问一下我这个流如果六个g可以在通话的时候也都不能办理是吧 啊对啊怎么上不了 
你好哎问一下我想办办那个八八套餐都 就那个怎么送五g流量的然后它 
你好呃麻烦你帮我那个另外一部手机开通一下那个港澳台的那个 我没有 
帮我这手机开通港澳游以前的那个 通话也有 
我只要办了一个买流量是可以买吗 没有啊不是我想帮帮帮我老婆包月流量 
我流量买十块 块帮您 
你好帮我开通一下港澳漫游 什么 
噢那就帮我开通十块钱那个流量包 然后搞的嗯 
呃帮我这个帮我开一下漫游的 这个就 
喂你好那个麻烦你帮我开通一下两城一家吗 二二是吧噢嗯行 
诶你好那个呃想开通那个港澳漫游三天的那个 再查一下一个水呃它这个它这个电话这个电话是有漫游的吧 
喂哎你你我跟你讲噢我这个手机这个号码要给我开通那个来电显示 对对对现在我还没有好 
呃您好你帮我这个都免那二十块钱流量多少二十块钱的 办理不了啊 
那个你帮我办一下这呃流量 你你你有多少钱的 
你好请帮我开通一下就是流量加油包 一直办 
呃您好我我要开通一个加油包 二号一百六十块的 
喂你好诶就是我流量不够了啊你帮我申请一下好吧 啊现在我这个这个哎现在然后都没有哪个字他对 
喂你好资费我想问一下我想那个就是我现在这个校园的wifi用超过六十个g他说现在要用再重新开通 诶 
喂你好 帮我把这个号码开通那种嗯叫做什么就免打扰的那种模式啊就是人家电脑拨不进来的对 
你好 你好帮我开通一下那个流量加油包现在是多少钱呢 
没有啊帮我这个号码家庭网加入这个家庭网吗家庭网里面添加一个号码是吗对交了就可以啦加五五六吗 那个号码多少啊幺幺五七幺五元没给我 
喂你好 哎请你帮我开一下国际漫游的业务 
诶你好 你帮我查一下这个流量套餐什么情况我怎么跟那个都收到网上标准的这个话费 
嗯麻烦你帮我开通那个套餐我这个套餐是不是用的流量都用完了 就完了那呃我帮我开通十块钱的那个 
喂你好帮我这个手机那个开通国际漫游 诶好 
嗯 哎你好哎您好麻烦你嗯你帮我开通一下香港的漫游 
你好呃我想要办那个流量 嗯它我刚刚有打电话然后他们说是有一个一个g三十块钱的对吗呃有 
喂 那你麻烦你帮我办一下流量吗 
稍等一下 喂你好 
你好帮我开国际漫游功能 喂 
呃你好啊你好我想问一下可不可以帮我开通一下来电提醒我我不小心小票 噢您密码知道吗什么 
诶您好我想办理一下那个全国的流量这样帮我 噢这样子嗯用微信被还是用短信吧 
哎你好麻烦你帮我申请一下那个十元流量加油包一下 恩好的 
喂你好我想申请那个呃呃那个新飞享八十八套餐 嗯 
你好帮我开通一下一百块钱两千条的这个短信 那个我们这个余额是多少 
嗯你帮我帮我开通一下那个六十块钱六个g的 没有没有 
喂你好 那那个这种地方哎那个信息发手机那边能办理 
你帮我办一个那个就是有时候手机没信号啊还有就是接不到电话的那个电话转移 嗯嗯好 
嗯 你好我想那个问一下我去香港的话我要开想开通那个国际呃是怎么样的 
呃喂你这个就是我这个号码你能帮我开通那个两城一家吗 不是全国通用然后我这个流量的话 
呃您好呃我要那个开通一下那个什么安心就是流量加油包还是安心帮我就十块钱一百兆嘛然后就是这个月用下个月就不用的 恩对 
喂你好 呃麻烦你帮我开通一下那个六个g 
你帮我开这个号码开通那个国际漫游 噢韩国的黄果树 
喂你好 诶你帮我这个手机这个号码的开通这个国际漫游 
哎你好那个麻烦你给我办一个那个套餐六十块六g的 噢好好好好 
呃您好我想开一个加油包十块钱的 噢好谢谢噢 
诶那个我要定一个流量包 啊对 
呃您好麻烦你帮我开通两城一家本机是吗不用开两城一家 啊不用了啊呃对啊好谢谢啊嗯不客气还有什么可以帮您啊不需要谢谢啊不客气祝您阖家幸福 
哎早上好请问一下因为我这个月已经有办过了十块钱的流量我现在还想再办他不是说有一个最高的是三十块五百兆的嘛是吧 噢可以啊你给我开一下吗 
您好请说诶你好我这边是这样子我老婆那个昨天不小心把自己来电显示给关掉了你这个能不能重新帮忙开一下呃可以的一下重新开需要钱吗因为它这个套餐里面本身就还有来电显示 知道诶那哎的 
你能帮我办理那个六十块钱六兆的那个那个流量 噢行 
喂 噢你帮我那个开通一下就是那个电话进来拦截以短信回复 
一下我想那个做一个那个加流量加油包那十块钱那个 噢那不不要再申请了自动不不是啊是那个一个月十块钱多少兆二十块钱一百兆 
对 你好请帮我开一下二十元流量 
呃你好哎麻烦在全球通啊 帮我开一下全球通的套餐 
哎你好我想办办一个十块钱的那个流量 是吧好 
我我我我想问一下我想办那个流量啊 我我要换那个六 
喂你好帮我开十块钱流量加油包 电视下个月自动取消不了 
恩你好 噢帮我那个开开那个两城一家 
四十元直 哎呦喂您好我想开一个流量包 
嗯麻烦你帮我的流量包十块的一下 嗯下个月自动过来我用到月底是不是 
呃你好请问一下就说这个流量 买一g的流量 
喂您好麻烦您帮我开通一下那个国际漫游包 开流量包 
那个呃我要办那个流量包 呃十元的那个流量包 
呃那个那现在有呃国内呃流量的套餐之类的 噢那太多了那我就买个二三十块钱的那种 
你好呃你好我要买流量 呃差不多五百兆的 
帮我开通一下厦门的无限流量套餐吧 不是二十块呀 
喂你好 呃帮我加一个流量包 
请问诶有没有那种啊我现在要开通流量吗因为我现在回到国内的吗然后用到用到月底吧有这样的边的餐包吧 三十块钱多少g啊 
那个帮我办两城一家 还有个帮我转一下业务 
可以帮我开通到福州的两城一家吗 噢不用漫游费的 
帮我订那个流量 那就不客 
啊喂你好麻烦你帮我申请一下那个十块钱一百兆的那个零流量加油包 对呀就这个月生效下个月取消的那种 
喂你好 我现在要不够用了怎么办我在省外我也我也不知道怎么在网上充怎么 
您好请讲诶这个流量满十块 
那个帮我开一个那个免打扰模式 对对对 
哎你好我那个有个流量用完了帮我再开通一下那个六十六个g的好吗 嗯嗯 
诶喂你好可以帮我开通一下那个什么六十元六g的那个嗯消费什么东西的 对对然后它这个他这个有没有说使用期限的就是一百八十天内但是说内把它用的没有没没有说到期前多少就断掉了没有没有 
啊你好我想开通一下全球通的请呃怎么开通啊 本来是在福建的嘛然后附件然后我现在人在广东我就是想看看有什么比较适合的套餐 
嗯帮我那个订那个六十六十块钱六六个g啊 呃这个帮我订一个 
喂你好请帮我办理一下就是那个流量包现在不是有搞活动不是五十元五g的 六十元六g 
对您好请讲你好我那个想开通一下那个彩铃里面就是给你们打电话会有换歌的我想问一下这怎么开啊嗯彩铃功能的话我们可以给您开通一个月功能费五块钱呃那比如说现在已经是十月十六号了那也是按一个月来收嘛对也是按一个月来收它的费用是分摊到每天来扣月末补差的噢但是每天扣的是吧嗯对但是月末要补偿月末补差什么那也就是说一天一天扣扣到月底可能才扣了您两块五但是月底的话会把剩下的两块五被扣掉就一个月不管你用几天都是扣您五块钱噢这样子啊行啊那那开通的话怎么你你帮我看那比如说哥我去哪里下载哪里选择 就是那个谁的话是在哪里呢彩铃网站 
喂你好诶我那个流量共享要开通一下 有 
呃请问我再充十块钱的流量套餐十块钱一百兆请稍等噢好的好的好好谢谢啊 业务 
喂你好诶您好六月二十八号没有你帮我就这个流量流量这个活动那个移动的 好的 
诶你好现在马上帮我开通两城一家不够跟莆田的 噢我接听免费的是吧 
你好 呃马上开通下个月会自动取消啊 
你好帮我开一个流量包 噢行 
诶帮我开通的十元的流量好不好 不是啊对啊现在都离开了 
帮我流量加三百一十块了 啊麻烦我现在马上就开始可以用了 
呃喂你好呃我想开通开通一下那个流量加油包你那边能办理吗 嗯嗯可以可以嗯好那行 
喂你好帮我开通了本机那个国际漫游啊 这个改的啊没有 
你好我想要加一下那个流量啊 那是什么优惠的 
诶我办理一下那个龙岩跟福州的两城一家 呃我我这个是全球通那个 
你好我想开通一下那个那个六g六十元的那个半年半年的流量套餐 恩对 
诶你好帮我开个国际漫游一下 稍等一下 
诶你好帮我帮本机的那个 不是都就是每个月都有一个g 
啊我想开通一下那个省外流量开通一点 嗯五百五百多兆是吧 
诶你好 那个麻烦你帮我开通一下那个发明的那个一五 
联通 那个我想开通一下来了所有短信港澳台那个长途漫游 
嗯嗯你说哎嗯那个那什么来电提醒能不能帮我开通 来电显示人已经有区别 
诶你帮我那个短信功能开通一下 不要啊啊 
啊喂你好 那个我现在需要拨打一个香港的电话那我手机没有开通这个漫游业务你能不能帮我开一下噢好您稍等我需要我充值吗或者是要多少钱以上的话费才能开通吗不用您这个老客户现在可以帮您开您稍等一下好那麻烦您帮我开一下好 
还有什么 噢你好我这个月流量都用不够跟你们买一点流量 
一下 他你帮我办理一下那个六十元的那个流量套餐六七 
哎 等那个那个那个十块钱流量帮我加一下 
哎你好帮我开通下来电提醒 应该是用卡 
帮我开那个流量共享 什么密码 
喂你好 那个我要开通一个三百兆什么三百兆那个首月交四月份兆的流量 
那个帮我开那个帮我紧急开机一下 啊好 
喂您好我想订一个六呃六g的流量套餐 好我知道我知道开了嗯 
诶 帮我开一个流量套餐吗 
喂你好 开通一下那个香港都没每天两块九的 
喂你好 嗯请你帮我开通一个十块钱的加油包吧 
您好很高兴为您服务那也不会不给我开一个那个流量就是国际的五天包五天一百一十八这个 泰国 
嗯嗯嗯好的 诶我问一下我这个本机套餐下个月你给我开通那个二零元那个新飞享套餐的能不能开 
诶就是我这个号码就是嗯再加一个三十块的那个流量套餐一个月要多少钱的那种 呃总共八十八是吧 
呃帮我开通一下加油包呗 
喂 你好我这个月份那个买六g的什么那个流量还是用完了 
开通一个那个 
喂你好诶喂你好呃加个加油包里面流量包 呃三十块的是不是 
喂你好可以就是我要帮人家开通一下那个港澳台漫游的那个网络 嗯幺八二五零 
嗯嗯喂你好哎你好我想办一下加油包 嗯还有哎 
呃您好我想订一下补充包 是国内嘛我那边一g的国内流量 
噢我想办一个那个流量包吗业务就没流量了 请问一下帮您看一下是几号啊 
诶你好你帮我开通我这个手机帮我开通一下港澳港澳吗 呃对啊我要到澳门澳门那个去香港 
喂你好帮我开那个十块钱的流量流量套餐 噢下个月就自动取消是吧然后现在可能开了马上就可以用的是吧是他对 
嗯 哎你好我想把我那个cmcc的这个那个流量恢复 
喂你好帮我开通一个那个流量的那个流量嗯 噢话费 
等 帮我开通一下那个呃十块钱的流量包 
请讲 帮我开通港澳台 
啊你帮我开通一下两城一家 
喂你好你帮我开通那个四g十块钱流量好不好 加油包对啊 
嗯请问能帮我开一个流量包吗 呃就开十块钱是一百兆对吧 
您好请说喂你好诶帮我办一个那个流量加油包一下 呃 
诶你好我用那个十元的加油包 啊好好 
噢您好我的那个流量快没了我想买流量 还有还有一g多吗 
这样子那你帮我开通流量 出来对现在套餐有什么套餐 
喂您好我想要开通了什么六g是那个那个那个套餐嘛 在 
麻烦你帮我买一下那个流量充值到的 对 
小姐你帮我这个手机开通来电显示 呃应该知道吧 
喂您好你帮我把这个号码开一下那个流量安全包吧 好的唉要多少 
喂你好 我想那个开一个全国的流量包 
喂你好诶我想帮我那个来电显示开通一下 嗯 
喂你好你帮我开通一下两城一家的 噢那我这个卡是有外地接电话打电话都是一样的吗 
你给我开通那个港澳啊查一下 哎那我现在人家身份证也没用就是那个港澳那边有有流量 
喂你好帮我这个号码开一百兆流量啊十块钱五百兆的 好好 
呃帮我开通一下那个来电显示 不知道 
我我知道诶我电话费骚扰的人帮我就是一下这些那个为陌生电话 对 
喂您好噢想要办理一下呼叫转移业务 呃就是把这个手机转到转到另外一个号码然后另外一个号码是那个江苏的号码 
帮我开通那个随十块钱一百兆的叫数据流量包 那可以 
呃您好我开通一下那个去香港呃那个服务啊 那就一天呃今天一天 
嗯嗯 噢那不要给我们去去旅游几天香港可以通过 
帮我开开开通高清语音吧 七啊就就很好来电 
哎你好呃麻烦你帮我申请一下二十元的流量流量套餐 可是我收到短信怎么是三十元的 
你好你帮我把这个电视的业务开通一下 变更变更了变更 
呃你帮我开一下那个国际漫游功能 再见一直在在哪边在国内哪里新加坡 
呃喂你好那个我就是想办一下那个来电 对 
喂麻烦你帮我帮我充个那个流量包吧 我现在好像超过了是吧 
诶帮我开通一下那个诶加油包有多少钱的 就只有一种是吧 
哎你好请帮我开通十块钱的流量大概到 这样子 
帮我那个十元的一百兆的流量包觉得那个报都帮我办理一百兆的流量对 不是那有什么包那是怎么交加油包对为什么 
我是要办理那个就是呃那个什么国际漫游那个流量包啊 我去泰国国际漫游已经开通了但是我我就是这个漫游包没有没有那个一百一十八的那种 
喂你好能不能帮我开通一下上网功能 上网开关 
喂你好我想开通一下那个六六十块钱的那种我们学校 啊对啊 
喂您好我想开通两城一家 现在全部都没有漫游的 
哎新把把我这个我这个手机那个人那个国际漫游开起来 对对对 
喂你好 呃你帮我开通那个什么不是有一个那个那个那个什么六十块那个套餐 
啊你好那个十块钱的流量包帮我加一个 噢 
你好帮我加个三十块流量 这种吗多少 
您好您好 呃我想现在你你可以开通这个月都给我加十块钱的流量包吗 
有效期是多久 能帮我开这个吧 
呃那个我想看一下这个月的因为我流量花完了我想再开一下流量 十块钱才一百兆 
啊你好想用这张卡片要申请那个月租九块嘛月租八块二十九块的 那八块给她申请吗 
你好不知道啊你好我想办一下那个来电提醒那个 不是短信是那个来电提醒 
喂 我我这个流量怎么套现了 
嗯 额你好就是我想办一个那个无限流量包它是这样就是每个月是二十嘛 
开通无限流量啊 对对 
拜拜 诶你好我要买那个六十块钱的那个套餐啊那个流量 
喂你好问一下噢我这卡是校园卡嘛所以我现在已经不在学校这套餐能不能帮我办理一个 这样 
喂你好我那个你帮我这个手机号帮我开通那个来电来电提醒 已经开了短信关机的时候人家打进来有那个呢 
您好很高兴为您服务诶你好我要开一个那个国际的一个那个一周左右那种漫游套餐 呃流量应该是流量吧 
行你叫叫嘛诶诶帮我的流量先帮我看一下看看 流量安心包 
喂诶帮我开通十元的流量包 十元 
呢那个帮我十块钱流量开一下吧啊好稍等 呃好像没错合算的流量 
嗯那不给我办个漫游马来西亚跟新加坡的诶 可以吧已经开了啊 
那要到那个加油包加一个 我有安心包是吧 
啊你帮我这个开通国际漫游一下 嗯 
回家的时候那边噢 嗯 
噢是现在都现在都取消漫游了噢 噢好的好的好谢谢啊 
喂你好你帮我开开开一下那个有十四块钱一百兆的好的 那好的好的谢谢啊谢谢啊 
您好请说 呃给您马上看一下好您的套餐是五十八的您是说再加一个什么套餐 
你好我想开个流量包 啊好的帮我开这个吧十三块多得多 
对恩街道 噢喂你好哎你好我想申请那个十块的那个流量包 
那个我办两城一家两块一条 呃 
你帮我开一个流量包 嗯 
