这种卡 您好请说 哎你工号多少你关机或请说 呃您好那这边的话有什么可以帮您呢 
你好请说 呃喂你好诶您好请讲嗯我之前那个积分兑换的那些礼品然后它那个去哪里查呀 积分呃您是通过积分商城网站兑换的是吗嗯是的是说还没有配送到还是什么 嗯没有被送到我也不知道 
噢您好请说 哎我要出了这么呃您说是什么问题我要去投诉那个是怎么转后台呢 哦就我这边直接帮您把您要投诉的问题上报能不能上级部门去您告诉我一下吧 哦我就是说那个套餐的事情能不能直接给我转后台 
您好请讲 你好我原来好像这个号码有预约装宽带我想问一下星期五上午可以去吗 呃宽带的师傅有跟您电话联系了吗 没有因为我原来有做的比较久你能帮我需要打回个电话先你能帮我下个单吗 
您好请讲 你好刚才给我就是说今天又投诉了很多次了吗 嗯嗯 刚才刚才有一个给我打电话的时候我也扣的很快跟他说他也肯定很含多少跟我说然后最后直接就表现挂掉了上次给我打电话给我那个工号多少我忘记了他报的太快 
呃您好请说 你好我想问一下那个和支付是你们这边负责的吗 啊对是关于什么问题吗 我想问一下就是因为我这不是厦门卡然后说是开学一段时间是有返还的然后为什么就 
您好请讲诶你好我想 叫你帮我查一下那个掺和李木汽车销售销售电话有没有 呃林木汽车销售有限公司 二零三五的是卖新卡的 
您好请您说 喂您好我想问一下那个宁德屏南现在营业厅在哪里 好的那马上帮您去找一下 到期 
您好请说 噢你好我想问一下就是噢我在这边的移动就是营业厅头如果我想投诉那个业务员哼是要打哪个电话 嗯我们幺零零八六就是对外的服务窗口如果说营业厅这边有服务质量问题的话我们可以帮您登记投诉那您是具体出现什么问题呢 呃就是那个嗯我跟你讲是在那个就是呃上午然后五一九路的那个营业厅然后那个营业员的那个比那个就是那个号码是那个什么八零五三 
您好请讲您好电话已接通很抱歉听不到您声音祝您先生您好 为您转移呃存的购物卷 您什么问题要转接客服经理 查询本机的客户经理 
您好请说 怎么投诉 请问要投诉什么问题 那个营业厅办给我办那个业务 
对您好请说您好我想问一下我这个营业厅下班了没有噢你要到哪家营业厅我看一下 就是有移动的吗移动的 啊我知道因为每家营业厅上班时间不一样您是在泉州哪个地方 呃就是我要把那个账单接通泉州市去那个营业厅才可以 
您好请讲 那你本月的固定 有什么业务问题吗这里提供移动业务咨询平台有移动业务问题请告知 可以本地的客户经理 
嗯嗯哎您好高兴服务您好 诶你好诶我想人家三六零啊那个客服电话是多少啊 三六零是吧您稍等一下马上查询 好的 
密码嗯您好请讲 喂您好诶我想咨询一下噢刚才有一个电话号码是幺五久吧五九二八六六八的这个电话幺二五久然后呢八五九二八六六八这个电话号码是你们移动公司的吗 稍等我查一下不是啊他是打电话给您说什么呢 它这时候又打个电话给我讲说说什么什么它是什么营业厅的你那个连移动公司营业厅的他说把我的套餐改为新版的五十八元的什么套餐什么什么什么三千兆什么什么什么的我说我没有啊我是三十八元的套餐呢然后他就挂断的电话我说这个到底是不是诈骗 
您好 喂请问一下那个posl的那个呃电视维修服务中心号码多少啊 您是家里的互联网电视不能用是吗 是电视里面问题了我走的为什么提示儿那个售后服务的电话 
您好请讲你好我查一下厦门海沧啊龙海广场你们这个营业厅的电话 我们这边没有登记营业厅电话 那你们营业厅一般几点关门 嗯海沧这边我查一下稍等 
您好高兴为您服务 你好嗯我看一下沙县三明到分钟的动车票还有没有用这个嗯 送车票这个我们看不到啊动车票您要打铁六的客服问一下 噢好谢谢 
好的您好请讲 你好我想请问一下你们中国移动的营业厅在什么地方 你现在人在哪里 厦门吗楼湖里区吗龙路 
很高兴为您服务有什么可以帮您 你好就是请问一下就是知不知道那个校讯通他的客服电话 校讯通的客服电话那我帮您查询一下 呃好谢谢 
您好请问您是要新装宽带吗 你还能查到之前的那个一g的那个刚刚 您这边要进行申请宽带已经是吗 帮我申请了然后工作人员有过来因为之前我这从启你那边移动那个新春路那里吗那然后他们那边工作人员把那个关了拿走了那现在就是说是我这边又没有 
您好高兴为您服务 喂您好你帮我查一下那个就是说是什么苏州是有一个平江区的对不对 呃江苏省苏州市是吗 对它那个平江区是在那个苏州的怎么去啊有什么五星区啊怎么吴忠箱像成功书啊重新你帮我查一下是属于哪个区的就是说还有在哪哪个是吧因为说我那个你这边钱那个淘淘宝的那地址听不下去这个是去机专线平江区是在什么区里面的苏州的怎么去 
您好很高兴为您服务 唉你好我问一下我打客户经理电话号码还有多少 噢那我客户经理我帮您接到我们的客户经理那个部门您问一下唉好的好的马小姐问题不客气我将电话转专席处理请稍等 
很高兴服务 唉你好这边是中国移动是吧 对上海移动 唉上海移动问一下那个宽带业务是这边可以 
您好很高兴为您服务 唉你好就是我想查一下我们公司那个集团业务吗这边有没有客户经理呀 利息只能帮您 嗯 
您好很高兴服务 喂你好你好请问一下刚才有个就是他说是你们的业务也打电话说我这个呃手机的套餐到期了吧叫我发送什么到他也要到那里会不会有这样的诈骗 是今天给您打的电话吗先生 四零二幺三七三幺幺三八五二 
不客气 您好很高兴为您服务 唉你好能不能帮我查一下上海松江区叶先生这边那个宽带一个那个维修人员的电话号码嗯嗯你能帮我查一下我跟你说这个地址能查到吗 您把地址发给我 
您好很高兴服务 哎我问一下你那个期限路上那个营业厅现在还开着吧七星路是吗就是说我们这十九号请您稍等帮您查看一下啊四 新装的新对吧 对 
支付宝 您好很高兴服务 喂你好我想咨询一下就是我现在在浦东新区上普路人员南路这个地方你这里最近的 哦 
您好很高兴您服务 喂你好我想问一下就是你这里能帮我查到就是呃我就想查呃前两天续约的然后昨天然后昨天正常应该是重新录这个宽带但是那个就是来安装的师傅给我打电话说那个现在没有设备吗然后那个安装师傅电话我也找不到了我想看一下你这个帮我联系到那个安装的这个手手机号能帮我查到吗 输入手机号码是没有的您先把当时办理宽带手机号码报一下我帮您先看 幺五九 
请您好很高兴为您服务 我想问一下今天那个上海这边的营业厅今天移动公司上班吗 啊哪一家 嗯那个呃鲁鲁鲁汇的 
好很高兴为您服务 嗯荷包专线的电话号码是多少 所以支付对吧您稍等不要挂机我帮您转过去 我转过去没人接呀 
您好很高兴为您服务 喂你好你帮我看一下中国移动营业厅今天呃就是靠近靠近这个人家苑附近的有什么营业厅吗有开门的吗 靠近哪里 客人浦建路浦建路就叫我付掉了这对对的浦东新区的噢 
您好很高兴服务 哎呃你好请帮我查询一下海灵市哪个营业厅可以用护照就是购买那个呃sim卡的 海您的话您要打回您这一个客服进行咨询一下看您确认您知道吗 呃我知道 
您好兴为您服务您好啊姓 现在我想问一下那个安全是登一个移动公司什么地什么路上面 嗯就是哪条 路哪个g嘛它安全嘉定区安亭镇吗 
您好很高兴为您服务 唉小姐你好我想办理一下过户手续呃我这边是那个上海市杨浦区黄兴路的你能帮我查一下附近的可以办理的那个网点吗 是黄浦区对吧 杨浦区 
为您服务 唉先生 多少钱 可以唉我我想问一下我怎么我就是就是那呃电信的电信营业厅 
您好兴为您服务 唉你好那个我是北京的用户我的sim卡坏了哪哪个营业厅可以办那个异地的北京的这张卡换 市话长途市话路上面几汇区啊徐汇是实话六对 那么地址发给我一下吗 
您好很高兴为您服务 唉你好你这是广西移动吗 呃不是这里上海移动你要你要打广西的话加区号打幺零零八六收电话费 我也打那个怎么一直转到这个上海二幺不要挂七号的 
很高兴为您服务 那我现在在城乡路宝登陆我想问一下咨询自己到营业网点吗 大概是在什么路上 以前是三百左右四川北路关了四川北路桥江路你现在 
高兴为您服务您好 呃您好那个刚刚有一个幺三九开头的手机号码联系我说是移动宽带赠送我想核实一下是不是有这个 去营业厅打给您的 啊 
您好很高兴为您服务呃我这边是这个上海的移动是吧我想问一下就是呃上海这边就是浦东新区这边有没有哪一家移动营业厅里面有大连的卡 浦东这边是吧这个民生路营业厅可以补外地卡的在银行发给您生六就是 就是就是我直接拿着身份证就可以去给我大连的卡是吗 本人带好身份证原件还需要甘心好的服务密码这些就可以去去营业厅 
为您服务 喂你好嗯麻烦你帮我查一下那个十龙路 恩 呃施工这边有个推销推销什么取消掉我要他的电话号码噢这个查不了的不是营业厅我查不到的去营业厅呀 
您好很高兴为您服务 哎请问一下我想问一下我最近的营业厅我是住在高航时间的然后我想问一下那个高考有哪几个营业厅 好呃女士咱是属于哪个区呀 浦东新区 
您好兴您服务 唉你好呃我是这样的我这个电话号码的我那个我办理了一个那个宽带业务 恩 完了后面那个对那就办的时候是还还可以专门那个座机电话费吧 
您好很高兴为您服务 呃我刚刚打过来问过了但是他发给我那个搞错了我要我就那个问一下就是国和路靠近中原路的那家营业厅具体他给我政通路过河路的噢我现在在我河路中原路嗯 参加国和路一一零五六号靠近中原路这边是吧对对对昨天晚上七点半下班我把短信发给您了唉好的好的好的还有什么帮您呢他全没了那祝生活愉快再见 
您好很高兴为您服务 喂 您好您说 呃挺麻烦你你给我回个电话好吧 
好很高兴服务 唉小姐你好刚才你们那个总他打过电话的是吧 打你电话什么时候打你电话 今天不过很呃零八卡的好像 
您好兴为您服务 呃您好就是我现在在外面然后那个手机欠费停机了我想收到那个因为我身边我现在连不了网然后身边有没有那个移动营业厅我想说怎么那个话费 微信支付宝可以充的我现在帮您流量打开去充值吧好吧 噢好谢谢密码知道吗 
您好我是预处理专席代表很高兴为您服务 你好我想找一下二四五三号那个客服代表 二四五三 嗯嗯 
您好很高兴为您服务啊唉喂你好那个可以办法找一下那个就上海可以呃g补办卡的那个店吗就有个号码现在念一下 第一次摁上海是这样的上海目前一共有四家营业厅可以办理的话就是在营业厅的信息发给您了上面有电话地址营业时间然后您要去办的话需要机主本人带身份证还要知道密码才能办理的 然后你先帮我看一下那个什么帮助一号吧因为我现在g的时候自动路五百八十一号呃五十八十一号好的好的 嗯我发给您了您自己看其他还有什么帮助您的 
您好很高兴为您服务 噢你好就是你们上次搞活动那个装宽带的话呃我电话能申请吗 电话可以申请看您小区是否有这个资源呢 呃我是那个青浦区 
很高兴为您服务 唉你好那个我那个手机遗失了然后想补办一张卡的话我想问一下哪里有营业厅的就我是在张江附近对张江附近 上海的卡掉了是吧 对对对 
您好很高兴为您服务 唉你好能帮我查一下就是啊那个营业网点就是在金海路信号附近的营业网点最近在哪里吗 金海路吗 在金海路信号附近的 
您好谢谢 喂你好 哎刚才听不到声音了请问什么问题 呃就是我刚才发那个短信不是那个叫我看那个流量是怎么说帮我换那个 
您好很高兴为您服务 唉你好那个我想查一下就是宝山大华地区的那个营业厅它那个营业时间 有没有 有没有就是说到晚上八九点的是在哪家 
很高兴为您服务 呃麻烦你帮我查一下新中路虹梅南路附近有没有移动的我营业厅啊 您在哪个区请问 呃闵行区 
您好很高兴为您服务 哎你好我想问一下就是那个我那个就是从手机密码我试试试试上次发送什么短信到那个幺零零八六 幺零六三发到幺零零八六幺零六三 幺零六三二 
您好很高兴为您服务 所以我想问一下那个丰庄那个营业厅那个系统坏了搞好了没有了 噢营业厅有没有更好这个我们查不到的我只能给您营业厅电话您可以打过去问一下 刚才给我幺三八打的没有人接 
您好很高兴为您服务 你好麻烦帮我查一下这个欲路和金沙江路这边拿有移动营业厅 稍等一下帮您看好先生感谢耐心等待有一张是祁连山南路营业厅在金沙江路两千三百零八号 普陀区祁连山的普陀区的人家附近没有吗 
喂再见 您好很高兴为您服务您好 哎你好我想请问一下我的手机掉了我想补张卡怎么不完 我这张卡是吗的是上海的卡是吗那就给您当时登记的身份证原件去上海营业厅办理就可以了 
高兴为您服务 哎你好我想问一下就是果住在浦东新区浦山路这边我想去把我的宽带就是开机我想问一下最近的营业厅办呢 邻居的地方有没有资源之前查过了吗 呃我我现在家里已经有我是要退 
可以您您好很高兴服务你好你帮我查一下你还四g信号收进去路这边的最近的那个语音营业厅网点在哪里 看一路的吧 自己用吗 七浦路是吗 
为您服务 哎我想问一下那个宽带转接的话是要多少时间你们这个 宽带转接 就是说人接吗唉对对对对对 
您好很高兴为您服务 我你好问一下我这个安徽了然后幺零零八六还是上海的我在上海的还是安徽了 这边是上海幺零零八六我刚刚网上看了一个那个套餐 二百三十八元任我用这个套餐嗯现在还有吗 
您好很高兴为您服务 哎你好我想问一下就是你们这边能不能帮我查一下上海市杨浦区平凉路迎宾路最近的移动营业厅的那个 杨浦区啊稍等帮您查一下 好的好的哦 
您好很高兴为您服务您好 喂你们这个四川北路一千五百号营业厅是不是没啦 对已经有了 那那就附近有没有营业厅了我找不到你们这个营业厅啊 
您好很高兴服务 唉我这个高速跟你们那个家里路哪里有这个移动营业厅啊 金高路对吧 新高路家庭 
您好很高兴为您服务您好 喂你们这个四川北路一千五百号营业厅是不是没啦 对已经有了 那那就附近有没有营业厅了我找不到你们这个营业厅啊 
您好很高兴为您服务 唉你好我想问一下我现在再续交费就是徐家汇的交通大学这里附近我想问问这附近有没有什么营业厅吧中国移动营业厅 徐家汇是吗 呃直接回交通大学这里 
高兴为您服务唉你好 呃我在营业呃移动营业厅办那个业务嘛然后他有推荐了一个就是那个就充充话费然后送手机的一个活动吗他不是也能送手机优惠活动啊然后他这个手机没有我想查一下附近有什么营业厅有这个手机吗爱疯七的 这个手机我只能说让您打营业厅电话问他当天有没有情况我们这边系统里是没有资料的 那我营业厅电话我查不到 
您好很高兴为您服务 你好帮我查一下 呃那个手机营业厅开通了没 那好 
您好请讲 唉你好我现在在西藏南路一千五百五十八那我这边然后我想问一下这边最近的营业厅在哪 您是个什么路上啊 西藏南路一千五百五十八弄 
您好很高兴为您服务您好 喂你们这个四川北路一千五百号营业厅是不是没啦 对已经有了 那那就附近有没有营业厅了我找不到你们这个营业厅啊 
您好很高兴服务 唉你好呃我想你帮我查一下我在那个上海徐汇区因为我知道他那个年初的时候广元西路有一张那个就是你们移动营业厅的时候见就您能不能帮我确认一下那个十几遍现在还算吗 如果在网上查不出来西路有一家四十五号官园西路四十五号一幺六八是靠近华三路我们要进行任何信息方式发给您方便您查看有的正常营业 还还在噢好的好的你发到我手机上好的谢谢你啊 
编号预处理专席代表很高兴为您服务 唉领导你好你工号多少啊 工号幺零四九 好的我们同事还是这个情况这样子的啊 
您好很高兴为您服务 哎你好我想请问一下就是我是青海的卡 我现在就是说 卡坏了我就想在上海不管在哪里补办呢 
您好很高兴为您服务唉你好 是这样的 嗯请问你是幺零零八六在里面了是吧 嗯对的没错就你帮我查一下昨天以后有一个代理上海不是是一个营业厅给我打电话说 
您好兴服务 哎是我我请问你我得朝阳路那边移动公司这个知道网上有没有啊 什么 我现在在朝阳路的同样的到我已经我前两天我要换四g卡要调试支行这个移动公司的有没有啊 
您好很高兴为您服务 哎你好我想问一下就是上海杨浦这边有没有呃移动营业厅在哪里 移动营业厅 就是 
您好很高兴服务 哎你好我想咨询一下你们那个移动营业厅啊每天下午几点钟下班呀 哪个营业厅下班时间不一样的不过大部分都是六点钟左右就下班了确认是哪一家呢我帮您查一下 好你稍等一下 
您好很高兴服务 我问一下那个麻烦你们登录到营业厅上班吗 ok上班呢不休息 噢就是我这个字我用我用当时装修吗想想换卡那个那个宽带或者那种例的话 
您好很高兴服务哎您好请讲 哎我想问一下那个长寿路那个和陕西北路交叉口 嗯 可以那个换那个就是移动补卡业务 
您好高兴为您服务 哎你好我想咨询一下刚才有一个电话显示是幺零零八五它显示这个中国移动经理是是是不是你们的 中国移动也有幺零零八五了是负责一些手机活动啊或者是签约的活动啊优惠的话话费活动包括办理四g的卡可能会有幺零零八六打出去的之前就 把我四的是吧 
您好很高兴为您服务 喂你好我就是想问一下这个就是移动嗯移动营业厅是几点下班因为我要退一下宽带 移动营业厅您要去的是哪一家呢我帮您查一下看 优惠那边的哪一个都哪个都行 
喂您好您好很高兴为您服务唉您好听得见吗 嗯可以您请说 哦我想查一下长宁区啊路营业厅的电话 长宁区新华路是吧稍等一下 
您好很高兴为您服务 哎你好我想问一下就是说杨浦区大连路附近营业厅吗 您说大连路这里有没有营业厅是吧 啊对的 
为您服务 哎你好移动是吧就是我想问一下啊呃我呢以前是铁通的用户我拥有一个铁通的那个幺四七开头的号和它对应的移动固话然后我那个sim卡掉了我现在想要去补办信用卡我要到移动的哪个营业厅去补办 你说前面那个卡丢了是吗知道完整启动部门给您问一下 一定要转全球通部门了谢谢开通过让我联系移动的部门我刚刚才打了铁通的那个客服电话 
您好很高兴为您服务 唉喂你好我是因为家我是那个中文走动长途了青岛有限公司的 对 呃是这样之前就是我们以后们对口的那个客户经理好像吃辞职了所以我想问一下现在和我们对口的那个客户经理是哪位 
您好您好您好请讲 啊我那个我那个在那个积分商城上那个呃不是呃积分加现金楼对话费吗 积分加现金嗯嗯可以啊积分商城上去的但是他是要您通过网站方式支付剩余的费用的 呃什么网站 
高兴服务喂你好您好请讲我觉得直接到过你们电话我不知道什么时间 您好 有什么电话呃你你们打过来的呀 今天给您打的吗 
您好很高兴为您服务 啊你好就是我问一下现在苹果手机有什么活动呀 就是原价购机然后签约更新钱的档次送您话费就一直还是原价买的 人家就现在现在的活动手机是几 
您好很高兴为您服务 唉你好麻烦帮我看一下呃杨浦的营业厅那个控江地区的除了工江路中江路这边一个还有那边有啊 营业厅是吧 对对 
您好很高兴服务 哎你好我想问一下啊那个是中行百联那个咱们移动营业厅在哪儿在几楼 中环百联是吗对对对您稍等帮您查看一下啊好在真光路一千二百八十八号 呃是在几楼几楼还是在几楼 
诶诶直接 您好很高兴为您服务 噢唉你好我想问一下就是在那个上海嘉定区江桥段大王卡你这边有没有什么移动营业厅 呃有的万达广场对吧您稍等啊 
为您服务您好 呃你好你我想咨询一下就是在那个这个只要定安红路这里附近有有那个最近的营业厅在哪里 刚刚宏是吧稍等安阳路然后靠近什么地区的知道吗 靠近在这场附近吧 
您好很高兴为您服务 唉你好就是那个行查得到那个办就是补卡的那个支付宝什么时候我手机卡的记录查不到的 五块的记录 啊对有这有有这个老婆 
泰国 噢 您说 提供你帮我看一下我现在呢和公路环城南路这个地方 
很高兴为您 你好我想问一下我那个是集团客户吗然后我现在每月这都是那个付费通知单给我我那个想把他改成电子发票我是哪个网点办可以弄这个东西 电子发票是要去那个申请电子邮箱的您之前邮箱有没有申请过 没有 
您好很高兴为您服务 哎你好我想问一下就是你这边是那个集团的客服是吧 嗯是的对请讲 嗯嗯我就想问一下因为全给我的客户吗发一点那个短信吗七十八一条一条的有点慢因为我有一些消息通知他们一下呃然后就想咨询咱们这边沟通一下看看有没有什么方式有时候啊比如说一个报批一下申请一下能不能有一个新发的功能因为我知道那个上次我发过一次发了大概三十兆五百咱们那个幺零零八六就把我那个屏蔽掉了短信这个功能 
您好很高兴为您服务 就是请问一下在上海这边哪里有那个补办外省的手机卡 有两家营业厅一家是长寿路营业厅还有家是是龙路营业厅我把这两家营业厅地址发给你需要本人带好身份证原件还有该卡号的服务密码可以去这两家营业厅办 噢好的谢谢啊 
您好很高兴为您服务 噢您好我是好像是这边的学生就想问一下您知道的话是附近的移动营业厅是在哪个地方吗 恩好的您是在上海市什么区啊 哦闵行区 
您好很高兴为您服务 唉你好 呃 我想办个 
很高兴为您服务 唉你好你刚才那个那个那个那个短信没有发给我 什么短信 就是那个东方路八百二十一号那个移动营业厅的电话的信息的短信 
您好很高兴为您服务喂你好你好我想问一下这个彩铃中心他那个电话服务电话是多少对幺二五三零 噢好的好的 不是两个电话都要收费的啊不是我想把这个彩铃给换掉我把这个这个这个怎么怎么收费的就按照您的正常通话费收噢幺五三七是吧对好的还有什么可以帮您吗嗯没有了祝您生活愉快再见 
您好很高兴为您服务 哎你好我想确认一下那个幺零零八五是你们移动的客户的 那个那个那个那个要要先包我是这边的电话它是一个外呼部门就专门打电话给用户说一些活动或者推荐一些 噢是的是的也是你们的号码是吧嗯 
您好很高兴为您服务您好 唉你好呃我想查询一下就是说我在国权路那个 不知道怎么弄啊 就是加个 
