这种 卡   您好 请 说
您好 很 高兴 为您服务   喂 你好 你 帮 我 看 一下 中国移动 营业厅 今天 呃 就是 靠近 靠近 这个 人家 苑 附近 的 有 什么 营业厅 吗 有 开门 的 吗
您好 很 高兴 服务   哎 呃 你好 请 帮 我 查询 一下 海灵市 哪个 营业厅 可以 用 护照 就是 购买 那个 呃 sim 卡 的
您好 兴 为您服务 您好 啊 姓   现在 我 想 问 一下 那个 安全 是 登 一个 移动 公司 什么 地 什么 路 上面
您好 很 高兴 为您服务   唉 小姐 你好 我 想 办理 一下 过户 手续 呃 我 这边 是 那个 上海市 杨浦区 黄兴路 的 你 能 帮 我查 一下 附近 的 可以 办理 的 那个 网点 吗
为您服务   唉 先生
您好 兴 为您服务   唉 你好 那个 我 是 北京 的 用户 我 的 sim 卡坏 了 哪 哪个 营业厅 可以 办 那个 异地 的 北京 的 这 张卡换
您好 很 高兴 为您服务   唉 你好 你 这 是 广西 移动 吗
很 高兴 为您服务   那 我 现在 在 城乡 路宝 登陆 我 想 问 一下 咨询 自己 到 营业网点 吗
高兴 为您服务 您好   呃 您好 那个 刚刚 有 一个 幺 三九 开头 的 手机号码 联系 我 说 是 移动 宽带 赠送 我 想 核实 一下 是不是 有 这个
您好 很 高兴 为您服务 呃 我 这边 是 这个 上海 的 移动 是 吧 我 想 问 一下 就是 呃 上海 这边 就是 浦东新区 这边 有没有 哪 一家 移动 营业厅 里面 有 大连 的 卡   浦东 这边 是 吧 这个 民生路 营业厅 可以 补 外地 卡 的 在 银行 发给您 生六 就是
为您服务   喂 你好 嗯 麻烦 你 帮 我查 一下 那个 十龙路
您好 很 高兴 为您服务   哎 请问 一下 我 想 问 一下 我 最近 的 营业厅 我 是 住 在 高航 时间 的 然后 我 想 问 一下 那个 高考 有 哪几个 营业厅
您好 兴 您 服务   唉 你好 呃 我 是 这样 的 我 这个 电话号码 的 我 那个 我 办理 了 一个 那个 宽带 业务
您好 很 高兴 为您服务   呃 我 刚刚 打 过来 问过 了 但是 他 发给 我 那个 搞错 了 我 要 我 就 那个 问 一下 就是 国和路 靠近 中原 路 的 那家 营业厅 具体 他 给 我政 通路 过河 路 的 噢 我 现在 在 我 河路 中原 路 嗯
您好 很 高兴 为您服务   喂
好 很 高兴 服务   唉 小姐 你好 刚才 你们 那个 总 他 打过 电话 的 是 吧
您好 兴 为您服务   呃 您好 就是 我 现在 在 外面 然后 那个 手机 欠费 停机 了 我 想 收到 那个 因为 我 身边 我 现在 连 不了 网 然后 身边 有没有 那个 移动 营业厅 我 想 说 怎么 那个 话费
您好 我 是 预处理 专席 代表 很 高兴 为您服务   你好 我 想 找 一下 二 四五 三号 那个 客服 代表
您好 很 高兴 为您服务 啊 唉 喂 你好 那个 可以 办法 找 一下 那个 就 上海 可以 呃 g 补办 卡 的 那个 店 吗 就 有 个 号码 现在 念 一下   第一次 摁 上海 是 这样 的 上海 目前 一共 有 四家 营业厅 可以 办理 的话 就是 在 营业厅 的 信息 发给您 了 上面 有 电话 地址 营业时间 然后 您 要 去 办 的话 需要 机主 本人 带 身份证 还要 知道 密码 才能 办理 的
您好 很 高兴 为您服务   噢 你好 就是 你们 上次 搞 活动 那个 装 宽带 的话 呃 我 电话 能 申请 吗
很 高兴 为您服务   唉 你好 那个 我 那个 手机 遗失 了 然后 想 补办 一张 卡 的话 我 想 问 一下 哪里 有 营业厅 的 就 我 是 在 张江 附近 对 张江 附近
您好 很 高兴 为您服务   唉 你好 能帮 我查 一下 就是 啊 那个 营业网点 就是 在 金 海路 信号 附近 的 营业网点 最近 在 哪里 吗
您好 谢谢   喂 你好
您好 很 高兴 为您服务   唉 你好 那个 我想查 一下 就是 宝山 大华 地区 的 那个 营业厅 它 那个 营业时间
很 高兴 为您服务   呃 麻烦 你 帮 我查 一下 新 中路 虹梅 南路 附近 有没有 移动 的 我 营业厅 啊
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 就是 那个 我 那个 就 是从 手机 密码 我 试试 试试 上次 发送 什么 短信 到 那个 幺 零零 八六
您好 很 高兴 为您服务   所以 我 想 问 一下 那个 丰庄 那个 营业厅 那个 系统 坏 了 搞好 了 没有 了
您好 很 高兴 为您服务   你好 麻烦 帮 我查 一下 这个 欲路 和 金沙江 路 这边 拿 有 移动 营业厅
喂 再见   您好 很 高兴 为您服务 您好
高兴 为您服务   哎 你好 我 想 问 一下 就是 果住 在 浦东新区 浦 山路 这边 我 想 去 把 我 的 宽带 就是 开机 我 想 问 一下 最近 的 营业厅 办 呢
可以 您 您好 很 高兴 服务 你好 你 帮 我查 一下 你 还 四 g 信号 收进去 路 这边 的 最近 的 那个 语音 营业厅 网点 在 哪里   看 一路 的 吧
为您服务   哎 我 想 问 一下 那个 宽带 转接 的话 是 要 多少 时间 你们 这个
您好 很 高兴 为您服务   我 你好 问 一下 我 这个 安徽 了 然后 幺 零零 八六 还是 上海 的 我 在 上海 的 还是 安徽 了
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 就是 你们 这边 能 不能 帮 我查 一下 上海市 杨浦区 平凉路 迎宾路 最近 的 移动 营业厅 的 那个
您好 很 高兴 为您服务 您好   喂 你们 这个 四川北路 一千五百 号 营业厅 是不是 没 啦
您好 很 高兴 服务   唉 我 这个 高速 跟 你们 那个 家里 路 哪里 有 这个 移动 营业厅 啊
您好 很 高兴 为您服务 您好   喂 你们 这个 四川北路 一千五百 号 营业厅 是不是 没 啦
您好 很 高兴 为您服务   唉 你好 我 想 问 一下 我 现在 再续 交费 就是 徐家汇 的 交通 大学 这里 附近 我 想 问问 这 附近 有没有 什么 营业厅 吧 中国移动 营业厅
高兴 为您服务 唉 你好   呃 我 在 营业 呃 移动 营业厅 办 那个 业务 嘛 然后 他 有 推荐 了 一个 就是 那个 就 充充 话费 然后 送 手机 的 一个 活动 吗 他 不是 也 能 送 手机 优惠活动 啊 然后 他 这个 手机 没有 我想查 一下 附近 有 什么 营业厅 有 这个 手机 吗 爱 疯 七 的
您好 很 高兴 为您服务   你好 帮 我查 一下
您好 请 讲   唉 你好 我 现在 在 西藏 南路 一千五百 五十八 那 我 这边 然后 我 想 问 一下 这边 最近 的 营业厅 在 哪
您好 很 高兴 为您服务 您好   喂 你们 这个 四川北路 一千五百 号 营业厅 是不是 没 啦
您好 很 高兴 服务   唉 你好 呃 我 想 你 帮 我查 一下 我 在 那个 上海 徐汇区 因为 我 知道 他 那个 年初 的 时候 广元 西路 有 一张 那个 就是 你们 移动 营业厅 的 时候 见 就 您 能 不能 帮 我 确认 一下 那个 十几遍 现在 还算 吗
编号 预处理 专席 代表 很 高兴 为您服务   唉 领导 你好 你 工号 多少 啊
您好 很 高兴 为您服务   哎 你好 我 想 请问 一下 就是 我 是 青海 的 卡
您好 很 高兴 为您服务 唉 你好   是 这样 的
您好 兴 服务   哎 是 我 我 请问 你 我 得 朝阳路 那边 移动 公司 这个 知道 网上 有没有 啊
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 就是 上海 杨浦 这边 有没有 呃 移动 营业厅 在 哪里
您好 很 高兴 服务   哎 你好 我 想 咨询 一下 你们 那个 移动 营业厅 啊 每天 下午 几点钟 下班 呀
您好 很 高兴 服务   我 问 一下 那个 麻烦 你们 登录 到 营业厅 上班 吗
您好 很 高兴 服务 哎 您好 请 讲   哎 我 想 问 一下 那个 长寿路 那个 和 陕西 北路 交叉口
您好 高兴 为您服务   哎 你好 我 想 咨询 一下 刚才 有 一个 电话 显示 是 幺 零零 八五 它 显示 这个 中国移动 经理 是 是 是不是 你们 的
您好 很 高兴 为您服务   喂 你好 我 就是 想 问 一下 这个 就是 移动 嗯 移动 营业厅 是 几点 下班 因为 我要 退 一下 宽带
喂 您好 您好 很 高兴 为您服务 唉 您好 听得见 吗   嗯 可以 您 请 说
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 就是说 杨浦区 大连 路 附近 营业厅 吗
为您服务   哎 你好 移动 是 吧 就是 我 想 问 一下 啊 呃 我 呢 以前 是 铁通 的 用户 我 拥有 一个 铁通 的 那个 幺 四七 开头 的 号 和 它 对应 的 移动 固话 然后 我 那个 sim 卡掉 了 我 现在 想要 去 补办 信用卡 我要 到 移动 的 哪个 营业厅 去 补办
您好 很 高兴 为您服务   唉 喂 你好 我 是因为 家 我 是 那个 中文 走动 长途 了 青岛 有限公司 的
您好 您好 您好 请 讲   啊 我 那个 我 那个 在 那个 积分 商城 上 那个 呃 不是 呃 积分 加 现金 楼 对 话费 吗
高兴 服务 喂 你好 您好 请 讲 我 觉得 直接 到 过 你们 电话 我 不 知道 什么 时间   您好
您好 很 高兴 为您服务   啊 你好 就是 我 问 一下 现在 苹果 手机 有 什么 活动 呀
您好 很 高兴 为您服务   唉 你好 麻烦 帮 我 看 一下 呃 杨浦 的 营业厅 那个 控江 地区 的 除了 工江路 中江路 这边 一个 还有 那边 有 啊
您好 很 高兴 服务   哎 你好 我 想 问 一下 啊 那个 是 中行 百联 那个 咱们 移动 营业厅 在 哪儿 在 几楼
诶 诶 直接   您好 很 高兴 为您服务
为您服务 您好   呃 你好 你 我 想 咨询 一下 就是 在 那个 这个 只要 定安 红路 这里 附近 有 有 那个 最近 的 营业厅 在 哪里
您好 很 高兴 为您服务   唉 你好 就是 那个 行查 得到 那个 办 就是 补卡 的 那个 支付宝 什么 时候 我 手机卡 的 记录 查不到 的
泰国   噢
很 高兴 为 您   你好 我 想 问 一下 我 那个 是 集团 客户 吗 然后 我 现在 每月 这 都 是 那个 付费 通知单 给 我 我 那个 想 把 他 改成 电子 发票 我 是 哪个 网点 办 可以 弄 这个 东西
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 就是 你 这边 是 那个 集团 的 客服 是 吧
您好 很 高兴 为您服务   就是 请问 一下 在 上海 这边 哪里 有 那个 补办 外省 的 手机卡
您好 很 高兴 为您服务   噢 您好 我 是 好像 是 这边 的 学生 就 想 问 一下 您 知道 的话 是 附近 的 移动 营业厅 是 在 哪个 地方 吗
您好 很 高兴 为您服务   唉 你好
很 高兴 为您服务   唉 你好 你 刚才 那个 那个 那个 那个 短信 没有 发给 我
您好 很 高兴 为您服务 喂 你好 你好 我 想 问 一下 这个 彩铃 中心 他 那个 电话 服务 电话 是 多少 对 幺 二五 三零   噢 好 的 好 的
您好 很 高兴 为您服务   哎 你好 我 想 确认 一下 那个 幺 零零 八五 是 你们 移动 的 客户 的
您好 很 高兴 为您服务 您好   唉 你好 呃 我 想 查询 一下 就是说 我 在 国权 路 那个
