你好我想把那个卡里面那些那个呃他我要转户然后我想把那个卡里面看看全部都取消掉消掉 家庭户主那个我想取消掉 
呃喂你好我想请问一下这个是呃我这个那个五十元的那个流量套餐包可不可以啊 对 
呃喂您好我想问一下就是说能不能帮我取消这个之前好像说有订了那个什么流量那个三十兆的那个流量 呃你你你帮我取消掉吧 
哎你好哎我想那个取消一个套餐呐不是我这个电话啊那我 我直接这个电话号码 
诶请问一下 我那个五十八块钱那个套餐帮我取消了吧 
喂你好 嗯我这边我想我刚前几天申请的那个九十九的那个宽带服务就套餐我想取消掉 
哎 哎你好您帮我查一下我的套餐就是流量的这个 
喂你好诶我问一下我这一个手机号码有个什么微会员功能费三元都是呃 开通通过网页版的单位的八元帮我那帮我退掉吧还有一个什么来电提醒提醒那个意思帮我帮我退掉吧 
你好请讲喂你好就是刚刚呃呃就是有一个人打电话帮我办了二十块钱两个g的那个套餐能帮我退掉吗我刚没有听太清楚对啊给我办了 噢好的好的好的好的好的就是那个呃六个月的那个 
诶您好 呃我这边有个号码你帮我把手机支付业务取消一下吧 
哎你好帮我取消一下呼叫转移吧 呃对对对 
呃帮我那个和包 那我刚才好像好像 
喂您好帮我这卡里面那些呃赠送的那些业务帮我预约取消了 对 
噢我我我打你电话我打过去然后我现在是为了三我们已经你说嗯 我如果我用 
呃你好帮我把那个就是呼死你那个关掉它去 知道 
喂您好帮我把那个我手机有个什么手机视频取消掉那个那个东西 你帮我看一下 
呃您好我想你把那个我开通那个三个月那个 噢好的 
呃这边是不是有开一个网络套餐那个就是说二就是签那个网络的嘛有没有 对就是我现在除了那个流量套餐你帮我取消掉 
诶你好我想 抵扣 
呃帮我把那个十元短信套餐给我停掉 
呃您好帮我下讯通关掉 啊不要了谢谢帮我看下这个月费用多少钱 
我想问我这个手机上面办的手机号办了一些噢玩流量什么的 这个要给您放心啊直接给我关掉那我就 
咪咕音乐咪咕 自己选 
喂你好诶我想把那个家庭亲情网那个给我取消掉 恩对 
诶帮我本机有收费的业务都帮我取消掉 噢没有了谢谢啊 
嗯 喂你好 
噢你好我就现在想把这个月有一个四四g好像还有多少g五十块钱流量的那种三十块钱流量的那个帮我取消掉 
哎麻烦帮我 取消了 
喂那个我的那个来电的那个音乐帮我关掉啊 马上关掉那要收费嘛它是免费呀你要取消吗不是啊人家说我那个来电声音太难听啊 
喂你好帮我把我的增值业务取消一下可以的 喂你好 
诶我跟你讲我麻烦我麻烦你帮我改取消东西给我取消我上次去办那个宽带的时候它是说叫我给你打电话我那要带要取消掉帮我取消不了 嗯嗯好好好的嗯嗯嗯嗯 
一百分钟你好帮我把那个国际漫游取消一下 好的 
嗯 喂 
你好你能帮我把那个校讯通取消了吗 呃是啊 
诶您好我那个要取消一下那个七十元流量包的那个套餐 啊 
嗯嗯 噢那个帮我把那个咪咕视频音乐然后手机报 
你好我想那个让你帮我推荐一下那个一个一g夜间流量还有你帮我七十块钱一个月的那个怎么乱啊 挺好啊帮您关掉了好嗯那好谢谢 
哎我又办了一个微天的那个业务想给他取消掉 嗯对对对 
啊噢好好 好恩好 
诶你好 呃我想解除我这个套餐三g的 
你好我想帮我朋友提供业务号码报给你幺三九五九零就 九九四零九 
麻烦你帮我本机除了基本套餐以外有其他业务都帮我关掉 啊吧 
你好你帮我这里面一些业务取消一下 哎 
呃我这个手机号有一个五十元一g的套餐帮我取消掉 
哎你好我那个帮我把那个什么有个什么校讯通的功能取消掉吧 嗯好的那没事谢谢哈不客气祝您天天开心嗯好拜拜 
帮我把那个来电提醒取消掉 暂时没有了 
那个嗯 噢取消掉了吗 
讲号码麻烦你把我这个点播功能关掉 对 
哎麻烦你帮我取消那个咪咕啊来电提醒啊这些还有那个嗯看一下五十元的那个流量是干嘛啊 它会自动取消掉了吗 
喂你好你帮我那个彩印业务把我那个三块钱那个把我关掉 还别的没什么 
你好您好请说流量把我这张卡是套餐退掉 哎你好我 
您好请不要你好额那个取消彩铃 嗯然后呢套餐可不可以取消 
嗯你好帮我把那个增值的公司都取消一下 嗯嗯 
嗯嗯 呃喂您好我这个这个号码我之前好像有弄那个呼叫转移你帮我不要转移掉了就是基本的那个号码就这个本机号取消是吗呃对我之前好像对我设置那个呼叫转移了吗那电话都打不进来你帮我取消那个呼叫转移 
诶您好我今天上次有办了那个是香港的漫游漫游流量帮我取消掉 呃对是的 
帮我那个把那个家庭网取消掉立即取消掉 好可以 
喂你好麻烦你帮我本机留这一个套餐其他的业务帮我全部取消掉 没有了谢谢 
诶你好开一个帮我下个月从下个月从十一月份开始把那个七十元的流量套餐帮我掉吧 缺 
稍等 诶我要那个退订那个三十八元那个包月的他给我弄的 
呃帮我那个就无限流量的套餐那取消以 对对对对 
刚刚信就是 那个流量的话流量包是吧 
啊我有开通那个什么八块钱那个什么酷狗流量包你帮我取消一下 没有没 
喂你好 帮我查一下我这个手机那个亲情网一个月五块钱的我早就没用了如果还没有给我取消掉 
噢我想取消那个这个咪咕阅读那个 啊好的谢谢 
呃你帮我把这个号码里面的那个来电提醒还有那个送的什么咪咕什么鬼的东西噢今天取消掉 噢好然后另外一个号码已经要取消 
请帮我把那个夜间的那个流量退了 没有没有 
你好我想问一下现在现在我的手机号码消费的等等一下 那这个我要把它给它关掉 
你好我想取消一下我那个短信的那个那个那个增值服务 从下个月开始帮我取消 
哦 噢麻烦你帮我除了基本套餐之外其他收费全部取消 
噢诶我想请问一下我就说我有现在是没套餐白什么乱七八糟开通了 噢那有个不要噢那行知道了你 
可以点是吧知道那个呃我想就就说我现在就是打那个我套餐现在是三十八块钱的套餐了 呃就是然后其他的业务都不要了那什么什么咪咕那些什么增值业务那些都不要啊 
我就保留套餐其他有收费都预约取消 再见 
你好哎你好我想我有一个嗯就是买一张卡号里面好像有赠送一个就是赠送一个套餐到期了然后我想取消要怎么操作 对 
呃你好请帮我那套餐以外的东西取消掉 嗯嗯好 
啊我就是就那个嗯嗯给我开通了三十块三十块钱的流量上去了 三十块三十块的 
喂你好帮我 我交八十八块钱那个开通五十块钱的那个流那个那谢谢楼 
哎你好我想把我的那个流量套餐开大一 呃我心旁的是百够用g的要多少钱 
喂你好你帮我里面那个就是其他所有的东西全部关闭掉吧老人家用啊 哎这个你 
喂您好 帮我家庭网的一个家庭十号帮我取消掉 
噢呃您好我想呃就是想说呃我要取消一个什么共享流量除还是什么 好 
哎你好就是我之前跟你们说我要移机然后你们那个跟我说我那个地址没有诶你那边能查到移动是吧对啊因为我之前打你们幺零零八六 然后你们那个工作人员给我回电话说装不了那我现在装不了的话那我要取消这套餐打 
现在 呃你好我有个卡呃两个卡有些业务需要关掉那个密码知道密码号码报给你啊一个是幺八二五九八三 
你帮我把那个咪咕什么号那个取消掉 哎 
喂你好帮我取消一下我手机上了有没有用的业务吧 电话 
诶麻烦里面那个有有收费的你帮我取消掉不要 可以 
之前好像是福州的移动那边给我推销了一个业务就是五十八块钱的那个那个套餐吗嗯嗯嗯好的它这个套餐里面流量够了那下个月帮我把那个我这五十五十块钱的流量套餐取消掉了 啊对 
噢帮我除了套餐以外的东西帮我消掉 叫来电显示来电提醒还是可以是不是啊 
你好我就想嗯这个十一月份我有的东西不要的你帮我关掉一下 好的再见 
呃您好我有一个那个关于通动漫的那个套餐我想取消 哦不是就是说就是一个关移动谩骂五块钱的如果您不知道 
嗯帮我帮我那个呃幺幺五九五幺五九五九八幺嗯六五零二这个那个套餐帮我取消掉吧密码请问您知道吗密码知道 密码那其他可以幺再见请讲一下您的意思我们好好好好 
诶您好那个看下我那个家庭网下个月不不不不要了你帮我取消掉了 啊 
呃您好呃我这个号码啊所有的信息给我取消掉一下要 先生是短信功能关掉吗还是什么对对对对我小孩子在用的话它这个 
我想取消这个手机上一次了客服比如说来电提醒之类的 知道呃没了 
刚刚帮我里面的那个五五八家庭网马上取消掉然后再增加一点 噢得周一了返还晕诶你说 
你好我好像除了十八块套餐以外还有彩印和来电提醒帮我取消吧 啊就只要有个十八块套餐就好了 
麻烦你帮我这个来电转移给撤了 然后让我等太久 
喂您好 呃您好我把这个手机的流量关掉 
呃帮我之前说的套餐订了他是全部都取消掉吧 对对对对 
您好好的等于说麻烦你能够麻烦你帮我把那个什么什么和校园那个信息取消掉吗 比如我我以前都有那个信息房子 
哎我这个包月多块钱那个一赔赔我那个流流量套餐帮我推荐什么 对啊 
那个把我手机上的那个好像有个五十块钱一g的那个那个套餐嗯 对 
哎你好那个帮我把有收费的业务帮我关注一下吧我 嗯嗯你好啊吧 
诶你好你你帮我除了本地套餐一那个其他业务有收费的业务都帮我取消掉 所以它是什么套餐现在也是有一个六块钱 
喂您好 噢这样子啊我想那帮我从十八号开始关闭国际漫游不要我上次出国一趟我都没感觉没打电话怎么又不是一二十块的什么漫游费我想你帮我关闭这个国际漫游 
我想问一下我这个也不是办那个流量套餐嘛 啊就是我原来那个三十八元的套餐应该是这个也帮我取消掉了嘛能不能也帮我取消 
嗯麻烦帮我这张卡的上网流量关闭了 他不知道 
小姐你好 我刚才我刚我去你们营业厅去搞新开一个一个月三十块钱一g流量如果他们帮我取消一下吗 
喂您好嗯什么可以帮到您噢就是我想我想那个取消一下我这个手机的一些业务 中 
你好帮我本机除了套餐以外所有业务取消不是你那个 六七可以了吗啊幺 
诶麻烦你帮我那个手机那个那个铃声这些还有别的那个呃另外这个手机那个收费取消一下 嗯对是 
你好麻烦帮我取消一下所有呼叫转移 对就是你这张卡里你 
可以推送什么业务 跟相近然后再身份证去对 
对哎我想麻烦你帮我有另外一个号码的那个彩铃帮我取消一下 三九 
哎你好帮我额外增值业务帮我关掉吧然后我只要留这八十八套餐呐 都都关能帮我关了关了不能关的帮我预约关掉吧 
网 呃你好帮我本机取消一个精品阅读跟和视频 
喂你好 麻烦你帮我把那个两城一家取消了这个功能 
喂您好帮我那个家庭网那个那个给它取消掉吧 对对整个都不要噢 
嗯 嗯那个我不是我那个开通了三块钱五百兆流量下个月帮我取消了 
帮我把那个套餐嗯流量套餐全部关掉才能 关掉 
你好帮我那个什么咪咪咪话费还是咪咕音乐给我关掉 点 
哎你好帮我查一下我这套餐里面怎么有一个什么本地那个什么的那个什么一些管 对呀那你现在给我删了我不要啊 
喂 我想问一下为什么每天都有手机信用 
诶你帮我查了一下我看您那天 五个流量多少多少钱 
诶我想问一下我这个保底消费一百二那个业务下个月就不会再扣的是吧 噢嗯那你帮我把那个七十元的那个流量包帮我取消掉吧 
那个流量提醒那边能不能帮我关掉因为每天那个晚上大流量都有那个短信 每天都有短信 
帮我把套餐以外要消费全部关掉 嗯 
喂您好帮我 哦行哦我一点的话一万好搞 
你好诶我那边有一个那个五十元一g的流量好像那个活动到期了你帮我取消掉 嗯嗯是到这个月到期的嘛好像是 
好您好您好那个帮我取消一个什么手机保障什么会员 诶那个会 
呃麻烦帮帮我关掉那个五十元两就昨天受理半天受限办理的那个五十元两g的那个 
喂您好我想问一下我就是刚才不是有个两块钱的那个什么什么开机怎么交交了那个 是这样喂对 
噢您好我就想问那你帮我取消那个一百块钱那个流量套餐 那您稍后然后还有一点就是我想投诉一下你们的那个我余额还有十几块钱为什么天天都发短信打电话发的就打电话我都搞不懂我又不是欠费 
嗯 喂您好 
喂你好你好嗯我想就啊浙江电话卡上面的那些其他的流量套餐全部取消就留下那个五十八的 就一个月五块钱下个月生效的那个留着其他的都可以取消短信包给取消掉对吗短信包不用取消 
有什么之前应该是不是对宽带的噢 诶我的增值业务也没到期到期的时候帮我取消掉赠送的我们这新入网的 
你好呃我想退订那个我有一个四g三十元上网套餐帮我那个退掉吧如果我看看一个是参加活动的 对你帮我取消掉然后还有我那个来电提醒怎么突然间没掉了帮我看一下我重新办一下 
哎您好麻烦你帮我把那个来电提醒取消掉 嗯可以还还有两个赠送的功能你可以帮我预约取消掉吗 
要包里面有个什么一一块钱怎么冲围网那个帮我取消掉的 喂你好地址是那个 
呃你好它昨天有一个业务员嗯叫我订制那个五十八套餐我不知道它已经开通了所以我我现在不需要能不能给他消掉因为我之前是三十八套餐的 对对对对对对 
啊 呃喂你好我那个十月那个两g流量那个十元呢关掉那个好像十元零一分那个流量我都没订月它怎么给我订阅了 
啊 呃您好我手机里面的话有开通两个副号然后我有其中一个副号要取消 
喂你好 呃我想取消一下业务 
说送的那个分钟数它要啊啊 好 
喂你好你你帮我取消下个月的什么上网流量五十元可选包是吗 现在我到期了我这个月取消不然要扣我五十块了 
诶我上次那个什么开那个什么夜间包那个什么流量十块钱一个月的那是那个喂帮我那个取消掉 对对对 
呃你好我那个就是我看了那个我的账单里面有一个十块钱和一个十六块钱的套餐以外的这个东西 嗯对对对 
你好我想把我这个手机的套餐停掉就是可以打的时候才要钱 就是我不要套餐了因为我这手机不要用了吗我现在是一百五十八的套餐是吗 
诶你好诶那个我这边诶你好我就说这部那个订那个手机号码他说再订一个已经注销是要套餐二十二档的能不能上小姐好 嗯不是啊就说你它这个有在营业厅的话我宽带 
今天开一下 那么多少是吧 
好的 喂 
哎你好麻烦帮我取消一个彩印跟彩铃 你好哎诶 
能不能帮我取消那个什么呃什么三三十元 对 
帮您 对二百六十二百兆流量吧银行的想十月八号吧啊的换套餐哎地方其他收到短信每个月 
呃你好 啊你我这个手机这个什么咪咕咪咕的一个月扣六块你要给我关掉它不用噢 
你好就是我有一个家庭网的噢一个就是三个五五那个号码我要取消我要换成另外一个号码上去 哦我知道好的幺五幺那个号码取消掉啦 
取消取消是吧等一下啊我看一下 刚刚刚刚办的就是那个家庭网对吗 
喂 你好我帮我查一下我手机上的套餐 
请问一下我这个幺五八的套餐这个月底帮我取消掉 只能更改啊 
您好请讲喂你好呃我要保障卡那个两城一家取消了 我之前取消了是吧嗯对没错我这个卡是什么套餐的呢 
没有三零六 呃可以就是帮我 
哎您好请讲噢我要取消那个增值服务 这张卡我升级跟我这个月 
电话反映很大帮我把那个什么长途江西关掉吧稍等是哪个业务邮箱幺三九邮箱呃幺三九邮箱是吧稍等一下幺三九邮箱您这边是活动送体验的我帮您预约一下 要到什么时候它到二零一八年的一月一号自动取消我现在帮您做预约不客气稍等一下 
诶你好 啊我早上十分钟的时候它那个呃呃客服说买那个流量的时候多点了一下把那个点了四次吗是三十块钱五百兆流量的我不然点一次噢有一次头村我以为是没买都没没发信息过来我以为没有购买成功是不是是多少钱多交了三十呃购买了三次能不能给我退掉不是 
呃喂诶你好那个帮我能不能帮我催一下那个五十元一个g的那个那个每月那个套餐就是 那那我还有其他什么别的那种套餐什么啊就是除了 
呃您好我想把就是提醒我交话费那个电话关掉每天就是影响我休息了 呃对对对就是打电话过来的交话费啊每次造成打电话过来就把查询 
诶你好帮我把上网功能梦网点播功能还有里面的业务都帮我取消掉 噢不知道 
哎你好帮我取消一个家庭网 呃你帮我马上取消掉吧因为里面我也没加其他人噢好 
诶你好嗯楼我就那个打打通电话的这个彩印关掉吗 啊对 
啊喂你好就是帮我把这手机号码里面有一个五十元一g流量这个帮我取消掉诶 反正套餐里面没有我那天是吧 
我想我想把我那个两个人共享那个流量帮我关掉 幺六幺幺 
呃帮我取消那个和通讯录会员立即返这十元的那个夜间流量也是直接取消 拜拜 
你好请说 啊我有个号码那个是儿童g的那个电话手表的就是我有很多增值业务我想把它把它关掉 
喂你好 嗯嗯诶我我这个手机是去年那个那个保底消费送的它那些业务好像要要到期了你再帮我帮我取消一下 
你好我查一下九月份我 就 
你好我想退掉一个号码亲情网的 嗯嗯女士您报一下号码给我幺三六零五九幺幺幺幺六五五的号短号是吗对对对 
帮帮我保持套餐剩下以外业务帮我预约取消一下 好啊啊卡啊 
喂你好 刚才我这个手机卡还有什么支付了什么彩印彩印直接那边能不能帮我删掉啊 
我那边有个什么套餐五十块流量的都取消掉 没有 
诶 查流量嗯嗯好好有吗是多少多少吧电这个对喂七号嗯嗯好 
对不客气 噢这样子噢我关掉是吧他跟我说喂你好那就是知道咨询一下好别挂机是给我卡卡套餐对好的现在再见哎 
喂哟啊你好啊我我这手机号是流量流量数据流量的是那个四十四十一兆四十元b吗那我想问一下呃这个需要多少钱 真的 
啊帮我把那个五十元的什么流量套餐帮我取消掉 
呃帮我要收费的取消一下 的话 
哎你好你帮我那个来电提醒关掉 好因为那个时间 
喂你好那个 那个我需要本机那个就是办理一下那个就呃他留了那个十八元的那个套餐然后其他的都帮我取消掉 
帮您 一下我那个帮我退订那个一g的夜间流量包 
喂您好我现在是这张卡是要转那个九十九块钱套餐宽带嘛然后它是那个然后现在我有个这个送话费的那个活动参与不了然后你能不能帮我把这个卡上跟这个送话费的活动那个所有那个还是那个业务还是都取消掉啊 下个月还会发验证码过来是吗 
喂你好 你赶紧帮我把那个话费关掉 
喂你好 诶那个我想查询一下就是我这个手机现在目前的一个套餐的状态 
这个关闭那个呼叫限制功能 什么名字 
哎你好意思我想问一下我现在的话呃是那个全球通的套餐然后我还额外的购买了一个什么什么好像是 噢那个啊上网流量它是全国通用的还是一百元 
您好请讲诶我想麻烦你帮我取消几个号码的业务一下 哎嗯幺三九六零五五九七七零 
喂你好 要帮我那个校讯通给我取消掉 
喂你好你帮我下个月那个三十块钱的五百兆的流量的流量流量包取消掉吧 噢下个月就取消掉了对我下个月刚才不是打一个电话他叫我上五十八块钱套餐下个月有的送什么是不是啊 
呃您好麻烦你帮我本机有一个什么视视频的还是什么就是以前送手机包年的那个业务帮我取消一下 没有这个业务吗嗯对没有这个业务只是记录留在这里您超钱肯定已经取消掉了所以没有之前是预约取消了还是什么 
诶你帮我查一下那个我那个订的那个流量也没帮我关掉就是花二十块三十块的 
嗯 
呃你好麻烦你我有一个那个呃这个月办了一个香港的呃一卡多号的那个月套餐然后呃现在可以帮我取消掉了 呃是因为我们已经回来了可以马上取消了 
我我不是上网要打那个没套餐五十块钱套餐流量加两个g流量那个套餐我不能不让我用四我要那个是新飞享套餐的我还要他是这么 现在有没有 
呃你好请呃帮我除了呃你帮我看一下下个月就是八块钱 然后除了八块钱之外所有的附加业务全部取消掉 
好 喂你好你帮我取消那个咪咕还有那个动漫还有来电提醒都帮我取消掉 
你好里面有个五十元套餐帮我取消掉噢 恩好谢谢噢 
哎你好能不能帮我取消一下我手机的流量套餐 不用完噢那那就不要用人工取消噢 
