嗯 嗯 你好   喂 您好 我 想 反映 一下 要是 你们 这 你们 这个 移动 的 网络 信号 在 我们 这边 村里 怎么 就 不能 使用 了   有 不能 使用 是 在 这个 呃查 它 写 村 对 吧   作为   诶 我 帮 您 看 一下 您 稍 等   短信 信息 好好 嗯
您好 请 讲 很 高兴 为您服务   喂 你好 你 那个 我 我 这个 手机 啊 那个 其他 的 那个 火车 上 自己 打开 了 怎么 不能 看 那个 是不是 是不是 那个 四 g 没有 啊 我 我 这个 手机 上面 呈现   不能 用 其他 地方 可以 用 吗   家里 也 不能 用 我 也 不 知道 是不是 手机 有 问题 啊   我们 这边 查询 这个 卡 的 功能 是 正常 的 那 您 周围 其他人 能用 吗   呃 其他 的 打电话 可以 用 那个 就是
您好 很 高兴 为您服务 您好 诶 你好   诶 我 这边 是 同安 这边 啊 那个 翔路 的 这边 就是 你们 这个 四 g 信号 很差 就是 上网 就 刷 不 出来 只有 一个 信号   噢 就是 在 那边 信号 非常 差 就 去 别的 地方 是 都 可以 正常 就 会   这样 对 对 对 对   是从 黄翔   路 吕岭 路 离 这边 噢 就 享受 你 就 就 这 这 一块 都 这 样子 吗 到 这个 月 信息 往西 社区 那边 详情 接到 信息 涉及 这个 办公室 这 这 这 附近 那边
您好 请 讲   哎 你好   您好 您 说   呃 这边 在 这 一个月 左右 中国移动 的 手机 网络 都 很 差 你 知道 吗   手机 上 打电话 网 没有 信号 是 吗   对 就是 打电话 使用 教程 姜姜尚 都 中断
您好 很 高兴 为您服务   诶 你好   诶 我 想 说   就是 上次 我们 有 向 你们 幺 零零 八六 投诉 说 这个   嗯   我 这 这 有 一个 的 小区 里面 那个 信号 太差 了 连接 个 电话 都 接 不了 知道 了 进来
你好 请 说   呃 我 要 报 故障   呃 是 什么 故障 啊   我们 这里 高清 宿舍 那边 信号 没有 啊 昨天 一整天 都 没有   通话 接 打电话   啊 对 人家 就 说 我 关机 啊 后面 发 一条 短信 我 是 收到 一条 短信 诶 你 你 比较 弱 性格 信号
您好 请 讲   喂   您好 您 说   呃 我 我 在 那个 东方 服务区 点 你 就 那个 信号 怎么 这么 差   打电话 信号 是 吧   把 然后 现在 跟 那个 电话 信号 都 不 知道
您好 您好 电话 接通 有 什么 问题 要 咨询   呃 不好意思 打扰 您 了 你 帮 我 看 一下 为什么 我 的 手机 上面 四 g 的 网络 全部 没掉 了   以前 可以 用 吗   行 刚才 电话号码 然后 现在 突然 关机 开机 然后 都 不行 了 四 g 网络 用 不了   稍等一下   而且 是 在 城关
您好 请 讲   你好   诶 您好   啊 我 问 一下 最近 这个 呃 移动 打 一般 情况 下 都 没有 信号 啊 为什么 然后 打电话 然后 诶 打 出去 有没有 语音 打 进来 也 是 在 关闭 的 诶 进看 一下   噢 就是 手机信号 很差 是 吧   哦 十块 多少 都 都 都 在
您好 有 什么 需要 帮助 的   您好 我们 这边 没有 登记 信号 很 奇怪 六零 二七 零对   呃 是 在 厦 厦门 姓名 的 是 吗   贵姓 您 的 是 就是 政区 软件 二七   就 厦门 杏林区 软件园 二期 对 吧   呃 不是 姓名 不 在线 在 湖里 万达 对 吗 万达 附近
啊 您好 请 说   唉   你好   喂 你好 我 跟 你 说 这边 城南 街用 这边 小区 请问 这 信号 都 很 差 今天 不是 打 一下 打不来   噢 等 下 我 看 一下 就是 那个 无法 接听 是 吗 没 办法 接到 电话 是 吧   对 没 办法 解决 的 也 打 不 出去
嗯 处理 您好 请 讲   喂 你好 怎么 怎么 上网 功能 怎么 不好 哎   什么 问题 上网 功能 什么 意思 啊   上 网上 不了 网   检查一下 您 手机 上 的 数据 开关 的话 有没有 不 小心 关闭 了   这种 吗
您好 请 说 呃 我 想 我 想 反映 一下 就是说 在 福建省 呃 十八 那些 套餐 校区 然后 有 一个 宿舍楼 然后 一直 连不上 你们 的 那个 无线 信号 就 凶 cd 用 吗 嗯 对 对 对 我们 开 了 就 好像 就 没用 银行 他 宿舍 连 一点 信号 都 没有 是 低 的   嗯 给 您 造成 困扰 了 非常 抱歉 那个 地址 重新 报 一遍 给 我 不好意思 仓山 就是 是 仓山 小区 释放 大学 然后 呢   然后 是 宿舍楼 的 懂 地址   稍等一下 哈   诶 你好 噢 宿舍楼 的 cmccd 的 d 是 吧 对 对 对 对 对 对 对   的 楼 然后 呢
您好 很 高兴 为您服务   哎 你好 我们 这边 公司 这边 的 手机 靠 很 差   信号 差是 吧 对   所有 的 电话 都 没有 一个 办公室 里面 所有 的 电话 都 是 会 过来 都 会 变成 短信 来电 提醒 根本 就 收不到 那个 电话   你 稍等一下 您 的 地址 请报 一下   到 花桥 昆山市 花桥 镇 今天 十二号
您好 我 是 预处理 专席 代表 很 高兴 为您服务   呃 我 我 现在 我 跟 你 说 我们 是 不管 是 二十八 号 就是 浦东新区 四 不管 是 吧 好   世博 路 对 二十八 号 返还   二十八 号 我们 那边 大楼 里面 就是 前两天 都 没 信号   钱 这样   前 两三天 吧 呃 移动 的 信号 我们 跟 你们 反映 过 了 你们 你们 来查 过 了 你 说 我们 到 那个 设备 本身 没 问题 问题 出 在 你们 你们 这样 的 问题 你们 的 问题 那么 然后 呢 天 了 也 没 修好 对 还有 个 就是 还有 什么 问题 呢 我 再 打 给 你们 就 没 信号 的 微 信号 是 我 我 电话 应该 接 不到 里面 是 没有 没有 无 服务 回复 无 服务 买 那么 月租费 它 没 答复 的 在 富 吗 就 不会 上班时间 多 了 是 吧 在家 里面 那 那个 卡
您好 请 讲   唉 喂 你好 唉 我 这个 我 这个 手机 怎么 这个 嗯 信息 怎么 有 的 时候 收到 有 的 时候 收不到 呀   在 任何 地方 还是 在 固定 某 一个 地方   嗯 在 任何 地方 都 是 这 样子 有 的 时候 收到 也 是 收不到   嗯 那 您 这个 是 什么 反正 手机 呢 可以 发送 一个 短信 那个 设置 的 一个 方式 跟 之前 的 一个 方式 发送到 您 这边 您 可以 看 一下   啊 那个 欧普 手机
您好 很 高兴 为您服务   噢 你好 现在 就是 呃 昨天 我 那个 反映 了 一个 就是 那个 手机 通话 信号 不好 吗 然后 它 那里 后台 反映 说 就是 让 我 开通 一个 那个 四 g 高清 语音 啊 然后 他 说 这个 是 不 收费 的 是 吧   开个 功能 什么 收费 的 如果 您 要 使用 的话 高清 视频 的话 两毛 九 一分钟 语音 通话 的话 按 套餐 费盘 是否 正常 视频 如果 不 使用 视频 跟 之前 一样 收费 呃 视频 是 什么 时间 就是 高清 这个 功能 来 视频 电话 不是 那个 范范 某 也 不是 什么 出省 里面 视频 就是 用 噢 那 这 号码 来修   不用 的话 是 怎么 用 的 那个   这边 的话 这个 第一个 您 要 手机 支持 双方 掉 之前 手机卡 要 支持 四 g 网络 手机 上 还要 开通 这个 业务 打电话 的 时候 上面 可以 先换 的 先 传到 那个 视频 通话 的 就是 就是说 手机号 您 可以 看到 对 稍后 电脑 做 这个 业务 对 好 再见   就是 如果 不用 这个 的话 其他费用 都 是 一样 的 是 吧
很 高兴 服务   唉 小姐 我 再 打电话 打 了 为什么 两次 都 断掉 了 话 也 没 说完 就 断掉 了 呀   可能 信号 不好 中断 有 可能 您 这边 要 咨询 的 问题 啊 先生 女士   然后 我 就 想 请问 一下 我 这个 手机号 应该 是 上海 移动 手机号 对 吧   对 上海 移动   那 为什么 我 登陆 和 教授 的 时候 他 显示 我 呃 不是 上海 移动 手机号 呀
您好 很 高兴 为您服务   我 的 集团 短号 审查 了 一下 怎么 打打 过去 那个 是 无法 接通   打 其他 的 呃 是 您 这个 手机 拨打 其他 员工 的 短号 无法 接通 对 吗 先   嗯 嗯   噢 可以 呃 那 我 想 问 一下 你 打过 员工 的 手机号码 能 不能 报 一下 我 帮 您 查询 一下 业务 嗯 嗯   打 号码
嗯   您好 兴 为您服务   你好 先生 我 这里 那个 信号 卡 就是 有时 也 是 没有 我 以前 两个 月 你 说 你们 一直 没 解决   呃 是 但是 这个 号码 反映 的 问题 对 吗   对 对 对 对   我 帮 您 记录 这个 号码 上 现在 这个 应该 是 之前 的 吧 超过 六个月 了 是 吧 最近 三个 月 都 没有 记录 呀 您 在 哪个 区 先生 您好 在 哪个 区
您好 很 高兴 为您服务 您好 什么 可以 帮 您   我 这边 手机 没 信号 啊 给 你们 投诉 好 几次 那 你 那边 能 不能 不管   打电话 没有 给 您 回复 对 吗   回复 那 我 这里 还是 没有 信号 回复 有没有 反正 你 帮 我 那个 全球 的 呢 你们 这个 服务 这 都 是 可以   哦 到时候 给 您 实际 测试 了 在 那个 噢 信号 偏弱 通话质量 差 然后 那边 说 有 房屋 商铺 过密 有 产品 出 账单 的 信号 收到 的   咱们 肯定 黄路 啊 那 是 你们 的 了 是 我 的 部门
您好 请 讲   唉 你好 就是 我 想 问 一下 就是 呃 我们 是 在 那个 闵行区 那个 七八 苑 东村 路 八九十 三号 吗 这里 有 一个 那个 商务中心 就 我们 这 几个 楼 的 那个 移动 信号 不是太好 就 那 这样 的   那 给 您 添麻烦 了 您 移动 号码 手机号码 多少 请问   噢 不是 就是 我们 就是 整个 的 时候 有人 打电话 就是 那个 信号 不太好   我 知道 了 那 您 移动 号码 多少 呢 我 这边 也 需要 帮 您 记录 的   对 对 对 对 我 的 啊 幺 三 六
您好 我 是 预处理 专席 代表 很 高兴 为您服务 这个 这样   是 这样 的 就 我们 我们 公司 就是 就 不是 两千五百 五十 号 加拨 公司 我们 那个 上 呃 三 三 三个 星期 前报 过 一次 的 就是 你们 这边 呃 我们 有 的 同事 不能 上网 cmcc 不能 上网 但是 四 g 可以 的 但是 信号 是 满格 的 然后 有 的 有 的 同志 是 电话 也 打 不 出去 我 今天 我 今天 早上 变成 电电 电话 打 不 出去   您 的 号码 是 多少   呃 幺 三九 幺   幺 三九 幺   八 二五
您好 很 高兴 为您服务   那个 喂 你好 那个 我 问 一下 那个 就 那个 那 我 这个 手机 现在 那个 就是 已经 有 那个 就是 四 g 流量 吗 但是 我 的 手机 呢 就是 有时候 那个 座机 那 那 就 就是 不 显示 了 不 显示 呢 我 就 把 手机 呢 就是 关机 用 完 了 再 开 的话 就 有 了   过 一会 又 没有 了 是   啥 情况   您 这个 的话 是 在 固定 的 地方 这样 还是 就是说 是 那个 所有 地方 都 这样   好 的 谢谢 跟 那个 昨天 那 啥 那个 还 自己 就 还 没有 呢 就 今天 嘛
您好 很 高兴 服务   喂 你好   你好   我 这边 的 信号 很差 啊   周围 人 都 超 吗 先生   对 的 我们 这个 房间 也 手机 电话 都 很 差
您好 很 高兴 为您服务   唉 你好 麻烦 你 帮 我 问 一下 我 就是 去 国外 然后 回来 就 昨天 我 那个 身份证 是 是 双卡 宽带 的 嘛 对 吧 两个 那个 移动 的 那个 卡 插 在 啊 现在 就是说 那个 没 信号 但是 我 里面 现在 插上去 还是 有 信号   呃 号码 报 一下 我 看 一下   幺 三八 零用 幺 八三 嗯 嗯 六八 三五   手机 服务 密码 知道 哇   知道 的
您好 很 高兴 为您服务   嗯 说 这 这个 手机卡 是 四 g 的 卡 这个 线路 这个 苹果 我 是 用 三 g 的 现在 怎么 搞 不能 上网   噢 就是说 您 不 知道 自己 手机 是不是 支持 四 g 是 吧   对   我 想想 那 这样 吧 您 手机 我 也 不 清楚 帮 您 转接 这边 苹果 终端 您 手机 他们 帮 您 看看   您 手机 是 不 支持 是 以前 也 也 用 过 不是 四 g 网络 是不是 带 就是 要 临时 要用 这 两天 你 看 能 不能 就是 返回 就是 别人 的 数据 同步 啊 然后 就 可以 用 了
您好 很 高兴 为您服务   您 好好   您好 请问 听 得到 我 的 声音 吗   啊 您好 您好 请 讲 那个 我们 这边 南京 方便 记下 我们 的 解决 吗 嗯   这边 是 什么 问题 信号 问题 吗   对 我们 这边 信号 特别 差
您好 很 高兴 服务   唉 你好 我 是 这样 的 我 这个 手机 的 移动 这种 网络 一直 连不上 三 为什么 是 宽带 连不上 还是 手机 手机 手机 连不上   他 您 是 有 使用 的 是 什么 品牌 的 手机 啊 先生   呃 海峰   我 这边 把 iphone 上网 参数 发给您 在 您 手机 上 把 参数 重置 一下 重置 好 了 之后 再 重启 一下 您 的 手机 试一下   噢 好 的 好 的 还有 可以 帮助
为您服务 唉 小姐 你好   我 就是 这个 本 手机 的 事儿 机主 吗 那 我 怎么 再 离开 了 wifi 这个 情况 下 怎么 上 网上 不了   这 上网 功能 流量 是 正常 的 您 手机 上 数据 开关 是不是 王开 了 呢 看 了 没有   呃 就是 也 也 用 的 非常   对 您 开通 的话 就 开 了 看到 这个 开通 的话 手机 有试 过 重启 吗 关机 重启 一下   但是 我 一直 之间 啊 关机 重启 一下 是 吧
您好 很 高兴 为您服务   哎 你好 我 想 请教 一个 问题 啊 就是 我 不是 我 不 确定 是不是 你们 这边 是 可以 反馈 的 就是 我 住 的 地方 嗯 再 银行 六 幺 六 二八 弄   噢   我们 这个 小区 里面 就是 手机信号 非常 不好 那 打电话 呢 都 必须 转 到 窗口 甚至 把 窗子 打开 才 可以 嗯 嗯 我 不 知道 这种 问题 我 可以 有没有 改善 的 可能   哎 好 您 稍 等 不要 挂机 为了 更好 的 为 您 解决问题 我 将 您 电话 噢 我 看到 您 噢 的 没有 反映 过帮 您 反映 上去 啊 我 将 您 电话 转接 专席 处理 由 专人 为 您 解答 请 您 稍 等   谢谢
您好 很 高兴 为您服务   我 刚才 打 过 电话 的 我 还是 收不到 短信 我 已经 充值 试过 了   嗯 嗯 嗯 现在 收不到 是 吗 什么样 的 短信 是 您 朋友 给 您 报 的 还是 什么   嗯 我 想 身份 验证码 收不到 然后 的话 啊 我 想 这个   什么   我 怎么 那个 七二是 这个 这个 你们 的 信息 一点 收不到
还 扣 是 吧   您好 很 高兴 为您服务   嗯 取消 幺 六七 就是 这 两天 我 在 打电话 的 时候 别人 在 打 给 我 电话 他 就是说 是 空号 我 不 知道 是 为什么 啊   是 您 在 跟 别人 通话 过程 当中 别人 在 打电话   个人 有 一个 就是说 是 空号 的   通话 都 会 有人 提示 是 空号 是 吧
您好 兴 您 服务 您好   对 喂 你好   您好 您 说   呃 我 想 问 一下 就是 这个 成 山路 山路 这边 这个 信号 什么 时候 能 恢复   陈 西路 和 哪条 路 您 这边 是   成 山路 云台 路
您好 很 高兴 为您服务   喂 你好 那个 四五 就是 我 这边 是 这个 零 哎 延安路 那个 四百 兆 已经 好   原来 什么   元 之后 七百 二 一二 十块钱 是 吧 零 二七 百八十 九号   啊 去 反映 什么 问题 吗   就 信号 一点
您好 我 是 预处理 专席 代表 很 高兴 为您服务 您 是 反映 信号 不好   是 吧 这个 信号 不好   嗯 是 具体 什么 地方 信号 不好 请   地铁 是 三 二四   这个 地址 是 什么 地方   唉 听乐路 两 百八十 兆 十二号 大约
很 高兴 为您服务   唉 你好 查 一下 我 这边 打 过 电话 说 家里 信号 不好   然后 现 投诉 电话 信号 嗯   啊 打电话 打不出 电话 也 打 不 进来 拿 过来 你们 就是 移动 来 过 人 的 然后 出国 信号 就 跟 我 说 要 装 一个 什么 放大器 还是 什么 但是 后来 就 没有 再 联系 现在 还会接 那个 二百二十五 弄 那里 吗 唉 对   那个 工作人员 给 您 说 会 给 您 装 了 是 吧 大厦   唉 对 就
您好 很 高兴 为您服务   嗯 唉 你好 那个 我 想 呃 我 这边 是 那个 青浦区 授权 路 啊 然后 是 那个 一天 时间 了 跟 手机 了 然后 你们 你们 这边 的 那个 移动 的 信号 现在 你 看   就是 宽带 还是 挺 好   手机信号 很 然后 再 加 经常 经常 打电话 经常 是 拨出去 的话 要 等 很 久 然后 就算 通 了 然后 经常 会 有 就是 会 出现 那个 就是 什么 那个 那个 通话时间 和 剩余 套餐 啊 或者说 就是 打 不 出去   好 那 为了 更好 解决问题 为 您 转接 至 专席 有 专人 为 您 请稍等
您好 很 高兴 为您服务 谢谢 你好   今天下午 他 换上 门 核查 到 手机 话 g 的 可以 三天 这点 我 手机信号 不好 打 你 记 车牌 电话 到 今天 人能 联系 我 吗   换 什么 帮 您 换 什么 东西 的 本来 是   就是 幸福 拿 去   那个 坏 了 信号 放大器 对 吧   对 不 对 啊
您好 很 高兴 为您服务   喂 你好 唉 我 我 投诉 一下 最近 我们 那个 我 我 我 住 的 这个 小区 啊 但是 但是 这 一个月 的 钱 家里 信号 都 都 挺 好 的 现在 我 在 家里 没 办法 打电话 了 一打 就 掉线 是 怎么回事 你们 能 不能 对 吧 我们 这 覆盖 情况 再 看一看 对 吗   噢 好 请 稍等一下 您 是 在 哪个 区 啊   浦东新区   浦东新区 然后 是 具体 哪条 路上 您 是 在   锦安 东路
您好 很 高兴 服务   喂 你好 我 想 问 一下 怎么 我 的 手机 到 到 这个 地方 到 到 我们 上班 就 就 就 老 是 没 信号 有 四 g 的 都 是 完 无法 连接 服务器 啊   出去 对 吧   啊   你好 您 现在 现在 什么 问题 啊 是 宽带 上 不了 是 吗 还是 手机 上 不了 了 手机 手机 数据 最低 上 不了 对 吗 二三 g 网络 能用 吗   就是说 这个 流量 你 打开 微信 啊 就是 连接 无法 连接
您好 很 高兴 为您服务   喂 我 那个 我 在 家里 的 时候 那个 一直 是 无 服务 是 没 信号   哦 好 的 稍等一下 好 的 先生 您 现在 呃 小区 覆盖范围 内 没有 信号 是 吧 幺 七六 的 覆盖 好 的 周围 其他 移动用户 也 是 同样 情况 是 吧   应该 是 吧 反正 这个 地方 已经 有 有 一年 多 了 吧   二 三四 g 网络 都 没有 是 吧   呃 就 连 电话 打电话 只能 听见 对方 声音 然后 你 说话 人家 都 听不见 了
您好 很 高兴 为您服务 你 这 是 移动 的 是 吧 在 上海 移动   移动 的 你 你 你们 公司 整个 是 一年 收手 都 多少 钱   什么 意思 先生 您 是 遇到 什么 问题 吗   遇到 什么 问题 我们 这里 上海 幺 就 已经 村 现在 电话 一直 打 不通   是 在 那边 移动 信号 现在 打 不 出去 啦 是 这 意思 吗   移动 号码 能 不能 通过 有 多久 了
您好 很 高兴 为您服务   我 想 问 一下   请 说   我 我 是 在 桂园 路 一百五十五 弄 四号 幺 零 幺 的 就 说 我 这个 手机号   嗯 嗯   嗯 嗯 幺 三八 幺 七 三五 六七 三四 老是 没有 信号 这 里面 是 到底 是 怎么 搞 的
您好 很 高兴 服务   对 唉 小姐 你 看 一下 就是 我 这个 手机号码 就是说 现在 那个 就是 移动 这个 网络   是 上 网上 不了 了 是 吗 的 那种 跟 您 说 什么 问题 吗 的 手机 啊 先生   对华 为   好 我 这边 把 上网 参数 发给您 跟 手机 上班 参数 重置 一下 重置 好 了 之后 再 把 您 手机 关机 重启 试一下   你 说 什么 意思
您好 很 高兴 为您服务   我 想 问 一下 我 这个 手机 是 为什么 打 出去 电脑 直接 打 进来 打 不 进来 是   我 也 是 不能 接听电话 呃 您 有没有 在 自己 手机 上 输入 那个 井号 井 号 二 幺 井 号 但 通话 键 设置 过 了 吗 请 您 进行 幺 井 建议您 先 设置 一下 噢 在 手机 上 输入 井井 二幺井 然后 再 按 通话   键 也 可以   嗯 对 的 然后 再 按 拨号键   好 的 谢谢
您好 很 高兴 为您服务 唉 喂 你好   嗯   我 这个 四 g 怎么 打不开 了 就是 那个 两 g 是 没有 了 就是 手机 上面 您 的 您 把 上网 功能 关掉 了 我 帮 您 重新 恢复 一下 您 手机 密码 知道 吗 手机 手机 密码 知道 了 好 那 您 输入 一下 十块钱   三元 包 三十块 钱 流量 对 吧 提供 哦 啊   我用 的话 就是 按 套餐 大街   刚才 说 没 听说 号码 每月 返 通话 当天 开始 噢
您好 很 高兴 为您服务   唉 你好 所有人 打 我 电话 什么 都 是 响 一声 就 显示 在 通话 中   嗯 嗯 就 打 您 电话 去 就 只 想 一声 然后 之后 的话 就是 显示 通话 中 是不是   对 我 手机 就 没 显示 的 对方 跟 我 说 的 然后 我订 拿 我 自己 另外 一个 电话 打 这个 手机 是 这 样子 的   就是 打 您 的 手机 是 吧 然后 就 只 就 想 然后 这样 在 通话 中 然后 您 这边 还 没有 这个 来电 的 记录 是 吗   对 的
您好 很 高兴 为您服务   唉 你好 我 你 帮 我查 一下 我 这个 手机 现在 短信 发 不 出去 对   呃 人 是 根据 广大 用户 不变 反感 的 垃圾 短信 问题 为了 避免 广大 用户 受其 骚扰 我 公司 你们 部门 的 要求 在 上海 可以 帮 您 短信 的 处理 力度 目前 主要 通过 用户 举报 发现 任何 处理 垃圾 短信 这个 号码 显示 有人 去 帮 您 发 商业 性质 的 广告 信息 那 我 现在 帮 您 恢复 了 以后 注意 一下 就 可以 了 还有 什么 可以 帮 您 的   行   好 了 好 祝您 生活 愉快 再见
您好 很 高兴 为您服务 喂 唉 你好   唉 你好 我 这边 故障 申报 了 好久 了 昨天上午 九点 就 开始 申报 了 来 了 两套 人 都 设备 坏 了 但是 都 没有 过来 修   他 说 设备 的话 是 家里 还是   是 说 家里 的 就是 他们 他们 那个 他们 有 盒子 坏 了 吧   他 说 是 您 家里 的 设备 坏掉 了 那 他 有没有 说 要 给 您 换 设备 吗   他 说 那个 我 什么 有线电视 欠费 了 说 那个 他们 说会 报上去 的 然后 叫 我 打电话 打 你们 幺 零零 八六
为您服务   唉 你好   先生   我 去年 年底 的 时候 有 反应 过 这个 问题 我们 现在 推出 的 自己 还 这个 地方 没有 了 嗯   那 我 在 听   信号 就 很 噢 嗯 嗯
对 吗   您好 很 高兴 为您服务 然后 我们 家 这边 那个 宽带 不能 用 现在   宽带 不能 用 是 吧 地址 是 哪里 呢   呃   生 身边 六   幺 零五 幺 弄 爱 丰村 六十六 号 六零 一
很 高兴 为您服务   唉 你好 你好 唉 我 我 呃 我 我 家里 一下 那个 手机 现在 发过 嗯 嗯 都 开 了 他 开 了 国际漫游 啊 现在 收不到 信号 吗   哪个 号码 我 看 一下 手机号   幺 三九 幺 嗯 嗯 七零八 八 幺 二八   嗯 嗯 这个 密码 知道 吗   商品
您好 兴 为您服务   喂 你好 就是 我 这个 号码 短信 发 不 出去   恩好 的 我 看 一下   嗯   上面 显示 原因 是 根据 广大 用户 普遍 反感 的 垃圾 短信 问题 为了 平台 可能 也 会 收 取消 了 我 公司 根据 有关 部门 要求 到 账 了 对 垃圾 短信 推荐 阅读 目前 主要 通过 用户 举报 发现 除了 这些 短信 这个 号码 有 已经 帮 您 发 商业 申请 的 广告 信息 我 现在 帮 您 恢复 开 好像 能 帮 您 开一开 好 了 直接 找 那个 重启 一下 手机 就 可以 了 还有 什么 帮 您 的 吗 不 客气   谢谢 啊
您好 很 高兴 为您服务 喂 你 看 我 的 短信 昨天 跟 你 讲 我 发 不 出去 了 不是 说 你 说 弄 好 了 也 还 不行 呀   我 这 看 一下 那个 短信 的话 跟 您 之前 的 那个 情况 是 一样 的 之前 恢复 了 现在 又 停掉 了 原因 就是 根据 广大 用户 普遍 反感 的 垃圾 短信 问题   完 了 别人 给我发 正常 短信 信息 我发 这条 短信 呀   其他 短信 不会 的 呀 我 现在 帮 您 重新 恢复 了 然后 现在 可以 发给您 是 看 之前 的话 就 停 了 现在 帮 您 重新   要 不要 要 关要 关机 吗   关机 重启 一下 对 的
您好 很 高兴 为您服务   唉 小姐 你好 就是 我 现在 我 这个 手机卡 人家 打过 打 我 这个 手机号码 我 老 是 收不到 什么 原因   麻烦 您 把 手机号码 报 一下 我 给 您 查询 一下   幺 三八   密   幺 八 零 幺
您好 很 高兴 服务   喂 你好   呃   就是 我 最近 这个 电话 就是 在 跟 人家 通话 跟 为什么 老是 会 自动 断掉 了   通话 自动 断掉   对 然后 就 没有 信号 了 是 卡 的 问题 还是 什么 原因
