嗯 嗯 你好   喂 您好 我 想 反映 一下 要是 你们 这 你们 这个 移动 的 网络 信号 在 我们 这边 村里 怎么 就 不能 使用 了   有 不能 使用 是 在 这个 呃查 它 写 村 对 吧   作为
您好 请 讲   唉 喂 你好 唉 我 这个 我 这个 手机 怎么 这个 嗯 信息 怎么 有 的 时候 收到 有 的 时候 收不到 呀   在 任何 地方 还是 在 固定 某 一个 地方   嗯 在 任何 地方 都 是 这 样子 有 的 时候 收到 也 是 收不到
您好 很 高兴 为您服务   噢 你好 现在 就是 呃 昨天 我 那个 反映 了 一个 就是 那个 手机 通话 信号 不好 吗 然后 它 那里 后台 反映 说 就是 让 我 开通 一个 那个 四 g 高清 语音 啊 然后 他 说 这个 是 不 收费 的 是 吧   开个 功能 什么 收费 的 如果 您 要 使用 的话 高清 视频 的话 两毛 九 一分钟 语音 通话 的话 按 套餐 费盘 是否 正常 视频 如果 不 使用 视频 跟 之前 一样 收费 呃 视频 是 什么 时间 就是 高清 这个 功能 来 视频 电话 不是 那个 范范 某 也 不是 什么 出省 里面 视频 就是 用 噢 那 这 号码 来修   不用 的话 是 怎么 用 的 那个
很 高兴 服务   唉 小姐 我 再 打电话 打 了 为什么 两次 都 断掉 了 话 也 没 说完 就 断掉 了 呀   可能 信号 不好 中断 有 可能 您 这边 要 咨询 的 问题 啊 先生 女士   然后 我 就 想 请问 一下 我 这个 手机号 应该 是 上海 移动 手机号 对 吧
您好 很 高兴 为您服务   我 的 集团 短号 审查 了 一下 怎么 打打 过去 那个 是 无法 接通   打 其他 的 呃 是 您 这个 手机 拨打 其他 员工 的 短号 无法 接通 对 吗 先   嗯 嗯
嗯   您好 兴 为您服务   你好 先生 我 这里 那个 信号 卡 就是 有时 也 是 没有 我 以前 两个 月 你 说 你们 一直 没 解决   呃 是 但是 这个 号码 反映 的 问题 对 吗
您好 很 高兴 为您服务 您好 什么 可以 帮 您   我 这边 手机 没 信号 啊 给 你们 投诉 好 几次 那 你 那边 能 不能 不管   打电话 没有 给 您 回复 对 吗   回复 那 我 这里 还是 没有 信号 回复 有没有 反正 你 帮 我 那个 全球 的 呢 你们 这个 服务 这 都 是 可以
您好 请 讲   唉 你好 就是 我 想 问 一下 就是 呃 我们 是 在 那个 闵行区 那个 七八 苑 东村 路 八九十 三号 吗 这里 有 一个 那个 商务中心 就 我们 这 几个 楼 的 那个 移动 信号 不是太好 就 那 这样 的   那 给 您 添麻烦 了 您 移动 号码 手机号码 多少 请问   噢 不是 就是 我们 就是 整个 的 时候 有人 打电话 就是 那个 信号 不太好
您好 我 是 预处理 专席 代表 很 高兴 为您服务 这个 这样   是 这样 的 就 我们 我们 公司 就是 就 不是 两千五百 五十 号 加拨 公司 我们 那个 上 呃 三 三 三个 星期 前报 过 一次 的 就是 你们 这边 呃 我们 有 的 同事 不能 上网 cmcc 不能 上网 但是 四 g 可以 的 但是 信号 是 满格 的 然后 有 的 有 的 同志 是 电话 也 打 不 出去 我 今天 我 今天 早上 变成 电电 电话 打 不 出去   您 的 号码 是 多少   呃 幺 三九 幺
您好 很 高兴 为您服务   那个 喂 你好 那个 我 问 一下 那个 就 那个 那 我 这个 手机 现在 那个 就是 已经 有 那个 就是 四 g 流量 吗 但是 我 的 手机 呢 就是 有时候 那个 座机 那 那 就 就是 不 显示 了 不 显示 呢 我 就 把 手机 呢 就是 关机 用 完 了 再 开 的话 就 有 了   过 一会 又 没有 了 是   啥 情况
您好 很 高兴 服务   喂 你好   你好   我 这边 的 信号 很差 啊
您好 很 高兴 为您服务   唉 你好 麻烦 你 帮 我 问 一下 我 就是 去 国外 然后 回来 就 昨天 我 那个 身份证 是 是 双卡 宽带 的 嘛 对 吧 两个 那个 移动 的 那个 卡 插 在 啊 现在 就是说 那个 没 信号 但是 我 里面 现在 插上去 还是 有 信号   呃 号码 报 一下 我 看 一下   幺 三八 零用 幺 八三 嗯 嗯 六八 三五
您好 很 高兴 为您服务   嗯 说 这 这个 手机卡 是 四 g 的 卡 这个 线路 这个 苹果 我 是 用 三 g 的 现在 怎么 搞 不能 上网   噢 就是说 您 不 知道 自己 手机 是不是 支持 四 g 是 吧   对
您好 很 高兴 为您服务   您 好好   您好 请问 听 得到 我 的 声音 吗   啊 您好 您好 请 讲 那个 我们 这边 南京 方便 记下 我们 的 解决 吗 嗯
您好 很 高兴 服务   唉 你好 我 是 这样 的 我 这个 手机 的 移动 这种 网络 一直 连不上 三 为什么 是 宽带 连不上 还是 手机 手机 手机 连不上   他 您 是 有 使用 的 是 什么 品牌 的 手机 啊 先生   呃 海峰
为您服务 唉 小姐 你好   我 就是 这个 本 手机 的 事儿 机主 吗 那 我 怎么 再 离开 了 wifi 这个 情况 下 怎么 上 网上 不了   这 上网 功能 流量 是 正常 的 您 手机 上 数据 开关 是不是 王开 了 呢 看 了 没有   呃 就是 也 也 用 的 非常
您好 很 高兴 为您服务   哎 你好 我 想 请教 一个 问题 啊 就是 我 不是 我 不 确定 是不是 你们 这边 是 可以 反馈 的 就是 我 住 的 地方 嗯 再 银行 六 幺 六 二八 弄   噢   我们 这个 小区 里面 就是 手机信号 非常 不好 那 打电话 呢 都 必须 转 到 窗口 甚至 把 窗子 打开 才 可以 嗯 嗯 我 不 知道 这种 问题 我 可以 有没有 改善 的 可能
您好 很 高兴 为您服务   我 刚才 打 过 电话 的 我 还是 收不到 短信 我 已经 充值 试过 了   嗯 嗯 嗯 现在 收不到 是 吗 什么样 的 短信 是 您 朋友 给 您 报 的 还是 什么   嗯 我 想 身份 验证码 收不到 然后 的话 啊 我 想 这个
还 扣 是 吧   您好 很 高兴 为您服务   嗯 取消 幺 六七 就是 这 两天 我 在 打电话 的 时候 别人 在 打 给 我 电话 他 就是说 是 空号 我 不 知道 是 为什么 啊   是 您 在 跟 别人 通话 过程 当中 别人 在 打电话
您好 兴 您 服务 您好   对 喂 你好   您好 您 说   呃 我 想 问 一下 就是 这个 成 山路 山路 这边 这个 信号 什么 时候 能 恢复
您好 很 高兴 为您服务   喂 你好 那个 四五 就是 我 这边 是 这个 零 哎 延安路 那个 四百 兆 已经 好   原来 什么   元 之后 七百 二 一二 十块钱 是 吧 零 二七 百八十 九号
您好 我 是 预处理 专席 代表 很 高兴 为您服务 您 是 反映 信号 不好   是 吧 这个 信号 不好   嗯 是 具体 什么 地方 信号 不好 请   地铁 是 三 二四
很 高兴 为您服务   唉 你好 查 一下 我 这边 打 过 电话 说 家里 信号 不好   然后 现 投诉 电话 信号 嗯   啊 打电话 打不出 电话 也 打 不 进来 拿 过来 你们 就是 移动 来 过 人 的 然后 出国 信号 就 跟 我 说 要 装 一个 什么 放大器 还是 什么 但是 后来 就 没有 再 联系 现在 还会接 那个 二百二十五 弄 那里 吗 唉 对
您好 很 高兴 为您服务   嗯 唉 你好 那个 我 想 呃 我 这边 是 那个 青浦区 授权 路 啊 然后 是 那个 一天 时间 了 跟 手机 了 然后 你们 你们 这边 的 那个 移动 的 信号 现在 你 看   就是 宽带 还是 挺 好   手机信号 很 然后 再 加 经常 经常 打电话 经常 是 拨出去 的话 要 等 很 久 然后 就算 通 了 然后 经常 会 有 就是 会 出现 那个 就是 什么 那个 那个 通话时间 和 剩余 套餐 啊 或者说 就是 打 不 出去
您好 很 高兴 为您服务 谢谢 你好   今天下午 他 换上 门 核查 到 手机 话 g 的 可以 三天 这点 我 手机信号 不好 打 你 记 车牌 电话 到 今天 人能 联系 我 吗   换 什么 帮 您 换 什么 东西 的 本来 是   就是 幸福 拿 去
您好 很 高兴 为您服务   喂 你好 唉 我 我 投诉 一下 最近 我们 那个 我 我 我 住 的 这个 小区 啊 但是 但是 这 一个月 的 钱 家里 信号 都 都 挺 好 的 现在 我 在 家里 没 办法 打电话 了 一打 就 掉线 是 怎么回事 你们 能 不能 对 吧 我们 这 覆盖 情况 再 看一看 对 吗   噢 好 请 稍等一下 您 是 在 哪个 区 啊   浦东新区
您好 很 高兴 服务   喂 你好 我 想 问 一下 怎么 我 的 手机 到 到 这个 地方 到 到 我们 上班 就 就 就 老 是 没 信号 有 四 g 的 都 是 完 无法 连接 服务器 啊   出去 对 吧   啊
您好 很 高兴 为您服务   喂 我 那个 我 在 家里 的 时候 那个 一直 是 无 服务 是 没 信号   哦 好 的 稍等一下 好 的 先生 您 现在 呃 小区 覆盖范围 内 没有 信号 是 吧 幺 七六 的 覆盖 好 的 周围 其他 移动用户 也 是 同样 情况 是 吧   应该 是 吧 反正 这个 地方 已经 有 有 一年 多 了 吧
您好 很 高兴 为您服务 你 这 是 移动 的 是 吧 在 上海 移动   移动 的 你 你 你们 公司 整个 是 一年 收手 都 多少 钱   什么 意思 先生 您 是 遇到 什么 问题 吗   遇到 什么 问题 我们 这里 上海 幺 就 已经 村 现在 电话 一直 打 不通
您好 很 高兴 为您服务   我 想 问 一下   请 说   我 我 是 在 桂园 路 一百五十五 弄 四号 幺 零 幺 的 就 说 我 这个 手机号
您好 很 高兴 服务   对 唉 小姐 你 看 一下 就是 我 这个 手机号码 就是说 现在 那个 就是 移动 这个 网络   是 上 网上 不了 了 是 吗 的 那种 跟 您 说 什么 问题 吗 的 手机 啊 先生   对华 为
您好 很 高兴 为您服务   我 想 问 一下 我 这个 手机 是 为什么 打 出去 电脑 直接 打 进来 打 不 进来 是   我 也 是 不能 接听电话 呃 您 有没有 在 自己 手机 上 输入 那个 井号 井 号 二 幺 井 号 但 通话 键 设置 过 了 吗 请 您 进行 幺 井 建议您 先 设置 一下 噢 在 手机 上 输入 井井 二幺井 然后 再 按 通话   键 也 可以
您好 很 高兴 为您服务 唉 喂 你好   嗯   我 这个 四 g 怎么 打不开 了 就是 那个 两 g 是 没有 了 就是 手机 上面 您 的 您 把 上网 功能 关掉 了 我 帮 您 重新 恢复 一下 您 手机 密码 知道 吗 手机 手机 密码 知道 了 好 那 您 输入 一下 十块钱   三元 包 三十块 钱 流量 对 吧 提供 哦 啊
您好 很 高兴 为您服务   唉 你好 所有人 打 我 电话 什么 都 是 响 一声 就 显示 在 通话 中   嗯 嗯 就 打 您 电话 去 就 只 想 一声 然后 之后 的话 就是 显示 通话 中 是不是   对 我 手机 就 没 显示 的 对方 跟 我 说 的 然后 我订 拿 我 自己 另外 一个 电话 打 这个 手机 是 这 样子 的
您好 很 高兴 为您服务   唉 你好 我 你 帮 我查 一下 我 这个 手机 现在 短信 发 不 出去 对   呃 人 是 根据 广大 用户 不变 反感 的 垃圾 短信 问题 为了 避免 广大 用户 受其 骚扰 我 公司 你们 部门 的 要求 在 上海 可以 帮 您 短信 的 处理 力度 目前 主要 通过 用户 举报 发现 任何 处理 垃圾 短信 这个 号码 显示 有人 去 帮 您 发 商业 性质 的 广告 信息 那 我 现在 帮 您 恢复 了 以后 注意 一下 就 可以 了 还有 什么 可以 帮 您 的   行
您好 很 高兴 为您服务 喂 唉 你好   唉 你好 我 这边 故障 申报 了 好久 了 昨天上午 九点 就 开始 申报 了 来 了 两套 人 都 设备 坏 了 但是 都 没有 过来 修   他 说 设备 的话 是 家里 还是   是 说 家里 的 就是 他们 他们 那个 他们 有 盒子 坏 了 吧
为您服务   唉 你好   先生   我 去年 年底 的 时候 有 反应 过 这个 问题 我们 现在 推出 的 自己 还 这个 地方 没有 了 嗯
对 吗   您好 很 高兴 为您服务 然后 我们 家 这边 那个 宽带 不能 用 现在   宽带 不能 用 是 吧 地址 是 哪里 呢   呃
很 高兴 为您服务   唉 你好 你好 唉 我 我 呃 我 我 家里 一下 那个 手机 现在 发过 嗯 嗯 都 开 了 他 开 了 国际漫游 啊 现在 收不到 信号 吗   哪个 号码 我 看 一下 手机号   幺 三九 幺 嗯 嗯 七零八 八 幺 二八
您好 兴 为您服务   喂 你好 就是 我 这个 号码 短信 发 不 出去   恩好 的 我 看 一下   嗯
您好 很 高兴 为您服务 喂 你 看 我 的 短信 昨天 跟 你 讲 我 发 不 出去 了 不是 说 你 说 弄 好 了 也 还 不行 呀   我 这 看 一下 那个 短信 的话 跟 您 之前 的 那个 情况 是 一样 的 之前 恢复 了 现在 又 停掉 了 原因 就是 根据 广大 用户 普遍 反感 的 垃圾 短信 问题   完 了 别人 给我发 正常 短信 信息 我发 这条 短信 呀   其他 短信 不会 的 呀 我 现在 帮 您 重新 恢复 了 然后 现在 可以 发给您 是 看 之前 的话 就 停 了 现在 帮 您 重新
您好 很 高兴 为您服务   唉 小姐 你好 就是 我 现在 我 这个 手机卡 人家 打过 打 我 这个 手机号码 我 老 是 收不到 什么 原因   麻烦 您 把 手机号码 报 一下 我 给 您 查询 一下   幺 三八
您好 很 高兴 服务   喂 你好   呃   就是 我 最近 这个 电话 就是 在 跟 人家 通话 跟 为什么 老是 会 自动 断掉 了
很 高兴 为您服务   唉 你好 我 那个 信息 发 不 出去 了 帮 我 处理 一下 呗   噢 好 的 原因 是 跟 您 说 一下 根据 广大 用户 不变   对 您 说
您好 很 高兴 为您服务   喂 你好 呃 我 现在 我 现在 这个 在 这个 位置 有时候 打电话 打 不 出去 的 时候 能 打 的 出去 它 是不是 这里 是不是 已经 做 了 屏蔽器   嗯 您 周围 其他 移动 号码 都 有 这个 问题 吗   都 有 这个 问题
很 高兴 为您服务   喂 你好 中国移动 是 吧   恩 上海 移动 您好 有 什么 可以 帮 您 哎   我 的 手机号码 为什么 老是 电话 打 过来 打 不 进去 什么 道理 啊 这个 信号 这个 卡 打电话 是 吧 我 再 充 一千块 钱
您好 兴 为您服务   小姐 我 想 帮 你 帮 我查 一下 我 这个 是 废话 手机 打 过去 永远 都 一下 就是 正在 通话 中 这 是 手机 关心 的 不是 应该 要 提示 关机 的 对 吧   这个 手机 上 是不是 开通 了 模式 啊   啊
您好 很 高兴 为您服务   喂 你好 我 想 咨询 一下 你们 移动电话 如果 是 没有 信号 是 怎样 反映 的   没有 信号 吗   对
高兴 为您服务   啊 唉 那个 你好 小姐 我 我 的 那个 iphone 六 手机 啊 我 怎么 会 打电话 老是 打 了 大概 一分钟 不到 老是 会 断断 了 以后 我 同样 是 我 为什么 老是 会断   断 的话 您 那个 sim 卡 的话 是 是不是 剪卡想 换 了 有 信用卡 吗 呃 我 听 我 听不懂 是 什么 意思 他 的 手机卡 是   换成 卡 呢 还是 东西 我 都 没有 没 换卡 呀 就是 新卡新 卡新卡 呀 现在 也 没用 了 那 我 以前 我 我 以前 没有 这种 问题 的 呀 我 以前 没 这个 问题 呀 我 就是 这 段时间 老是 打打 的 唉 到 了 后来 人家 说 我 现在 说 你 你 大概 打电话 的 时候 是 碰到 屏幕 了 可能 会断 啦 但是 我 现在 没有 我用 耳机 我 在 公司 用 耳机 也 是 打打 打 打断 了 断 了 我 就 重新 按
您好 预处理 专席 代表 很 高兴 为您服务 就 手   无法 拨打 的 二十元 左右 电话 不进 不出 了 是 这个 意思 是 是 这样 的 就是说 我 刚才 五个 人 打 我 电话 就 三个 打 的 通 两个 打 不通 然后 我 打电话 时间 也 会 出现 就 不分 打通 后面 就 这样 是 这样   对方 的 号码 有 什么 更新 吗 比如说 都 都 是 联通 的 电信 的 还是 都   这个 业务 啊 呃 移动 也 有 联通 有线 请元
兴 为您服务   你好   而且   我 想 我 想 问 一下 我 那个 手机 啊 联网 联联 不 上 原来 没 这样 的 情况 今天 发现
您好 很 高兴 为您服务   噢 先生 你好 我 是 这样 的 我 今天 出国 了 号 几个 电话 都 是 重要 电话 我 在 家里 呀 一点 信号 都 没有 不 知道 移动 怎么 了   您 现在 是 在 什么 地方   我 现在 在 宝山区
您好 很 高兴 为 您   唉 喂 你好 那个 我 有 一个 问题 就是 我们 我 这个 小区 我 在 那个 一楼 啊 没有 信号   手机信号 吗   对 手机信号 没有 信号 一点 都 没有 现在 您 的
很 高兴 为您服务   唉 你好 我 电话 现在 可以 打 出去 电话 但是 接 不 进来 然后 你们 刚才 告诉 我 打 进点 二 幺 井 然后 再 重启 我试 过 了 还是 不行   呃 您 不好意思 之后 它 上面 会 显示 什么 什么 取消 的 这种 标识 上面 之前 有 跳 出来 过 吗   啊 什么
您好 高兴 服务   你好 我 的 怎么 没 网络 呀 没 网络 了   没有 网络 了 对 啊   五五 微信 就 无法 连接 上面 网络
那 你 很 高兴 为您服务 唉 为什么 我 现在 手机 好像 不能 接听 短信   不能 接 短信 了 吗   对 很 奇怪   那 您 发短信 可以 发了 两毛
很 高兴 为您服务   唉 你好   请 说   短消息 发 不 出去
很 高兴 为您服务   您好 有 什么 可以 帮 您 嗯 我 我 不是 我 的 这个 小区 啊 不 知道 恩 移动 的 信号 差 的 是 一 差不多 啊 打电话 太 不 方便   呃 不好意思 给 您 添麻烦 是 周围 其他 的 移动 号码 都 有 其他 的 问题 吗   对 所有 的 移动 号码 都 都 是 号码 都 是 麻烦 反正 我们 在 家里 就是 别人 在 我 手机 没 信号
很 高兴 为您服务   哎 麻烦 你 帮 我 转接 一下 这个 维修 维修部 好 吧   宽带 吗   不是 那个 电 电话 的 信号
为您服务   唉 你好 我 的 身份证 上面 的话 还有 另外 一张 电话卡 然后 我 一回 上海 就 显示 无 服务 但 我 回到 杭州 的话 它 就是 正常 的 使用 帮 我 能查 一下 吗   呃 您 报 一下 号码 给 我   呃 幺 三八 六七 幺 六零 七四 幺
您好 很 高兴 为您服务   你好 唉 我 问 一下 我 这个 地方 为什么 今天 都 没有 信号 呢   信号 您 说 您 这个 地方 没有 信号 那边 移动 号码 都 没有 啊 办理 我们 办 不了   移动 移动 的 就是
您好 很 高兴 为您服务   唉 你好   唉 那个 我 这个 短信 发出 去 了 然后 刚刚 打 客服 说 他 帮 我 解封 了 怎么 到 现在 还是 发票 呢 稍 等 我 查询 八 零零 您 现在 短信 功能 已 被 停机 多次 现在 没有 办法 恢复 了 这个 月 你 平均 三次   是否 恢复 不了 的 这个 月 对 呀 您 是 八月 三号 回复 了 已 是 八月 四号 回去
您好 很 高兴 服务   噢 是 这 样子 我 的 我 的 那个 电话 就 就是 呃 没 打 出去 但是 呢 就是 好像 打接 不到 吗   就是说 算 这种 在 手机 上去 一下 井井 二幺井 拨号键 然后 再 帮 您 手机 关机 重启 一下   就是 昨天 让 我 试一下 你 稍等一下 嗯 你 等 一下 那个 说 什么
您好 很 高兴 为您服务   呃 我 有 一个 手机号码 没 信号 了   呃 微 信号 报 一下 号码 多少   幺 三四 九七 二七 二三 幺 幺 三
您好 很 高兴 为您服务   喂 你好 先生 我 想 请问 一下 我 这个 这个 手机 怎么 现在 数据 怎么 怎么 那个 上 网上 不去 了 吗   这 上网 功能 是 正常 的 您 处理 数据 开关 打开 也 不能 上 对 吧   对 呀
您好 很 高兴 为您服务   喂 你好 呃 我 想 咨询 一下 就是 我 的 手机号码 就是 几天 好像 是 说 很 不 容易 打 进来 现在 有时候 手机 正常 但是 他 又 说 电话 打 不通   是 打 过来 什么 提示 一年 不到 吗   是 要么 就是 就是 是 断线 电话 是 无法 接通
您好 很 高兴 为您服务   唉 我 加个 移动 信号 越来越 差 了 怎么办 呢   就 家里 其他 移动 号码 都 有 同样 的 信号 计算   唉 我 我 家里 现在 我 用作 自己 的 座机 打 自己 的 手机 在 你 这里 可以 的 我 靠近 窗户 可以 的 我 到 厨房 接 就 没有 了 打 都 打 不 进去 来电显示 来电显示 是
您好 兴 为您服务   唉 你好 我 刚刚 查 就是说 你们 这边 打电话 说 我 我 昨天晚上 就 反映 给 我 就 上 不了 网 然后 他 跟 我 说 这个 修好 了 但是 我 反映 一下 就是说 没有 啊 这边 根本 就 没有 有 呃 有时候 我 这个 打电话 打 过去 不会 畅谈 王   您 手机 是 不能 上网 吗 之前   对 他 打 你们 这边 打电话 给 我 反映 一下 这个 卡 但是 没有 好 啦 让 我 关机 然后 我 重新启动 有没有 好 啊
为您服务   喂 您好   您好 您 说   我 在 北京 东路 没 信号 啊 过 了 好几个 月 了
为您服务 喂 你好 请稍等 是 呃 我们 办公室 就是 那个 信号 信号 老是 显示 满格 老 是 断线 就是 把 惠惠新 呃 反正 信号 部门 啊 这个 这个 怎么 怎么 那个 线 呃 在 那个 呃 浦东新区 周浦 这边   浦东新区 啊 问题 出现 有 多久 了   号 起来 一直 一直 没 搞 也 不是 一两年 了 有 是 的   这个 帮 您 转到 我们 信号 部门 反映 一下 请 您 不要 挂机 周围 其他 号码 都 一样 对 吧
您好 很 高兴 为您服务   喂 你好 我 想 问 一下 我 现在 使用 这个 卡 只能 接电话 不能 打电话 是 什么 原因 呢   稍 等 我 看 一下 啊 小姐 他 是 一张 那个 mpm 的 无线 上网卡 它 这个 网卡 的话 只能 是 用来 上网 和 接听电话 短信 和 语音 功能 都 没   噢
很 高兴 为您服务   唉 你好 你 看 我 现在 所处 的 公司 为什么 信号 移动 信号 一 一直 很 不 稳定 吗 然后 然后 在 在 楼上 办公会 少 一点 楼下 办公 就是 无 服务   周围 其他人 都 有 这个 情况 吗   对 的
谢谢 啊   唉 喂 你好 我要 投诉 这个 信号 其他 问题 我 这边 是 嘉定区 外冈 西路 一百号 当地 厅 系统 我们 手机信号 移动 信号 在 这个 意思 说好 你 稍等一下 我 今天   需要 办 五块 月租 我 刚刚 受理 一个 那个 地方 的 投诉   啊 对 就是 我们 同事
您好 很 高兴 为您服务   唉 我 加个 移动 信号 越来越 差 了 怎么办 呢   就 家里 其他 移动 号码 都 有 同样 的 信号 计算   唉 我 我 家里 现在 我 用作 自己 的 座机 打 自己 的 手机 在 你 这里 可以 的 我 靠近 窗户 可以 的 我 到 厨房 接 就 没有 了 打 都 打 不 进去 来电显示 来电显示 是
您好 很 高兴 为您服务   喂 唉 你好 我 我 就是 那个 想 问 一下 呃 我们 这边 是不是 宽带 和 有线 都 不好 啊 今天 早上 都 没有 信号 吗   现在 是 跟 宽带 都 不能 用 吗   对 都 没有
