您好 啊啊那呃移动公司是有一个活动是文旁充话费流量的 门旁充话费的流量您是不是在那个微信息上面的 然后是营业厅那边的 就是那个手机营业厅那边的嘛嗯那个活动上面有看到这边是可以啊 噢我昨天充的是呃不在我是那天赠送五百兆流量还没送过来你帮我这样办理一下吧 我那个我这边流量用完了还有人人工台办不了啊它这个是就是就它那里面是系统这边到期会自动给您赠送的就我们人工台没办法给您办这个里面的这个业务啊你等等啊 那我这边有没有快用完啊 
您好请说 喂你好 你好 我跟你说啊因为这个其实是我我妈在用是老人在用的啊你们刚刚那个移动的一个客户怎么打电话过来本来我吗这个就是每个月保底消费十八块已经用不完然后它又怎么打电话叫他改三十八块的是什么业务更改 这里面没有更改啊 还没审呢他说下个月生效啊 这边没有看到有被更改的记录啊没有更改下个月您现在还是十八元您可以月底再留意一下对如果说有被更改会有什么异常的您可以打电话进来我们帮您处理现在我这边才没有被更改的记录 啊对啊是老人在用它一个月十八块的用不完那个改怎么改我我就搞不懂啊 
对呀 您好很高兴为您服务 啊喂你好那个我有个问题想问一下嗯那个那我本来是去年办了那个三十八元套餐嘛然后它是有赠送宽带那我记得好像是送两年内可是我现在才今年时间为什么一个一个月就收费要六十九块钱 噢它宽带吗是买一年送一年送一年的时间它要办两年只送一年没有送两年的 噢这样子嗯那那那也就是说我这两年两年之间那个套餐都不能电视吗 嗯是没错 就是三十八元套餐也不能升级或者说不能改其他的是吗 对对对没错 
您好请说 噢呢好我这个套餐之前不是有送那个一g的流量吗为什么现在没有 赠送的那个到期了 到期了怎么 嗯对 噢那就是说要换一个套餐还是收到嗯嗯 您如果五百兆不够的话可以换一个套餐啊 噢这样子 
您好请说 噢我那个六十块钱六g的那个流量现在买不了啊 先这个月有买过吗 这个月有买过 噢它一个月只能买一次了先 说只能买一次 对你要等下个月再买 那有什么比较实惠的流量包吗五六零二比较多 
您好请说一下 你好我是我想问下上次不是在那个那福建营业厅让收到一g流量他说十五号之前会送的怎么还没送 请稍等我查一下嗯呃这个流量的话我帮您看一下有额外赠送啊有一个g的省内流量啊十月六号就已经到账了 没有啊他都没有没有流量套餐啊 有啊帮您查过了 噢移机的话 对而且您这边的话也已经有在使用了已经有用了三百多兆现在还剩七百零三兆如果您现在在省内的话那您这个七百零三兆还是可以直接用的 那我想问下要更换现在要多少流量 
对您好请讲 你们能不能帮我处理一下你那边经常给我打骚扰电话问什么套餐推销什么东西能不能不要再再给我打了 噢它是什么号码打给您的那我会帮您去反馈一下 都是你们移动的很多个号码好像一个月一个月接收很多 就是私人电话说自称是移动公司的是吗 对对对没错没错很多很很抱歉人 好的那实在很抱歉那我帮您报到后台部门投诉一下 对对对你注明一下不要再跟我打还需要什么套餐我自己回去改 
您好请讲 诶你好我用那个专款那个呃余额专款一个专款怎么每个月会少少掉一点少掉一点这什么意思那是因为之前不是有参加一个宽带活动吗 它宽带活动的话是第一年免费的吗第二年需要您自己付费那第一年免费的话他把那个钱 放在您的专款余额里面我知道每个月二十一二十一拨过来吗 呃他是说就是二十一然后您之前还有一个就是不是有那个机顶盒吗它有那个机顶盒不是购买的时候它有送您一个两百块钱的话费两百块钱话费的话他也是放在专款余额里面比如说以后用来抵扣您一二年宽带费 哦这个我明白我是说为什么你不是说要诶到期了当然抵扣吗那我怎么现在又有百分之 对我们每个月是给您存进去放在专款余额里面那您每天扣掉那个宽带费就从我们存进去的钱里面少了 老是每天扣的不是二十一块一次性扣 
您好您说 诶您好我想问一下我里面诶这个手机号码里面还有两百多块为什么就没有送出来呢 两百多块 这样好像是办了什么套餐送的 您稍等一下 啊我啊 感谢耐心等待目前的话帮您查询的话您这边之前是有手机的活动 它这个两百 
您好请讲 你好那个我这个买手机送话费有两个月没返还之前买手机你们也没有说那个那个手机这个手机一定要使用把呃送话费的那张卡片 噢那您这个月这张卡放到那个赠送手机上要使用要不然会导致话费没有返还的 嗯之前买的时候你们营业厅么讲啊然后导致我两个月没有返还下怎么处理呢你们没有讲清楚完 您的这个问题的话之前有反映过了我看一下当时我们工作人员给您回复过 回复我没我我那天没接到电话 那我帮您看到掌柜上去看一下能不能怎么处理到时候会有工作再给您回好吧嗯 啊你帮我查一下这两个月呢嗯嗯 
你好哎你好你好诶诶我想问一下有一个什么下午茶套餐的那个四个小时不是一块钱了怎么今天这两天都给我发说是六块钱呐 它这是原价六块的您自己出要扣这个费用的时候只要扣一块钱就可以了 噢噢这样子那我让他每次订购都是一块然后后面有发信息说什么六元套餐 就是正常收费原价是这样收费的 噢噢那明白好谢谢啊 不客气需要其他帮助吗 啊不用了 好那生活愉快再 
您好请讲喂 哎你好 就是我前天上嗯这样子我要叫什么g套餐的活动算到一g流量为什么幺 云南新疆状态那您看一下他有没有写什么时候给您赠送过来 他说十五日它说是不是说送过来可是现在的嗯问一下块一个月的时间上因为诶那为什么哎用超九一天了嘛干嘛还有为您服务喂海鸥几分钟啊好好其他扣掉了也不会让我那个不要其他疑问吗好嗯嗯嗯 呃先生您好我看一下目前是没有流量送过来的记录是这个号码参与的是吗是遇到状态 一百四两三呢返 十五日的话那这样吧我能帮您这个情况上报后台人员去帮您查一下但他那个流量什么时候送过来一g省内的是吧 
您好请说 噢我刚才打电话那个打你们幺零零八六过那个断了然后我是想问一下因为我呃你们那个幺零零八六前几天大概尽快一个星期了打我电话说问我什么微微g的那个手机一部然后要叫我用呃一百八十八的套餐然后还送我流量然后我我说可以呀他说要用两年嗯多吗二十八个月嗯两年半然后后来我我不是呃那个用了吗用了然后但是两次的都没给我一部手机里面预存吗 肯定是没有看到您有办这个活动啊我们只能看到您之前有办理过手机活动啊 然然后嗯嗯他前几天刚刚那个通知我啊 您是接到幺零零八六电话吗 啊没错没错 但是如果说工作人员有帮您办的话到时候会有短信通知您啊 但是也没短信回复短信也没回我 
吗 您好很高兴为您服务 诶你好 你好 我这手机刚刚订了一个那个六十块钱六g的流量包怎么现在还没不是说当天生效的吗怎么现在都还没有啊 有啊已经开始了我帮您看了已经有开了呀先生 已经有开了那我真的营业厅上面的话看到他这边 没有刷新出来在十一点五十八分刚开的就刚开一分两分钟了那您稍后重新再去刷一下吧已经开了先生 
很高兴为您服务 应该找起来喂 您好请讲 诶那个 诶不是 就是你那个宽带费每个月收了六十块钱的时候返还我三十块钱可是我查这两个的记录都没有还 我查询一下请稍等 呃每个月没返还这个问题啊你们这个移动这是为什么直接收三十块钱不就好了吗为什么要扣六十块啊手机呀 
您好请说有什么可以帮您的 额你好那个我前几天有什么里程区的什么那个营业厅给我打电话是给我电话的两千多积分换成的他说有人跟选择哪一种是二十五元的电子券一种是那个二十元的话费但是我跟他讲的是要换二十元的话费啊然后他怎么发来的短信是二十五元的电去了 等一下哈 嗯 没错他给您换是电子券 嗯我记得我是跟他讲要话费的 那现在是想换成电话费是吧 对对对 
您好请讲 你好帮我看一下就是我刚才又添加两个成员有没有交成功啊 我们现在给您查家庭网的是吗 不是家庭网是那个 宽带群组的啊呃宽带停掉我们看不到号码呀号码这个得带上身份证去营业厅核实的 我知道关键是我这边有交了为什么这边显示状态没有没有加成功啊还是 嗯嗯如果没有参加成功的话要带上身份证找工作人员帮您直接申请屏键 吧 
你 您好请讲 你好我那个这一部手机能过来能寄过来这么 我这张先生现在我们的手机活动其实还没给您寄是吗 对啊他说有异议还没寄没寄过来三个多月了 我相信的话之前的话是九月十六号的时候受理的业务到现在为止都没给任何的通知跟电话是吗 呃对 呃我查一下回复一下我是查看一下我是查看一下现在的这个技术阶段我是确认一下到时候给您回电话我查一下好吗 
一下就是很高兴为您服务 喂 诶您好 你姐请问一下噢刚刚有有有那个幺零零八六的客服跟我说那个订购怎么办理什么活动那个是赠送的还是还是还是就够了 那个是一个活动就下个月嘛原价是五十元移动公司每个月给你补贴那个三十就你自己只要付二十就可以了 那他跟我说是赠送啊 赠送的也可以这样理解您五十它送您送你三十嘛这个是赠送您三十块吗 哎对啊你付二十块 
您好请讲 请问一下我这个不是一个月要送话费吗怎么没我没找到那个谢谢 您这边的话当时每个月的话您当时办理这个手机这个活动的它这边每个月给您赠送返还这个话费的分十个月给您返还的所以这边的话手机有没有跟号码有没有绑定在一起使用啊 没有 没有绑定在一起使用所以它现在没有这个话费返还啊您号码要跟手机要绑定在一起使用您到时候里面剩下的话费他到时候他会有接着上班每个月给您返还二十四块钱 哦那意思是这个月都没有返还四十对等于说您要现在这个月时间也没到啊 您就要尽快放在上面使用最少要连续用十个月啊达到这达到它这个十个月以后到时候您要才开用的话就没关系的对它前面十个月最少要绑定在一起用的 那为什么要这样子这样子呢 
您还有什么需要帮助你好我想问一下我今天 就 这边 是弄的那个一块钱预约下午茶流量为什么它体现是六块钱的 稍等我帮您查看一下我帮您查询到了它是价值六块钱但是只会收您一块钱的这个您不用担心噢这样子噢对没错行行那我就看到奇怪那他是在我电话费里扣吧对吧对没错噢行行好谢谢啊不客气祝您天天开心 
啊您好请讲 呃您好我之前在微信上参加你们公众号的一个活动然后抽到了两张掉吗性格券那个没法用 呃就在哪些呢对稍等一下啊就是我们哪个微信公众号码 对中国移动幺零零八六对吧 中国移动幺零零八六您稍等我记一下噢嗯嗯中国移动幺零零八六微信的公众号您是说参与什么活动的呀 活动国际期间呢因为我手机上一个活动吗抽奖还是什么反正我也不太清楚因为我当时就随手充了两张充了两张线都没法用 嗯就现在去那个商家没办法使用是吧对 那个那个那个大那个券的代码输入进去没法兑换噢 
您好很高兴为您服务 不要诶定将是不是啊就是我昨天收到一条短信他说我办理那个什么十块钱三g流量的那个什么再见 嗯这个是送给您的这个月使用的没有收到您费用的 但是我不需要这个啊他说没有提前通知我呀 先生这个流量是给您体验的这个不会影响你啊 要不要收费要要要扣十块钱的呀 噢是这个确实会送您十块钱非常抱歉嗯您这一块的话不是您自己办理了那我这边帮您反馈到后台去专门的工作人员会去核实不是您这办理的话这个费用这活动帮您取消费用看能不能帮您申请退还给您的啊等到这个非常抱歉了 然后还它它那个啥都没用我本人同意然后四十八那个办理这个东西 
八九您好请讲 呃您好是这样的噢我之前办了一个套餐是幺二八的套餐然后我到今年这个九月份九月份就到期了那我现在先不是已经十月份的吗那它怎么还还继续给我用那个幺幺八套餐我之前去那个人工台那边又又换了换成九九十的套餐 那个下个月九月份话费对您办理这个保底消费九十了但是套餐的话如果您不更改他是一直都在的保底消费跟套餐是包一样的 消费噢保底消费的所以跟套餐是不一样的不一样的对因为套餐是包含在保底消费里面 您可以把套餐改成八八八都行哦这样子 那就是说我现在要改套餐的话是可以是吗 可以啊我这边可以给您改但是改的时候每个月还是一样要保底消费九十块钱您可以改为五十八的八十八的都行 五十八跟八十八是吗 
您好请讲哎 喂恩你好呃流量那个六十块钱六个g那种流量我怎么订不了那种 为您自己手机上已经有一个这个六十元六g的这个流量里面还没有用完还有五百多兆再没有用完之前它是无法重复订购的要全部用完了才能再办的 呃是不是说我随时都可以申请啊 呃在我们今年年底前都有这个 元我是说这个月如果我不够用可不可以申请那个 这个月您要用完了这里面的流量才能够再次申请啊它每个月可以办一次但是前提是前面办的要用完才可以再办 呃这个月如果用完了可以办可以用是吧 
您好请说 你好那个你上个礼拜就是说赠送欧泡手机到现在还没寄给我的 好我看一下哈 四号 我看一下你这边在四十四号的时候短信通知办理的它这个的话呢要要再等等看一下因为他这种让后面的工作人员会骗办理了别人进行技术正常它有办理成功已经短信通知的您现在没收到通知提醒 哎可以可以谢谢啊 不客气那目前查询到 
您好请讲啊 诶喂您好我想问一下就是你们那个移动的公众号是有那个剪刀石头布的那个活动但是我从三月份开始参与的活动的时候的充值它都是失败的这两天我也是有两个充值失败的那你们这个需要怎么处理的 就您参加剪刀石头布暂停的二四五八八零的 但是都没有领它每一个页面都给我发那个充值失败充值失败已经好多次了 我这边帮您报后台去核实是什么原因那您后续留意下会有工作人员核实后联系您好吗诶好的好的谢谢嗯嗯好的帮您登记了其他需要帮助您的吗呃没有了谢谢好祝您生活愉快再见 
嗯嗯嗯 你好 哎我今天在那个不用手机你那个听到专门做两g流量为什么还没到 讯大转盘是在是在哪里参与的 福建手机营业厅 手机营业厅我看一下大转盘中的两g稍等但他大概活动上是怎么说的 在十五号之前会到货到流量到 那就是你上个月参加了吗 
嗯您好请说那 就是我买那个六十块钱六个g的那怎么买不了 六十元六个g的嗯买不了可以呀您是在哪里操作不行本月是您是之前有开过吗我看一下哈它是一个月是开一次我查一下您记录噢是这样的先生我系统显示您在十月八号的时候开过一次了它这个是一个月开一次那现在还是在十月份所以说现在做不了 噢那有没有其他流量多的全国流量 流量多的现在移动这边是没有了 几天过来没有了是吧 对没错您可以或者就是登陆那个移动营业厅上买那种小时包日包或者其他网站上看一下吧恩好的那还有什么可以帮到您的呢 功能 
中行 喂你好 您好请说你好 诶帮我查一下这个号码我我报给你一下啊 诶 零五九幺 零五九幺 对没有改一下吧我再跟你讲嘛我号码先报给你吗对零五九幺对哎对二 
您好很高兴为您服务 啊我那个有一个那个送送手机那它怎么帮我弄了那个九十块钱的那个我的一个月交不了一下的啊他帮我要帮我取消掉 先生你这个手机活动是要求你保底消费九十的您是说不要了吗 我不我不需要了那他骗我的我要投诉他 那你你手机拿了吗 我手机他就叫我退还给他他叫我不要投诉给我退还给他我退还给他他还没帮我删除掉 我看到你联系人反映过这个问题了是吧是啊那行那我知道你不要着急噢我这边通知我们后台人员去把您的活动取消他们今天下午或者明天会联系您的好吗 卡已经已经他是没后台已经通知过他了他怎么还没到期啊都一个月了有一个月了 
你好请说 关机我那我那天接到一个电话了噢那叫我一号开这个什么三十八块套餐我我不想开可以吗 您这边的话没有变更套餐呢 我知道了他说是下个月给我开他说也不打电话给我了那我我就说想一下我我就说我不想卡因为我家里签来电脑我不想弄 嗯嗯还需要保留原来的套餐是吗 啊我现在我就按原先的原先怎么怎么样就怎么样的嘞我我我我不弄三十八块的嘞 可以的您的这个问题我帮您报到后台让工作帮您核实一下好吗 噢就说那些是就头两天他打了电话我一下说会掉我说行后来我想想我我说我家里我现在电脑我不需要弄这个 
喂您好请说 诶我想问一下我这个本机就是说保那个说我这部手机是送的手机 就说他是说保底消费九十块 只要要要用吗几个月才能用 取消掉嗯活动活动三年啊对 再见噢那如果说突然之间不用了那还是 那怎么办啊这个活动活动期间这个取消不了这个保底消费啊 我说我就说我如果说比如说我这张卡比如说万一是说不用了这些这样子费要要怎么办啊 
诶请说 你好我想那个就是那个我手机那个欠费了嘛然后它那个返还那个话费的话还没帮我达到那个账上然后就直接给我停掉了 请稍等一下帮您查看一下 不是这部手机是另外一个是吗对对对然后我那个手机它刚刚我刚才已经打过电话他说我打这部手机我这部手机打不了了 号码跟密码先告诉我一下 密码就是不知道啊然后他叫我用这部手机打我这部手机现在打不了 之前是有那部手机反映过这个问题是吗 有啊号码多少交完又给我停掉不是这个号码多少幺三九嗯嗯五九幺幺 
为您服务 喂您好我想问一下就是前一阵子你们有打电话来跟我们讲说呃我这个手机号码可以送一部手机会给我们寄过来可是你们都没有寄给我们呢 给给我帮您 微信吗喂 二零 留点小生就是了我想这个手机什么东西过来啊 好的好的吧我 你你你你看一下那个有有没有包括你没给我们寄过来 
嗯嗯您好请说 诶你你们自己省外有什么那个充一些送六百那个话费或者是啊 充话费送话费的吗 对啊 没有做过这个活动现在 那为什么又场外有人打电话说有这个活动 它是送的是什么ip充值卡是不是私人电话 他说没不是他说你比如说充一千就一千一千六嘛那每个月返还我们一百六这样 
您好兴您服务 喂 您好 啊你看我那个做活动送话费手机他说二十五号为华为手机我也没要怎么那个他说他已经办理成功了怎么哎又不是取消了吗 就是没有办理是吗 我没有办理啊 他是哪里办理的 啊它这是移动总共是啊我也不知道诶他说手机手机有没送来他说的时候他说二十四小时有两千多两千了我也不要另外就 
您好 哇哎我昨天他不是你那个什么移动公司这边说什么要送什么手机给我我回来跟我老公商量呢他说你叫我保底八十块要三十六个月我想要不划算我就不要了什么以后再送来 没关系您是 啊我就是这个本机之内就跟原来不是七十九块套餐嘛它昨天有一个打电话给我说叫我再加一块钱钱不是送一家包括的手机我的我回来跟我老公商量一下他说要我用三十六个月我想来想去算了我觉得怕以后都不清楚营业厅那你就不要送来吗我取消掉 可以我这边帮您登记取消这个活动然后我们工作人员会在这一条两年内联系您 噢好那谢谢你啊我就怕麻烦你送到这边来再回去太麻烦了 嗯那我这边可以帮您登记您放心 噢好谢谢 
喂你好有啊关你好 哎噢就说我那个在那个福建营业厅那边剪刀石头布为什么每次都没有充值成功啊那个流量 请稍等我查一下 哎 的帮行请呃好的我知道了这个是因为你这个号码的话那个之前有在那个微信上面参加的那个其他的活动有领了很多那种一百兆两百兆这个省内流量这个剪刀石头布的流量互斥就是说就没有办法重复付款重复办理了 啊我想问一下 嗯是的 噢那那个中洲博现在为什么拨不了啊 
您好很高兴为您服务喂你好 刚才那个有幺零零八六打电话过来说办那个五十元那个套餐呢 嗯嗯那个是做活动的一个月只要二十块噢不用了不用了这样那这个不用是吧那不要我去后台帮您申请撤销四十八小时之内给您关掉好吧嗯那不用不用行那还其他可以帮您的吗不用恩好那感谢来电哈祝您生活愉快再见 
你好请说 哎你好我就是说本来想办送一部手机的然后现在你们给我办了一个什么套餐不能送了 噢您办了什么套餐呢您知道吗 他给我办什么三十八套餐送那个什么语音两百分钟的那个 噢您现在是要取消那个活动吗 对对对我要取消掉不然我手机都不能使用了好吗 噢您稍等啊我去帮您申请 它这个申请下来要多久才能用噢 
您好请讲 你好我这边看了一下有一个一百块的数据流量那是怎么 请稍等帮您查询一下吧女士那个流量包是之前参加那个一百块钱流量送那个每个月送九十五块钱话费的活动就您一个月只要出五块钱就有三个g省内流量活动优惠的然后这个活动是六个月下个月一号就开始自动取消掉了下个月一号到期了 到下个月噢 嗯对下个月一号就没有掉了 这个月月底我怎么说呢怎么会有那个一百块钱 它这个不是扣您一百块您自己只要出五块钱这个活动的优惠的 你好 
为您讲 喂你好我想请问一下就是那个在那个就是手机微信营业厅上面它不是有个六十块钱的那个充值六g的那个流量吗然后呃五显示它是没法充呃帮我查一下是什么情况吗 我帮您查询一下呃您原来还有开通一个六十元六g的这个没有用完要先用完之后就可以开 噢用完之后才可以开是吧噢好的先生那我知道 谢谢啊嗯不客气其他其他可以帮您的嗯没有了好谢谢 
您好请讲 诶你好哎昨天有一个电话他打电话讲给我办那个什么他改套餐的嗯嗯用你们那边的业务啊那我现在都还没收到短信说剩二十八套餐我现在二十八的套餐嘛是啊对他想改三十八的套餐 我们有一个三十八的是有国内打国内一百分钟本地打国内还有三百这总共有三百分钟可以用 然后流量国内的有 一百兆省内的有一千四百兆总共一点五个g去交这个干嘛 对对是这个啊 噢这款套餐我们是有的那如果您要改我现在可以帮您改这个月改好下个月一号生效 噢他他昨天那个电话改的是是你们那边的服务热线吧 
您好很高兴为您服务 你好呃我那个手机那个本月的承诺消费期的活动啊那个每个月返还五十一块到现在还没进来怎么回事啊 那你当中有有你单位换过手机了或者他因为要用四g流量才有返还我不知道您当中手机有没有换过请问一下 没有我是这样他要求我我我用我那个手机卡在另外一个送的手机要要要要不要钱一次啊我今天我这个月我已经过三次了 那您上个月用过啦他是跟这个月 上个月有线上上个月进来五十块钱的呀 不是我说你十一月份有没有那个手机卡使用过 身份证手机卡用管业务包 
高兴为您服务 唉喂你好唉是这样子啊我上个月的流量不是就从两个g变成一个月的吗后来你们让我发个什么流量大狂欢这样的帮我发你给我说这个月给两个g的刚才我一查好像还是一个g吗 那是因为活动有额外加送啊送您一个g在上海本地用的一个本地流量我晚上十一点到凌晨七点用的一个g的夜间流量呀 哦大听明白你什么意思就是我查查不到了 没有可以查编辑幺零九幺到幺零零八六进行查询这个比较少应该赠送对幺零九幺发送到幺零九二六 噢好就是在晚上十一点到第二天四四g的七点当中用的流量是它不会扣我就是本月流量会扣那个夜夜间流量对对对是您的 十一点到七点到七点对 噢好我知道了谢谢啊 
您好兴为您服务 哎你好我想我想要查询一下我的那个流量的一些东西我我这边的话我今天改了一个我的那个选套餐费用还是跟原来一样但是说是那个那个就是说开的那个流量原来是一g的现在定两g的你帮我看一下能看到吗 嗯对是改从下个月就两个g每个月国内流量两个g还有送吗嗯这个没有送这两个g 啊 这两个g流量 没有送吗 对是的 那我同时办的好像它有送的呀 
您好很高兴为您服务唉你好帮我看一下我那个话费的那个活动嗯嗯怎么还没送 呃它是每个月到告诉我应该是今天送您稍等我看一下已经送了呀二十二没有送送了五块钱您上个月有没有把您的号码放在那个手机里面产生四g流量的只有产生他才会送啊 卡帮我哦送六十八嗯那个什么时候上网了我都用wifi了 噢那没关系那只要您等待一下因为今天是 那种吗 您看看晚上或者不送如果没有送到你明天来电我帮您转到后台帮您看一下能不能补给您好吧您先等待一下 你帮我看一下它那个送话费到我这个送话费到什么时候 呃您是一年的活动两年的活动到二零一九年的啊您稍等我看到二零一九年的四月底结束 
您好高兴您服务 二十二十一号是那个账单呐转过来的情况是这样的是这两天有人跟我说什么送我一个无线路由器把我流量送到三七送一个无线路由器其实然后打电话给我说是让我装装宽带 嗯嗯 我然后是然后我现在查询下来他这个小姐就是说我的流量也没有收到三g突然之前多了一个无线宽带我把这个取消掉叫他明天不要了 这个宽带您不需要对吗 噢不是我你既然我不忘记了我还我还是什么呢我们进去的话说什么呢我肯定是不需要跟我说你们昨天你们今天早上打电话就能就是现在我也看不懂了上面打电话一样的 嗯那这样不好意思那您现在就是宽带还没有来帮您按照吗 噢没有了它预约跟我说明天稍稍什么宽带我也听不懂了我又没申请过他是因为前期有一个就是你们移动兆家浜路营业厅的人打电话跟我说因为我现在有一个活动什么升到三g送一个无线路由器 
讲 唉你好你好我这个号码的有不是有一个宽带吗上个月它那个但是呢我看我办理的时候他在我们小区搞的一个活动是两百兆二十块钱一个月那现在我看账单是一千多还是按原来的那个没有这个优惠还了呗收到我不知道怎么回事我上午已经打过电话因为这个营业厅现在正好在超出所以我跑过去才能关或者 嗯我看一下啊啊这个单子问题我们已经帮您派单过去啦 但是我现在又自己充了钱才开通的我们已经派过去了帮我看营业厅再续休息嘛然后我想今天去要把我手机停机宽带不能耽误很多钱我要我要我要出去订机票什么都要反馈到这手机号你们这手机我觉得要尽快处理一下 嗯我知道我们已经帮您派单过去了我们帮您再催一下到时 那个营业厅那个九月十三号到十月十三号一个月在装修我刚才过去了过程在装修没人 嗯嗯 那我们这边 
我想问一下 呃我开通了一个就是说是幺幺幺那个流量包是一元团购的然后我看我参团成功了别人都已经好像流流量王要没有收到短信也没收到 好的 屏蔽一下 嗯今天订嗯感谢耐心等待我看到您已经呃就是说有个谈谈标识了但是是不是平台人寿还没有达到啊 呃到了其他两个人已经拿到流量他们短信也来了一共三三个人对吧 哦这个我这边看不到这边没看到有一个号码 但是别人已经拿到流量给我办说我三三办的 
您好很高兴为您服务 唉喂你好就是我想问一下就是我上个月在那个书联系购买了个手机然后办了一个我的好像是那个十八个月前返话费的一个五十八块钱套餐然后它是每个月返还二十三块钱然后他这个月没有返还过来我想问一下这个是什么情况 那您当初参加活动的手机跟这张卡有没有放在一起使用产生四g网络流量呢 当时那个卡是在另外一个手机上用的然后但是我换手机老卡换到这个手机上来了 那他这边是不可以换手机它这边显示您这边参加活动是区口诶五七七的这个手机您要跟这个这张卡要跟这个手机放在一起使用产生四g网络流量它是要求您介绍匹配十个月的 大概只要 每月用一次的话它次月就会给您正常啊 你你说的我这个卡这个卡就是那个在那个买的这个手机区百五机上用的然后那我是上个月没用我还我是从这个月开始用的 
