您好请问需要办理新装宽带吗嗯是 噢好的那麻烦您告诉我一下您安装的地址在哪里我帮您查查一下地址是在那个呃将军大的 
您好很高兴为您服务 公司宽带你把这边地址报一下查一下有没有线路和价格 
您好兴您服务 好的是哪个号码办的本机吗 
高兴为您服务 嗯 
地址 嗯 
您好很高兴为您服务 唉你好你帮我这个这个这个宽带五百八的取消这个现在是免费的您这个也不用了是吧 
您好兴您服务您好 你好 
您好很高兴为您服务 好的请问您什么地方申请呢 
嗯请讲先生 他为了更好为您解决问题我将您电话转专席处理取消的啊 
您好很高兴为您服务 嗯嗯 
您好很高兴为您服务 那我应该这个嗯 
您好很高兴为您服务 聊空气 
您好很高兴为您服务 嗯嗯您稍等不要挂机啊为了更好的为您解决问题我将您电话转接专席处理有专人为您解答请稍等 
很高兴为您服务 宽带是吧 
您好很高兴为您服务你好我想办理那个宽带移机呃是这个号码绑定的宽带移机对吗 好您稍等一下 
您好很高兴为您服务 您是想办个移动家庭宽带是这意思吗 
很高兴为您服务您好 家里地址报一下 
您好很高兴服务 您好请讲 
您好很高兴为您服务 您的地址报一下 
您好很高兴为您服务 现在 
您好很高兴服务 
您好请讲 家庭消费的话这个是要主号码是上海户籍的要办家庭统付活动您这边是上海户籍吗不然它这个要担保的 
您好很高兴为您服务哎你好我想就是办一下那个家庭宽带那个业务请家庭宽带 嗯那您什么地方装吗 
啊您好请讲 嗯活动我们是有的您是什么地方需要安装的我们可以帮您查一下资源 
很高兴为您服务 嗯要重新安装的您是什么地方要装宽带 
您好很高兴为您服务 您是哪个号码办的到期啦 
哪个号码 对幺三六四幺八六二七八六二六二三二三二 
唉喂您好请讲 移机可以您是什么地方一点我们可以帮您查一下这边 
您好很高兴为您服务 那您直接带好那个身份证设备去长宁区的移动营业厅办理下注销就可以了 
您好很高兴为您服务 呃那请问是这个手机号码办理的宽带和地址吗就移机那移机的话是这样的先生您要查一下呃那个一个地址新地址要有移动和东方有线的线路覆盖新的地址能报一下 
您好很高兴为您服务 嗯嗯 
您好很高兴为您服务诶 嗯嗯 
您好很高兴为您服务 嗯嗯您是什么地方呢预约安装啊不是我就是说 
您好很高兴为您服务 一个是机顶盒魔百合互联网看电视那个机顶盒还有个是装宽带的一个光猫设备身份证带好 
您好兴您服务您好 宿舍里面安装一个宽带嘛诶宿舍安装一个宽带是吗啊对啊那我帮您转到宽带专席进一步问一下您这边不要挂我帮您转到后台啊嗯请稍等块钱的问题的话产生是 
您好很高兴为您服务 是来电号办的宽带要移机对吧 
您好很高兴为您服务 啊就不不办了要取消订单是是吧 
您好请讲 办移动宽带是吧 
您好很高兴为您服务啊您好很高兴为您服务你好 呃是这个手机号码办理的宽带有热线移机知道 
您好很高兴为您服务 恩您好请讲 
您好很高兴为您服务 再见办理宽带对吧您是什么地址呢 
您好很高兴为您服务 宽带不装了 
您好很高兴为您服务 呃我看一下对有一个移动宽带承诺消费的 
很高兴为您服务 装宽带啊什么地方装呢 
您好很高兴为您服务唉你好嗯我想办一下宽带就是宽带是吧移动宽带对吧啊好的我帮您转接到宽带专席您详细咨询一下好嘛不是就是十五的问题我家里没有宽带 噢好好好好知道这 
您好高兴为您服务 就帮您的宽带专席嗯您说 
您好很高兴为您服务 你好请讲 
您好很高兴为您服务 恩 
您好很高兴为您服务 是宽带申请什么服务请问一下 
您好很高兴为您服务 申请公司宽带对吧您地址哪里我给您先查一下资源情况 
没有了谢谢 就宽带就是找到另外一个手机上对吗小姐 
您好很高兴为您服务 能听到请讲 
您好兴为您服务 嗯 
您好很高兴为您服务 嗯 
为您服务 恩 
你好 装宽带 
您好很高兴服务 
您好很高兴为您服务 就是我之前申请办理那个宽带业务 
为您服务 恩 
您哪个号码办理的宽带啊您是已经办了宽带还是要办理的 一个什么客户您是家里已经有移动宽带的话 
不客气您好很高兴为您服务 您是有预约宽带的 
您好很高兴为您服务 恩你好 
好很高兴为您服务 您要以什么一个g哪个手机号码 
您好很高兴为您服务 不用带合同您就登记机主本人带好身份证原件还有之前安装的光猫设备去青浦区的营业厅在这个月底之前去办理注销就可以了 
您好很高兴为您服务 喂你好 
您好 对吧 
您好很高兴为您服务 嗯嗯 
呃你好 宽带已经是哪个手机号码办的宽带要办一下移机 
很高兴为您服务 您这个宽带活动到月底到期如果您不续约了那您就在这个月底之前带好身份证光猫设备去杨浦区的移动营业厅办理注销就可以了 
对您好很高兴为您服务 噢那这个我可以帮您转到我们宽带专席我们宽带已经帮您看一下 
您好很高兴为您服务 嗯嗯 
您好很高兴为您服务 您这个宽带有一年协议时间还没到期啊 
您好很高兴为您服务 一个你们是资费是多少呢我们最低的是二十兆一年的话七百六十块钱现在办一年送两百元的话费等于一年五百六十块 
您好很高兴为您服务 和一个呃那你办理宽带是哪个手机吗我帮您查一下协议 
您好请讲 宽带业务要取消吗 
您好很高兴为您服务 办理宽带 
您好很高兴为您服务 之后我会帮您转到宽带专席您可以去咨询一下 
公司宽带是吧那您地址是哪里呢我帮您看一下 国家店铺呀商铺宽带那您的地址是哪里看一下 
您好很高兴为您服务 带好您的身份证和那个上网的猫是宽带所在区的营业厅做推荐您尽快过去徐汇的随便哪家营业厅都可以 
您好很高兴为您服务 啊你好 
您好请讲 你说 
您好很高兴服务 你好 
哎您好很高兴为您服务 可不可以 
您好很高兴为您服务 呃是哪个号码申请移机的本机吗 
您好很高兴为您服务 噢您是前面有线去查过地址说可以装的对吗对可以装的啊那现在要办的话您把地址报给我 
您好很高兴为您服务 你好我问一下就是 
很高兴服务 对有的还有什么问题呢呢还有什么问题先生 
您好兴您服务喂你好 地址报一下好嘛 
您好很高兴为您服务 好的那您这边就是说本机号码对吗 
为您服务 我帮您转宽带专席可以帮您问一下您稍等一下啊不要挂机再见 
您好很高兴为您服务 嗯请问地方要申请呢 
高兴您服务 不是女士已经到移动厅办法移机手续了吗 
您好兴您服务您好 噢那这边帮您转到宽带专席您问一下您这边不要挂机我帮您转到后台啊不客气请稍等为了更好解决问题电话转专席处理请稍等 
您好很高兴为您 我想 
您的宽带是到月底到期了您是后面要续约的吗还是 五十兆的 
您好很高兴为您服务 好的首先您把地址报一下我看一下应该写 
很高兴为您服务 嗯你好 
您好很高兴为您服务 盒子没有了 
您好很高兴为您服务 区唐 
您好很高兴为您服务 幺三六 
您好很高兴为您服务 然后那您新的地址因为它是跟原来东方有线绑定您新的地址有没有东方有线有没有办过啦东方有线 
您好很高兴为您服务 您是家庭宽带吗 
您好很高兴为您服务 您这宽带要办什么 
