您好 请问 需要 办理 新装 宽带 吗 嗯 是   噢 好 的 那 麻烦 您 告诉 我 一下 您 安装 的 地址 在 哪里 我 帮 您 查查 一下 地址 是 在 那个 呃 将军 大 的
您好 请问 什么 可以 帮到 您   宽带 移机 的 好 的 宽带 移机 是 吧 那 您 稍 等 不要 挂机 我 帮 您 转接 祝您
您好 请问 新装 宽带 是 吗   我 这边 就是 专门 办 宽带 业务 的 如果 您 想 办 的话 像 您 这个 号码 你 可以 办 一个 一个月 改成 七十九 套餐 它 有 送 两百 分钟 本地 打 国内 通话 还有 一 千兆 的 流量 在 福建省 都 能 用 还有 一条 五十 兆 光纤 的 速度
您好 请 讲   嗯 请 讲
哎 您好 什么 可以 帮 您   是 您 本机 办理 的 宽带 还是 其他 号码
什么 你好 请问 是 本 机要 新装 宽带 吗   宽带 套餐 的话 我 看 一下 您 现在 是 十八元 的 手机 套餐 可以 考虑 换成 七十九 元 的 手机 套餐
您好 您 说   需要 新装 吗
您好 请 说   嗯 宽带 什么 问题 呢
您好 请问 是 本 机要 新装 宽带 吗   是 没错
高兴 为您服务   有 什么 可以 帮 您 的
你好 请 讲   宽带 人工 台 无法 取消 需要 带 身份证 营业厅 柜台 才 可以 关 的
请问 您 想要 新 申请 安装 宽带 的 地方 是 在 哪里 呢   哪里 的 二百四十 二
早上好   充 到 营业厅 我们 直接 帮 您 登记 一下 您 告诉 我 一 g 的 新 的 地址 要 移到 什么 地址 过去 地址 告诉 我 一下
您好   您 是 要 新装 宽带 是 吗
好 讲   宽带 如果 是 不用 完二去 营业厅 那边 取消
噢 请 讲   你好
您好 请问 本 机 新装 宽带 吗   稍等一下 哦 嗯 先生 这边 要 移机 对 吧 换 一个 位置 是 吗
您好 请 说   嗯 嗯 然后 现在 做 什么
您好 请问 新装 宽带 是 吗   噢 还是 岗区 镇 噢
您好 请 说   噢 要 装修 是 吧 那 您 是 在 那个 会儿 是不是
您好 请 讲 你好 可以 听到 吗   哎 你好 嗯
中午 好 请 说   是 需要 办 宽带 是 吗
您好 请问 新装 宽带 吗   您好 您 要 在 哪里 我们 帮 您 帮 您 申请 啊
您好 请 讲 其他 款   宽带 您 这个 九十九 套餐 我们 这边 人工 台 取消 不了 您 如果 不用 的话 这个 要 到 营业厅 把 这个 宽带 的 就是 套餐 取消 掉 反正 其他 的 呃
您好 喂 您好 请 讲   嗯 那 您 现在 不用 挂 电话 马上 帮 您 转 我们 宽带 专线 那边 给 您 登记 办理 移机 一下 噢 请稍等
您好 请 说   你好
查询 你好 请 讲   呃 您 说 本 机号码 要 申请 宽带 是 吗
你好 什么 可以 帮 您   我 这边 申请 的 宽带 是 吗
您好 请 说 您好   唉
您好 请 说   诶 您 说
啊 对   就是
您好 很 高兴 为您服务   是 本 机要 办理 是 吗 哎 对 的 恩 好 那 您 不要 挂机 我 帮 您 转接 到 宽带 就是 迁移 的 专门 工作人员 帮 您 核实 处理 您 稍等一下
你好   装 宽带 我 帮 您 看 一下
好
您好 请 讲   宽带 移机 是 吧
您好 请 讲   您好 请 讲
您好 请 讲   有 什么 可以 帮助 到 您
好 的 您好 请问 新装 宽带 是 吗   移动
您好 请 讲   呃 本机 号 装 移动 宽带 是 吧
你好 您好 很 很 高兴 为您服务   你 说 这个 来电 号码 办 的 宽带 是 吧
您好 很 高兴 服务
您好 很 高兴 为您服务 唉   行 宽带 解绑
您好 高兴 为您服务   好 的 您 稍 等 我 看 一下
您好 很 高兴 为您服务   噢 就是 安装时间 要 改 一下 是 吗
您好 很 高兴 为您服务   噢 那 小姐 你 把 这边 的 门牌 地址 报 一下 我 帮 您 查 一下 能 不能 装 移动 这边 的
高兴 为您服务   嗯 嗯
您好 很 高兴 为您服务   呃 这个 要 带 好 身份证 和 宽带 设备 去 所在区 的 营业厅
您好 很 高兴 为您服务   办理 了 为期
您好 兴 您 服务   已经 话 就是 要 去 营业厅 办理 你 那个 手机 的 一个 密码 知道 吗 噢 地址 报 一下 好 吧 我 帮 您
为您服务 您好   那报 一下 您 家里 宽 就 想要 装 宽带 这个 地址 嘛 我 给 您 查询 能 不能 装好 了
您好 很 高兴 为您服务   承诺 消费 送 宽带 是 吧
嗯 要 办 移机 是 吗   您 说 的 是 高清 节目 包 报停 的 是 吗
您好 很 高兴 为您服务   过来 行好 的 为了 更好 解决问题 为 您 转接 宽带 专席 有 专人 为 您 请稍等
您好 很 高兴 为您服务   我
您好 很 高兴 为您服务   然后 再说
兴 为您服务   呃 家庭 用 的 宽带 那 你 把 地址 报 一下 我 帮 您 查 一下 有没有 线路 能 不能 装 小姐
您好 很 高兴 为您服务   噢 好 呃 是 这个 手机号码 之前 办 的 移动 宽带 和 地址 呢
您好 很 高兴 为您服务   稍等一下 那个 宽带 地址 先 报 一下
您好 很 高兴 为您服务   唉 我 不是 这个 手机 吗 还是 别的 手机
您好 很 高兴 为您服务   就 这样
您好 很 高兴 为 您   请问 是 看 您 地址 有没有 资源 地址 报 一下
您好 兴 您 服务 你好 唉   四
是 您 移动 宽带 要 移机 啊 这个 要 去 营业厅 办 的 您 要 移到 哪里 我 先 帮 您 查 一下 有没有 资源   什么 路
您好 很 高兴 为您服务   公司 宽带 你 把 这边 地址 报 一下 查 一下 有没有 线路 和 价格
您好 兴 您 服务   好 的 是 哪个 号码 办 的 本机 吗
高兴 为您服务   嗯
地址   嗯
您好 很 高兴 为您服务   唉 你好 你 帮 我 这个 这个 这个 宽带 五百 八 的 取消 这个 现在 是 免费 的 您 这个 也 不用 了 是 吧
您好 兴 您 服务 您好   你好
您好 很 高兴 为您服务   好 的 请问 您 什么 地方 申请 呢
嗯 请 讲 先生   他 为了 更好 为 您 解决问题 我 将 您 电话 转 专席 处理 取消 的 啊
您好 很 高兴 为您服务   嗯 嗯
您好 很 高兴 为您服务   那 我 应该 这个 嗯
您好 很 高兴 为您服务   聊 空气
您好 很 高兴 为您服务   嗯 嗯 您 稍 等 不要 挂机 啊 为了 更好 的 为 您 解决问题 我 将 您 电话 转接 专席 处理 有 专人 为 您 解答 请稍等
很 高兴 为您服务   宽带 是 吧
您好 很 高兴 为您服务 你好 我 想 办理 那个 宽带 移机 呃 是 这个 号码 绑定 的 宽带 移机 对 吗   好 您 稍等一下
您好 很 高兴 为您服务   您 是 想 办个 移动 家庭 宽带 是 这 意思 吗
很 高兴 为您服务 您好   家里 地址 报 一下
您好 很 高兴 服务   您好 请 讲
您好 很 高兴 为您服务   您 的 地址 报 一下
您好 很 高兴 为您服务   现在
您好 很 高兴 服务
您好 请 讲   家庭 消费 的话 这个 是 要 主 号码 是 上海 户籍 的 要 办 家庭 统付 活动 您 这边 是 上海 户籍 吗 不然 它 这个 要 担保 的
您好 很 高兴 为您服务 哎 你好 我 想 就是 办 一下 那个 家庭 宽带 那个 业务 请 家庭 宽带   嗯 那 您 什么 地方 装 吗
啊 您好 请 讲   嗯 活动 我们 是 有 的 您 是 什么 地方 需要 安装 的 我们 可以 帮 您 查 一下 资源
很 高兴 为您服务   嗯 要 重新安装 的 您 是 什么 地方 要装 宽带
您好 很 高兴 为您服务   您 是 哪个 号码 办 的 到期 啦
哪个 号码   对 幺 三 六四 幺 八 六二 七八 六 二六二 三 二三 二
唉 喂 您好 请 讲   移机 可以 您 是 什么 地方 一点 我们 可以 帮 您 查 一下 这边
您好 很 高兴 为您服务   那 您 直接 带 好 那个 身份证 设备 去 长宁区 的 移动 营业厅 办理 下 注销 就 可以 了
您好 很 高兴 为您服务   呃 那 请问 是 这个 手机号码 办理 的 宽带 和 地址 吗 就 移机 那 移机 的话 是 这样 的 先生 您 要查 一下 呃 那个 一个 地址 新 地址 要 有 移动 和 东方 有线 的 线路 覆盖 新 的 地址 能报 一下
您好 很 高兴 为您服务   嗯 嗯
您好 很 高兴 为您服务 诶   嗯 嗯
您好 很 高兴 为您服务   嗯 嗯 您 是 什么 地方 呢 预约 安装 啊 不是 我 就是说
您好 很 高兴 为您服务   一个 是 机顶盒 魔 百合 互联网 看电视 那个 机顶盒 还有 个 是 装 宽带 的 一个 光猫 设备 身份证 带 好
您好 兴 您 服务 您好   宿舍 里面 安装 一个 宽带 嘛 诶 宿舍 安装 一个 宽带 是 吗 啊 对 啊 那 我 帮 您 转到 宽带 专席 进一步 问 一下 您 这边 不要 挂 我 帮 您 转到 后台 啊 嗯 请稍等 块钱 的 问题 的话 产生 是
您好 很 高兴 为您服务   是 来电 号 办 的 宽带 要 移机 对 吧
您好 很 高兴 为您服务   啊 就 不 不办 了 要 取消 订单 是 是 吧
您好 请 讲   办 移动 宽带 是 吧
您好 很 高兴 为您服务 啊 您好 很 高兴 为您服务 你好   呃 是 这个 手机号码 办理 的 宽带 有 热线 移机 知道
您好 很 高兴 为您服务   恩 您好 请 讲
您好 很 高兴 为您服务   再见 办理 宽带 对 吧 您 是 什么 地址 呢
您好 很 高兴 为您服务   宽带 不装 了
您好 很 高兴 为您服务   呃 我 看 一下 对 有 一个 移动 宽带 承诺 消费 的
很 高兴 为您服务   装 宽带 啊 什么 地方 装 呢
您好 很 高兴 为您服务 唉 你好 嗯 我 想 办 一下 宽带 就是 宽带 是 吧 移动 宽带 对 吧 啊 好 的 我 帮 您 转接 到 宽带 专席 您 详细 咨询 一下 好 嘛 不是 就是 十五 的 问题 我 家里 没有 宽带   噢 好好 好好 知道 这
您好 高兴 为您服务   就 帮 您 的 宽带 专席 嗯 您 说
您好 很 高兴 为您服务   你好 请 讲
您好 很 高兴 为您服务   恩
您好 很 高兴 为您服务   是 宽带 申请 什么 服务 请问 一下
您好 很 高兴 为您服务   申请 公司 宽带 对 吧 您 地址 哪里 我 给 您 先查 一下 资源 情况
没有 了 谢谢   就 宽带 就是 找到 另外 一个 手机 上 对 吗 小姐
您好 很 高兴 为您服务   能 听到 请 讲
您好 兴 为您服务   嗯
您好 很 高兴 为您服务   嗯
为您服务   恩
你好   装 宽带
您好 很 高兴 服务
您好 很 高兴 为您服务   就是 我 之前 申请 办理 那个 宽带 业务
为您服务   恩
您 哪个 号码 办理 的 宽带 啊 您 是 已经 办 了 宽带 还是 要 办理 的   一个 什么 客户 您 是 家里 已经 有 移动 宽带 的话
不 客气 您好 很 高兴 为您服务   您 是 有 预约 宽带 的
您好 很 高兴 为您服务   恩 你好
好 很 高兴 为您服务   您 要 以 什么 一个 g 哪个 手机号码
您好 很 高兴 为您服务   不用 带 合同 您 就 登记 机主 本人 带 好 身份证 原件 还有 之前 安装 的 光猫 设备 去 青浦区 的 营业厅 在 这个 月底 之前 去 办理 注销 就 可以 了
您好 很 高兴 为您服务   喂 你好
您好   对 吧
您好 很 高兴 为您服务   嗯 嗯
呃 你好   宽带 已经 是 哪个 手机号码 办 的 宽带 要 办 一下 移机
很 高兴 为您服务   您 这个 宽带 活动 到 月底 到期 如果 您 不 续约 了 那 您 就 在 这个 月底 之前 带 好 身份证 光猫 设备 去 杨浦区 的 移动 营业厅 办理 注销 就 可以 了
对 您好 很 高兴 为您服务   噢 那 这个 我 可以 帮 您 转到 我们 宽带 专席 我们 宽带 已经 帮 您 看 一下
您好 很 高兴 为您服务   嗯 嗯
您好 很 高兴 为您服务   您 这个 宽带 有 一年 协议 时间 还 没 到期 啊
您好 很 高兴 为您服务   一个 你们 是 资费 是 多少 呢 我们 最低 的 是 二十 兆 一年 的话 七百 六十块 钱 现在 办 一年 送 两百元 的 话费 等于 一年 五百 六十块
您好 很 高兴 为您服务   和 一个 呃 那 你 办理 宽带 是 哪个 手机 吗 我 帮 您 查 一下 协议
您好 请 讲   宽带 业务 要 取消 吗
您好 很 高兴 为您服务   办理 宽带
您好 很 高兴 为您服务   之后 我会 帮 您 转到 宽带 专席 您 可以 去 咨询 一下
公司 宽带 是 吧 那 您 地址 是 哪里 呢 我 帮 您 看 一下   国家 店铺 呀 商铺 宽带 那 您 的 地址 是 哪里 看 一下
您好 很 高兴 为您服务   带好 您 的 身份证 和 那个 上网 的 猫 是 宽带 所在区 的 营业厅 做 推荐 您 尽快 过去 徐汇 的 随便 哪家 营业厅 都 可以
您好 很 高兴 为您服务   啊 你好
您好 请 讲   你 说
您好 很 高兴 服务   你好
哎 您好 很 高兴 为您服务   可不可以
您好 很 高兴 为您服务   呃 是 哪个 号码 申请 移机 的 本机 吗
您好 很 高兴 为您服务   噢 您 是 前面 有线 去 查过 地址 说 可以 装 的 对 吗 对 可以 装 的 啊 那 现在 要 办 的话 您 把 地址 报给 我
您好 很 高兴 为您服务   你好 我 问 一下 就是
很 高兴 服务   对 有 的 还有 什么 问题 呢 呢 还有 什么 问题 先生
您好 兴 您 服务 喂 你好   地址 报 一下 好 嘛
您好 很 高兴 为您服务   好 的 那 您 这边 就是说 本 机号码 对 吗
为您服务   我 帮 您 转 宽带 专席 可以 帮 您 问 一下 您 稍等一下 啊 不要 挂机 再见
您好 很 高兴 为您服务   嗯 请问 地方 要 申请 呢
高兴 您 服务   不是 女士 已经 到 移动 厅 办法 移机 手续 了 吗
您好 兴 您 服务 您好   噢 那 这边 帮 您 转到 宽带 专席 您 问 一下 您 这边 不要 挂机 我 帮 您 转到 后台 啊 不 客气 请稍等 为了 更好 解决问题 电话 转 专席 处理 请稍等
您好 很 高兴 为 您   我 想
您 的 宽带 是 到 月底 到期 了 您 是 后面 要 续约 的 吗 还是   五十 兆 的
您好 很 高兴 为您服务   好 的 首先 您 把 地址 报 一下 我 看 一下 应该 写
很 高兴 为您服务   嗯 你好
您好 很 高兴 为您服务   盒子 没有 了
您好 很 高兴 为您服务   区唐
您好 很 高兴 为您服务   幺 三 六
您好 很 高兴 为您服务   然后 那 您 新 的 地址 因为 它 是 跟 原来 东方 有线 绑定 您 新 的 地址 有没有 东方 有线 有没有 办过 啦 东方 有线
您好 很 高兴 为您服务   您 是 家庭 宽带 吗
您好 很 高兴 为您服务   您 这 宽带 要 办 什么
