您好 什么 可以 帮 您   我 帮 您 检查一下 您 稍等一下 其实 是 那个 三十块 五百 兆 嘛 我 看 了 一下 这个 比较 早 开通 了 如果 这个 不要 可以 取消
您好 请 讲   噢 彩印 啊 您 那个 噢 彩印 业务 的话 我 看 一下 噢 它 是 送 的 虽然 说 有 扣钱 噢 但 它 有 等额 返还 还有 几个 也 是 送到 那个 还有 一个 是 咪 咕 会员 还有 一个 是 来电 提醒 这三项 噢 这三项 的话 都 有 扣 但是 都 有 等额 返还 给 您 我 帮 您 申请 到期 自动 帮 您 取消 掉 吧 自己 算好 吗
您好 请 讲   我 帮 您 查 一下 噢 请 稍等一下 啊 我 刚刚 他 是 学校 的 学校 那个 校 讯通 这方面 的 东西 短信 请稍等
您好 请 说   夜间 流量 吗
下午 好 很 高兴 为您服务   先生 您好 请稍等 我 帮 您 马上 查 一下 不好意思
下午 好   女士 您 本 机号码 没有 办 宽带 是 吗
您好 很 高兴 为您服务   您好
你好 请 讲   女士 您 这个 号码 有 办理 移动 的 宽带 啊 每个 月 有 返还 给 您 二十块 钱 话费 呃 每个 月 返还 十块钱 话费 的 活动 您 自己 没有 办 吗
你好 请 说   哦 您好
您好 很 高兴 为您服务   啊 您好 请 说 我 我 想 我 想 问 一下 除了 七十九 块 的 那个 基础 套餐 这么 多
您好 请 说   八零 营业厅 您 噢 那个 是 送 的 没 收费 的
你好   我 看 一下 行
你好   噢 您 拨打 幺 二五 三零去 改
啊 您好 很 高兴 为您服务   呃 这个 号码 没有 流量 它 这边 是 正常 去 用 流量 的 一兆 两毛 九 都 用 了 六十九 块钱
您好 请 说   您好
您好 请 说 喂 你好   那个
你好   您 是 来电 提醒 吗
您好 请 讲   彩铃 稍 等 帮 您 看 一下 呃 您 这边 是 申请 了 一个 季度 包 的 剩 一个 季度 的 一个 送 一个 季度 的 一个 彩铃 给 您 啊
您好 很 高兴 为您服务   咪咕 音乐 那个 是 送 您 的 要 取消 吗
您好 很 高兴 为您服务   呃 呃 您 这部 电话 吗
您好 请 讲   我 给 您 看 一下
您好 请 说 您好 请 说 诶 您好 诶 你好 我 这个 送   去 了 十块钱 我 都 没 开通 是不是 啊 您 稍等一下 我 马上 为 您 查询
您好 很 高兴 为您服务   正在 帮 您 查询 请稍等
啊 有 什么 可以 帮 您   这个 业务 您 早期 去年 十一月份 就 开通 的 了
您好 很 高兴 为您服务   呃 对 是 我们 这边 帮 您 查询 到 您 目前 在 下个月 办新 的 套餐 一个月 是 三十 八块钱 套餐
你好 请 说 喂 你好 喂 你好 诶 请 说   你 稍 等 我 看 一下 因为 您 手机 这边 没有 开 流量 没错 但是 有 上网 功能 诶 可能 有时候 连接 到 网络 了 您 要 不要 把 上网 功能 关掉 啊
您好 请 讲   您 目前 用 的 是 八十八 套餐 的
你好 呃 您好   在 九月 二十五 号 改 的
您好 很 高兴 您 服务 喂 你好 呃 您好 有 什么 可以 帮到 您 因为   新飞 享 套餐
您好 请 说   呃 您好 请 说
你好 您好   幺 五二
他 你好 请 说   噢 好 的 您 稍等一下 我 看 一下 您 开 的 是 一个 三十块 钱 的 流量 五百 兆 的 这里 显示 有 正常 生 嗯 是 您 说 的 是 十八号 那 一天 对 不 对 啊
您好 高兴 为您服务   您 稍 等 我 看 一下 本机 是 有 办 了 一条 宽带 一个月 二十块 钱
您好 请 讲   好 我查 一下 好 嗯 好 稍等一下
您好 请 说   嗯 嗯 稍等一下 我 看 一下 彩铃 您 说 的 是 彩铃 彩印 这些 吗
您好 很 高兴 为您服务 哎 你好 恩 你好 请 讲 我 想 上 一次 我 这个 手机 我 已经 是 是 十六号 还是 多少 好像 打   是 十四号
您好 请 说   您好
你好 很 高兴 为您服务   您 稍 等 我 帮 您 查询 一下
您好 请 说   发 信息 说 从 十一月 一号
您好 请 说   嗯 嗯
可以 您好 很 高兴 为您服务   对 幺 五零 六六 五五 九九 六 幺 幺 呃 这 号码 什么 问题 呢
嗯 您好 很 高兴 您 服务   就是说 自动 升 流量 吗
诶 您好   噢 对 我 看到 了 有没有 接到 什么 电话 向 您 推荐 啊 之类 的 吗
您好 请 讲 您好   嗯 请 说
您好 请 讲   您好 帮 您 查询 这 里面 有咪咕 音乐 彩印 来电 提醒 这 三个 业务 是 做 活动 赠送 您 三个 月 的
行 您好 请 说   对 我 看 您 下个月 改了 一个 就是 等于 说 您 这个 套餐 升级 了 这样 的
您好 请 说   您 是 别人 添加 开通 共享 添加 您 为 共享 号码
您好 请 讲 你好 为什么 我 这边   什么 套餐 我 没 办法 积分 很 清楚 您 是 把 扩音 给 开 了 吗 如果 开 的话 能 不能 先 关掉 一下 呀
你好   嗯 请 说
您好 请 说   呃 您 是 看到 您 手机 有 这个 业务 是 吗
您好 请 讲   啊 您 稍 等 我 看 一下 应该 是 之前 的话 嗯 有 赠送给 您 的 我 看 一下 哈
早上好 请 说   稍等一下 我 看 一下 给 您 看 了 一下 幺 二 五八 零 的 这个 会员 的话 在 二零一 五年 的 时候 就 已经 有开 了 就 开到 现在 的
您好 请 讲   本 机号码 的话 您 下个月 生 呃 升级 为 新飞 享 三十八 元 套餐 那 下个月 的话 您 这个 套餐 有 三百 分钟 在 南平 本地 可以 打 一点 五 g 的 流量 在 福建省 内 可以 用 资费 一样 是 三十 八块钱 一个月
您好 请 讲   我 看 一下 吧 请 稍等一下 嗯
下午 好 请 讲   它 那个 是 我 看 一下 噢 它 那个 是 小孩子 的 那个 是 那个 校 讯通 类似 的 这种 情况 它 那个 是 学校 里面 办 的 你 之前 的话 它 这边 是 呃 您 说
嗯 二十 八块钱 它 有 十块钱 那个 它 是 要 扣掉 的 因为 他们 是 有 您 参加   然后 它 那个 是 说 它 送 的 那个 价值 十块钱 的 一 百兆 那个 费用 他 当天 就 有 充值 话费 给 您 了 它 那个 十块钱 没有 扣 的 噢 噢 是 这 样子 是 啊 对 对 对 是 的 噢 那 还有 其他 需要 帮助 吗 不 客气 嗯 不用 不用 谢谢 了 哈 那 不 客气 祝您 生活
您好 请 讲   呃 是 在 今天 早上 八点 的 时候 您 订购 的 呀 女士 您 是不是 有 通过 那个 微信 订购 的
您好 请 讲 您好 先生   恩 你好
您好 请 讲   嗯 您 稍 等 我 帮 您 查询 一下 噢
您 请 讲   没有 三十元 的 流量 套餐 啊 您 说 的 应该 是 上个月 有 玩 石头 剪子 布赢 的 一个 您 那 三个 十元 一 百兆 的 省内 流量 那个 钱 是 我们 出 的 您 自己 没有 出 您 直接 在 上个月 的 账单 上 有 时间
您好 请 说 喂 先生 您好 有 什么 需要 帮助 吗 你好 啊   流量 还 没 开始 扣钱 是 吗 我 给 您 查 一下 这个 月 您 的 这个 一 百兆 流量 是 用 完 的 对 啊 机完 之后 我 还有 一个 您 现在 目前 额外 有 超出 的话 超 了 一百二十 九兆
您好 请 讲   噢 我 看 一下 您 有 开通 共享 功能 但是 您 没有 更别 没有 添加 号码 跟 您 共享 流量
您好 请 讲   您 说 的 是 哪 一个 费用
您好 请 讲 喂 你好 诶 您好   呃 这边 的话 帮 您 去 查询 了 一下 您 来电 本 机 的话 应该 是 有 被扣 您 安装费 七十八 所以 导致 这个 欠费
高兴 为您服务   诶 你好
很 高兴 为您服务   这个 业务 是 免费 的 如果 您 不 需要的话 我 帮 您 这边 取消 掉 要 取消 吗
为您服务   您好 请 说
您好 很 高兴 为您服务   手机号码
您好 很 高兴 为您服务   这 两个 费用 是 不 需要 应该 不是
您好 很 高兴 服务   您 这个 月 开通 的 就 一个 呃 三十八 元 的 套餐
您好 很 高兴 为您服务   你好
您好 很 高兴 为您服务   我 这边 显示 是 在 第三方 平台 订购 了 十兆 的 流量 是 流量 有 什么 活动 是 就是 活动
您好 很 高兴 为您服务   信息 看 一下 呃 确实 显示 有 看到 有开 了 一个 什么 咪咕 双色球 阅读 会 啊 那个 昨天下午 四点 四十五分 开通 的
唉 小姐 你好   我 我 就 按 了 一下 看 了 一下 上次 都 没有 什么 影响
为您服务 您好   您 这 手机 怎么 了
高兴 为您服务   彩印 啊
您好 很 高兴 为您服务   集团 彩铃 失效 了
您好 很 高兴 为您服务 您好   您好 电话 已 接通 请 讲话 呃 能 听到 我 说话 吗 现在 可以 了 请 讲
您好 很 高兴 为您服务   这个 通话 中 网络 不 中断 的 一个 服务 通话质量 更 清晰 就 有没有 功能 费 呃 是 新出 的 一个 服务
为您服务   什么 专线 提示 是 什么 呀 来电 提醒 吗 还是 什么 语音信箱
您好 很 高兴 为您服务   你好
您好 很 高兴 为您服务   你好
您好 很 高兴 为您服务   啊 这个 您 不用 理会 它 那 是 大片 电话 不用 理它 就 好 了
您好 很 高兴 为您服务   啊 是 这样 的 因为 您 原来 是 那个 五元 的 那个 呃 就是 那个 助老 卡嘛 现在 就 下个月 帮 您 升级成 叫 四 g 飞享 套餐 八元 档 关爱 版 这个 的话 到时候 月租费 还是 返 您 五块 钱 一个月
您好 很 高兴 为您服务   恩 还有
很 高兴 服务   这边 已经 订购 上去 一个 叫 手机 会员 专区 还有 个 咪 咕 优惠 包 vip 会员 要 不要 帮 您 退掉
钟 你好 谢谢 啊   三
您好 预处理 专席 代表 很 高兴 为您服务   就是 那个 八十八 元 的 套餐 省 过来 说 您 这 八十八 元 套餐 不用 八十八 套餐 怎么 了 是 的
您好 请 讲   是 这样 的 先生 就 您 这个 号码 如果 是 想要 绑定 别人 的 微信 的话 您 可以 联系 腾讯 客服 去 把 这个 之前 微信 绑定 注销 掉 就 可以 了 先生
您好 很 高兴 服务   二十块 钱 对 吧 您 这边 没有 二十块 的 业务 呀 只有 一百二十八 的 月租
您好 很 高兴 为您服务   您好 请 说 先生 哦
你 本 机号码 绑定 一个 工商银行 借记卡 呀   您 是 绑定 呢 如果 不 需要的话 可以 帮 您 取消 掉 解绑 都 可以 没错
就是说 我 活动 送 的 它 送 了 连接 被 这个 功能 赠送 您 两百 分钟 送 三个 月 每个 月 两百 分钟 如果 您 不 需要 我 就 帮 您 取消 掉   不要 钱 吗 他 没有 功能 费 只有 使用费 现在 因为 前 三个 月 送 您 两百 分钟 这个 手机 要 支持 的 不 支持 用 不了 的 要 帮 您 取消 吧 不 取消 上个月 后 您 要 把 它 取消 掉 那 我 帮 您 取消 了 啊
这个 是 送给 您 的 高清 通话 就是 如果 手机 支持 的话 可以 用 这个 高清 的 您 是 什么 手机 啊   没 没 插 九 对 吧 那 您 稍 等 为了 更好 解决问题 啊 先生 我 帮 您 电话 转 到 终端 专席 您 问 一下 您 的 手机 能 不能 用 怎么 用 您 问 他 一下 您 稍 等 不要 挂会 有 专人 服务 您 稍 等 不要 挂 您 稍 等
您好 很 高兴 为您服务   噢 彩铃 的话 这个 功能 是 我 看 一下 这个 是 在 八月 s 今天 刚定 的
您好 很 高兴 为您服务   恩
您好 预处理 专席 代表 很 高兴 为您服务   原 套餐 的 但是 说 没 编号 它 给 你 钱 扣掉 了
您好 很 高兴 为您服务   这个 号码 上 我 看 一下 啊
对 啊   谢谢 游戏 我 看 一下 啊 对 确实 有 的 它 上面 您 对 收到 短信 的 一个 小时 之内 回复 可以 不 收费 的 因为 我 看到 下个月 扣费 打 过来 反映
您好 很 高兴 为您服务   你好
您好 很 高兴 为您服务   额 我们 这边 显示 您 这边 是不是 之前 手机 上 是不是 有 按 到 了 那 这边 的话 是 有 发短信 给 您 了 不过 它 这个 都 是 一次性 的 不是 每个 月 都 有 的 您 只要 不 点播 就 不会 再 产生 啊 这个 不是 包月 的 业务
您好 很 高兴 为您服务 您好   二十七 元 是 那个 任 我 看 那个 事情 看 视频 那个 业务 是 vip 现在 是 优惠期 优惠 现在 是 三个 月 三个 月 以后 自动 关闭 这个 应该 营业厅 帮 您 办 的 对 吧 知道
您好 很 高兴 为您服务   那 您 这个 宽带 的话 后面 是 不用 了 吗 还是 我 不用
您好 很 高兴 为您服务   您 看 一下 就是 这个 就是 另外 再 加 五十块 一个 g 的 是 在 那个 上个月 七月 一号 加 的 就 一直 没有 取消 过
您好 很 高兴 为您服务   怎么 怎么 出来 的
您好 请 讲   今天
很 高兴 为您服务   没有 因为 您 不是 有个 一带 一路 的 五天 的 一个多 国包 多天 的 流量 包 吗 那 您 这个 的话 因为 有 这个 所以 他 这边 的话 国际漫游 就 帮 您 延期 了 不然 您 一旦 您 就 用 不了 了 呀 到时候 没关系 的 到时候 取消 就 好 了 啊
很 高兴 为您服务   留言 什么 稍等一下
高兴 您 服务   我先 看看 短信 您 不要 挂 已经 通过 短信 办 的 吗 还是 什么 问题
您好 很 高兴 服务   你好
您好 兴 您 服务 您好   是 什么 问题
服务 唉 你好   你 手机 是不是 中毒 了 呀 乱 那点 了 一些 业务 对 吧
您好 很 高兴 为您服务   我 看 一下 信息 十块钱 呃 我 看到 了 那 这样 吧 您 这边 没有 用 是 没有 因为 我 帮 您 申请 退 退费 资费 五天 可以 到 账 这样 好 吧
您好 很 高兴 为您服务 您好   您 的 月租 是 七十八 的 噢 五十八 的 不好意思 五十八 的 再 加上 那个 二十四块 钱 的 用户 的 那个 服务
您好 很 高兴 为您服务   什么
服务   流量 是 免费送 的 一个 活动 上面 可能 写 清楚 就是 九十 十一 三个 月 每月 是 两个 g 的 本地 流量 对 免费 的 在 上面 使用 的 流量
上海 移动   现在 是 欠 了 五十块 钱 怎么
您好 很 高兴 为您服务   这里 并 没有 订 只是 说 现在 订 可以 就是说 这个 三个 月 的 不收 功能 费 这个 业务 您 并 没有 订 上去 那 这个 手机 sim
您好 很 高兴 为您服务   那 我 想 问 一下 对 对 是 实物 充 还是 应该 是 天猫 的 天猫 充值
