您好 什么 可以 帮 您   我 帮 您 检查一下 您 稍等一下 其实 是 那个 三十块 五百 兆 嘛 我 看 了 一下 这个 比较 早 开通 了 如果 这个 不要 可以 取消   现在 最少 三十块 钱 一个 g 了
您好 高兴 为您服务   诶 请 讲   嗯 嗯 好 我 看 一下 哈 呃 它 那个 是 赠送给 您 的 就是 给 您 送 了 五百 兆 的 流量 进来 下个月 一号 就 自动 取消 了 那个 不 收费 的
您好 什么 可以 帮助 您   之前 是 您 自己 去 申请 的 吗   您 这边 的话 是 去 哪里 停办 的
您好 您 请 说 有 什么 可以 帮到 您   恩好 为 您 查看 北京 六度 畅游 网络 技术 这个 是 吗   就是 按 次 点播 的 我 帮 您 把 点播 功能 关闭 好 吗
您好 请 说   公司 扣款 您 是 收到 短信 是 吗   您 稍 等 马上 帮 您 查询 一下
您好 请 讲   恩 马上 帮 您 查询 感谢 耐心 等待 那 这边 帮 您 查询 的话 您 说 的 这个 它 这个 五十块 钱 全部 由 我们 公司 出 的 就 当时 那个 幺 三九 套餐 的 时候 它 有 多 送 你 一 g 的 那个 流量   呃 不是 他 是 提前 给 您 返还
你 那 您好 高兴 您 服务 您好 我 刚才 在 那个 手机 查询 那个   那 就 这样   这个 没扣 您 钱 噢 您 在 上个月 时候 应该 有 跟 您 的 朋友 进行 批完 了 石头 剪刀 布对 不 对 我 不 影响 嗯 嗯 嗯 嗯 那 你 那 那 我们 这边 就 送 的 这 二十块 钱 然后 有 两 百兆 省内 也 是 说 这 二十块 是 不 扣 您 的 是 你 石头 剪刀 布 你 应该 的 钱 您 的 这个 二十块 钱 两 百兆 的 省内 流量 是 这个 的
支付宝 您好 请 讲 再见 您好   呃 你好 你 帮 我 那个 刚刚   嗯 有没有 开通 了 吧 刚才 收到 的 是 吗
诶 您好   诶 您好 请 说   是 有 一个 什么 五十元 一个 g 的 那个 省内 保 流量 是 这个 吧
嗯 您好 请 讲   嗯 嗯   那 就 还是 保留 原来 的 套餐 对 吗
您好 您 说   另外 一部 手机 的 彩印   彩印 不是 您 个人 设置 的 吗
您好 请 讲   就 说 您 当时 八 四八 套餐 的 时候 它 这边 跟 您 说 没有 开通 其他 的 业务   我 看 一下 您 稍等一下 你好 麻烦 你 了 不 客气 就 您 之前 都 没有 印象 有 开过 这个 短信 十元 包是 吧 跟
您好 高兴 您 服务   对 啊 您 是 下个月 改成 幺 三八 套餐 呢 可以 在 龙岩 本地 流量 不 限量 用 的 您 这边 有没有 呢   噢 它 是 吧 要 八十八 星级 五 幺 三八 那 现在 是 不要 这个 套餐 改 原来 八十八 号
您好 请 说   你好   我 又 没有 申请 那个 游有 一 百兆 的 那个 是 省内 流量 是 怎么 收 就 加进去 了 这个 是 做 活动 赠送 的
噢 我 这边 帮 您 看到 您 的 套餐 是 十八块 钱 一个月 的 然后 套餐 外 的话 就是 有 那个 呃 流量 的话 一共 是 六百 兆 的 省内 流量 那个 是 赠送 的 这个 您 不用 花钱 开通 的 然后 其他 业务 的话 我 也 帮 您 查 了 呀 您 这边 嗯 也 没有 开通 什么 其他 收费 业务 啊   噢 套餐 外 上网 的话 那个 是 原因 是 您 的 流量 超过 的 噢 流量 超 了 上 产生 的 费用   我 帮 您 看 一下 您 套餐 里面 是 只有 两 百兆 流量 的 你 现在 都 已经 用 完 了
您好 请 说   嗯   呃 您 之前 有没有 接到 什么 电话 吗
嗯 您 查询 有 有 扣 什么 钱 吗   呃 您 手机 没有 开彩 铃 啊 您 什么 时候 看到 有 开彩 铃 的   昨天 给 您 发 的 信息 我 帮 您 看 一下
您好 很 高兴 为您服务   稍等一下 您 不要 挂机   省内 流量 对 吗
您好 很 高兴 为您服务 您好   刚刚 办 的 下午 一点多   噢 那 给 您 取消 掉 吗
哎 您好 请 讲   噢 那 是 校 讯通 的 这个 如果 您 不 需要 可以 帮 您 关掉   嗯 那 您 放心 我 现在 也 帮 您 关 了
您好 请 说   我 帮 您 看 稍等一下   这个 三十块 的话 是 您 上个月 有 参与 活动 还有 返还 您 二十只 收 您 十块钱
你好   什么 来电 啊 什么 东西 啊 我查 一下 哈   你 这边 的话 有 来电 提醒 还有 彩铃 彩印 之前 是 有 对 呀 我 刚才
您好 请 讲   什么 有 和 留言 什么 意思 啊 啊 什么 业务   除了 您 月租 跟 流量 没有 别的
哦   您好 请 讲   那 我 问 你 一下 呃 因为 它换 三百块 的 吗
您好 请 讲   呃 可以 啊 我 看 一下 您 稍等一下   好 的 先生 两个 都 关好 啦 下个月 失效 了
您好 请 讲   噢 彩印 啊 您 那个 噢 彩印 业务 的话 我 看 一下 噢 它 是 送 的 虽然 说 有 扣钱 噢 但 它 有 等额 返还 还有 几个 也 是 送到 那个 还有 一个 是 咪 咕 会员 还有 一个 是 来电 提醒 这三项 噢 这三项 的话 都 有 扣 但是 都 有 等额 返还 给 您 我 帮 您 申请 到期 自动 帮 您 取消 掉 吧 自己 算好 吗   对 我 帮 您 申请 一下 因为 它 送 三个 月 吗 我 就 帮 您 申请 三个 月 以后 自动 帮 您 关掉 好 吧
您好 请 讲   我 帮 您 查 一下 噢 请 稍等一下 啊 我 刚刚 他 是 学校 的 学校 那个 校 讯通 这方面 的 东西 短信 请稍等   没 订过 学校 我们 是 统一 订购 啊 之类 的 您 看 一下 如果 不 需要的话 我 这边 先帮 您 取消 掉 吧
您好 请 说   夜间 流量 吗   呃 您 稍等一下
下午 好 很 高兴 为您服务   先生 您好 请稍等 我 帮 您 马上 查 一下 不好意思   一下 您 不用 担心 我 帮 您 马上 查询 不好意思 呃 您好 我 知道 了 这个 您 说 的 那个 一百块 钱 三个 g 的 它 是 说 呃 您 只要 付 十块 一毛钱 就 可以 了
下午 好   女士 您 本 机号码 没有 办 宽带 是 吗   我 帮 您 看 它 是 个 家中 学院 宿舍 一号 楼 这 这 不是 您 自己 办 了 那 您 之前 有 接到 电话 推荐 或者 短信 推荐 办 这个 宽带 吗
您好 很 高兴 为您服务   您好   呃
你好 请 讲   女士 您 这个 号码 有 办理 移动 的 宽带 啊 每个 月 有 返还 给 您 二十块 钱 话费 呃 每个 月 返还 十块钱 话费 的 活动 您 自己 没有 办 吗   二十点 二 五元 啊 那 是 上个月 您 刚刚 安装 的 时候 他 上个月 的话 是 按天 折算 的 您 是不是 上个月 中旬 安装 的
你好 请 说   哦 您好   这位 是 什么 钱 怎么 这个 是 您 上个月 去 办 了 一个 其实 剪刀 布 的 那个 活动 赢得 上网 流量 这个 二十块 钱 它 有 先充 给 您 然后 才 扣掉 的 没有 扣 您 的 话费 您 放心
您好 很 高兴 为您服务   啊 您好 请 说 我 我 想 我 想 问 一下 除了 七十九 块 的 那个 基础 套餐 这么 多   恩好 的 那 先生 您 先 不用 着急 我 帮 您 看 一下 它 是 有 个 来电 提醒 咪咕 特级 会员 就 彩铃 和 彩印 赠送给 您 下个月 到期 我 都 帮 您 取消 掉 好 吗 我 应该 是 赠送给 您 的 啊 我 帮 您 预约 好 到期 下个月 自动 关闭 噢 请稍等 正在 帮 您 申请
您好 请 说   八零 营业厅 您 噢 那个 是 送 的 没 收费 的   还有 其他 需要 帮助 吗
你好   我 看 一下 行   您好 帮 您 看 了 这边 确实 是 有 办理 了 那个 流量 共享 取消 本月 月底 失效 您 跟 对方 机主 确认 一下 是不是 他 办理 的 这个 取消
你好   噢 您 拨打 幺 二五 三零去 改   对 不 对 啊 您 这个 彩铃 不是 集团 彩铃 吗
啊 您好 很 高兴 为您服务   呃 这个 号码 没有 流量 它 这边 是 正常 去 用 流量 的 一兆 两毛 九 都 用 了 六十九 块钱   因为 它 流量 有 去 上网 吗 产生 流量 扣费 了
您好 请 说   您好   噢 对 对 有 换 了 一个 我 看到 了 您 是 换下 个 月 生效 的 然后 给 您 发 的 那个 三 十八块 有 三百 分钟 在 南平 本地 都 可以 通话 的 流量 的话 也 比较 多有 那个 一千五百 兆 又 换 了 啊
您好 请 说 喂 你好   那个   对 目前 帮 您 看到 是 是 有 开通 这个 我 帮 您 取消 吧
你好   您 是 来电 提醒 吗   喂 你好 那 您 这边 可以 我 帮 您 能 取消 的 全帮 您 取消 了 好 吗
您好 请 讲   彩铃 稍 等 帮 您 看 一下 呃 您 这边 是 申请 了 一个 季度 包 的 剩 一个 季度 的 一个 送 一个 季度 的 一个 彩铃 给 您 啊   对 对 对 还有 个 幺 三九 邮箱 啊 也 是 送 一个 记录 如果 您 不 想要 到时候 给 您 设置 自动 关闭 吧 免得 到时候 忘记 取消 了
您好 很 高兴 为您服务   咪咕 音乐 那个 是 送 您 的 要 取消 吗   这个 是 送 您 的 呀 不用 前 很早 之前 就 有 了 如果 您 不要 的话 可以 取消 掉 下个月 失效 之后 办理 的话 就 每个 月 六块钱 了
您好 很 高兴 为您服务   呃 呃 您 这部 电话 吗   我 看 一下 您 稍 等
您好 请 讲   我 给 您 看 一下   先生 您好 感谢 耐心 等待 您 刚才 说 一百 三是 哪个 月 上个月 吗
您好 请 说 您好 请 说 诶 您好 诶 你好 我 这个 送   去 了 十块钱 我 都 没 开通 是不是 啊 您 稍等一下 我 马上 为 您 查询   我 帮 您 查询 一下 有 一个 家校 互联 上个月 这边 的话 进行 说 办理 的 我 看 一下 是 哪个 学校 请稍等
您好 很 高兴 为您服务   正在 帮 您 查询 请稍等   您好
啊 有 什么 可以 帮 您   这个 业务 您 早期 去年 十一月份 就 开通 的 了   是 的
您好 很 高兴 为您服务   呃 对 是 我们 这边 帮 您 查询 到 您 目前 在 下个月 办新 的 套餐 一个月 是 三十 八块钱 套餐   呃 如果说 你 不要 那个 新 的 套餐 我 再 帮 您 更改 回原 套餐 可以 吗 先生 卡
你好 请 说 喂 你好 喂 你好 诶 请 说   你 稍 等 我 看 一下 因为 您 手机 这边 没有 开 流量 没错 但是 有 上网 功能 诶 可能 有时候 连接 到 网络 了 您 要 不要 把 上网 功能 关掉 啊   是 的
您好 请 讲   您 目前 用 的 是 八十八 套餐 的   嗯 然后 下个月 开始 用 的 是 一百三十八 的 套餐 因为 您 这个 号码 还有 个 来电 提醒 其他 业务 的话 是
你好 呃 您好   在 九月 二十五 号 改 的   应该 是 有 工作人员 给 您 打电话 推荐 更改 的
您好 很 高兴 您 服务 喂 你好 呃 您好 有 什么 可以 帮到 您 因为   新飞 享 套餐   会 不会 有 什么 号码 给 您 打电话 这边
您好 请 说   呃 您好 请 说   好 的 有 有 订购 彩印 业务 的
你好 您好   幺 五二   多少
他 你好 请 说   噢 好 的 您 稍等一下 我 看 一下 您 开 的 是 一个 三十块 钱 的 流量 五百 兆 的 这里 显示 有 正常 生 嗯 是 您 说 的 是 十八号 那 一天 对 不 对 啊   因为 它 这个 没有 扣 三十 啊 因为 你 这个 套餐 是 在 十八号 开通 的 所以 它 费用 是 只 扣 您 十三块 八毛 一 流量 的话 对应 的 这个 月 也 就 只有 两百 三十 兆
您好 高兴 为您服务   您 稍 等 我 看 一下 本机 是 有 办 了 一条 宽带 一个月 二十块 钱   它 这边 的话 有 参与 的 一个 优惠活动 就是说 现在 的话 进行 申请 噢 我 看 一下 优惠 是 怎么样 参与 的
您好 请 讲   好 我查 一下 好 嗯 好 稍等一下   和 教育 这种 就是 属于 在 那边 有 开通 的 就 发送 您 孩子 在 学校 的 信息 这种 要 不要 先问 一下 您 就是 孩子 的 老师 他们 确认 一下 他 这么 投诉 们 学校 要求 帮 您 统一 开通 的
您好 请 说   嗯 嗯 稍等一下 我 看 一下 彩铃 您 说 的 是 彩铃 彩印 这些 吗   好 的 您 稍 等 我 看 一下 噢 诶 彩铃 彩印 来电 提醒 这 三个 业务 我 看 了 一下 是 在 您 开卡 的 时候 它 是 有 免费 赠送 三个 月 的 三个 月 到期 以后 也 就是 上个 是 在 这个 月 月底 的话 是 这个 月 是 最后 一个月 了 呀 下个月 开始 才 有 收费 现在 没有 收 您 的 费用 是 我们 返还 给 您 的 呀
您好 很 高兴 为您服务 哎 你好 恩 你好 请 讲 我 想 上 一次 我 这个 手机 我 已经 是 是 十六号 还是 多少 好像 打   是 十四号   出 什么 问题
您好 请 说   您好   移动
你好 很 高兴 为您服务   您 稍 等 我 帮 您 查询 一下   那 您 之前 的话 宽带 是 免费 的 然后 它 现在 是 到期 了
您好 请 说   发 信息 说 从 十一月 一号   它 原本 就是 三十八 的 然后 它 有 给 您 升级成 新 的 三十八 的 会 更 划算 一些 啊 他 他 以前 就是 三十八 的 是 吧 对 原本 是 一百 分钟 只有 五百 兆 嘛 那 现在 升级 以后 就 变成 有 三百 分钟 一点 五 g 就 包含 的 业务 更 多 嗯
您好 请 说   嗯 嗯   呼叫 等待 功能 是 这个 手机卡 的 一个 功能 不过 这个 呼叫 等待 功能 本机 有 开 开通 没有 关闭 啊 可以 用
可以 您好 很 高兴 为您服务   对 幺 五零 六六 五五 九九 六 幺 幺 呃 这 号码 什么 问题 呢   到 好像 幺 五零 六零 五九 六像 您 这个 号码 手机 密码 知道 吗 密码
嗯 您好 很 高兴 您 服务   就是说 自动 升 流量 吗   噢 那个 是 自动 升档 流量 包 那个 是 您 十块钱 平时 就是 包 这个 七十 兆 的 然后 七十 兆 超过 以后 七十 兆 到 八十 兆 之间 一兆 按照 一块钱 来 进行 收费 八十 到 一百五十 兆 之间 就是 免费 的 超过 一百五十 兆 之后 也 是 按
诶 您好   噢 对 我 看到 了 有没有 接到 什么 电话 向 您 推荐 啊 之类 的 吗   开通 了 他 没有 答应 他 对 不 对
您好 请 讲 您好   嗯 请 说   嗯 我 看 一下 是 的 我 帮 您 都 退掉 请稍等 噢
您好 请 讲   您好 帮 您 查询 这 里面 有咪咕 音乐 彩印 来电 提醒 这 三个 业务 是 做 活动 赠送 您 三个 月 的   那 三个 月 内 都 是 有 话费 返还 给 您 的 那 现在 这个 月 是 最后 一个月 了 那 我 帮 您 登记 取消 掉 下个月 就 没有 了
行 您好 请 说   对 我 看 您 下个月 改了 一个 就是 等于 说 您 这个 套餐 升级 了 这样 的   对 呃 这边 说 您 同意 他 就 改 了 就 它 就 改 了 这样 的
您好 请 说   您 是 别人 添加 开通 共享 添加 您 为 共享 号码   是 的
您好 请 讲 你好 为什么 我 这边   什么 套餐 我 没 办法 积分 很 清楚 您 是 把 扩音 给 开 了 吗 如果 开 的话 能 不能 先 关掉 一下 呀   很 小声 啊
你好   嗯 请 说   请稍等 正在 查询 我 没 看到 有 这条 短信 啊 但是 您 这个 号码 原来 是 有 装 宽带 的 每个 月 保底 消费 然后 另外 要装 那个 电视 嘛 电视 费 每个 月 是 十五块 有 这个 就 只有 这个 十五块 啊
您好 请 说   呃 您 是 看到 您 手机 有 这个 业务 是 吗   啊 女士 我 看 了 一下 它 这个 名称 是 叫 呃 优惠 吧 三十元 这个 会员 吗 应该 是 个 会员 业务 这样 的 这个 如果说 不 需要 可以 帮 您 取消 的
您好 请 讲   啊 您 稍 等 我 看 一下 应该 是 之前 的话 嗯 有 赠送给 您 的 我 看 一下 哈   对 我 看 一下 没错 是 赠送给 您 没有 花钱 的 先生 不用 担心 到期 以后 呢 提前 会 有 短信 通知 到时候 再 做 取消 就行了 它 这个 没有 收 您 话费 的 不好意思 先生
早上好 请 说   稍等一下 我 看 一下 给 您 看 了 一下 幺 二 五八 零 的 这个 会员 的话 在 二零一 五年 的 时候 就 已经 有开 了 就 开到 现在 的   嗯 那个 也 是 在 二零一 五年 的 时候 就 已经 开通 了 的
您好 请 讲   本 机号码 的话 您 下个月 生 呃 升级 为 新飞 享 三十八 元 套餐 那 下个月 的话 您 这个 套餐 有 三百 分钟 在 南平 本地 可以 打 一点 五 g 的 流量 在 福建省 内 可以 用 资费 一样 是 三十 八块钱 一个月   我 这边 显示 是 在 今天 十九号 帮 我 五点 多 刚刚 升级 为 新 的 套餐 您 之前 是 旧版 的 三十八 一百 分钟 五百 兆 下个月 升级 为 三百 分钟 一点 五 g 了 就是 银行卡
您好 请 讲   我 看 一下 吧 请 稍等一下 嗯   我刚 帮 您 查询 一下 这个 号码 中 的话 可能 是 在 使用 过程 是 不会 按到 了 什么 相关 的 点播 业务 按 次 收费 的 但是 的话 都 是 分开 来 进行 计算 的 呀 每天 都 会点 到 一些 东西 啊
下午 好 请 讲   它 那个 是 我 看 一下 噢 它 那个 是 小孩子 的 那个 是 那个 校 讯通 类似 的 这种 情况 它 那个 是 学校 里面 办 的 你 之前 的话 它 这边 是 呃 您 说   我 这边 查到 你 有 取消 掉 上个月 的话 他 这边 是 有 扣 这个 钱 您 看 要 不 这样 吧 我 帮 您 去 申请 一下 把 这个 钱 的话 退还给 您 嘛 因为 它 是 您 是 上个月 开通 上个月 取消 下个月 会 产生 这个 钱
嗯 二十 八块钱 它 有 十块钱 那个 它 是 要 扣掉 的 因为 他们 是 有 您 参加   然后 它 那个 是 说 它 送 的 那个 价值 十块钱 的 一 百兆 那个 费用 他 当天 就 有 充值 话费 给 您 了 它 那个 十块钱 没有 扣 的 噢 噢 是 这 样子 是 啊 对 对 对 是 的 噢 那 还有 其他 需要 帮助 吗 不 客气 嗯 不用 不用 谢谢 了 哈 那 不 客气 祝您 生活
您好 请 讲   呃 是 在 今天 早上 八点 的 时候 您 订购 的 呀 女士 您 是不是 有 通过 那个 微信 订购 的   有没有 按到 不 小心 按到 了 呢
您好 请 讲 您好 先生   恩 你好   嗯 这 样子 是 吧 你 没有 同意 的 情况 下 这边 他 直接 办理 了 吗 是 接到 什么 电话
您好 请 讲   嗯 您 稍 等 我 帮 您 查询 一下 噢   先生 您好 耐心 等待 我 帮 您 看 了 一下 是 有 个 南 是 的 水头 中心小学 和 教育 请 您 稍等一下 噢 您 这边 之前 现在 有没有 小孩 在 那边 读书 吧
您 请 讲   没有 三十元 的 流量 套餐 啊 您 说 的 应该 是 上个月 有 玩 石头 剪子 布赢 的 一个 您 那 三个 十元 一 百兆 的 省内 流量 那个 钱 是 我们 出 的 您 自己 没有 出 您 直接 在 上个月 的 账单 上 有 时间   是不是 民族 的 放心 噢 噢 好好 好好 好行 那 还有 其他 需要 补充 的 吗
您好 请 说 喂 先生 您好 有 什么 需要 帮助 吗 你好 啊   流量 还 没 开始 扣钱 是 吗 我 给 您 查 一下 这个 月 您 的 这个 一 百兆 流量 是 用 完 的 对 啊 机完 之后 我 还有 一个 您 现在 目前 额外 有 超出 的话 超 了 一百二十 九兆   我 给 您 看 您 在 哪里 稍等一下 啊 好 的 这样 您 客户 走 的话 如果 您 说 没有 使用 的话 您 这个 问题 我 帮 您 记录 反馈 届时 我们 会 有 专门 工作人员 给 您 回复 可以 吗
您好 请 讲   噢 我 看 一下 您 有 开通 共享 功能 但是 您 没有 更别 没有 添加 号码 跟 您 共享 流量   呃 可以 您 知道 服务 密码 吗
您好 请 讲   您 说 的 是 哪 一个 费用   保障 服务 在 我们 这边 扣 的 吗
您好 请 讲 喂 你好 诶 您好   呃 这边 的话 帮 您 去 查询 了 一下 您 来电 本 机 的话 应该 是 有 被扣 您 安装费 七十八 所以 导致 这个 欠费   七十八 安装费
高兴 为您服务   诶 你好   您 是 本 机要 办理 的 宽带 是 吧 稍 等 我 帮 您 查 一下 稍等一下 噢
很 高兴 为您服务   这个 业务 是 免费 的 如果 您 不 需要的话 我 帮 您 这边 取消 掉 要 取消 吗   还有 服务 密码 知道 吗 好 那 给 您 添麻烦 密码 知道 吗 服务 密码
为您服务   您好 请 说   七十 元 保留 到 不是 您 订购 了 什么 东西 就是 你 在 手机 上面 的话 看书 的 时候 看 了 里面 的 收费 小说
您好 很 高兴 为您服务   手机号码   您 打过 这个 号码 不是 上海 移动 号码 这个 您 要 打 相关 客服 咨询 这个 不是 上海 移动 号码 先生 您 这 是 哪里 号码
您好 很 高兴 为您服务   这 两个 费用 是 不 需要 应该 不是   它 是 给 你 手机 上充 了 一个 呃 他 去年 那 充好 了 充 了 那个 三个 月 就是 充了 两 这 三个 两块 就是 六块 还有 个 三个 三块 九块 是 十月份 十七号 已经 充好 了 它 每个 月 这种 情况
您好 很 高兴 服务   您 这个 月 开通 的 就 一个 呃 三十八 元 的 套餐   他 有 个 来电 提醒 别的 没有 了
您好 很 高兴 为您服务   你好   我 看 一下 这边 好像 又 产生 过 其他 收费 项目 如果 您 不要 的话 我 帮 您 先 做 取消 呃 不 需要的话 要 密码 密码 不 知道 报 一下 姓名 身份证
您好 很 高兴 为您服务   我 这边 显示 是 在 第三方 平台 订购 了 十兆 的 流量 是 流量 有 什么 活动 是 就是 活动   就 不 不会 从 你 这边 扣费
您好 很 高兴 为您服务   信息 看 一下 呃 确实 显示 有 看到 有开 了 一个 什么 咪咕 双色球 阅读 会 啊 那个 昨天下午 四点 四十五分 开通 的   嗯 嗯 您 这个 月租 显示 是 一百零八 的 您 办 的 是 三百 分钟 通话 和 一 g 的 全国 流量 三百 零八
唉 小姐 你好   我 我 就 按 了 一下 看 了 一下 上次 都 没有 什么 影响   什么 彩铃 啊
为您服务 您好   您 这 手机 怎么 了   看 一下 没有 办理 过 业务 啊
高兴 为您服务   彩印 啊   以前 现在 是 关闭 状态 没有 打开 呀
您好 很 高兴 为您服务   集团 彩铃 失效 了   呃 这 应该 是 之前 的 公司 这个 彩铃 业务 被 取消 了 后面 重新 订购 的 这个 功能 所以 才 会 重新 下发 这个 新 的 短消息
您好 很 高兴 为您服务 您好   您好 电话 已 接通 请 讲话 呃 能 听到 我 说话 吗 现在 可以 了 请 讲   好 的 我 看到 了 总共 扣 了 您 三十八 元 的 这个 呃 手机游戏 扣费 呃 我 这边 帮 您 马上 反映 上去 唉 然后 我们 会 在 五个 工作日内 交费用 返还 给 您
您好 很 高兴 为您服务   这个 通话 中 网络 不 中断 的 一个 服务 通话质量 更 清晰 就 有没有 功能 费 呃 是 新出 的 一个 服务   不够 功能 费对 这个 业务 的话 就是 直接 打电话 的 时候 别人 打 就 是不是 不能 发微信 或者 不能 流量 网页 不能 上网 对 吧 那 现在 通话 中 可以 连接 网络 了
为您服务   什么 专线 提示 是 什么 呀 来电 提醒 吗 还是 什么 语音信箱   什么 短信
您好 很 高兴 为您服务   你好   呃 您 说 的 是 本 机号码 收到 的 对 吗
您好 很 高兴 为您服务   你好   呃 您 说 的 是 本 机号码 收到 的 对 吗
您好 很 高兴 为您服务   啊 这个 您 不用 理会 它 那 是 大片 电话 不用 理它 就 好 了   什么 东西 付 了 两次 那个 手机 这个 用 手机 打 过来 你 再 打过 是 座机 啊 查 不了 用本机 致电 您 的 手机号码 之间
您好 很 高兴 为您服务   啊 是 这样 的 因为 您 原来 是 那个 五元 的 那个 呃 就是 那个 助老 卡嘛 现在 就 下个月 帮 您 升级成 叫 四 g 飞享 套餐 八元 档 关爱 版 这个 的话 到时候 月租费 还是 返 您 五块 钱 一个月   它 是 呃 就是说 可以 全国 免费听 了 在 您 原来 不是 只能 在 上海 接听 免费 吗 现在 就 从 下个月 开始 升级 好 之后 就 等于 所有 的 内容 都 帮 您 升级 了 升级成 全国 了 全国 可以 免 接听 而且 那个 五十分钟 通话 也 是 有 的 但是 超出 或者 一毛 九 一分钟 了 在 您 原来 的话 就是说 超出 后 是 两 毛钱 一分钟 现在 就是说 超出 后 是 一毛 九 一分钟 了 全国 免 接听 还有 送 您 十兆 的 流量 所以 都 是 比 原来 划算
您好 很 高兴 为您服务   恩 还有   支付宝 的 这个 宽带 绑定 那个 业务 具体 的话 帮 您 接到 宽带 部门 给 您 问 一下 好 吗
很 高兴 服务   这边 已经 订购 上去 一个 叫 手机 会员 专区 还有 个 咪 咕 优惠 包 vip 会员 要 不要 帮 您 退掉   密码 知道 吗 帮 您 看 一下
钟 你好 谢谢 啊   三   嗯 零三 七七
您好 预处理 专席 代表 很 高兴 为您服务   就是 那个 八十八 元 的 套餐 省 过来 说 您 这 八十八 元 套餐 不用 八十八 套餐 怎么 了 是 的   他 跟 我 说好
您好 请 讲   是 这样 的 先生 就 您 这个 号码 如果 是 想要 绑定 别人 的 微信 的话 您 可以 联系 腾讯 客服 去 把 这个 之前 微信 绑定 注销 掉 就 可以 了 先生   噢 我 懂 您 的 意思 先生 这个 的话 可以 联系 腾讯 客服 去 把 这个 之前 微信 绑定 注销 掉 就 可以 了 先生
您好 很 高兴 服务   二十块 钱 对 吧 您 这边 没有 二十块 的 业务 呀 只有 一百二十八 的 月租   没有 加 二十块 钱 呢 就 一百二十八 的 月租
您好 很 高兴 为您服务   您好 请 说 先生 哦   您 现在 这个 的话 确实 还是 一个 十八块 钱 套餐 呀 因为 我们 给 您 通 全球通 那个 原来 的 动感地带 改成 了 以后 的 全球通 了 先生 以后 的话 你 出去 的话 就 没有 漫游费 了
你 本 机号码 绑定 一个 工商银行 借记卡 呀   您 是 绑定 呢 如果 不 需要的话 可以 帮 您 取消 掉 解绑 都 可以 没错   需要 帮 您 解绑 吗
就是说 我 活动 送 的 它 送 了 连接 被 这个 功能 赠送 您 两百 分钟 送 三个 月 每个 月 两百 分钟 如果 您 不 需要 我 就 帮 您 取消 掉   不要 钱 吗 他 没有 功能 费 只有 使用费 现在 因为 前 三个 月 送 您 两百 分钟 这个 手机 要 支持 的 不 支持 用 不了 的 要 帮 您 取消 吧 不 取消 上个月 后 您 要 把 它 取消 掉 那 我 帮 您 取消 了 啊   报 一下 身份证 号码 姓名 吧
