你好 请 讲 其他   喂 您好   先生 嗯 请 讲   你 帮 我查 一下 我 这个 手机 呃订 了 哪些 套餐 能 看得出来 吗
唉呀 您好 请 讲   嗯 你 帮 我 看 一下 这个 号码 有 嗯 开通 什么 套餐 吗   就是 基本 套餐 费 一个月 十八块 钱 还有 一个 三块 钱 的 来电 提醒 手机 阅读 六元 彩印 三元 其他 的 就 没有 啦   手机 阅读 删掉 来
你 好好 的   你好 很 高兴 为您服务   我 想 问 一下 我 现在 这个 套餐 是 多少 的   我 看 一下 八十八 的
您好 请 说   噢 你好 我 想 咨询 一下 我 这 我 现在 有 什么 套餐 呢 我 的 手机 啊   嗯 您 这个 套餐 的话 是 那个 和 家庭 七九 套餐 然后 的话 有开 一个 十块钱 一 百兆 的 流量 包 然后 呢 其他 就 没有 了   还有 其他 没有 那 为什么 我 的 流量 这么 快 就 没有 掉 啦
你好 请 讲   诶 你好 请 帮 我 看 下 我 手机 有没有 开通 一些 增值 业务   有 一个 彩铃 跟 彩印 我 看 能不能够 帮 您 取消   好
您好 请 讲   诶 请 帮 我查 一下 我 这个 用 的 什么 套餐 的   嗯 您 现在 目前 用 的 是 一百五十 八 的 套餐 呢   噢 要不然 下个月 帮 我 转 一百八十 八 的
帮 您 请 说 诶 你好 恩   哎 我 想 问 一下 我 的 那个 这个 本 机上 有订 了 什么 业务 啊   噢 您 这 号码 的话 就是 产生 了 就是 那个 有个 来电显示 嘛 然后 彩铃 还 有些 什么 幺 二 五八 零 会员 噢 其他 业务   您 多少 钱
愉快 再见 您好 请 讲   你 帮 我查 一下 我 的 手机 呃 这个 卡 开通 一些 什么 东东   收费 就 八十 八块钱 月租 加上 两块钱 来电 提醒 还有 六块钱 五十 兆 的 流量 这边 有 办理 一个 超级 qq 然后 手机游戏 个性化 彩铃 还有 才能 开   收据 游戏 什么 东西
诶 您好 请 说   哎 你好 帮 我 查询 下本 机有 什么 扣费 项目   呃 稍等一下   好
嗯 嗯 您好 请 讲   呃 喂 您好 我 想 问 一下 我 这个 嗯 什么 套餐   您 现在 是 用 的 是 新 的 三十八 的 飞享 套餐 女士 三十 八块钱 套餐 费   那 为什么 我 上个月 手机费 是 就是 这个 月 一号 交了
您好 很 高兴 为您服务   诶 你 帮 我查 一下 我 那个 另外 一部 连接 这个 手机 的 那个 套餐 是 怎么   有 手机 服务 密码 有 吗 的 什么 手机 数据 它 是 另外 一张 号码 卡 的 情况 要 有 密码 才 有 权限 查 没有 密码 我们 这边 是 核对 不到 的   密码 都 忘记 了
哎 嗯 您好   有 那个 我 问 一下 我 这个 手机 不是 改成 下个月 三十八 的 套餐 的   嗯 帮 您 看 一下 您 稍 等 三十八 对 的   三十八 那个 那个 哎能 不能 给 我 换个
您好 很 高兴 为您服务 你 帮 我查 一下 我 这 什么 套餐 本机 是 月租费 十三块 套餐 十三块 套餐 对 十三元 六十三 元 是 吧 对 十四号 好好 然后 来电显示 要 另外 收 啊 还有 来电 提醒 噢 那 你 查 一下 我 这个 接下来 是 半年 之前 的 半年 内 每个 月 大概 消费 多少 上个月 是 六十三 包月 上个月 三月份 四十二   十兆 七月份 是 六十九   六六 月份 是   六十一 啊
你好 请 讲   哎 你好 我 想 问 一下 我 上面 的 流量 我 不是 开 了 三十块 钱 五百 兆 吗   您 这个 没有 开 流量 套餐 啊   什么 时候 开始 没有 开 啦
您好 请 说   呃 那个 上次 我 有 申请 那个 手 那个 更换 套餐 那个 有没有 帮 我 有没有 申请 下来 呀 帮 我 看 一下   这边 显示 您 这个 号码 目前 还是 属于 旧版 的 三十八 套餐 啊 并 没有 改 到 那个 新 的 三十 并 没有 看到 有 更改 套餐 的 一个 记录   没有 我 上次 申请 一下 我 想 我 想 改为 那个 八块钱 的 套餐
您好 很 高兴 您 服务   呃 您好 就是 麻烦 你 看 一下 我 呃 帮 我 看 一下 我 这 里面 有没有 一些 要 收费 短信 那个 增值 业务   好 的 女士 我 帮 您 看 一下 除了 基本 套餐 的话 是 一个 流量 王 的 一个 是 套餐 除了 这个 以外 的话 其他 的 收费 服务 帮 您 查询 一下 您 稍等一下 这边 有个 彩印 功能 但是 已经 有 登记 了 下个月 取消 掉 了   二
对 您好 请 讲   哎 你好 我 想 了解 一下 我 的 每个 月 的 套餐   有 两样 是 吧 嗯 套餐 是 八十八 的 二级 八十八 是 吗 还有 一个 流量 的 活动 十二月 一号 到期   帮 十二月 活动 是 吗
嗯 哼   有 什么 可以 帮 您   喂 你好 我 想 问 一下 了 我 也 现在 这个 套餐 是 什么 套餐   您 现在 用 的 是 新飞 享 系列 十八 套餐 里面 还有 国内 流量 一 百兆 嘛 然后 省内 流量 赠送 您 两 百兆 然后 本地 打 国内 电话 两百 分钟 吗
用过 只有 一条   很 高兴 您 服务 您好   呃 请问 我 现在 什么 套餐   您 现在 用 的 是 五十八 的 套餐
嗯 您好 请 讲   喂 你好 呃 我 想 问 一下 我 目前 那个 手机 的 套餐 是 什么样 的 一个 情况   您 现在 套餐 是 校园 四十八 的 套餐 这款 的 四十八 是 吧 对 没错 四十八   每个 月 多少 g 流量
您好 请 讲   诶 你好 所以 我 这个 呃 卡 开通 了 哪些 业务 啊   这 张卡 的话 就是 五十 八块钱 的 套餐 有开 一个 来电 提醒 功能 还有 幺 三九 邮箱 彩印 和 彩铃 功能   那 为什么 这个 话费 去 了 这么 快 啊
您好 很 高兴 为您服务   你好 我 想 问 一下 我 这 手机 是 用 用 什么 套餐 呢 嗯 嗯   这个 用 的 是 飞享 三十八 现在 用 的 是 新版 的 三十八   噢 这个 月 还 没 开始 用 啊 到 下个月 开始
您好 请 讲   哎 你好 我 想 问 一下 你 帮 我查 一下 我 上 下个月 是 什么 套餐   下个月   嗯 就 那 五十八 五十八
嗯 嗯 您好 请 说 有 什么 可以 帮 您 的   你好 我 麻烦 你 帮 我查 一下 我 这个 有 哪个 收费 的 业务 好不好   噢 目前 使用 您 的 套餐 啊 没什么 收费 的 业务 啊   啊
您好 请 说   哎 喂 哎 谢谢 你 唉呀 二   您好 什么 可以 帮助 到 您   帮 我查 一下 我 的 我 这个 手机 套餐 什么 套餐
嗯 啊 您好 很 高兴 为您服务 您好 嗯   呃 我 那个 三十块 钱 流量 包 那个 取消 掉 取消 了 没有 这个 月   请 稍等一下 这个 月 已经 没有 三十块 的 流量 包了   噢 取消 掉 啦
您好 诶 你好 我 问 一下 这个 这个 号码 的话 它 有 开通 什么 业务   请 您 稍 等 帮 您 查询 一下 您 本机 是 是 呃 不 客气 我们 应该 做 的 您 本机 是 十八 的 这 样子 一个 套餐 然后 您 这边 额外 我 这边 查询 就 没有 这个 其他 的 这种 付费 的 包月 的 增值 业务 了   然后 套餐 它 是 怎么 个 意思 里面 内容 都 是 什么样 的   嗯 十八 的 这个 套餐 是 您 本地 打 国内 有 一百 分钟 的 分钟 数 跟 国内 流量 这边 一 百兆 这 样子 的 一个
您好 很 高兴 为您服务   喂 你好   你好   噢 我 想 问 一下 我 现在 有 哪 一些 业务 手机 上
嗯 嗯   您好 请 讲   帮 我查 一下 我 那个 那个 买个 六十块 流量 成功 了 吗   六十元 流量 已经 生效 了 现在 可以 使用 了
您好 请 说   喂 那 你 帮 我 帮 我查 一下 他 他 给 我 那个 手机 电话 套餐 是 多少   新飞 享 八十八 套餐   有 通话 通话 多少 分钟 的
嗯 您好 请 说   哎 你好 你 帮 我查 一下 我 你 这个 本 机 开机 啊 什么 套餐   嗯 办 的 是 十八 套餐 除了 这个 还有 来电 提醒 然后 三块 钱 的 彩印   那 还有 什么
很 高兴 为您服务   诶 我 问 一下 我 这个 换 本地 的 号码 套餐 什么 套餐   三十八 的 套餐 一点 五 g 的 省内 流量 三百 分钟 的 本地 通话 这种   三十八 套餐 呀 没有
嗯 您好 请问 什么 可以 帮助 您   你 帮 我 呃 这个 手机卡 有没有 开通 那个 移动 流量 包 啊   呃 没有 就 十八块 里面 赠送 的 一 百兆 其他 都 没有   噢 它 这个 套餐 这个 卡是 什么 套餐 呢
嗯 嗯 再见 您好 很 高兴 为您服务   诶 您好 小姐 能 不能 帮 我查 一下 我 妈妈 手机号码 这个 幺 三五 九九 零三 二 幺 八 零 这个 是 什么 套餐 啊   幺 三五 五 九九 零三 二 幺 八零是 吗   对 对 对 对
您好 请 讲   喂 你好 帮 我查 一下 我 这个 下个月 开始 是 五十八 的 套餐 是 啊   您 这边 下个月 是不是 五十八 的 套餐 这边 查询 是 的 您 已经 改成 五十八 的 了 五十八   是不是 只有 我 一百五十 分钟 啊
您 阖家幸福 您好 诶 你好   我 想 问 一下   现在 就是 我们 这个 手机 还有 什么 送 宽带 业务 的 吗 送 宽带 是 吗 宽带 那个 套餐 要 捆绑 啊   我们 套餐 是 多少
为您服务 诶 你好   喂 你好 你 帮 我查 一下 我 这个 嗯 八十 八块钱 的 套餐 到 什么 时候 到期 好   你好 之前 的 活动 是 二零一 八年 一月 一号 就 结束 了 就 到 今年 十二月份 噢   二零一 八年
您好 请 讲   诶 你好 我 想 问 一下 我 刚才 订 的 那个 就是 网上 包 两块钱 一 g 的 四个 小时 现在 有没有 生效 啊   已经 生效 了 可以 用 了 噢   噢 就 问 一下 哈
早上好 请 讲   嗯 你好 我 想 问 一下 你 我 这个 你 帮 我 有 什么 开通 有 什么 业务 的 有没有 这边 哎要 收费 的 啊   您 稍 等 我 看 一下 啊 本 机号码 的 业务 除了 您 的 呃 您 下个月 是 改成 了 这个 三十八 的 套餐 那 其他 收费 业务 就 没有 啦   诶 那 那 我 每天 怎么 都 都 要 去 了 呃 那个 一块 多 那个 扣费 扣扣 什么 费 那个
嗯 那 您好 请 讲   诶 您好 嗯 能 不能 帮 我查 一下 我 这个 套餐 我 这个 月 没有 来电 提醒 啊 一个 定向 业务 啊   你 这边 是 没有 开通 来电 提醒 的   可是 我 的 手机短信 有 收到 是 怎么回事 啊
喂 你好   呃 那个 我 请问 下 我 手机 是不是 有 那个 网络 限速 啊   看 一下 哈 您 稍 等   啊 喂
您好 高兴 您 服务   喂 你好   哎 你好 我   啊 我 这个 手机 的 有 什么 套餐 什么 的 有没有 这个 本机 的
四 g 功能   您好 您 请 讲   喂 你好   诶 您好
您好   诶 你好 请问 啊 帮 我查 一下 我 这个 套餐 还有 开 了 什么 功能 啊 我   前   好像 前 一段时间 交了 一百多块 钱 现在 怎么 不足 余额 不足 十五元 的 你 帮 我查 一下 看看
不是   您好 请 讲   啊 喂 你好 呃 我 想 知道 就是 我 这个 手机 出 就是 有 我 办理 了 几个 套餐   嗯 请稍等 女士 您 这边 收费 的 只有 三十八 元 套餐 然后 您 有 一个 来电 提醒 三块 钱 另外 这边 有个 彩铃 还有 一个 彩印
你好 请 说   包含 什么 增值 业务 什么 短信 包 十块钱 帮 我 扣掉 我来 彩印 三块 钱 帮 我 扣掉 了 是 吧 呃 您好 那 我 帮 您 看 了 一下 这个 业务 它 是   已经 取消 了 下 月 一号 就 没有 了   两个 都 没有 是 吧
您好 请 讲   我想查 一下 我 这 张卡 有没有 开 什么 其他 的 东西   好 的 您 这 是 一个 流量 套餐 其他 都 没有 了 他们   刚才 发 一条 信息 给 我 说 有 开 什么 彩铃 什么
您好 请 说   那个 帮 我查 一下 我 这 张 这 张卡 办理 有没有 办理 什么 其他 套餐 这个 资费 是 到底 是 多少   噢 我 帮 您 看 了 下 我们 就 用 的 是 十八块 钱 的 套餐   什么 或者 这个
早上好 您 请 说 在   诶 你好 我 刚刚 帮 我查 一下 我们 刚充 了 一个 四 g 流量 套餐 这个 你 帮 我查 一下   好 您 是 说 充值 的 四个 g 的 流量 是 吗 恩 对 收到   短信 说 让 我
你好   喂 你好   嗯   我 想想 问 一下 我 这个 手机 上 套餐 到底 是 哪个 套餐 昨天 有发 了 九十九 套餐 幺 八 八十八 套餐 我 都 自己
您好 请 讲   噢 我 想 问 一下 我 这个 手机 昨天 开通 了 那个 什么 那个 三十块 钱包 月 的 叠加 包 那个 流量 是 啊 嗯   那有 看到 了   呃 你 帮 我 取消 掉 这个 月 就 这个 月 就 好 了
您好 很 高兴 为您服务   我 想 问 一下 我 现在 这个 号码 是 什么 套餐 啊   或者 是 您 这个 是 三十 八块钱 一个月 的 一百 分钟 五百 兆 跟 来电显示   我 那 里面 然后 三 五十八 的 那 你 帮 我 换成 你们 现在 不是 有 五十八 套餐 吗 帮 我 改成 五 十八块 套餐 吗 改 那个 新飞 享 五八 的 对 吗 对
您好 什么 可以 帮 您   帮 我 看 下 我 现在 呃 订购 了 那个 套餐 是 哪个   您 这个 月 办 的 是 三十八 的 下个月 改了 改成 八十八 的   我刚 我 是 改过 两次 一 呃 的 意思 改改 五八 然后 呢 改 八八 的 是不是
您好 请 讲   诶 你好 我 想 问 一下 我 现在 这 部手机 那个 号码 呃 套餐 是 怎么 什么 什么 样子   那 是 五十八 套餐 里面 是 有 办 了 就是 四百 分钟 三 g 的 流量   那 还有 一个 六百 兆 的 流量 十块钱 你 帮 我 删除 了 吧
前面 也 上面 都 没有 亮 没有 喂 你好 哎 你好 先生   诶 请问 请问 我 这卡有 哪些 业务   稍 等 我 看 一下   营业厅 里面 两 毛钱 财经 对 吧 号码
您好 很 高兴 为您服务   哎帮 我查 一下 这个 号码 是 办 什么 业务 呢   请 您 稍 等 我 帮 您 查询 一下   嗯 嗯
啊   您好 请 讲   喂 您好 麻烦 帮 我查 一下 我 这个 嗯 有 有 什么 来电显示 还有 其他 什么   我 帮 您 看 一下 套餐 十八 的 来电 提醒 已经 预约 到期 自动 关了 彩铃 也 是 然后 来电显示 是 送 的 其他 包月 的话 暂时 没有 开通
早上好 请 讲   诶 你好 麻烦 帮 我 看 一下 就是 这个   手机 它   最低 消费 是
您好 请 说   诶 今天 呃 帮帮我 查 一下 本 机 什么 套餐 呢   转入 本机 是 新飞 享 八十八 套餐 下个月 是 吗 下个月 改成 五十八 的 商旅 套餐 一百五十 分钟 一百五十 兆 流量 的 可以 用 完   啦 你 是 说 本机 现在 是 八十八 的 是 吧
呃 您好 请 讲   好 我 就 想 问 一下 就是 我 昨天 查 那个 怎么 有 那个 什么 短信 发给 我 是 啊 什么 咪咕 阅读 那个 六块钱 那个 什么 两个 g   咪咕 阅读 就是 手机 上网 那 您 手机 我 就 上网 看 那个 呃 看 小说 啊 之类 的 这些 业务   看 小说 之类 的 业务 啊
您好 请 说   诶 请问 一下 我 这个 手机 这个 查 吗 他 就是 什么 套餐 的   的 套餐 现在 用 的 是 一个 飞享 八块钱 套餐   好好 什么 套餐
您好 高兴 您 服务   噢 你 看 你 看 我 的 卡有 什么 业务   挺 好 您 稍等一下 有 开通 的 业务 是 来电 提醒 然后 你 自己 月租 三十八   那 还有 什么
好 的 行   您好 请 讲   喂 你好 我 问 一下 我 这个 卡是 一个月 是 多少 的   好 的 您 稍等一下 哈
您好   噢 帮 我 看 一下 那个 我 手机 有开 什么 业务 帮 我 开   我 帮 您 看 一下 呃 您 目前 的话 我 帮 您 看 一下 您 这边 有 一个 三十八 的 基本 套餐 额外 还有 个 五十块 钱 流量 包 这个 业务   五十块 钱 的 是 什么 的 十块 那个 吗
你好   喂 你好   嗯 请 说   我 昨天 有刚 申请 了 一个五十 八块钱 的 套餐
您好 很 高兴 为您服务   帮 我查 一下 我 这个 本机 有订 什么   您 有 订购 了 一个 十八 套餐 还有 来电 提醒 其他 收费 包月 我 帮 您 查询 噢 才 家庭网 其他 暂时 是 没有 了 不是 有 一 还有 您 学校 那边 有 一个 和 教育 沟通 包月 的   呃 呃 那个 刚刚 给 我 取消 掉
您好 请 讲   呃 你好 我 这 手机 开通 国际漫游 了 吗   嗯 我 帮 您 看 一下 哈 啊 您好 您 这个 漫游 功能 还 没 开要 帮 您 开 一下   吧 好
高兴 服务   您好 请 说   哎 你好 帮 我 看 一下 我 下个月 套餐 是不是 八块钱 的   嗯 马上 帮 您 查询 啊 对 的
您好 有 什么 可以 帮 您   喂 你好 我 想 问 一下 我 这个 手机 这个 套餐 是不是 已经 失效 了 呀 嗯   套餐 的话 都 不会 失效 呀 您 这个 是 十八元 套餐 吗   对 那 我 三百 分钟 免费 还是 两百 分钟 免费
哎 嗯 吧 您好 请 讲   看 诶 你好 我 刚才 办理 的 套餐 就是说 有 一个 是 下个月 生效 的 吗 然后 我 现在 要 取消 掉 要 怎么办   取消 掉   对 因为 我 办错 了 要 另外 一张 卡
您好 请 说   哎 你好 请 我 想 那个 改 我 现在 想 问 一下 我 的 手机 套餐 是 多少 帮 我 看 一下   您 套餐 五十八 元 一个月   呃 现在 是不是 有 什么 八十八 元 套餐 能 升级 了
你好 很 高兴 为您服务   你 帮 我 查询 一下 我 这个 手机 是 什么 套餐   八十八 套餐   里面 有 一个 那个 拨打 一分钟 是 多少
行   您好 请 讲   啊 喂   什么 可以 帮 您
您好 很 高兴 为您服务   我 想 问 一下 我 这个 是 反正 是 五十八 是不是 五十八 套餐 了 那个 怎么 会 那个 欠费 掉 啊 我 有 流量 用 了 超 分钟 数 有没有 超   呃 您 这边 五十八 套餐 套餐 外 的话 您 这边 是 有 那个 来电 提醒 扣 了 两 毛钱 然后 有 使用 到 一些 信息 台 的 信息费 扣 了 八 毛钱 所以 总共 是 消费 了 五十九 块 那 咱们 上个月 余额 是 五 十八块 五毛 六 所以 刚好 欠 了 四毛 四 这边   不 客气 包是 多少 包月 区
哎 你好   哎   哎 有 什么 可以 帮助 您 的   我 今天 这个 套餐 是 什么 套餐
您好 请 说   哎   你好   噢 你 帮 我 看 下 我 这个 刚刚 开通 了 什么 东西 啊
您好 请 讲   对 诶 你好 我 问 一下 我 这个 本 机 套餐 是 什么 样子 的   本 机 套餐 办 的 是 一个 八十 八块钱 的 套餐 包含 两百 二十 呃 包含 这个 一千两百 分钟 通话 还有 五个 g 流量   我 以前 不是 五十八 吗
请   助 的 这个 办 那么 好 啊 您好 请 讲 喂 呃 您好   噢 我 想 问 一下 就是 我 今天 刚开 了 一个 流量 套餐 吗 但 我 这边 呃 选择 是 呃 立即 生效 可是 短信 他 通知 我 说 是 次 月 生效   为 您 办 的 是 那个 七十块 的 流量 包 因为 您 有 去 参加 了 那个 送 话费 的 活动 它 就 只能 是 下个月 生效 如果说 您 单单 没有 参加 活动 的 时候 今天 开 的话 它 是 立即 生效 的
您好 噢 你好 我 想 了解 一下 我 现在 有 开通 一个 什么 手机 视频 的 那个 是 吗   的 我 看 一下 啊   就是 能 不能   是 吗 不 客气 帮 您 查 一下 里面 没有 手机 视频
您好 请 讲   你好 嗯 你好 那个 我 我 我 这个 是不是 有 一个 那个 七十块 流量 包 我 现在 想 取消 了   嗯 我 帮 您 看 一下 嗯 对 那 帮 您 取消 掉 是 吗   嗯 对 对 对
你   给 我查 一下 喂 你好   你好   那 就是 我 麻烦 问 一下 就是 我 现在 用 的 是 什么 套餐
你好   喂 你好   恩 还有 什么 需要 帮助 吗   我 我 这个 手机 是 什么 套餐 的
您好 请 您 说   你好 我 想 帮 我查 一下 本 机 有没有 开通 那个 来电 提醒 啊   好 我 马上 帮 您 检查 现在 您 手机 没有 开通 来电 提醒 呢   喂
您好 请 讲 您好 嗯 请 说 恩 看 一下   嗯 你 帮 我查 一下 我 那个 手机 的 什么 套餐   恩好 的 我 帮 您 看 一下 您 现在 本 机 套餐 呢 是 九块 钱 的 套餐 然后 包含 三个 g 的 视频 优酷 视频 流量 然后 套餐 里面 的话 额外 还有 一个 一天 一块钱 五百 兆 的 流量 包   有用 有 扣费 不用 不 扣费
你好 请 说   喂 您好 我 想 问 一下 我 这本 机 开通 了 什么 业务   您好 您 现在 是 飞享 的 三十八 套餐 下个月 改成 了 五十八 套餐   五十八
您好 请 说 你好   喂 你好 呃 帮 我查 一下 我 这个 号码 的 有 什么 套餐 里面 的 那个 话费 扣 那么 那么 厉害 呀   帮 您 查询 我 帮 您 查看 一下 这个 月 到 目前为止 的话 是 流量 扣 的   是 流量 扣 啊
您好 请 说   诶 喂 你好 嗯 麻烦 您 帮 我查 一下 我 现在 是 什么 套餐   结果 他 消费 您 是 五十 八块钱 套餐   五十 八块钱 的 套餐 嘛
哎 你好 很 高兴 为您服务 三十 号 诶 您好   呃 帮 我查 一下 我 这个 业务 跨省 之后 都 都 没什么 业务 了 吗   呃 我 看 一下 请稍等 噢 您好 哎 呃 我 看 了 一下 您 这边 办理 的 业务 就是 基本 套餐 三十八 有 一个 是 嗯 流量 的 活动 这边 看 一下 还 没 到期 嗯 还有 一个 是 夜间 活动 下个月 也 取消 啊   我 知道 我 因为 现在 在 在 外省 这个 这个 套餐 是不是 都 不能 用 了
您好 很 高兴 为您服务 五元 月租 还有 三十五块 钱 噢 你好 诶   一万   是 五十 啊 您好 您 的 电话 已 接通 一下 一百一十 六 了   喂
你好 需要 什么 帮助   喂 您好 我 这 手机号 里面 是不是 有 绑定 一个 宽带 的 东西   嗯 对 您 这 套餐 七十九 的 是 属于 宽带 类型 的 套餐 啊   嗯 但是 我 这边 宽带 不行 诶
您好 请 讲   吧   你好 您好   查 一下 本 机 什么 套餐
您好 请 讲   喂 诶 你好 你 帮 我 看 下 那个 套餐 付费 套餐 里面 有没有 用 那个 流量 包 的   付费 套餐 您 稍 等 就 开通 的 业务 是 吧 有 一个 五十元 的 流量 包是 要 取消 吗   谢谢 啊
应该 没 您好 请 讲   诶 你 帮 我 看 一下 我 我 这个 是 什么 套餐 呀   十八元 飞享 套餐 噢 已经 是 十八元 的 是 吧   那 我 那个 除了 套餐 还有 没有 别的 收费 业务
您好 请 说   喂 您好 我 想 你 帮 我 看 一下 有没有 本 机上 有没有 流量 包   好 的 没有 开 流量 包 流量 的话 一个月 是 月租 里面 一个 g 然后 另外 是 赠送 的 一个纸 没有 开通 的   噢 没有 噢
幺 三 六   您好 请 讲   哎 你好 帮 我 看 下 这个 手机 里面 是不是 有 开通 一个 流量 五十元 的 那个 包   嗯 没错
您好 请 说   哎 我 刚才 订购 就是 下个月 幺 幺 三八 的 套餐 你 那个 里面 不 知道 有没有 成功 帮 我查 一下   有 订购 成功 了 下个月 一号 开始 生效 先生   就是 我 除了 等于 说 我 下个月 就是 这个 就是 这个 三八 收费 其他 都 没有 收费 啊
您好 请 讲   帮 我 看 一下 我 这个 卡有 开通 什么 增值 业务 没有   噢 您 稍 等 这边 马上 帮 您 看 啊 您好 这边 帮 您 看 了 一下 您 除了 一个 基本 套餐 呢 它 是 呃 有 给 您 赠送 一个 来电 提醒 的 业务 这个 是 长期有效 的 啊 除了 这个 以外 呢 还有 给 您 赠送 一个 彩印 的 业务 那 彩印   彩印 是 吗
