你好 请 讲 其他   喂 您好   先生 嗯 请 讲   你 帮 我查 一下 我 这个 手机 呃订 了 哪些 套餐 能 看得出来 吗   这边 帮 您 看 了 一下 有 收费 的 业务 套餐 费 一个月 八十八 然后 这边 有 一个 来电 提醒 一个月 三块 钱 然后 有 一个 彩铃 六块 彩印 三块 手机 阅读 六块 没有 其他 扣费 了   彩铃 六块 六块 是 什么 东西 啊   彩铃 六块钱 手机 阅读 六块 彩印 三块 这些 业务 要 取消 吗   什么 阅读
你好 请 讲   哎 你好 你 帮 我查 一下 我 这个 手机 都 有 什么 那个 功能 是 要钱 我 有没有 开通 什么 包月   有 一个 家庭网 还有 个 彩印 其他 的 有 一个 来电 呃 来电 提醒 下个月 取消 了 彩印 也 取消 了 那 就 剩 一个 家庭网 和 基本 套餐 了 其他 没有 了   经理 也 取消 了 来电 提醒 也 加 了   对 下个月 就 没有 了   你 刚才 把 来电 提醒 取消 了 来电 提醒 不用 了 来电 提醒 不要 帮 我 取消 掉 就是 那个 什么 什么 费 那个 那个 什么 的 三块 的 帮 我 取消 掉 哎   三块 的 就是 来电 提醒 啊   呃 不是 来电 提醒 不要 取消 吗 其他 还有 什么 要 那 就 家庭网 要 取消 吗 家庭网 也 不要 取消
嗯 您好 很 高兴 为您服务 您好 诶 你好 我 想 问 一下 就是说 我本 机有 一个 什么 数据 套餐 是 六十元 的 这个 是 什么 东西 啊   好 您 说 的 是 上个月 账单 是 上个月 账单 所以 您 上个月 有 一次性 的 花 六十块 钱 买 了 六个 g 的 国内 流量 然后 从 从 那天 开始 算 起 一百八十 天内用 完 一百八十 天过 它 会 自动 失效 掉   嗯 嗯 呃 那 我 想 问 一下 他 就是说 帮 你 看 一下 噢 订 了 噢 就是 就是 这个 最近 也 呃 移动 数据 套餐 有 十元 的 啊   啊 您 是 您 是 说 什么 流量 吗 还是 什么   就是 就是 那个 移动 数据 的 那个 套餐 就是 这个 流量 是 吧 对 对 对 嗯 现在 不是 说 有 一个 什么 几十块 钱包 月 然后 无限 使用 流量 的   那个 是 比如 那 是 比如说 二十块 钱 那 我 用 套餐 那个 资料 有 接到 通知 客户 才能 办 的 平时 我们 是 办 不了 的 这个 业务 的   哦 行   这样 的 对 是 的
您好 请 说   呃 你 帮 我查 一下 那个 五百 兆 的 那个 快餐 包到 了 没有   今天 充值 到 八点 多 已经 到 账 了 二十四个 小时 的   噢 噢 噢 然后 我 自己 另外 充了 那个 两百 的 那个 月底 失效 的 那个 也 到 了 是 吧   通过 其他 方式 购买 的 这个 吧   噢 不是 我 有 充 嗯 哼   套餐 上 找 我 的 恩 对   那 现在 总共 加 起来 流量 多少 的
什么 您好 请 说   诶 你好 你 帮 我查 一下 我 这个 手机 目前 都 有 什么 套餐 二   您 套餐 是 三十 八块钱 套餐 除了 这 套餐 以外 有 一个 是 宽带 的 业务 包   六八 多少 钱   宽带 是 吗 我 帮 您 看 一下 宽带 的话 您 这边 享受 的 是 有 一年 一年 收费 一年 后 免费 的 活动 一个月 四十一   噢 就是 今年 四十一 嘛 不是   您 对 是 今年 的话 还是 免费 期 吗 然后 明年 开始 才 收费 啊   噢 明年 四十一 号
好 您好 请 讲   噢 我 想 看看 这个 手机 有 什么 业务   嗯 嗯 可以 稍 等   噢   呃 您 的 月租 目前 就是 十块钱 每个 月 保底 消费 十块 的 那个 叫 呃 神州行 畅听卡 额外 收 您 的 费用 啊 是 您 当时 有 两块 来电 提醒 还有 六块钱 彩铃 三块 钱 彩印 这三项   其他 没 了 嘛   对   反正 不是 有个 咪 咕 什么 音乐 啊
嗯 嗯 您好 请问 什么 可以 帮助 您 哎 你好 嗯 请 说   帮 我查 一下 我 现在 有 什么 套餐 有线 的 呃 主 套餐 是 什么   飞享 套餐 三 十八块   嗯 嗯   就 这个 套餐 其他 没 开 别的 啦   这个 套餐 是 流量 五十 兆 然后   五百 兆 分钟 数   哦 取消 掉 然后
嗯 嗯 您好 请 讲   我 想 问 一下 我 的 那个 已开 业务 有 什么 好像 有 一个 一 g 的 那个 流量 是不是 收费 的   呃 他 现在 是 要是 有 收费 但是 它 有 做 活动 给 您 活动期 就 说 现在 只收 您 十块钱   那 活动 已经 到期 了 没有   嗯 还 没有 到期 要 到 二零一 八年 三月 一号 到期 到 二 月底   那 我 现在 能 不能取消   嗯 嗯 活动 期间 不能取消 啊 您 要 我们 只能 帮 您 预约 下 活动 到期 自动 取消   噢 二月份 是不是
嗯 谢谢您 好 很 高兴 为您服务   我 想 问 一下 那个 我 手机 套餐 是 五八 的 那 好像 有 一个 什么 办 了 一个 另外 的 套餐 是 是 多加 十块钱 的 是 什么 什么 意思   再 加 十块 我 看 一下   啊   您 是 本月 内 里面 看到 多交 十块 是 每个 月 分 的   是 好像 算 下个月 了   您 这 张卡 这边 没有 另外 十块 的 除了 基本 五十八 元 的 套餐 然后 其他 的话 都 是 增值 服务 比如说 彩铃 啊 彩印 啊 来电 提醒 这些 您 这边 已经 有 取消 掉 了 另外 我 看 一下 还有 一个 集团 网 就是 闽光 移动网 额外 就 没有 收费 的   东西 啊 现在 打电话 过来 说 什么 就是 我 是 五八 套餐 然后 多 增加 十块钱 然后 什么 反应 返还 什么 那个 电话费
很 高兴 为您服务   诶 你好 我 问 一下 我 我 这个 号码 有没有 办理 什么 业务   像 您 这 张卡 的 套餐 是 三 十八块 的 其他 收费 业务 呢 有 五块 钱 的 彩铃 三块 钱 的 彩印   那 五块 钱 的 卡 里面 怎么 会 我 没有 开通 啊 怎么 会 有 的   您 这 张卡 不 今年 七月份 用 的 嘛 新卡 的话 都 有 赠送 增值 业务 这个 彩铃 跟 彩印 啊 就是 送 的 送 半年 时间 还 没 到期 然后 您 还有 一个 业务 家庭网 三块 钱   那 我 这个 流量 套餐 能 不能 改掉 了 能 不能取消   有没有 额外 的 流量 套餐 您 用 的 是 三十八 套餐 三十八 里面 赠送 的 流量   噢 没 办法 取消 了
嗯 你好 请 说   你好 哎 我 上网 流量 六十块 钱包 包月 的 还有 没有 啊   稍等一下 啊 你 这个 流量 目前 还有 四 g 多 啊   对 那 怎么 我 这边 显示 没有   您 说 哪里 显示 没有 了   我来 了 短信 怎么 都 没有 了   他 那边 应该 是 说 您 套餐 里面 的 一 g 快用 完 了 所以 发短信 提示 您 您 那个 不是 刚 说 的 六个 g 的 流量 目前 还 剩四 g 多 呢   噢 那 那 现在 那个 扣套 完 了 过后 直接 在 这边 扣 了 是不是 今天 见 好 谢谢 啊
唉呀 您好 请 讲   嗯 你 帮 我 看 一下 这个 号码 有 嗯 开通 什么 套餐 吗   就是 基本 套餐 费 一个月 十八块 钱 还有 一个 三块 钱 的 来电 提醒 手机 阅读 六元 彩印 三元 其他 的 就 没有 啦   手机 阅读 删掉 来   好 的 您 稍等一下 给 您 取消 好 了 下个月   嗯 嗯   还有 开通 一个 您 要 取消 吗 彩印 彩印   转移 什么
你 好好 的   你好 很 高兴 为您服务   我 想 问 一下 我 现在 这个 套餐 是 多少 的   我 看 一下 八十八 的   能 不能 改低 一点   看 一下 可以 改   它 一点 是 吧 没 改能 改到 多少 呢   那 您 可以 改个 三十八 的 三八 套餐 它 有 五百 兆 流量 一百 分钟 本地 打 国内 分钟 数包 来电显示
您好 请 说   噢 你好 我 想 咨询 一下 我 这 我 现在 有 什么 套餐 呢 我 的 手机 啊   嗯 您 这个 套餐 的话 是 那个 和 家庭 七九 套餐 然后 的话 有开 一个 十块钱 一 百兆 的 流量 包 然后 呢 其他 就 没有 了   还有 其他 没有 那 为什么 我 的 流量 这么 快 就 没有 掉 啦   呃 您 的 流量 我 看 一下 噢   对 啊 我 不是 有 一 g 吗   呃 我 知道 我 再 帮 您 查 号 您 的 流量 一个 g 现在 还 剩 五百 零七 兆 啊 没有用完   啊 那 为什么 它 这个 信息 发 来说 用 完 了
你好 请 讲   诶 你好 请 帮 我 看 下 我 手机 有没有 开通 一些 增值 业务   有 一个 彩铃 跟 彩印 我 看 能不能够 帮 您 取消   好   彩铃 是 做不了 预约 的 哈 彩印 的话 我 帮 您 预约 一下   恩好 可以   彩铃要 活动 到期 之前 才 能够 来 电话 关闭 彩印 给 您 取消 了 暂时 好 了 到期 自动 关 噢   恩好 那 您 帮 我 把 套餐 更 改为 就 这 十八 套餐
您好 请 讲   诶 请 帮 我查 一下 我 这个 用 的 什么 套餐 的   嗯 您 现在 目前 用 的 是 一百五十 八 的 套餐 呢   噢 要不然 下个月 帮 我 转 一百八十 八 的   一百八十 八 那种 呃 就是 全 全家 统 套餐 就是 省内 流量 不 限量 国内 通话 一千两百 分钟   好好 好   请 稍等一下 噢 没有   的 二十
帮 您 请 说 诶 你好 恩   哎 我 想 问 一下 我 的 那个 这个 本 机上 有订 了 什么 业务 啊   噢 您 这 号码 的话 就是 产生 了 就是 那个 有个 来电显示 嘛 然后 彩铃 还 有些 什么 幺 二 五八 零 会员 噢 其他 业务   您 多少 钱   彩铃 的话 一个月 是 五块 钱   我 给 退掉 吗   噢 可以 啊 这些 业务 您 都 可以 取消 掉   那 你 你 帮 我 取消 掉 吧 还有 幺 二 幺 幺 二 五八 零 吗
愉快 再见 您好 请 讲   你 帮 我查 一下 我 的 手机 呃 这个 卡 开通 一些 什么 东东   收费 就 八十 八块钱 月租 加上 两块钱 来电 提醒 还有 六块钱 五十 兆 的 流量 这边 有 办理 一个 超级 qq 然后 手机游戏 个性化 彩铃 还有 才能 开   收据 游戏 什么 东西   呃 手机游戏 功能 玩游戏 的 一个 服务 您 用 不到 我 帮 您 取消   噢 那 你 帮 我 取消 掉   好 那 超级 qq 呢 超级 就是 要 不要 取消 就是 不 不 他 那边 因为 患者 送 的 好 游戏 玩家 我 帮 您 取消 了 那彩铃 呢 有 个 个性化 彩铃 跟 彩铃 产品 这 两个 要 不要 取消   哎 您 根彩铃 是 吧
诶 您好 请 说   哎 你好 帮 我 查询 下本 机有 什么 扣费 项目   呃 稍等一下   好   本 机 的话 您 是 三十八 元 套餐 有 一个 来电 提醒 还有 一个 六块钱 的 流量 五十 兆 的   然后 那个 有 吗   来电显示 是 包含 在 套餐 里面 还有 个 家庭网 银 作为 成员 就是 没有 扣费 的 其它 业务 就 都 没有 了   那个 六块钱 套餐 能 不能 减掉 吗 六块钱 能 不能 关掉 六块钱 是 上网 流量
嗯 嗯 您好 请 讲   呃 喂 您好 我 想 问 一下 我 这个 嗯 什么 套餐   您 现在 是 用 的 是 新 的 三十八 的 飞享 套餐 女士 三十 八块钱 套餐 费   那 为什么 我 上个月 手机费 是 就是 这个 月 一号 交了   开机   哎   因为 手机 上 有 开 了 一个 叫 那个   呃
您好 很 高兴 为您服务   诶 你 帮 我查 一下 我 那个 另外 一部 连接 这个 手机 的 那个 套餐 是 怎么   有 手机 服务 密码 有 吗 的 什么 手机 数据 它 是 另外 一张 号码 卡 的 情况 要 有 密码 才 有 权限 查 没有 密码 我们 这边 是 核对 不到 的   密码 都 忘记 了   那 就是 如果 您 密码 的话 您 要 用 那部 号码 本 机 打电话 进来 我们 给 您 核对 了   要用 本机 呀   恩对 好 谢谢 噢 不 客气 还有 什么 可以 帮 您 没有 了   好
哎 嗯 您好   有 那个 我 问 一下 我 这个 手机 不是 改成 下个月 三十八 的 套餐 的   嗯 帮 您 看 一下 您 稍 等 三十八 对 的   三十八 那个 那个 哎能 不能 给 我 换个   呃 您 是 想 更改 什么 套餐 呢   换个 流量 多 的   流量 多 的 稍等一下 帮 您 看 一下   请 好好 谢谢
您好 很 高兴 为您服务 你 帮 我查 一下 我 这 什么 套餐 本机 是 月租费 十三块 套餐 十三块 套餐 对 十三元 六十三 元 是 吧 对 十四号 好好 然后 来电显示 要 另外 收 啊 还有 来电 提醒 噢 那 你 查 一下 我 这个 接下来 是 半年 之前 的 半年 内 每个 月 大概 消费 多少 上个月 是 六十三 包月 上个月 三月份 四十二   十兆 七月份 是 六十九   六六 月份 是   六十一 啊   五月份 的话   四十九 啊 先生   然后 最后 就 四月份 呢 五十六   噢 我 知道 了
你好 请 讲   哎 你好 我 想 问 一下 我 上面 的 流量 我 不是 开 了 三十块 钱 五百 兆 吗   您 这个 没有 开 流量 套餐 啊   什么 时候 开始 没有 开 啦   我 看 一下 噢 您 原先 是 有 开 了 一个 五十块 钱 一 g 的 到 上个月 这个 月 就 已经 没有 了   但是 还有 一个 三十块 钱 呐   三十块 的 那个 已经 取消 啦 早就 已经 去 怎么   去 交 了 我 没 取消 所以 不 收费
您好 请 说   呃 那个 上次 我 有 申请 那个 手 那个 更换 套餐 那个 有没有 帮 我 有没有 申请 下来 呀 帮 我 看 一下   这边 显示 您 这个 号码 目前 还是 属于 旧版 的 三十八 套餐 啊 并 没有 改 到 那个 新 的 三十 并 没有 看到 有 更改 套餐 的 一个 记录   没有 我 上次 申请 一下 我 想 我 想 改为 那个 八块钱 的 套餐   八块钱 但是 因为 您 这 张卡 之前 有 参加 一个 三十八 赠送 分钟 数 的 一个 活动 如果 您 要 改 八块钱 要 等 那个 分钟 数 活动 结束 了 才能 更改 啊   好像 他 是 说 是 要 明年 八月份 才 到期 啊   恩 那个 活动 时间 一年 我 看 了 一下 您 十五号 有 反馈 过 这个 活动 我 看 一下 您 这 是 要 把 那个 送 送 的 分钟 数 那些 给 您 取消 掉 改 回到 原来 八块钱 对 吗   对 对 对
您好 很 高兴 您 服务   呃 您好 就是 麻烦 你 看 一下 我 呃 帮 我 看 一下 我 这 里面 有没有 一些 要 收费 短信 那个 增值 业务   好 的 女士 我 帮 您 看 一下 除了 基本 套餐 的话 是 一个 流量 王 的 一个 是 套餐 除了 这个 以外 的话 其他 的 收费 服务 帮 您 查询 一下 您 稍等一下 这边 有个 彩印 功能 但是 已经 有 登记 了 下个月 取消 掉 了   二   然后 别的 业务 的话 我 帮 您 进步 查询 就 没有 了 女士   现在 还 没有 是 吧 就是 我 因为 我 昨天 我 我 昨天 呃 有 接到 一个 那个 就 本 龙岩 的 一个 幺 零零 八六 的 那个 人工 台 打 过来 电话 说 那个 呃 有 一个 五十块 钱 的 流量 说 可以 使用 多久 多久 的 然后 但是 我 没有 听 完 我 就 把 它 就 这边 就 给 挂掉 了   那 没关系 女士 你   给 我 办理 不会 不会 不会 了
对 您好 请 讲   哎 你好 我 想 了解 一下 我 的 每个 月 的 套餐   有 两样 是 吧 嗯 套餐 是 八十八 的 二级 八十八 是 吗 还有 一个 流量 的 活动 十二月 一号 到期   帮 十二月 活动 是 吗   嗯 到期 会 自动 取消 其他 没有 了   诶 那 我 我 怎么 查 了 我 那个 怎么 固定 的 那个 套餐 就是 一百一十 六 啊 就是   对 因为 八十八 还有 一个 流量 包它 是 按照 全额 体现 在 账单 里面 那 这个 是 一个 活动 每个 月 给 您 返还 二十 噢 它 是 每个 月 给 我 返还 是 吧 那 什么 到期 这个 什么 十二月 一号 呃 十二月 一号 到期 自动 取消 您 什么 都 不用 操作   噢 这 样子 那 我 像 以后 固定 的 是 一百一十 六 了
嗯 哼   有 什么 可以 帮 您   喂 你好 我 想 问 一下 了 我 也 现在 这个 套餐 是 什么 套餐   您 现在 用 的 是 新飞 享 系列 十八 套餐 里面 还有 国内 流量 一 百兆 嘛 然后 省内 流量 赠送 您 两 百兆 然后 本地 打 国内 电话 两百 分钟 吗   然后 加 来电显示   这边 转加 来电显示 功能   那 怎么 扣扣 什么 东西 扣 了 八十 几块钱 帮 我查 一下 噢   请稍等 帮 您 查看 一下
用过 只有 一条   很 高兴 您 服务 您好   呃 请问 我 现在 什么 套餐   您 现在 用 的 是 五十八 的 套餐   五十八 新飞 享 吗   对   新飞 享 五八 套餐 我 现在 这个 那 我现 前面 不是 有 送 那个 呃 流量 多用 多 吗 那个 活动 还有 没有 送 啊 送 流量 啊 下个月   第二个 月 就 结束 了 还 在
嗯 您好 请 讲   喂 你好 呃 我 想 问 一下 我 目前 那个 手机 的 套餐 是 什么样 的 一个 情况   您 现在 套餐 是 校园 四十八 的 套餐 这款 的 四十八 是 吧 对 没错 四十八   每个 月 多少 g 流量   套餐 里面 内含 的话 合计 一共 是 五百 兆 国内 然后 本地 校园内 的话 两千五百 七十二 兆 还有 一个 夜间 流量 包恩 您 说   噢 原来 好像 每个 月 就是 上 一个月 能 不能 看到 上个月 上个月 是 什么 情况 呢 挂机 的   目前 帮 您 看 了 一下 您 套餐 没有 变 啊 都 是 一样 的 呀 我们 只是 另外 让 他 给 您 再 一样 的 没变 啊 你 之前 审到 现在 还是 要 什么样 的   随便 不是 因为 因为 之前 我 收到 短信 他 说 什么 什么 多少 什么 流量 那个 什么 套餐 什么 意思 效 吗 我 我 也 没 去 看 我 还 以为 说 因为 我 那个 办理 原来 四十八 套餐 也 刚好 一年 的 吗 然后 现在 是 还有 延续 对 吧
您好 请 讲   诶 你好 所以 我 这个 呃 卡 开通 了 哪些 业务 啊   这 张卡 的话 就是 五十 八块钱 的 套餐 有开 一个 来电 提醒 功能 还有 幺 三九 邮箱 彩印 和 彩铃 功能   那 为什么 这个 话费 去 了 这么 快 啊   我 看 一下 主要 扣 什么 钱 了 噢 您 这 主要 是 流量 被 扣钱 了 呀 流量 这边 的话 是 扣 了 是 一百二 您 现在 是 在 外省 吗   哎 对 对 对   是 这 样子 您 外省 的 流量 都 用 完 了 是 超 流量 了 超 了 一千多 兆 扣 了 一百二 的 流量 费 啊   嗯 然后 昨天 我开 的 然后 开 了 零零 的 流量 这 里面 为什么 还 会扣 话费 呢
您好 很 高兴 为您服务   你好 我 想 问 一下 我 这 手机 是 用 用 什么 套餐 呢 嗯 嗯   这个 用 的 是 飞享 三十八 现在 用 的 是 新版 的 三十八   噢 这个 月 还 没 开始 用 啊 到 下个月 开始   对 的 没错   噢 噢 好 我 知道 谢谢 啊   不 客气 还 需要 别的 帮助 吗   不用 了 不用
您好 请 讲   哎 你好 我 想 问 一下 你 帮 我查 一下 我 上 下个月 是 什么 套餐   下个月   嗯 就 那 五十八 五十八   呃 对 新飞 享 五十八 四百 分钟 三 g 流量 的   你 那个 能 不能 帮 我 取消 一下 因为 你们 现在 不是 有出 了 那个 优惠 老 顾客 的 那个 套餐 嘛   什么 套餐   也 是 那个 八十八 的 然后 有 送 流量 啊 什么 的
嗯 嗯 您好 请 说 有 什么 可以 帮 您 的   你好 我 麻烦 你 帮 我查 一下 我 这个 有 哪个 收费 的 业务 好不好   噢 目前 使用 您 的 套餐 啊 没什么 收费 的 业务 啊   啊   来电显示 一个 六块 其他 就 没有 了   噢 我 这个 是 什么 套餐   有些 流量 包 原价 是 五十 的 现在 做 活动 只收 您 看 一下 十块钱 吗 然后 别的 就 没有 了   我 这个 是 什么 卡
您好 请 说   哎 喂 哎 谢谢 你 唉呀 二   您好 什么 可以 帮助 到 您   帮 我查 一下 我 的 我 这个 手机 套餐 什么 套餐   您 现在 是 十八 的 套餐 下个月 改成 我们 这种 三十八 的 了 三百 分钟 一点 五 g 省内 流量   三十八 分钟 三十八 多少 钱 七八百 分钟   三百 分钟 通话 一点 五 g 省内 流量   一点 五 g 省内 的 其他 我 这边 不是 有个 宽带 绑定 的 宽带 嘛 是不是
嗯 啊 您好 很 高兴 为您服务 您好 嗯   呃 我 那个 三十块 钱 流量 包 那个 取消 掉 取消 了 没有 这个 月   请 稍等一下 这个 月 已经 没有 三十块 的 流量 包了   噢 取消 掉 啦   已经 取消 掉 了 是 的   噢 可以 可以 没事
您好 诶 你好 我 问 一下 这个 这个 号码 的话 它 有 开通 什么 业务   请 您 稍 等 帮 您 查询 一下 您 本机 是 是 呃 不 客气 我们 应该 做 的 您 本机 是 十八 的 这 样子 一个 套餐 然后 您 这边 额外 我 这边 查询 就 没有 这个 其他 的 这种 付费 的 包月 的 增值 业务 了   然后 套餐 它 是 怎么 个 意思 里面 内容 都 是 什么样 的   嗯 十八 的 这个 套餐 是 您 本地 打 国内 有 一百 分钟 的 分钟 数 跟 国内 流量 这边 一 百兆 这 样子 的 一个   嗯 资费 嗯 嗯 嗯 嗯 噢 那 接听 就 那个 流量 来电显示 什么 都 包括 语音   嗯 来电显示 包含 在 里面 接听 全国 接听 都 是 免费 的 噢 这 样子 我 知道 了 谢谢 还有 什么 其他 需要 吗   嗯 那 还 问 一下 一个 人 老人家 用 的 机子 的 我 想 给 他 看 一下 还有 没问 他 这个 话费 话费 还是 那么 少   本 机 这边 是 吗 本机 这边 是 三块 三毛 四
您好 很 高兴 为您服务   喂 你好   你好   噢 我 想 问 一下 我 现在 有 哪 一些 业务 手机 上   那 您 本机 除了 那个 八十八 基本 套餐 嘛 有 一个 来电 提醒 两块钱 然后 有个 七十块 钱 一个 流量   就 买 一个 七十块 钱 是 之前 办 的 对 吧   对 啊   是 那个 噢 那个 没 办法 销 的 对 吧
嗯 嗯   您好 请 讲   帮 我查 一下 我 那个 那个 买个 六十块 流量 成功 了 吗   六十元 流量 已经 生效 了 现在 可以 使用 了   可以 使用 了 是 吗 恩 对 有 个   嗯 那 请问 还有 什么 可以 帮 您 吗   还有 没 其他 扣费 的 吗   呃 我 帮 您 看 一下 啊
您好 请 说   喂 那 你 帮 我 帮 我查 一下 他 他 给 我 那个 手机 电话 套餐 是 多少   新飞 享 八十八 套餐   有 通话 通话 多少 分钟 的   嗯 通话 的话 是 有 一千二百 分钟 在 本地 都 可以 用   噢 我 现在 就 说 目前 是 剩 多少 呢   稍等一下 还是 那个 本地 九百 分钟 还有 五百 九 十五分钟 啊 那 全国 三百 分钟 还有 两百 三十七 分钟 还有 八百多 分钟 了   噢 这 样子 是 吧 有没有 更 多 的 那种 套餐 帮 我 办 一个 有没有 就是说 当 当时 专门 打电话 用 的
嗯 您好 请 说   哎 你好 你 帮 我查 一下 我 你 这个 本 机 开机 啊 什么 套餐   嗯 办 的 是 十八 套餐 除了 这个 还有 来电 提醒 然后 三块 钱 的 彩印   那 还有 什么   没有 了   十八块 套餐   来电 提醒 跟 彩印 这 三个 加 起来 等于 二十四块 钱   噢 那 我 以为 十八块 套餐 的 来电显示 全部 都 包括 在 流量
