请 您好 请 说   诶 你好 我 问 一下 我 这个 号码 的话 办理 宽带 的话 怎么 个 办理   本 机要 申请 宽带 呃 先 新装 的 吗 是 吗   嗯   您 不用 挂 电话 我 帮 您 转到 宽带 专家 这边 给 您 做 申请 一下 我们 专家 为您服务
您好 高兴 您 服务   诶 喂 你好 我 问 我 咨询 一下 噢 诶 我 用 那个 我 那边 的 那个 卡 那 那个 身份证 去 买 了 一张 卡 噢 那个 就 充到 我 自己 我 我 自己 用 吗 那个 支付宝 支付宝 那个 不是 有 一个 更改 更改 啊 更改 号码 吗 那 那个 为什么 不能 使用 啊 那 支付宝   那 您 最好 打 支付宝 客服 那边 问 一下 这个 功能 是 什么 时候 设置 的 噢 哎 噢 行行 行行 噢 行   诶 我 上个月 根本 我 再 问 一下 那个 如果 这个 他 那边 说 不行 的话 那 我 我 把 这个 号码 用 我 这个 号码 是 用 我 妹妹 的 身份证 去 去 去 买 的 如果 我们 也 不 在 我 用 它 噢 用 他 的 身份证 去 那 营业 营业厅 噢 还有 我 的 我 自己 的 身份证 去 那边 拿效 呃 销号 可以 用 吗   没事 销户 了 一个 号码 还 销户 了 以后 号码 肯定 不能 用   不是 我 就是说 这个 这个 号码 是 我 妹妹 的 用 身份证 买 的 但是 她 人 不 在 但是 身份证 在 我 这边 我 我 我 是 我 这 号码 昨天 买 的 嘛 他 现在 不 在 嘛 我 我 就 用 用 这个 用 他 的 身份证 还有 我 自己 的 身份证 拿 去 营业厅 里 叫 他 销户 他 他 那边 可以 办理 吗
您好 请 讲   诶 你好 那个 要 打 那个 联 联系 连 姓名 调整 铃声 是 打 什么 号码   你 说 稍后 详细 地址 的 也 是 说 平常 消费 的 明细 吗   对 啊 就 没有 把 那个 要调 那个 手机 的 彩铃 原件 打 过来 香港 不行 用 那个   他 说 别人 打 您 电话 别人 听 得到 音乐 那个 对 吧   对 对 对
您好 请 说   你好 帮 我 问 一下 那个 之前 我 有 登记 的 那个 移动 宽带 嘛 他 说 去 退 的话 我 不 知道 在 哪里 退 你 帮 我查 一下 嗯   您 说 的 是 校园 宽带 嘛   不是 校园 宽带 啊 是 那个 什么 家庭 家庭 的 那个 宽带   家庭 宽带 的话 您 本机 没有 绑定 啊   另外 一个 号码 你 帮 我查 一下
高兴 服   喂   诶 先生 您好   呃 问 一下 我 的 宽带 要 要 这 什么 意思 啊 就是 改 到 别的 地方 需要 去 哪里 办 一条   宽带 要 移机 是 吧 宽带 要 移机 的话 呃 我 这边 就是 因为 您 是 南平 地区 宽带 移机 的话 需要 去 营业厅 前台 一 g 您 和 机主 本人 带 身份证 原件 和 服务 密码 到 您 当地 移动 营业厅 来 申请 移机 然后 呃 它 会派 人 勘查 您 新 地址 有没有 资源 能 不能 没有 的话 他会 到 办 安排 您 当地 的 新 地址 的 专辑 维护 人员 给 您 预约 上门 移机   呃 多久
您好 请 说   你好 你 说 你们 现在 套餐 是 怎么办 的   呃 我们 现在 目前 的 套餐 你 现在 十二 十八 套餐 那 您 需要 那种 提示 吗 还是 说 降低 现在 什么 类型 的 套餐 先生   诶 现 现在 那个 三十八 元 的 多少   流量 不是 有个 新飞 享 三十八 套餐 里面 送 通话 本地 打 全国 三百 分钟 通话 时 长 省内 上网 流量 一点 五个 g 跟 来 显 其中 如果说 离开 了 厦门 全国 通话 有 一百 分钟 全国 流量 一 百兆 剩余 的 流量 仅限 本月 本身 使用 三十 八块钱 的   噢 那 那 我 想 改 三十八 的
您好 请 讲   喂 你好   你好   啊 我 想 问 一下 我 的 手机号码 的 服务 号 是 什么   服 服务 密码 吗 哎 噢 密码 的话 是 个人信息 啊 如果 您 原先 忘记掉 的话 可以 发短信 重新 设置 一个 我 可以 把 步骤 发给您   是 怎么 设置 呢
高兴 为 您 看 一下 啊   您好 我 想 问 一下 现在 那个 就是 流量 的 加油 包 嗯 怎么 现在 怎么弄 啊   加油 包 十块 一 百兆 流量 那 如果 您 流量 用 的 比较 多 也 可以 开 比如说 有 一种 是 一次性 的 六十块 六个 g 的 有效期 一百八十 天 全国 都 可以 用   六十块 嗯 对 第二个 g   六个 g   六个 g 嗯 就是 有效 区 那个
哎 您好 很 高兴 为您服务   你好 我 我 想 问 一下 那个 呃 流量 不是 共享 流量 是 怎么 设 的   共享 流量 您 是 做 户主 给 别人 使用 吗   噢 对   您 密码 知不知道 如果 知道 我 可以 帮 您 设置   好 知道
您好 请 说   喂 你好 请问 下 我 这个 电话 啊   呃 您 说   我 这个 电话 现在 很多 骚扰电话 能 不能 帮 我 怎么样 能 改掉   呃 什么 改掉   不是 拦截 掉 等 多 骚扰电话
嗯 您好 您 讲   喂 你好 你好 我 的 手机 服务 密码 忘记 的 手机 服务 密码 忘记掉   密码 忘记 的话 只能 进行 重置 了 那 这边 我 帮 您 把 这个 重置 的 一个 方式 给 您 发送 下 短信 您 这边 话 直接 根据 短信 用 身份证 号码 重置 一下 可以 吗   只收 五 g 身份证 对 是 用 身份证 号码 重置 好好 可以 可以   嗯 嗯 已经 给 您 发送 的 短信 您 可以 留意 一下 还有 什么 其他 需要 呢   呃 其他 现在 暂时 没有
您好 请 讲   噢 是 这样 的 我 那个 宽带 是 办 了 两年 合约 的 好像 十月 十三号 到期 了 现在 我 想 续约 怎么 写 啊   没有 到期 啊 女士 您 是 一 六年 九月份 办 的 嘛 到 一 八年 九月 一号 到期 啊 块钱 是 第一年 呢 是 有 送 您 三十元 的 宽带 费 吗 您 不用 付费 的 第二年 的话 呢 从 今年 九月份 开始 就要 自己 付费 了 所以 现在 还 没有 到 啊 关 我 一 六年 办 的 我 所以 没错 呃 一 六年 办 的 到 明年 的 九月份 才 到期   一 六年 九月份 到来 办 的   对 是 的 没错   那 如果 我 到期 了
你好   噢 你好 请问 下 我 这 宽带 移机 的话 我 直接 在 你 这边 给 你 地址 就行了   呃 我 这边 可以 帮 您 登记 到 时 具体 办理手续 我们 工作人员 会 打电话 给 您 可以 吗   可以 啊   恩 那 您 说 移机 的 新 地址 您 报 给 我 一下   意思 信息 我 呃 我 用 完 打电话 一次性 我 就 打电话 先 咨询 一下
你好 需要 什么 帮助   喂 你好 嗯 嗯 诶 我 想 问 一下 就是 我 一张 卡是 泉州 的 因为 手机 掉 了 人 在 外地 嘛 就是说 要 补卡 的话 要 怎么 处理   是 在 外省 还是 在 省内   在 外省   在 外省 的话 如果 补卡要 到 外省 的 营业厅 去 问 一下 有没有 支持 跨省 补卡 的 服务   噢 这 样子 啊
很 高兴 为您服务   你好 一个 号码 牵 宽带 要 打 哪个 号码 呢   呃 是 我们 移动 的 这个 号码 就是 装 我们 移动 宽带 啊   是 的 是 的 呃 我 装过 了 线路 不行   噢 你 是 已经 装 了 然后 项 宽带 有 问题 是 吧   啊 啊
您好 很 高兴 为您服务   喂 你好 我 就 想 问 一下 我 那个 呃 就是 手机 嗯 申请 那种 宽带 重新 再 参加 了 要 用 你们 的 宽带 要 怎么 申请   您 这边 的话 是 呃 要 搬家 了 然后 要 移机 是 吗   对   那 您 不要 挂 我们 有个 专家 台席 我 帮 您 转过 去 帮 您 登记 好 吧   好 的
您好 请 讲   喂 你好 请问 一下 他 那个 有 一种 是 和 家庭 九十九 的 那个 宽带 套餐 的话 看 是 那个 是 怎么弄 的   你 需要 办 宽带 是 吗   嗯   那 您 的话 就 帮 您 转接 宽带 专席 在线 人工 帮 您 登记 办理 好 吗 请稍等 呃 没事 我先 问问 我 帮 您 转接 一下 在线 工作人员 给 您 介绍 宽带 活动 如果 您 现在 也 可以 登记 您 可以 不用 马上 办 也 可以 了解 一下 好 吗 噢 好 的 那 不要 挂机 我 帮 您 转接 一下
您好 很 高兴 为您服务   哎 你好 帮 我 看 一下 我 这个 提醒 多少 啊   好行 您 现在 话 目前 的话 有 四百 六十九 个 积分   才 四百多   对 四百多   没有 没 它 是 积分 是 不可 电话 放在 那些 到时候
你好 需要 什么 帮助   喂 你好 嗯 嗯 诶 我 想 问 一下 就是 我 一张 卡是 泉州 的 因为 手机 掉 了 人 在 外地 嘛 就是说 要 补卡 的话 要 怎么 处理   是 在 外省 还是 在 省内   在 外省   在 外省 的话 如果 补卡要 到 外省 的 营业厅 去 问 一下 有没有 支持 跨省 补卡 的 服务   噢 这 样子 啊
您好 请 讲 你好   诶 你好 就是 我 有 一张 泉州 的 卡 因为 人 在 外地 手机 丢 了 要 补卡 的话 要 怎么样 处理   嗯 那 张卡 是 就是 负责 在 外地 是 吧   对   号码 是 福建 移动 的 吗   四
你好   帮 我查 一下 幺 三七 零 五九 四   噢 然后 呢   一 g 五零   嗯 嗯   电话 账单 我 知道 密码
中午 好 请 讲   您好 诶 你好 我 想 问 一下 那个 家庭网 要 退出 来 怎么 会 然后 要 拉进去 怎么 来   那 我 把 这个 删除 和 添加 的 方式 我 发给您 吧 您 可以 通过 发短信 操作 可以 吗   啊 好 的 好 的   诶 行 那 您 收 一下 噢 那 其他 什么 需要 帮助 您 的 呢
你好   喂 您好 我 问 一下 噢 我 之前 的 宽带 然后 呢 该 续费 了 为什么 我们 就 刚才   打电话 给 你   啊 你 你们 说 要 去 营业厅 续费 是 怎么回事   宽带 续费 吗 嗯 嗯 宽带 欠费 如果 您 到期 要续 成 包月 的 它 会 自动 帮 您 续 那 流量 是 包年 的话 只能 营业厅 去 没错   我 去年 的话 都 是 直接 从 手机 上去 啊
您好 请 说   哎 你好 我 想 问 一下 那个 如果 我 想 把 这个 卡 注销 的话 就是 呃 用 带 身份证 去 不收 还要 带 原卡去 取消 吗   嗯 对 就 您 本人 携带 有效 身份证 原件 这个 号码 跟 服务 密码 到 归属 地 营业厅 这边 去 办 注销   就是 原来 那个 卡 已经 在 是 吗   就是 您 这 张卡 吗 您 稍 等 下 还是   对 对 对
您好 请 说   诶 你好 我 我 想 问 一下 那个 话费 余额 怎么 查询 啊 或者 余额   这个 只有 这个 有个 简单 的 查询 方式 您 直接 打 那个 幺 零零 八六 幺 幺 它 就 会 把 您 的 话费 情况 进行 回复 给 您   要用 是 吧   对   那 我 查询 那个 剩下 余额 它 也 会 回复 是 啊
当时   您好 高兴 为您服务   呃 您好 我 那个 服务 密码 忘记 了 要 怎么 更改 吗   稍 等 我 看 一下 啊 呃 我 这边 把 那个 短信 重置 服务 密码 的 方式 发到 您 手机 上 您 稍后 呢 根据 短信 提示 按照 上面 的 格式 要求 然后 重新 设 一个 六位数 的 密码 发到 幺 零零 八六以 成功 短信 为准 好 吗   那 那 那 你 那边 不能 直接 更改 吗   直接 更改 也 可以 但是 它 这个 是 随机 的 我 这边 帮 您 转过 去 也 行 先生 您 放心
您好 请 讲 你好   喂 你好 修改 密码 的 手机 手机 密码 要 怎么 修改   啊 我 目前 的话 帮 您 查看 一下 您 这边 之前 有 获取 过 初始密码 我 这边 的话 给 您 转接 到 我们 的 语音 提醒 然后 您 修改 一下 的 好 吗   噢
您好 请 说   喂 你好 诶 先生 你好 是 这样 的 就是说 我 这边 有个 客户 的话 他 那个 手机 被 呃 被扣 了 那边 它 是 暂停 想 停机 保号 但是 现在 营业厅 的话 有 已经 下班 了 那 我 现在 要 怎么 是 四年 了   嗯 您 有 他 的 手机号 跟 服务 密码 吗   嗯 他 服务 密码 不 知道   那 他 所 登记 的 身份证 号码 您 会 知道 吗   身份证 号码 是 吗 那 我 叫 她 把 身份证 号码 发给 我 然后 嗯 或者 是 说 我 叫 他 用 其他 号码 进行 拨打 然后 就 然后 嗯 只要 身份证 号码 就行了 是 吗
嗯 再见 请 说 您好   喂 你好   哎 就 麻烦   麻烦 一下 幺 二 零 幺 七款 那个 有个 三八 套餐 怎么 怎么 开通 啊   哪 一个   幺 二 零 幺 七款 的 有 一个 三十八 的 好像 收 一点 五 g 流量 还有 三百 分钟 通话 那个 嘛 好像 是
您好 请 说   我 又 怎么 办法 才能 知道 我 现在 的 宽带 密码 是 多少   宽带 的 密码 是 吗 没 办法 查 只能 说 重启   吧 我 重置 你们 有 给 我 重置 不了 我 也 不 知道 怎么办 了   重置 不了   可以 呀 那 我 怎么 身份 信息 还要 重新 录制 过
您好 请 讲   能帮 我查 一下 就是 嗯 就是 我要 怎么 给 别人 那个 送 话费 啊 就 送 流量   错误 流量 的话 我 帮 您 看 目前 送 流量 我们 是 只有 共享 的 呀 共享 还 没有 做 这个   流量 赠送 的 还 没有 送 流量 赠送 是 吗   对 是 的   噢 好好 好好
你好 很 高兴 为您服务   你好 我 想 问 一下 现在 办 宽带 是 怎么 个 办法 有 套餐 吗   如果 您 需要 办 宽带 那 您 稍后 不要 挂 我 这边 的话 是 帮 您 转 我们 的 宽带 专家 有 专门 人员 为您服务 好 吗   呃 我 是 想 问 一下 套餐 就是 呃 还要 再换 个人 问 吗   呃 您 不用 挂机 我 这边 直接 帮 您 转接 我们 有 专家 人员 为 您 直接 服务   嗯 好
啊 很 高兴 您 服务   呃 我 请问 一下 你们 这个 家庭 哎 呃 家庭 不是 有个 通话 分钟 数 那个 怎么 开 啊   你 说 的 是 家庭计划 嘛   反正 是 通话   您 现在 要 添加 的 是 吗 好   我 我 已经 有开 了 是 吧 我 我 已经 开过 了 好像 里面 没有 人 吧
您好 很 高兴 为您服务   诶 你好 诶 我 想 问 一下 我 想 退出 这个 家庭网 的话 怎么 退 啊   我 这边 可以 直接 帮 您 退 那 您 看 一下 我 直接 帮 您 退掉 吗   有 两个 号码   噢 您 是 说 不是 您 本机 是 吗   还有 六 呃 有 两个 号码 都 是 我 的 然后
你好 早上好   你好   诶 我 想   我 想 请问 一下 那个 呃 就是 嗯 嗯 流量 不 这个 我 就 之前 有办 有 办 那个 额外 的 流量 包 现在 我 想 把 那个 退掉 我该 怎么 退   额外 的 流量 包 额外 流量 包 您 这边 是 有 办 一个 五十元 两 g 他 打个 四折 的 每个 月 是 二十块 的 是 说 这个 吗   好 谢谢 是 吗 烟 不是 就是 之前 那个 申请 升级 流量 包
嗯 嗯 您好 很 高兴 为您服务   诶 我 问 我 想 请问 一下 那个 我 刚刚 申请 了 一张 那个 任 我 看主卡 那个 现在 激活 了 但是 还 没开 还 没 开始 对 但 我 又 不想 用 了 要 怎么 这个 注销 掉   已经 激活 了 那 就 得 去 营业厅 办 销户 了 直接 带 着 您 身份证 然后 去 咱们 那个 三明 当地 营业厅 办理 销户 这 样子   这样 会快 吗 办理   马上 就 办好 了   上午 好 那 我 那 我 那 我 等 于是 在 永安 在 永安 办 可以 吗
