您好很高兴为您服务 啊你你那个套餐就是你们现在那个什么三十八套餐为什么人家现在都每个月送到一一点五g我这用这么久了还还在五百兆啊 啊那个的话是移动刚推出来的还不稳定所以说是针对部分客户体验的所以暂时的话您这边改不了如果您现在可以如果说想要体验的话可以改那个五十八元的是三个g的流量也非常划算的 五个五十八块三个g是吗 对没错 噢它那个流量会累积到下个月吗 
您好请讲 哎你好我想了解一下我这个卡用的时候呃是多少钱啊啊用了七八年啦怎么会的信用一旦停机就立即还剩下全部立即停机啊我原来那个欠好几天啊 噢目前帮您查询现有的话因为它是根据您的手机消费年限然后每个月的缴费期十度当月的欠费次数然后手机参与的活动它一般会进行最系统评定的然后再加上因为您最近是不是可能办了一下过户啊 是啊过户是我原来是我用我小孩子再联系身份证当时本身就买卡的时候忘记带东西你已经用到了现在我过户啊 过户的话它的那个欠费的周期这边的是要重新评定了噢这样这样子的诶对 然后我这个套餐了怎么都没订嘛 
恩您好请说 可以办办的话下个月一号生效 要等到下个月才生效啊 没错 噢那那那那我就先不办了我以为是可以那种月办的那种 但问题是现在不是移动已经取消那个什么那个什么什么什么长途每个人吗没有长途漫游的 
喂请刚才你们打电话给我 稍等我看一下 喂 呃您稍等所以您之前想转一个新的五十八套餐后工作人员跟您联系的 噢刚才没有写啊 我把呃它会再跟您联系您耐心等待一下我帮您再催一下他们好吗 
很高兴为您服务您好 你好我想问一下 嗯嗯 为什么你们移动这边就限制我们用户不能更换这个套餐呢 不能更换套餐啊关于套餐变更的问题呃我们已经有进行上报处理了到时候的话啊流量王的这个问题到时候会有专人回复您处理的您留意一下 这不是留意一下我有这么多吧你你们是打工的我也打过来问我他也不是在回来你们我就充过这个实在吧不知道这个国家是有明文规定的这个我我们是有权利更换你们银行里面的用手机套餐的卡好像有那你们那你们为什么要限制我们一直要除了使用支付宝用户以外他才能办理的 
嗯您好很高兴为您服务你好呃您好 那个我刚又充了一个五十块钱两兆两g的流量因为我看的话为什么那个生效日期是在十一月一号呢 您是不是选择次月生效的 没有我选择是当月 那这样子吧我帮您关掉我直接帮您开好吗 噢可以 
您好请讲 喂你好你们这个手机号码我怎么怎么欠一毛钱都马上给我去停掉了我 本机号码的话如果有欠费就被停掉后续使用的时候要留意一下 呃这个我现在在路上打电话再接人我觉得现在充话费都来不及又没网都充不了 我看一下能不能开机您稍等 哦 
您好请说您好 喂你好诶您好请讲诶二二二十号二十号我同事说所有的那个什么八十八块钱套餐的是五g流量一千二百分钟为什么我就没有这老客户 噢对不起先生它目前更改条件校园就套餐是小于八十八的才能更改而且您自己这个号码本身当时的话是有办绑定现在的套餐送宽带的活动所以说您没有办法把套餐掉下来啊 噢那边就之前绑定的没绑定宽带那可不可以用 对如果您这边没有绑定宽带的话您可以尝试把套餐降低然后再更改 啊 
您好请说 你好我问一下我这个就是这手机有绑宽带但是我搬搬家了但是宽带是我们那边没有那个你们移动的那个覆盖的网络那我到移动移动营业厅去取消它让我违约金要交交签六百块钱那那当时你们那边没有移动的那你说我用不上那这个东西怎么弄 嗯是我知道您的情况了那我帮您去反映上报上去去处理让工作人员给您呃一个满意的答案好嘛 我现在帮您关健我我家那边没有没有你们移动有没有被联通覆盖了就用不了了噢 是您的意思我明白了就是没有资源了不是您补办是因为没有自动 取消不了 
您好有什么可以帮助您 你看我那个叫你们给我应急开机你们要开一天还是开开一年呢 噢我看一下您稍等呃有查到您问题已经申请上去了在处理当中您到时候留意一下我帮您 你们这个什么查询下到底你告诉我要多久完了说你们要改不了我自己到那个营业厅同意啊 呃因为它这个是有专门工作人员处理的您目前是已经不符合条件了是申请到后台那边会有专门工作人员 我已经打了两个电话你们说一会又好了一会一会你们你们到直接告诉我们搞的我搞不懂你们就直接跟我说得了 
啊您好哎 喂你好 嗯您说呃请问 请问一下你我每个月剩下的流量怎么都都都会没掉啊 不会啊我帮您看了一下您这边呢是等一下你说上个月的流量对吗 呃 
诶一号诶你好 诶呃那个昨天不是那个流量呃换成呃换成次月的那现在怎么处理啊 我帮您看一下噢您是说那个之前积分兑换的那个 对啊对啊对呀我要换成这个月的他他怎么呃现额后来后来短信发过来他说是次月才能用的就下个月才能用的对吧 噢对啊那现在目前还在处理当中我帮您去催促一下啊帮您办呃处理一下这个问题 呃就是你你就是帮我换成这个月能用的就可以了 
您好请说 诶我刚刚办了那个三十八八元套餐怎么是一百分钟一百兆流量啊 三十八块钱的套餐是三百分钟流量一点五个g三百分钟里面一百分钟是全国的剩下的本地打全国是两百另外的流量一点五g一百兆是全国的剩下是福建省的它后面还有写您可以再看一下 额没看到它这个但是看了一百分钟一百兆噢 还有其他需要能帮您呢不客气 没有 
下午好 呃喂你好 你好 诶我就是我现在之前在呃厦门几天办一个号码然后我现在已经是 对 外地我现在把这个厦门这个号码给销掉吗 
拜拜嗯嗯嗯 您好很高兴为您服务 你好很高兴为您讲刚刚欠了一毛多就帮我停掉吧 呃您本机如果说您这边的话欠费呃是因为您这边欠费超过呃欠费就会系统就会给您单停了没错如果说您不方便缴费的话我看一下能不能帮您申请开机一下您先稍等 嗯嗯 那我这边先申请帮您开机了现在可以用了您把手机重启一下就可以了 
您好请讲 你好我想问一下那个就是我这个手机号码应该也用了三千的短信上了然后为什么每次那个月头的时候 都没欠个一 一两块钱就就嗯给我停机了噢这个 噢您这边目前的话确实是会一欠费就会停机噢那先生的话是这样子您现在的话呃有密码吗有密码的话我们我这边帮您申请一下以后的话可以为这个是两天不超过二十元的停机额度 我省外的这种这个什么密码但是现在都实名制都不要了是吧 
好请讲 喂我问一下那个五十八块的套餐什么语音通话才一百分钟啊 啊对有两种您现在办的一个是一百分钟五百流量还有一种版本是一百五分钟一百五流量的 因为我我今天以前都是还是几百的那个语音通话的 更早以前有一个二零一二版的那个是两百六十分钟通话的那个流量三十兆的 嗯嗯我 
您好高兴为您服务 诶你帮我查一下我这个流量套餐省外能用的 噢您稍等一下嗯您这个八十八套餐内的五g流量都是省内的没有省外流量额外不能使用 怎么不能使用的是啊 对对这五个g的全部都是省内的 噢难怪我我想要怎么扣了很多 
您好很高兴为您服务喂你好 诶我是你们中国移动的那个用户啊然后呃围是都使用你们呃移动的然后我想问一下为什么我现在充值的话我的那个幺零零八六我的账号里面会没有那个积分呢你能帮我查一下吗 好请您稍等帮您看一下 嗯我手机号是幺三八六零九三九幺零五就是我这个拨打进去的号码 那这边帮您查看它这两元因为他现在积分有两千一百九十七那现在因为它没有积分累积的话是因为它是之前有参加一个手机活动还有宽带的那就说它在活动期间的积分现在是没有累计的啊还有这样子啊 我还以我又充值一般都会都会累积积分了然后就没有活动的 
您好很高兴为您服务 他你们移动你们这个怎么会在我这个这个费用在交费这么大情况下欠几毛钱你就给我停掉 不好意思啊先生稍等一下 开机看了消费也加不了他连续交费也没办法去交那个是包月给我停掉的 实在不好意思我现在马上帮您联系一下我们技术部门帮您协调一下给您特殊处理一下已经 开好机了一个月交一一个月每个月的消费那么多你给我自己一千九毛三就给我停掉 
您好请说 喂你好呃您好为什么我余额还有五块多为什么今天都要发短信过来跑一遍呢我有没有欠费两三天就发一下 噢很抱歉给您带来不便了那这边是系统它是这这他现在是话费少于十块钱的时候就会打电话或者发短信提醒一下 有没欠费我这个是包月的我月头一下子都交完了也没发什么费用天天都逃 呃很抱歉那如果不需要这个提醒的我这边会帮您马上给您关闭掉 噢好谢谢啊 
您好有什么帮到您的吗 喂 您好请讲 诶我这上网流量都是不限的 流量是无限量用的但是他是说流量有达到三十个g之后网速特别慢 呃网速一遍吗什么 
嗯嗯嗯嗯您好请说 喂你好 您好请讲 电话刚才我那个不是应急开机可以在十几个小时之内嘛干嘛突然一下子又停掉了现在教我早上这么早你帮我开一下行不行 您稍等一下 嗯 
您好请讲 喂你好 恩您说 哎对移动公司怎么弄呢每个月消费了到几百块怎么欠你就帮我停掉临时一次了打不出去电话了 恩好的没关系我帮您做一下应急开机您稍等真的很抱歉给您带来不便了 呃我每个月消费的到几百块怎么会这样子的 
您好请说喂你好恩好我这个 这个手这个那个办理的吗八十八的那个可以取消吧 呃八十八是基本套餐这个不可以取消 为什么 那您每张卡都有套餐的而且您这个是参加活动还没到期抱歉的到一八年的一月一号到期到期之后您可以改其他的套餐 啊那个那个这个借手机套餐套餐具多久了呀是 
您好请说 是不是不想给我这个手机号码用了是不是啊欠完了它们是马上给我停掉这个什么好 噢非常抱歉您这边那我现在马上给您进行开机 五毛六这个老客户欠完了我马上现在打一个电话 块 嗯噢行 
您好请讲 你好我想问一下你这个怎么手机刚刚欠费个几毛钱你就给我停机掉 嗯很抱歉您这号码话我们看一下是刚买的号码有欠费就会停机的 那你给我现在给我停机开机啊我从不然我在这个在这个屏蔽电话我充了没办法装诶 那您这号码我帮您应急开机好了您看十二个小时如果您要使用流量把手机重启下就可以用了已经开机好了 噢好可以可以可以 
您好请讲 喂你好你帮我那个现在手机号码 呃加一个亲情号码是吗呃家庭网对不对不客气呃您号码是多少呢 呃嗯嗯叠加的是吧 噢加的那个号码 吗 
您好请讲 你好请问一下我这一块四毛六帮我停机啊 噢您稍等一下我看一下 短信也没有通知有什么都没有 呃那确实很抱歉了因为您这号码也是刚刚开打的嘛那系统识别到一欠费就可能就做停机处理那您看这样子吧先生那我这边先帮您开机了稍后麻烦您把手机重启一下然后就可以用了 这个我已经试了好多次了还有我是说我这边处理的我帮您开机了现在 
嗯嗯 啊 服务 您好请讲 喂你好我怎么老是现在一毛钱就给我停机了但是怎么回事啊 欠费几毛钱停机 
您好请说 哎那个问一下我想问一下我这个这手机现在这个号码为什么一欠费它就帮我停机了 您这个号码是之前是不是有办过那个过户之类的手续啊真的有 之前我是用我那个我身份证掉了我用我弟弟来办的然后然后换后面过换成我自己 它这个因为办理那个过户噢它原来的那些星级服务的话就全部清零了他现在等于您这个号码就跟新入网的那个升级服务是一样的只要有欠费系统就会停机了 那能能不能帮我恢复一下 
您好请讲 为什么我欠费欠八十几块额度我额度是两百块的为什么现在给我停掉 请您稍等我先帮您应急开机一下 光应急开机不开机我我可以当年修又停可以停一八年八十天对没到时间也没到金额他妈的给我停掉没事啊 它这个的话我看一下您欠多少您这个月欠了八十多块钱的话了 是啊我额度一百是啊 
您好请说 我有一个问题让我很以后不接呃是这样子的为什么他们刚刚入网的三十八块钱套餐可以享受那么大的优惠我我们怎么不行他们刚刚入网的他们我我看哎我还五星语音客户人家那个他们都每个月用话费都没我多人家欠费欠一百多都不会被停机我就欠一点点就被停机掉 其实您这个号码那个欠费额度也挺高了还是欠费额度两百块就两百块我们不会给您做停机 怎么不会做停机嘞我都经常欠几十块就给我停机掉 因为您的问题是属于嗯嗯 我用了十几年的卡是不是啊这个非常不合理了哎五星级客户你说还有一个那我还以后不久为什么人家刚入网的三十八块钱的套餐那么优惠那么便宜 
呃您好请说 哎你好 恩你好 我想问一下我这个流流量为什么不是省内先用吗国内在用的 嗯因为您这个套餐里面是没有省内的您省内的是活动给您赠送的省内流量保流量它这个赠送的它本身就有要求是除安心包之外最后用的 这样子 
您好请说 你好我想问一下我那个那个另给我六g六十元六g的有个充值 您稍等一下帮您看一下呃六十块钱六个g的已经开通好了已经可以用了 噢已经开通好了 先生 工作人员 
您好很高兴为您服务 诶你好诶刚才一下打电话过来说这个机主有一个号码没有交清话费 是说您身份证名下登记的号码吗 二元是哪个号码这个号码再没用过 那先生因为我们这边查看不了你要查身份证名下登记的号码的话需要麻烦您到营业厅去申呃申请核实一下身份证到营业厅去查一下 你们那边不能查吗 
您好请说 那个诶我彩铃怎么这么快这样子到期了我什么时候订的 请稍等是歌曲到期了吗还是什么 就是嗯没有没有说没有歌曲的 就功能没了是吗 噢应该不会那么快到期啊我说才能订多久啊 
下午好请说 诶怎么现在我这张呃我这张卡的时候我现在是欠费才三毛七就给我停机掉啊 嗯是的您这号码卡是有出现欠费所以我们系统才会停机您如果需要的话我可以帮您先恢复一下号码那您可以先使用 是啊本来就是他说什么二毛七就就给我取消 嗯那很抱歉了先生您稍等一下噢 啊啊 
你好请讲 你好请讲 喂你好那个我为什么我手机才欠费零点零七就给我给停掉了 因为您本机号码卡的话这边是欠费欠费您就会被停机没有把额度给激活我帮您先开机吧然后再把额度提高方式给您发短信稍等一下帮您开机十二个小时预支额度一百零五g的其实去把费用交上要上网的话关机两分钟然后再开机就能够上网了额度提高方式我给您发了稍后看一下 哎行 喂小姐查查询才一毛钱都还不到就给我停掉因为您没有把额度给提高那我目前在额度提高方式给您发过去了您稍后看一下好嘛 
您好请讲 我早上好像开通一个流量包但是短信外说 十一月一号才生效十月一号 可以 就是流量套餐啊不是短信包您这边话已经办理过一次了就不能再办了是要等下个月了我帮您把下个月取消掉吧稍后您留意一下 那我这个月流量不是不够 
您好请讲 喂您好我想问一下为什么改成五十八元套餐不可以改呀 噢你那个是因为宽带捆绑了因为您这张卡有参加了一条宽带 那我可以取消吗 嗯宽带取消是要收违约金的 不用金多少 
您好请说你好我我这个手机号码怎么欠几或那几毛一原来那个手机给我停机掉了 噢欠费今天 我看一下本金哦关系特别慢关哎呃信用度没调整 您那个密码记不记得 密码是幺四七五八零七幺幺四九幺五八我就是输下密码输完按井号你那边直接帮我开一下行不行 呃您先听一下语音的不对我看一下 
高兴为您服务嗯不是我谢谢你啊我给你讲使用情况啊呃我我本来登呃他们六个人捆绑在一起的我家里有什么就是捆绑一起的他们给我提出来上个月给我退出来他们他把我就提出来了我一点都不知道我这个信息我一点都不知道他就跟我讲以及什么话它是下个月开始这个活动取消了我们不能在一起打电话了我还有个取消就取消了我不知道我不知道我不知道现在我这个月的他说呃他说什么他说我这个现在套餐啊是那个就是我们六个人里面那个总的管的人他跟我跟我搞的我问他后来我打电话跟他说他说没有烤没有讲过这事情就是把我他就把我名字就从六个人里面 甩出来了 下个月就是我不能自动互打了那么不不能互打就不打了但是我不知道现在套餐是谁跟我订的 噢我明白您的意思了先生呃我这个月套餐 谁给我订的 先生是这样子首先的话是因为您备注加急服务里面进行推出因为你之前订了一个家庭的服务你用了一个十六块钱的神州行的亲情套餐你们包含三十兆流量市话是一毛钱一分钟的是吧因为免费寄出那个家庭群组以后这个十六块钱就会自动失效呃取消以后呢我现在取消以后的话就会自动改成现在的十八块钱月租费 
嗯嗯嗯嗯 您好很高兴为您服务嗯 唉你好我这边就是我上海你看我到江苏这边收到时间就是说这个流量你这边有什么也不能优惠 两个人加国内通用的就可以了您现在办的话只能办嗯流量包您目前套餐是一百兆国内流量呢 对啊我就我我这边在上海使用那这张卡呀到了交费但是没办法必须要用这张就是我已经流量就是说过来大概一个礼拜我 您目前还有一百兆上个月有一百兆一个九一共是二百兆 
好的 您好很高兴为您服务你好 唉我就问一下我就纳闷了你们每次我交的钱 跟我之后打的发票都不一样是怎么回事啊这样的全国版的发票不一样是因为您这个里面有承诺消费的如果有话费返还的话这个是不在发票里面提钱的 那我那我这边交的钱怎么怎么那我每次交人家给我给我打个发票都不一致 对因为它有它有一笔消费折扣的费用是不在里面提现的呀 
您好很高兴服务 你好我想问一下我这个保电子还没有出来为什么它每个月那个就是消费折扣都不一样的有时候是四十五月份是九十什么九十五都有的这个怎么算法 因为电子发票上线之后活动赠送话费最低积分换的话费由于不是客户实际支付给我是金额因此在上面上会显示一个消费折扣您现在您每个月返四十五元开不了发票像您在天猫上充值享受一个四毛钱的一个优惠这个也开不了发票就是它是开票金额是等于客户实际支付金额的 对啊那我为什么六月份的发票账单上没有返还四十五嘛所以说我知道是每个月有的 六月份返的呀六月份返的这个金额抵扣是您五月份到期了 啊 
您好我是预处理专席代表很高兴为您服务 呃先生你好就是我跟你反映一个情况我到现在才知道手机欠费的也就是我不是上个月因为流量超出怎么工作加了一个三十块钱那个量多嗯怎么这个月还有呢 我看一下好啊从记录上看您订的是包月的三十元流量可选包您如果只是办了这个业务它就是每个月都会有的它不能加油包是一次性我说您办的是那种包月的每个月都会有这个业务的除非您当时办好之后就自动取消 我让我说我刚刚讲的我跟那个小姑娘假如说下个月不要就这个 但我看到您的一个并不是自己并不是我们人工帮您办的呀就是您自己操作的是通过ipip上面去操作的是语音平台操作的并不是通过我们人工操作 那现在这个取消不了了 
您好很高兴为您服务 喂唉你好是这样的 你好请讲 呃我那这边呃要反映一个问题我前两天了到你们移动营业厅交了一次性交了一年的宽带年费是是一个企业宽带年费我是说开成立的公司然后呢但是当时我说要她提供发票然后营业厅的人说呃你有没有移动号码然后我就给它他一个我个人现在打过来这个号码幺三六的移动号码然后他就把电子发票推送到我这个有一个幺三九邮箱了然后我打开邮箱看看这张发票金额是一千零六十二但是我实际当时刷卡付费付是一千零八十那这样的话我不是暂停不了财务这边没办法平常 一千零那你看一下这个宽带您是因为是办公司的宽带吗呃然后你问一下这个宽带它是不是有一些促销活动优惠 那问题是他发票上是显示有一个消费折扣什么东西十块钱但问题是我实际付的是一千零八十但是你发票上面一千零八十去掉一个四g的最后时间显示金额是一千零六你把那个账号报给我一下是多少钱哪个账号 
您好很高兴为您服务 唉你好你这边是集团服务的对吧 啊什么可以帮您呢 唉我想那个就是这样子的我们公司也是你以及彩铃在那个移动登记的然后呢以前呢是老的那个营业执照的证件号现在呢要换订的证件号问题是现在你们那边就是资费了就是非常换人吗然后帮人以前去年的时候我就已经把所有要换的东西就是在哪个资料我全部都交到你们那联系过了然后呢他现在的你们换了新的工作人员他现在告诉我说我们还是根据是老的然后还让我提供东西我就在想你这个东西让我随便提供又一遍提供那你们没有改过来是你们那边的四g的不是我的责任啊 呃是公司业务是吧 对的 
很高兴为您服务 哎呀我那个不能呗你没有给我换掉了我想帮我重新打开一下 嗯您稍等给您看一下那感谢您耐心等待 呃是这样子 那这个为了进一步呃建议做加强不良信息治理力度保障客户利益电话通讯程序四二零一七年九月四五七呃之内被举报发现不了信息可以被暂停短信功能客户必须通过网上营业厅签署承诺说确保之后不再发送类似信息返回复机 你的意思那个现在不行了 
您好很高兴为您服务 噢那个您好我这边是孙普资讯呃就是说呃我这边就是上个月的你们那边的账单吗然后就是是一百二显示的是我们这边公司里面的员工然后但开出来的发票只有九十八 呃您是集团的是吧 嗯应该是的 好那我帮您转接到其它专席您问一下好吗 嗯行那好那你们这边有那个移动经理嘛可以直接给我转到经理吗 
您好我是预处理专席代表很高兴为您服务您好 唉您好我想咨询一下就是 唉 我我想咨询一下就是我这个套餐里边就是有两个呃套餐业务一个是我的校园区域流量修还有一个就是 一个定向视频免费每个月三十g的腾讯视频 然后是这样然后我就发现我现在就是在用我的那个呃 
喂你好就是我在那个和国内流量后面那个的那个三月什么派单双的不说然后我看他那个流量那个在我扣我的那个套餐的流量我想你们是不是可以消费 噢那个您那边声音的话就是一点的套餐呃没 没 你那边声音不太能听的清楚是嗯是聊大就是 一万块钱的工行就是刚才我说的话您听到吗 没太听到那边的话回应比较大 
您好很高兴为您服务 喂你好前面有一个积分人不是很清楚情况然后他打那个电话转给你了是这样子就是我想再呃七月份你们给我发的电子发票上面添加一个纳税人识别号和一个开户银行结账好这两个在现在发票上是空着的然后我们公司控制的不能报要把这两个项目加上去然后重新给我发一张电就您自己这个号码的吗恩对的 名字身份证嗯密码有吗或者公司开头户名 就是有吗公司抬头那个是二十元括号中国投资有限公司 公司证件号呢 你好公司什么号身份证号码啊行好嘞噢是还是九幺三幺零零零零七幺七八八幺八八八幺九幺三幺四个零七幺七八八幺幺三个八的二十八对的 
您好很高兴为您服务 哎你好我想请问一下就是我这个设置的这个数据费啊呃七月十八层是还是十六但是为什么我有个其他的手机的话资费它只有三块钱 您这个是十八块钱的那个八块钱的套餐是老的那个手机套餐现在已经不能办 我现在已经不能办是吧对的噢那好那好我我说了因为我家里好几个绑定的手机我是什么套餐不一样恩那行好的好谢谢啊 拜拜祝您生活愉快再见 我想我还想问一下移动这边的话有办什么附属之类的这种的吗就是座机费便宜点的 
您好很高兴为您服务 喂你好我想查询一下就是呃我另外一个手机号码它就是上个月是五十块钱一个g流量咱那个升级之后不是五十块钱是的g嘛怎么现在是五十块钱两个g的我刚查了 噢我清楚您的意思了您先把这个号码报一下我帮您确定 噢好的幺三八 幺三八 幺八五五 
您好很高兴为您服务 哎你好我想咨询一下我现在不是在你们这里上面打印那个上海增值税电子合同发票吗然后我那个六月份的发票全部对啊你们上面帮我原先是八十块五角积分一共用了然后再你应该是你们会减免五块钱的那个什么一个包的然后可是你这手机上面减免了三十六块的是怎么回事啊 恩好的我帮您看一下请稍等 恩对 三十六块一呃您这个号码六月份有一点三十块钱的一个呃积分兑换的话费这个就是呃帮您做一个就是就等于是开票的话这个积分兑换呢这个是不能开票的 可是我已经有用钱我是积分加钱啊 
您好很高兴服务 你帮我看一下我不是加了一个二十四块钱那个有三三十兆的流量你看看 三个g的流量 我怎么显示一个短信他说还有两百两百三百了 这个三十个g的流量您要下载一个客户端下载优酷视频客户端在客户端里面使用的一个流量不是移动数据流量 要怎么下载了我我当时不是 
目前您好请讲 唉你好是这样我那个来电那个手机我是有一个宽带绑定的在用的那么到今天到到今天再到期最后一天到期了那我昨天打过电话我昨天打过电话咨询我要停机我昨天打过电话跟我说到营业厅带上身份证去营业厅就可以了啊但是我因为我现在正好人在这个是斜土路这边我就在你们这个大门桥路这个营业厅办然后它说我一定要回查询去办但是昨天那个幺零零八六打过来那个那个现在没够没有跟我说要指定营业厅的就是指定区域的它是只是跟我说带上身份证到营业厅所有营业厅都可以办 他们跟您讲要去指定因为按照规则是要去安装地属地营业厅的 昨天没有跟我说应该静安德普陀的都可以长城这样繁都可以可以询问 看就行对因为这三个地方属于一个区嗯 嗯那跟我你能帮我再你能帮我这个电话你先处理掉然后我再去营业厅吗 
您好预处理专席代表很高兴为您服务 唉小姐你好 嗯嗯 我想问一下就是说我改那个套餐没有改掉刚才我打这个幺零零八六他说这个套餐就是说必须要捆绑一个流量才能再聊他之前跟我说过我也不知道 一直捆绑一个流量您现在改多少钱套餐陷 就说我通过手机信息吗改吗改的那个昨天在就是说昨天最后一天嘛我改的那个就是五百五百分钟吗 
您好很高兴为您服务 唉你好是这样的我的手机号码是幺三六五幺九一八幺三幺 幺三六五幺九七八幺三幺 对的 好的什么问题啊 唉是这样的就是你们那个上个月无缘无故把我的手机停掉了就是说那个身份证那个 
您好很高兴为您服务 哎你好我想问一下就是我的手机上下了那个就是移动的app然后在里面可以查自己的就是账单详情里面有那个就是呃六千六个月的明细吗详细明细但是在网之前查就查不到了所以我想问一下是不是就是在那个移动官网也好一批也好都只保留六个月的 啊您说的没错因为账单只能查前六个月再前面的话没有地方查的就算是营业厅啊也好他也是插流量 噢那我想问一下就是如果我想要以前就是说以前已经查不到的大厦那现在如果有一些需要做一些把那个证据呃呃有什么办法吗是需要到你们这查完以后操作公章吗还是怎么样 那么分两个不多说如果您要呃一些凭证作为其他用途的话您先问一下这个地方就比如说法院他就是说怎么样才能做为还需要做到什么程度然后再跟你沟通到营业厅能不能举报那他如果能提供那么最好了我不能提供吗您要后面再看了怎么样方式能够得到这个您需要的所以它这个功能是首先您确认下您需要什么然后再去营业厅再去找他提供对吧到营业厅办理带身份证就可以啊你说 噢我就是想说因为现在就是没有就是说刚刚有立案吗但是也不知道返还需要什么但是因为我看看半年以之内就会保存半年以后就会就是取消了吗那我只是想再还没有他就是说还没有具体进入司法程序步骤之前看有没有机会保留但是如果去做公证的话就是费用比较贵所以我想问一下就是如果是要求营业厅打出这个明细然后超过公章这种可行了请问 
