您好很高兴为您服务 啊你你那个套餐就是你们现在那个什么三十八套餐为什么人家现在都每个月送到一一点五g我这用这么久了还还在五百兆啊 啊那个的话是移动刚推出来的还不稳定所以说是针对部分客户体验的所以暂时的话您这边改不了如果您现在可以如果说想要体验的话可以改那个五十八元的是三个g的流量也非常划算的 五个五十八块三个g是吗 对没错 噢它那个流量会累积到下个月吗 这个流量的话里面是有五百兆是可以累积的剩下两千块钱收到不累积 噢那那它是那个两百两g多是先优先用然后那个五百兆然后是还是怎么样 
您好请说喂你好恩好我这个 这个手这个那个办理的吗八十八的那个可以取消吧 呃八十八是基本套餐这个不可以取消 为什么 那您每张卡都有套餐的而且您这个是参加活动还没到期抱歉的到一八年的一月一号到期到期之后您可以改其他的套餐 啊那个那个这个借手机套餐套餐具多久了呀是 恩这个套餐我看了一下它那个显示是办理两年的到一八年一月一号结束 两年六就要到一八年对一号才显示还有几个月是吧 
您好请说 是不是不想给我这个手机号码用了是不是啊欠完了它们是马上给我停掉这个什么好 噢非常抱歉您这边那我现在马上给您进行开机 五毛六这个老客户欠完了我马上现在打一个电话 块 嗯噢行 嗯很抱歉先生因为现在我马上帮你上报到后台给您进行开机过一会您手机 手机可以用了我这边是幺八八套餐如果是这样子我的号码我就不用了把它注销掉 
您好请讲 你好我想问一下你这个怎么手机刚刚欠费个几毛钱你就给我停机掉 嗯很抱歉您这号码话我们看一下是刚买的号码有欠费就会停机的 那你给我现在给我停机开机啊我从不然我在这个在这个屏蔽电话我充了没办法装诶 那您这号码我帮您应急开机好了您看十二个小时如果您要使用流量把手机重启下就可以用了已经开机好了 噢好可以可以可以 很抱歉还有什么可以帮您的吗 呃没有了没有了嗯好 
您好请讲 喂你好你帮我那个现在手机号码 呃加一个亲情号码是吗呃家庭网对不对不客气呃您号码是多少呢 呃嗯嗯叠加的是吧 噢加的那个号码 吗 一三百 六十七 
您好请讲 你好请问一下我这一块四毛六帮我停机啊 噢您稍等一下我看一下 短信也没有通知有什么都没有 呃那确实很抱歉了因为您这号码也是刚刚开打的嘛那系统识别到一欠费就可能就做停机处理那您看这样子吧先生那我这边先帮您开机了稍后麻烦您把手机重启一下然后就可以用了 这个我已经试了好多次了还有我是说我这边处理的我帮您开机了现在 您把手机重启一下就可以用了 对这是是一个应急开机一个线路一个月租客一个就是说我这个号码给我套餐都出来但是的套餐都超过吧 
嗯嗯 啊 服务 您好请讲 喂你好我怎么老是现在一毛钱就给我停机了但是怎么回事啊 欠费几毛钱停机 对啊 呃稍等我看一下啊 
您好请说 哎那个问一下我想问一下我这个这手机现在这个号码为什么一欠费它就帮我停机了 您这个号码是之前是不是有办过那个过户之类的手续啊真的有 之前我是用我那个我身份证掉了我用我弟弟来办的然后然后换后面过换成我自己 它这个因为办理那个过户噢它原来的那些星级服务的话就全部清零了他现在等于您这个号码就跟新入网的那个升级服务是一样的只要有欠费系统就会停机了 那能能不能帮我恢复一下 这个没办法恢复啊因为您原来那个办过户的手续它这个就会清空掉等于要重新开始计算了 因为他最近他之前那个有发一条信息给我说要叫我不要问我要不要回复三星级错误什么后面我因为那个时间上面退拿回忘记了 
您好请讲 为什么我欠费欠八十几块额度我额度是两百块的为什么现在给我停掉 请您稍等我先帮您应急开机一下 光应急开机不开机我我可以当年修又停可以停一八年八十天对没到时间也没到金额他妈的给我停掉没事啊 它这个的话我看一下您欠多少您这个月欠了八十多块钱的话了 是啊我额度一百是啊 一百四是吗那我这里的话帮您登记核实一下噢然后的话明后天的话工作人员他帮您查了之后你们一个回复那您现在的话待会儿挂完机手机关机再开机就可以正常打电话了 每次都是这样子停机停机下我那个都有额度有那个时间还没超过他们给我停掉我真的搞不懂你们移动公司怎么回事 
您好请说 我有一个问题让我很以后不接呃是这样子的为什么他们刚刚入网的三十八块钱套餐可以享受那么大的优惠我我们怎么不行他们刚刚入网的他们我我看哎我还五星语音客户人家那个他们都每个月用话费都没我多人家欠费欠一百多都不会被停机我就欠一点点就被停机掉 其实您这个号码那个欠费额度也挺高了还是欠费额度两百块就两百块我们不会给您做停机 怎么不会做停机嘞我都经常欠几十块就给我停机掉 因为您的问题是属于嗯嗯 我用了十几年的卡是不是啊这个非常不合理了哎五星级客户你说还有一个那我还以后不久为什么人家刚入网的三十八块钱的套餐那么优惠那么便宜 三十八它目前是属于新办的那个资费通话时间三百分钟流量是一点五g您是要改这个套餐是吗 他们不止我还有一个问题为什么我不能改八十八块钱套餐 
呃您好请说 哎你好 恩你好 我想问一下我这个流流量为什么不是省内先用吗国内在用的 嗯因为您这个套餐里面是没有省内的您省内的是活动给您赠送的省内流量保流量它这个赠送的它本身就有要求是除安心包之外最后用的 这样子 对那我这个有效期套餐里面还是省内还是国内没有关系然后它这个赠送的是送到明年二月一号 每个月两g是不是啊 
您好请说 你好我想问一下我那个那个另给我六g六十元六g的有个充值 您稍等一下帮您看一下呃六十块钱六个g的已经开通好了已经可以用了 噢已经开通好了 先生 工作人员 呃是的已经生效了 噢本月生效了是吧 
您好很高兴为您服务 诶你好诶刚才一下打电话过来说这个机主有一个号码没有交清话费 是说您身份证名下登记的号码吗 二元是哪个号码这个号码再没用过 那先生因为我们这边查看不了你要查身份证名下登记的号码的话需要麻烦您到营业厅去申呃申请核实一下身份证到营业厅去查一下 你们那边不能查吗 嗯没有因为他没有给我们查询身份证名下登记号码的权限没有这个权限给我们人工所以查看不到只有营业厅才能帮您查询 噢 
您好请说 那个诶我彩铃怎么这么快这样子到期了我什么时候订的 请稍等是歌曲到期了吗还是什么 就是嗯没有没有说没有歌曲的 就功能没了是吗 噢应该不会那么快到期啊我说才能订多久啊 你帮我看下我这边显示在九月一号的时候取消了那个其实是您之前套餐一直都有送的但是您转呃也不是套餐一直都有送就您之前的时候有办的但是您上个月的时候改套餐九月份的时候改套餐的时候是不是也不是改套餐啊好像七月份改的您等一下噢看一下我现在忙所以说你要不然另外再开吧彩铃功能一个月的话是五块钱的功能费可以吗噢那我就帮您开通起来如果现在要下载歌曲的话自己可以另外下载可以打我们的幺二五三零下载或者登录到我们相应的彩铃网站也可以下载好吗 不要了你帮帮我看到它是那个以前那个回来的那个人 
下午好请说 诶怎么现在我这张呃我这张卡的时候我现在是欠费才三毛七就给我停机掉啊 嗯是的您这号码卡是有出现欠费所以我们系统才会停机您如果需要的话我可以帮您先恢复一下号码那您可以先使用 是啊本来就是他说什么二毛七就就给我取消 嗯那很抱歉了先生您稍等一下噢 啊啊 那您稍后收到短信之后把手机重新关机再开机一下噢还需要其他帮助吗 哦没有噢 
你好请讲 你好请讲 喂你好那个我为什么我手机才欠费零点零七就给我给停掉了 因为您本机号码卡的话这边是欠费欠费您就会被停机没有把额度给激活我帮您先开机吧然后再把额度提高方式给您发短信稍等一下帮您开机十二个小时预支额度一百零五g的其实去把费用交上要上网的话关机两分钟然后再开机就能够上网了额度提高方式我给您发了稍后看一下 哎行 喂小姐查查询才一毛钱都还不到就给我停掉因为您没有把额度给提高那我目前在额度提高方式给您发过去了您稍后看一下好嘛 好好 辛苦啦还有其他问题吗你好 
您好请讲 我早上好像开通一个流量包但是短信外说 十一月一号才生效十月一号 可以 就是流量套餐啊不是短信包您这边话已经办理过一次了就不能再办了是要等下个月了我帮您把下个月取消掉吧稍后您留意一下 那我这个月流量不是不够 这个月一次在省外吗 你 
您好请讲 喂您好我想问一下为什么改成五十八元套餐不可以改呀 噢你那个是因为宽带捆绑了因为您这张卡有参加了一条宽带 那我可以取消吗 嗯宽带取消是要收违约金的 不用金多少 我看一下这个宽带的活动的话原来是那个两年的两年的话呢总共的话是二十四个月二十四个月的话减去你现在已经用的月份原来是二月份办的到现在目前为止已经用了八个月了那只能下个月那你这边还剩十六个月十六个月乘以三十一那这边违约金要四百九十六 噢呃就是我之前绑定那个噢家里那个宽带所以不可以款噢 
您好请说你好我我这个手机号码怎么欠几或那几毛一原来那个手机给我停机掉了 噢欠费今天 我看一下本金哦关系特别慢关哎呃信用度没调整 您那个密码记不记得 密码是幺四七五八零七幺幺四九幺五八我就是输下密码输完按井号你那边直接帮我开一下行不行 呃您先听一下语音的不对我看一下 噢 您这张卡是二月份刚刚买卡的还没听清楚一是精品还没评定 
高兴为您服务嗯不是我谢谢你啊我给你讲使用情况啊呃我我本来登呃他们六个人捆绑在一起的我家里有什么就是捆绑一起的他们给我提出来上个月给我退出来他们他把我就提出来了我一点都不知道我这个信息我一点都不知道他就跟我讲以及什么话它是下个月开始这个活动取消了我们不能在一起打电话了我还有个取消就取消了我不知道我不知道我不知道现在我这个月的他说呃他说什么他说我这个现在套餐啊是那个就是我们六个人里面那个总的管的人他跟我跟我搞的我问他后来我打电话跟他说他说没有烤没有讲过这事情就是把我他就把我名字就从六个人里面 甩出来了 下个月就是我不能自动互打了那么不不能互打就不打了但是我不知道现在套餐是谁跟我订的 噢我明白您的意思了先生呃我这个月套餐 谁给我订的 先生是这样子首先的话是因为您备注加急服务里面进行推出因为你之前订了一个家庭的服务你用了一个十六块钱的神州行的亲情套餐你们包含三十兆流量市话是一毛钱一分钟的是吧因为免费寄出那个家庭群组以后这个十六块钱就会自动失效呃取消以后呢我现在取消以后的话就会自动改成现在的十八块钱月租费 十八个月的十八块钱打个电话我g的呃这这个套餐怎么怎么用呢我一点不知道呀 这个套餐里面的话包含的话是一百兆的全国通用流量然后的话里面的话会送您本地通话分钟数五十分钟然后的话还有那个前六个月有返还十块钱的话费的然后那个是这个五十分钟的话是本地通话送到一八年的六月份结束 
嗯嗯嗯嗯 您好很高兴为您服务嗯 唉你好我这边就是我上海你看我到江苏这边收到时间就是说这个流量你这边有什么也不能优惠 两个人加国内通用的就可以了您现在办的话只能办嗯流量包您目前套餐是一百兆国内流量呢 对啊我就我我这边在上海使用那这张卡呀到了交费但是没办法必须要用这张就是我已经流量就是说过来大概一个礼拜我 您目前还有一百兆上个月有一百兆一个九一共是二百兆 呃然后现在是 然后您要再加流量的话可以的 
好的 您好很高兴为您服务你好 唉我就问一下我就纳闷了你们每次我交的钱 跟我之后打的发票都不一样是怎么回事啊这样的全国版的发票不一样是因为您这个里面有承诺消费的如果有话费返还的话这个是不在发票里面提钱的 那我那我这边交的钱怎么怎么那我每次交人家给我给我打个发票都不一致 对因为它有它有一笔消费折扣的费用是不在里面提现的呀 那我钱交了那么多啊 没有您没有才能够的他那个维优惠优惠他 
您好很高兴服务 你好我想问一下我这个保电子还没有出来为什么它每个月那个就是消费折扣都不一样的有时候是四十五月份是九十什么九十五都有的这个怎么算法 因为电子发票上线之后活动赠送话费最低积分换的话费由于不是客户实际支付给我是金额因此在上面上会显示一个消费折扣您现在您每个月返四十五元开不了发票像您在天猫上充值享受一个四毛钱的一个优惠这个也开不了发票就是它是开票金额是等于客户实际支付金额的 对啊那我为什么六月份的发票账单上没有返还四十五嘛所以说我知道是每个月有的 六月份返的呀六月份返的这个金额抵扣是您五月份到期了 啊 六月份返的钱是抵的是五月份的一个账单 我看你们这样搞的你把这一百六月份的账单直接发到五月份去了对吧 
