您好请说你好可以听得到吗嗯您说 这个号码吗 
喂你好请讲呃您好就是 机顶盒噢刚才系统的记录啊稍等一下啊最低只负责今天早上诶早上我输您的号码早上您是几点来电呢呃是十一点多吗还是几点多 
哎您好请讲 我看看麻烦您稍等一下是关于那个流量包的问题是吧 
您好请说 呃它您是要和包什么问题要咨询呢 
您好请说对 你好 
您好很高兴为您服务 噢 
您好请讲 嗯什么问题要咨询 
真的很抱歉请问是哪个号码办的移动宽带呢我看一下 幺三六五还是六九 
您好请说 前前 
您好很高兴为您服务 您好 
您好请说 恩您好 
您好请说 嗯那就您现在是经常上不了网是不会断网这样是吗 
您好很高兴为您服务 噢我看一下您稍等 
您好请讲 行我马上帮您看一下哈呃看到您这个视频流量费用的问题对不对 
您好 我帮您看一下处理进度请稍等是反映本机号码还是其他号码 
您好很高兴为您服务 哇嗯先生我帮您查看一下 
您好 您这查询您这个明细对吗 
您好请讲 嗯什么没有电话不好意思刚才没有听清楚能不能再说一下 
您好请讲 呃请问是哪个号码我给您查一下好吗 
好的是这个月多扣两百八十八块钱的一个宽带设备费用是吧 好的我帮您查一下您稍等 
您好 噢它可能会有一些新的活动然后跟你介绍 
很高兴为您服务您好 您稍等我帮您查一下 
很高兴为您服务 噢是什么问题啊女士 
嗯嗯你好请说啊 您稍等我帮您看一下 
您好 咱们现在宽带还不能用了不要挂机噢马上噢还在处理当中您稍等一下我先查一下看他之前的这个嗯这样子哈 
您好高兴为您服务你好哎你好我下午 就是宽带嘛那您电话不要挂我帮您转到我们宽带负责人那边您稍等一下 
您好请讲 你说您现在流量不能用是吗还是什么问题我上次申申诉的流量 
您好嗯 二十块不收费赠送您两年每个月五十块移动都会返还给您吧请放心哦那它有一个一个g的省内流量赠送活动那就赠送的五十块噢每个月都有返还就相当于说您第一年每个月它会返还六十五块其中五十块是的流量的费用另外的十五块是我们当时做宽带活动每个月返还十五块的那个第二年 
哎您好很高兴为您服务 客户经理呃请问你当时留的联系电话是多少我帮您查一下 
服务你好您好很高兴为您服务 您好请说 
您好很高兴为您服务 是的因为今天系统问题所以不能操作呃建议您晚一点再操作下午再试一下啊 
您好很高兴服务 他可能是缺货 
您好请问听得见吗 幺三五八五五七九幺七二对吗 
您好我是预处理专席代表很高兴为您服务 您好请讲 
您好兴您服务 好的我帮您去催一下这个手 
您好很高兴为您服务 呃我 
您好很高兴为您服务 你说这个号码反映的问题对吧 
您好兴为您服务 就您这个如果您开始没有到账而且通过他们平台通话你看一下他们有什么加送这个活动要不您的问题 
很高兴为您服务 嗯嗯 
您好兴您服务 你好 
为您服务 您好请讲 
呃您好很高兴为您服务 呃就是专门发短信的平台业务对吧直接那我这边帮您做一下咨询根据稍后我们会那办理的业务经理联系您可以问一下具体的资费和办理流程 
很高兴为您服务您好 嗯嗯接到您的客服有什么问题吗先生 
没听清楚的 不好 
您好很高兴为您服务 啊你好呃我 
您好我是预处理专席代表很高兴为您服务您好 对是信号问题对吧我看不清她转接过来幺 
您好高兴您服务 就您办理了我们的宽带就是示范没有人上门帮您安装魔百盒还是什么什么百合 
您好兴您服务 是哪个号码办 
您好很高兴为您服务 啊嗯恩是本机号码预约安装的嘛 
您好很高兴为您服务 唉你好 
您好我是预处理专席代表很高兴为您服务 我看一下 
您好很高兴为您服务 今天办稍等一下我看一下啊 
您好很高兴服务 移动告诉我四十八小时之内给我回复 
您好很高兴为您服务 嗯我再帮您转一下 
您好很高兴为您服务你好 噢 
您好很高兴为您服务 十十五分钟我接电话的问题什么问题 
您好兴您服务您好 那我这边帮您转到宽带三十八查一下这边不要挂机那请稍等为您看解决问题电话转专席处理 
您好很高兴为您服务 呃我看一下请稍等是这个来电的手机对吗小姐 
您好我是预处理专席代表很高兴为您服务您好 那真的不好意思给您添麻烦了我看了一下问题这边还是在处理当中啊 
您好我是上海移动客服中心投诉处理专席工号幺零七六二很高兴为您服务 是的 
很高兴为您服务 你说 
您好兴您服务您好 您好您说 
您好很高兴为您服务 谢谢你稍等一下我查一下 
您好高兴为您服务您好 有哪个手机号码办的宽带当时二 
喂您好高兴服务 噢 
您好很高兴为您服务唉你好是这样子我之前有申请就是额联系那个客户经理给我打电话但她现在还没有来电话我想问一下就是大概您之前联系客户经理什么听不太清楚 但是您留个联系电话是来电 
您好很高兴服务唉我投诉你们刚刚有个客服你们刚才一个客服根本不懂 上次你们的一个投诉 
您好很高兴服务唉我投诉你们刚刚有个客服你们刚才一个客服根本不懂 上次你们的一个投诉 
为您服务 周围来电什么都没有对吧也没有漫游提醒 
七 您好很高兴为您服务 
噢不好意思我帮您看一下好吗请稍等一下嗯 是哪个手机号码呀先生 
您好请讲您好请讲 唉你好我之前打电话就是反映网络呃那个流量的这个问题 
您好很高兴为您服务 呃您稍等一下我嗯您这边我就看了收到这个短信那如果说您没有去这边营业厅办理业务的话呢那这边可能是它这个营业厅完善您的个人信息所以条短信给您下发的这个没有什么大概的因为您这边功能的业务都是正常的女士 
您好很高兴为您服务 不好意思因为今天有很多用户因为月底了嘛您说 
我没有看到您七月份就七月二十七号有一个电话后来没有打过呀没有打幺零零八六这个号码 那您要投诉对吧我帮您转投诉专席您稍等一下好吧那为了更好解决问题我帮您电话什么后台预处理专席由专人确认不要挂机 
您好很高兴为您服务 多少 
您好请讲 转到宽带专席嘛 
您好很高兴为您服务 噢这样的是吧那这样先生我这边帮您派单过去催一下这个安装问题另外我把那边的负责电话给您打这个电话问一下看那边呢安装情况或者有没有直接安装师傅电话可以吗 
请讲 手机号 
您好很高兴为您服务 呃稍等是这个来电手机号码吗请问一下 
很高兴和 你好是这样 
您好很高兴为您服务 呃稍等是这个来电手机号码吗请问一下 
七您现在什么问题我没听清楚不好意思 我想我想 
您好预处理专席代表很高兴为您服务 你好 
您好很高兴服务 您要办理什么呼叫转移是吗 
您好兴为您服务 我要么再帮您转一下试试看没有人工啊请不要挂机那解决问题我将电话转专席处理请稍等 
您好很高兴为您服务 是你有别的号码新装宽带吗还是 
您好高兴服务 你好 
您好很高兴为您服务 二四 
嗯嗯您好请讲 您哪个号码办理的宽带 
您好很高兴为您服务 服务密码是发不过来的是要您自己重置的需要您自己发送幺零六三到幺零零八六可以重置密码 
您好很高兴服务 互打免费的先生 
您好很高兴为您服务 我帮您看一下稍等 
您好很高兴为您服务 公司开头 
您好很高兴服务小姐我现在就是打电话跟你们反映的情况就是 打电话给我然后就是说市话把我的那个套餐改掉了是吧嗯然后你们那个客服说就是让我叫我手机保持开机然后你们会电话联系我给我这个处理支付结果然后就是我现在就是我我想想接上也不对劲啊你们为什么把我们的那个手机号码我们的资料给那些不相干的营业厅然后打电话给我们那如果我想改业务应该是你们移动打电幺零零八六打电话过来或者是发短信过来为什么为什么会让那个人家的陌生的手机号打电话给我们然后说是我把我套餐改成那个号为您解决问题我将您的电话转专席处理 
您好请讲可以的您好 一个什么需要办理什么业务 
的您好我是预处理专席代表很高兴为您服务 您是去哪个营业厅办的 
您好很高兴为您服务 呃对这边提示帮您看看能不能帮您恢复噢请稍等 
您好很高兴为您服务 地址写错了 
您好很高兴为您服务 啊先生很抱歉因为今天一号吗打电话比较多不好意思 
您好很高兴为您服务 你们投诉就是没有人吗现在有几个人在排队您是投诉哪方面关于宽带还是什么 
您好很高兴为您服务 喂您好我听得到您请说 
高兴为您服务 恩 
您好很高兴服务 嗯 
您好很高兴为您服务 六月十号申请的宽带是吗 
您好我是预处理专席代表很高兴为您服务您好 呃这样的先生如果说有什么给您带来不便了非常抱歉我这边看了一下您是不是针对您之前反映这个问题一直没给您回复对吗 
您这个号码我没看到有办理宽带业务啊您看一下您是要装宽带是吧 您什么地方装呢帮您先看一下有没有资源 
很高兴为您服务 呃您是说是什么东西转过去啊 
您好请讲 爱疯手机是吧那帮您转入专席 
您好很高兴为您服务 哦好我看一下啊请稍等是这个手机号码之前来电反映的嘛现在 
是可以正常您是转过去没人接对吧 到幺零零八六就可以退掉了女士 
您好很高兴为您服务 对上次反映的流量问题您是说对七月份的话流量超出处好的女士我这边的话帮您看了一下我这边的话显示这张单子的话还在我们后台的工作人员调整处理当中麻烦您稍后耐心等待一下我帮您加急进行催促 
您好很高兴为您服务 直接拨幺零零八六然后如果是转人工台的话呢今晚首先语音之后按零 
您好请讲 请问什么问题先生 
您好很高兴为您服务 嗯 
您好很高兴为您服务 稍等一下确认帮您查询一下地址是哪里的 
确定帮我订了嘛 您是有预约宽带的吗 
高兴为您服务您好 哪个手机号码办的宽带 
您好很高兴为您服务喂你好刚才我 呃我看一下请稍等是呃投诉您这边信号问题是吗 
好很高兴为您服务 呃当时就是说你这个手机号码预约的移动宽带对吧小姐 
您好很高兴为您服务 啊是您来电号码有预约安装宽带的是说是不一直没来安装是这个意思吗 
很高兴为您服务 嗯嗯帮您转到我们的专席去给您问一下好吧 
