您好 请 说 你好 可以 听 得到 吗 嗯 您 说   这个 号码 吗
你好   可以 那 您 这边 要 移到 哪里 呢
您好 请 说   什么 问题 呀
很 高兴 您 服务   我 这边 给 您 转到 我们 宽带 您 是 互联网 电视 现在 用 不了 是不是
你好   您 是 说 宽带 是不是 不能 用
啊 您好 很 高兴 您 服务   比如说 宽带 是 吗 这样 他 没有 可以 看到 给 您 登记 安装 的 记录 您 稍等一下 我 帮 您 查本 机号码 是 吗
边 嗯 嗯 您好 请 讲   好 稍等一下 我 看 一下 是 本 机号码 办 的 宽带 是 吗 嗯 嗯 噢 好 那 您 等 我 一下
很 高兴 为您服务 您好 请 讲 这 是 幺 零零 八六   呃 您好 请问
嗯 您好 请 说   啊 您好 请 讲
嗯 您好 很 高兴 为您服务   嗯 宽带 是 吗 你 说 移机 是 吗
嗯 您好 有 什么 可以 帮 您   嗯 稍 等 先生 我 帮 您 查询
喂 你好 请 讲 呃 您好 就是   机顶盒 噢 刚才 系统 的 记录 啊 稍等一下 啊 最低 只 负责 今天 早上 诶 早上 我输 您 的 号码 早上 您 是 几点 来电 呢 呃 是 十一点多 吗 还是 几点 多
哎 您好 请 讲   我 看看 麻烦 您 稍等一下 是 关于 那个 流量 包 的 问题 是 吧
您好 请 说   呃 它 您 是 要 和 包 什么 问题 要 咨询 呢
您好 请 说 对   你好
您好 很 高兴 为您服务   噢
您好 请 讲   嗯 什么 问题 要 咨询
真的 很 抱歉 请问 是 哪个 号码 办 的 移动 宽带 呢 我 看 一下   幺 三 六五 还是 六九
您好 请 说   前前
您好 很 高兴 为您服务   您好
您好 请 说   恩 您好
您好 请 说   嗯 那 就 您 现在 是 经常 上 不了 网是 不会 断网 这样 是 吗
您好 很 高兴 为您服务   噢 我 看 一下 您 稍 等
您好 请 讲   行 我 马上 帮 您 看 一下 哈 呃 看到 您 这个 视频 流量 费用 的 问题 对 不 对
您好   我 帮 您 看 一下 处理 进度 请稍等 是 反映 本 机号码 还是 其他 号码
您好 很 高兴 为您服务   哇 嗯 先生 我 帮 您 查看 一下
您好   您 这 查询 您 这个 明细 对 吗
您好 请 讲   嗯 什么 没有 电话 不好意思 刚才 没有 听 清楚 能 不能 再说 一下
您好 请 讲   呃 请问 是 哪个 号码 我 给 您 查 一下 好 吗
好 的 是 这个 月 多 扣 两 百八十 八块钱 的 一个 宽带 设备 费用 是 吧   好 的 我 帮 您 查 一下 您 稍 等
您好   噢 它 可能 会 有 一些 新 的 活动 然后 跟 你 介绍
很 高兴 为您服务 您好   您 稍 等 我 帮 您 查 一下
很 高兴 为您服务   噢 是 什么 问题 啊 女士
嗯 嗯 你好 请 说 啊   您 稍 等 我 帮 您 看 一下
您好   咱们 现在 宽带 还 不能 用 了 不要 挂机 噢 马上 噢 还 在 处理 当中 您 稍等一下 我 先查 一下 看 他 之前 的 这个 嗯 这 样子 哈
您好 高兴 为您服务 你好 哎 你好 我 下午   就是 宽带 嘛 那 您 电话 不要 挂 我 帮 您 转到 我们 宽带 负责人 那边 您 稍等一下
您好 请 讲   你 说 您 现在 流量 不能 用 是 吗 还是 什么 问题 我 上次 申 申诉 的 流量
您好 嗯   二十块 不 收费 赠送 您 两年 每个 月 五十块 移动 都 会 返还 给 您 吧 请 放心 哦 那 它 有 一个 一个 g 的 省内 流量 赠送 活动 那 就 赠送 的 五十块 噢 每个 月 都 有 返还 就 相当于 说 您 第一年 每个 月 它 会 返还 六 十五块 其中 五十块 是 的 流量 的 费用 另外 的 十五块 是 我们 当时 做 宽带 活动 每个 月 返还 十五块 的 那个 第二年
哎 您好 很 高兴 为您服务   客户经理 呃 请问 你 当时 留 的 联系电话 是 多少 我 帮 您 查 一下
服务 你好 您好 很 高兴 为您服务   您好 请 说
您好 很 高兴 为您服务   是 的 因为 今天 系统 问题 所以 不能 操作 呃 建议您 晚一点 再 操作 下午 再试一下 啊
您好 很 高兴 服务   他 可能 是 缺货
您好 请问 听得见 吗   幺 三五 八五 五七 九 幺 七二对 吗
您好 我 是 预处理 专席 代表 很 高兴 为您服务   您好 请 讲
您好 兴 您 服务   好 的 我 帮 您 去 催 一下 这个 手
您好 很 高兴 为您服务   呃 我
您好 很 高兴 为您服务   你 说 这个 号码 反映 的 问题 对 吧
您好 兴 为您服务   就 您 这个 如果 您 开始 没有 到 账 而且 通过 他们 平台 通话 你 看 一下 他们 有 什么 加送 这个 活动 要 不 您 的 问题
很 高兴 为您服务   嗯 嗯
您好 兴 您 服务   你好
为您服务   您好 请 讲
呃 您好 很 高兴 为您服务   呃 就是 专门 发短信 的 平台 业务 对 吧 直接 那 我 这边 帮 您 做 一下 咨询 根据 稍后 我们 会 那 办理 的 业务经理 联系 您 可以 问 一下 具体 的 资费 和 办理 流程
很 高兴 为您服务 您好   嗯 嗯 接到 您 的 客服 有 什么 问题 吗 先生
没 听 清楚 的   不好
您好 很 高兴 为您服务   啊 你好 呃 我
您好 我 是 预处理 专席 代表 很 高兴 为您服务 您好   对 是 信号 问题 对 吧 我 看不清 她 转接 过来 幺
您好 高兴 您 服务   就 您 办理 了 我们 的 宽带 就是 示范 没有 人 上门 帮 您 安装 魔百盒 还是 什么 什么 百合
您好 兴 您 服务   是 哪个 号码 办
您好 很 高兴 为您服务   啊 嗯 恩 是 本 机号码 预约 安装 的 嘛
您好 很 高兴 为您服务   唉 你好
您好 我 是 预处理 专席 代表 很 高兴 为您服务   我 看 一下
您好 很 高兴 为您服务   今天 办 稍等一下 我 看 一下 啊
您好 很 高兴 服务   移动 告诉 我 四十八 小时 之内 给 我 回复
您好 很 高兴 为您服务   嗯 我 再 帮 您 转 一下
您好 很 高兴 为您服务 你好   噢
您好 很 高兴 为您服务   十 十五分钟 我 接电话 的 问题 什么 问题
您好 兴 您 服务 您好   那 我 这边 帮 您 转到 宽带 三十八 查 一下 这边 不要 挂机 那 请稍等 为 您 看 解决问题 电话 转 专席 处理
您好 很 高兴 为您服务   呃 我 看 一下 请稍等 是 这个 来电 的 手机 对 吗 小姐
您好 我 是 预处理 专席 代表 很 高兴 为您服务 您好   那 真的 不好意思 给 您 添麻烦 了 我 看 了 一下 问题 这边 还是 在 处理 当中 啊
您好 我 是 上海 移动 客服 中心 投诉 处理 专席 工号 幺 零七 六二 很 高兴 为您服务   是 的
很 高兴 为您服务   你 说
您好 兴 您 服务 您好   您好 您 说
您好 很 高兴 为您服务   谢谢 你 稍等一下 我查 一下
您好 高兴 为您服务 您好   有 哪个 手机号码 办 的 宽带 当时 二
喂 您好 高兴 服务   噢
您好 很 高兴 为您服务 唉 你好 是 这 样子 我 之前 有 申请 就是 额 联系 那个 客户经理 给 我 打电话 但 她 现在 还 没有 来 电话 我 想 问 一下 就是 大概 您 之前 联系 客户经理 什么 听 不 太 清楚   但是 您 留个 联系电话 是 来电
您好 很 高兴 服务 唉 我 投诉 你们 刚刚 有个 客服 你们 刚才 一个 客服 根本 不 懂   上次 你们 的 一个 投诉
您好 很 高兴 服务 唉 我 投诉 你们 刚刚 有个 客服 你们 刚才 一个 客服 根本 不 懂   上次 你们 的 一个 投诉
为您服务   周围 来电 什么 都 没有 对 吧 也 没有 漫游 提醒
七   您好 很 高兴 为您服务
噢 不好意思 我 帮 您 看 一下 好 吗 请 稍等一下 嗯   是 哪个 手机号码 呀 先生
您好 请 讲 您好 请 讲   唉 你好 我 之前 打电话 就是 反映 网络 呃 那个 流量 的 这个 问题
您好 很 高兴 为您服务   呃 您 稍等一下 我 嗯 您 这边 我 就 看 了 收到 这个 短信 那 如果说 您 没有 去 这边 营业厅 办理 业务 的话 呢 那 这边 可能 是 它 这个 营业厅 完善 您 的 个人信息 所以 条 短信 给 您 下发 的 这个 没有 什么 大概 的 因为 您 这边 功能 的 业务 都 是 正常 的 女士
您好 很 高兴 为您服务   不好意思 因为 今天 有 很多 用户 因为 月底 了 嘛 您 说
我 没有 看到 您 七月份 就 七月 二十七 号 有 一个 电话 后来 没有 打过 呀 没有 打 幺 零零 八六 这个 号码   那 您 要 投诉 对 吧 我 帮 您 转 投诉 专席 您 稍等一下 好 吧 那 为了 更好 解决问题 我 帮 您 电话 什么 后台 预处理 专席 由 专人 确认 不要 挂机
您好 很 高兴 为您服务   多少
您好 请 讲   转 到 宽带 专席 嘛
您好 很 高兴 为您服务   噢 这样 的 是 吧 那 这样 先生 我 这边 帮 您 派 单 过去 催 一下 这个 安装 问题 另外 我 把 那边 的 负责 电话 给 您 打 这个 电话 问 一下 看 那边 呢 安装 情况 或者 有没有 直接 安装 师傅 电话 可以 吗
请 讲   手机号
您好 很 高兴 为您服务   呃 稍 等 是 这个 来电 手机号码 吗 请问 一下
很 高兴 和   你好 是 这样
您好 很 高兴 为您服务   呃 稍 等 是 这个 来电 手机号码 吗 请问 一下
七 您 现在 什么 问题 我 没 听 清楚 不好意思   我 想 我 想
您好 预处理 专席 代表 很 高兴 为您服务   你好
您好 很 高兴 服务   您 要 办理 什么 呼叫转移 是 吗
您好 兴 为您服务   我 要么 再 帮 您 转 一下 试试看 没有 人工 啊 请 不要 挂机 那 解决问题 我 将 电话 转 专席 处理 请稍等
您好 很 高兴 为您服务   是 你 有 别的 号码 新装 宽带 吗 还是
您好 高兴 服务   你好
您好 很 高兴 为您服务   二四
嗯 嗯 您好 请 讲   您 哪个 号码 办理 的 宽带
您好 很 高兴 为您服务   服务 密码 是 发 不 过来 的 是 要 您 自己 重置 的 需要 您 自己 发送 幺 零六 三到 幺 零零 八六 可以 重置 密码
您好 很 高兴 服务   互打 免费 的 先生
您好 很 高兴 为您服务   我 帮 您 看 一下 稍 等
您好 很 高兴 为您服务   公司 开头
您好 很 高兴 服务 小姐 我 现在 就是 打电话 跟 你们 反映 的 情况 就是   打电话 给 我 然后 就是说 市话 把 我 的 那个 套餐 改掉 了 是 吧 嗯 然后 你们 那个 客服 说 就是 让 我 叫 我 手机 保持 开机 然后 你们 会 电话 联系 我 给 我 这个 处理 支付 结果 然后 就是 我 现在 就是 我 我 想想 接上 也 不对劲 啊 你们 为什么 把 我们 的 那个 手机号码 我们 的 资料 给 那些 不相干 的 营业厅 然后 打电话 给 我们 那 如果 我 想 改 业务 应该 是 你们 移动 打电 幺 零零 八六 打电话 过来 或者 是 发短信 过来 为什么 为什么 会 让 那个 人家 的 陌生 的 手机号 打电话 给 我们 然后 说 是 我 把 我 套餐 改成 那个 号 为 您 解决问题 我 将 您 的 电话 转 专席 处理
您好 请 讲 可以 的 您好   一个 什么 需要 办理 什么 业务
的 您好 我 是 预处理 专席 代表 很 高兴 为您服务   您 是 去 哪个 营业厅 办 的
您好 很 高兴 为您服务   呃 对 这边 提示 帮 您 看看 能 不能 帮 您 恢复 噢 请稍等
您好 很 高兴 为您服务   地址 写错 了
您好 很 高兴 为您服务   啊 先生 很 抱歉 因为 今天 一号 吗 打电话 比较 多 不好意思
您好 很 高兴 为您服务   你们 投诉 就是 没有 人 吗 现在 有 几个 人 在 排队 您 是 投诉 哪 方面 关于 宽带 还是 什么
您好 很 高兴 为您服务   喂 您好 我 听 得到 您 请 说
高兴 为您服务   恩
您好 很 高兴 服务   嗯
您好 很 高兴 为您服务   六月 十号 申请 的 宽带 是 吗
您好 我 是 预处理 专席 代表 很 高兴 为您服务 您好   呃 这样 的 先生 如果说 有 什么 给 您 带来 不便 了 非常 抱歉 我 这边 看 了 一下 您 是不是 针对 您 之前 反映 这个 问题 一直 没 给 您 回复 对 吗
您 这个 号码 我 没 看到 有 办理 宽带 业务 啊 您 看 一下 您 是 要 装 宽带 是 吧   您 什么 地方 装 呢 帮 您 先 看 一下 有没有 资源
很 高兴 为您服务   呃 您 是 说 是 什么 东西 转过 去 啊
您好 请 讲   爱 疯 手机 是 吧 那 帮 您 转入 专席
您好 很 高兴 为您服务   哦 好 我 看 一下 啊 请稍等 是 这个 手机号码 之前 来电 反映 的 嘛 现在
是 可以 正常 您 是 转过 去 没人接 对 吧   到 幺 零零 八六 就 可以 退掉 了 女士
您好 很 高兴 为您服务   对 上次 反映 的 流量 问题 您 是 说 对 七月份 的话 流量 超出 处好 的 女士 我 这边 的话 帮 您 看 了 一下 我 这边 的话 显示 这张 单子 的话 还 在 我们 后台 的 工作人员 调整 处理 当中 麻烦 您 稍后 耐心 等待 一下 我 帮 您 加急 进行 催促
您好 很 高兴 为您服务   直接 拨 幺 零零 八六 然后 如果 是 转 人工 台 的话 呢 今晚 首先 语音 之后 按 零
您好 请 讲   请问 什么 问题 先生
您好 很 高兴 为您服务   嗯
您好 很 高兴 为您服务   稍等一下 确认 帮 您 查询 一下 地址 是 哪里 的
确定 帮 我订 了 嘛   您 是 有 预约 宽带 的 吗
高兴 为您服务 您好   哪个 手机号码 办 的 宽带
您好 很 高兴 为您服务 喂 你好 刚才 我   呃 我 看 一下 请稍等 是 呃 投诉 您 这边 信号 问题 是 吗
好 很 高兴 为您服务   呃 当时 就是说 你 这个 手机号码 预约 的 移动 宽带 对 吧 小姐
您好 很 高兴 为您服务   啊 是 您 来电 号码 有 预约 安装 宽带 的 是 说 是 不 一直 没 来 安装 是 这个 意思 吗
很 高兴 为您服务   嗯 嗯 帮 您 转到 我们 的 专席 去 给 您 问 一下 好 吧
