一个 您好 请问 您 稍后 宽带 办理 还是 咨询 是 是 办理 我 做 的 是 幺 八八 的 套餐 原来 有 送 宽带 的 是 吗 哦   您 要 办理 的 那个 地址 哪里 报 一下
您好 有 什么 可以 帮 您   哎 你 帮 我查 一下 我 这个 五十八 元 套餐 那个 语音 通话 时长 是 四百 分钟 呢 还是 一百 分钟 啊 四百 那 为什么 我 短信 收到 身份证 语音 通话 一百 分钟 已经 使用 完
您好 请 讲   那个 我 这个 手机号码 有没有 流量
您好 请 讲   嗯 请问 我们 我 刚才 看到 你们 里面 那个 流量 套餐 里面 有个 一百三十 发短信 无限 流量 是 吧
您好 很 高兴 为您服务   我 想 我 想 问 一下 那个 省内 闲时 流量 是 什么 意思 吗
嗯 你好 请 说 嗯   我 问 一下 那个 那个 流量 流量 不够 要 不 我 流量 怎么办
您好 很 高兴 为您服务   你好 帮 我 看 一下 我本机 九十九 的 那个 呃 家庭 套餐 的 那个 包含 一些 什么 内容 的
嗯   费用
你好 您好 很 高兴 为您服务 哎 你好 恩 你好   诶 我 我 想 问 一下 我 我 那个 里面 有个 什么 彩铃 的 是 什么
早上好 很 高兴 为您服务 诶 你好 您好   哎
你好 诶 我 这个 有没有 那种 是 流量 多一点 的 我 这个 关 这 意思 一 三包 什么 流量 这一 g 有没有 就是 流量 这 一块 多一点 的   流量 流量 我们 现在 确实 有个 活动 有个 二十元 两个 g 的 从 十一月 一号 生效 的 有 需要 吗
啊 您好 很 高兴 为您服务   你好 帮 我查 一下 那个 呃 国内 流量 最 最低 优惠 的 是 多少
你好   喂 你好 诶 有 什么 像 什么 宽带 的 业务 啊 宽带 的 套餐 那个 流量 的 套餐
嗯 您好 很 高兴 为您服务   啊 你好
十八元 的 您好 您 说   诶 你好 因为 我 刚才 在 那个 移动 营业厅 里面 看到 不是 你们 有 十五块 钱 一 g 的 那个 月租 的 流量 吗 为什么 我订 不了 呀
您好 请 讲   喂 我 想 问 一下 那个 都 手机 套餐 最 最低 的 有 多少 钱 呐
您好 请 讲   诶 诶 我 想 嗯 之类 的 我 想 换 那个 别的 套餐 有没有 什么 就是 流量 比较 多 的
您好 请 讲   诶 你好
再见 为 您   服务
您好 请 讲   诶 你好 你好 现在 有没有 什么 套餐 就是说 省内 拨打 的 那个 什么 套餐 呐
不要   您好 高兴 为您服务
您好 请 说   哎 你好 我 想 问 一下 这个 装 宽带 是 在 我 现在 是 在 那个 三号 网 那边
您好 问   你好 那个 问 一下 那个 最低 套餐 是 是 多少 了
您好 喂   嗯 呃 帮 我 查询 一下 我本
您好 很 高兴 为您服务   诶 你好 那个 请问 我 呃 就是 那个 腾讯 视频 通 的 那个 任 我 看 了 那个 视频 流量 噢 它 是 可以 那个 存在 手机 里面 下载 下来 这 手机 里面 看 吗
哦 哦   你好
您好 请 讲   问 一下 我本机 的 那个 套餐 在 外省 的话 可以 用 多少 g 的
那 行 您好   喂 你好 就是 我想 问下 一条 那 最低 的 套餐 是 八块钱 是 吧
啊 你好 请 说   你好 诶 我 想 问 一下 你们 现在 下个月 还有 没有 那 款 八十八 元 的 那个
对 您好   喂 你好 嗯 我 这 张卡 那个 每个 月 有 多少 流量
嗯 您好 很 高兴 为您服务 呃 我 我 想 问 一下 就 本机 这个 的话 行开 全球通 的话 现在 有 什么 套餐 您 目前 就是 全球通 的 目前 是 全球通 了 现在 哪个 价位 的 套餐 五十八 的 噢 五十八 的 嗯 行 好好 还有 什么 可以 帮 您 啊 暂时 没 了 恩 好 的 祝您 生
嗯   您好 很 高兴 为您服务
嗯 你好 请 说   喂
您好 请 讲   但 喂 你好 请问 一下 移动 的 最低 月租 是 多少
哎 好 请 说   哎 你好 我 现在 我 现在 我 想 问 一下 我 现在 的 套餐 不是 是 四十八 块钱 的 套餐 嘛 然后 里面 只有 五百 兆 的 流量 吗
您好   呃 您好 我 想 问 一下 我 想 去 那个 怕 老 旅行 然后 那个 那边 我要 开通 什么 吗
您好 有 什么 可以 帮助 您   哎 你好 我想查 一下 你们 这边 全球通 一百二十八 套餐 没有 呃 流量 有超 多一些 的
您好 您 请 说   呃 您好 我 请问 一下 我 这个 手机 里面 我 本来 只有 一 百兆 的 流量 跟 一百 分钟 的 电话费 然后 发现 你们 经常 发 信息 过来 我 有 省内 嗯 嗯
您好 请 说   哎 你好 就是 我 想 咨询 一下 就是 我 现在 用 的 这个 套餐 里面 有 一个 那个 服务区 流量 那个 写 的 是 什么 流量
再见 您好 很 高兴 为您服务 喂 哎 你好 我 想 问 一下 我 现在 的 套餐 那 是 什么 情况 啊   十八 飞享 套餐 全球通 的 包含 一百 分钟 通话 一 百兆 流量 和 来电显示
好   你好 请 讲
宽带 早上好   哎 我 想 问 一下 我 这个 套餐 是 里面 的话 分钟 是 多少
您好 你好   哎 你好
看看   嗯
您好 请 说   诶 我 想 问 你 一下 嘞 嗯 我 原来 流量 还够用 有 这个 月 流量 不够 用 然后 有没有 我 是 想 说 有没有 那种 什么 什么 流量 比较 是 会 的 那 样子 呢
您好 很 高兴 您 服务   喂
哼 您好 请 讲 哎 你好 我 想 说 我 这 流量 用 完 现在 怎么 处理   您 可以 再订 加油 包 的 或者 多一点 的 流量 套餐 都 可以
您好 请 说   你好 请问 现在 是不是 有 什么 新 的 呃 套餐 叫 什么 嗯 嗯
您好 很 高兴 为您服务   呃 我 想 咨询 一下 我 就是 有没有 那种 两百 要元 上网 的 卡
怎么样   您好 请 讲 哎 你好 我 那个 那个 套餐 里面 有 那个 五块 的 什么 动漫 什么 包月 那个 给 我 看 一下 那 是 什么 好 帮 您 看 一下 噢 稍 等 有 个 手机 动漫 这个 帮 您 关掉 吧 噢 这个 要 关掉 对恩好 帮 您 关好 了 噢 噢 好好
您好 请 讲   呃 喂 您好 我 想 请问 一下 为什么 这个 月 没有 省内 流量 啊 本来 流量 不是 套餐 里面 的 吗
嗯 哼   您好 很 高兴 为您服务
您好 很 高兴 为您服务   呃 喂 你好 那个 我 想 问 一下 我 现在 就是 套餐 内 就是 三十八 那 套餐 内 包含 什么 有 什么 东西 啊
您好 请 说   存 话费 嗯 嗯 再 刚才 不是 跟 跟 移动 有个 打电话 过来 了 嘛 哈 他 说 有 一个 怎么 八十八 元 的 套餐 他 说 呃 有 那个 通话 通话 那个 时间 有 一千 一千 了 一千二百 分钟 吗 那个 流量 有 五千 几
您好 请 说   最近 有没有 那个 断网 的 流量 比较 优惠 的
什么 费用 您好 什么 帮 您   喂 您好 这 咱们 这 有没有 套餐 流量 多 的 呀
您好 请 讲   哎 你好 我 想 问 一下 那个 移动 这边 是不是 有 那个 一个月 只要 八块钱 的 那个 套餐 呢
您好 请 讲   诶 你好 那个 我 想 咨询 一下 噢 你们 那个 神州行 嗯 十八元 的 那个 家园 卡是 在 全国 各地 内 打 全国 各地 的 电话 都 是 两百 分钟 是 吧
您好   喂 你好 我 想 问 一下 我 这个 不是 每个 月 的 套餐 是不是 只有 九块 钱 然后 打出 有没有 一百 分钟 打 噢
您好 很 高兴 为您服务   诶 我 想 问 你 一下 就是 刚才 我 说 呃 我 有 接到 一个 电话 他 是 说 叫 我 那个 改 那个 套餐 他 说 是 飞享 三十八 元 的 那种 套餐 二零一七版 他 说 那里 有 一点 五 g 的 流量 还有 三 三百 分钟 的话 嗯 那个 通话 那个 是不是 真的 嘞
中午 好   喂 你好 哎 原先 有个 什么 叫 流量 加油 包 的 现在 怎么 不 没有 了 吗
您好 您 说   哎 呦 我 可以 问 一下 我 这个 手机号 的 那个 套餐 有 那个 无线 流量 吗
你好 请 讲   哦 嗯 我 的 流量 用 完 了 我 回 我 想 加一点 是 有 套餐 的 嘞
您好 请 说   喂 您好 我 我 这个 号码 的 这个 月 送 的 分钟 数用 完 了 现在 怎么办 啊
你好   诶 你好 我想查 一下 我 这个 套餐 有 流量 吗
好   喂
您好 请 讲   诶 问 一下 现在 是不是 流量 套餐 有没有 不 一样 的
您好 请 讲   哎 你好 你好 我 想 问 一下 你们 是不是 有 一款 三 十八块 的 套餐 呢
您好 请 讲   哎 你好 我 问 一下 现在 有 什么 什么 什么 卡 比较 优惠 的
您好 您 说   哎 你好 我 想 问 一下 我 现在 这个 这个 里面 这个 里面 的话 那个 有 一个 四 g 四 g 的 一个 流量 包 我 这个 流量 包 的话 应该 是 国内 的 流量 包 还有 省内 的 流量 包 您 稍等一下 帮 您 查询 一下 诶 好 的 麻烦 您
您好 请 讲 哎 诶 那个 移动 有 一天 一块钱 的 那个 诶 那个 一一 g 的 流量 是 吧 它 那 是 新 买 一个 号码 卡要 跟 主号 绑定 付费 关系   要 新 买个 号码 卡
噢 你好 请 说   诶 你好 我 是 那种 流量 不够 用要 怎么办 呢
您好 请 说   诶 你好 诶 我 是 想 问 一下 是不是 你们 这边 可以 问 那个 什么 交通 违法 的
诶 请 说 嗯   嗯 嗯 你好 我 问 一下 那个 呃 现在 有没有 什么 那 那种 的 流量 流量 套餐
您好 什么 可以 帮 您   诶 你好 诶 现在 有 什么 流量
早上好 请 讲 诶 你好 我 想 问 一下 那个 移动 现在 有 一个 那个 无限 流量 的 那个 套餐 是 吧 有 一百三十八 的 本地 流量 不 限量 它 那个 是 说   手机 流量 用 当地 套餐 呃 呃 二 g 的 流量 是 吗 就 先用 四 g 的 是不是 还是 说 都 是 数据 了
您好 请 说   查 了 一下 我 想 把 套餐 得 等 下 是 次 月 生效
你好 请 说   啊 您好 我 想 请问 一下 就是 这个 这个 手机号 现在 有 三百 分钟 的 那个 语音 语音 的 那个 是 怎么回事 噢 就是 现 那 那 不是 说 拨打 电话 就 可以 免费 使用 的 吗 为什么 每次 打电话 都 用 不到 那个 呢
再见   你好 请 讲
用 了 七十五 了 很 高兴 为您服务   哎 你好 我 现在 想 问 一下 就是 移动 就是 家庭 宽带 有 什么 套餐
您 很 高兴 为您服务   我 想 问 一下 我 那个 九元 的 爱奇艺 那个 套餐 还是 多少 流量
您好 您 说 请 讲 请 说   喂 你好
诶 你好   你好 我 想 问 什么 可以 帮到 您 的 呃 我 想 问 一下 我 这 张卡 他 有 送 的 那个 视频 三 g 流量 是 爱奇艺 的 吗
您好 高兴 为您服务   呃 我 想 问 一下 有 没 十块钱 的 流量 套餐
您好   你好 你好 那个 澳门 那个 什么 套餐 啊
您好 请问 什么 可以 帮助 您   呃 我 我 想 问 一下 我 如果 要 改 这个 套餐 的话 我 现在 套餐 是 一 百兆 流量 的 是 吗
您 你好   喂 你好 我 想 请问 一下 我 那个 手机短信 里面 收到 什么 统付 流量 还 剩余 七十 兆 是 什么 意思 啊
嗯 您好   喂
您好 请 讲   喂 你好
您好 请 说   啊 你好 呃 请问 一下 那个 现在 那个 上网 套餐 有没有 什么 比较 优惠 的
您好 请 说   诶 你好 我 想 问 一下
您好 请 说   哎 你好 我 收到 一条 是 十七号 他 说 我 什么 呃 升级 什么 三星 客户 这 什么 意思 啊 有 有 什么 优惠活动 吗 诶 姓名
你好 请 讲   喂 你好 我 想 问 一下 我 的 套餐 里面 有 一个 微信 烟 什么 时候 选包 二十五 打电话 大概 是 什么 东西
您好 请 讲 诶 你好   诶 请问 一下 那个 流量 国内 流量 跟 跟 那个 什么 省内 流量 是 什么 意思
您好   诶 嗯 嗯 喂 您好
恩 您好 请 说   哎 你好 诶 可以 帮 我 把 下个月 呃 在 高 一千 与 那个 五 十几块 那个 套餐 嘛 就是 两 g 的 全国 流量 的
您好 请 讲   喂 你好
你好 请 说   诶 你好 额 我 刚才 到 密码 他 说 他 说 我 这个 号码 可以 变更 成 三十八 元 套餐 然后 送 三百 分钟 的 那种 送 送 一 百兆 国内 流量 然后 一千四百 兆 省内 流量 这个 是 真的 还是 假 的
您好 您 说   喂
嗯   嗯
你好   噢 你好 我 想 问 一下 我本机 的 这个 号码 的
您好 很 高兴 为您服务   哎 你好 我 的 流量 用 完 了 现在 怎么办 呢 要 加加 什么 流量 包 还是 什么
很 高兴 为您服务   喂 你好
您好 请 说   喂 你好 诶 帮 我查 一下 三零四 g 流量 什么 套餐 是不是 啊
您好 请 讲   你好 帮 我查 一下 我 那个 多少 流量 的 那个 套餐 就是 另外 的 套餐 就是 多 买 的 套餐 是 买 的 什么 套餐
您好 请 说   喂 你好
您好 请 说   诶 问 一下 我 这个 手机号 有没有 语音 套餐 可以 订
卡 哼   很 高兴 为您服务
您好   哎 你好 请 帮 我查 一下 我 那个 三五分钟
宽带 您好 很 高兴 为您服务   喂 你好 呃 我 想 问 一下 最近 有没有 什么 比较 优惠 的 那个 流量 套餐
您好 请 讲   对 诶 我 这个 手机号 是 那个 每个 月 是 赠送给 几分钟 那 你 帮 我查 一下
你好 很 高兴 服务   噢 现在 是不是 有 那个 多少 话费 七十 元 的 套餐 呢
您好 请 讲   我 想 问 一下 现在 是不是 有个 套餐 是 三十八 的 然后 有 通话 分钟 还有 流量 一 g 什么 的
您好 请 讲   诶 你好 我办 你 现在 现在 因为 我 以前 是 老 套餐 我 想 问 一下 就是说 现在 我 这种 消费 的 有没有 什么 新 套餐 呐
您好 请 讲   呃 就是 现在 有没有 那个 五十元 套餐 呢
你好 请 说 对   喂 然后 能开 呃 流量 包 啊 哎
您好 请 讲   诶 你好 我 问 一下 就是说 家庭网 就是说 一个月 三块 钱 它 是 几个 人 你 能 能 联系 几个 号码 呀
您好 请 说   喂 麻烦 你 问 一下 现在 那个 全球通 八十八 套餐 是 什么 什么样 的
嗯   您好 很 高兴 为您服务
嗯 您好 请 说   诶 你们 有个 新秋 的 一个 什么 飞享 套餐 是 什么
很 高兴 为您服务   诶 你 帮 我查 一下 我 这个 套餐 就是 有 多少 流量
您好 请 说   刚才 给我发 的 这个 哎 你好 美女
幺 您好 请 讲   喂 你好 请问 下 现在 有 什么 流量 包 呃 不要 那个 了
您好 请 讲   嗯
您好 很 高兴 为您服务   喂 你好
您好 请 说   啊
您好 有 什么 可以 帮 您 呃   噢 你好 就是 我 想 问 一下 咱们 移动 有没有 那种 无限 流量 卡 那个 业务
高兴 您 服务   呃 喂
嗯   喂 您好 很 高兴 为您服务 您好 很 高兴 为您服务 诶 您好 你 说
您好 请 讲   哎 你好 我 想 问 一下 就是 嗯 那个 他们 不是 有 一种 八十八 十八元 八十八 元 每个 月 然后 流量 是 无限 的 然后 通话 是 一百二十块 一千两百 分钟 来 是 的
下午 好   诶 你好 你好 我 想 问 一下 那个 不是 有 那个 一天 一 g 的 那个 流量 套餐 呢
您好 请 讲   诶 我 想 问 一下 它 现在 那个 呃 有没有 什么 套餐 就是说 流量 比较 多 的
您好 请 说   嗯 这边 有没有 十块 嗯 要 优惠 的 流量 套餐
嗯   诶 你好 您好 请问 什么 可以 帮到 您 呢 再见
你好 您好 请 讲   喂 请问 一下 我 这个 套餐 的话 一个月 流量 收 通话费 是 多少
您好 很 高兴 为您服务   那 我 想 问 一下 那个 流量 那个 国内 流量 跟 省内 流量 什么 区别
您好 很 高兴 为您服务   呃 现在 那个 短信 有 什么 套餐 的 呀
您好 请 讲   你好 请问 一下 我 这 里面 应该 是 什么 流量 那个 ip 是 怎么弄 啊
帮助 您 很 高兴 为您服务   啊 我 想 问 一下 现在 有 什么 套餐 吗 那个 流量 套餐
您好 请 说 呃 喂 你好   呃 现在 还有 八元 的 那个 套餐 嘛
您好 很 高兴 为您服务 您好   诶 你好 我 想 问 一下 我 的 店铺 里 看到 幺 三九 的 那 什么 和 家庭 套餐 是 怎么样 啊 嗯
您好 很 高兴 为您服务   我 问 一下
您好 请 说   诶 你好
您好 很 高兴 为您服务 啊   我 现在 想 问 一下 有没有 便宜 的 流量 啊 呃 本地 的 只要 中国 的 就要 那
您好 很 高兴 为您服务   嗯 有 那个 无限 流量 那 套餐 吗
嗯 您好 请 讲   哎 你好
您好 请 说   呃 您好 那个 有 什么 就是 适合 就是 国内 流量 包 推荐 给 我 吗
您好 请 说   哎 你好 我 想 问 一下 就是 我 现在 这个 手机 套餐 嘛 好像 恩 刚才 好像 流量 太少 了 你 帮 我 看看 有没有 其他 更 适合 我 的 套餐
你好 请 说   哎 你好 我 想 问 一下 就是 现在 那个 因为 我 流量 包 已经 用 完 了 那 我 想 问 一下 现在 有 比较 什么 呃 比较 好 的 比较 优惠 的 那个 流量 包 吗
小时 我 看   您好 请 讲
啊 您好 高兴 您 服务   哎 你好 帮 我查 一下 我 的 套餐 是 现在 是 用 的 哪个 档次 了 好 吧
您好 请 讲   你好 我 想 我 想 问 一下 我 这个 手机
您好 请 请 讲   诶 我 想 问 一下 那个 发 那个 短短 信 那个 什么 三星 客户 怎么 延长 一年 什么 意思 啊
您好 请 讲   诶 你好 帮 我查 一下 噢 就是 呃 我 这个 流量 的话 有 国内 的 吗 还是 只有 省内 的
哎   你好 哎 你好 你 帮 我 看 下 这个 有 什么 是 包套 这个 套餐 不够 用 了 嘛 有 什么 便宜 的 套餐 呐
早上好 您 说   诶 你 请问 一下 我 这个 套餐 我 手机卡 这个 套餐 的话 是 每天 有 五百 兆 还是 他 就 一共 只有 五百 兆 呀
您好 请 说   啊 那个 嗯 我 想 了解 一下 就是 我 现在 目前 的 这个 套餐 卡 里面 那个 流量 这块 是 多少
您好 很 高兴 为您服务   呃 喂 你好 请问 一下 我 想 知道 一下 我 这 手机号码 的 流量 套餐 里面 的 流量 是 有 一 哪 部分 出厂
您好 请 讲 喂 你好   诶 我 问 一下 我 那个 就是 那个 学 小孩子 的 学校 要 开通 那个 什么
您好 请 讲   你 帮 我查 一下 这个 流量 是 多少 啊
你好 很 高兴 为您服务   喂 你好 我 这个 号码 要 在 ok 那个 港澳 那个 那个 流量 的 时候
你好 请 讲   哎 你好 我 我 我 下个月 不是 开 那个 五十八 套餐 嘛 我 想 问 一下 感觉 那个 套餐 可能 还是 不够 用
您好 很 高兴 为您服务   诶 那个 八十八 元 的 套餐 现在 流量 多 的 是 哪 一种 的
你好   诶 你好 我 想 跟 你 咨询 一下 噢 现在 有没有 出 一个 什么 二零一七版 的 金飞享 套餐
您好 请 说   诶 你好 那个 就 我 这 张卡 呢 带 一个 g 的 流量 吗
哎   呃 您好 请 说
祝您   噢
嗯 您好 请 讲   诶 我 手机 流量 用 完 了 怎么办 啊
下午 好   诶 你好 我 想 问 一下 就是 那个 通话 分钟 数 的话 有没有 什么 呃 加油 包 之类 的 呀
你好 请 说 您好   诶 你好 诶 我 问 一下 就是 现在 就是说 因为 很多 东西 都 取消 省内 就是 省内 省外 的 那个 那个 那个 那个 就是 漫游费 了 嘛 然后 我 就 说 就是 我 那个 原来 办 的 时候 全球通 八十八 的 套餐 现在 有没有 什么 更好 的 套餐 订 一个 业务 下 就 比较 低 了 然后 这 张卡 我 不是 作为 主卡 就是 平常 办 的 全国 打电话 用
您好 请 讲   喂 你好 我 问 一下 你 现在 不是 有 一款 那个 三十八 套餐 升级 了 吗
您好 请 讲   诶 你好 我 想 问 一下 我 这个 我 现在 在 福建 了 有 省内 流量 是 吗
你好 请 说   你好 我 想 问 一下 是 三十八 我 这个 三十八 套餐 里面 的 一点一点 五 g 的 这个 流量 怎么 我们 才 五百 的
您好 很 高兴 为您服务 我 想 问 一下 这个 月 有没有 什么 优惠 的 什么 流量 之类 的   我 看 一下 您 稍等一下 流量 您 现在 用 的 是 五十八 您 只要 开 这个 月 吗 还是 每个 月 都 要
你好 请 讲   哎 你好 就是 你们 现在 有 一个 套餐 是 新飞 享 三十八 套餐 二零一七版 就 在 做 吗
您好 请 讲   你好
您好 请 讲 嗯 那个   嗯 请问 一下 我 现在 这个 流量 套餐 是 什么样 的
您好 请 说   诶 我 问 一下 如果 我 在 外地 的话 流量 的话 有没有 什么 套餐
您好 请 说 您好 请 说 哎   诶 我 想 问 一下 我们 现在 那个 我们 现在 套餐 都 有 什么 套餐 使用
您好 很 高兴 为您服务 您好   你好 我 想 请问 一下 就是 现在 有 什么 那个 流量 包 啊
您好 请 讲   你好 我 想 问 一下 我 刚才 收到 取消 了 什么 幺 零零 八六挂 来说 我 十一月 一号 就 自动 转移 十八 一个月 套餐 是 什么 意思 啊
您好 很 高兴 为您服务   诶 你好 小姐 我 想 咨询 一下 我 想 买 一个 流量 包 就是 这个 月 用 完 了 之 自动 取消 的 那种 噢 有 什么样 的 优惠 的 套餐
嗯 哼 您好 很 高兴 为您服务   你好 我 想 问 一下 那个 移动 的 套餐 现在 流量 的 有 有 多少 套餐 啊
请 讲 您好 请 讲   噢 喂 您好 诶 我 想 咨询 一下 就是 有没有 什么 新出 的 那个 套餐
嗯 嗯 你好 请 讲   幺 五 幺 换 帮 我 办 的 套餐
你好   哎 我 请问 一下 本机 是 那种 是 主卡 好像 是 一元 无 百个 g 然后 升级 到 一元 一个 g 嘛
好 的 您好 请 说   哎 你好 问 一下 有没有 什么 流量 套餐 啊
您好 很 高兴 为您服务   噢 喂 那个 我 想 请问 一下 我 那个 流量 用 的 很快 就 说 有没有 开 什么 流量 更 划算 的
你好 早上好   不 客气 诶 你好 还有 什么 有没有 什么 那个 套餐 就是说 流量 比较 多 的
您好 高兴 为您服务   诶 问 一下 你 这个 幺 八八 套餐 啊 里面 的 流量 里面 的 流量 现在 是 多少
您好 请 讲 有 什么 可以 帮 您   诶 你好 那个 现在 那个 流量 套餐 有 什么 套餐 呀
好 的 好 喂 你好   啊 您 请 说
宽带 您好 您 请 说   噢 你好 那个 我 这个 手机 上 那个 套餐 你 给 我 介绍 一下 吧 这个 现在 呃 流量 是 欠费 了 就 这个 有用 流量 的 那种
