一个 您好 请问 您 稍后 宽带 办理 还是 咨询 是 是 办理 我 做 的 是 幺 八八 的 套餐 原来 有 送 宽带 的 是 吗 哦   您 要 办理 的 那个 地址 哪里 报 一下   请问 好好 静安区 金 山路   十七号 省军区 第六 感觉 吗 稍等一下 七
您好 请 说 喂 你好   就是 那个 我 我 我 这 张卡 是不是 有 三百 分钟 那个 话费   现在 有 三百 分钟   诶 三百 分钟 那 那 我 就 一年 噢 你们 还有 两百多 分钟 我 话费 怎么 会 被扣 走
您好 请 讲   诶 你好 帮 我查 一下 我 这个 套餐 里面 是 有 多少 那个 省外 的 但是 通话 还有 那个 流量   呃 您 现在 这个 五十八 套餐 里面 一百 分钟 五百 兆 流量 都 是 全国 通用 的   一百 分钟 还有 多少
您好 请 讲 有   哎 你好 问 一下 就是 开通 两城 一家 的话 它 是 呃 哪里 不 一样 啊   不用 开 两城 一家 因为 现在 已经 取消 全国 漫游费 了   噢 就 不用 开通 就是 反正 我 到 外省 的话 也 是 一样 的 是 吗
啊 你好 请 讲   嗯 我 昨天 收到 短信 这个 这个 移动 我 这个 移动 数据 好像 每个 月 是 六百 兆 我 这 套餐 那 我 前面 有 看到 短信 反正 我 都 到 一 g 多 了 那 我 这个 这个 到底 是 我 这个 这个 套餐 的话 这个 移动 数据 的 免费 流量 是 多少 一个月   套餐 自带 只有 六百 兆 流量   那 我 前 两个 月 不是 都 有 不是 上个月 不是 都 通知 我 一 g 多 了 那 这个 现在
早上好 很 高兴 为您服务   呃 您好 我 想 问 一下 现在 有 什么 就是 比较 直 划算 的 那种 流量 包 啊   流量 包 那 您 这边 的话 今天 开 的话 您 可以 按天 折算 开 原价 是 三十元 那 今天 开 的话 是 赠送 您 大概 六百多 兆 就 收 您 十几块 钱 也 是 大概 要 多少 多少 兆 流量 的 是 这个 月 用 还是 说 接下来 每个 月 都 要   这个 月
早上好   喂   有 什么 可以 帮 您   啊 我 想 问 一下 嗯 那个 在 省外 用 流量 有 什么 可以 可以 上面
很 高兴 为您服务   诶 你好   恩 你好   呃 我 问 一下 这 张卡 的 套餐 是不是 无限 流量 的 在 四倍
您好 请 讲   诶 你好 帮 我 看 一下 那个 语音 通话 跟 国内 主叫 通话 有 什么 区别 吗   语音 通话 跟 国内 主叫 通话 没 区别 一样 的 呀 怎么 了 吗   那 为什么 我 八十八 的 套餐 新飞 享生 有 两个 呀
嗯 哼   您好 您 请 讲   哎 你好 诶 我 我 想 问 一下 我 这个 套餐 有没有 你们 这个 移动 有没有 办 什么 无限 流量 的 这个 套餐   无限 流量 它 只有 校园 服务区 才 有 了 向阳 您 校园 套餐 有个 二十块 钱 的
下午 好 请 讲   诶 喂 您好 我 想 问 一下 我 不是 办 那个 一百三十八 的 那个 套餐 就是 无线 的 那个 流量 吗   恩   他 干嘛 老师 都 说 我 怎么 今天 又 用 了 多少 油 可能 要 收费 怎么 怎么 这 什么 意思 啊
你好 请 讲   呃 呢 好像 有 什么 流量 有 有没有 比较 优惠 的   流量 优惠 的 呃 是 有 有 一个 是 流量 做 活动 的 有 六十元 有 六个 g 的 流量 您 这 已经 开过 了   有 开过 是 吧
您好   诶 你好 你 帮 我 查下 这个 手机号码 是 用 这个 套餐 的   嗯 二十八 的 一个 飞享 套餐 每月 一百 分钟 三百 兆 流量 然后 下个月 转 了 一个 三十八 的 新飞 享 套餐   哎 三十八 是 多少 流量
你好   呃 我 这个 号 里面 的 套餐 有 流量 吗   请 稍等一下 这个 月 使用 的 家园 卡 本身 这个 家园 卡 套餐 里头 没有 流量 那 下个月 开始 我 看到 您 改为 三十 八块钱 的 套餐 了 下个月 开始 呢 您 每个 月 就 有 一点 五个 g 的 流量 了   噢 下个月 开始 啊
哎 您好 请 讲   哎 你好 我 想 请问 一下 我们 移动 是不是 有 一款 那个 八八 套餐 一个月 五个 g 的 那个 流量   嗯 是 啊 有 这个 套餐 的   有 是 吧
您好 请 说   那 我 想 问 一下 我 这个 呃 飞享 五十八 元 套餐 它 的 国内 流量 是 多少   噢 这个 国内 流量 它 就 只有 五百 兆 的   超出 的话 呢
您好 请 说   呃 您好 我 就是 想 那个 流量 的 套餐   您 是 要 添加 流量 套餐 是 吗   因为 我 这个 月 那个 流量 用 完 了 然后 超过 不是 很贵 吗
嗯 嗯 嗯 嗯 嗯 您好   喂 你好 呃 我 问 一下 我 现在 开 那个 流量 包要 开 哪 一种 比较 划算 来   呃 现在 到 月底 了 就 只 剩 几天 啊 您 大概 要 多少 兆   如果 开开 一个 一个 g 要 多少 钱
您好 高兴 为您服务   诶 你好 我 想 再 加点 流量 然后 哎 什么样 的 比较 合适   加点 流量   呃 就 我 流量 用 完 了 吗
对 您好 请 讲   诶 你好 我 想 问 一下 噢 就是 办 了 香港 的话 流量 是 有 几天 的 套餐   您 到 香港 大 多久 呢   嗯 嗯 两三天 吧
您好 请 讲   有没有 就 因为 我 现在 流量 没 了 嘛 有没有 就 用 一个月 的 流量   电话 对 十块钱 有 一 百兆 的 还有 三十块 钱 呃 您 三十块 的 已经 开过 了 那 现在 就 开 十块钱 一 百兆 的   一 百兆 一 百兆 那 不能 没 多少
需要   嗯 嗯   您好 请 讲   你好 这个 这个 套餐 现在 就 就是 八十八 块
嗯   您好 请 讲   一号 呃 我 这个 手机 每个 月 流量 好像 比较 多 我 就 想 最近 用 就是 呃 有没有 比较 划算 的 那个 流量 包 的 呃 套餐 有没有   像 您 这 张卡 对象 订 了 一个 三十元 五百 兆 这个 可以 考虑 取消 然后 现在 比较 流 呃 比较 现在 比较 高 的 就是 那个 六十元 六个 g 的 就 您 之前 订购 一个 六十元 十二个 g 的 然后 如果 你 用 完 了 话 您 可以 再订 一个 这个 订 六十元 六个 g 了 因为 它 这个 比 你 那个 三十元 五百 兆 划算 因为 什 呃 六十元 六个 g 平均 过去 十元 一个 g 了 那 你 再 去 订 那个 三十元 五百 兆 之前 比较 贵 了 现在 比 比较 低 了 您 的 三十元 五百 兆 可以 考虑 取消 掉 然后 接着 订是 六个 g
你好   来电 呢   哎   嗯 请 讲 现在 有 什么 套餐 什么 加油 包是 比较 优惠 的 吗
您好 很 高兴 为您服务 哎 你   哎 你好   你好   想 问 一下 我 这个 手机 的话 可以 办 还有 什么 比较 办 什么 那个 套餐 比较 划算 一点
哎 您好 请 讲   喂 你好 你好 我 这个 手机 一个 锦兴 集团 了 一个 什么 集团 业务 的 这个 是 什么 是 什么 东西 啊 我 看 一下 啊   我 看 一下 您 这边 的话 是 一个 叫做 集团 网 每个 月 三块 钱 有 一个 三百 分钟 拨打 集团 网 的 电话 免费   噢 那个 你 要 不 帮 我 取消 吧 我 都 不 在 那边 呢
很 高兴 为您服务 哎   请问 一下 你们 有 噢 流量 多 话费 少 的 那种 套餐 啊   比如说 您 这 张卡 现在 目前 是 呃 要 流量 多一些 的 是 吧   啊
嗯 嗯   您好 请 说   喂 您好 美女 我 想 请问 一下 有没有   那种 到 澳门 的 那个 那个 不 限 流量 的
您好 有 什么 帮助 您   哎 你好 呃 我 想 就是 下个月 想改 一下 那个 套餐 你 帮 我 看看 有 什么 套餐   流量 比较 多 您 现在 已经 是 新版 五十八 的 是 这个 三 g 不够 用 对 吧 那 您 要 不 就 在 剩 一个 八十八 嘛 三十八 是 那个 五 g 的 就 比较 多   八十八 块 五 g 吗
您好 很 高兴 服务   你好 嗯 有 有没有 两块钱 一天 的 流量 包 啊   两块钱 一天 的 流量 包 这个 暂时 没有 的 不好意思   我们 有个 诶
您好 很 高兴 为您服务   诶 您好 我 想 问 一下 那个 现在 有 一个 套餐 是 三十八 元 然后 送 三百 分钟 话费 和 一 g 的 流量 有 这个 套餐 吗   呃 有 啊 女士   那 我 我 想 办 一个 要 怎么办
您好 请 讲   喂 您好 我 想 问 一下 现在 有 什么 流量 的 套餐 有 优惠 的 吗   嗯 大概 要 多少 兆 呢 因为 我们 有 一个   是 这样
您好 请 讲 你好   你好 问 一下 我 这里 面包 月 什么 北京 万南 科技 是 什么 啊   呃 这个 是 点播 到 手机 有 点播 到 这些 梦网 业务 才 有 产生 费用 我 可以 把 移动梦网 总开关 关了 吧 避免 下次 产生 的 好 吗   哦 你 帮 我 取消 掉 噢
您好 请 说   嗯 嗯 喂 你好   你好   呃 请问 一下 怎么 星级 客户 是 什么 意思 啊
您好 请 说   哎 你好 现在 有 什么 流量 的 那个 套餐 呀   流量 套餐 是 吗   噢
您好 有 什么 帮到 您 的 吗 喂 你好   我 问 一下 那个 套餐 我 本来 是 五十八 那个 套餐 帮问 一下 幺 三八 套餐 它 它 这个 具体情况 他 里面 说 说 是 本地 流量 免费 就是说 在 我 这 是 福州 的 卡浦区 八 县内 他 只有 流量 都 是 免费 的 吗 是 这个 意思   是 的   噢 它 就 流量 免费 然后 通话 是 一天 两百 分钟 它 有 分 业务 分 的 是 吗
您好 请问 什么 可以 帮 您   我 想 问 一下 我 这个 幺 三七 九九 二五 这个 手机号 噢   嗯   我 因为 我 现在 能 有人 又 回到 厦门 嘛 噢 我 回到 我 回到 厦门 了 以后 那 那 这个 手机号 那个 网络 用办 什么 套餐 网络 会 比较 便宜
你好   喂 你好 那个 我 想 问 一下 现在 因为 我 这个 手机卡 是 泉州 卡嘛 然后 我 因为 我 现在 在 福州 想 问 一下 有没有 那个 什么样 的 那个 套餐 就 合适 一点 的 流量 套餐   流量 套餐 是 吧 呃 一般 都 在 就是说 我们 省内 跑步 会 去 外省 吧   对 啊 对 对
再见 啊   您好 很 高兴 为您服务 您好   诶 我 想 问 一下 有没有 什么 便宜 的 流量 包 呢   呃 又 是 十元 一 百兆 的 加油 包 马上 可以 用 下个月 会 自动 取消 一 百兆 不要
您好 很 高兴 为您服务   呃 那个 我 想 问 一下 这张 手机卡 有没有 无限 流量   有 的 您 要 开通 了 一个 任 我 用 的 一个 流量 那个 是 盖 学校 指定 区域 里面 用 的 那 无线 了   噢 这 样子 的话 就是 嗯 那 那 我 看 那个 就是 一个 软件 那个 中国 营业厅 移动 营业厅 里面 有 说 我 好像 超出 了 三十三 兆 是 怎么回事
嗯 您好 您 请 讲   我 问 你 一下 我 那个 套餐 里面 那个 呃 通话 一百 分钟 的 是 是 什么 意思   这边 给 您 查询 您 的 一百 分钟 的话 就是 在 那个 莆田市 区 打 国内 电话 的 时长 不 含 港澳台   噢 你 在 莆田市 区 是 吧
您好 请 讲   诶 喂 你好 诶 我 想 问 一下 噢 就是 我 收到 短信 什么 事 呃 什么 是 叫 什么 不可 共享 的 流量 用 完 了 什么 意思 啊   啊 就是 您 套餐 里面 它 有 分 共享 额 不可 共享 的   什么 时候 嗯 那 您 能 不能 帮 我 解释一下 什么 是 共享 是不是 不可 共享
恩好 您好 请 讲 呃   啊 移动 现在 是不是 有 那个 什么 无限量 那个 流量 的 套餐   是 没错 在 福建省 内 的话 流量 不 限量 但是 它 的 通话时间 就 变成 一千二百 分钟 就 不是 您 现在 用 了 两千四百 分钟 了   噢 我 现在 是 两千四百 分钟 的
您好 有 什么 可以 帮 您   哎 你 帮 我查 一下 我 这个 五十八 元 套餐 那个 语音 通话 时长 是 四百 分钟 呢 还是 一百 分钟 啊 四百 那 为什么 我 短信 收到 身份证 语音 通话 一百 分钟 已经 使用 完   只有 一百 分钟 是 全国 都 可以 用 剩余 三百 分钟 是 南平 本地 拨打 全国   噢 那 这样的话 它 那个 部分 用 完 了 噢 就是 一百 的 用 完 了 那 剩下 的
您好 请 讲   那个 我 这个 手机号码 有没有 流量   我 帮 您 看 一下 这 张卡 套餐 里面 有 包含 一 百兆 的 国内 流量   就 一 百兆 吗
您好 请 讲   嗯 请问 我们 我 刚才 看到 你们 里面 那个 流量 套餐 里面 有个 一百三十 发短信 无限 流量 是 吧   恩对 是 的   他 是 说 在 莆田 之内 上网 都 邮件 流量 啊
您好 很 高兴 为您服务   我 想 我 想 问 一下 那个 省内 闲时 流量 是 什么 意思 吗   省内 闲时 流量 是 一个 夜间 流量 包   营业厅
嗯 你好 请 说 嗯   我 问 一下 那个 那个 流量 流量 不够 要 不 我 流量 怎么办   噢 您 现在 正常 再 再 要 再 补 一个 流量 嘛 对 吧   呃 我 是 那个 八十八 块
您好 很 高兴 为您服务   你好 帮 我 看 一下 我本机 九十九 的 那个 呃 家庭 套餐 的 那个 包含 一些 什么 内容 的   嗯 稍 等 所以 这个 套餐 它 是 三百 分钟 然后 是 一点 啊 那个 两个 g 的 流量   两个 g 的 流量 是 呃 套餐 在 他 一直 在 还是 套餐 在 他 一直 在 它 这个 是不是 还有 额外 再 赠送 一年 的 什么 东西 一号
嗯   费用   您好 请 讲   哎 你好 我 想 问 一下 如果 改 套餐 的话 有 哪个 套餐 就是 它 的 它 那个 电信 的 流量 会 比较 多一点
你好 您好 很 高兴 为您服务 哎 你好 恩 你好   诶 我 我 想 问 一下 我 我 那个 里面 有个 什么 彩铃 的 是 什么   中国移动 的 这个   帮 我 删掉
早上好 很 高兴 为您服务 诶 你好 您好   哎   诶 你好   呃 请 喂
你好 诶 我 这个 有没有 那种 是 流量 多一点 的 我 这个 关 这 意思 一 三包 什么 流量 这一 g 有没有 就是 流量 这 一块 多一点 的   流量 流量 我们 现在 确实 有个 活动 有个 二十元 两个 g 的 从 十一月 一号 生效 的 有 需要 吗   二十 二十个 g 二 二十元 的 七 十一月 一号 可以 生效   嗯
啊 您好 很 高兴 为您服务   你好 帮 我查 一下 那个 呃 国内 流量 最 最低 优惠 的 是 多少   国内 流量 我们 的话 最低 是 三十元 一个 g   三十元 一个 g 是 吧
你好   喂 你好 诶 有 什么 像 什么 宽带 的 业务 啊 宽带 的 套餐 那个 流量 的 套餐   流量 的 套餐 这边 现在 是 您 是 说 要 咨询 有 含 宽带 跟 流量 的 那种 套餐   吗 不
嗯 您好 很 高兴 为您服务   啊 你好   你好   我 这 张卡 是 无限 使用 流量 的 对 吧
十八元 的 您好 您 说   诶 你好 因为 我 刚才 在 那个 移动 营业厅 里面 看到 不是 你们 有 十五块 钱 一 g 的 那个 月租 的 流量 吗 为什么 我订 不了 呀   那种 十五元 一 g 的 流量 包 必须 要 您 的 套餐 要 两百 三十八 元 套餐 才能 订购 的 但是 就是 两百 三十八 套餐 才 有 开放 的   一号 返
您好 请 讲   喂 我 想 问 一下 那个 都 手机 套餐 最 最低 的 有 多少 钱 呐   八块   八块 它 内容 交完
您好 请 讲   诶 诶 我 想 嗯 之类 的 我 想 换 那个 别的 套餐 有没有 什么 就是 流量 比较 多 的   有 啊 五十八 五十八 赠送给 您 流量 是 三个 g 五百 兆 国内 两千五百 七十二 兆 的 省内 流量   行 那 之前 的 那个 呃 四十九 块钱 四 g 的 那个 活动 还有 吗
您好 请 讲   诶 你好   诶 您好   诶 那个 流量 十块钱 多少 兆
再见 为 您   服务   你好   喂 你好 那个 喂 是 有 一个 就是 家庭网 的 那个 那个 套餐 是 吗
您好 请 讲   诶 你好 你好 现在 有没有 什么 套餐 就是说 省内 拨打 的 那个 什么 套餐 呐   噢 您 是 说 分钟 数 比较 多 的 对 吧   啊 对 对 对
不要   您好 高兴 为您服务   你好 你好 知道 咨询 一下 应该 是 流量 钱 全国 通用 的 有 什么 比较 优惠 的 拜拜   呃 全国 通用 的 我 看 一下 流量 全国 通用 的话 那 这边 是 有 那种 三十块 钱 一个 g 的 五十块 钱 两个 g 的 这种 流量 包 现在 会 比较 合算 一些
您好 请 说   哎 你好 我 想 问 一下 这个 装 宽带 是 在 我 现在 是 在 那个 三号 网 那边   嗯   啊 然后 我 这边 宽带 的话 他 说 办办 一个 手机 套餐 是 不 送 宽带 是 吧
您好 问   你好 那个 问 一下 那个 最低 套餐 是 是 多少 了   最低 套餐 帮 您 看 一下 您 稍 等 嗯 目前 的话 我们 人工 台能 更改 的 是 十八元 套餐   现在 最低 的 是 吧
您好 喂   嗯 呃 帮 我 查询 一下 我本   对   八元 的 套餐 这个
您好 很 高兴 为您服务   诶 你好 那个 请问 我 呃 就是 那个 腾讯 视频 通 的 那个 任 我 看 了 那个 视频 流量 噢 它 是 可以 那个 存在 手机 里面 下载 下来 这 手机 里面 看 吗   您 说 你 下载 的 时候 可 不用 那个 流量 是 吗   对
哦 哦   你好   您好 高兴 您 服务   呃 喂 你好
您好 请 讲   问 一下 我本机 的 那个 套餐 在 外省 的话 可以 用 多少 g 的   只能 用 一百 一个 g 啊 先生   那 我 现在 要 多少 这样
那 行 您好   喂 你好 就是 我想 问下 一条 那 最低 的 套餐 是 八块钱 是 吧   对 没错   那 我 现在 可以 帮 我 调帮 我 如果 我 现在 拿下 个 月 生效 吗
啊 你好 请 说   你好 诶 我 想 问 一下 你们 现在 下个月 还有 没有 那 款 八十八 元 的 那个   新飞 享 系列 的 吗   嗯 嗯 就是说 多少 兆 的 好像 是
对 您好   喂 你好 嗯 我 这 张卡 那个 每个 月 有 多少 流量   六百 兆   六百 兆
嗯 您好 很 高兴 为您服务 呃 我 我 想 问 一下 就 本机 这个 的话 行开 全球通 的话 现在 有 什么 套餐 您 目前 就是 全球通 的 目前 是 全球通 了 现在 哪个 价位 的 套餐 五十八 的 噢 五十八 的 嗯 行 好好 还有 什么 可以 帮 您 啊 暂时 没 了 恩 好 的 祝您 生
嗯   您好 很 高兴 为您服务   帮 我查 一下 我 这个 号码 噢 是 一天 五百 兆 的 是不是   呃 对 每天 扣 一块钱 五百 兆
嗯 你好 请 说   喂   诶 您好 请 说好   就是 因为 我们 动力 加 套餐 是 什么 意思 呢
您好 请 讲   但 喂 你好 请问 一下 移动 的 最低 月租 是 多少   呃 八块   麻烦 那 你 能 不能 把 我 下个月 产生 八块
哎 好 请 说   哎 你好 我 现在 我 现在 我 想 问 一下 我 现在 的 套餐 不是 是 四十八 块钱 的 套餐 嘛 然后 里面 只有 五百 兆 的 流量 吗   呃 对   那 我 那 现在 有 什么 套餐 的 流量 比较 多
您好   呃 您好 我 想 问 一下 我 想 去 那个 怕 老 旅行 然后 那个 那边 我要 开通 什么 吗   嗯 另外 一个 号码 是 吗 移动 号码 是 吗   嗯 对 对 对 对 然后 就 再
您好 有 什么 可以 帮助 您   哎 你好 我想查 一下 你们 这边 全球通 一百二十八 套餐 没有 呃 流量 有超 多一些 的   那 您 是 都 在 外地 用 吗   啊 账户 本地 用 但 前面 这边 我 另外 一个 手机卡 嗯 我 知道 怎么 那个 套餐 的 也 是 全球通 的 但是 不好 那个 不 那个 那个 喂 流量 扣款 了 才 一百多
您好 您 请 说   呃 您好 我 请问 一下 我 这个 手机 里面 我 本来 只有 一 百兆 的 流量 跟 一百 分钟 的 电话费 然后 发现 你们 经常 发 信息 过来 我 有 省内 嗯 嗯   两 gd   那个 流量 是 什么 意思
您好 请 说   哎 你好 就是 我 想 咨询 一下 就是 我 现在 用 的 这个 套餐 里面 有 一个 那个 服务区 流量 那个 写 的 是 什么 流量   这个 是 本地 校园 流量   本地 校园 流量 啊 就是 我们 如果 不 在 校园 到 我 用 的 话费 流量 我 就 不能 用 是 吗
再见 您好 很 高兴 为您服务 喂 哎 你好 我 想 问 一下 我 现在 的 套餐 那 是 什么 情况 啊   十八 飞享 套餐 全球通 的 包含 一百 分钟 通话 一 百兆 流量 和 来电显示   噢 就 十八块 钱 是 吧 那 我 现在 每个 月 我 现在 花 了 多少 钱 呐   嗯 您 稍 等 我 看 一下 这个 月 的 情况 三十 一块 一分
好   你好 请 讲   喂 你好   诶 你好
宽带 早上好   哎 我 想 问 一下 我 这个 套餐 是 里面 的话 分钟 是 多少   一千两百 分钟   一千两百 分钟 有个 是 五十九
您好 你好   哎 你好   嗯 因为 那个   我 那个 改 那个 五 十八块 的 套餐 五 十八块 的 套餐 是 就是 流量 是 多少 啊
看看   嗯   您好 请 说 服务 诶 你好   喂 你好
您好 请 说   诶 我 想 问 你 一下 嘞 嗯 我 原来 流量 还够用 有 这个 月 流量 不够 用 然后 有没有 我 是 想 说 有没有 那种 什么 什么 流量 比较 是 会 的 那 样子 呢   我 想 再   申请
您好 很 高兴 您 服务   喂   您好   高兴
哼 您好 请 讲 哎 你好 我 想 说 我 这 流量 用 完 现在 怎么 处理   您 可以 再订 加油 包 的 或者 多一点 的 流量 套餐 都 可以   歪点 那个 那个 流量 流量 包再 给 我 开 一个 十块钱 的 吧   嗯 行 那 我 就 帮 您 先开 一个 加油 包 十块钱 一 百兆 这个 可以 马上 使用 的 下个月 自动 关闭
您好 请 说   你好 请问 现在 是不是 有 什么 新 的 呃 套餐 叫 什么 嗯 嗯   多少 钱 的   三十八 五星 叫 什么 新 什么 套餐 新飞 享 吗 八十八 吗 新飞 享 三十八 三十八 嗯 幺 诶 能 不能 发给 我 看 一下
您好 很 高兴 为您服务   呃 我 想 咨询 一下 我 就是 有没有 那种 两百 要元 上网 的 卡   呃 是 什么   下午 元 在 学 小孩子 都 没有 了 他 就是说 上网 流量 会 比较 多
怎么样   您好 请 讲 哎 你好 我 那个 那个 套餐 里面 有 那个 五块 的 什么 动漫 什么 包月 那个 给 我 看 一下 那 是 什么 好 帮 您 看 一下 噢 稍 等 有 个 手机 动漫 这个 帮 您 关掉 吧 噢 这个 要 关掉 对恩好 帮 您 关好 了 噢 噢 好好   嗯 还有 什么 可以 帮 您 的 吗   噢 不用 了
您好 请 讲   呃 喂 您好 我 想 请问 一下 为什么 这个 月 没有 省内 流量 啊 本来 流量 不是 套餐 里面 的 吗   省内 流量 的话 套餐 里面 的 它 是 校园 特享 包 你 本机 的话 稍等一下 帮 您 查看 一下   啊 好
嗯 哼   您好 很 高兴 为您服务   哎 你好 我 现在 在 外地 我 那个 流量 不够 用 有 什么 套餐 吗   我 帮 您 检查一下 请 您 稍 等
您好 很 高兴 为您服务   呃 喂 你好 那个 我 想 问 一下 我 现在 就是 套餐 内 就是 三十八 那 套餐 内 包含 什么 有 什么 东西 啊   里面 给 您 赠送 的 是 一百 分钟 本地 拨打 国内 通话 时长 跟 五百 兆 流量   噢 就 只有 这些 吗
您好 请 说   存 话费 嗯 嗯 再 刚才 不是 跟 跟 移动 有个 打电话 过来 了 嘛 哈 他 说 有 一个 怎么 八十八 元 的 套餐 他 说 呃 有 那个 通话 通话 那个 时间 有 一千 一千 了 一千二百 分钟 吗 那个 流量 有 五千 几   五五 千兆 嘛 五千 兆 有没有 这个 有个 八十八 的 套餐   对 啊 嗯 嗯 就 这样 吗
您好 请 说   最近 有没有 那个 断网 的 流量 比较 优惠 的   上网 流量 我 看 一下 您 只要 这个 月 的 是 吗   嗯
什么 费用 您好 什么 帮 您   喂 您好 这 咱们 这 有没有 套餐 流量 多 的 呀   呃 流量 额外 开通 包 的话 我们 现在 有 三十块 钱 一个 g 的 然后 五十块 钱 两个 g 等等 的 这些 套餐   五十块 钱 两个 g 什么 意思 啊
您好 请 讲   哎 你好 我 想 问 一下 那个 移动 这边 是不是 有 那个 一个月 只要 八块钱 的 那个 套餐 呢   有 最低 八块钱   噢 那 我 现在 这 手机 是 十八块 钱 套餐 你 能 帮 我 改成 这个 八块钱 的 套餐 呐
您好 请 讲   诶 你好 那个 我 想 咨询 一下 噢 你们 那个 神州行 嗯 十八元 的 那个 家园 卡是 在 全国 各地 内 打 全国 各地 的 电话 都 是 两百 分钟 是 吧   八元 不是 啊 他 觉得 优惠 区内 打电话 两百 分钟 啊 优惠 区内   比如说 我 在
您好   喂 你好 我 想 问 一下 我 这个 不是 每个 月 的 套餐 是不是 只有 九块 钱 然后 打出 有没有 一百 分钟 打 噢   稍 等 我 帮 您 查看 一下 这个 九块 他 打电话 每分钟 一毛 九 没有 免费 的 分钟 数   没有 没有 没有 那种 一百 分钟 那种 多数 是 吗
