噢您好请说可以 本机号码是吧 
您好很高兴为您服务 呃我看一下之前是投诉公司您这个问题的吗 
为您服务 呃您是几号来电咨询申请的请问一下小姐 
您好很高兴为您服务 什么还有两千多兆对您有活动送了两个g的流量呀 
您好很高兴为您服务 如果您如果要反映问题的话我们是四十八小时之内帮您处理的那这边的话帮您看了一下您之前的话应该是反映过问题我们这边帮您看了一下还在处理当中了那建议您这边耐心等待一下还是在核实处理当中 
您好很高兴为您服务 嗯嗯 
您好很高兴为您服务 幺三六四幺七八二八八七这个号码是幺三六四幺七然后呢八二八八七八二八八七呃我今天打电话就能给我打电话你怎么付啊证号码之前反应过问题是吧我看一下啊 
您好很高兴为您服务 宽带呃宽带什么问题请问一下 
您好很高兴为您服务 恩 
您好我是预处理专席代表很高兴为您服务您好 我帮您看一下就是您现在来电的号码对吗对好的请稍等嗯对对对感谢您的耐心等待我帮您看了一下啊关于您这个情况我们给您发了是这样的就是说是赠送您两百兆的一个加油包费用会帮您做个减免我看到 
高兴为您服务 宽带扣了两年的费用 
至预处理专席代表很高兴为您服务 恩 
您好兴您服务 是哪个手机号码啊是哪个手机号码 
您好很高兴为您服务 嗯您说 
您好预处理专席代表很高兴为您服务 现在转回来就是您的六月份的账单有些指 
您好很高兴为您服务 呃什么账号不好意思 
很高兴为您服务 唉你好 
您好很高兴为您服务 我帮您看一下好吗请稍等一下呃您好女士感谢耐心等待呃您说的是之前反映那个打好电话的一个问题吗 
稍等给您看一下啊 那感谢您耐心等待女士呃您是之前反映这个一个看一下是之前反映这个营业厅的问题吗嗯 
好很高兴为您服务 七天了还没有动七天了稍等我查一下啊 
您好很高兴服务 是八月二十二号反映的问题吗 
嗯 您稍等一下我帮您查一下 
您好很高兴为您服务 您说要退掉什么 
您好很高兴为您服务 呃我看一下是这个手机号码对吗先生对对对对你之前反映的投诉问题我们已经在帮您上报上去了然后目前还在处理一下因为我们要派到后台网管进行处理 
您好很高兴为您服务那个我刚刚把刚刚你们打电话给我们接到这手机比如说我们给您打电话您之前反映过什么问题吗对返因为那个手机话费的问题啊稍等我看一下啊好那我帮您转接到专席您问一下好吧看一下是不是那边给您打的请稍等啊不要挂机为了更好之后你再把电话转专席扣您稍等 
为您服务 啊我看一下这个请稍等一下 
您好很高兴为您服务 你好你说 
您好很高兴为您服务喂 什么问题啊哪个号码 
您好很高兴为您服务 幺八二幺七幺六八八三八 
对 干嘛 
您好请讲 呃具体呃这个是座机号码是吧先生您刚刚报的是 
您好我是预处理专线的 看看系统里面 
您好很高兴为您服务 好的因为你留的联系电话是多少我帮您查一下记录 
您好很高兴为您服务 那这我帮您转接到专席那边好的好的好的好的好的 
您好很高兴为您服务 能听到请讲 
您好兴为您服务 噢就您这个流量反正这个单子来来进行处理当中这边的话会尽快再帮您再催一下 
您好我是预处理专席代表很高兴为您服务 目前还在流程过程当中我们会尽快跟你联系的因为我们也用户不是很您一个漫游很多用户有之前反映过其他过问题吗我们也做个数据处理吗如果需要帮您等待一下 
为您服务 是家庭宽带吗还是公司的公司的通过您这个号码报的嘛 
