嗯 嗯 你好   有 不能 使用 是 在 这个 呃查 它 写 村 对 吧   诶 我 帮 您 看 一下 您 稍 等   噢 那 这个 问题 的话 我 再 帮 您 报上去 那 其他 还有 什么 可以 帮助 您 的
您好 很 高兴 为您服务   是 您 在 跟 别人 通话 过程 当中 别人 在 打电话   通话 都 会 有人 提示 是 空号 是 吧   啊 对 我 的 意思 就是说 您 现在 正在 跟 别人 通话 的 时候 如果 有 第三个 人 再 打电话 进来 别人 其实 就是 您 这个 号码 是 空号 对 吧
您好 兴 您 服务 您好   您好 您 说   陈 西路 和 哪条 路 您 这边 是   请 稍等一下 七九 唉 块 端口 没 问题 今天 出现 了 吗
您好 很 高兴 为您服务   原来 什么   啊 去 反映 什么 问题 吗   信号 没有 是 吧 我 帮 您 转到 专席 给 您 反映 一下 问题 大概 有 多久 了 呀
您好 我 是 预处理 专席 代表 很 高兴 为您服务 您 是 反映 信号 不好   嗯 是 具体 什么 地方 信号 不好 请   这个 地址 是 什么 地方   呃 前 什么 路
很 高兴 为您服务   然后 现 投诉 电话 信号 嗯   那个 工作人员 给 您 说 会 给 您 装 了 是 吧 大厦   他 就 给 你 说 什么 时候 装 吗
您好 很 高兴 为您服务   就是 宽带 还是 挺 好   好 那 为了 更好 解决问题 为 您 转接 至 专席 有 专人 为 您 请稍等
您好 很 高兴 为您服务 谢谢 你好   换 什么 帮 您 换 什么 东西 的 本来 是   那个 坏 了 信号 放大器 对 吧   您 稍 等 我 帮 您 看 一下
您好 很 高兴 为您服务   噢 好 请 稍等一下 您 是 在 哪个 区 啊   浦东新区 然后 是 具体 哪条 路上 您 是 在   请 稍等一下 您 这边 锦绣
您好 很 高兴 服务   出去 对 吧   你好 您 现在 现在 什么 问题 啊 是 宽带 上 不了 是 吗 还是 手机 上 不了 了 手机 手机 数据 最低 上 不了 对 吗 二三 g 网络 能用 吗   那 您 什么 品牌 的 手机 啊 先生
您好 很 高兴 为您服务   哦 好 的 稍等一下 好 的 先生 您 现在 呃 小区 覆盖范围 内 没有 信号 是 吧 幺 七六 的 覆盖 好 的 周围 其他 移动用户 也 是 同样 情况 是 吧   二 三四 g 网络 都 没有 是 吧   嗯 嗯 好 的 呃 是 很 很 抱歉 了 吗 几天 了 已经 这种 情况
您好 很 高兴 为您服务 你 这 是 移动 的 是 吧 在 上海 移动   什么 意思 先生 您 是 遇到 什么 问题 吗   是 在 那边 移动 信号 现在 打 不 出去 啦 是 这 意思 吗   多久 了 这个 情况 跟 我 就是 不止
您好 很 高兴 为您服务   请 说   嗯 嗯   好 的 就是 周围 其他 移动用户 都 是 没有 信号 的 是 吧
您好 很 高兴 服务   是 上 网上 不了 了 是 吗 的 那种 跟 您 说 什么 问题 吗 的 手机 啊 先生   好 我 这边 把 上网 参数 发给您 跟 手机 上班 参数 重置 一下 重置 好 了 之后 再 把 您 手机 关机 重启 试一下   把 您 手机 上上网 参数 重新 设置 一下 会 设置 吗
您好 很 高兴 为您服务   我 也 是 不能 接听电话 呃 您 有没有 在 自己 手机 上 输入 那个 井号 井 号 二 幺 井 号 但 通话 键 设置 过 了 吗 请 您 进行 幺 井 建议您 先 设置 一下 噢 在 手机 上 输入 井井 二幺井 然后 再 按 通话   嗯 对 的 然后 再 按 拨号键   唉 不 客气 请问 还有 什么 可以 帮 您 啊 没有 了 谢谢 嗯 不 客气 如果 对 我 的 服务满意 请 给予 十分 评价 祝您 生活 愉快 再见
您好 很 高兴 为您服务 唉 喂 你好   我 这个 四 g 怎么 打不开 了 就是 那个 两 g 是 没有 了 就是 手机 上面 您 的 您 把 上网 功能 关掉 了 我 帮 您 重新 恢复 一下 您 手机 密码 知道 吗 手机 手机 密码 知道 了 好 那 您 输入 一下 十块钱   我用 的话 就是 按 套餐 大街   多少
您好 很 高兴 为您服务   嗯 嗯 就 打 您 电话 去 就 只 想 一声 然后 之后 的话 就是 显示 通话 中 是不是   就是 打 您 的 手机 是 吧 然后 就 只 就 想 然后 这样 在 通话 中 然后 您 这边 还 没有 这个 来电 的 记录 是 吗   呃 一下 啊 我 看 了 一下 您 这边 手机 上 的 一个 功能 状态 都 正常 没 问题 呀
您好 很 高兴 为您服务   呃 人 是 根据 广大 用户 不变 反感 的 垃圾 短信 问题 为了 避免 广大 用户 受其 骚扰 我 公司 你们 部门 的 要求 在 上海 可以 帮 您 短信 的 处理 力度 目前 主要 通过 用户 举报 发现 任何 处理 垃圾 短信 这个 号码 显示 有人 去 帮 您 发 商业 性质 的 广告 信息 那 我 现在 帮 您 恢复 了 以后 注意 一下 就 可以 了 还有 什么 可以 帮 您 的   好 了 好 祝您 生活 愉快 再见
您好 很 高兴 为您服务 喂 唉 你好   他 说 设备 的话 是 家里 还是   他 说 是 您 家里 的 设备 坏掉 了 那 他 有没有 说 要 给 您 换 设备 吗   嗯 嗯 然后 呢
为您服务   先生   那 我 在 听   信号 很差 七天 反映 过 了 对 吧
对 吗   宽带 不能 用 是 吧 地址 是 哪里 呢   生 身边 六   他 现在 有 同轴 亮红灯 吗 或者 什么 异常 显示 的
很 高兴 为您服务   哪个 号码 我 看 一下 手机号   嗯 嗯 这个 密码 知道 吗   呃 密码 知道 吗 我 看 一下
您好 兴 为您服务   恩好 的 我 看 一下   上面 显示 原因 是 根据 广大 用户 普遍 反感 的 垃圾 短信 问题 为了 平台 可能 也 会 收 取消 了 我 公司 根据 有关 部门 要求 到 账 了 对 垃圾 短信 推荐 阅读 目前 主要 通过 用户 举报 发现 除了 这些 短信 这个 号码 有 已经 帮 您 发 商业 申请 的 广告 信息 我 现在 帮 您 恢复 开 好像 能 帮 您 开一开 好 了 直接 找 那个 重启 一下 手机 就 可以 了 还有 什么 帮 您 的 吗 不 客气
我 这 看 一下 那个 短信 的话 跟 您 之前 的 那个 情况 是 一样 的 之前 恢复 了 现在 又 停掉 了 原因 就是 根据 广大 用户 普遍 反感 的 垃圾 短信 问题   其他 短信 不会 的 呀 我 现在 帮 您 重新 恢复 了 然后 现在 可以 发给您 是 看 之前 的话 就 停 了 现在 帮 您 重新   关机 重启 一下 对 的   加
您好 很 高兴 为您服务   麻烦 您 把 手机号码 报 一下 我 给 您 查询 一下   密   五 二七 幺 是 什么 时候 开始 的 还是 说 一直 以来 都 是 有 呢
您好 很 高兴 服务   呃   通话 自动 断掉   我 建议您 换 一部 手机 试一下 如果 换个 手机 还是 这样 您 带 好 身份证 原件 手机 去 营业厅 看 一下 如果 卡 不好 换 一张 卡
很 高兴 为您服务   噢 好 的 原因 是 跟 您 说 一下 根据 广大 用户 不变   呃 就是 流量 就 帮 您 发 商业性 的 广告 信息 我 现在 恢复 您 稍等一下 就 现在 目前 已经 停掉 多少 暂时 不能 恢复 的 我 可以 帮 您 转到 专席 给 您 反映 一下 或者 帮 您 受理 下来 由 专人 给 您 处理 的   呃 我们 这边 的话 如果 帮 您 处理 的话 是 四十八 小时 的
您好 很 高兴 为您服务   嗯 您 周围 其他 移动 号码 都 有 这个 问题 吗   的 问题 的话 可能 是 信号 问题 的 其他 问题 的话 我们 有 您 大概 问题 有 多久 了 呢   你 要 装 屏蔽 我们 直接 还 看不到 呢 只能 说 是 有些 问题 的话 可以 帮 您 受理 一下 信号 问题 麻烦 您 再 观察 一下 看看 周围 的 如果 他 这边 看 一下 是不是 一直 这 样子
很 高兴 为您服务   恩 上海 移动 您好 有 什么 可以 帮 您 哎   因为 其他 移动 号码 都 有 腾讯 号 问题 是 吧 还是 也 就是 什么 道理 啊 那 信号 问题 的话 就 可能 是 指 但 不 太 稳定   信号 问题 我们 发现 部门 给 您 受理 的 请问 在 哪个 区 现在
您好 兴 为您服务   这个 手机 上 是不是 开通 了 模式 啊   流量 是不是 开过 了 模式 了 呀   手机 上 是不是 开 了 手机 上面 是不是 开通 了 勿扰 模式 手机 上 关掉 就行了
您好 很 高兴 为您服务   没有 信号 吗   想 问 一下 这种 情况 出现 多久 了 呢 是 最近 出现 还是 中国 的 意思 就是 我 打 一个 电话号码 我 打打 了 一 下午 然后 他查 一下 他 跟 我 说 呃 账 怎么 尽快 通知 对包   尽快 通知 对方 的 是 应该 是 来电
高兴 为您服务   断 的话 您 那个 sim 卡 的话 是 是不是 剪卡想 换 了 有 信用卡 吗 呃 我 听 我 听不懂 是 什么 意思 他 的 手机卡 是   老子 那 那个 sim 卡 放到 其他 的 手机 上 试一下 如果 有 其他 的 问题 的话 可能 是 确认 好 的 问题   你 先 跟 其他人 互换 一下 卡看 如果 确定 是 卡 问题 的话
您好 预处理 专席 代表 很 高兴 为您服务 就 手   对方 的 号码 有 什么 更新 吗 比如说 都 都 是 联通 的 电信 的 还是 都   请问 什么 时候 发生 的 开始 有 的   这张 卡用 卡 里面 的 手机 上 也 嗯 卡放 别的 手机 上 有 这个 问题 吗
兴 为您服务   而且   是 用 家里 的 宽带 无线网络 连接 连 不 上去   请问 您 宽带 办 的 是 上海 移动 的 宽带 吗
您好 很 高兴 为您服务   您 现在 是 在 什么 地方   帮 您 看 一下 啊 嗯 出来 那个 一二八 七年 路 吗   帮 您 查 一下
您好 很 高兴 为 您   手机信号 吗   家人 都 需要 吗 嗯 现在 还 在 吗 您好 您好
很 高兴 为您服务   呃 您 不好意思 之后 它 上面 会 显示 什么 什么 取消 的 这种 标识 上面 之前 有 跳 出来 过 吗   你 按井二 幺 井 按 一下 拨打 上面 跳 什么 这样 出来 的   对恩好 那 这边 您 看 一下 手机 上面 有没有 开 通过 了 模式 如果 开通 的话 把 我 老婆 关掉 它
您好 高兴 服务   没有 网络 了 对 啊   嗯 可以 呃 您好 先生 感谢 耐心 等待 我 看 您 这边 手机 上 的 上网 功能 的话 是 有 的 呀 正常 的 呀 手机 关机 重启 试过 吗   您 现在 这 手机 套餐 套餐 里面 是 有 那个 本地 流量 是 三 本地 流量 四十个 g 的 然后 国内 流量 噢 它 是 这边 国内 流量 四个 g 然后 外送 本地 流量 四个 g 然后 夜间 流量 一个 g 咪咕 视频 定向 流量 三个 g 然后 还有 那个 一百元 流量 至尊 包 然后 它 是 里面 也 有 十个 g 的 本地 流量 还有 赠送 的 三十个 g 流量 三十个 g 本地 流量
不能 接 短信 了 吗   那 您 发短信 可以 发了 两毛   呃 您 是 说 那个 那个 服务 的 验证码 是 吧   这边 的话 可能 是 对方 短信息 下 的 问题 您 查询 一下 对方 给 您 发个 短信 看 您 是否 能 收到
很 高兴 为您服务   请 说   就 这个 号码 对 吧   稍 等 我查 一下
很 高兴 为您服务   呃 不好意思 给 您 添麻烦 是 周围 其他 的 移动 号码 都 有 其他 的 问题 吗   就是 电话 不能 打 流量 能 上 吗   嗯 现在 升级 路 那里 吗
很 高兴 为您服务   宽带 吗   手机信号 不好 对 吗   都 是 移动 号码 吗
为您服务   呃 您 报 一下 号码 给 我   呃 您 幺 三八 六七 幺 六零 七二 这个 号码 是 上海 移动 的 号码 吗   唉行 这个 号码 的话 目前 我们 这边 人工 查询 不到 的 然后 您 的话 呢 您 如果 只要 查询 到 打 回 当地 的 一个 移动 客服 这边 去 问 不好意思 啊
您好 很 高兴 为您服务   信号 您 说 您 这个 地方 没有 信号 那边 移动 号码 都 没有 啊 办理 我们 办 不了   什么 时候 发生 的 这个 情况   您 在 哪个 区 啊 我查 一下
您好 很 高兴 为您服务   唉 那个 我 这个 短信 发出 去 了 然后 刚刚 打 客服 说 他 帮 我 解封 了 怎么 到 现在 还是 发票 呢 稍 等 我 查询 八 零零 您 现在 短信 功能 已 被 停机 多次 现在 没有 办法 恢复 了 这个 月 你 平均 三次   然后 是 在 一月 十八号 就 可以 了   里面 免费 恢复 过 三次 是 没有 办法 恢复 的 您 要 过段时间 再 打电话 过来 看 一下 需要 恢复 了
您好 很 高兴 服务   就是说 算 这种 在 手机 上去 一下 井井 二幺井 拨号键 然后 再 帮 您 手机 关机 重启 一下   在 您 手机 上 操作 井号 井 号 二 幺 井 号 再 按 拨号键   对 再 按 拨号键
您好 很 高兴 为您服务   呃 微 信号 报 一下 号码 多少   幺 三四 七 二七 二三 幺 幺 三 对 吧   你 是不是 手机 上 上面 信号 没有 那 其他 周围 用户 手机 有没有 出现 没有 信号 的 问题
您好 很 高兴 为您服务   这 上网 功能 是 正常 的 您 处理 数据 开关 打开 也 不能 上 对 吧   月初 的 时候 停过机 的 停机 之后 要 关机 重启 一下 是不是 没有 重启 手机   对 是 的 帮 您 转接 一下 的
您好 很 高兴 为您服务   是 打 过来 什么 提示 一年 不到 吗   您 是 上面 是不是 开 我 老婆 是 吧 你 看 一下   网上 没 开 没事 您 的 不好意思 买 上面 按 一下 井井 二幺井 按 一下 拨打 键 试试看 呢 拨号键 来电 啊 零点 二幺井 按 一下 拨号键
您好 很 高兴 为您服务   就 家里 其他 移动 号码 都 有 同样 的 信号 计算   那个 南京 西路 那个 地方 吗   噢 那 这边
您好 兴 为您服务   您 手机 是 不能 上网 吗 之前   先 把 那个 手机号 能报 给 我 一下 是 哪 一个 反映 的   嗯 嗯
为您服务   您好 您 说   噢 附近 其他人 有 信号 吗   都 没有 信号 是 吧
浦东新区 啊 问题 出现 有 多久 了   这个 帮 您 转到 我们 信号 部门 反映 一下 请 您 不要 挂机 周围 其他 号码 都 一样 对 吧   嗯 好 那 好 解决问题 我 将 电话 转 专席 处理 请稍等   不 客气 稍 等 但是
您好 很 高兴 为您服务   稍 等 我 看 一下 啊 小姐 他 是 一张 那个 mpm 的 无线 上网卡 它 这个 网卡 的话 只能 是 用来 上网 和 接听电话 短信 和 语音 功能 都 没   就 买 的 时候 就是 定死 的 这个 功能   上网 的话 你 问 一下 您 公司 因为 这是 通过 集团 申请 具 我们 了解 这种 卡 一般性 都 是 放在 pos 机 或者 你 放在 你 公司 的 一些 设备 终端 里面 用 的
很 高兴 为您服务   周围 其他人 都 有 这个 情况 吗   好 的 稍等一下   您 在 哪个 区 请问
谢谢 啊   需要 办 五块 月租 我 刚刚 受理 一个 那个 地方 的 投诉   啊 对 已经 帮 您 转过 去 受理 了   对 我 现在 用 完 那个 号码 重新 转过 去 反映 了 跟 您 地址 报 的 是 一样 的 噢 我们 会 给 四十八 小时 给 您 回复 的 您 现在 这个 号码 是 有 一个 好 的 好 的 好 的 嗯 嗯 好 祝您 生活 愉快 再见
您好 很 高兴 为您服务   就 家里 其他 移动 号码 都 有 同样 的 信号 计算   那个 南京 西路 那个 地方 吗   噢 那 这边
您好 很 高兴 为您服务   现在 是 跟 宽带 都 不能 用 吗   是 来电 号 办 的 这个 地址 宽带   嗯 现在 这边 是 有 区域性 故障 问题 对 现在 都 不能 使用
很 高兴 服务   周围 人 都 一样 吗   侬 的 问题 没有 解决 是 吗
高兴 服务   停止 是 宽带 还是 手机 流量   手机 流量 是因为 您 今天   因为 每次 欠费 上网 功能 会 自动 关闭 的 您 充 完值 以后 只要 手机 关机 五到 十分钟 就 会 恢复 了 您 试一下
您好 很 高兴 为您服务   你 这边 有 他 联系电话 吗   那 你 直接 打 过去 你 说 这个 问题 我 打 过去 了   就是 当时 留 的 联系电话 报 一下 我 帮 您 反馈
浦东新区 啊 问题 出现 有 多久 了   这个 帮 您 转到 我们 信号 部门 反映 一下 请 您 不要 挂机 周围 其他 号码 都 一样 对 吧   嗯 好 那 好 解决问题 我 将 电话 转 专席 处理 请稍等   不 客气 稍 等 但是
您好 很 高兴 为您服务   呃 您 的 不能 上网 您 稍 等 我 帮 您 看 功能 都 正常 的 今天 因为 是 欠费 停机 过 了 因为 扣 月租 了 吗 因为 每次 欠费 停机 就 不能 就 上网 功能 会 被 关掉 您 只要 手机 关机 十分钟 再 开机 就 能 上 您 试一下 好 吗   对 关个 十分钟 到 五分钟 长时间 看 一下 再开 就 可以 了 啊 好 的 好 的 谢谢 啊 好 没关系 祝您 生活 愉快 再见
您好 很 高兴 为您服务   打 进来 留言 来电 提醒 打 进来 呃 这边 的话 打 出去 可以 吧 这个 状态 打 出去   打多 手机 是 吧 爱 疯 手机 是 吧 转 语音信箱 对 吗 对 的 对 我 教授 的 那个 什么 和 流言 好像 核对 是 爱 疯 手机 是 吧 对 的 也 就是 手机 的 那个 就是 以 自带 的 一个 语音信箱 功能 这边 要 把 它 关掉 的 我 帮 您 转接 到 那个 就是 爱 疯 专席 您 问 一下 怎么 把 它 关掉 您 本身 这个 卡上 没 订过 这个 业务 好 那 您 稍 等 啊 不要 挂机 为了 更好 听 你 再 把 电话 转 专席 处理 请稍等
您好 很 高兴 为您服务   您 说 您 短信 收不到 啊 所有 信息 都 收不到 吗   幺 零 幺 零零 八六 信息 收不到 话费 形式 没有 啊   您 是 查 余额 还是 查 什么
您好 很 高兴 为您服务   哎 您好 能 听到 吗 您 请 说   有 什么 提示 网络 没有 上 网上 不去 是 吧   稍 等 我 查询 一下 什么 时候 办上 网上 不去 的
幺 零三 幺 三   对   嗯   第一个 可能 没有 办 国际漫游 都 要 可能 是 停机 了 您 把 手机号 报给 我 看 一下 吧
您好 很 高兴 为您服务   您 说 上 网上 不去 吗   什么 叫 视频 打 不了 不 懂 嗯 上网 可以 上网 什么 视频 打 不了   那 对 的 但是 没有 软件 问题 不是 您 和 您 的 卡个 好 吧
您好 很 高兴 服务   电话 都 不能 打 了 是 靠近 一二八 纪念 路 吗   好 这边 的话 就是 因为 您 所在区域 正在 进行 网络 升级 你 提供 更好 了 一个 通讯 服务 请 您 稍后 再试 进行 两天 您 这个 区域 都 是 一样 的 现在 目前 在 网络 网络 升级   你 稍后 再试一下
您好 很 高兴 为您服务   上海 移动 这边 噢 好 的   二 五六 一是 吧   手机 服务 密码 知道 吗
您好 很 高兴 为您服务   还是 上 网上 不去 现在   什么 时候 能 上 网上 不去 的   嗯 嗯 有关 机 重新启动 过 吗 发现 上 不 去 的
您好 很 高兴 为您服务   不能 打电话 您 稍 等 啊 您 这 因为 是 实名制 关系 啊 您 这个 要 去 做 一下 实名制 的 带 好 您 的 身份证 原件 到 移动 营业厅 做 一下 实名制   对 现在 因为 国家 规定 很 严谨 的 必须 要 做 实名制 的 不管 在 哪里 面都 是 要 去 做 一下 实名制 的 好 吧   那 您 这边 的话 如果 没有 是 您 只能 重新 买 张卡 了 那 就 没 办法 用 了 那 重新 购买 短信 的 卡片 的 好 吧 因为 这些 都 是 要 实名制 的 啊
