嗯嗯你好 有不能使用是在这个呃查它写村对吧 诶我帮您看一下您稍等 
您好很高兴为您服务 呃您的不能上网您稍等我帮您看功能都正常的今天因为是欠费停机过了因为扣月租了吗因为每次欠费停机就不能就上网功能会被关掉您只要手机关机十分钟再开机就能上您试一下好吗 对关个十分钟到五分钟长时间看一下再开就可以了啊好的好的谢谢啊好没关系祝您生活愉快再见 
您好很高兴为您服务 打进来留言来电提醒打进来呃这边的话打出去可以吧这个状态打出去 打多手机是吧爱疯手机是吧转语音信箱对吗对的对我教授的那个什么和流言好像核对是爱疯手机是吧对的也就是手机的那个就是以自带的一个语音信箱功能这边要把它关掉的我帮您转接到那个就是爱疯专席您问一下怎么把它关掉您本身这个卡上没订过这个业务好那您稍等啊不要挂机为了更好听你再把电话转专席处理请稍等 
您好很高兴为您服务 您说您短信收不到啊所有信息都收不到吗 幺零幺零零八六信息收不到话费形式没有啊 
您好很高兴为您服务 哎您好能听到吗您请说 有什么提示网络没有上网上不去是吧 
幺零三幺三 对 嗯 
您好很高兴为您服务 您说上网上不去吗 什么叫视频打不了不懂嗯上网可以上网什么视频打不了 
您好很高兴服务 电话都不能打了是靠近一二八纪念路吗 好这边的话就是因为您所在区域正在进行网络升级你提供更好了一个通讯服务请您稍后再试进行两天您这个区域都是一样的现在目前在网络网络升级 
您好很高兴为您服务 上海移动这边噢好的 二五六一是吧 
您好很高兴为您服务 还是上网上不去现在 什么时候能上网上不去的 
您好很高兴为您服务 不能打电话您稍等啊您这因为是实名制关系啊您这个要去做一下实名制的带好您的身份证原件到移动营业厅做一下实名制 对现在因为国家规定很严谨的必须要做实名制的不管在哪里面都是要去做一下实名制的好吧 
您好请讲 是本机号码发短信发不出去吗 这边看到您目前的话功能是正常的之前的话可能因为欠费所以没有办法发 
您好很高兴为您服务 嗯嗯 就是收不到一些验证码短信是吧 
公司 嗯信号比较差是移动信号是吗 辖区 
您好很高兴服务喂你好您好请讲那个我这个号码呢我最近是应该清七六星期天吧但香香港嗯一趟香港的然后呢呃当时他就是说就是因为我开通了漫游服务吗再开过了开通以后呢呃就显示什么什么到香港三十块钱一整天的上网到封顶的这个信息这个信息这个我是接受了一半 短信我这边把这个提示短信方式相当于您注意查看一下香港的资费也会短信方式发给您的 信息没有发送 
您好很高兴为您服务 没事话筒的问题吧我这边听您声音很清楚啊 他们就是密码您有吗 
您好兴为您服务唉你好有什么可以帮您 手机信号您周围其他号码都有同样情况吗您好 我说你周围其他的号码的都都有同样的问题是吧 
嗯打进来听到提示音什么他们对方听到提示音是什么打您电话 来电提醒我看一下啊您打出去可以了打出去有问题吗 好的打打不进来对吧您这样稍后用本机编辑一下井号井号二一井号然后按一个打电话那个绿色键把它拨出去 
您好很高兴为您服务 网络没有了 地址是哪里呢 
你好您好很高兴为您服务 嗯先生您网络都正常的请问您那个手机是支持移动四g的吗 你手机那个是什么牌子呢 
您好很高兴为您服务 呃您周围其他移动号码就家里的其他移动号码都有这个同样的问题是吧 我帮您转到我们的信号部门给您反映一下大概问题有多久了 
您好很高兴为您服务 四g网络才能发给接入我看一下 叠加包嘛看一下您上网功能也都正常的要不我这边帮您后台数据网络刷新一下北京西路块过一会关机开机试一下 
您好很高兴为您服务 您说那边没有信号是吧 好请稍等我看一下 
您好很高兴为您服务 那边网络设置为四g网页现在您看一下条那个设置嘛对不对 你手机是什么牌子 
您好很高兴为您服务 呃总是出现就是要么听不到别人别人听不到你的声音对吧您周围其他移动用户也是同样情况吗 上海什么区啊 
您好很高兴为您服务您好 没有四g信号比如说没有觉得你也不知道四g标识的对吧是 网络这边没有帮您关闭过要不我帮您设置一下您稍后重启一下再试一下网络没没有没有听过呀您用的是安卓的手机号 
您好很高兴为您服务唉你好您好 哦好我看一下就您刚说的那个幺三八那个号码对对对哎显示都是正常的然后那个它都正常是吧我帮他刷新一下他的那个状态您用他手机关五分钟重新开机试一下好好好谢谢啊不客气请问还有什么可以帮您 
您好兴为您服务 嗯嗯您是周围其他的号码都一样的情况吗金额不好在哪个区啊 就办理了信号部门给您报修大概问题有多久了嗯 
您好很高兴为您服务为您服务 呃呃就是说您现在所在区所有的移动号码上网都上不了啊 办理信息啊现在 
您好很高兴为您服务 哪个省手机号码报一下 八二六五 
您好很高兴为您服务 嗯嗯 好的我帮您看一下请稍等我已经打过电话了但是现在反映过呢在祝桥镇对吧对的身份证调整这个 
五二 请说 嗯嗯 
您好很高兴为您服务 是我们后台吗 信号问题啊那现在有多久了您只要手机都一样吗 
您好我是预处理专席代表很高兴为您服务这边 是的 嗯 
您好很高兴为您服务 嗯 手机关机重启试过吗 
