嗯 嗯 你好   有 不能 使用 是 在 这个 呃查 它 写 村 对 吧   诶 我 帮 您 看 一下 您 稍 等
很 高兴 为您服务   恩 上海 移动 您好 有 什么 可以 帮 您 哎   因为 其他 移动 号码 都 有 腾讯 号 问题 是 吧 还是 也 就是 什么 道理 啊 那 信号 问题 的话 就 可能 是 指 但 不 太 稳定
您好 兴 为您服务   这个 手机 上 是不是 开通 了 模式 啊   流量 是不是 开过 了 模式 了 呀
您好 很 高兴 为您服务   没有 信号 吗   想 问 一下 这种 情况 出现 多久 了 呢 是 最近 出现 还是 中国 的 意思 就是 我 打 一个 电话号码 我 打打 了 一 下午 然后 他查 一下 他 跟 我 说 呃 账 怎么 尽快 通知 对包
高兴 为您服务   断 的话 您 那个 sim 卡 的话 是 是不是 剪卡想 换 了 有 信用卡 吗 呃 我 听 我 听不懂 是 什么 意思 他 的 手机卡 是   老子 那 那个 sim 卡 放到 其他 的 手机 上 试一下 如果 有 其他 的 问题 的话 可能 是 确认 好 的 问题
您好 预处理 专席 代表 很 高兴 为您服务 就 手   对方 的 号码 有 什么 更新 吗 比如说 都 都 是 联通 的 电信 的 还是 都   请问 什么 时候 发生 的 开始 有 的
兴 为您服务   而且   是 用 家里 的 宽带 无线网络 连接 连 不 上去
您好 很 高兴 为您服务   您 现在 是 在 什么 地方   帮 您 看 一下 啊 嗯 出来 那个 一二八 七年 路 吗
您好 很 高兴 为 您   手机信号 吗   家人 都 需要 吗 嗯 现在 还 在 吗 您好 您好
很 高兴 为您服务   呃 您 不好意思 之后 它 上面 会 显示 什么 什么 取消 的 这种 标识 上面 之前 有 跳 出来 过 吗   你 按井二 幺 井 按 一下 拨打 上面 跳 什么 这样 出来 的
您好 高兴 服务   没有 网络 了 对 啊   嗯 可以 呃 您好 先生 感谢 耐心 等待 我 看 您 这边 手机 上 的 上网 功能 的话 是 有 的 呀 正常 的 呀 手机 关机 重启 试过 吗
不能 接 短信 了 吗   那 您 发短信 可以 发了 两毛   呃 您 是 说 那个 那个 服务 的 验证码 是 吧
很 高兴 为您服务   请 说   就 这个 号码 对 吧
很 高兴 为您服务   呃 不好意思 给 您 添麻烦 是 周围 其他 的 移动 号码 都 有 其他 的 问题 吗   就是 电话 不能 打 流量 能 上 吗
很 高兴 为您服务   宽带 吗   手机信号 不好 对 吗
为您服务   呃 您 报 一下 号码 给 我   呃 您 幺 三八 六七 幺 六零 七二 这个 号码 是 上海 移动 的 号码 吗
您好 很 高兴 为您服务   信号 您 说 您 这个 地方 没有 信号 那边 移动 号码 都 没有 啊 办理 我们 办 不了   什么 时候 发生 的 这个 情况
您好 很 高兴 为您服务   唉 那个 我 这个 短信 发出 去 了 然后 刚刚 打 客服 说 他 帮 我 解封 了 怎么 到 现在 还是 发票 呢 稍 等 我 查询 八 零零 您 现在 短信 功能 已 被 停机 多次 现在 没有 办法 恢复 了 这个 月 你 平均 三次   然后 是 在 一月 十八号 就 可以 了
您好 很 高兴 服务   就是说 算 这种 在 手机 上去 一下 井井 二幺井 拨号键 然后 再 帮 您 手机 关机 重启 一下   在 您 手机 上 操作 井号 井 号 二 幺 井 号 再 按 拨号键
您好 很 高兴 为您服务   呃 微 信号 报 一下 号码 多少   幺 三四 七 二七 二三 幺 幺 三 对 吧
您好 很 高兴 为您服务   这 上网 功能 是 正常 的 您 处理 数据 开关 打开 也 不能 上 对 吧   月初 的 时候 停过机 的 停机 之后 要 关机 重启 一下 是不是 没有 重启 手机
您好 很 高兴 为您服务   是 打 过来 什么 提示 一年 不到 吗   您 是 上面 是不是 开 我 老婆 是 吧 你 看 一下
您好 很 高兴 为您服务   就 家里 其他 移动 号码 都 有 同样 的 信号 计算   那个 南京 西路 那个 地方 吗
您好 兴 为您服务   您 手机 是 不能 上网 吗 之前   先 把 那个 手机号 能报 给 我 一下 是 哪 一个 反映 的
为您服务   您好 您 说   噢 附近 其他人 有 信号 吗
浦东新区 啊 问题 出现 有 多久 了   这个 帮 您 转到 我们 信号 部门 反映 一下 请 您 不要 挂机 周围 其他 号码 都 一样 对 吧   嗯 好 那 好 解决问题 我 将 电话 转 专席 处理 请稍等
您好 很 高兴 为您服务   稍 等 我 看 一下 啊 小姐 他 是 一张 那个 mpm 的 无线 上网卡 它 这个 网卡 的话 只能 是 用来 上网 和 接听电话 短信 和 语音 功能 都 没   就 买 的 时候 就是 定死 的 这个 功能
很 高兴 为您服务   周围 其他人 都 有 这个 情况 吗   好 的 稍等一下
谢谢 啊   需要 办 五块 月租 我 刚刚 受理 一个 那个 地方 的 投诉   啊 对 已经 帮 您 转过 去 受理 了
您好 很 高兴 为您服务   就 家里 其他 移动 号码 都 有 同样 的 信号 计算   那个 南京 西路 那个 地方 吗
您好 很 高兴 为您服务   现在 是 跟 宽带 都 不能 用 吗   是 来电 号 办 的 这个 地址 宽带
很 高兴 服务   周围 人 都 一样 吗   侬 的 问题 没有 解决 是 吗
高兴 服务   停止 是 宽带 还是 手机 流量   手机 流量 是因为 您 今天
您好 很 高兴 为您服务   你 这边 有 他 联系电话 吗   那 你 直接 打 过去 你 说 这个 问题 我 打 过去 了
浦东新区 啊 问题 出现 有 多久 了   这个 帮 您 转到 我们 信号 部门 反映 一下 请 您 不要 挂机 周围 其他 号码 都 一样 对 吧   嗯 好 那 好 解决问题 我 将 电话 转 专席 处理 请稍等
您好 很 高兴 为您服务   呃 您 的 不能 上网 您 稍 等 我 帮 您 看 功能 都 正常 的 今天 因为 是 欠费 停机 过 了 因为 扣 月租 了 吗 因为 每次 欠费 停机 就 不能 就 上网 功能 会 被 关掉 您 只要 手机 关机 十分钟 再 开机 就 能 上 您 试一下 好 吗   对 关个 十分钟 到 五分钟 长时间 看 一下 再开 就 可以 了 啊 好 的 好 的 谢谢 啊 好 没关系 祝您 生活 愉快 再见
您好 很 高兴 为您服务   打 进来 留言 来电 提醒 打 进来 呃 这边 的话 打 出去 可以 吧 这个 状态 打 出去   打多 手机 是 吧 爱 疯 手机 是 吧 转 语音信箱 对 吗 对 的 对 我 教授 的 那个 什么 和 流言 好像 核对 是 爱 疯 手机 是 吧 对 的 也 就是 手机 的 那个 就是 以 自带 的 一个 语音信箱 功能 这边 要 把 它 关掉 的 我 帮 您 转接 到 那个 就是 爱 疯 专席 您 问 一下 怎么 把 它 关掉 您 本身 这个 卡上 没 订过 这个 业务 好 那 您 稍 等 啊 不要 挂机 为了 更好 听 你 再 把 电话 转 专席 处理 请稍等
您好 很 高兴 为您服务   您 说 您 短信 收不到 啊 所有 信息 都 收不到 吗   幺 零 幺 零零 八六 信息 收不到 话费 形式 没有 啊
您好 很 高兴 为您服务   哎 您好 能 听到 吗 您 请 说   有 什么 提示 网络 没有 上 网上 不去 是 吧
幺 零三 幺 三   对   嗯
您好 很 高兴 为您服务   您 说 上 网上 不去 吗   什么 叫 视频 打 不了 不 懂 嗯 上网 可以 上网 什么 视频 打 不了
您好 很 高兴 服务   电话 都 不能 打 了 是 靠近 一二八 纪念 路 吗   好 这边 的话 就是 因为 您 所在区域 正在 进行 网络 升级 你 提供 更好 了 一个 通讯 服务 请 您 稍后 再试 进行 两天 您 这个 区域 都 是 一样 的 现在 目前 在 网络 网络 升级
您好 很 高兴 为您服务   上海 移动 这边 噢 好 的   二 五六 一是 吧
您好 很 高兴 为您服务   还是 上 网上 不去 现在   什么 时候 能 上 网上 不去 的
您好 很 高兴 为您服务   不能 打电话 您 稍 等 啊 您 这 因为 是 实名制 关系 啊 您 这个 要 去 做 一下 实名制 的 带 好 您 的 身份证 原件 到 移动 营业厅 做 一下 实名制   对 现在 因为 国家 规定 很 严谨 的 必须 要 做 实名制 的 不管 在 哪里 面都 是 要 去 做 一下 实名制 的 好 吧
您好 请 讲   是 本 机号码 发短信 发 不 出去 吗   这边 看到 您 目前 的话 功能 是 正常 的 之前 的话 可能 因为 欠费 所以 没有 办法 发
您好 很 高兴 为您服务   嗯 嗯   就是 收不到 一些 验证码 短信 是 吧
公司   嗯 信号 比较 差是 移动 信号 是 吗   辖区
您好 很 高兴 服务 喂 你好 您好 请 讲 那个 我 这个 号码 呢 我 最近 是 应该 清 七六 星期天 吧 但 香 香港 嗯 一趟 香港 的 然后 呢 呃 当时 他 就是说 就是 因为 我 开通 了 漫游 服务 吗 再 开过 了 开通 以后 呢 呃 就 显示 什么 什么 到 香港 三十块 钱 一整天 的 上网 到 封顶 的 这个 信息 这个 信息 这个 我 是 接受 了 一半   短信 我 这边 把 这个 提示 短信 方式 相当于 您 注意 查看 一下 香港 的 资费 也 会 短信 方式 发给您 的   信息 没有 发送
您好 很 高兴 为您服务   没事 话筒 的 问题 吧 我 这边 听 您 声音 很 清楚 啊   他们 就是 密码 您 有 吗
您好 兴 为您服务 唉 你好 有 什么 可以 帮 您   手机信号 您 周围 其他 号码 都 有 同样 情况 吗 您好   我 说 你 周围 其他 的 号码 的 都 都 有 同样 的 问题 是 吧
嗯 打 进来 听到 提示音 什么 他们 对方 听到 提示音 是 什么 打 您 电话   来电 提醒 我 看 一下 啊 您 打 出去 可以 了 打 出去 有 问题 吗   好 的 打打 不 进来 对 吧 您 这样 稍后 用本机 编辑 一下 井号 井 号 二 一井号 然后 按 一个 打电话 那个 绿色 键 把 它 拨出去
您好 很 高兴 为您服务   网络 没有 了   地址 是 哪里 呢
你好 您好 很 高兴 为您服务   嗯 先生 您 网络 都 正常 的 请问 您 那个 手机 是 支持 移动 四 g 的 吗   你 手机 那个 是 什么 牌子 呢
您好 很 高兴 为您服务   呃 您 周围 其他 移动 号码 就 家里 的 其他 移动 号码 都 有 这个 同样 的 问题 是 吧   我 帮 您 转到 我们 的 信号 部门 给 您 反映 一下 大概 问题 有 多久 了
您好 很 高兴 为您服务   四 g 网络 才能 发给 接入 我 看 一下   叠加 包嘛 看 一下 您 上网 功能 也 都 正常 的 要 不 我 这边 帮 您 后台 数据网络 刷新 一下 北京 西路 块 过 一会 关机 开机 试一下
您好 很 高兴 为您服务   您 说 那边 没有 信号 是 吧   好 请稍等 我 看 一下
您好 很 高兴 为您服务   那边 网络 设置 为 四 g 网页 现在 您 看 一下 条 那个 设置 嘛 对 不 对   你 手机 是 什么 牌子
您好 很 高兴 为您服务   呃 总是 出现 就是 要么 听 不到 别人 别人 听 不到 你 的 声音 对 吧 您 周围 其他 移动用户 也 是 同样 情况 吗   上海 什么 区 啊
您好 很 高兴 为您服务 您好   没有 四 g 信号 比如说 没有 觉得 你 也 不 知道 四 g 标识 的 对 吧 是   网络 这边 没有 帮 您 关闭 过要 不 我 帮 您 设置 一下 您 稍后 重启 一下 再试一下 网络 没 没有 没有 听过 呀 您 用 的 是 安卓 的 手机号
您好 很 高兴 为您服务 唉 你好 您好   哦 好 我 看 一下 就 您 刚 说 的 那个 幺 三八 那个 号码 对 对 对 哎 显示 都 是 正常 的 然后 那个 它 都 正常 是 吧 我 帮 他 刷新 一下 他 的 那个 状态 您 用 他 手 机关 五分钟 重新 开机 试一下 好好 好 谢谢 啊 不 客气 请问 还有 什么 可以 帮 您
您好 兴 为您服务   嗯 嗯 您 是 周围 其他 的 号码 都 一样 的 情况 吗 金额 不好 在 哪个 区 啊   就 办理 了 信号 部门 给 您 报修 大概 问题 有 多久 了 嗯
您好 很 高兴 为您服务 为您服务   呃 呃 就是说 您 现在 所在区 所有 的 移动 号码 上网 都 上 不了 啊   办理 信息 啊 现在
您好 很 高兴 为您服务   哪个 省 手机号码 报 一下   八 二六五
您好 很 高兴 为您服务   嗯 嗯   好 的 我 帮 您 看 一下 请稍等 我 已经 打 过 电话 了 但是 现在 反映 过 呢 在 祝桥 镇 对 吧 对 的 身份证 调整 这个
五二   请 说   嗯 嗯
您好 很 高兴 为您服务   是 我们 后台 吗   信号 问题 啊 那 现在 有 多久 了 您 只要 手机 都 一样 吗
您好 我 是 预处理 专席 代表 很 高兴 为您服务 这边   是 的   嗯
您好 很 高兴 为您服务   嗯   手机 关机 重启 试过 吗
