您好请问需要办理新装宽带吗嗯是 嗯 噢好的那麻烦您告诉我一下您安装的地址在哪里我帮您查查一下地址是在那个呃将军大的 将军大道二百一十八号 
您好很高兴为您服务 诶我我这个这个宽带就是不是要取消取消一下怎么解决 宽带要取消是吧哎呃这面活动绑定的时候本人带身份证到营业厅取消可是您这个宽带有活动绑定还没到期啊 呃幺就诶快到了反正提前取消 
您好请讲你好我 咨询一下恩打扰钟到达什么标准才能办那个宽带业务啊我是移动的周五啊这个 您是现在您家里想需要装调家庭宽带是吧 对可以这么理解 
早上好请说 喂诶你好我那个宽带的这个月到期啊手机你直接给我取消掉您好请稍等一下先生我帮您查一下嗯嗯请不要挂机稍等 噢刚才到这个月的月底面是下个月开始不想要是吧 对不是现在 
您好请说 呃我想咨询一下现在的宽带的话是怎么安装的 您想本机安装安装宽带是吧 嗯本机我我的号码不是我现在不在厦门我人在三明 
您好请讲 噢我呃这个本地那个呃网络要要天 迁移 嗯嗯嗯嗯 
嗯嗯您好有需要新装宽带吗 对啊 好的您跟我说下呃 六 
您好很高兴为您服务 你好我这边办理移机一下 您说宽带移机是吗 对 
早上好 我们这边要办理记一下 宽带移机是吗 对对对 
您好请说 你好我我要移机一样 您宽带要移机是吗您本机号码办理的移动宽带吗 对对对对 
您好请问需要新装宽带什么噢对是呃本机办啊嗯对行那您这个地址告诉我帮您看一下每次呀 噢早上我拨打过来只是说你这个打打打打打不通我这边是有光纤上网的这个这样的就是泉州鲤城区 对呀你说噢那泉州号码办啊您这个是莆田的号码那只能充值多少钱啊 噢噢我现在打过去他他自动接到那个莆田的这个移动是吧 
嗯您好很高兴您服务 呃我想那个办理那个宽带业务 呃要新装宽带是吗对对是恩好那您不要挂机我帮您转接宽带专席这边请稍等一下啊 
大学 啊你好我是想说那个我想宽带到期之后有取消不要自动运行不行啊 不好意思先生我这边取消不了不好意思 卡 
你好啊你好 我想申请一下那个移机 噢宽带移机噢 对对对 
您好请问本机新装宽带吗 噢我想宽带移机移机 宽带移机好的那我先麻烦您说一下新的地址我登记一下 嗯福建市海口镇哎口村功能链接楼上 
您好请说你好 你好我想宽带移机 宽带移机是本机号码办的宽带移机吗 诶 
您好 诶你好嗯请讲哦我就是那个宽带不是那个当时办办理那个宽带已经到期了噢 我看一下本机申请的是吗 哎这本机申请 
您好很高兴为您服务 诶您好我那个 嗯你这部手机他当时叫我办的那个 流量然后有送宽带的帮我看一下然后我现在要要装宽带的 
不客气您好请讲取消你好 呃是噢我要宽带可以提醒一下 宽带要移机的吗 嘞 
您好请问是本机新装宽带吗 对想装诶你这个是不是有那个就是跟话费捆绑在一起的是有什么活动吗 噢有它最低的话是每个月七十九的套餐 哎七十九块然后使用多久 
您好请问新装宽带吗 诶对你好那个我这个移动套餐不是赠送了一个宽带吗 呃对那您安装的地址提供一下 呃我装的地址是在同安厦门市同安区 
嗯您好很高兴您服务您好 喂你好 哎您好请讲 嗯请问一下我我这个宽带要移机嘞 
您好请说 喂你好我宽带想移机因为是什么东西呀 呃是本机的宽带要移机是吧 对对对 
您好请问需要办理新装宽带吗 啊对就是说我前面是说有客服给我打电话说我这个号码是可以就是我这个手机号码可以装一部宽带嘛它是一年送一年因为之前的话有那个工作人员说我住的那个地方是没有端口现在因为我搬的房子我想问一下还可以装吗 买一年送一年这个活动已经结束没有办这个活动我们现在是办套餐送宽带的但最低的是有一个七十九套餐七十九块一个月有两百分钟本地拨打国内电话然后有一g的流量五百兆国内五百兆省内总共是一个g还有包含五十兆的宽带跟互联网电视这样子 噢是这样的呀这样的话嗯那好吧那我一下 
嗯 拜拜 嗯 服务请问是本机号码新装宽带是吗 
您好您需要新装宽带吗 哎你好对我就问一下我现在这边现在能不能装之前有申请过说是没有端口不知道现在能不能装好 呃地址是哪里 地址就是嗯大堂下加油站附近 
您好您是要新装宽带吗 诶对你好 您好 我我是要那个移机啊 
二百条 喂 恩你好 诶你好我那上次在那个移动那边登记宽带呀因为我等等等不了我现在已经换了别人想麻烦你帮我退掉吧 
你好喂你好 啊你说一下我这个宽带取消对能帮我 噢宽带取消只能在营业厅办理人工台是办理不了的 取消办理不了啊 
您好请说吧你好帮我那个这个手机的那个宽带给我取消掉了不好意思我们这个电话中的话取消不了宽带而且您这号码有绑定宽带合约还没到期您可以等宽带活动到期后再去营业厅让他们给您取消宽带 什么时候到期啊 我看一下这个是到明年吧明年的十月一号两年啊对 多久那提前取消不行吗 
嗯哼您好请讲 呃小姐诶你好诶我不知道月十五号楼二六换了六零三的我当初装的宽带那个综合北吧 呃什么没啦机顶盒是吗 吧 
您好很高兴您服务 哎你好我这边要那个宽带要移个地方 嗯您是说您这张卡当中所申请的宽带要移机是吗 哎不是我另一个号码的 
您好请讲 诶你好嗯不用我要一个宽带 要移机是吗好的那这边的话不要挂机我帮您转接到专家专家这边帮您联系一下您稍等 
您好请说 哎你好嗯幺八套餐它要多久 什么是办理那个宽带啊办理关就是登记宽带是吧 对啊 
你好请问是要宽带移机吗 对吧 噢好的那我帮您登记一下新地址是哪里呢 哎我我它那边信息可能有限噢 
为您服务 帮您 您好很高兴为您服务诶我 宽带那个 
再见你好请讲 诶那我这边要装宽带 可以的那我这边给您转宽带专席登记不要挂电话好吗 啊 
您好请问需要新装移动宽带吗 嗯对我想宽带移机 好的没有问题您这边的话要移机的新的地址在哪里我来帮您做申请 嗯嗯湖里区普元设 
嗯嗯嗯嗯您好您说你好我想就是把宽带迁到另外一个地方去 可以呀那移机是吧 呃对新的只知道位置吗呃知道 那您不要挂机我这边帮您转接咨询一下直接帮您登记好吗 
您好请问是要办宽带移机是吗 呃对我还想说因为我搬的新疆那边是有电视的我就想说现在就是电视这一块现在是装个机顶盒还是怎么样木跟电视一起连着 之前我这个月就只有流量这边是没有装电视的只办了一个宽带那您现在的话需要办电视电视的话要去营业厅进行申请办理 到营业厅进行升级办理噢就是我可以帮您办理移机 
工号请问是办宽带移机吗 对啊 哎您要移机新的地址是哪里我看下有没有线路啊 全部三七二三七呢 
你好你好您好 嗯嗯你好我想申请一下那个移动宽带 呃您要新装宽带是吧二 我现在因为营业厅装了别的我换 
您好请讲 诶你好呃我想问一下我这边宽带要迁移的话怎么 真的宽带清零 嗯 
您好本机要新装宽带吗 哎你好我对我想在翔安店香港那边我厦门翔安那你们有没有包年的套餐吗 呃有啊我们如果五十兆包年是七百二十块噢五十兆是八百四十块一年二百四十块呃我是建议您办套餐会比较合算您这种是二十八的吗只要涉及到我们七十九套餐就会收您一条五十兆的宽带 噢就是就是移动官网上面的那个五十兆的那个手机加宽带加电视这个是吧 
很高兴为您服务您好 哎你好请问下我这边想办一个那个宽带 需要新装宽带是吗啊对 诶我就是我之前有装过但是 
你好本机新装宽带吗 哎你好我问一下我那个那个就是光纤那个盒子到我家里边还有两百多你能不能迁过去啊 噢两百多没有检查您看一下您要安装的地址在哪里我帮您查一下其他端口地址在哪里 就是充下镇大集团 
您好请讲呵呵 噢 喂你好 这样嗯我以前我这个套餐以外登记过宽带 
您好很高兴为您服务 啊你好我想问 对嗯您好什么可以感谢您说 啊我想把宽带移到别的地方 
您好请讲 诶 我我我装的 宽带宽带这个这这怎么怎么怎么联系啊 
您好请问本机要办理宽带移机吗 对 移机的地址新的地址知道在哪里吗 呃知道 
您好请说 哎你好我有个宽带到关于内使用我现在是在浦东西路公园之间嗯嗯诶 你是说你要保留宽带宽带的那个地址移一个是吗 对对对 
请问是本机号码新装宽带是吗 嗯对 给您安装宽带的地址给您装哪里呢 光谱那个黄明白没接到 
您好请讲 诶您好 诶你好 我想问一下那个就是办套餐那个有送那个宽带五十兆的那个厦门这边呢 
您好您需要什么宽带吗 喂我要那个把这边的那个宽带移到别的地方去 噢好就本机的噢 不是诶他之前那是去年十一月份给我送的吗 
您好请讲 跟你的宽带怎么办啊 本机要办移动宽带是吗 嗯嗯 
您好请说 诶你好 诶您好 嗯嗯号码给我在平时使用哎可不可以嗯唉诶 
您好请说 喂你好评价诶我这个手机之前是有绑定一个宽带就是手机存那个 帮您查一下请稍等 噢 
您好很高兴为您服务 呃您好就想帮我的宽带迁移一下 呃要办宽带移机是吗对对对嗯可以您这边是本机号码绑定非常吗还是对嗯本机号码呃本机号码我后台查了一下您现在是在尽管声音服务在那边是不是就的 在 
哎请讲 你好 诶您好请问什么可以帮到您我说呃 是这样的我现在换一个幺三九的一个 
您好请讲 哎您好是这样我这有办理的呃有买这个卡完了之后它里面是有送那个宽带的 嗯嗯 我想登记一下噢帮我这个宽带装一下 
您好请说 喂你好你好我想帮我发的宽带来移掉 请稍等移到什么地方呢您把新的地址报给我一下 噢级投诉村 
嗯很高兴服务没有我是想这边移机过来我说我打电话手机停电过来嗯他们过来好我马上帮您查一下恩没看到有申请移机啊您是直接联系他个人吗什么所以我一个人他这个他也不九呃因为现在过来还差明白好那我这边重新帮您申请请稍等嗯嗯 
您好很高兴为您服务 哎你好你能帮我那个查询一下那个宽带嘛然后叫他过来帮我安装一下那个确定了 可能是宽带已经装了然后机顶盒还没装是吗 呃对业务都已经办理了主要联系那个师傅过来帮我装下都可以 
再联系啊 诶你好 诶你好 啊我不是有申请那个一一顶盒吗 
你好请说 诶你好呃我这个手机号不是有绑定一个网络吗 呃对 对然后那个网络能不能移就是移到别的地方来了啊 
七五 您好请说 诶喂你好是这样的我现在包了一个地方能帮我办那个一期恩嗯然后的话就是下怎么怎么弄怎么做 您要办宽带移机是吗 
对 很高兴为您服务您好 你好我想我想把那个宽带给屏蔽一下 请您稍等新地址已经都确定好了吗 
您好请讲 诶你好我是这样子噢我想装一条宽带然后这个是不是我这部手机就可以免费赠送一条宽带啊 呃您这个套餐目前没有送宽带您要送宽带可以改比如说七十九或者九十九那些套餐那个套餐会有送宽带我这个是多少的套餐噢现在目前是八十八的它没有送啊 噢九十九送宽带送多少兆的 
您好请说 哎你好我问一下你帮我看到是什么时候时候说那个我也想装那个宽带 就本机号码想安装我们的移动宽带对吗 哎对 
您好有什么可以帮您 呃我想我想问一下就是那个呃欠了一条宽带嘛那个就是用的那个呃就是我现在要把要要那个要加一个那个电视的吗 嗯嗯对 然后就叫你们安装过安安装人员过来帮我安装一下 
您好请讲 没有 喂诶您好诶您好先生请讲有什么可以帮您的吗你好 你好我那个不是那就移动他那个网线的有那个手机呢就是保底花话费那个有吗 
好请问是本机新装宽带吗 呃您好我是想说那个宽带地址那个牵换那个一地址 噢宽带移机是吗 对他地址 
幺五零您好请说 哎你好我想迁宽带是本机要办吗呃是的 那您别挂机我帮您转到宽带新装的客服 噢谢谢 
中午好很高兴为您服务 哎你好麻烦我我现在我要退订一下那个宽带业务 噢宽带要退订那先生是这样子宽带这边的话您不需要持本人身份证然后去当地营业厅这边才能取消啊 噢这样子嗯 
你好请问什么可以帮您 喂您好我想办一个宽带 你说要用本机号码申请一条宽带业务在厦门地区是吗 嗯 
您好很高兴为您服务哎你好你这是是怎么样 呃是本机号码的宽带要移机是吧 呃对对对我帮您转接宽带专席登记一下请稍等哎 
您好请说喂您好我那个呃这个活动车可以装宽带是吧 您是要办理我们这边的那个宽带啊 对对对嗯 那您现在不要挂机我帮您转接到那个宽带专家为您查询受理一下哈 
您好请讲 诶你好呃我是这样子的因为我是在这边有了的那个呃网络那我现在要办反正搬到隔壁去要不要 你能不能安排能帮我线迁一下对按申请一次好那不要挂机我们要转宽带客服这边帮您办理 移机吗这样子 
比较记录下本机号码申请宽带移机吗 呃我是就是搬家吗然后我的网络式在这边那我就要搬到联隔壁吗就是也很近啊只要线了一下就可以这个要 改新的地区 新的地址嘛就一百六十号啊杭州她的一百六我原本是一百六十一号嘛现在是一到一百六十号 
您好请说 喂我想请问一下就是我那个宽带我能不能办一下就是帮我移一下我不知我不知道那里了 宽带要移机是吧 啊 
您好很高兴为您服务 喂你好 诶您好 诶我是想咨询一下我这个幺八八的那个全家统套餐是它是免费升现在升跟那个电视嘛 
噢您好请讲 喂你好 嗯 这个手机套餐不是那个幺八八全家统吗然后里面不是有个那个宽带的嗯嗯然后没关掉一下师傅帮我安装一下 
您好什么可以帮您 哎你好我那个宽带要移过去一到嗯另一个地方愉快再见 宽带移地方是吗 对对对 
您好请讲 你好我想宽带移机 宽带移机啊稍等一下新的地址在哪里我帮您报上去处理 就是楼上楼下 
嗯请讲 喂你好你这个移动的宽带打什么电话呀 宽带怎么了 我要我要那个转移 
哎唉呀您好请讲 你好我这手机不是有送一个宽带嘛然后我宽带现在房子搬了我想把那个宽带移下来是跟你这边联系还是怎么样 是本机的是啊 对 
行请问是宽带移机吗 对宽带已经嗯好的稍等一下 这边显示原来地址在那个嗯同安区翔桥后沟村的翔桥路林立一百八十号这里是吧 对的 
很高兴为您服务你好 诶请问下那个 嗯 呃之前你们有人打电话说可以免费送宽带 
您好请讲 呃喂你好就是我昨天预约是我们家新装宽带吗然后但是我昨天说不要机顶盒然后我后来想想还是要顶盒吧您帮我把这个再选上了 好您稍等有没有师傅跟您联系的呢现在 要要要师傅跟我联系了但是我们说的是周六早上 
您好请说 啊我这个手机套不是有一个那个哦好好什么业务啊那个宽带业务啊 宽带业务然后现在什么问题呢 呃我现在要违约 
再见 啊 您好请讲 哎你好我这边要移机 
您好请讲 诶你好我是那个诶本机号码的那个宽带用户我那个房子有办了一个地方那个宽带现在 嗯六二 啊 
嗯嗯 您好请问您是办理宽带移机吗 喂你好我是宽带已经没错 噢那移机新地址哪里报一下 
好请讲 那个转那个宽带的 噢好宽带故障吗 没有宽带的那个 
您好高兴您服务您好嗯 你好我咨询一下就是你们这个宽带业务 嗯宽带什么问题先生 啊没有就是要办啊对对对对对稍等一下三十 
哎对您好请说 喂你好嗯你帮我那个宽带帐号啊 噢您是说您家里的宽带不能用了是吗 噢现在要关掉了暂时不用 
但是您好您是要新装宽带吗 对呀我现在我这部手机能不能办回来就开吧 嗯您现在每个月套餐八十八块钱可以考虑下个月改一个九十九的会送一条一百兆宽带 噢就是就就是免费装是吗 
你好你好请讲 诶你好我这个宽带想移机一下 呃本机办理的宽带移机是吗 您稍等我就在银行免费是就说从我的线拿过来再也是一楼就是昨天移到右边一下 
您好我本机要新装宽带吗 呃对啊嗯嗯我没啦 呃安装宽带地址在哪里我给您查一下 呃你就是我的多家按这个手机号码去申请那个多装那个宽带要多多增加多少费用 
您好请说您好喂你好诶你好 诶我刚刚有那个月的那个呃宽带宽带那你帮我改这个改 很抱歉电话声音断断续续的您说预约宽带怎么了 你帮我取消一下了 
您好请讲诶你们刚 那个我预约申请安装宽带然后我现在想变更一下那个改成星期六装你六加十五个g装 呃账号是先本机吗 诶对就是一个新增了一个新增一个宽带 
呃您好请讲 小姐帮我问我问一下那个比如说我要移动欠那个光纤怎么弄 呃您是要办理宽带是吗是是是是嗯那您不要挂机我帮您转接我们的新装宽带专席您更好的咨询一下 好行 
您好请讲 诶我想办个宽带 嗯宽带需要申请多少兆的啊您这边本机要昨天三十八块 九十九元套餐 
您好请问什么可以帮到您 哎你好帮我查一下那个厦门那个 宽带移机的好的宽带移机是吧那您稍等不要挂机我帮您转接祝您 
您好请问新装宽带是吗 哎对宽带一般到哪个地方可以装吗移动是我这边可以办 我这边就是专门办宽带业务的如果您想办的话像您这个号码你可以办一个一个月改成七十九套餐它有送两百分钟本地打国内通话还有一千兆的流量在福建省都能用还有一条五十兆光纤的速度 诶不是铁通的你这是不是铁通的我要办铁通的在移动收购了 
您好请讲 喂你好 嗯请讲 嗯请问一下那个呃人签移动的宽带 
哎您好什么可以帮您 宽带移机一下 是您本机办理的宽带还是其他号码 本机 
什么你好请问是本机要新装宽带吗 啊对呃那个手机问你宽带一个月多少钱 宽带套餐的话我看一下您现在是十八元的手机套餐可以考虑换成七十九元的手机套餐 里面就有包月八月份 
您好您说 不要呃喂你好我想问一下现在宽带业务 需要新装吗 嗯不是我想停 
您好请说 我那个呃我想移动不是有那个办理宽带吗 嗯宽带什么问题呢 我要办那个 
您好请问是本机要新装宽带吗 呃对的是这样子我那个呃目前用的宽带是我是有的号码但是他那个号码会注销掉但是我这个宽带我要继续用要说我用我的号码自己去再申请一条是不是哎 是没错 哎那那这个申请的话现在 
高兴为您服务 喂你好 有什么可以帮您的 哎你好那种要移机我那边是 
你好请讲 哎你好我想问一下我的宽带已经到期了然后可以你们直接帮我取消吗 宽带人工台无法取消需要带身份证营业厅柜台才可以关的 噢嗯手机不能嘞 
您好很高兴为您服务请问您号码申请宽带移机吗对对对 请问您想要新申请安装宽带的地方是在哪里呢 呃二百四十二二零四 哪里的二百四十二 
早上好 哎你好我想办一下移机宽带订 充到营业厅我们直接帮您登记一下您告诉我一g的新的地址要移到什么地址过去地址告诉我一下 把它那个呃新罗区西南新村南巷七十八号 
您好 我话费流量包喂你好我我问一下就是说我要办这个移动宽带那个业务 您是要新装宽带是吗 对啊 
好讲 诶麻烦我问一下那个我为你这个宽带嘛是吧不要了那个什么怎么弄啊 宽带如果是不用完二去营业厅那边取消 你要我自己本人 
噢请讲 喂你好 你好 麻烦你帮我装宽带 
您好请问本机新装宽带吗 呃我这个的话是之前的话有一个条宽带吗然后现在换宿舍想要把那个宽带迁到新的那个地方去 稍等一下哦嗯先生这边要移机对吧换一个位置是吗 诶 
您好请说 你好我这个我这个手机号码有登记那个宽带服务对吧然后我现在已经搬交了他昨天叫他签那边说牵不了了 嗯嗯然后现在做什么 那我现在的话你先不了的话能不能把我这个业务给暂停也取消掉因为我不可能一直消费用用看不了电视啊 
您好请问新装宽带是吗 是啊我原来是装在嗯那个受受理了现在也一般在手机买那就是在港口那里 噢还是岗区镇噢 噢原来是现在条件吗家地址我想移到这个服务器我因为我在使用这边开店 
您好请说 噢要我我就和阳的有一个那个你们这边的话之后宽带的宽带的那个房在我那个然后那个详细我现在要要要要要要移掉 噢要装修是吧那您是在那个会儿是不是 呃惠呃惠安徽安徽阜阳了 
您好请讲你好可以听到吗 噢你好 哎你好嗯 我我我就说我现在要宽带移机嘛 
中午好请说 诶喂你好我想问一下那个呃宽带的之后 是需要办宽带是吗 对对对 
您好请问新装宽带吗 对啊 您好您要在哪里我们帮您帮您申请啊 我们要装在福马路五百号耳语国际公园 
您好请讲其他款 你好我下午点那个呃但是你的那个宽带套餐帮我取消一下 宽带您这个九十九套餐我们这边人工台取消不了您如果不用的话这个要到营业厅把这个宽带的就是套餐取消掉反正其他的呃 这叫下午他那个装宽带那个师傅他宽带转过来然后那个师傅跟我讲他会帮我取消掉 
您好喂您好请讲 我想问一下就是那个宽带我已经搬到别墅可不可以帮我移到别处 嗯那您现在不用挂电话马上帮您转我们宽带专线那边给您登记办理移机一下噢请稍等 
您好请说 喂 你好 就是我刚才有打做咨询吗然后他说要为什么营业厅五七八的反正我这边宽带的话到期了嗯我就是包年的嘛之前到期了你们帮我取消掉吧扣两个月的费用而且没有任何通知你这边马上给我取消那个宽带然后把这两个月的费用退给我 
查询你好请讲 哎您好我想那个安装就是光纤入户一下你那边怎么时候技术人员啊我预约下 呃您说本机号码要申请宽带是吗 呃对 
你好什么可以帮您 喂你好诶我申请的那个宽带我现在不想要了那个没用那个宽带拉进来也没有 我这边申请的宽带是吗 就这个手机号申请的 
您好请说您好 喂你好 唉 唉那个就是我这个手机号码想申请那个宽带我现在要取消掉 
您好请说 哎你好 诶您说 我我想办那个那个什么一百三十多那个手机绑定宽带宽带免费的那种那种业务 
再见您好请问是本机要新装宽带吗 啊对 安装地址您告诉我一下嗯呃我是想在农村按一个不知道可不可以那详细地址先告诉我先查一下好吗 就是 
您好很高兴为您服务 诶您好是这样的我这边要办理宽带有没些业务 是本机要办理是吗哎对的恩好那您不要挂机我帮您转接到宽带就是迁移的专门工作人员帮您核实处理您稍等一下 
被变态多了我欠费一个月三百多 你好 哎你你帮我查询一下我这个号码要装那个宽带啊现在是什么情况 装宽带我帮您看一下 
您好什么问题您好啊喂你好我是那个那个什么我想迁一下那个移动移动那个网呃办宽带是吧啊对我帮您看一下噢对行那就那就出来从对嗯再见再见对 好 谢谢好呃包括那您不要挂我帮您转宽带客服稍等一下噢嗯嗯好 
您好请讲 您好我这个宽带没有我嗯如果说这样 宽带移机是吧 对 
您好请讲 喂你好 您好请讲 诶我这个我要搬家搬家我这个宽带要移机 
您好请讲 喂你好 有什么可以帮助到您 诶我现在这个 
哎 好的您好请问新装宽带是吗 呃对我想移 移动 
您好请讲 呃我想装那个宽带 呃本机号装移动宽带是吧 噢 
你好您好很很高兴为您服务 你好我这个宽带我我已经申请完交完钱了我现在申请安装 你说这个来电号码办的宽带是吧 对对五十八这种 
您好很高兴服务 你好就是我原来不是买了你们那个那个宽带吗那么我就到期了我不想用了我今天想把那个设备花销是吗 
您好很高兴为您服务唉 你好就是我我这个手机号下面有一个宽带麻烦你帮我解绑一下 行宽带解绑 有一个咱们移动的宽带 
您好高兴为您服务 唉你好呃我的那个呃移动套餐里面有一个就是宽带赠送的好像是一个宽带中国移动的宽带然后我现在想移机 好的您稍等我看一下 啊哦 
您好很高兴为您服务 你好是这样子我想修改一下那个办理宽带的时间 噢就是安装时间要改一下是吗 对的对的 
您好很高兴为您服务 唉你好呃我这边就是和平这边进入想装一个宽带你那边就是二十兆的 噢那小姐你把这边的门牌地址报一下我帮您查一下能不能装移动这边的 噢进入二十五号河泾镇青路二十五号 
高兴为您服务 啊你好你好我想咨询办理一个一个家庭宽带的一个服务啊就是有一个套餐是家庭消费一百零八对吧然后是一个啊赠送宽带的地方用这个要怎么办呢我是在我爸妈家里面它在营业厅门口讯虹口区长阳路 嗯嗯 二八八号 
您好很高兴为您服务 唉你好是这样的我的宽带那个这个月到期了然后我不想在用了啊是不是在你这里注销 呃这个要带好身份证和宽带设备去所在区的营业厅 这个所在区呀那那个因为我测这边特别远我那边房子出租出去了那是不是可以找人代里啊再办理的 
您好很高兴为您服务 喂你好我那个宽带之前去营业厅办理的一次我现在想要求上门安装一下 办理了为期 对现在就是一一机手续办完了但是没有上门安装 
您好兴您服务 喂你好就是我现在之前就是你们那个市政的那个宽带我的这个呃宽带业务然后现在话我搬家了可以帮我签一下吗 已经话就是要去营业厅办理你那个手机的一个密码知道吗噢地址报一下好吧我帮您 老呃就是搬家的地址是吧呃 
为您服务您好 唉喂你好啊我们想装宽带其他用它中 那报一下您家里宽就想要装宽带这个地址嘛我给您查询能不能装好了 啊职业路只要花园八十弄啊 
您好很高兴为您服务 哎你好我想办理一下那个移动的宽带然后就是那种什么呃每个月保底消费然后会送宽带的那个服务 承诺消费送宽带是吧 噢对 
为您服务您好唉你好我刚才咨询过那那个我这个宽带想迁走 嗯要办移机是吗 对然后告诉我打那个九六八七七然后把那个报停了吗已经打过来 您说的是高清节目包报停的是吗 
您好很高兴为您服务 啊喂你好我我想就是我嗯在那边住在那边住了我那个宽带呀就无线网都在那边我想我这次又搬家了嘛我想帮他 过来行好的为了更好解决问题为您转接宽带专席有专人为您请稍等 噢请您 
您好很高兴为您服务 喂你好我就是话费吗扣满多少话费吗然后送的提醒和和宽带吧嗯啊上次一个人来安装的因为我有事没安装你现在在我这里现在可以安装吗 我 客户 
您好很高兴为您服务 是这样的我刚才接到你们一个电话因为我七月份办了一个额嘛就是动宽带的但是说因为我时间比较长了之前一直没有办理吗但是现在我说我我想要 然后再说 之前的那个帮我取消掉让我重新在这上面再注册一下那你帮我再 
兴为您服务 唉喂你好我想办那个宽带 呃家庭用的宽带那你把地址报一下我帮您查一下有没有线路能不能装小姐 呃呃临平路三百三十三号瑞红一起 
您好很高兴为您服务 唉你好我这边那个要求这个办理宽带移机 噢好呃是这个手机号码之前办的移动宽带和地址呢 呃对的就是 
您好很高兴为您服务 办那个宽带的话你可以帮我预约一下礼拜一上午来安装吗 稍等一下那个宽带地址先报一下 呃江杨南路五十五弄五号二零一 
您好很高兴为您服务 唉你好我那个宽带按约的是昨天来安装的然后昨天没有来我们有没有联系电话 唉我不是这个手机吗还是别的手机 就这个手机 
您好很高兴为您服务 喂你好我想问一下那个我那个宽呃我今天要移机但是那个那个宽带是不是说那个有一个账号密码宽带帐号密码呀发给发到我手机上但是我没有收到 就这样 能帮我查一下 
您好很高兴为您 哎你好我想安装宽带 请问是看您地址有没有资源地址报一下 好的呃黄桥镇新环西路 
您好兴您服务你好唉 我想咨询一下就是因为我刚才呃用那个我们那个上海移动的这个手机营业厅吗然后我我查询一下我我就我想办宽带然后呢就是我看了一下我输入我的地址好像只有二十兆的所以我想确认一下呃 四 这个是跟地址是有关的是吧 
您服务唉你好我这边想问呃一个手机那个有家庭宽带然后办一下移机 是您移动宽带要移机啊这个要去营业厅办的您要移到哪里我先帮您查一下有没有资源 就是那个陈华路八百三十九弄二十六号八零二 什么路 
您好很高兴为您服务 哎我就是我这个号码公司宽带我想申请一个公司公司宽带 公司宽带你把这边地址报一下查一下有没有线路和价格 沪宜公路 
您好兴您服务 唉你好我这边办一个宽带移机 好的是哪个号码办的本机吗 就本机啊 
高兴为您服务 你好我查我这个宽带这个号码有一个有一个一零八套餐宽带然后现在是这样的这个月的话套餐关掉现在已经续约套餐 嗯 但是我现在想要停有线电视 
您好兴您服务唉你好 地址 刚才呢就是那个但是就是我就是宽宽带宽带呢就情况是这样子的呃就是我这昨天前天我订那个电话这个电话呢说你消费呢已经满一百多块了他说已经就是我们这里有个活动有八十八块送宽带的那个这个 嗯 
您好很高兴为您服务 喂你好 唉你好你帮我这个这个这个宽带五百八的取消这个现在是免费的您这个也不用了是吧 唉不用了 
您好兴您服务您好 喂你好 你好 噢这边就是说我想那个呃移动的网络是怎么安装的 
