您好请问需要办理新装宽带吗嗯是 嗯 
对 很高兴为您服务您好 
您好请讲 诶你好我是这样子噢我想装一条宽带然后这个是不是我这部手机就可以免费赠送一条宽带啊 
您好请说 哎你好我问一下你帮我看到是什么时候时候说那个我也想装那个宽带 
您好有什么可以帮您 呃我想我想问一下就是那个呃欠了一条宽带嘛那个就是用的那个呃就是我现在要把要要那个要加一个那个电视的吗 
您好请讲 没有 
好请问是本机新装宽带吗 呃您好我是想说那个宽带地址那个牵换那个一地址 
幺五零您好请说 哎你好我想迁宽带是本机要办吗呃是的 
中午好很高兴为您服务 哎你好麻烦我我现在我要退订一下那个宽带业务 
你好请问什么可以帮您 喂您好我想办一个宽带 
您好很高兴为您服务哎你好你这是是怎么样 呃是本机号码的宽带要移机是吧 
您好请说喂您好我那个呃这个活动车可以装宽带是吧 您是要办理我们这边的那个宽带啊 
您好请讲 诶你好呃我是这样子的因为我是在这边有了的那个呃网络那我现在要办反正搬到隔壁去要不要 
比较记录下本机号码申请宽带移机吗 呃我是就是搬家吗然后我的网络式在这边那我就要搬到联隔壁吗就是也很近啊只要线了一下就可以这个要 
您好请说 喂我想请问一下就是我那个宽带我能不能办一下就是帮我移一下我不知我不知道那里了 
您好很高兴为您服务 喂你好 
噢您好请讲 喂你好 
您好什么可以帮您 哎你好我那个宽带要移过去一到嗯另一个地方愉快再见 
您好请讲 你好我想宽带移机 
嗯请讲 喂你好你这个移动的宽带打什么电话呀 
哎唉呀您好请讲 你好我这手机不是有送一个宽带嘛然后我宽带现在房子搬了我想把那个宽带移下来是跟你这边联系还是怎么样 
行请问是宽带移机吗 对宽带已经嗯好的稍等一下 
很高兴为您服务你好 诶请问下那个 
您好请讲 呃喂你好就是我昨天预约是我们家新装宽带吗然后但是我昨天说不要机顶盒然后我后来想想还是要顶盒吧您帮我把这个再选上了 
您好请说 啊我这个手机套不是有一个那个哦好好什么业务啊那个宽带业务啊 
再见 啊 
您好请讲 诶你好我是那个诶本机号码的那个宽带用户我那个房子有办了一个地方那个宽带现在 
嗯嗯 您好请问您是办理宽带移机吗 
好请讲 那个转那个宽带的 
您好高兴您服务您好嗯 你好我咨询一下就是你们这个宽带业务 
哎对您好请说 喂你好嗯你帮我那个宽带帐号啊 
但是您好您是要新装宽带吗 对呀我现在我这部手机能不能办回来就开吧 
你好你好请讲 诶你好我这个宽带想移机一下 
您好我本机要新装宽带吗 呃对啊嗯嗯我没啦 
您好请说您好喂你好诶你好 诶我刚刚有那个月的那个呃宽带宽带那你帮我改这个改 
您好请讲诶你们刚 那个我预约申请安装宽带然后我现在想变更一下那个改成星期六装你六加十五个g装 
呃您好请讲 小姐帮我问我问一下那个比如说我要移动欠那个光纤怎么弄 
您好请讲 诶我想办个宽带 
您好请问什么可以帮到您 哎你好帮我查一下那个厦门那个 
您好请问新装宽带是吗 哎对宽带一般到哪个地方可以装吗移动是我这边可以办 
您好请讲 喂你好 
哎您好什么可以帮您 宽带移机一下 
什么你好请问是本机要新装宽带吗 啊对呃那个手机问你宽带一个月多少钱 
您好您说 不要呃喂你好我想问一下现在宽带业务 
您好请说 我那个呃我想移动不是有那个办理宽带吗 
您好请问是本机要新装宽带吗 呃对的是这样子我那个呃目前用的宽带是我是有的号码但是他那个号码会注销掉但是我这个宽带我要继续用要说我用我的号码自己去再申请一条是不是哎 
高兴为您服务 喂你好 
你好请讲 哎你好我想问一下我的宽带已经到期了然后可以你们直接帮我取消吗 
您好很高兴为您服务请问您号码申请宽带移机吗对对对 请问您想要新申请安装宽带的地方是在哪里呢 
早上好 哎你好我想办一下移机宽带订 
您好 我话费流量包喂你好我我问一下就是说我要办这个移动宽带那个业务 
好讲 诶麻烦我问一下那个我为你这个宽带嘛是吧不要了那个什么怎么弄啊 
噢请讲 喂你好 
您好请问本机新装宽带吗 呃我这个的话是之前的话有一个条宽带吗然后现在换宿舍想要把那个宽带迁到新的那个地方去 
您好请说 你好我这个我这个手机号码有登记那个宽带服务对吧然后我现在已经搬交了他昨天叫他签那边说牵不了了 
您好请问新装宽带是吗 是啊我原来是装在嗯那个受受理了现在也一般在手机买那就是在港口那里 
您好请说 噢要我我就和阳的有一个那个你们这边的话之后宽带的宽带的那个房在我那个然后那个详细我现在要要要要要要移掉 
您好请讲你好可以听到吗 噢你好 
中午好请说 诶喂你好我想问一下那个呃宽带的之后 
您好请问新装宽带吗 对啊 
您好请讲其他款 你好我下午点那个呃但是你的那个宽带套餐帮我取消一下 
您好喂您好请讲 我想问一下就是那个宽带我已经搬到别墅可不可以帮我移到别处 
您好请说 喂 
查询你好请讲 哎您好我想那个安装就是光纤入户一下你那边怎么时候技术人员啊我预约下 
你好什么可以帮您 喂你好诶我申请的那个宽带我现在不想要了那个没用那个宽带拉进来也没有 
您好请说您好 喂你好 
您好请说 哎你好 
再见您好请问是本机要新装宽带吗 啊对 
您好很高兴为您服务 诶您好是这样的我这边要办理宽带有没些业务 
被变态多了我欠费一个月三百多 你好 
您好什么问题您好啊喂你好我是那个那个什么我想迁一下那个移动移动那个网呃办宽带是吧啊对我帮您看一下噢对行那就那就出来从对嗯再见再见对 好 
您好请讲 您好我这个宽带没有我嗯如果说这样 
您好请讲 喂你好 
您好请讲 喂你好 
哎 好的您好请问新装宽带是吗 
您好请讲 呃我想装那个宽带 
你好您好很很高兴为您服务 你好我这个宽带我我已经申请完交完钱了我现在申请安装 
您好很高兴服务 你好就是我原来不是买了你们那个那个宽带吗那么我就到期了我不想用了我今天想把那个设备花销是吗 
您好很高兴为您服务唉 你好就是我我这个手机号下面有一个宽带麻烦你帮我解绑一下 
您好高兴为您服务 唉你好呃我的那个呃移动套餐里面有一个就是宽带赠送的好像是一个宽带中国移动的宽带然后我现在想移机 
您好很高兴为您服务 你好是这样子我想修改一下那个办理宽带的时间 
您好很高兴为您服务 唉你好呃我这边就是和平这边进入想装一个宽带你那边就是二十兆的 
高兴为您服务 啊你好你好我想咨询办理一个一个家庭宽带的一个服务啊就是有一个套餐是家庭消费一百零八对吧然后是一个啊赠送宽带的地方用这个要怎么办呢我是在我爸妈家里面它在营业厅门口讯虹口区长阳路 
您好很高兴为您服务 唉你好是这样的我的宽带那个这个月到期了然后我不想在用了啊是不是在你这里注销 
您好很高兴为您服务 喂你好我那个宽带之前去营业厅办理的一次我现在想要求上门安装一下 
您好兴您服务 喂你好就是我现在之前就是你们那个市政的那个宽带我的这个呃宽带业务然后现在话我搬家了可以帮我签一下吗 
为您服务您好 唉喂你好啊我们想装宽带其他用它中 
您好很高兴为您服务 哎你好我想办理一下那个移动的宽带然后就是那种什么呃每个月保底消费然后会送宽带的那个服务 
为您服务您好唉你好我刚才咨询过那那个我这个宽带想迁走 嗯要办移机是吗 
您好很高兴为您服务 啊喂你好我我想就是我嗯在那边住在那边住了我那个宽带呀就无线网都在那边我想我这次又搬家了嘛我想帮他 
您好很高兴为您服务 喂你好我就是话费吗扣满多少话费吗然后送的提醒和和宽带吧嗯啊上次一个人来安装的因为我有事没安装你现在在我这里现在可以安装吗 
您好很高兴为您服务 是这样的我刚才接到你们一个电话因为我七月份办了一个额嘛就是动宽带的但是说因为我时间比较长了之前一直没有办理吗但是现在我说我我想要 
兴为您服务 唉喂你好我想办那个宽带 
您好很高兴为您服务 唉你好我这边那个要求这个办理宽带移机 
您好很高兴为您服务 办那个宽带的话你可以帮我预约一下礼拜一上午来安装吗 
您好很高兴为您服务 唉你好我那个宽带按约的是昨天来安装的然后昨天没有来我们有没有联系电话 
您好很高兴为您服务 喂你好我想问一下那个我那个宽呃我今天要移机但是那个那个宽带是不是说那个有一个账号密码宽带帐号密码呀发给发到我手机上但是我没有收到 
您好很高兴为您 哎你好我想安装宽带 
您好兴您服务你好唉 我想咨询一下就是因为我刚才呃用那个我们那个上海移动的这个手机营业厅吗然后我我查询一下我我就我想办宽带然后呢就是我看了一下我输入我的地址好像只有二十兆的所以我想确认一下呃 
您服务唉你好我这边想问呃一个手机那个有家庭宽带然后办一下移机 是您移动宽带要移机啊这个要去营业厅办的您要移到哪里我先帮您查一下有没有资源 
您好很高兴为您服务 哎我就是我这个号码公司宽带我想申请一个公司公司宽带 
您好兴您服务 唉你好我这边办一个宽带移机 
高兴为您服务 你好我查我这个宽带这个号码有一个有一个一零八套餐宽带然后现在是这样的这个月的话套餐关掉现在已经续约套餐 
您好兴您服务唉你好 地址 
您好很高兴为您服务 喂你好 
您好兴您服务您好 喂你好 
您好很高兴为您服务 你好要申请一个宽带 
您服务哎你好我想我我想问我怎么这么高啊 嗯请讲先生 
您好很高兴为您服务 唉你好呃我这边本来上个月那个就是申请的宽带嘛然后他那个七月一号来装但是他来了以后呢呃说那个外面什么线什么什么不好什么有问题说今天来的但是今天还没来我不知道它什么时候来能帮我查一下是呃什么时候来吧 
您好很高兴为您服务 喂你好你好我这边是想装一个宽带噢 
您好很高兴为您服务 喂你好是这样的我我这个装的移动的宽带嘛然后想把这个盒子移到房间里面但是移动房的话它那个遥控器不需要冲重新条吗我那我那个调不来电城让师傅上门帮我那个弄下来 
您好很高兴为您服务 我想唉我就是想我那个以前在住的这个地方啊是在那个孙桥这边然后吗我那边办的是那个东方有线然后送的是那个二十兆的那个那个那个宽带现在我办过去了吗放到你们移动公司去把那个做那个移机处理但是我想问我想问一下就是说因为我那边电视我想搞呃那个申请开通这个电视的话怎么怎么怎么做啊因为我这边那边是我应该东方也是有线的话那边他没有这个线我想我想把那个一般那个移动的这个这个这个电视怎么怎么操作 
很高兴为您服务 那先生是这样的我这边是爱博两兄弟二六一零五零五一号的一百四四二幺零二然后有申请过那个你们的移动今年用的是 
您好很高兴为您服务你好我想办理那个宽带移机呃是这个号码绑定的宽带移机对吗 对 
您好很高兴为您服务 你好我想我想想我之前不是你们打电话说要送我什么啊家庭宽带的那拜拜 
很高兴为您服务您好 啊您好就是我这边订手机号码开通那个宽带非常抱歉 
您好很高兴服务 喂你好 
您好很高兴为您服务 我想那个装移动宽带好不好 
您好很高兴为您服务 喂你好我想装了一个你们移动的一个宽带 
您好很高兴服务 唉你好是这样子的嗯嗯这个去年移动是有送给我一年的免费的这个移动移动宽带然后今年到期了然后我也不准备续然后上次好像是有人打电话过来跟我说要版什么东西还掉 
您好请讲 你好我想就是催一下那个家庭消费一百零八然后送二十兆宽带的那个业务嗯 
您好很高兴为您服务哎你好我想就是办一下那个家庭宽带那个业务请家庭宽带 就是满一百一百多少满一百零八就送什么二十兆宽带的这种 
啊您好请讲 唉小姐我想问一下我的电话好像是可以申请就是申请一个地址免费的有宽带的你帮我看一下 
很高兴为您服务 呃我想问一下就是我以前用的那个宽带是别的公司的那我现在想用移动的那个什么那个网点什么都还要再重新布吗 
您好很高兴为您服务 唉喂你好我今天那个宽带业务就是说那个不是满一百二十八块钱送的那个宽带吗现在到期了对现在是可以重新办理其他业务吗今天还可以续 
您好很高兴为您服务唉你好是这样的我那个宽带就是好像是到期了我想再办理一个 哪个号码 
唉喂您好请讲 哎就刚才打电话过来是这样的就是想问一下就刚刚不知道那个取消的话是不能取消那个我能天吗他那边新的房子那边吗 
您好很高兴为您服务 喂你好我收到一个信息说我订购的一大通那个套餐到期一下就转为按日收费我那边这个套餐我已经呃半年多没有用了我现在要取消他要搬家了 
您好很高兴为您服务 呃我宽带要移 
您好很高兴为您服务 唉喂你好我刚才咨询过那个宽带的事情了 
您好很高兴为您服务诶 我的手机号我告诉幺三六 
您好很高兴为您服务 喂你好就是那个呃我我之前申请的宽带然后我想要预约的时间上门安装 
您好很高兴为您服务 反正我我我名下有一个有一个那个宽带吗没有呃要要退掉退掉然后呢我上次好像不需要就在在这两个什么设备要还给你们这边的 
您好兴您服务您好 喂您好我想那个就是在这个流量说咱们那个手机那个宽带怎么搞的嗯 
差不多你你你 您好很高兴为您服务 
您好很高兴为您服务 唉你好这样我原来预约了一个宽带在那个徐汇的荣路这边准备装一个那个移动宽带现在这边有点变动所以我那边暂时可能不不需要安装地在不能装 
您好请讲 唉喂你好我这边想办理一个那个移动宽带的 
您好很高兴为您服务啊您好很高兴为您服务你好 喂那个我想问一下就是说我我这边之前是办理过一个宽带的然后我现在要移机需要再申请 
您好很高兴为您服务 唉你好 
现在也不 您好很高兴为您服务 
您好很高兴为您服务 唉你好我本来说他是农村装那个噢移动宽带的但是我现在家人就想疯了我要取消掉了 
您好很高兴为您服务 呃我这个手机号码办了一个宽带对吧 
很高兴为您服务 你好我要装宽带 
您好很高兴为您服务唉你好嗯我想办一下宽带就是宽带是吧移动宽带对吧啊好的我帮您转接到宽带专席您详细咨询一下好嘛不是就是十五的问题我家里没有宽带 这样我帮您转接到这个东西为什么呀 
您好高兴为您服务 你好我我我想咨询一下我我想那个那个那个叫什么移动宽带嘛我想装宽带嗯 
您好很高兴为您服务 喂你好 
您好很高兴为您服务 唉你好小姐我想问我现在呢原来办那个一零八套套餐嘛那个上网吗 
您好很高兴为您服务 嗯你好那个是这样的就是我现在想要办理一个那个宽带的业务噢 
您好很高兴为您服务 想申请你们企业的移动宽带 
现在 没有了谢谢 
您好很高兴为您服务 喂你好有听到声音吗 
您好兴为您服务 唉你好是这样子的唉我是那个幺三八幺七七五六二六六的用户我想问一下我今天不是跟你们签了一个协议就是又满一百二十八块不是免费装一个宽带嘛 
您好很高兴为您服务 他号码幺五七我已经嗯嗯零二幺 
为您服务 唉你好嗯我想把我以前这个幺三九的号码上面送的呃兆的宽带现在接上去我办我现在不是搬家了嘛 
喂 你好 
您好很高兴服务 喂你好那个我昨天在网上预约前天了昨天约宽带嗯装了吗还没装是吧 
您好很高兴为您服务 噢你好是这样子我刚刚收到一个电话然后 
为您服务 唉你好嗯我想把我以前这个幺三九的号码上面送的呃兆的宽带现在接上去我办我现在不是搬家了嘛 
宽带业务怎么您好很高兴为您服务喂你好我想问一下就是我我们刚才是移动宽带嘛然后现在不是装修的时候把现在减掉了然后要现在要重新接线嘛然后再装然后就等于说是你这个东西需要人叫你们来安排那个帮我们接一下的 您哪个号码办理的宽带啊您是已经办了宽带还是要办理的 
不客气您好很高兴为您服务 唉你好唉今天本来约好了是今天下午我家里装宽带那么我早上我这手机可能是资费不够了我已经充好了有什么事情赶紧跟我联系因为家里现在有人的他说一点到六点 
您好很高兴为您服务 喂你好 
好很高兴为您服务 唉你好这个我的那个宽带呀我要我要移机 
诶 您好很高兴为您服务 
您好很高兴为您服务 喂 
喂 您好 
您好很高兴为您服务 唉我现在是吧我上次办理的那个东方有线 
很高兴为您服务喂你好 呃你好 
很高兴为您服务 兆我有一个宽带业务麻烦你帮我关掉好吧 
对您好很高兴为您服务 啊你好打不了嗯是这样的就是我有约那个呃周周六然后我们家那个装宽带的我想改一下时间 
您好很高兴为您服务 啊喂你好我请问一下就是说因为我这边不是要办理这个宽带业务吗 
您好很高兴为您服务 喂你好我想把是宽带出取消呃是怎么样撤销取消一百八十八可以取消吗 
您好很高兴为您服务 唉小姐你好我是想装一个wifi如果我要装划算现在你们自己的一个就是说因为我不太用我就是呃呃呃我不是我不可用我是在家里装移动wifi我不玩游戏的就十兆最低好了五兆可以吧就最低的 
您好很高兴为您服务 唉是这样就是我们就是办了那个就是你们那个不是送的宽带嘛就是那个套餐买两百块对吧我现在如果要就是要呃呃换一个地方就是我这边房子呃就是要换一个地方那怎么办理呀这个 
您好请讲 唉你好我这边手机绑定宽带业务是吧好的 
您好很高兴为您服务 喂你好我要办一个宽带 
您好很高兴为您服务 喂你好就是我想问一下我现在我现在我现在就是我现在就是办理用的那个套餐嘛我现在两个手机是然后你们说我移动宽带线吗我想问一下我这个宽带现在我可以吗宽带移移到别的地方 
那不知道你满意那个兴服务我我就是就是开通门面店乡装个宽带可以吗 公司宽带是吧那您地址是哪里呢我帮您看一下 
您好很高兴为您服务 唉你好就是呃我之前不是订了一个就是每个月呃消费满多少然后那个可以送宽带的吗然后现在我这块唉对我这个到期了然后我现在不想退订怎么退啊 
您好很高兴为您服务 呃喂你好 
您好请讲 喂你好是这样的就是我在去年的话十月份左右吧然后这边幺零零八六工作人员的话跟我说就是要一百零八块钱的一个消费 
您好很高兴服务 喂你好 
哎您好很高兴为您服务 哎你好我想办一下移机业务输入想查一下我那个新的那个地址 
您好很高兴为您服务 唉你好我之前预约过一个那个宽带移机的服务然后我想查一下这个是怎么样了 
您好很高兴为您服务 唉你好我我是刚才刚刚打电话那女儿然后我刚才跟那个就是装有线那边联系过了他说我们这个是可以的就可以跟您这个预约申请 
您好很高兴为您服务 你好 
很高兴服务 喂你好我的这个手机哦哦里面有那个东西的有那个叫什么宽带就是装那个网络的呀 
您好兴您服务喂你好 我想想办那个宽带 
您好很高兴为您服务 四你好我我我这边想安装一条宽带了 
为您服务 唉你好那是这样的就是我我在那个就是闵行区有一个那个就是那个东方有线不是有一个捆绑的和移动捆绑一个那个宽带这边我想停掉因为好像十一月份到期了吧我不要那种 
您好很高兴为您服务 你好我手机申请宽带 
高兴您服务 唉你好那个我这边那个刚刚去办理了一下那个宽带的一个移机然后然后那个你看看能安排师傅上门帮忙操作一下吧 
您好兴您服务您好 唉你好那是这样子的我原来这个手机不是送了有一个那个二十兆的流量吗刚用那个东方有线对吧那个机顶盒掌上营业厅啊我现在搬家了能不能帮我帮我确认一下 
您好很高兴为您 唉喂你好小姐我想问一下我上次到那个电脑现在是出问题了嘛现在我要把它退掉现在我现在现在是通上网网络网络因为我充的是一两百兆的他给我充了一百兆的 
为您服务哎多少时间呃我那个只要你们有个业务员打过电话就是我这个手机是绑定这个套餐现在就是家庭的话宽带而且不知道是吗 您的宽带是到月底到期了您是后面要续约的吗还是 
您好很高兴为您服务 噢你好我想要在这个手机号码上面装一个宽带 
很高兴为您服务 唉你好 
您好很高兴为您服务 唉你好这样子的我是呃就是说这个号如果有一个号就那个就是说呃申请一个宽带然后他现在就是说呃续费手续费到明年五月份的他说但是那个合适它就是说没有了然后我想就是说如果说你能帮我就是重新把盒子装一下的话我还能用这样子 
您好很高兴为您服务 喂你好我这边是那个 
您好很高兴为您服务 哎小姐你好我手机号是幺三六 
您好很高兴为您服务 唉你好我想问一下噢因为我本来是在五百三十移动的呃我不是办了一百零八块的套餐不是送了有宽带嘛对吧但是我现在搬到芷江中路六百呃六十八的呃我想转过来我想把那个网转过来 
您好很高兴为您服务 喂你好就是我办理手机业务的时候呢送了一个宽带然后就是原来在五楼的现在想把它移到一楼 
您好很高兴为您服务 呃就是原来呃我这边这个手机号码绑定的康另外一个密码 
