嗯你好前两天我反应过关于这个号码注销的问题我人不在莆田啊那怎么怎么给我处理了 哎对 
诶喂你好我刚才那个就是反映那个问题是不是已经有结果现在有个幺零零八六打电话过来然后我刚才前面手机人充电没接到 请您对好的 
你好 你早上有那个呃移动打电话给我然后我在忙我现在网银打电话给我诶我想问一下就是多少昨天是有昨天给你们打电话反馈一个问题啊就是移动有送手机的活动啊更改 
您好哎你好我我之前有打电话就是我这个手机之前套餐每月保底消是呃八十八的后面我叫你们反馈一下因为我从来没有办过这个套餐然后你们打电话给我三次我都没有接到那现在怎么说嘞 噢对不对太原打三次我不是我帮您重新 
因为我们这边没有接到幺零零八六的电话是怎么了呢 嗯嗯 
噢你好帮我查一个号码三百一五九八零 七五 
喂我刚才反映这个问题怎么说呢 啊我是不知道什么原因那个我是我已那个数据流量啊我上个月那个可能我不小心不能欠了啊我我就知道了像我这个彩铃啊我怎么数据什么东泉你们全部关掉那个那里面都关掉我只开了一个腾讯视频我的微信这两天都没用呃干嘛用扣我话费又扣掉了 
你好你好那个我是前两天有登记的一个九十九元那个套餐包宽带的电视的那个 然后后来我又后来有那个有联系那个宽带师傅啊他说我们小区那个宽带那个接口满了掉了装不了了 
唉你好唉你你帮我看一下我反馈的问题有帮我处理吗 不了嗯登记喂 
不是我就今天输入的时候就是过来如果你了后来他已经处理好打电话给他然后我没有接到我我现在可以知道他那个处理的结果吗 不是那个因为我大部分时间都没有在家里面他我怕他给我打我我还是接不到 
那帮我看一下我刚刚是点话费那个工单有没有派了 好那那麻烦备注一下就是联通四零零九号一g流量就这样说 
诶你帮我查一下刚刚谁打过电话让他再回个电话给我 嗯对应该是售后的那个我之前提的单子的问题你让他接个电话给我 
喂你好哎这个没有我中午下午打它它它它它它怎么讲的现在了有没有查清楚 对啊 
呃刚刚给我打电话那个我的问题是解决的吗 噢噢噢 
高兴您服务哎你好我就是早上有反馈了一个就是关于小刘上去没有信号了你刚才好像给我回电话我没接到 呃好噢确实有看到给您念就就们怎么扣啊 
啊刚刚移动公司打过来店嘛是不是那个那个我的那话费返还回复的 啊 
喂你好我昨天有有有反映那个发票开出的问题呢它暂时还没有得到处理您稍等一下 噢这个应该是可以重开是吧呃我们这边呃 
诶喂你好那个昨天有那个打个电话给我今天又刚刚又接到电视怎么是的 喂 
诶你好我上次不是反映的这个情况嘛然后昨天那个你们移动的我这边给我打电话叫我去移动公司拿身份证去他说可以解决对吧 呃然后我今天 

唉喂你好是这样的就是因为我们公司有两个那个客户那个集团编号了所以想咨询一下那个合并吗然后这样就是上个星期的时候打过你们电话然后嗯到现在为止就是集团经理还没有回电给我们然后我们现在领导这边想要再催一下这件事情然后今天给我个答复 呃密你看你可以查一下我们公司吗因为他有说什么上个信息给我们打个电话他说你是我上个星期打电话过来的时候好像信息刚打电话过来的 
嗯我上周三上周我反映那个就是宽带找那个特殊流程差开掉了这个事情是有什么反馈吗 走了三次了我输了三次了呀那我帮您看流程说三次之后就可以主材期吗 
唉喂你好 唉您您看一下我的那个集团编号二幺零零 
唉你好那个我想问一下就是那个呃今天打电话就说这边那个维修的你帮我查一下那个你帮我查一下那个之前过几点过来 呃有的你等一下啊号码幺幺 
唉你好那个嗯呃我不知道你可以查到我这边报修记录啊 宽带的我十八号就报修过是那个你们师傅来修的时候说我的账号有问题让你们后台处理一下然后我昨天有打电话来你们说四十八小时给回复不是十八号星期三的时候然后昨天有打电话来 
我刚给你们打的电话七月份的账单里面是多扣了现在查清楚了吗 对 
唉你好麻烦你帮我看一下我刚才跟那个就是宽带专席的幺二八六反映情况它有没有工单 而且也没有呀就突然的电话送段的这个是中断呃正常的升那个自动的是他挂机的还是由于其他原因出来就 
您好很高兴为您服务 您好还在啊再打那个噢就是刚刚那个就是你们宽带那边应该有给我打了一个电话我没接到 
呃我问一下你们这边就投诉我我上次就前两天有个投诉嘛然后你们有一个之前是移动公司的人呃打我电话然后加上我微信呃就是因为一些套餐上的东西吗我说要取消然后他说让我把身份证号发给他你们移动会有这样的方式来处理的吧 啊 
呃是这样的你好就是我这边的话呃之前有咨询过经常集团的一些就是办卡的然后他说三个工作日会给我回复但是他一直没有恢复 大概二十八号吧还是二十九号 
哎你好就是说我这个流量问题我我我早上打电话问过你们的一个师傅他说把后台那个第三方关闭了之后流量可以或者还有两天的电话已经两千多兆流量是吧 你们今天怎么用呢就是说已经用电话我那个自己不出来的是吧 
喂你好你你呃我要之前你你还还没给我解决啊是不是我解决 我不管你那个我手机现在已经欠费了我就用二十多天才给我听听停机了要不然我就投诉了我就我但是我老公呀 
唉我把那个电话号码报一下就刚刚刚刚教人打电话给我的到现在还没过来幺八七 零二幺八 
喂你好我今天又打一个电话反映过我有一个幺三六的号码 对我这边反应过问题就是我我同学回到家电费只要在嘉定区没有信号有的就是 
唉你好我是临城物业管理先生公司我的宽带查的怎么样 就是你们把我们关掉了呀宽带关那请问您宽带账号或者专线编号没有账号我也记不得了我就知道我们是连城物业管理有限责任公司的肇嘉浜路六零八号 
唉你好我就是办那个信息的就是十一点钟他说还有你们就是说关于我的那个什么东西吗 然后你们工作人员说那五十分钟不够我就说四十八小时别人给我的但是就是是一个人 
喂你好就是我之前提交的问题帮我处理了没有 对我就是帮我处理了没有 
哎你好你好我的宽带啊个扣了两年的费用啊 呃因为我上次报修过我上次报修过你们维修人员一直没有上门修理过你看我是不是有这个报修记录啊 
喂你好先生你好呃我是昨天来过电话的就是有一个可以你们可以查得到吧就是也是我这手机打的我是来反映一个情况就是我妈妈有个手机吗他就是打的电话不要查后来呢 我跟你们沟通以后你们说找你们领导反映一下然后今天我妈妈呢手机上接到你们的电话了说可以给我们那个销账的没有退还一个前大概有一百多块钱这个情况你现在帮我看一下是不是有这个是 
我感到我打了几天电话了这么多一直没给我答复呢我就我就感到我的收费呢长啊 噢我报个电话给你报一遍 
喂 唉你好我投诉的事情处理的怎么样 
唉你好我这边反应的就是之前这个电话反应过上个月的那个套餐那个业务有问题嗯那你这边接到具体情况吗 您的那个费用吗之前那个记录已经没有了是吧 
你好那个有嗯订一个账号能帮我查一下那个工单的成功的工单 宽带帐号吗 
您好很高兴为您服务 我投诉过到现在没有个答复你们干嘛呢 
嗯你好我之前反映的问题你们现在是不是还没解决得了 对 
您好很高兴为您服务你看一下我投诉的已经超出四十八小时我到现在十块钱的解决那个就是说超出十分的那个费用可能给我到账 好好就是嗯嗯四 
你好这边这个投诉已经 嗯 
今天 你好我想问一下我就想问一下了邮箱三十交一十八兆现在过给我给我卡我想知道现在为什为什么没有人给我回复啊 
您好很高兴服务唉你好就是我两天前有咨询过一个流流量的一个问题 然后那个那我在四十八小时然后现在好像还没有回复吗 
你好那个我那个八月中旬把那个宽带退了收扣完之后当月的接到我的工作人员说不完之后给我打电话来确认一下那我就打电话来确认 对的宽带啊 
唉你好我我今天已经是第三次打电话到你们幺零零八六关于宽带那个升级二百兆很多的问题了呃我想问一下现在我这个家的宽带今天能否安装有没有确定的消息呀 不是呀我就想问一下就是你们为什么这个处理这个问题就是这个关于后台技术的问题零怎么这么慢的 
好好好好好好哦哦哦 
哎我想问一下我前两天打电话你们是幺幺幺四六那个客服人员嗯跟他反映的问题到现在还没怎么恢复 有没有唉 
喂你好 我前两天有打电话进行投诉我这个流量的问题你帮我查一下这个投诉的单子 
唉我那个问题解决了嘛 反映的问题报一下就那个集团客户网上登录 
我这手手机号码呢我我呃有一个手机号码是幺八二幺七幺六八八三八 对呃我八月二十我之前也也打过电话来你你看一下记录对我因为我我把那个呃五百块的充值错充到了那个幺八二上面去因为我的扣费电话是幺三九的 
嗯 给我评价 
喂唉你好我这边是那个单位用户呃之前来电那个投诉过你们根据我的来电号码六呃五二八八幺幺幺幺这个能查到我的投诉信息吗 对对就现在这个来电的号码 
是这样的嗯昨天晚上我也打来过的就是关于你们那个不从我增值二十块然后的话嗯你们查下来也没到账啊我我忘我就是他跟我说就是尽快或者是催促你帮我 好的您 
唉你好就是刚刚我报了一个专线故障的那个报修现在还没恢复那边在处理了吗能看一下吗能看到你们那边 嗯联系电话就是这个 
喂你好我想就是报一下就那个信号不好的问题我之前就是联系过的然后他们也来看过了然后你们就移动给我给了我们一个就就一个那个相当于信号放大器那个东西但我们因为那边练级比较大可能还想再申请这个可以啊 请不要挂机为了更好请问您先把电话转专席处理生效哎 
喂什么时候 我上个月二十七号下午有一个五块九毛的调账七六你们这边可以查到是哪一张工单调整了我后来现在也没查到过来报上去查怎么今天来好了到时候会是按我没接到过这张工单的任何一个电话我这张单子他们其中有没有报修五块九毛 
唉先生你好呃就是我之前向你们反应的关于流量的问题你们呃说要给我答复到现在没有答复咱们现在处理的什么样的 你帮我这个这个到后台去催一下好吧怎么就就这个问题怎么要这么多时间要一千一千多了 
你好我看一下你好这样我昨天早上有投诉过就是说呃在我没有使用的前提下然后消掉了我的流量然后呃扣除了费用然后你们已经派单上去了然后我问一下哎嗯嗯来就多了就是说你们幺九 我们不管最晚不会超过四十八小时的噢好的好哎好的 
唉你好我这边早上就是报修了一个宽带的我想问一下到底什么情况 对对对 
