噢您好请说可以 嗯你好前两天我反应过关于这个号码注销的问题我人不在莆田啊那怎么怎么给我处理了 
您好请讲 噢你好帮我查一个号码三百一五九八零 
您好请讲 喂我刚才反映这个问题怎么说呢 
你好很高兴为您服务 你好你好那个我是前两天有登记的一个九十九元那个套餐包宽带的电视的那个 
唉呀早上好很高兴为您服务 唉你好唉你你帮我看一下我反馈的问题有帮我处理吗 
您好请讲 不是我就今天输入的时候就是过来如果你了后来他已经处理好打电话给他然后我没有接到我我现在可以知道他那个处理的结果吗 
您好请讲喂你好没有忘记啦嗯谢谢您的关心噢那 那帮我看一下我刚刚是点话费那个工单有没有派了 
中午好请讲 诶你帮我查一下刚刚谁打过电话让他再回个电话给我 
您好您请说 喂你好哎这个没有我中午下午打它它它它它它怎么讲的现在了有没有查清楚 
您好请讲 呃刚刚给我打电话那个我的问题是解决的吗 
高兴您服务哎你好我就是早上有反馈了一个就是关于小刘上去没有信号了你刚才好像给我回电话我没接到 嗯稍等一下我看一下 
嗯嗯您好请说 啊刚刚移动公司打过来店嘛是不是那个那个我的那话费返还回复的 
嗯嗯您好很高兴服务 喂你好我昨天有有有反映那个发票开出的问题呢它暂时还没有得到处理您稍等一下 
您好请讲 诶喂你好那个昨天有那个打个电话给我今天又刚刚又接到电视怎么是的 
您好请讲 诶你好我上次不是反映的这个情况嘛然后昨天那个你们移动的我这边给我打电话叫我去移动公司拿身份证去他说可以解决对吧 
您好请讲然后我反映的问题就反正三天了怎么没给我处理这事是关于本机的问题是吗稍等一下我马上帮您查感谢您耐心等待目前我们工作人员已经有帮您核实过是说无法再帮您申请开通所以看不了了可以好个对 
您好很高兴为您服务 唉喂你好是这样的就是因为我们公司有两个那个客户那个集团编号了所以想咨询一下那个合并吗然后这样就是上个星期的时候打过你们电话然后嗯到现在为止就是集团经理还没有回电给我们然后我们现在领导这边想要再催一下这件事情然后今天给我个答复 
您好很高兴为您服务 嗯我上周三上周我反映那个就是宽带找那个特殊流程差开掉了这个事情是有什么反馈吗 
哦 唉喂你好 
您好兴您服务 唉你好那个我想问一下就是那个呃今天打电话就说这边那个维修的你帮我查一下那个你帮我查一下那个之前过几点过来 
您好很高兴为您服务 唉你好那个嗯呃我不知道你可以查到我这边报修记录啊 
您好很高兴为您服务 我刚给你们打的电话七月份的账单里面是多扣了现在查清楚了吗 
您好很高兴为您服务 唉你好麻烦你帮我看一下我刚才跟那个就是宽带专席的幺二八六反映情况它有没有工单 
您好很高兴为您服务 你好 
您好很高兴为您服务 呃我问一下你们这边就投诉我我上次就前两天有个投诉嘛然后你们有一个之前是移动公司的人呃打我电话然后加上我微信呃就是因为一些套餐上的东西吗我说要取消然后他说让我把身份证号发给他你们移动会有这样的方式来处理的吧 
为您服务 呃是这样的你好就是我这边的话呃之前有咨询过经常集团的一些就是办卡的然后他说三个工作日会给我回复但是他一直没有恢复 
您好很高兴为您服务 哎你好就是说我这个流量问题我我我早上打电话问过你们的一个师傅他说把后台那个第三方关闭了之后流量可以或者还有两天的电话已经两千多兆流量是吧 
您好很高兴为您服务 喂你好你你呃我要之前你你还还没给我解决啊是不是我解决 
您好很高兴为您服务 唉我把那个电话号码报一下就刚刚刚刚教人打电话给我的到现在还没过来幺八七 
您好很高兴为您服务 喂你好我今天又打一个电话反映过我有一个幺三六的号码 
您好很高兴为您服务 唉你好我是临城物业管理先生公司我的宽带查的怎么样 
您好很高兴为您服务 唉你好我就是办那个信息的就是十一点钟他说还有你们就是说关于我的那个什么东西吗 
您好我是预处理专席代表很高兴为您服务您好 喂你好就是我之前提交的问题帮我处理了没有 
高兴为您服务 哎你好你好我的宽带啊个扣了两年的费用啊 
至预处理专席代表很高兴为您服务 喂你好先生你好呃我是昨天来过电话的就是有一个可以你们可以查得到吧就是也是我这手机打的我是来反映一个情况就是我妈妈有个手机吗他就是打的电话不要查后来呢 
您好兴您服务 我感到我打了几天电话了这么多一直没给我答复呢我就我就感到我的收费呢长啊 
您好很高兴为您服务 喂 
您好预处理专席代表很高兴为您服务 唉你好我这边反应的就是之前这个电话反应过上个月的那个套餐那个业务有问题嗯那你这边接到具体情况吗 
您好很高兴为您服务 你好那个有嗯订一个账号能帮我查一下那个工单的成功的工单 
很高兴为您服务 您好很高兴为您服务 
您好很高兴为您服务 嗯你好我之前反映的问题你们现在是不是还没解决得了 
您好很高兴为您服务你看一下我投诉的已经超出四十八小时我到现在十块钱的解决那个就是说超出十分的那个费用可能给我到账 稍等给您看一下啊 
好很高兴为您服务 你好这边这个投诉已经 
今天 您好很高兴服务 
您好很高兴服务唉你好就是我两天前有咨询过一个流流量的一个问题 嗯 
您好很高兴为您服务 你好那个我那个八月中旬把那个宽带退了收扣完之后当月的接到我的工作人员说不完之后给我打电话来确认一下那我就打电话来确认 
您好很高兴为您服务 唉你好我我今天已经是第三次打电话到你们幺零零八六关于宽带那个升级二百兆很多的问题了呃我想问一下现在我这个家的宽带今天能否安装有没有确定的消息呀 
您好很高兴为您服务那个我刚刚把刚刚你们打电话给我们接到这手机比如说我们给您打电话您之前反映过什么问题吗对返因为那个手机话费的问题啊稍等我看一下啊好那我帮您转接到专席您问一下好吧看一下是不是那边给您打的请稍等啊不要挂机为了更好之后你再把电话转专席扣您稍等 好好好好好好哦哦哦 
为您服务 哎我想问一下我前两天打电话你们是幺幺幺四六那个客服人员嗯跟他反映的问题到现在还没怎么恢复 
您好很高兴为您服务 喂你好 
您好很高兴为您服务喂 唉我那个问题解决了嘛 
您好很高兴为您服务 我这手手机号码呢我我呃有一个手机号码是幺八二幺七幺六八八三八 
嗯 对 
您好请讲 喂唉你好我这边是那个单位用户呃之前来电那个投诉过你们根据我的来电号码六呃五二八八幺幺幺幺这个能查到我的投诉信息吗 
您好我是预处理专线的 是这样的嗯昨天晚上我也打来过的就是关于你们那个不从我增值二十块然后的话嗯你们查下来也没到账啊我我忘我就是他跟我说就是尽快或者是催促你帮我 
您好很高兴为您服务 唉你好就是刚刚我报了一个专线故障的那个报修现在还没恢复那边在处理了吗能看一下吗能看到你们那边 
您好很高兴为您服务 喂你好我想就是报一下就那个信号不好的问题我之前就是联系过的然后他们也来看过了然后你们就移动给我给了我们一个就就一个那个相当于信号放大器那个东西但我们因为那边练级比较大可能还想再申请这个可以啊 
您好很高兴为您服务 喂什么时候 
您好兴为您服务 唉先生你好呃就是我之前向你们反应的关于流量的问题你们呃说要给我答复到现在没有答复咱们现在处理的什么样的 
您好我是预处理专席代表很高兴为您服务 你好我看一下你好这样我昨天早上有投诉过就是说呃在我没有使用的前提下然后消掉了我的流量然后呃扣除了费用然后你们已经派单上去了然后我问一下哎嗯嗯来就多了就是说你们幺九 
为您服务 唉你好我这边早上就是报修了一个宽带的我想问一下到底什么情况 
