你好 请 讲 其他   先生 嗯 请 讲   这边 帮 您 看 了 一下 有 收费 的 业务 套餐 费 一个月 八十八 然后 这边 有 一个 来电 提醒 一个月 三块 钱 然后 有 一个 彩铃 六块 彩印 三块 手机 阅读 六块 没有 其他 扣费 了   彩铃 六块钱 手机 阅读 六块 彩印 三块 这些 业务 要 取消 吗
嗯 谢谢您 好 很 高兴 为您服务   再 加 十块 我 看 一下   您 是 本月 内 里面 看到 多交 十块 是 每个 月 分 的   您 这 张卡 这边 没有 另外 十块 的 除了 基本 五十八 元 的 套餐 然后 其他 的话 都 是 增值 服务 比如说 彩铃 啊 彩印 啊 来电 提醒 这些 您 这边 已经 有 取消 掉 了 另外 我 看 一下 还有 一个 集团 网 就是 闽光 移动网 额外 就 没有 收费 的
很 高兴 为您服务   像 您 这 张卡 的 套餐 是 三 十八块 的 其他 收费 业务 呢 有 五块 钱 的 彩铃 三块 钱 的 彩印   您 这 张卡 不 今年 七月份 用 的 嘛 新卡 的话 都 有 赠送 增值 业务 这个 彩铃 跟 彩印 啊 就是 送 的 送 半年 时间 还 没 到期 然后 您 还有 一个 业务 家庭网 三块 钱   有没有 额外 的 流量 套餐 您 用 的 是 三十八 套餐 三十八 里面 赠送 的 流量
嗯 你好 请 说   稍等一下 啊 你 这个 流量 目前 还有 四 g 多 啊   您 说 哪里 显示 没有 了   他 那边 应该 是 说 您 套餐 里面 的 一 g 快用 完 了 所以 发短信 提示 您 您 那个 不是 刚 说 的 六个 g 的 流量 目前 还 剩四 g 多 呢
唉呀 您好 请 讲   就是 基本 套餐 费 一个月 十八块 钱 还有 一个 三块 钱 的 来电 提醒 手机 阅读 六元 彩印 三元 其他 的 就 没有 啦   好 的 您 稍等一下 给 您 取消 好 了 下个月   还有 开通 一个 您 要 取消 吗 彩印 彩印
你好 很 高兴 为您服务   我 看 一下 八十八 的   看 一下 可以 改   那 您 可以 改个 三十八 的 三八 套餐 它 有 五百 兆 流量 一百 分钟 本地 打 国内 分钟 数包 来电显示
您好 请 说   嗯 您 这个 套餐 的话 是 那个 和 家庭 七九 套餐 然后 的话 有开 一个 十块钱 一 百兆 的 流量 包 然后 呢 其他 就 没有 了   呃 您 的 流量 我 看 一下 噢   呃 我 知道 我 再 帮 您 查 号 您 的 流量 一个 g 现在 还 剩 五百 零七 兆 啊 没有用完
你好 请 讲   有 一个 彩铃 跟 彩印 我 看 能不能够 帮 您 取消   彩铃 是 做不了 预约 的 哈 彩印 的话 我 帮 您 预约 一下   彩铃要 活动 到期 之前 才 能够 来 电话 关闭 彩印 给 您 取消 了 暂时 好 了 到期 自动 关 噢
您好 请 讲   嗯 您 现在 目前 用 的 是 一百五十 八 的 套餐 呢   一百八十 八 那种 呃 就是 全 全家 统 套餐 就是 省内 流量 不 限量 国内 通话 一千两百 分钟   请 稍等一下 噢 没有
帮 您 请 说 诶 你好 恩   噢 您 这 号码 的话 就是 产生 了 就是 那个 有个 来电显示 嘛 然后 彩铃 还 有些 什么 幺 二 五八 零 会员 噢 其他 业务   彩铃 的话 一个月 是 五块 钱   噢 可以 啊 这些 业务 您 都 可以 取消 掉
愉快 再见 您好 请 讲   收费 就 八十 八块钱 月租 加上 两块钱 来电 提醒 还有 六块钱 五十 兆 的 流量 这边 有 办理 一个 超级 qq 然后 手机游戏 个性化 彩铃 还有 才能 开   呃 手机游戏 功能 玩游戏 的 一个 服务 您 用 不到 我 帮 您 取消   好 那 超级 qq 呢 超级 就是 要 不要 取消 就是 不 不 他 那边 因为 患者 送 的 好 游戏 玩家 我 帮 您 取消 了 那彩铃 呢 有 个 个性化 彩铃 跟 彩铃 产品 这 两个 要 不要 取消
诶 您好 请 说   呃 稍等一下   本 机 的话 您 是 三十八 元 套餐 有 一个 来电 提醒 还有 一个 六块钱 的 流量 五十 兆 的   来电显示 是 包含 在 套餐 里面 还有 个 家庭网 银 作为 成员 就是 没有 扣费 的 其它 业务 就 都 没有 了
嗯 嗯 您好 请 讲   您 现在 是 用 的 是 新 的 三十八 的 飞享 套餐 女士 三十 八块钱 套餐 费   开机   因为 手机 上 有 开 了 一个 叫 那个
您好 很 高兴 为您服务   有 手机 服务 密码 有 吗 的 什么 手机 数据 它 是 另外 一张 号码 卡 的 情况 要 有 密码 才 有 权限 查 没有 密码 我们 这边 是 核对 不到 的   那 就是 如果 您 密码 的话 您 要 用 那部 号码 本 机 打电话 进来 我们 给 您 核对 了   恩对 好 谢谢 噢 不 客气 还有 什么 可以 帮 您 没有 了
哎 嗯 您好   嗯 帮 您 看 一下 您 稍 等 三十八 对 的   呃 您 是 想 更改 什么 套餐 呢   流量 多 的 稍等一下 帮 您 看 一下
您好 很 高兴 为您服务 你 帮 我查 一下 我 这 什么 套餐 本机 是 月租费 十三块 套餐 十三块 套餐 对 十三元 六十三 元 是 吧 对 十四号 好好 然后 来电显示 要 另外 收 啊 还有 来电 提醒 噢 那 你 查 一下 我 这个 接下来 是 半年 之前 的 半年 内 每个 月 大概 消费 多少 上个月 是 六十三 包月 上个月 三月份 四十二   六六 月份 是   五月份 的话   然后 最后 就 四月份 呢 五十六
你好 请 讲   您 这个 没有 开 流量 套餐 啊   我 看 一下 噢 您 原先 是 有 开 了 一个 五十块 钱 一 g 的 到 上个月 这个 月 就 已经 没有 了   三十块 的 那个 已经 取消 啦 早就 已经 去 怎么
您好 请 说   这边 显示 您 这个 号码 目前 还是 属于 旧版 的 三十八 套餐 啊 并 没有 改 到 那个 新 的 三十 并 没有 看到 有 更改 套餐 的 一个 记录   八块钱 但是 因为 您 这 张卡 之前 有 参加 一个 三十八 赠送 分钟 数 的 一个 活动 如果 您 要 改 八块钱 要 等 那个 分钟 数 活动 结束 了 才能 更改 啊   恩 那个 活动 时间 一年 我 看 了 一下 您 十五号 有 反馈 过 这个 活动 我 看 一下 您 这 是 要 把 那个 送 送 的 分钟 数 那些 给 您 取消 掉 改 回到 原来 八块钱 对 吗
您好 很 高兴 您 服务   好 的 女士 我 帮 您 看 一下 除了 基本 套餐 的话 是 一个 流量 王 的 一个 是 套餐 除了 这个 以外 的话 其他 的 收费 服务 帮 您 查询 一下 您 稍等一下 这边 有个 彩印 功能 但是 已经 有 登记 了 下个月 取消 掉 了   然后 别的 业务 的话 我 帮 您 进步 查询 就 没有 了 女士   那 没关系 女士 你
对 您好 请 讲   有 两样 是 吧 嗯 套餐 是 八十八 的 二级 八十八 是 吗 还有 一个 流量 的 活动 十二月 一号 到期   嗯 到期 会 自动 取消 其他 没有 了   对 因为 八十八 还有 一个 流量 包它 是 按照 全额 体现 在 账单 里面 那 这个 是 一个 活动 每个 月 给 您 返还 二十 噢 它 是 每个 月 给 我 返还 是 吧 那 什么 到期 这个 什么 十二月 一号 呃 十二月 一号 到期 自动 取消 您 什么 都 不用 操作
有 什么 可以 帮 您   您 现在 用 的 是 新飞 享 系列 十八 套餐 里面 还有 国内 流量 一 百兆 嘛 然后 省内 流量 赠送 您 两 百兆 然后 本地 打 国内 电话 两百 分钟 吗   这边 转加 来电显示 功能   请稍等 帮 您 查看 一下
很 高兴 您 服务 您好   您 现在 用 的 是 五十八 的 套餐   对   第二个 月 就 结束 了 还 在
嗯 您好 请 讲   您 现在 套餐 是 校园 四十八 的 套餐 这款 的 四十八 是 吧 对 没错 四十八   套餐 里面 内含 的话 合计 一共 是 五百 兆 国内 然后 本地 校园内 的话 两千五百 七十二 兆 还有 一个 夜间 流量 包恩 您 说   目前 帮 您 看 了 一下 您 套餐 没有 变 啊 都 是 一样 的 呀 我们 只是 另外 让 他 给 您 再 一样 的 没变 啊 你 之前 审到 现在 还是 要 什么样 的
您好 请 讲   这 张卡 的话 就是 五十 八块钱 的 套餐 有开 一个 来电 提醒 功能 还有 幺 三九 邮箱 彩印 和 彩铃 功能   我 看 一下 主要 扣 什么 钱 了 噢 您 这 主要 是 流量 被 扣钱 了 呀 流量 这边 的话 是 扣 了 是 一百二 您 现在 是 在 外省 吗   是 这 样子 您 外省 的 流量 都 用 完 了 是 超 流量 了 超 了 一千多 兆 扣 了 一百二 的 流量 费 啊
您好 很 高兴 为您服务   这个 用 的 是 飞享 三十八 现在 用 的 是 新版 的 三十八   对 的 没错   不 客气 还 需要 别的 帮助 吗
您好 请 讲   下个月   呃 对 新飞 享 五十八 四百 分钟 三 g 流量 的   什么 套餐
嗯 嗯 您好 请 说 有 什么 可以 帮 您 的   噢 目前 使用 您 的 套餐 啊 没什么 收费 的 业务 啊   来电显示 一个 六块 其他 就 没有 了   有些 流量 包 原价 是 五十 的 现在 做 活动 只收 您 看 一下 十块钱 吗 然后 别的 就 没有 了
您好 请 说   您好 什么 可以 帮助 到 您   您 现在 是 十八 的 套餐 下个月 改成 我们 这种 三十八 的 了 三百 分钟 一点 五 g 省内 流量   三百 分钟 通话 一点 五 g 省内 流量
嗯 啊 您好 很 高兴 为您服务 您好 嗯   请 稍等一下 这个 月 已经 没有 三十块 的 流量 包了   已经 取消 掉 了 是 的
请 您 稍 等 帮 您 查询 一下 您 本机 是 是 呃 不 客气 我们 应该 做 的 您 本机 是 十八 的 这 样子 一个 套餐 然后 您 这边 额外 我 这边 查询 就 没有 这个 其他 的 这种 付费 的 包月 的 增值 业务 了   嗯 十八 的 这个 套餐 是 您 本地 打 国内 有 一百 分钟 的 分钟 数 跟 国内 流量 这边 一 百兆 这 样子 的 一个   嗯 来电显示 包含 在 里面 接听 全国 接听 都 是 免费 的 噢 这 样子 我 知道 了 谢谢 还有 什么 其他 需要 吗   本 机 这边 是 吗 本机 这边 是 三块 三毛 四
您好 很 高兴 为您服务   你好   那 您 本机 除了 那个 八十八 基本 套餐 嘛 有 一个 来电 提醒 两块钱 然后 有个 七十块 钱 一个 流量   对 啊
您好 请 讲   六十元 流量 已经 生效 了 现在 可以 使用 了   嗯 那 请问 还有 什么 可以 帮 您 吗   呃 我 帮 您 看 一下 啊
您好 请 说   新飞 享 八十八 套餐   嗯 通话 的话 是 有 一千二百 分钟 在 本地 都 可以 用   稍等一下 还是 那个 本地 九百 分钟 还有 五百 九 十五分钟 啊 那 全国 三百 分钟 还有 两百 三十七 分钟 还有 八百多 分钟 了
嗯 您好 请 说   嗯 办 的 是 十八 套餐 除了 这个 还有 来电 提醒 然后 三块 钱 的 彩印   没有 了   来电 提醒 跟 彩印 这 三个 加 起来 等于 二十四块 钱
很 高兴 为您服务   三十八 的 套餐 一点 五 g 的 省内 流量 三百 分钟 的 本地 通话 这种   是 的   稍等一下 我 帮 您 看 一下
嗯 您好 请问 什么 可以 帮助 您   呃 没有 就 十八块 里面 赠送 的 一 百兆 其他 都 没有   嗯 就 十八块 钱 的   对 是 的
嗯 嗯 再见 您好 很 高兴 为您服务   幺 三五 五 九九 零三 二 幺 八零是 吗   那 请 您 根据 语音 提示 帮 您 母亲 的 密码 输 一下 好 吗   噢 那 都 有 可能 他 没有 去 关注 那 不然 您 就 用 他 的 手机 打 过来 就 不用 密码 直接 帮 您 查
您好 请 讲   您 这边 下个月 是不是 五十八 的 套餐 这边 查询 是 的 您 已经 改成 五十八 的 了 五十八   对 一百五十 分钟 一百五十 兆 的 流量   更 多 的 分钟 数 或者 更 多 的 那个 八十八 另外 的 一种 是 三百五十 分钟 三百 兆 流量
您 阖家幸福 您好 诶 你好   现在 就是 我们 这个 手机 还有 什么 送 宽带 业务 的 吗 送 宽带 是 吗 宽带 那个 套餐 要 捆绑 啊   到 七十九 里面 有 送 宽带 的 七十九 啊 嗯 最低 消费 是   五十 兆 的 五十 兆
为您服务 诶 你好   你好 之前 的 活动 是 二零一 八年 一月 一号 就 结束 了 就 到 今年 十二月份 噢   就 到 十二月份 吗 二零一 八年 一月 一号 就 就 就 这 活动 就 到期 了   对 对 对
您好 请 讲   已经 生效 了 可以 用 了 噢   已经 是 我 您 放心使用   流量 秘书 没 那么 快 平常 您 呃 如果 订 成功 以后 他会 收到 信息 就 可以 用 了
早上好 请 讲   您 稍 等 我 看 一下 啊 本 机号码 的 业务 除了 您 的 呃 您 下个月 是 改成 了 这个 三十八 的 套餐 那 其他 收费 业务 就 没有 啦   您 这个 号码 的话 在 没有 改 这个 套餐 之前 有 按天 收费 的 业务 我 看 一下 来电显示 一个月 六块钱 按天 扣 当 其他 就 没有 啊   其他 收费 业务 的话 是 流量 五块 钱 它 是 月初 一次性 扣 然后 每个 月 的 语音 保底 打电话 您 要 达到 十块钱 打电话 的 费用 它 是 实时 扣费 其他 没有
嗯 那 您好 请 讲   你 这边 是 没有 开通 来电 提醒 的   有时候 状态 是 按次 点点 到 的 才 会 有   好 可以 那 你 稍等一下
喂 你好   看 一下 哈 您 稍 等   诶 我 帮 您 看 一下 啊 对 是 的 有 现出 了 我 发短信 给 您 发   您 根据 短信 取消 一下 哈
您好 高兴 您 服务   哎 你好 我   有个 基本 套餐 费 就 就 一个月 十八块 钱 的 然后 的 其他 业务 目前 就 没有 了 这个 套餐 费 十八元 噢 你好 帮 我查 一个 家庭网 的 哎   而且 因为 基本 套餐 费 十八块 这个 是 没法 取消 掉 您 加 加号 了
您好 您 请 讲   诶 您好   啊 不是 它 那个 是 一 百兆 另外 给 您 送 了 一 百兆 流量 然后 您 现在 是 本地 无线 上网 您 人 在 本地 在 外地 呢   在 厦门人 在 厦门 是 吗
您好   前   因为 是 这 样子 您 这边 话 呃 帮 您 看 了 一下 您 除了 一个 基本 套餐 之外 额外 还 点播 到 一个 移动梦网 的 点播 功能 这个 帮 你 关掉 好 吗 还有 一个 新闻 新闻 评论 这 也 关掉 您 看 可以 吗   还有 移动梦网 的 点播 功能 帮 您 关闭 您 等 一下 哈
您好 请 讲   嗯 请稍等 女士 您 这边 收费 的 只有 三十八 元 套餐 然后 您 有 一个 来电 提醒 三块 钱 另外 这边 有个 彩铃 还有 一个 彩印   可以 那 就 保留 一个 三十八 元 别的 都 取消 啊   恩好 请稍等 女士 那 就 办好 了 就 剩 一个 三十八 元 的 其它 都 给 您 取消 可以 了
包含 什么 增值 业务 什么 短信 包 十块钱 帮 我 扣掉 我来 彩印 三块 钱 帮 我 扣掉 了 是 吧 呃 您好 那 我 帮 您 看 了 一下 这个 业务 它 是   两个 都 没有 是 吧   诶 好好 请问 还 需要 其他 帮助 呢 不管
您好 请 讲   好 的 您 这 是 一个 流量 套餐 其他 都 没有 了 他们   彩铃 等 一下 您 本机 没有 开通 彩铃 业务 啊   对 啊 我 这边 看 了 一下 您 本机 就 一个 流量 王 套餐 啊 啊 一天 一块钱 一 g 这个 业务 其他 业务 就 没有 开通 的 啊 谢谢 好 不 客气 好 的 祝您 阖
您好 请 说   噢 我 帮 您 看 了 下 我们 就 用 的 是 十八块 钱 的 套餐   没收 到   嗯 其他 没有 了 对 没有 的
早上好 您 请 说 在   好 您 是 说 充值 的 四个 g 的 流量 是 吗 恩 对 收到   目前 帮 您 查 的话 没有 流量 充 进来 也 是 在 那种 微信 还是 支付宝 上面 充 的 是 吗   讯通 上面 您 这个 流量 都还没 充到 账 噢 行 那 我 这里 没有 显示 充值 成功 呢 您 咨询 一下 新装 客服 看看 是不是 延迟 了 有 这种 的 账单 平台 充 的话 就要 咨询 一下 他们 这钱 是 被 它们 扣 走 了 他们 还 没 还 没有 把 流量 给 您 充 进去
你好   嗯   买回来 了 已经 变回来 那个 八十八 了   嗯 如果 是 广州 这边 有办 宽带 然后 宽带 没 登记 的话 就 接收 八十八 就 可以 了
您好 请 讲   那有 看到 了   好 的 帮 您 登记 次 月 失效 用到 这个 月底 为止   诶 是 的 嗯 还有 别的 什么 可以 帮 您 呢
您好 很 高兴 为您服务   或者 是 您 这个 是 三十 八块钱 一个月 的 一百 分钟 五百 兆 跟 来电显示   呃 您 这边 内容 都 了解 过 了 吗   那 我 给 您 改 一下 吧 呃 一百 分钟 全国 打 全国 通话 五百 兆 全国 流量 跟 来电显示 有 做 活动 额外 会 赠送给 您 三百 分钟 漳州 打 全国 跟 两千五百 七十二 兆 的 福建省 内 流量 那 这个 是 长期 永久 赠送 的 只要 您 都 在 漳州 噢 您 一个月 一百 分钟 跟 三 g 都 能 用 不会 没有 区别 您 放心 用 就行了 呃
您好 什么 可以 帮 您   您 这个 月 办 的 是 三十八 的 下个月 改了 改成 八十八 的   已经 用 了 话费 算 好好 好行 行行 哎行 还 需要 别的 帮助 吗 不 客气 诶 好 那 祝您 生活
您好 请 讲   那 是 五十八 套餐 里面 是 有 办 了 就是 四百 分钟 三 g 的 流量   可以 啊 稍等一下 不 可以 帮 您 删掉 了   对 对 对
前面 也 上面 都 没有 亮 没有 喂 你好 哎 你好 先生   稍 等 我 看 一下   一个 七十九 元 套餐 短信 包 三块 钱 来电 提醒 两块钱   您 这个 是 有 跟 宽带 绑定 在 一起 的 如果 需要 变更 的话
您好 很 高兴 为您服务   请 您 稍 等 我 帮 您 查询 一下   没有 办理 一个 十八块 钱 的 套餐 还有 个 两块钱 的 来电 提醒 有个 彩印 功能 费 这个 是 三块 彩铃 功能 费是 六块 有个 超级 qq 功能 费是 十块   彩铃 的话 是 您 在 那个 呃 买 卡 的 时候 就 开通 的 超级 qq 是 您 在 一千年 八月份 进行 一个 开通 的 那 要 帮 您 这些 业务 都 取消 掉 吗
您好 请 讲   我 帮 您 看 一下 套餐 十八 的 来电 提醒 已经 预约 到期 自动 关了 彩铃 也 是 然后 来电显示 是 送 的 其他 包月 的话 暂时 没有 开通   那 您 已经 关 了 十二月 一号 就 没有 了 之前 都 预约 关闭 了   它 这个 是 有 活动 的 它 有 绑定 的 到期 会 自动 关 了
早上好 请 讲   手机 它   呃 您 是 要 开通 的 业务 有什是 什么 是 吗   我 这样 吧 除了 套餐 费 八十八 之外 额外 有 一个 来电 提醒 还有 一个 是 五十块 钱 一 g 的 流量 套餐
您好 请 说   转入 本机 是 新飞 享 八十八 套餐 下个月 是 吗 下个月 改成 五十八 的 商旅 套餐 一百五十 分钟 一百五十 兆 流量 的 可以 用 完
呃 您好 请 讲   咪咕 阅读 就是 手机 上网 那 您 手机 我 就 上网 看 那个 呃 看 小说 啊 之类 的 这些 业务   对   这个 咪咕 阅读 的话 我 这边 查看 您 这个 是 属于 点播 类 只要 您 没有 去 看 的话 就 不会 产生 这个 费用
您好 请 说   的 套餐 现在 用 的 是 一个 飞享 八块钱 套餐   那 八块钱 的 套餐 就 三十分钟 和 来电显示   呢 套餐 里面 没有 流量
您好 高兴 您 服务   挺 好 您 稍等一下 有 开通 的 业务 是 来电 提醒 然后 你 自己 月租 三十八   没有 了 就 这 两个   流量 是 一点 五 g
您好 请 讲   好 的 您 稍等一下 哈   对   你好 女士 您好 八块 的 套餐
您好   我 帮 您 看 一下 呃 您 目前 的话 我 帮 您 看 一下 您 这边 有 一个 三十八 的 基本 套餐 额外 还有 个 五十块 钱 流量 包 这个 业务   跟 另外 没关系 是 本 机号码 里面 开 一个 五十块 钱 一个 g 的 一个 流量 补充 包 的 业务   好 的 那 帮 您 五十块 钱包 帮 您 关掉 了 关掉 完 之后 十块钱 流量 包 流量 它 只能 在 本月 使用 我 要是 没用 完 之后 就 没有 了 您 看好 吗
你好   嗯 请 说   嗯   呃 我 看 一下 对 原来 有 八十八 那会 自动 取消 嘛 下个月 就是 五十八 了
您好 很 高兴 为您服务   您 有 订购 了 一个 十八 套餐 还有 来电 提醒 其他 收费 包月 我 帮 您 查询 噢 才 家庭网 其他 暂时 是 没有 了 不是 有 一 还有 您 学校 那边 有 一个 和 教育 沟通 包月 的   诶 好 的 那 还有 什么 需要 帮 您 的   恩好 可以 没有 别的 问题 的 是 吗
您好 请 讲   嗯 我 帮 您 看 一下 哈 啊 您好 您 这个 漫游 功能 还 没 开要 帮 您 开 一下   您 有 需要 使用 流量 吗   噢 请稍等 那 您 是 去 哪里 漫游 呢 收费 都 有
您好 请 说   嗯 马上 帮 您 查询 啊 对 的   别的 事 那 来电 提醒 稍后 帮 您 取消 吗   嗯 好 那 您 稍 等 嗯 您 稍 等 噢 那 来电 提醒 目前 的话 在 呃 活动期 还 没 办法 直接 给 您 取消 那 您 稍 等 我 帮 您 设置 一下 了
您好 有 什么 可以 帮 您   套餐 的话 都 不会 失效 呀 您 这个 是 十八元 套餐 吗   啊 为什么 您 这个 啊 分钟 免费 是 吧 您 这 分钟 数 的话 就 只有 这个 一百 分钟 了 因为 它 原先 给 您 赠送 的 那个 这个 月 到期 了 所以 说 现在 开始 就 只有 您 这个 套餐 内 一百 分钟 还有 一 百兆 流量 了   嗯 对 这个 月 失效 了
哎 嗯 吧 您好 请 讲   取消 掉   噢 就是 您 这 张卡要 继续 用 您 原先 的 套餐 是 吗   请 稍等一下 金额 您 要 取消 的话 我 这边 帮 您 报 后台 去 申请 取消 了 您 这边 的话 到时候 留意 一下 我们 工作人员 电话 您 这 两天 之内 留意 关注 一下 我们 工作人员 电话 好 吗
您好 请 说   您 套餐 五十八 元 一个月   呃 是 的   五个 g 的 流量 然后 有 一千两百 分钟 通话 五 g 流量 是 四点 五个 g 是 省内 的 五百 兆 全国 的 短信 呃 一千两百 分钟 通话 是 三百 分钟 是 全国 都 可以 用 然后 九百 分钟 是 您 在 宁德 打 全国 才 可以 用
你好 很 高兴 为您服务   八十八 套餐   一千两百 分钟 的 通话 五 g 省内 流量 诶 对 五千 兆   五千 兆 五 g 啊
您好 请 讲   什么 可以 帮 您   校 讯通 嘛   我 看 一下 有 有 一个 动力 加 十块钱 一个月
您好 很 高兴 为您服务   呃 您 这边 五十八 套餐 套餐 外 的话 您 这边 是 有 那个 来电 提醒 扣 了 两 毛钱 然后 有 使用 到 一些 信息 台 的 信息费 扣 了 八 毛钱 所以 总共 是 消费 了 五十九 块 那 咱们 上个月 余额 是 五 十八块 五毛 六 所以 刚好 欠 了 四毛 四 这边   反应 给 他   嗯 嗯
哎 你好   哎 有 什么 可以 帮助 您 的   呃 您 现在 使用 的 是 三十八 元 套餐   嗯 嗯
您好 请 说   你好   好 的 嗯 您好 我 帮 您 看 了 一下 您 这 张卡 现在 就 只有 剩下 您 的 那个 套餐 费 十八块 钱 没有 刚才 刚 开通 的 业务 啊   刚才 收到 短信
您好 请 讲   本 机 套餐 办 的 是 一个 八十 八块钱 的 套餐 包含 两百 二十 呃 包含 这个 一千两百 分钟 通话 还有 五个 g 流量   对 您 后面 升级成 八十八 的 了 十月份 升级 的 那 您 另外 开通 了 一个 二十块 钱 的 流量 套餐 其实 就 可以 不用 开 了 这个 我 帮 您 取消   恩好 先帮 您 取消 好 了 下个月 关闭 那 取消 以后 流量 限 当月 使用 其他 我 再 帮 您 看 一下
助 的 这个 办 那么 好 啊 您好 请 讲 喂 呃 您好   为 您 办 的 是 那个 七十块 的 流量 包 因为 您 有 去 参加 了 那个 送 话费 的 活动 它 就 只能 是 下个月 生效 如果说 您 单单 没有 参加 活动 的 时候 今天 开 的话 它 是 立即 生效 的   我 看 一下 啊   现在 也 无 如果 不要 的话 我 帮 您 登记 到 后台 取消
