你好 请 讲 其他   先生 嗯 请 讲
您好 很 高兴 为您服务 你 帮 我查 一下 我 这 什么 套餐 本机 是 月租费 十三块 套餐 十三块 套餐 对 十三元 六十三 元 是 吧 对 十四号 好好 然后 来电显示 要 另外 收 啊 还有 来电 提醒 噢 那 你 查 一下 我 这个 接下来 是 半年 之前 的 半年 内 每个 月 大概 消费 多少 上个月 是 六十三 包月 上个月 三月份 四十二   六六 月份 是
你好 请 讲   您 这个 没有 开 流量 套餐 啊
您好 请 说   这边 显示 您 这个 号码 目前 还是 属于 旧版 的 三十八 套餐 啊 并 没有 改 到 那个 新 的 三十 并 没有 看到 有 更改 套餐 的 一个 记录
您好 很 高兴 您 服务   好 的 女士 我 帮 您 看 一下 除了 基本 套餐 的话 是 一个 流量 王 的 一个 是 套餐 除了 这个 以外 的话 其他 的 收费 服务 帮 您 查询 一下 您 稍等一下 这边 有个 彩印 功能 但是 已经 有 登记 了 下个月 取消 掉 了
对 您好 请 讲   有 两样 是 吧 嗯 套餐 是 八十八 的 二级 八十八 是 吗 还有 一个 流量 的 活动 十二月 一号 到期
有 什么 可以 帮 您   您 现在 用 的 是 新飞 享 系列 十八 套餐 里面 还有 国内 流量 一 百兆 嘛 然后 省内 流量 赠送 您 两 百兆 然后 本地 打 国内 电话 两百 分钟 吗
很 高兴 您 服务 您好   您 现在 用 的 是 五十八 的 套餐
嗯 您好 请 讲   您 现在 套餐 是 校园 四十八 的 套餐 这款 的 四十八 是 吧 对 没错 四十八
您好 请 讲   这 张卡 的话 就是 五十 八块钱 的 套餐 有开 一个 来电 提醒 功能 还有 幺 三九 邮箱 彩印 和 彩铃 功能
您好 很 高兴 为您服务   这个 用 的 是 飞享 三十八 现在 用 的 是 新版 的 三十八
您好 请 讲   下个月
嗯 嗯 您好 请 说 有 什么 可以 帮 您 的   噢 目前 使用 您 的 套餐 啊 没什么 收费 的 业务 啊
您好 请 说   您好 什么 可以 帮助 到 您
嗯 啊 您好 很 高兴 为您服务 您好 嗯   请 稍等一下 这个 月 已经 没有 三十块 的 流量 包了
请 您 稍 等 帮 您 查询 一下 您 本机 是 是 呃 不 客气 我们 应该 做 的 您 本机 是 十八 的 这 样子 一个 套餐 然后 您 这边 额外 我 这边 查询 就 没有 这个 其他 的 这种 付费 的 包月 的 增值 业务 了   嗯 十八 的 这个 套餐 是 您 本地 打 国内 有 一百 分钟 的 分钟 数 跟 国内 流量 这边 一 百兆 这 样子 的 一个
您好 很 高兴 为您服务   你好
您好 请 讲   六十元 流量 已经 生效 了 现在 可以 使用 了
您好 请 说   新飞 享 八十八 套餐
嗯 您好 请 说   嗯 办 的 是 十八 套餐 除了 这个 还有 来电 提醒 然后 三块 钱 的 彩印
很 高兴 为您服务   三十八 的 套餐 一点 五 g 的 省内 流量 三百 分钟 的 本地 通话 这种
嗯 您好 请问 什么 可以 帮助 您   呃 没有 就 十八块 里面 赠送 的 一 百兆 其他 都 没有
嗯 嗯 再见 您好 很 高兴 为您服务   幺 三五 五 九九 零三 二 幺 八零是 吗
您好 请 讲   您 这边 下个月 是不是 五十八 的 套餐 这边 查询 是 的 您 已经 改成 五十八 的 了 五十八
您 阖家幸福 您好 诶 你好   现在 就是 我们 这个 手机 还有 什么 送 宽带 业务 的 吗 送 宽带 是 吗 宽带 那个 套餐 要 捆绑 啊
为您服务 诶 你好   你好 之前 的 活动 是 二零一 八年 一月 一号 就 结束 了 就 到 今年 十二月份 噢
您好 请 讲   已经 生效 了 可以 用 了 噢
早上好 请 讲   您 稍 等 我 看 一下 啊 本 机号码 的 业务 除了 您 的 呃 您 下个月 是 改成 了 这个 三十八 的 套餐 那 其他 收费 业务 就 没有 啦
嗯 那 您好 请 讲   你 这边 是 没有 开通 来电 提醒 的
喂 你好   看 一下 哈 您 稍 等
您好 高兴 您 服务   哎 你好 我
您好 您 请 讲   诶 您好
您好   前
您好 请 讲   嗯 请稍等 女士 您 这边 收费 的 只有 三十八 元 套餐 然后 您 有 一个 来电 提醒 三块 钱 另外 这边 有个 彩铃 还有 一个 彩印
包含 什么 增值 业务 什么 短信 包 十块钱 帮 我 扣掉 我来 彩印 三块 钱 帮 我 扣掉 了 是 吧 呃 您好 那 我 帮 您 看 了 一下 这个 业务 它 是   两个 都 没有 是 吧
您好 请 讲   好 的 您 这 是 一个 流量 套餐 其他 都 没有 了 他们
您好 请 说   噢 我 帮 您 看 了 下 我们 就 用 的 是 十八块 钱 的 套餐
早上好 您 请 说 在   好 您 是 说 充值 的 四个 g 的 流量 是 吗 恩 对 收到
你好   嗯
您好 请 讲   那有 看到 了
您好 很 高兴 为您服务   或者 是 您 这个 是 三十 八块钱 一个月 的 一百 分钟 五百 兆 跟 来电显示
您好 什么 可以 帮 您   您 这个 月 办 的 是 三十八 的 下个月 改了 改成 八十八 的
您好 请 讲   那 是 五十八 套餐 里面 是 有 办 了 就是 四百 分钟 三 g 的 流量
前面 也 上面 都 没有 亮 没有 喂 你好 哎 你好 先生   稍 等 我 看 一下
您好 很 高兴 为您服务   请 您 稍 等 我 帮 您 查询 一下
您好 请 讲   我 帮 您 看 一下 套餐 十八 的 来电 提醒 已经 预约 到期 自动 关了 彩铃 也 是 然后 来电显示 是 送 的 其他 包月 的话 暂时 没有 开通
早上好 请 讲   手机 它
您好 请 说   转入 本机 是 新飞 享 八十八 套餐 下个月 是 吗 下个月 改成 五十八 的 商旅 套餐 一百五十 分钟 一百五十 兆 流量 的 可以 用 完
呃 您好 请 讲   咪咕 阅读 就是 手机 上网 那 您 手机 我 就 上网 看 那个 呃 看 小说 啊 之类 的 这些 业务
您好 请 说   的 套餐 现在 用 的 是 一个 飞享 八块钱 套餐
您好 高兴 您 服务   挺 好 您 稍等一下 有 开通 的 业务 是 来电 提醒 然后 你 自己 月租 三十八
您好 请 讲   好 的 您 稍等一下 哈
您好   我 帮 您 看 一下 呃 您 目前 的话 我 帮 您 看 一下 您 这边 有 一个 三十八 的 基本 套餐 额外 还有 个 五十块 钱 流量 包 这个 业务
你好   嗯 请 说
您好 很 高兴 为您服务   您 有 订购 了 一个 十八 套餐 还有 来电 提醒 其他 收费 包月 我 帮 您 查询 噢 才 家庭网 其他 暂时 是 没有 了 不是 有 一 还有 您 学校 那边 有 一个 和 教育 沟通 包月 的
您好 请 讲   嗯 我 帮 您 看 一下 哈 啊 您好 您 这个 漫游 功能 还 没 开要 帮 您 开 一下
您好 请 说   嗯 马上 帮 您 查询 啊 对 的
您好 有 什么 可以 帮 您   套餐 的话 都 不会 失效 呀 您 这个 是 十八元 套餐 吗
哎 嗯 吧 您好 请 讲   取消 掉
您好 请 说   您 套餐 五十八 元 一个月
你好 很 高兴 为您服务   八十八 套餐
您好 请 讲   什么 可以 帮 您
您好 很 高兴 为您服务   呃 您 这边 五十八 套餐 套餐 外 的话 您 这边 是 有 那个 来电 提醒 扣 了 两 毛钱 然后 有 使用 到 一些 信息 台 的 信息费 扣 了 八 毛钱 所以 总共 是 消费 了 五十九 块 那 咱们 上个月 余额 是 五 十八块 五毛 六 所以 刚好 欠 了 四毛 四 这边
哎 你好   哎 有 什么 可以 帮助 您 的
您好 请 说   你好
您好 请 讲   本 机 套餐 办 的 是 一个 八十 八块钱 的 套餐 包含 两百 二十 呃 包含 这个 一千两百 分钟 通话 还有 五个 g 流量
助 的 这个 办 那么 好 啊 您好 请 讲 喂 呃 您好   为 您 办 的 是 那个 七十块 的 流量 包 因为 您 有 去 参加 了 那个 送 话费 的 活动 它 就 只能 是 下个月 生效 如果说 您 单单 没有 参加 活动 的 时候 今天 开 的话 它 是 立即 生效 的
的 我 看 一下 啊   是 吗 不 客气 帮 您 查 一下 里面 没有 手机 视频
您好 请 讲   嗯 我 帮 您 看 一下 嗯 对 那 帮 您 取消 掉 是 吗
你   你好
你好   恩 还有 什么 需要 帮助 吗
您好 请 您 说   好 我 马上 帮 您 检查 现在 您 手机 没有 开通 来电 提醒 呢
您好 请 讲 您好 嗯 请 说 恩 看 一下   恩好 的 我 帮 您 看 一下 您 现在 本 机 套餐 呢 是 九块 钱 的 套餐 然后 包含 三个 g 的 视频 优酷 视频 流量 然后 套餐 里面 的话 额外 还有 一个 一天 一块钱 五百 兆 的 流量 包
你好 请 说   您好 您 现在 是 飞享 的 三十八 套餐 下个月 改成 了 五十八 套餐
您好 请 说 你好   帮 您 查询 我 帮 您 查看 一下 这个 月 到 目前为止 的话 是 流量 扣 的
您好 请 说   结果 他 消费 您 是 五十 八块钱 套餐
哎 你好 很 高兴 为您服务 三十 号 诶 您好   呃 我 看 一下 请稍等 噢 您好 哎 呃 我 看 了 一下 您 这边 办理 的 业务 就是 基本 套餐 三十八 有 一个 是 嗯 流量 的 活动 这边 看 一下 还 没 到期 嗯 还有 一个 是 夜间 活动 下个月 也 取消 啊
您好 很 高兴 为您服务 五元 月租 还有 三十五块 钱 噢 你好 诶   是 五十 啊 您好 您 的 电话 已 接通 一下 一百一十 六 了
你好 需要 什么 帮助   嗯 对 您 这 套餐 七十九 的 是 属于 宽带 类型 的 套餐 啊
您好 请 讲   你好 您好
您好 请 讲   付费 套餐 您 稍 等 就 开通 的 业务 是 吧 有 一个 五十元 的 流量 包是 要 取消 吗
应该 没 您好 请 讲   十八元 飞享 套餐 噢 已经 是 十八元 的 是 吧
您好 请 说   好 的 没有 开 流量 包 流量 的话 一个月 是 月租 里面 一个 g 然后 另外 是 赠送 的 一个纸 没有 开通 的
您好 请 讲   嗯 没错
您好 请 说   有 订购 成功 了 下个月 一号 开始 生效 先生
您好 请 讲   噢 您 稍 等 这边 马上 帮 您 看 啊 您好 这边 帮 您 看 了 一下 您 除了 一个 基本 套餐 呢 它 是 呃 有 给 您 赠送 一个 来电 提醒 的 业务 这个 是 长期有效 的 啊 除了 这个 以外 呢 还有 给 您 赠送 一个 彩印 的 业务 那 彩印
您好 请 讲   呃 您 现在 这个 号码 现在 用 的 是 飞享 八块 套餐 八块钱 对
您好 请 讲   短信 嗯
您好 您 说   呃 咪 咕 会员 这个 您 是 要 您 是 已经 登记 过 了 月底 取消 之前 是 八月份 的 活动 已经 有 预约 过 了 月底 关闭 啊
您好 您 请 讲 噢 八十八 吧 噢 帮 您 跟 安心 心 按键   嗯 嗯 那 您 现在 这边 是 来电 确认 一下 是不是 要 靠 呃 是不是 要 到期 对 吗
您好 请 说   稍等一下 感谢 耐心 等待 帮 您 看 了 一下 这个 号码 下个月 剩 一个 五十八 的 套餐 还有 一个 是 两块钱 来电 提醒
您好 请 说   没有 看 一下 呃 对 它 这个 有 来电 提醒 还有 这个 彩印 咪咕 特级 会员 这 几个 业务
您好 请 讲 呃 喂 您好 呃 您好   我 看 一下 您 稍 等 恩 好 的 这边 查询 是 有 开通 的
嗯 您好 请 讲   这个 是 三十八 套餐 然后 您 上面 有 一个 我 看 一下 有 一个 来电 提醒 跟 彩印 其他 没什么 了
你好 什么 需要 帮助   好 的 没 问题 它 是 有 一个 彩印 来电 提醒 咪 咕彩铃 这 三个 到期 了 可以 取消 掉 了
您好 很 高兴 服务 您好   您 目前 用 的 是 四 g 飞享 的 三十八 元 套餐
那 这么 说   卡 就
你好 您好 很 高兴 为您服务 您好 什么 可以 帮助 您 的 诶 您好   您 是 要 来电 提醒 还是 语音信箱 来电 提醒 是 关机 跟 没 信号 别人 打 您 电话 没 接到 那 你 二十四 小时 之内 开 机会 收到 短信 提醒您 什么 号码 给 您 在 什么 时间 来过 电话
您好 请 讲   额请 说
您好 请 讲   嗯 嗯 噢 帮 您 看 一下 请稍等 嗯 这个 就是 您 有 添加 流量 共享 上个月
嗯 很 高兴 您 服务   您好 请 说 啊 你好 帮 我查 一下 我想查 另外 一个 卡 那个 套餐 是 什么 套餐 的 可以 吗 密码 知道 吗
您好 请 说 听 得到 吗 那 今天 开通   请 您 现在 的 帮 您 查询 您 的 套餐 十八块 除了 套餐 以外 的话 我 看 一下 噢 除了 套餐 以外 的话 这边 查看 一下 没有 定制 收费 的 业务 了 啊
啊 您好 您 请 讲   八十八 的 商旅 套餐 每个 月 三百五十 分钟 流量 三百 兆
嗯 你好   对 的
您好 请 说   您 这 是 很早 之前 的 神州行 大众卡 的 套餐 套餐 费是 十二块 钱 一个月
噢 请 讲   什么 东西
您好 什么 可以 帮 您   哎 您好
您好 请 说   本 机 十八元 套餐 四 g 飞享 十八元 嗯 嗯
您好 请 讲   本 机 的话 是 十八 的 套餐
呃 什么 功能 费   嗯 成长 帮手 跟校 讯通 要 取消 哪 一个
行 早上好 请 说   恩好 的 请 您 稍 等 我 帮 您 看 一下 嗯 以后 您 这边 有 开通 国际漫游
八十八 的 套餐 啊 就是 包含 一千两百 分钟 通话 五 g 流量 跟 来电显示 呢   还有
您好 请 说   您 现在 开通 了 只有 个 基本 套餐 五十八 元 的 套餐 然后 呢 有 一个 恩有 一个 三块 钱 的 彩印 功能 还有 彩铃 功能 五块 彩印 三块 其他 服务 没有 了
请问 有 什么 可以 帮 您 嗯   话费 的 好 稍等一下 有 那个
你好   套餐 您 这个 十八元 的 套餐 还有 参加 了 我们 一个 流量 的 活动 优惠 然后 我 看 一下 没有 其他 业务 收费 了 噢
你好   啊 您 说 哎
您好   那 银行卡 月租 五十 然后 有 一个 腾讯 视频 的 流量 这个 二十四块 钱要 不要 退掉 啊
您好 请 说   对 是 八十八 的
哎 您好 很 高兴 为您服务   套餐 现在 这个 号码 动感地带 网聊 十三块 钱 的 套餐
您好 请 讲 喂 你好   一个 什么 腾讯 的 会员 什么 有 吗 没有 什么 腾讯 会员 您 这个 号码 就 基本 套餐 八块 来电 提醒 跟 彩印 其他 业务 都 没有 噢 那 谢谢 啊 其他 没 了 谢谢 恩好 的 那
嗯 您好 请 说   恩 你好
您好 很 高兴 为您服务   帮 我 看 一下 流量 包 三十八 是 五百 兆 的 啊 您 还有 办 了 一个 师傅 或者
你好   呃 您 是 三十八 的
啊   噢 十三元 的 超级 网聊 套餐 是 很早以前 旧版本 套餐 了
您好 高兴 为您服务 您好   稍等一下
您好 请 讲   有办 一个 五十块 钱 的 流量 活动 嗯 我 看 一下 啊 可能 是 五十块 钱 一个月 然后 每个 月 给 您 返还 四十元 您 自己 只要 花 十块钱 的 这个 活动
您好 请 讲   开通 十块钱 一 百兆 的 加油 包是 吗 呃 开通 完 马上 生效 月底 自动 取消 的 呃 那 流量 如果 没有 使用 完它 是 不 累积到 下个月 的 噢 好 帮 您 办好 了 已经 生效 了 现在 就 可以 用 了 恩 还有 什么 可以 帮助 您 的 呢
您好 请 讲   哎 十号 了 之前 套餐 我 看不到 啊
嗯 您好   嗯 三个
您好 请 讲   嗯 对 新飞 享 八十八 套餐
请 您好 很 高兴 为您服务   更新 电话 二 您 现在 使用 的 是 三十八 套餐 到 下个月 的话 还是 用 三十八 元 的 新飞 享 套餐 没有 变更 都 没 变更 噢 是 没错
您好 请 讲   噢 五十八 的 飞享 套餐
哎 你好 你好   对 三百五十 分钟 三百 兆 的
哎 您好   呃 基本 套餐 一个月 是 五 十八块 的
您好 请 说   您好
唉呀 您好 您 请 讲   什么 套餐
嗯   您好 请 讲
你好   现在 用 的 就是 三十八 套餐 女士
您好 很 高兴 为您服务   嗯 嗯
啊 好 下午 好   您 这边 除了 这个 基本 套餐 之外 有 一个 呃 那个 爱奇艺 那个 视频 流量 包
您好 请 说   恩对 有 啊
幺 您好 请 说   呃 我 帮 您 查询 稍等一下
您好 很 高兴 服务 您好 您好 请 说   嗯 您 稍等一下 马上 查询 呃 目前 查询 一下 您 现在 基本 套餐 是 我们 三十 八块钱 飞享 套餐 还有 个 您 之前 的话 有 开通 一个 是 二十四 元 的 视频 流量 包是 那个 咪咕 视频 的 这个 是 到 明年 的 九月 一号 结束 然后 还有 一个 是 那个 来电 提醒 其他 的 没有 什么 业务 了
您好 请 讲   是 的
您好 请 讲   好 我 看 一下 哈订 您 套餐 是 八十八 的 另外 还有 个 流量 包 还有 一个 短信 套餐 来电 提醒 什么 的
你好 请 说   立即 关掉 好 吧 我 就 听不懂 听得 不是 很 清楚
嗯 您好   现在 是 八块钱 的 套餐 三十分钟 通话 跟 来电显示
您好 请问 什么 可以 帮助 您   呃 要 自己 设置 我 看 一下 噢 您 现在 在 福建省 内 吗
你好 有 什么 可以 帮 您 请 说   呃 那 就是 要 看 流量 方面 的 使用 情况 哈 您 这个 使用 情况 上个月 超 了 二十一 块钱 的 流量 费
您好 请 说   本机 是 吧 我 看 一下 哈 嗯 您好 我 帮 您 查 了 一下 您 说 的 是 夜间 的 那个 闲时 流量 吗
您好   嗯 嗯 好 的 目前 您 的 月租费 每个 月 一百二十八 块钱 还有 个 流量 包 三十 流量 包 三个 啊
好 的 您 稍 等   有 开通 的 是 一个 家庭 宽带 其他 的话 帮 您 查询 了 一下 还有 加入 是 永安 的 一个 是 那个 郑 永定 的 政府网
嗯 您好 高兴 您 服务   您好
你好 请 讲   是 八十八 的 全球通
哎 你好   呃 一天 一块钱 一个 g 的 本地 流量
您好 请 讲   我 看 一下 没有 点播 什么
呃 您好 什么 帮到 您   嗯
您好 请 讲   请稍等 这 号码 没有 开来 电 提醒
您好 请 说   我 看 一下
您好 请 说   您好
您好 请 讲   嗯 是 这个 是 您 之前 参与 活动 到 十二月份 才 到期 可以 帮 您 设定 一下 到期 之后 帮 您 自动 关掉
呃 有 哪些 增值 业务 是 吧   我 马上 帮 您 查看 一下 哈
您好 请 说 哎 我 想 你 帮 我查 一下 为什么   九块 钱 的
您好 有 什么 可以 帮 您   嗯 对 您 有 开通 一个 十元 一 g 的 夜间 流量 包
最近 一两天 呀 稍等一下 有点 能 不能 不能 不会 就是 八十八 从 下个月 更 改为 一百三十八 的 另外 有 开通 一个 三十元 五百 兆 流量 跟 来电显示 两款 还有 一个 阅读 跟彩铃 密码 彩铃 有何 信息   对 一个 是 和 阅读 神州 是 阅读 包
您好 请 说   喂 你好 您好 电话 已 接通 请 讲 喂 你好 请问 一下 噢
你好   呃 稍等一下 噢
您好 请 讲   稍 等 呃 您 这个 保底 的话 到 明一 九年 二月 一号 啊
嗯 您好 您 请 说 啊   噢 好 的 本机 这边 办 的 是 呃 一百三十八 元 套餐 就 说 在 这个 厦门市 使用 流量 不限 的
您好 请 讲   我 看 一下 它 是 办成 那个 十八块 的 这个 飞享 套餐 一百 分钟 一 百兆 流量 的
您好 请 讲   好 您 稍 等 帮 您 看 一下 哈
您好 请 讲   嗯 嗯 好 的 请稍等
再见 您好 请 讲   嗯 嗯 对 本机 有 办
早上好 请 说   家庭网 是 别人 邀请 您 的
你好   你好
请稍等 我 帮 您 查看 一下   十八块 钱 的 有 一百 分钟 莆田 打 国内 电话 分钟 数一 百兆 流量 和 来电显示 功能
您好 很 高兴 为您服务 您好   是 的 呀 要 帮 您 取消 吗
你好 请 讲   我 帮 您 查 一下 您 稍等一下
行哼 您好 很 高兴 为您服务   诶 您好
嗯 嗯 您好 很 高兴 为您服务   您好
拜拜 你好 请 说 对 你好 你好 哎 你好 女士 嗯 我 想 你   好 的 您 稍等一下
沙沟 您好 请 讲   呃 现在 是 十八块 钱 套餐
您好 请 讲 嗯 嗯   您好
您好 很 高兴 为您服务   您 是 用 的 叫 超级 流量 王 套餐 就是 一天 一块钱 一天 有 就是 一个 g 的 本地 流量 还 另外 加 了 一个 二十块 钱 三百 兆 的 流量 包
您好 请 说   您 这 手机 除了 您 幺 三八 的 套餐 还有 一个 来电 提醒 剩下 的话 您 就 彩印 手机 会员 彩印
您好 请 讲 您好 二月 一号   您 九月份 也 就 扣 了 二十元 十月份 也 是 扣 二十 啊 没有 很 厉害 呀
您好 请 讲   我 看 一下 噢
天 嗯 您好 高兴 您 服务   噢 神州行 套餐 月租 二十块
您好 先生 呃 帮 我 看 一下 我 现在 用 什么 套餐 啊 嗯 帮 您 看 一下 稍等一下 帮 您 看 这 是 那种 大众卡 套餐 月租 十块钱 的 套餐   那 我 帮 您 看 您 消费 多少 月租 十块钱 打电话 保底 十块钱 我 帮 您 看 您 最近 这 几个 月 消费 多少 嗯 现在 是 属于 那个 呃 十月份 我 帮 您 看 您 九月份 消费 五十 一块 八毛 五十 一块 八毛 四 还有 十三块 两毛
你好   不 客气 您好 感谢 耐心 等待 除了 基本 套餐 外有 订购 了 来电 提醒 有 彩印 的 咪 咕 音乐 的 这些 如果 不 需要 使用 可以 帮 您 取消 掉
您好 请 说   我 帮 您 查询 请 您 稍等一下
您好 请 讲   呃 除了 那个 基本 月租 三十八 还有 开通 了 就 来电 提醒
您好 请 讲   做 八块钱 套餐 八块 三 呃 唉 对 没错 是 的 嗯
您好 请 讲   对 没错 下个月 生效 新飞 享 三八 套餐
您好   我 看 一下 您 套餐 现在 是 三十八 套餐
您好   我 看 一下
很 高兴 为您服务   我 看 一下 您 稍 等 啊 唉呀
很大 它   您 现在 这个 是 二十八 元 的 飞享 套餐
您好 请 讲   请问 有 什么 可以 帮 您
您好 请 说   你好 请 说
您 本机 是 三十八 元 的 套餐 就是 有 五百 兆 流量 一百 分钟 本地 通话 是 这种 然后 另外 就是 有个 彩铃 功能 五块 钱 别的 没有 什么   流量 五百 兆 嗯
您好 请 说   好 稍等一下 本 机 现在 是 还有 设置 就是 关机 无 信号 转移 到 一个 幺 七八 的 号码
嗯 嗯 啊 您好 请 讲   嗯 查询 本 机 目前 的话 所 办理 的 是 呃 九元 的 优酷 流量 卡 套餐 套餐 费 九块 钱 里面 包括 三 g 的 流量 用来 登录 优酷 ap 软件 播放 视频 用 的 其他 不能 使用 然后 没有 订购 什么 其他 收费 的 了
您好 很 高兴 为您服务   本 机号码 吗 对 请稍等 我查 一下
您好 请 讲   本 机号码 的话 您 目前 是 八十八 元 套餐 那 除了 八十八 元 套餐 给 您 参与 的 流量 活动 到 十二月 一号 自动 取消 然后 有 一个 来电 提醒 其他 收费 的话 就 没有 楼 一个 家庭网
什么 了   本 机 三十八 元 套餐
您好 请 说   稍 等 套餐 的话 是 五十八 的 然后 的话 三块 钱 的 来电 提醒 那个 是 活动 的 有 收费 的话 就 套餐 五十八
嗯 嗯 您好 下午 好   嗯 我 看 一下 您 目前 呢 除了 您 一百二十八 的 套餐 之外 就是 一个 一百块 钱 的 一个 流量 套餐 其他 收费 的 就 没有 了
您好 请 说   噢 好 的 请稍等 我 看 一下 呃 是 的 您 这边 有 开通 彩铃 功能
您好 什么 可以 帮 您   噢 那 我 这边 帮 您 转 我们 的 宽带 专席 这个 会 有 专门 处理 宽带 好 吗 好 的 行 谢谢 好 不 客气 您 不要 挂机 马上 帮 您 转接
您好 请 说   您 这个 月 的话 当月 代收费 有 扣 您 三十二块 钱
嗯 您好 请 讲 你好 您好 请 讲 诶 您好   呃 您 现在 开通 的话 是 新 的 一个五十 八块钱 的 套餐 除了 这个 以外 有 一个 来电 提醒 还有 一个 彩铃 跟 彩印 那彩铃 跟 彩印 它 活动 下个月 到期 了 帮 您 取消 掉 吗
您好 请 说   您 这 三十八 套餐 了
您好 很 高兴 为您服务   稍等一下 您好 短信 功能 正常 没 问题
您好 请问 什么 帮助 您   那 剩下 这边 目前 还有 来电 提醒 跟 彩印
您好 请 讲   零零 零六 九
我 您好 有 什么 可以 帮到 您   恩好 的 对 有 流量 安心 包有 的
您好 请问 什么 可以 帮助 您   您 是 说 给 您 打电话
您好 请 说   这边 给 您 查询 您 手机 这边 的话 除了 您 的 基本 套餐 套餐 费三是 三十 八块钱 以外 您 有 一个 十块钱 一 g 的 一个 夜间 流量 包 跟 一个 三元 钱 的 一个 来电 提醒 还有 一个 是 无线 音乐 俱乐部 特级 会员 六元 钱 跟 彩印 三元 钱
您好 请 说 您好   请稍等 您 现在 用 的 是 四 g 飞享 三十八 的 套餐
您好 请 说   诶 您好
中午 好 请 讲   噢 我 看 一下 您 稍 等
您好 很 高兴 为您服务   其他 来电 提醒 来电 提醒 功能 费 一个 十三块 钱 别的 话 我 给 您 看 一下 稍 等
您好 请 讲   噢 流量 包有
