你好请讲其他 先生嗯请讲 这边帮您看了一下有收费的业务套餐费一个月八十八然后这边有一个来电提醒一个月三块钱然后有一个彩铃六块彩印三块手机阅读六块没有其他扣费了 
您好很高兴为您服务你帮我查一下我这什么套餐本机是月租费十三块套餐十三块套餐对十三元六十三元是吧对十四号好好然后来电显示要另外收啊还有来电提醒噢那你查一下我这个接下来是半年之前的半年内每个月大概消费多少上个月是六十三包月上个月三月份四十二 六六月份是 五月份的话 
你好请讲 您这个没有开流量套餐啊 我看一下噢您原先是有开了一个五十块钱一g的到上个月这个月就已经没有了 
您好请说 这边显示您这个号码目前还是属于旧版的三十八套餐啊并没有改到那个新的三十并没有看到有更改套餐的一个记录 八块钱但是因为您这张卡之前有参加一个三十八赠送分钟数的一个活动如果您要改八块钱要等那个分钟数活动结束了才能更改啊 
您好很高兴您服务 好的女士我帮您看一下除了基本套餐的话是一个流量王的一个是套餐除了这个以外的话其他的收费服务帮您查询一下您稍等一下这边有个彩印功能但是已经有登记了下个月取消掉了 然后别的业务的话我帮您进步查询就没有了女士 
对您好请讲 有两样是吧嗯套餐是八十八的二级八十八是吗还有一个流量的活动十二月一号到期 嗯到期会自动取消其他没有了 
有什么可以帮您 您现在用的是新飞享系列十八套餐里面还有国内流量一百兆嘛然后省内流量赠送您两百兆然后本地打国内电话两百分钟吗 这边转加来电显示功能 
很高兴您服务您好 您现在用的是五十八的套餐 对 
嗯您好请讲 您现在套餐是校园四十八的套餐这款的四十八是吧对没错四十八 套餐里面内含的话合计一共是五百兆国内然后本地校园内的话两千五百七十二兆还有一个夜间流量包恩您说 
您好请讲 这张卡的话就是五十八块钱的套餐有开一个来电提醒功能还有幺三九邮箱彩印和彩铃功能 我看一下主要扣什么钱了噢您这主要是流量被扣钱了呀流量这边的话是扣了是一百二您现在是在外省吗 
您好很高兴为您服务 这个用的是飞享三十八现在用的是新版的三十八 对的没错 
您好请讲 下个月 呃对新飞享五十八四百分钟三g流量的 
嗯嗯您好请说有什么可以帮您的 噢目前使用您的套餐啊没什么收费的业务啊 来电显示一个六块其他就没有了 
您好请说 您好什么可以帮助到您 您现在是十八的套餐下个月改成我们这种三十八的了三百分钟一点五g省内流量 
嗯啊您好很高兴为您服务您好嗯 请稍等一下这个月已经没有三十块的流量包了 已经取消掉了是的 
请您稍等帮您查询一下您本机是是呃不客气我们应该做的您本机是十八的这样子一个套餐然后您这边额外我这边查询就没有这个其他的这种付费的包月的增值业务了 嗯十八的这个套餐是您本地打国内有一百分钟的分钟数跟国内流量这边一百兆这样子的一个 嗯来电显示包含在里面接听全国接听都是免费的噢这样子我知道了谢谢还有什么其他需要吗 
您好很高兴为您服务 你好 那您本机除了那个八十八基本套餐嘛有一个来电提醒两块钱然后有个七十块钱一个流量 
您好请讲 六十元流量已经生效了现在可以使用了 嗯那请问还有什么可以帮您吗 
您好请说 新飞享八十八套餐 嗯通话的话是有一千二百分钟在本地都可以用 
嗯您好请说 嗯办的是十八套餐除了这个还有来电提醒然后三块钱的彩印 没有了 
很高兴为您服务 三十八的套餐一点五g的省内流量三百分钟的本地通话这种 是的 
嗯您好请问什么可以帮助您 呃没有就十八块里面赠送的一百兆其他都没有 嗯就十八块钱的 
嗯嗯再见您好很高兴为您服务 幺三五五九九零三二幺八零是吗 那请您根据语音提示帮您母亲的密码输一下好吗 
您好请讲 您这边下个月是不是五十八的套餐这边查询是的您已经改成五十八的了五十八 对一百五十分钟一百五十兆的流量 
您阖家幸福您好诶你好 现在就是我们这个手机还有什么送宽带业务的吗送宽带是吗宽带那个套餐要捆绑啊 到七十九里面有送宽带的七十九啊嗯最低消费是 
为您服务诶你好 你好之前的活动是二零一八年一月一号就结束了就到今年十二月份噢 就到十二月份吗二零一八年一月一号就就就这活动就到期了 
您好请讲 已经生效了可以用了噢 已经是我您放心使用 
早上好请讲 您稍等我看一下啊本机号码的业务除了您的呃您下个月是改成了这个三十八的套餐那其他收费业务就没有啦 您这个号码的话在没有改这个套餐之前有按天收费的业务我看一下来电显示一个月六块钱按天扣当其他就没有啊 
嗯那您好请讲 你这边是没有开通来电提醒的 有时候状态是按次点点到的才会有 
喂你好 看一下哈您稍等 诶我帮您看一下啊对是的有现出了我发短信给您发 
您好高兴您服务 哎你好我 有个基本套餐费就就一个月十八块钱的然后的其他业务目前就没有了这个套餐费十八元噢你好帮我查一个家庭网的哎 
您好您请讲 诶您好 啊不是它那个是一百兆另外给您送了一百兆流量然后您现在是本地无线上网您人在本地在外地呢 
您好 前 因为是这样子您这边话呃帮您看了一下您除了一个基本套餐之外额外还点播到一个移动梦网的点播功能这个帮你关掉好吗还有一个新闻新闻评论这也关掉您看可以吗 
您好请讲 嗯请稍等女士您这边收费的只有三十八元套餐然后您有一个来电提醒三块钱另外这边有个彩铃还有一个彩印 可以那就保留一个三十八元别的都取消啊 
包含什么增值业务什么短信包十块钱帮我扣掉我来彩印三块钱帮我扣掉了是吧呃您好那我帮您看了一下这个业务它是 两个都没有是吧 诶好好请问还需要其他帮助呢不管 
您好请讲 好的您这是一个流量套餐其他都没有了他们 彩铃等一下您本机没有开通彩铃业务啊 
您好请说 噢我帮您看了下我们就用的是十八块钱的套餐 没收到 
早上好您请说在 好您是说充值的四个g的流量是吗恩对收到 目前帮您查的话没有流量充进来也是在那种微信还是支付宝上面充的是吗 
你好 嗯 买回来了已经变回来那个八十八了 
您好请讲 那有看到了 好的帮您登记次月失效用到这个月底为止 
您好很高兴为您服务 或者是您这个是三十八块钱一个月的一百分钟五百兆跟来电显示 呃您这边内容都了解过了吗 
您好什么可以帮您 您这个月办的是三十八的下个月改了改成八十八的 已经用了话费算好好好行行行哎行还需要别的帮助吗不客气诶好那祝您生活 
您好请讲 那是五十八套餐里面是有办了就是四百分钟三g的流量 可以啊稍等一下不可以帮您删掉了 
前面也上面都没有亮没有喂你好哎你好先生 稍等我看一下 一个七十九元套餐短信包三块钱来电提醒两块钱 
您好很高兴为您服务 请您稍等我帮您查询一下 没有办理一个十八块钱的套餐还有个两块钱的来电提醒有个彩印功能费这个是三块彩铃功能费是六块有个超级qq功能费是十块 
您好请讲 我帮您看一下套餐十八的来电提醒已经预约到期自动关了彩铃也是然后来电显示是送的其他包月的话暂时没有开通 那您已经关了十二月一号就没有了之前都预约关闭了 
早上好请讲 手机它 呃您是要开通的业务有什是什么是吗 
您好请说 转入本机是新飞享八十八套餐下个月是吗下个月改成五十八的商旅套餐一百五十分钟一百五十兆流量的可以用完 
呃您好请讲 咪咕阅读就是手机上网那您手机我就上网看那个呃看小说啊之类的这些业务 对 
您好请说 的套餐现在用的是一个飞享八块钱套餐 那八块钱的套餐就三十分钟和来电显示 
您好高兴您服务 挺好您稍等一下有开通的业务是来电提醒然后你自己月租三十八 没有了就这两个 
您好请讲 好的您稍等一下哈 对 
您好 我帮您看一下呃您目前的话我帮您看一下您这边有一个三十八的基本套餐额外还有个五十块钱流量包这个业务 跟另外没关系是本机号码里面开一个五十块钱一个g的一个流量补充包的业务 
你好 嗯请说 嗯 
您好很高兴为您服务 您有订购了一个十八套餐还有来电提醒其他收费包月我帮您查询噢才家庭网其他暂时是没有了不是有一还有您学校那边有一个和教育沟通包月的 诶好的那还有什么需要帮您的 
您好请讲 嗯我帮您看一下哈啊您好您这个漫游功能还没开要帮您开一下 您有需要使用流量吗 
您好请说 嗯马上帮您查询啊对的 别的事那来电提醒稍后帮您取消吗 
您好有什么可以帮您 套餐的话都不会失效呀您这个是十八元套餐吗 啊为什么您这个啊分钟免费是吧您这分钟数的话就只有这个一百分钟了因为它原先给您赠送的那个这个月到期了所以说现在开始就只有您这个套餐内一百分钟还有一百兆流量了 
哎嗯吧您好请讲 取消掉 噢就是您这张卡要继续用您原先的套餐是吗 
您好请说 您套餐五十八元一个月 呃是的 
你好很高兴为您服务 八十八套餐 一千两百分钟的通话五g省内流量诶对五千兆 
您好请讲 什么可以帮您 校讯通嘛 
您好很高兴为您服务 呃您这边五十八套餐套餐外的话您这边是有那个来电提醒扣了两毛钱然后有使用到一些信息台的信息费扣了八毛钱所以总共是消费了五十九块那咱们上个月余额是五十八块五毛六所以刚好欠了四毛四这边 反应给他 
哎你好 哎有什么可以帮助您的 呃您现在使用的是三十八元套餐 
您好请说 你好 好的嗯您好我帮您看了一下您这张卡现在就只有剩下您的那个套餐费十八块钱没有刚才刚开通的业务啊 
您好请讲 本机套餐办的是一个八十八块钱的套餐包含两百二十呃包含这个一千两百分钟通话还有五个g流量 对您后面升级成八十八的了十月份升级的那您另外开通了一个二十块钱的流量套餐其实就可以不用开了这个我帮您取消 
助的这个办那么好啊您好请讲喂呃您好 为您办的是那个七十块的流量包因为您有去参加了那个送话费的活动它就只能是下个月生效如果说您单单没有参加活动的时候今天开的话它是立即生效的 我看一下啊 
的我看一下啊 是吗不客气帮您查一下里面没有手机视频 哎你好它是携号的要等到厦门来显示有手机视频业务要取消我这边才能给他个星号业务手机视频 
您好请讲 嗯我帮您看一下嗯对那帮您取消掉是吗 嗯嗯好的 
你 你好 四g飞享三十八b套餐 
你好 恩还有什么需要帮助吗 这张卡我帮您看了是我们的自选套餐就是套餐我帮您算了一共是九十八每个月 
您好请您说 好我马上帮您检查现在您手机没有开通来电提醒呢 没有开通来电提醒呢 
您好请讲您好嗯请说恩看一下 恩好的我帮您看一下您现在本机套餐呢是九块钱的套餐然后包含三个g的视频优酷视频流量然后套餐里面的话额外还有一个一天一块钱五百兆的流量包 其他就没有了 
你好请说 您好您现在是飞享的三十八套餐下个月改成了五十八套餐 其他没有了 
您好请说你好 帮您查询我帮您查看一下这个月到目前为止的话是流量扣的 嗯对 
您好请说 结果他消费您是五十八块钱套餐 嗯是五十八块钱再见 
哎你好很高兴为您服务三十号诶您好 呃我看一下请稍等噢您好哎呃我看了一下您这边办理的业务就是基本套餐三十八有一个是嗯流量的活动这边看一下还没到期嗯还有一个是夜间活动下个月也取消啊 没有这个套餐里面包含的那个分钟数可以用流量不能用 
您好很高兴为您服务五元月租还有三十五块钱噢你好诶 是五十啊您好您的电话已接通一下一百一十六了 您好请说 
你好需要什么帮助 嗯对您这套餐七十九的是属于宽带类型的套餐啊 家里宽带不能用先不要着急我帮您转到宽带专家给您查一下什么原因 
您好请讲 你好您好 嗯帮您查您本机是三十八的套餐 
您好请讲 付费套餐您稍等就开通的业务是吧有一个五十元的流量包是要取消吗 那这边现在流量就不能累积了可以在本月用完 
应该没您好请讲 十八元飞享套餐噢已经是十八元的是吧 我帮您查一下还有一个三元的短信包 
您好请说 好的没有开流量包流量的话一个月是月租里面一个g然后另外是赠送的一个纸没有开通的 嗯是的您这边嗯不客气还有什么可以帮您 
您好请讲 嗯没错 稍等一下您提示您的活动要到明年的二月一号 
您好请说 有订购成功了下个月一号开始生效先生 其他您这边都已经取消有个六g的流量还没有用完提前用完它也就提前结束了呃我看一下还有没有别的啊感谢您耐心等待其他没有了还有什么可以帮您 
您好请讲 噢您稍等这边马上帮您看啊您好这边帮您看了一下您除了一个基本套餐呢它是呃有给您赠送一个来电提醒的业务这个是长期有效的啊除了这个以外呢还有给您赠送一个彩印的业务那彩印 啊对 
您好请讲 呃您现在这个号码现在用的是飞享八块套餐八块钱对 恩对八块钱的 
您好请讲 短信嗯 昨天 
您好您说 呃咪咕会员这个您是要您是已经登记过了月底取消之前是八月份的活动已经有预约过了月底关闭啊 噢我知道下个月就没有了您放心当时已经操作过了先生 
您好您请讲噢八十八吧噢帮您跟安心心按键 嗯嗯那您现在这边是来电确认一下是不是要靠呃是不是要到期对吗 我先帮您看了一下您这宽带的话我没看到是办了你要办的是一年的呀到今年十一月一号到期啊 
您好请说 稍等一下感谢耐心等待帮您看了一下这个号码下个月剩一个五十八的套餐还有一个是两块钱来电提醒 再改为现在这个套餐吗 
您好请说 没有看一下呃对它这个有来电提醒还有这个彩印咪咕特级会员这几个业务 稍等一下 
您好请讲呃喂您好呃您好 我看一下您稍等恩好的这边查询是有开通的 呃来电显示是别人给您打电话的时候您这知道对方电话号码是多少这个是没有收您的钱的包在套餐里面的您确定要关掉吗 
嗯您好请讲 这个是三十八套餐然后您上面有一个我看一下有一个来电提醒跟彩印其他没什么了 已经提醒跟彩印不是彩铃经纬先生这个不要了是吗 
你好什么需要帮助 好的没问题它是有一个彩印来电提醒咪咕彩铃这三个到期了可以取消掉了 到期了我帮您取消掉吧您不用的话 
您好很高兴服务您好 您目前用的是四g飞享的三十八元套餐 套餐里面流量每个月是五百兆 
那这么说 卡就 我看一下是吗 
你好您好很高兴为您服务您好什么可以帮助您的诶您好 您是要来电提醒还是语音信箱来电提醒是关机跟没信号别人打您电话没接到那你二十四小时之内开机会收到短信提醒您什么号码给您在什么时间来过电话 噢可以那包月一个月是两块钱今天开也是按整个月算确定办理是吗 
您好请讲 额请说 我看一下 
您好请讲 嗯嗯噢帮您看一下请稍等嗯这个就是您有添加流量共享上个月 这个功能我帮您看了一下已经取消掉了呀 
嗯很高兴您服务 您好请说啊你好帮我查一下我想查另外一个卡那个套餐是什么套餐的可以吗密码知道吗 好手机号码多少幺五八幺五八五五九八五五九八 
您好请说听得到吗那今天开通 请您现在的帮您查询您的套餐十八块除了套餐以外的话我看一下噢除了套餐以外的话这边查看一下没有定制收费的业务了啊 八块钱的只有一个家园卡您要改家园卡是吗 
啊您好您请讲 八十八的商旅套餐每个月三百五十分钟流量三百兆 那您要改什么套餐改最低的这种 
嗯你好 对的 这个话就是您套餐里面会先嗯使用的 
您好请说 您这是很早之前的神州行大众卡的套餐套餐费是十二块钱一个月 块三百兆流量对对对请您稍等原先套餐停止办理了改了之后就改不回来了噢可以行行十八元套餐它送了一百分钟是在本地拨打的 
噢请讲 什么东西 十八块钱套餐 
您好什么可以帮您 哎您好 六十块钱 
您好请说 本机十八元套餐四g飞享十八元嗯嗯 恩可以啊改什么样的 
您好请讲 本机的话是十八的套餐 对十八块钱一个月送一百分钟本地打国内电话一百兆国内流量跟来电显示 
呃什么功能费 嗯成长帮手跟校讯通要取消哪一个 两个都会发送信息就是六十块钱的一个八块钱的您要看要取消哪一个 
行早上好请说 恩好的请您稍等我帮您看一下嗯以后您这边有开通国际漫游 噢好的您稍等这边显示下月还有九十七块八毛三 
八十八的套餐啊就是包含一千两百分钟通话五g流量跟来电显示呢 还有 一千二百分钟通话五g流量包括来电显示 
您好请说 您现在开通了只有个基本套餐五十八元的套餐然后呢有一个恩有一个三块钱的彩印功能还有彩铃功能五块彩印三块其他服务没有了 可以稍等 
请问有什么可以帮您嗯 话费的好稍等一下有那个 什么套餐还有三十块五百兆的流量 
你好 套餐您这个十八元的套餐还有参加了我们一个流量的活动优惠然后我看一下没有其他业务收费了噢 呃我看一下 
你好 啊您说哎 请稍等正在查询对呃我看一下其他的有一个惠农网别的就没有了 
您好 那银行卡月租五十然后有一个腾讯视频的流量这个二十四块钱要不要退掉啊 需要帮您退掉那就这个月租五十和来电提醒了噢 
您好请说 对是八十八的 可以啊五十八有个国内打国内电话一百分钟免费流量五百兆的全国接免费超过之后每分钟一毛九可以吗 
哎您好很高兴为您服务 套餐现在这个号码动感地带网聊十三块钱的套餐 不包括来电嗯不包括来电显示加来电显示需要六块钱它有 
您好请讲喂你好 一个什么腾讯的会员什么有吗没有什么腾讯会员您这个号码就基本套餐八块来电提醒跟彩印其他业务都没有噢那谢谢啊其他没了谢谢恩好的那 
嗯您好请说 恩你好 流量吗我帮您马上看一下我不让您目前还有啊这个卡 
您好很高兴为您服务 帮我看一下流量包三十八是五百兆的啊您还有办了一个师傅或者 行好的十块流量包我这里帮您登记然后下个月取消了下个月下个月的没错下个月就不收费的多少兆下个月就不收费的流量不多了好的好的好谢谢那我听的好没关系的用的嗯祝您生活愉快 
你好 呃您是三十八的 噢他有升级升级完之后更优惠就是说通话有一千两百分钟省内流量有五个g是九月份的时候升级的 
啊 噢十三元的超级网聊套餐是很早以前旧版本套餐了 十五块钱 
您好高兴为您服务您好 稍等一下 见没有开要开吗 
您好请讲 有办一个五十块钱的流量活动嗯我看一下啊可能是五十块钱一个月然后每个月给您返还四十元您自己只要花十块钱的这个活动 一g一g 
您好请讲 开通十块钱一百兆的加油包是吗呃开通完马上生效月底自动取消的呃那流量如果没有使用完它是不累积到下个月的噢好帮您办好了已经生效了现在就可以用了恩还有什么可以帮助您的呢 
您好请讲 哎十号了之前套餐我看不到啊 嗯在那边确认一下吗 
嗯您好 嗯三个 噢它这个已经扣款了这个取消不了啊很抱歉 
您好请讲 嗯对新飞享八十八套餐 对九百分钟是本地打国内通话就路一千二嘛九百分钟是你人在莆田本地打出去用的三百分钟是可以全国用的 
请您好很高兴为您服务 更新电话二您现在使用的是三十八套餐到下个月的话还是用三十八元的新飞享套餐没有变更都没变更噢是没错 这边显示没用您放心 
您好请讲 噢五十八的飞享套餐 那三十八就五百兆流量来电显示在本地打电话一百分钟 
哎你好你好 对三百五十分钟三百兆的 哦流量大一点的八十八另一个七百兆两百二十分钟啊 
哎您好 呃基本套餐一个月是五十八块的 呃就是套餐费就五十八了 
您好请说 您好 呃全球通八十八套餐 
唉呀您好您请讲 什么套餐 没有啊您这个是家庭套餐啊没有和校园套餐啊 
嗯 您好请讲 办宽带对吧对我帮您看一下诶有办理过 
你好 现在用的就是三十八套餐女士 现在开始吗 
您好很高兴为您服务 嗯嗯 您自己要收费的流量套餐有开了一个三十块钱五百兆的 
啊好下午好 您这边除了这个基本套餐之外有一个呃那个爱奇艺那个视频流量包 这个关掉是吗 
您好请说 恩对有啊 流对 
幺您好请说 呃我帮您查询稍等一下 对那个三块钱一个月 
您好很高兴服务您好您好请说 嗯您稍等一下马上查询呃目前查询一下您现在基本套餐是我们三十八块钱飞享套餐还有个您之前的话有开通一个是二十四元的视频流量包是那个咪咕视频的这个是到明年的九月一号结束然后还有一个是那个来电提醒其他的没有什么业务了 行 
您好请讲 是的 好的先生那给您下个月关好了 
您好请讲 好我看一下哈订您套餐是八十八的另外还有个流量包还有一个短信套餐来电提醒什么的 八十八然后不是有个三十块流量嘛那个只有一百一十八了 
你好请说 立即关掉好吧我就听不懂听得不是很清楚 哎 
嗯您好 现在是八块钱的套餐三十分钟通话跟来电显示 八块钱的 
您好请问什么可以帮助您 呃要自己设置我看一下噢您现在在福建省内吗 呃稍后您去打这个电话打完这个号码之后她密码马上发过来给您那以后你就用这个密码就可以了 
你好有什么可以帮您请说 呃那就是要看流量方面的使用情况哈您这个使用情况上个月超了二十一块钱的流量费 次 
您好请说 本机是吧我看一下哈嗯您好我帮您查了一下您说的是夜间的那个闲时流量吗 这张卡我给您查了一下没有夜间的闲时流量有那个视频的定向流量看视频的那个我们有个咪咕视频客户端省内的视频定向流量 
您好 嗯嗯好的目前您的月租费每个月一百二十八块钱还有个流量包三十流量包三个啊 呃下个月一号取消流量只限本月使用 
好的您稍等 有开通的是一个家庭宽带其他的话帮您查询了一下还有加入是永安的一个是那个郑永定的政府网 微信 
嗯您好高兴您服务 您好 好请您稍等对你这号码的话是飞享十八套餐有开个来电提醒彩铃还有个彩印其他没有了 
你好请讲 是八十八的全球通 包括三百五十分钟通话 
哎你好 呃一天一块钱一个g的本地流量 噢这边帮您查询您今天的流量的话是那个所以您本月是有一两天可能有流量超出然后本月超了三十五兆的流量是这样子的 
您好请讲 我看一下没有点播什么 对啊 
呃您好什么帮到您 嗯 嗯嗯 
您好请讲 请稍等这号码没有开来电提醒 哎 
您好请说 我看一下 呃您现在这张号码是三十八块钱的套餐另外的话是申请了宽带然后还有家庭网还有一块钱的那个集团网 
您好请说 您好 好的您稍等一下噢嗯这边您除了八元的套餐之外有一个来电提醒还有十元七十兆的一个流量 
您好请讲 嗯是这个是您之前参与活动到十二月份才到期可以帮您设定一下到期之后帮您自动关掉 呃 
呃有哪些增值业务是吧 我马上帮您查看一下哈 请稍等 
您好请说哎我想你帮我查一下为什么 九块钱的 呃二十块钱的话这个是您参加我们呃石头剪刀布的就二十有返还话费给您不收您话费的 
您好有什么可以帮您 嗯对您有开通一个十元一g的夜间流量包 这个的话嗯您没有设置失效时间您要取消 
最近一两天呀稍等一下有点能不能不能不会就是八十八从下个月更改为一百三十八的另外有开通一个三十元五百兆流量跟来电显示两款还有一个阅读跟彩铃密码彩铃有何信息 对一个是和阅读神州是阅读包 看一下那就帮您查 
您好请说 喂你好您好电话已接通请讲喂你好请问一下噢 您自己本身套餐是八十八套餐下个月是改了一个一百三十八套餐然后有一个是两块钱的来电提醒一个漳州的一个天气预报一个五块钱的彩铃一个五块钱的手机阅读还有一个一块钱的微天联网还有一个三十元五百兆的上网套餐 
你好 呃稍等一下噢 嗯有免打详单 
您好请讲 稍等呃您这个保底的话到明一九年二月一号啊 对要用两年的时间 
嗯您好您请说啊 噢好的本机这边办的是呃一百三十八元套餐就说在这个厦门市使用流量不限的 呃如果是离开厦门可以用的流量就一个g的国内流量 
您好请讲 我看一下它是办成那个十八块的这个飞享套餐一百分钟一百兆流量的 叠加套餐叠加套餐这种叠加不了啊您说流量吗还是什么 
您好请讲 好您稍等帮您看一下哈 对 
您好请讲 嗯嗯好的请稍等 集团的是您这边有加入一个将乐像将乐县辉煌牧业有限公司的一个集团网这个是没有收费的 
再见您好请讲 嗯嗯对本机有办 呃那您是家庭网的户主吗关掉家庭成员之间互打就没有优惠了确定要关吗 
早上好请说 家庭网是别人邀请您的 对 
你好 你好 这边帮您查询这个月您发短信发了十二块三毛打电话打了两块八额外就来电显示费跟基本套餐费了这个 
请稍等我帮您查看一下 十八块钱的有一百分钟莆田打国内电话分钟数一百兆流量和来电显示功能 八块钱的有三十分钟通话和来电显示没有送流量 
您好很高兴为您服务您好 是的呀要帮您取消吗 取消了这个月流量当月用下个月一号就没有了 
你好请讲 我帮您查一下您稍等一下 您好给您看一下有之前有个那个来电提醒咪咕特会和彩印到这个月下个月您还要吗要不要都关掉噢都关掉吧卡 
行哼您好很高兴为您服务 诶您好 一张卡叫超级流量王每天有呃一g的本地流量啊通话来电啊对呃通话呢就是一分钟一毛九嗯就是这样的资费标准 
嗯嗯您好很高兴为您服务 您好 套餐的话它现在基本包是飞享三十八套餐因为您这张卡的话它每个月它之前是有合约活动要保底六十那这个保底是到今年十二月份结束那就说它再每个月最低消费 
拜拜你好请说对你好你好哎你好女士嗯我想你 好的您稍等一下 诶不客气诶手机套餐下个月升级到五十八的套餐了帮您查看了一下的话您的手机这边除了那个基本套餐之外的话我看了一下手机这边的话并没有查到有其他扣费业务 
沙沟您好请讲 呃现在是十八块钱套餐 好嘞好那还有什么帮您呢 
您好请讲嗯嗯 您好 我这个 
您好很高兴为您服务 您是用的叫超级流量王套餐就是一天一块钱一天有就是一个g的本地流量还另外加了一个二十块钱三百兆的流量包 啊对 
您好请说 您这手机除了您幺三八的套餐还有一个来电提醒剩下的话您就彩印手机会员彩印 彩印吗彩印三块钱啊 
您好请讲您好二月一号 您九月份也就扣了二十元十月份也是扣二十啊没有很厉害呀 您没有欠费啊您是因为您这个月一共只交了五十块钱您上个月末九月三十号的时候欠了五块四您这个五十块钱要先点到五块四然后这个月又扣了二十块钱还剩下二十四块六毛没错呀 
您好请讲 我看一下噢 嗯没错是有办一个幺五七尾数七四幺零的号码付的 
天嗯您好高兴您服务 噢神州行套餐月租二十块 有包含一一百三十分钟通话 
