你好请讲其他 先生嗯请讲 
嗯啊您好很高兴为您服务您好嗯 请稍等一下这个月已经没有三十块的流量包了 
请您稍等帮您查询一下您本机是是呃不客气我们应该做的您本机是十八的这样子一个套餐然后您这边额外我这边查询就没有这个其他的这种付费的包月的增值业务了 嗯十八的这个套餐是您本地打国内有一百分钟的分钟数跟国内流量这边一百兆这样子的一个 
您好很高兴为您服务 你好 
您好请讲 六十元流量已经生效了现在可以使用了 
您好请说 新飞享八十八套餐 
嗯您好请说 嗯办的是十八套餐除了这个还有来电提醒然后三块钱的彩印 
很高兴为您服务 三十八的套餐一点五g的省内流量三百分钟的本地通话这种 
嗯您好请问什么可以帮助您 呃没有就十八块里面赠送的一百兆其他都没有 
嗯嗯再见您好很高兴为您服务 幺三五五九九零三二幺八零是吗 
您好请讲 您这边下个月是不是五十八的套餐这边查询是的您已经改成五十八的了五十八 
您阖家幸福您好诶你好 现在就是我们这个手机还有什么送宽带业务的吗送宽带是吗宽带那个套餐要捆绑啊 
为您服务诶你好 你好之前的活动是二零一八年一月一号就结束了就到今年十二月份噢 
您好请讲 已经生效了可以用了噢 
早上好请讲 您稍等我看一下啊本机号码的业务除了您的呃您下个月是改成了这个三十八的套餐那其他收费业务就没有啦 
嗯那您好请讲 你这边是没有开通来电提醒的 
喂你好 看一下哈您稍等 
您好高兴您服务 哎你好我 
您好您请讲 诶您好 
您好 前 
您好请讲 嗯请稍等女士您这边收费的只有三十八元套餐然后您有一个来电提醒三块钱另外这边有个彩铃还有一个彩印 
包含什么增值业务什么短信包十块钱帮我扣掉我来彩印三块钱帮我扣掉了是吧呃您好那我帮您看了一下这个业务它是 两个都没有是吧 
您好请讲 好的您这是一个流量套餐其他都没有了他们 
您好请说 噢我帮您看了下我们就用的是十八块钱的套餐 
早上好您请说在 好您是说充值的四个g的流量是吗恩对收到 
你好 嗯 
您好请讲 那有看到了 
您好很高兴为您服务 或者是您这个是三十八块钱一个月的一百分钟五百兆跟来电显示 
您好什么可以帮您 您这个月办的是三十八的下个月改了改成八十八的 
您好请讲 那是五十八套餐里面是有办了就是四百分钟三g的流量 
前面也上面都没有亮没有喂你好哎你好先生 稍等我看一下 
您好很高兴为您服务 请您稍等我帮您查询一下 
您好请讲 我帮您看一下套餐十八的来电提醒已经预约到期自动关了彩铃也是然后来电显示是送的其他包月的话暂时没有开通 
早上好请讲 手机它 
您好请说 转入本机是新飞享八十八套餐下个月是吗下个月改成五十八的商旅套餐一百五十分钟一百五十兆流量的可以用完 
呃您好请讲 咪咕阅读就是手机上网那您手机我就上网看那个呃看小说啊之类的这些业务 
您好请说 的套餐现在用的是一个飞享八块钱套餐 
您好高兴您服务 挺好您稍等一下有开通的业务是来电提醒然后你自己月租三十八 
您好请讲 好的您稍等一下哈 
您好 我帮您看一下呃您目前的话我帮您看一下您这边有一个三十八的基本套餐额外还有个五十块钱流量包这个业务 
你好 嗯请说 
您好很高兴为您服务 您有订购了一个十八套餐还有来电提醒其他收费包月我帮您查询噢才家庭网其他暂时是没有了不是有一还有您学校那边有一个和教育沟通包月的 
您好请讲 嗯我帮您看一下哈啊您好您这个漫游功能还没开要帮您开一下 
您好请说 嗯马上帮您查询啊对的 
您好有什么可以帮您 套餐的话都不会失效呀您这个是十八元套餐吗 
哎嗯吧您好请讲 取消掉 
您好请说 您套餐五十八元一个月 
你好很高兴为您服务 八十八套餐 
您好请讲 什么可以帮您 
您好很高兴为您服务 呃您这边五十八套餐套餐外的话您这边是有那个来电提醒扣了两毛钱然后有使用到一些信息台的信息费扣了八毛钱所以总共是消费了五十九块那咱们上个月余额是五十八块五毛六所以刚好欠了四毛四这边 
哎你好 哎有什么可以帮助您的 
您好请说 你好 
您好请讲 本机套餐办的是一个八十八块钱的套餐包含两百二十呃包含这个一千两百分钟通话还有五个g流量 
助的这个办那么好啊您好请讲喂呃您好 为您办的是那个七十块的流量包因为您有去参加了那个送话费的活动它就只能是下个月生效如果说您单单没有参加活动的时候今天开的话它是立即生效的 
的我看一下啊 是吗不客气帮您查一下里面没有手机视频 
您好请讲 嗯我帮您看一下嗯对那帮您取消掉是吗 
你 你好 
你好 恩还有什么需要帮助吗 
您好请您说 好我马上帮您检查现在您手机没有开通来电提醒呢 
您好请讲您好嗯请说恩看一下 恩好的我帮您看一下您现在本机套餐呢是九块钱的套餐然后包含三个g的视频优酷视频流量然后套餐里面的话额外还有一个一天一块钱五百兆的流量包 
你好请说 您好您现在是飞享的三十八套餐下个月改成了五十八套餐 
您好请说你好 帮您查询我帮您查看一下这个月到目前为止的话是流量扣的 
您好请说 结果他消费您是五十八块钱套餐 
哎你好很高兴为您服务三十号诶您好 呃我看一下请稍等噢您好哎呃我看了一下您这边办理的业务就是基本套餐三十八有一个是嗯流量的活动这边看一下还没到期嗯还有一个是夜间活动下个月也取消啊 
您好很高兴为您服务五元月租还有三十五块钱噢你好诶 是五十啊您好您的电话已接通一下一百一十六了 
你好需要什么帮助 嗯对您这套餐七十九的是属于宽带类型的套餐啊 
您好请讲 你好您好 
您好请讲 付费套餐您稍等就开通的业务是吧有一个五十元的流量包是要取消吗 
应该没您好请讲 十八元飞享套餐噢已经是十八元的是吧 
您好请说 好的没有开流量包流量的话一个月是月租里面一个g然后另外是赠送的一个纸没有开通的 
您好请讲 嗯没错 
您好请说 有订购成功了下个月一号开始生效先生 
您好请讲 噢您稍等这边马上帮您看啊您好这边帮您看了一下您除了一个基本套餐呢它是呃有给您赠送一个来电提醒的业务这个是长期有效的啊除了这个以外呢还有给您赠送一个彩印的业务那彩印 
您好请讲 呃您现在这个号码现在用的是飞享八块套餐八块钱对 
您好请讲 短信嗯 
您好您说 呃咪咕会员这个您是要您是已经登记过了月底取消之前是八月份的活动已经有预约过了月底关闭啊 
您好您请讲噢八十八吧噢帮您跟安心心按键 嗯嗯那您现在这边是来电确认一下是不是要靠呃是不是要到期对吗 
您好请说 稍等一下感谢耐心等待帮您看了一下这个号码下个月剩一个五十八的套餐还有一个是两块钱来电提醒 
您好请说 没有看一下呃对它这个有来电提醒还有这个彩印咪咕特级会员这几个业务 
您好请讲呃喂您好呃您好 我看一下您稍等恩好的这边查询是有开通的 
嗯您好请讲 这个是三十八套餐然后您上面有一个我看一下有一个来电提醒跟彩印其他没什么了 
你好什么需要帮助 好的没问题它是有一个彩印来电提醒咪咕彩铃这三个到期了可以取消掉了 
您好很高兴服务您好 您目前用的是四g飞享的三十八元套餐 
那这么说 卡就 
你好您好很高兴为您服务您好什么可以帮助您的诶您好 您是要来电提醒还是语音信箱来电提醒是关机跟没信号别人打您电话没接到那你二十四小时之内开机会收到短信提醒您什么号码给您在什么时间来过电话 
您好请讲 额请说 
您好请讲 嗯嗯噢帮您看一下请稍等嗯这个就是您有添加流量共享上个月 
嗯很高兴您服务 您好请说啊你好帮我查一下我想查另外一个卡那个套餐是什么套餐的可以吗密码知道吗 
您好请说听得到吗那今天开通 请您现在的帮您查询您的套餐十八块除了套餐以外的话我看一下噢除了套餐以外的话这边查看一下没有定制收费的业务了啊 
啊您好您请讲 八十八的商旅套餐每个月三百五十分钟流量三百兆 
嗯你好 对的 
您好请说 您这是很早之前的神州行大众卡的套餐套餐费是十二块钱一个月 
噢请讲 什么东西 
您好什么可以帮您 哎您好 
您好请说 本机十八元套餐四g飞享十八元嗯嗯 
您好请讲 本机的话是十八的套餐 
呃什么功能费 嗯成长帮手跟校讯通要取消哪一个 
行早上好请说 恩好的请您稍等我帮您看一下嗯以后您这边有开通国际漫游 
八十八的套餐啊就是包含一千两百分钟通话五g流量跟来电显示呢 还有 
您好请说 您现在开通了只有个基本套餐五十八元的套餐然后呢有一个恩有一个三块钱的彩印功能还有彩铃功能五块彩印三块其他服务没有了 
请问有什么可以帮您嗯 话费的好稍等一下有那个 
你好 套餐您这个十八元的套餐还有参加了我们一个流量的活动优惠然后我看一下没有其他业务收费了噢 
你好 啊您说哎 
您好 那银行卡月租五十然后有一个腾讯视频的流量这个二十四块钱要不要退掉啊 
您好请说 对是八十八的 
哎您好很高兴为您服务 套餐现在这个号码动感地带网聊十三块钱的套餐 
您好请讲喂你好 一个什么腾讯的会员什么有吗没有什么腾讯会员您这个号码就基本套餐八块来电提醒跟彩印其他业务都没有噢那谢谢啊其他没了谢谢恩好的那 
嗯您好请说 恩你好 
您好很高兴为您服务 帮我看一下流量包三十八是五百兆的啊您还有办了一个师傅或者 
你好 呃您是三十八的 
啊 噢十三元的超级网聊套餐是很早以前旧版本套餐了 
您好高兴为您服务您好 稍等一下 
您好请讲 有办一个五十块钱的流量活动嗯我看一下啊可能是五十块钱一个月然后每个月给您返还四十元您自己只要花十块钱的这个活动 
您好请讲 开通十块钱一百兆的加油包是吗呃开通完马上生效月底自动取消的呃那流量如果没有使用完它是不累积到下个月的噢好帮您办好了已经生效了现在就可以用了恩还有什么可以帮助您的呢 
您好请讲 哎十号了之前套餐我看不到啊 
嗯您好 嗯三个 
您好请讲 嗯对新飞享八十八套餐 
请您好很高兴为您服务 更新电话二您现在使用的是三十八套餐到下个月的话还是用三十八元的新飞享套餐没有变更都没变更噢是没错 
您好请讲 噢五十八的飞享套餐 
哎你好你好 对三百五十分钟三百兆的 
哎您好 呃基本套餐一个月是五十八块的 
您好请说 您好 
唉呀您好您请讲 什么套餐 
嗯 您好请讲 
你好 现在用的就是三十八套餐女士 
您好很高兴为您服务 嗯嗯 
啊好下午好 您这边除了这个基本套餐之外有一个呃那个爱奇艺那个视频流量包 
您好请说 恩对有啊 
幺您好请说 呃我帮您查询稍等一下 
您好很高兴服务您好您好请说 嗯您稍等一下马上查询呃目前查询一下您现在基本套餐是我们三十八块钱飞享套餐还有个您之前的话有开通一个是二十四元的视频流量包是那个咪咕视频的这个是到明年的九月一号结束然后还有一个是那个来电提醒其他的没有什么业务了 
您好请讲 是的 
您好请讲 好我看一下哈订您套餐是八十八的另外还有个流量包还有一个短信套餐来电提醒什么的 
你好请说 立即关掉好吧我就听不懂听得不是很清楚 
嗯您好 现在是八块钱的套餐三十分钟通话跟来电显示 
您好请问什么可以帮助您 呃要自己设置我看一下噢您现在在福建省内吗 
你好有什么可以帮您请说 呃那就是要看流量方面的使用情况哈您这个使用情况上个月超了二十一块钱的流量费 
您好请说 本机是吧我看一下哈嗯您好我帮您查了一下您说的是夜间的那个闲时流量吗 
您好 嗯嗯好的目前您的月租费每个月一百二十八块钱还有个流量包三十流量包三个啊 
好的您稍等 有开通的是一个家庭宽带其他的话帮您查询了一下还有加入是永安的一个是那个郑永定的政府网 
嗯您好高兴您服务 您好 
你好请讲 是八十八的全球通 
哎你好 呃一天一块钱一个g的本地流量 
您好请讲 我看一下没有点播什么 
呃您好什么帮到您 嗯 
您好请讲 请稍等这号码没有开来电提醒 
您好请说 我看一下 
您好请说 您好 
您好请讲 嗯是这个是您之前参与活动到十二月份才到期可以帮您设定一下到期之后帮您自动关掉 
呃有哪些增值业务是吧 我马上帮您查看一下哈 
您好请说哎我想你帮我查一下为什么 九块钱的 
您好有什么可以帮您 嗯对您有开通一个十元一g的夜间流量包 
最近一两天呀稍等一下有点能不能不能不会就是八十八从下个月更改为一百三十八的另外有开通一个三十元五百兆流量跟来电显示两款还有一个阅读跟彩铃密码彩铃有何信息 对一个是和阅读神州是阅读包 
您好请说 喂你好您好电话已接通请讲喂你好请问一下噢 
你好 呃稍等一下噢 
您好请讲 稍等呃您这个保底的话到明一九年二月一号啊 
嗯您好您请说啊 噢好的本机这边办的是呃一百三十八元套餐就说在这个厦门市使用流量不限的 
您好请讲 我看一下它是办成那个十八块的这个飞享套餐一百分钟一百兆流量的 
您好请讲 好您稍等帮您看一下哈 
您好请讲 嗯嗯好的请稍等 
再见您好请讲 嗯嗯对本机有办 
早上好请说 家庭网是别人邀请您的 
你好 你好 
请稍等我帮您查看一下 十八块钱的有一百分钟莆田打国内电话分钟数一百兆流量和来电显示功能 
您好很高兴为您服务您好 是的呀要帮您取消吗 
你好请讲 我帮您查一下您稍等一下 
行哼您好很高兴为您服务 诶您好 
嗯嗯您好很高兴为您服务 您好 
拜拜你好请说对你好你好哎你好女士嗯我想你 好的您稍等一下 
沙沟您好请讲 呃现在是十八块钱套餐 
您好请讲嗯嗯 您好 
您好很高兴为您服务 您是用的叫超级流量王套餐就是一天一块钱一天有就是一个g的本地流量还另外加了一个二十块钱三百兆的流量包 
您好请说 您这手机除了您幺三八的套餐还有一个来电提醒剩下的话您就彩印手机会员彩印 
您好请讲您好二月一号 您九月份也就扣了二十元十月份也是扣二十啊没有很厉害呀 
您好请讲 我看一下噢 
天嗯您好高兴您服务 噢神州行套餐月租二十块 
您好先生呃帮我看一下我现在用什么套餐啊嗯帮您看一下稍等一下帮您看这是那种大众卡套餐月租十块钱的套餐 那我帮您看您消费多少月租十块钱打电话保底十块钱我帮您看您最近这几个月消费多少嗯现在是属于那个呃十月份我帮您看您九月份消费五十一块八毛五十一块八毛四还有十三块两毛 
你好 不客气您好感谢耐心等待除了基本套餐外有订购了来电提醒有彩印的咪咕音乐的这些如果不需要使用可以帮您取消掉 
您好请说 我帮您查询请您稍等一下 
您好请讲 呃除了那个基本月租三十八还有开通了就来电提醒 
您好请讲 做八块钱套餐八块三呃唉对没错是的嗯 
您好请讲 对没错下个月生效新飞享三八套餐 
您好 我看一下您套餐现在是三十八套餐 
您好 我看一下 
很高兴为您服务 我看一下您稍等啊唉呀 
很大它 您现在这个是二十八元的飞享套餐 
您好请讲 请问有什么可以帮您 
您好请说 你好请说 
您本机是三十八元的套餐就是有五百兆流量一百分钟本地通话是这种然后另外就是有个彩铃功能五块钱别的没有什么 流量五百兆嗯 
您好请说 好稍等一下本机现在是还有设置就是关机无信号转移到一个幺七八的号码 
嗯嗯啊您好请讲 嗯查询本机目前的话所办理的是呃九元的优酷流量卡套餐套餐费九块钱里面包括三g的流量用来登录优酷ap软件播放视频用的其他不能使用然后没有订购什么其他收费的了 
您好很高兴为您服务 本机号码吗对请稍等我查一下 
您好请讲 本机号码的话您目前是八十八元套餐那除了八十八元套餐给您参与的流量活动到十二月一号自动取消然后有一个来电提醒其他收费的话就没有楼一个家庭网 
什么了 本机三十八元套餐 
您好请说 稍等套餐的话是五十八的然后的话三块钱的来电提醒那个是活动的有收费的话就套餐五十八 
嗯嗯您好下午好 嗯我看一下您目前呢除了您一百二十八的套餐之外就是一个一百块钱的一个流量套餐其他收费的就没有了 
您好请说 噢好的请稍等我看一下呃是的您这边有开通彩铃功能 
您好什么可以帮您 噢那我这边帮您转我们的宽带专席这个会有专门处理宽带好吗好的行谢谢好不客气您不要挂机马上帮您转接 
您好请说 您这个月的话当月代收费有扣您三十二块钱 
嗯您好请讲你好您好请讲诶您好 呃您现在开通的话是新的一个五十八块钱的套餐除了这个以外有一个来电提醒还有一个彩铃跟彩印那彩铃跟彩印它活动下个月到期了帮您取消掉吗 
您好请说 您这三十八套餐了 
您好很高兴为您服务 稍等一下您好短信功能正常没问题 
您好请问什么帮助您 那剩下这边目前还有来电提醒跟彩印 
您好请讲 零零零六九 
我您好有什么可以帮到您 恩好的对有流量安心包有的 
您好请问什么可以帮助您 您是说给您打电话 
您好请说 这边给您查询您手机这边的话除了您的基本套餐套餐费三是三十八块钱以外您有一个十块钱一g的一个夜间流量包跟一个三元钱的一个来电提醒还有一个是无线音乐俱乐部特级会员六元钱跟彩印三元钱 
您好请说您好 请稍等您现在用的是四g飞享三十八的套餐 
您好请说 诶您好 
中午好请讲 噢我看一下您稍等 
您好很高兴为您服务 其他来电提醒来电提醒功能费一个十三块钱别的话我给您看一下稍等 
您好请讲 噢流量包有 
嗯嗯嗯你好很高兴您服务 啊这里面的套餐是三十八元的然后呢您是说说 
您好很高兴为您服务 变更掉了下个月改的是新版本的三十八套餐 
哎请说 有一个集团彩铃这个有有集团来帮您付费的另外是有一个个人彩铃 
您好请讲 基本套餐 
您好请讲 一天一个g没有啊本机是十八块钱套餐只有一百兆流量您是帮另外一个号码付费的另外一个幺八八那个号码才是流量王的对对对对对对 
对您好很高兴您服务 昨天开几个是吗 
您好您说 呃您好您说 
您好请讲 你好 
您好很高兴为您服务 呃您本机号码目前除了您的月租费用三十八还有一个宽带业务以外那其他的业务我帮您查询就没有再额外开通了 
您好请讲 请稍等这边核实一下就基本套餐以外的话有个两块钱的来电提醒 
你好什么需要帮您 帮您看一下除了您的月租费十八块钱以外呢有开通一个来电提醒两块钱其他的话您都取消掉了别的没有什么业务收费了 
啊您好请讲 三十八块钱的套餐 
嗯下午好很高兴为您服务 好的请没有 
那空号请讲 嗯好是的现在就只有几兆了要开一个流量包吗 
您好请说 好的请稍等目前帮您查询这号码这个三十八块钱的套餐跟一个三块钱的来电提醒功能其他收费目前帮您查询都没有就三十八跟来电提醒 
您好请讲 有八十八套餐呢您想改八十八的是吗 
您好很高兴为您服务 您这边有放其他业务有充一个pd区mp微的一个手机视频还有一个华谊央视还有一个咪咕阅读女生的读包跟一个呃咪咕阅读婚恋精选包这三个一个几个业务要不要帮您取消呢 
嗯您好请说 本机除了套餐费二十八有办了一个精品漫赏尊享包跟彩印这两个要关掉吗 
你好请讲 噢好的稍等啊 
您好请讲 没有您这边的话如果说是三十元五百兆省内流量保那个是活动赠送的它赠送期间的话费我们是有返还没收您自己的费用 
喂你好 诶请说 
您好很高兴您服务 这个目前帮您看就是幺八八的套餐有个夜间流量包十块啊这个要取消吗 
您好请说 好的我马上帮您看一下套餐费三十八元的它里面是五百兆流量本地打全国一百分钟 
您好请说 诶你好 
什么您好请讲 呃好我看一下 
您好嗯 您现在使用的是七十九的套餐 
哦您好请说 好我帮您看一下其他收费的套餐费五十块还有一个流量套餐三十别的就没有了 
您好很高兴您服务 呃现在是三十八块钱的基本套餐 
您好很高兴为您服务 您这里面一个四十八校园套餐还有个二十块钱的任我用流量包 
您好很高兴您服务您好 您这号码的话现在是我们十八的一个飞享的套餐下个月一号您改成新飞享五十八的套餐了然后除了基本套餐以外现在就是来电提醒还有您之前买的六十元六个g的流量然后其他的话就没有额外收费业务 
你好 请您稍等我帮您查询一下 
您好高兴服务 您稍等一下现在套餐一个月五十八一百分钟五百兆流量加来电显示 
你好有什么可以帮您 可以您的套餐一个月是三十八块钱那里面是您在宁德打全国一百分钟五百兆流量也包含来电显示 
您好请说 稍等一下嗯是有一个七十块两个g的流量需要取消掉对吗 
你好什么可以帮您 流量套餐我帮您看一下噢噢 
您好兴您服务 噢好您稍等一下对您这边现在基本套餐是三十八块钱然后另外包月的有一个宽带宽带您这个是买一年送买一年送一年的其他的话我看一下有一个价值三十块钱五百兆的流量包这个是免费送的您自己的话就是 
您好请讲 嗯您好 
您好您说 共享的流量共享流量五g是的 
您好请说你好 嗯女士您现在这号码的话就是那个九十九的一个套餐九十九 
好的请您稍等 感谢耐心等待您现在来电的这个号码的话就是呃首先您自己的月租这张卡是每个月语音通话保底消费需要打到十十元的另外呃月租费是九块钱对您这张卡月租费十九块钱的然后月份开通彩铃的功能对是的另外的话其他的业务需要收费的就一个来电显示的功能每个月六块有一个手机的话我看没什么用这个我帮您取消掉吧好吗 
嗯您好很高兴为您服务 恩您好 
您好请讲 您好您好您是说什么问题 
您好请说 啊兄弟诶您好感谢您耐心等待这边的话您这个除了基本套餐八块钱以外没有其他的收费了 
嗯您好很高兴为您服务嗯等一下 呃您好女士我 
您好到为您服务 呃您三十八套餐没有变两个套餐啊下个月改八十八套餐了 
你好 我帮您看一下月租三十八有有一些增值业务是什么彩铃来电提醒彩印还有什么幺二会员的一个业务要帮您都取消吗 
您好很高兴为您服务 那就这个基本套餐的然后这边还有个大厦这边还有一个来电提醒已经帮您预约下个月取消的 
您好很高兴为您服务 您现在是十八块的套餐下个月就改七十九的了 
您好很高兴为您服务 套餐不能取消只能修改那您是要改成什么套餐呢 
呃中午好 现在是十八块的先生呃十八十八块的噢就是打电话有一百分钟然后呢接是免费的流量一百兆 
对您好请讲 哎我给您看一下上面确实有一些像活动给您优惠赠送的一些彩铃啊彩印啊来电提醒幺二五八零会员啊这些您都不要是吗感谢来电 
您好中午好 嗯我看一下您现在固定的就是一个五十块钱的基本的一个套餐一个来电提醒呃一个彩铃彩印还有个集团网目前没有再收费的就是这一些其他的就没有啦 
您好很高兴为您服务 我查一下您稍等 
您好很高兴为您服务 好的请您稍等感谢您耐心等待那我这边帮您看了一下 
您好请讲 嗯您本机是十八块钱的套餐就是本地打国内一百分钟流量一百兆 
您好请讲 您现在用的是三十八套餐套餐费三十八块下个月改为新飞享的三十八 
您好很高兴为您服务 好基本套餐三十八其他正在核实您稍等通过系统核实除了套餐费三十八以外您本机号码上目前没有其他任何收费业务 
您好 就这样 
嗯嗯您好感谢您的耐您好请说 嗯国际漫游功能我这边看了一下有开 
您好很高兴为您服务 好的稍等一下现在您总共诶等一下啊呃您现在这个号码是户主我稍后把您的家庭成员的信息都发给您看一下吗 
哎好您好请讲 嗯嗯可以好我看一下稍等 
您好请讲 有开通什么业务是吗 
中午好很高兴为您服务 有开通的是三十八元套餐这样子呃其他业务的话目前查询没有啦 
您好请讲 您好 
您好请说 您现在收费就一个五十八的基本套餐跟一个五十块的流量套餐 
嗯您好高兴您服务行 好马上查查一下上网功能关掉了 
您好请讲 诶怎么那 
但啊您好请讲 请说 
您好请说 还有呢 
嗯已经试过了感谢您的关心 就是到一八年一月十八号 
您好 嗯我看一下 
您好很高兴为您服务你好 请说 
嗯好请您好请讲 呃十八块钱的套餐 
您好请讲你好 您现在套餐是吗现在套餐是五十八的通话套餐七十元流量套餐还多交了一个三十元的流量包 
很高兴您服务 你好 
您好请讲 流量就您三十八里面自带的那个五百兆啊没有额外的 
您好请讲 您本机有收费业务目前的话只有那个三十八块钱的月租其他业务的话就说没有开通了您主要扣了比较多的费用是因为您上个月打电话打了十九块多 
您好很高兴为您服务 您好 
您好请说 呃对三十元流量包那个就到这个月底到期要给您取消了是吗 
除了这个以外呢有一个九块钱那个优酷的一个视频流量包那个要帮您取消掉吗 好这个帮您取消然后剩下一个家庭网有收费其他就没有收费了 
嗯嗯好你好请讲 嗯嗯 
嗯哼嗯您好请讲 你好 
您好什么可以帮助您 开通什么收费业务是吗 
你好请讲 三十g 
你好请说 好的您稍等一下嗯嗯 
嗯哼 您现在是新飞享三十八块钱的套餐 
您好请说 可以的您这套餐的话就是八十八的三百五十分钟三百兆流量有一个来电提醒三块钱还有个彩印三块其他的业务我帮您看到就没有啦 
您好很高兴为您服务 月租您再取消吗还是什么啊要取消掉 
您好很高兴为您服务 噢好的那您本机号码月租费八块钱那另外的话是有个来电提醒还有个彩印那这两个业务的话它这边是给您有赠送的到十二月一号到期就会自动取消其他的我这边帮您查询那您这张卡的话其他就没有什么有扣费的业务了 
您好请讲 呃三十八块钱套餐一个月 
您好请说 请稍等还有的有个幺八三的号码吧流量送给您的 
您好请讲 您是说这张卡现在看什么套餐是吗 
行啊您好请讲哎你好 很抱歉女士首先呢微信它这个业务不是移动的业务啊它为什么怎么发送信息已经怎么提醒的话我们这边前台没有办法具体的核对的您可能要打一下微信客服问一下了 
您好请讲 呃我刚刚查了一下你现在号码就一个十三块钱的套餐然后呃其他收费的套餐业务就没有看到了 
您好请说 您现在用的是四g飞享三十八元套餐 
您好请讲 诶您说 
你好请说 嗯对是飞享然后呢 
您好很高兴为您服务 嗯宽带的九十九元套餐 
您好请说您好 啊您这是十八的飞享套餐 
你好 您好 
换的话是下个月一号生效这个月还没生效 注销注销什么 
下午好很高兴为您服务 套餐是吗 
你好 五十八块 
可以 呃您要去营业厅改照常可以用好 
您好请说 恩您好 
您好很高兴为您服务 噢我帮您看一下啊就是设置关机或者没有信号无应答通话用完它就转接到幺五二七零三零三八八七 
您好请讲 请稍等一下噢我查了一下没有 
您好您好请问什么帮助您 五十八元 
您好请说 十八块钱 
