呃请问一下我以前有一个送一台什么宽带什么啊哎呀怎么没给我装呢 对啊这个号码你帮我查一下都都过去掉了 
诶你好我想问一下我那个之前有一部手机吗然后反馈说套餐更改然后当时里面有受理做反馈上去然后是几个工作日要会退还话费怎么到现在都还没返返还呢 呃幺三六 
您好请讲你好我问一下我上次这个不是说呃那个什么呢它都扣了我两百多两百八十八的什么费用吗那个然后那宽带的那个他不是说要退还给我怎么还没退啊 按次 
呃喂你好那个我想问一下就是移动营业厅为什么就是经常一段时间就一直打电话推销流量流量流量的 四游客有时候连着移动每天都打这个不同的号码就是每天都打过来 
嗯哎 喂您好我这边就是宽带问题反映从九月三十号到现在怎么就都没有消息的 
都想投诉 你们你们移动是不是有外包或者什么之类的怎么每天我听说我上次已经投诉过一次了然后你们现在是一周是五十个电话给我打电话过来要不要呃就是那种那这种套餐五十八八十八 
你好我想问一下上个月的那个宽带我都是反应过去了你们那边都要特别扣诶我那个噢对对是这样的应该是这样说就是说我每个月的那个营业厅消好的好的多少就是说我上个月的那个看看扣费乱扣费啊他给我那个说钱二十五号退给我到现在都还没充过来四十多块钱呢 嗯嗯 
呃我的宽带九月份办了现在还没修好 嗯 
那我再报修的这个怎么到现在没有给我联系呢 
我上次那个流量是什么语音包十就好了没有好的好的 多扣的问题是申诉到现在还没给我打电话管 
你好诶我之前有打电话退打电话问了一个九十九的套餐为什么还有个五十块的之前没跟我说要五十块的呀 每月返我说比如说我说我九十九块它现它直接会给我抵扣六十五块过去 
唉你好我这边就是留了一个电话要联系那个上课块那个你们那个经理联系我然后但是你们到现在都没有让他打电话给我 六二幺二 
目前那这个报销的呀怎么你好 呃我问一下那个宽带嘛就是我们那个申请那个宽带他说那个呃呃有线他明天帮我们装呃说那个电话会联系的现在还没有联系我们吧 
可以吗 喂你好你好哎这样子的今天是怎么回事啊我打你幺零零八六什么每一次都很慢什么的然后还有流量想问我想登陆我的手机营业厅我要下载账单一直下载不了 
喂你好唉我就是早上跟他打过电话都要呼那个外地的外地卡要换卡了怎么到到了长寿路这边他说设备外地卡没有啊 哎呀大厦就是那个别的还没付啊 
您好很高兴为您服务声音大声点大声点 噢现在听见了然后的话跟你说一下噢我这我这个呢呃上个月这个钱过了很久了到现在没有那个赔付给我你看一下幺三五八五五七九幺七二 
您好 噢是这样子的我上午本来再打过去办个副号码吗然后呢这边的话因为我这个月我也不知道然后我开选择一个号码然后呢我是但是又没打印然后说让我重新去打印吗然后我就重新再去找嘛因为找的话因为这个继续反应有点慢 
唉你好就是我昨天那个我是那个澳门路对吗我那个宽带昨天下午报修的后来他说派人来来了吗后来说没来说什么下班了今天上午来到现在还没来 好的那谢谢 
我跟你说刚刚大概电话过来以后又来了一个电话我不接受他你你们的你们的处理 说还是呃我追加呀我还是不觉得他说这是他们领导的意见对吧你领导能代表什么你能那你你你你你这个速度本来就是错误的那你错误的你你你你拦截你受理不了你这个功能对不对你认为你这个广告你这个广告我我订了没有那我我我我老百姓现在都没法现在吃东西要老短信要设备现在你的广告也要我设备你这个大概东西是不是广告 
唉你好我上次反映的那个短信的那个事情怎么还没有回复四十八小时给我恢复 对的 
唉你好你好我这个手机充值超了两天了北京的钱为什么到现在还没有进去拨打腾讯的电话也打不通的 我们这里也没有恢复了就是说我 
唉你好我想问一下就是我这个用手机用手机话费不是要办理宽带的业务吗对吧 因为你们之前打过电话给我让我们来就我们的账单安装或者办理的话我等了这么长时间怎么也没人来没人联系我们怎么说呢 
你好 就刚才我就是唉刚才我就是打你这个电话你帮我转那个投诉部的那边没人接呀 
喂你好 我报这个宽带为什么还没有人过来说呢 
唉您好我这边是东方新地方服务有限公司想办理十分评价业务 噢好的因为昨天我又打过服务你们这边客服他也说帮我办理可是昨天没有收到那边的电话就今天再给我 
先生我要投诉早上到我们家来维修宽带的昨天晚上接到我的 我给你把我把这个情况跟你说明还没收我就我现在是我我是每个月的套餐是三百八十八还是四百多忘记了反正然后由于这个事情呢你们送我们不是一年的宽带吗 
刚刚 唉你好 
唉你好 我这个号码因为那个实名资料那个这是什么不完善永春那我营业厅营业厅去了对的 
唉你好我投诉的问题啊你们现在就是说你能不能解决 对 
唉你好我昨天的时候那个变更一个宽带的资费然后那个你们这边说可以装那个魔百盒还有什么就是那个机顶盒那个东西然后约的是今天上午师傅来装到现在了没人跟我联系也没有人来 这个宽带我之前是装过的就是变更一下应该不最低的什么设备账单 
喂你好这个我们那个宽带到现在还没有人来上门那 幺三六 
唉你好是这样子我是上周上周四的时候就是到那个营业厅呃就是说是安排是预约好是周六给我过来上门装固定电话和魔百盒但是到现在一直也没有那个安装人员跟我联系今天什么时间过来装呀都已经到中午了 对 
唉你你你好 我预约了一个宽带安装不知道他今天交到十二月三号但是到现在好像还没来过电话嘛 
噢您好是这样的是十一月十号下午我再要换个营业厅这边不是办实名认证吗二十八三很多事情然后那个我做了一个投诉投诉之后呢说是四十八小时之内会给我回复但是并没有啊 对投诉单号你要记一下吧 
呃我今天办理了一个那个魔百盒的宽带他们说下午来装的我想问一下他们到底会不会来 李平路六十是哪个号码办理的 
我知道了现在反馈一个问题你们你们移 改一直没有没有 
呃是这样的我昨天晚上从六点十分到八点钟的这段时间用的呀他流量用了一个g呃你能帮我查一下我昨天我打电话过来查你们说帮我转一个什么专专人服务啊给我们后来就一直没转过去 唉对对对对你帮我先短信你要么帮我转到小票人打过电话给我吧我估计你这个电话转过去你现在帮我转也没用啊 
喂你好那个我上上周在你们移动营业厅办的业务然后说叫师傅上门安装那个就是那个我上网宽带啊对啊 给我说是预约是上周六然后没没有人给我联系上周你们客服给我打电话说因为没有安装让让安装人员给我联联系又没联系就是这个都又又没有联系你们这是怎么来办事情啊 
喂你好我那个接电话刚才你刚才叫就转那个电话十几分钟了也没人接那边到底你们能不能能不能能不能办的这个是 啊 
喂你好喂我想问一下上网通知上午来按照那个宽带的到现在还没来 
你好我想问一下就是我之前用这个号码预约的就是今天上午过来装宽带的但是到现在是还没有出现是什么情况 唉对 
我刚才你们昨天交到电信前我到底里面付就用跟他想他现在打过你们电话你们给我等四十八小时上去三七八八前天也跟他再大钱六月一一一个月给我再发一次你们这个问题解决了没有 怎么再付怎么在处理当中了 
嗯嗯嗯嗯 你好我等一下你你你你发短信他不好幺零七六二多少 
唉唉我问你请稍等喂 唉我昨天是吧我怎么知道晚上打电话 
嗯 唉你好 
唉你好你好我是那个赠送我家那个宽带呀那个信息它写错了 这个对吧 
呃我还想我问你那个跟他们就说二十五号升级噢你们维修人员为什么还没到了 幺三六嗯嗯 
唉你好刚才我到营业厅啊嗯把这个改为三十八三十八块每个月的服务费的吧下个月开始但是我是要流量五佰兆他好像给我搞错了 我到那个我把密码给我找三百兆不对了 
不是说我想办理一些那个集团业务然后那个之前你们是说会安排一个客户经理拨打电话详细的咨询但是我一直没有接到他的电话 就这个手机号码对就这个手机号 
不懂什么业务就就帮我手机长长长长期的什么互互联玩什么专席我是那个和叫他什么这些事情我这事情是那个 客服吗不是江就我们 
不懂什么业务就就帮我手机长长长长期的什么互互联玩什么专席我是那个和叫他什么这些事情我这事情是那个 客服吗不是江就我们 
喂你好我之前在你们这边反馈过两次这个关于我另外一个手机幺八三号码的那个这个关于这个你们流量扣费的问题然后你们都是跟我说四十八小时里面给我回复我到现在没有收到你们的回复 没有的对 
服务 唉你好我前两天有这个报修就是我那边pos机网络不太好你说给我二十四小时之内就会上门那个有人过来看了怎么没人呀 
您好很高兴为您服务唉你好我那个以前为什么我投诉你们那个工作人员为什么他到现在上面有挂呀 哦好噢谢谢啊谢谢啊装 
拜拜 然后你们说你们专人会二四十八小时打电话给我现在已经过了也没人打电话给我今天是最后一天 
啊我刚刚收到他短信是幺零零八六发给我的他说感谢你来三坪镇营业厅办理业务是吧我们要三零舜去过你看一下 啊因为它说什么前台什么名字我没有交过 
唉你们电话太难打了 唉你好我问一下就是你们现在有那个就是充话费充多少送多少就每个月消费多少的这个 
您好很高兴为您服务您好是这样的我想为您说我每次打电话过去想换那个套餐流量的事情然后一两次电话都断掉上上个月十二月结束知道是怎么回事啊这个月昨天我打电话又断掉了打电话半天也没有人工我现在这个月又产生了这个流量错就是用不完那么多用那个什么电话也打不通我觉得我应该投诉我叫你们给我处理一下就是金额我现在电话停机了但我不需要这五十块钱的流量我需要改成三十块钱我给你打过上上上个月每次都打电话断掉然后每次我就想昨天我也打电话了又断了然后一直没有人工接听 目前我前面打过就前面见这样子我我每次他都会说我晚了什么什么什么我现在是想昨天晚上我也打电话了我想把这个东西改过来改改改改改 
唉小姐我今天我一直是就是充话费呀像这个手机就这个号码的手机充话费就是嗯是现金充因为我们营业厅有那个可以把别人信息我然后我就一直说她最近现在不能给我取消了啊不是三十八那是国家资源 对呀怎么可能又抱歉你这不一定要什么呃因为我现在电子十八的方式而且我不能根据是谁这个就是 
噢那就把那个现在打了五个电话来都这么说转接那个你们帮我接到那个宽带都没人接的有什么用啊订 嗯 
喂你好我想请问一下我是华漕那个营业厅的那个办的那个三块涨宽宽带他那个来个短信的是早上八点钟到中午十二我早上等到现在没人来他也没给我通知我怎么联系我也不知道我也不感觉 好嘞谢谢啊 
高兴服务喂 唉你们中国移动银行搞笑的啊我之前问你们那个双方中路河南南路裕源这里的一个电信营业厅的电话你们一开始吗给了一个像手机一样的号码那么打过去没人接的你只要是呢我再打电话过来我说我要一个固定电话比如说一个三开头的连拨号音都没有然后我在我现在 
你好问一下我昨天投诉都没有人给我打电话现在给我发一条短信说投诉已解决的完成什么意思啊 对 
唉你好 是这样子啊我昨天从十一点十分一直打到你们十二点十三分然后就是那个人工服务一直没人接听想问一下我是需要投诉的 
你好问一下我昨天投诉都没有人给我打电话现在给我发一条短信说投诉已解决的完成什么意思啊 对 
您好很高兴为您服务唉你好呀唉我想我这个问一下我有一个问题就是他们社会员过来还是那个外包公啊 啊 
喂 唉你好嗯嗯稍等 
嗯唉你好我问一下那个叫挂机短信问题啊打扰你第三个号码了怎么还没帮我转成功了呢 对我原来那个号码有一个是停机了停机了因为我 
唉你好我刚才打电话进来你们那个客服帮我转到那个和包那个去处理但是和包那个电话没有人接那个服务也没有有没有人工也没有呀对啊的没有人工但是没有反应啊 
那个我是宽带咨询那个不是他的服务然后现在装的话然后师傅我它它说我们上贴个条昨天到了然后他打电话关于但我昨天手机全球通卡吧呃我们接到任何电话今天上午去过去个人也没打过电话我不这两天都在但是我那个我那个房间是空的我在楼下修路但是你们师傅上门去没人打过电话 对我就是我这个不是我新装一个宽带就用哪个手机号呢请问呃什么二幺三九零幺七五 
什么叫啥 你好 
你好 哎我想问一下我这个手机上次你们打电话的时候拨弄那个套餐继续升了一百五十八套餐我我都没有同没有说好你们直接就帮我用这个套餐流量 
唉你好小姐我昨天唉就是预约了一下我要装一个路由器啊已经二十个二十四个小时了要等四十八个小时他开通我的呀 还有 
嗯嗯 你好刚才我联系那个客户他说发给我那个服务密码到现在怎么操作怎么到现在还没发给我 
唉你好我这边的话八月份应该是开了一个就是八块钱的一个免费聊的一个 有的是有的是吧然后你看一下我现在绑定的免费电话是不是应该成功的有两个一个是幺三七六幺二三零二零三对吧 
喂你好我想请问一下我在你们这边前两天办了那个你们移动和铁通合作合作的那个网络然后的话那个铁通是需要到我们家上门来安装的开始的话最近都没有人跟我联系什么时候来安装我的要求是明天上午 如果七月 
嗯你好小姐我想查一下我这个手机号码的那个就是七月的帐单的那个公司抬头为什么到现在还没有变更啊 对啊 
你们那个移动那个威宁路的营业厅 
幺我觉得这个 哟你说什么可以发一个你投诉吗 
知道知道 你好那就是换了一个套餐它应该这个月呢用了五十八的套餐五十八套餐呢那个办的时候我去那个营业厅办的时候呢公务员没跟我说那个就是要就前面的流量全部要没掉的功能 
我这个号码反映对你们移动公司停掉了呃现在好像转不出去 喂 
哎你好我想那个一下就是说我早上去办一个这个移动宽带对吧他好像给我那个号写错了 呃这个号写错了地址是没错的啊也是一百二十九号改改成一百七十六号 
我看你这你这什么垃圾系统了打了几次电话打人工多几次拨不进来 按了短信服务也不近呢你这系统什么问题啊咱系统啊 
唉你好那个刚才我打电话那个投诉建议然后那个你们的人工服务台上给我转接了一个电话让我等了好好长时间然后都没有人给我接听我想知道就是微信你们回复过去没有人吧 万一宽带 
唉你好呃我我早上 呃我早上就是跟你们反映的就是呃我关于流量的问题我这没有人跟我回复因为我公司四号那个投诉的那么是现在就七号了刚才跟我说那个呃小姐手机在我的时候跟我说我们会尽快回复你们就到现在还没有回复我看一下他那个是想就回复我的过了是多少我都不知道 
啊小姐我有个手机号码帮我看一下幺三八零幺六八 七七六二三 
哎您好是这样的刚刚打电话过来的就是我一个手机号码嗯嗯那个幺三五六 幺三五零五呃幺三五零六四五六五三三八 
我六月十号申请的那个光可以确定宽带三十六月十号给我说是四十八小时给回复一直到现在怎么都没有回复呢之前已经打了很多次了打了五六次了就是说很快的服务给您服务 退订 
你好我问一下你们这个服务不是不是直接就是那个没有服务啊还是你们这边说的话就跟情况不说一样啊 你们这边他给我说的是 
您好很高兴为您服务啊我这个手机号码当时你们打电话过来不是啊但是我去营业厅他说送一年的宽带吗然后现在我说这笔装了但是没没人来给我装呀 对但是是免费送啊我们是有承诺消费送宽带活动的 
啊小姐你好呃我想问一下就是我原来是吧是圈内南路五左右三十三号之前零四的那个呃wifi出来转到我要呃转到这个梁陆呃八百四七五十三号是员这里要这个事情到现在为什么还没办好 我在外地卡呀 
呃我就是我是刚刚打过电话来的他是帮我那个语音信箱要关掉他说转到一个什么那个嗯嗯那个iphone六s那边是有一个专呃那专人要来跟我说那个这个手机那什么关的那个呃后来这个电话就跳呃跳掉 送手机对对对 
啊我前面反映过一个就是因为因为我那个那个服务你们跟我介绍套餐不能使用了一个那个反映到现在没有反馈我想查一下进度 对的对的 
等一下啊行您好很高兴服务喂您好这个手机支付功能但是怎么都没人接的了这个功能 对呀我现在要过户你必须要把这个功能关掉才能关掉的话您发个短信就可以关啦您发四个零 
你看一下我上次改一下那个流量呢到现在都没有吧 他说应该一千一千多还是要什么我记得我充了那个绑 
我想请问一下我这个手机怎么怎么打你们这个这个打那个幺零零八六那个打多少是可能通话才能充啊 我知道我说这个打这个幺零零八六你打那怎么没没反应 
唉你好小姐刚才打电话过来的嗯嗯 呃你你看一下你那个工单把那个工单反正现在就是对于这个账单啊六月份的月租费免掉这个问题啊现在你们处理的太慢了我现在已经在营业厅了嗯嗯 
啊我刚刚就跟你们咨询过了就是你们说给我那个移机服务嘛说今天给我一本来说前天以后就是昨天昨天说今天早上给我今天早上没人跟我联系 你给我处理怎么样我给你报一下手机号 
唉你好就是我一个幺三八幺八四七七九八零吗我这个号码上在十月十三号在营业厅范围根宽带但是到现在装人员都没有联系我还装 关南村一千零三号 
您好请讲哎你好我想让你帮我查一下因为我前天在那个订的那个宽带啊可是你四十八小时你现在还没打电话来我想问你不 因为马上就要国际国际你们应该是放假吧 
唉你好是这样的我这边的话昨天就就是报过我的宽带这边有问题然后这边是说会有人进跟我联系但到现在没有人打电话呀 呃幺五二二幺幺四五三三零 
打了我刚才打电话已经说让我那么只能服务请问一下我投诉的现在问题是我现在老是叫我等待种那种什么意思 我不是说信号问题我因为我是流量问题我这是前面就前两天嘛我不是申请了一个是腾讯的那个二十四块钱是三十g的这种意思你那个流流量流量吗我现在一直在开那个腾讯视频意思营业厅在用我那个全国那个通用流量我现在通用流量用光了但是同一意思一个定向流量一复印件没用嗯嗯 
哎你好我想问一下呃我上次说有一个别人给我的手机的手机联系的时候给我装宽带的十四号叫我家里有人但是目前我等到现在还没人跟我联系那它那个原来这个号码我又找不到了我怎么知道他今天来不来呢 对他收到我看一下有没有记录嗯 
你好我上次有个人打电话过来说那个预约好今天周末到我们家来装那个宽带的怎么没过来这是第一个他是用手机打过来 对对还有一个我想问一下我这个喂手机现在是一个月是多少 
唉你好我我想问一下我就是呃上上周办了那个那个移动电话但是我嗯他说星期一来钟到现在还没有联系我们 嗯嗯嗯嗯好的请您不要挂机 
