您好 很 高兴 您 服务   因为 给 您 发过来 下来 就 可以 来 很 抱歉 当时 吧 行好 的 那 已经 给 您 发手机 上 了 注意 查收 一下 嗯 还有 其他 可以 帮 您 的 吗
您好 请 讲   噢 现在 目前为止 这个 是 欠费 停机 状态 您 稍等一下 噢 我 这边 看 什么 开机 然后 发给您 您 稍 等   噢 主要 话 帮 您 看到 是 流量 噢 我 帮 您 把 那个 账单 发给您 了解 一下 噢 看 短信
你好   您 请 讲   七八 九 幺 三
您好 请 说   你好 嗯 您好   您好
没   诶 您好 先生   八块钱 吗 要 改 那个 八块 套餐 吗
哎 你好 请 讲 您好 没有   嗯 可以 的 我 这边 有 看 呃 在 您 这个 发送给 您 的 基础 套餐   还有 什么 需要 帮 您 的 吗
发票 的话 您 这边 是 机主 姓名 报 一下 我 帮 您 进行   好 稍 等 那 这边 的话 就是 把 七月份 发票 推送 给 您 了 注意 查收 一下 发到 你 幺 三九 邮箱 里面 了 啊
您好 很 高兴 为您服务 喂 您好   哎 好 的 恩 请稍等 好 的 您 嗯 先生 您 的 机主 姓名 报 一下   好 那 我 这边 帮 您 发过来 稍后 您 噢 就是 会 有 短信 告知 收到 短信 之后 可以 登录 幺 三九 邮箱 查看 一下
您好 很 高兴 为您服务 唉 你好 能 到 那个 八月 和 九月份 就是 那个 话费 话费单 发到 我 的 邮箱 里面 去 嘛 八月   不 知道   身份证 身份证 号码 三四 幺 幺 嗯 嗯 嗯 嗯 幺 九八 四零八 幺 八 幺 零 二八
您好 很 高兴 为您服务   噢 发票 的话 就是   恩好 的 是 每月 那个 自动 发 的 功能 开通 了 然后 您 要 发 之前 上个月 的 吗
您好 很 高兴 为您服务   可以 那 我 发到 您 幺 三九 邮箱 里面 您 手机 密码 知道 吗   噢 那 就 可以 那 我 帮 您 发 过去 您 密码 知道 吗
您好 很 高兴 为您服务   你 是 说 要 那个 充值 发票 吗   噢 你 说 要是 这个 月 的 吗 还是 以前 的
您好 很 高兴 为您服务   嗯 请问 您 手机号码 是 多少   恩
您好 很 高兴 为您服务   恩 可以 我们 可以 推送 两月 到 七月 的 啊 然后 十号 到 您 幺 三九 邮箱 对 吧   嗯 嗯 稍等一下 呃 那个 我 看到 您 之前 是 就是 qq 邮箱 不用 发到 qq 邮箱 吗 叫 他 打 幺 三七 不用 不用
高兴 为您服务   哪个 号码 您 报 一下   帮助
为您服务   变 一下 恩好 的 我 帮 您 改 一下 请问 您 是 本机 的 客服 密码 知道 吗   请 不要 挂机 根据 提示音 输 一下 密码
您好 很 高兴 为您服务   发票 对 吧 这个 用户 我 帮 您 发过来 您 手机 密码 知道 吗   那 您 的 名字 说 的 报销
您好 很 高兴 为您服务   重 发 五分 发票   是 哪个 号码 先生
很 高兴 为您服务 您好 请问 听 得到 吗 嗯 请 说   喂 你好   您好 听 不 清楚 吗
您好 很 高兴 为您服务   呃 充值 发票 对 吧 充值 发票 一点 发票 不能 重复 开 的 先 帮 您 开通 这个 表 还有 多少 钱 稍等一下 就 觉得 这个 周期 的 啊 嗯 嗯 稍等一下   噢 先生 您 来 决定 您 没有 充值 发票 呀 没有 充值 过 话费
您好 很 高兴 为您服务   请 您 稍等一下 啊 我 看 一下   嗯 看到 是 有 的 每月 七号 左右 我们 是 发给您 的
嗯 是 要 几月份 呢   七八 九三个 月 帮 您 幺 三九 邮箱 里 可以 吗   好 请问 服务 密码 知道 吗
那 稍后 为您服务   那 是 几月份 的 发现   七八 九 的话 我 帮 您 看 一下 啊 帮 您 幺 三九 邮箱 是 吧
您好 很 高兴 服务   可以 的 机主 姓名 麻烦 您 报 一下   好 这边 的话 把 之前 的 发票 推送 到 您 指定 的 la 区 这个 邮箱 里面 了 注意 查收 一下
您好 很 高兴 为您服务   哦   对 发送到 您 的 邮箱
很 高兴 为您服务   没 问题 的 您 的 名字 报 一下   您 稍 等 我 先 看 一下 六月份 对 吧
您好 兴 为您服务   请问 还有 什么 可以 帮 您   就 刚才 帮 您 发 邮箱 里面 退 吧 现在 还 没 发过来 多少 钱 八 幺 幺 啊 幺 三九 对 对 对 吧 好 这边 请问 您 密码 知道 吗 服务 密码
您好 很 高兴 为您服务   嗯 嗯 好 的 那个 号码 是 多少   幺 五八 二 幺 八八 五六 二六 嗯 请问 这 号码 的 密码 知道 吗
您好 很 高兴 为您服务   密码 知道 吗   那 登记 的 身份证 号码 您 报 一下
很 高兴 为您服务   就是 电子 发票 了 几月份 的 好 的 密码 有 吗   好 的 麻烦 您 输入 一下 请稍等 好 谢谢 推送 到 您 幺 三九 邮箱 的 啊
您好 很 高兴 为您服务   的 邮箱 是 多少 呀 就是 幺 三九 零 的 邮箱   你 要 什么 密码 服务 密码 女士
您好 很 高兴 为您服务   谢谢 啊   其他 号码 不是 不是 对 对 对 不是 我 这个 号码 幺 三八 幺 六六 零
您好 很 高兴 为您服务   您 要 几月份 发票   不是 您 要 充值 发票 还是 月结 发票
您好 很 高兴 为您服务   噢 好 的 先生 您 的 名字 和 身份证 核对 一下 吧   唉 对
您好 很 高兴 为您服务   现在   唉 好 的 帮 您 设置 一下 请问 您 本机 服务 密码 知道 吗
很 高兴 为您服务   充 话费 的 发票 就是 充值 那个 发票 您 说 的 是 这里 我 没 觉得 就 是从 一月份 开始   啊 我 帮 您 看 一下 啊 稍等一下
电子 发票 是 吧   好 的 请问 您 手机 服务 密码 知道 吗   好 的 那 请 您 根据 语音 提示 验证 一下 好 的 密码 验证 成功 了 已经 给 您 发 过去 了 先生 唉 等 一下
呃 您好 这边 上海 移动 公司 客服 代表 工号 幺 零 幺 幺 二 呃 您好 我 这边 帮 您 看 了 一下 我 这边 发 的话 呢 只能 从 二月份 到 五月份 发 一月份 的话 呢 还是 要 到 营业厅 的 因为 我们 这 二月份 才 开始 这个 电子 报销 对 吧 对 对 对   二月份 到 五月份 发到 您 qq 邮箱 里面 好 吧 您 密码 我 不 知道 吗   就是 手机 服务 密码 对
您好 兴 您 服务 您好   就 刚刚 充值 的 吗   那 您 手机 服务 密码 你 有 吗
您好 兴 您 服务 您好   从 几月份 的 呀   我 帮 您 看 一下 请稍等 稍等一下 啊
您好 很 高兴 服务   好 机主 姓名 麻烦 您 报 一下 女士   好 重新 帮 您 进行 发送 了 一下
您好 兴 为您服务 您好   帮 那个 八月份 的 的 发票 是 吗 五 五十八 月份 的 发票 是 吧 麻烦 这 还 没有 给 我 帮忙 看 一下 您 密码 你 有 吗 手机 嗯 你好 手机 密码   那 您 那个 姓名 和 身份证 号码 知道 吗 你 报 一下
很 高兴 服务   您好 请 讲   好 机主 姓名 麻烦 您 报 一下 帮 您 开 呃 七月份 现在 还 没 出来 原因 是因为 你 现在 七月份 费用 还 没有 交清 那 结清 费用 之后 它 自动 生成 的
很 高兴 服务   您好 请 讲   好 机主 姓名 麻烦 您 报 一下 帮 您 开 呃 七月份 现在 还 没 出来 原因 是因为 你 现在 七月份 费用 还 没有 交清 那 结清 费用 之后 它 自动 生成 的
很 高兴 为您服务   噢 充值 那个 月结 发票 是 吧   您 是 要 发到 幺 三九 邮箱 还是 发到 哪里 去 啊
很 高兴 为您服务   嗯 要 电子 发票 从 是 在 那个 登录 邮箱 打印 的 你 有 你 有 那个 登录 邮箱 里面 呢 幺 三九 幺   呃 您 之前 那个 电子 发票 发送 功能 没开 我 帮 您 开通 一下 再 补发 二三 四五 月份 的
为您服务   嗯 嗯 好 的 请 报 一下 您 的 姓名   以后 需要 帮 您 设置 每个 月 自动 发送 的 服务 吗
您好 很 高兴 服务 喂 你好 请问 发 一下 我 五月份 的 电子 帐单 到 我 的 服务 密码 知道 吗 女士 噢 不是 电子 发票 收费 也 是 算 的 密码 知道 吗 好 根据 语音 提示 输入 请稍等   六二   七
很 高兴 为您服务   幺 五八 零零 六零 然后 那个   幺 七 六五
嗯 嗯 你好   唉 好 那 这边 重新 给 您 输 一下 密码 好 吧   唉 您好 现在 密码 正确 噢 请问 您 是 要 更改 哪个 哪个 发票 的 东西
为您服务   好 的 好 的 请问 您 的 姓名   恩好 的 帮 您 换 那个 新 的 你 刚留 邮箱 啦 就是 到 七月份 还有 那 我 知道 能 看到
您好 很 高兴 服务   啊 很 抱歉 先生 目前 的话 我们 系统 在 升级 办 不了 业务 的 您 要 过 两个 小时 之后 再 来电 吧 或者 是 无点 之后 您 这边 再 来电 开机 一下 就 可以 了   自助 办 不了 的 需要 我们 客服 帮 您 发 办好 就 登陆 网站 进行 打印 这样 可以
很 高兴 为您服务 喂 你好 就是 可以 麻烦 你 把 我 五月份 的 那个 电子 发票 发到 我 幺 三九 邮箱 吗 嗯 您 稍等一下 好 的 呃 这个 手机 的 服务 密码 您 知道 吗 不 知道 很 抱歉 您 的 身份证 号码 姓名 嗯 简称 然后 身份证号 身份证号 是 四三零五 二三 一九九二 零五个 一两个 二 嗯 嗯 好 的 您 稍 等   好 嗯   那 你 需要 还 几月份 的 五月份 的 电子 发票 幺 三 六
您好 很 高兴 为您服务   嗯 嗯 请问 您 手机号码 是 多少   好 的 请问 服务 密码 知道 吗
您好 很 高兴 服务   您好 请 讲   你 什么 时候 充值 过 了 先生
您好 很 高兴 为您服务   怎么 可以 就是 六七 月份 发给您 对 吧   啊 充值 发票 对 吧 那 如果 充 的话 发给您 的话 账单 里面 月底 账单 这笔 钱 就 就 会 减掉 的 好 吧
您好 很 高兴 为您服务   五六 二号 之后 是 多少 钱 你 报 一下 吧 嗯   嗯 嗯
嗯 嗯 嗯 嗯   您好 很 高兴 服务   好 先生 密码 知道 吗 女士
为您服务   对 的 账单 什么   电子 发票 吧
您好 兴 为您服务   能 不能 帮 我   嗯 嗯 对 哎 没收 到 吗 打电话 就 能 收 我 也 是 没收 到 过
您好 兴 为您服务   好 的 好 稍等一下 啊 不 客气 就 发 您 那个 幺 三九 邮箱 分钟 对 对 对 对 对 啊 好 的 那 这边 以后 也 要 帮 您 设置 每个 月 自动 发送 的 功能 吗   跟 你们 说
嗯 您 是 要 电子 发票 对 吧 他 通过 邮箱 打印 以上 的话 它 每个 月 是 发到 那个 幺 三九 邮箱 的 泉州 邮箱 进去 我 帮 您 向 登录 方式 发给您 登记 之后 的话 就是 收件箱 里面 打开 里面 就 能 看到 发票 了 然后 您 报 一下 密码 吗 呃 那个 幺 三九 邮箱 需要 密码 的 可以 通过 短信 验证码 的 也 可以 密码 来 的 等于 上面 有 告诉您 密码 的 设置 方式 的 您 设置 一个
您好 很 高兴 您 服务   发 的 那个 幺 三九 邮箱 里面   那 手机 密码 知道 吗
您好 很 高兴 服务   你好   发票 对 吧
您好 很 高兴 为您服务 二五   不行 的 我们 不是 已经 发到 过 那个 邮箱 的 嘛 你 可以 自己   打不开 那个 邮箱
您好 很 高兴 为您服务   呃 您 是 开月结 发票 开 充值 发票   呃 您 是 几月份 开始 的 啊 发给您
好 的 您好 很 高兴 服务   现在 再 看看 吧 对 电子 发票   嗯 嗯
您好 很 高兴 为您服务   几月份 的   七月份 的 可以 让 我 发到 您 的 幺 三九 邮箱 里面 您 看 一下 嘛 您 的 名字 报 一下
很 高兴 为您服务   因为 银行   麻烦 你 提供 一下
您好 很 高兴 服务   你好   您 是 几月份 没收 到
您好 很 高兴 为您服务 再见   呃 几月份 的   可以 那 我 发到 您 的 邮箱 里面 您 手机 密码 知道 吗
您好 很 高兴 服务   发票 是 吗   好 服务 密码 知道 吗 女士
高兴 为您服务   嗯 四月份 对 吧 我 看 一下 稍 等 就 只要 这个 月 是 吗   好 密码 知道 吗
您好 很 高兴 为您服务   幺 三九 邮箱 您 稍 等 可以 的 您 是 发票 不是 账单 发票 吧 需要 报销 的 是 这 就是 月份 的 好 稍 等 手机 服务 密码 知道 吗   身份证 号码 姓名 报 一下 吧
您好 很 高兴 服务   四月份 发票 是 吗 报销 用 呢   您 现在 话 信号 的 您 稍 等 帮 您 看 一下 您 这个 功能 有没有 开启
您好 很 高兴 服务   可以 我 帮 您 发票 开 出来 但是 如果 充值 发票 开 了 月 结账 单 里面 那笔 就 会 少掉 的 我 帮 您 开 一下 吧 您 的 名字 报 一下   说好 那 您 把 型号 告诉 我 帮 您 加上 去 您 手机 密码 知道 吗
您好 很 高兴 为您服务   恩好 的 请稍等 我 帮 您 看 一下   嗯 是 这样 的 我 看到 您 先 看 一下 您 七月份 账单 还 没有 结清 那 结清 之后 才能 发 发票 昨天
很 高兴 为您服务   就 发 邮箱 是 吧   呃 帮 您 发到 幺 三九 邮箱 可以 吗
您好 很 高兴 服务   七月份 的 发票 是 吗   发票 对 吗
您好 很 高兴 为您服务   幺 三七   六 四六 幺
您好 很 高兴 服务   好 这边 的话 你 要 开 这 电子 发票 的话 这边 可以 帮 您 开具 一下 直接 推到 您 幺 三九 邮箱 里面 下载 打印 出来 就 可以 用 了 是 报销 用 对 吧   对 您 服务 密码 知道 吗 先生
为您服务   嗯 七月份 我 看 一下   好 不 客气 七月份 的话 我 帮 您 发 一下 请 报下 您 的 姓名
您好 很 高兴 服务   好 服务 密码 知道 吗 喂 密码 知道 吗 服务 密码 手机号 的   知道 对 吧 根据 语音 提示 输入 请稍等 四
您好 很 高兴 为您服务   唉 好 的 请 稍等一下 我 看 一下 是 发到 您 幺 三九 邮箱 对 吗   哎 好 请 稍等一下 那个 本机 的 密码 知道 吗 六位数 的
高兴 服务   发票 对 吧   好 机主 姓名 麻烦 您 报 一下 先生
您好 很 高兴 为您服务   嗯 发 那个 嗯 七月份 的 那个 电子 发票 对 吧   我 这边 显示 您 七月份 账单 还 没有 结清 要 结清 之后 才能 办
您好 很 高兴 为您服务   邮箱 吗 可以 的 请问 您 本机 密码 知道 吗 六位数 的   呃 或者 您 能 报出 您 一周 以前 两个 月 以内 打 出去 的 反正 就 剩 就 报出 您 的 公司 名称 和 证件号码 吗
您好 很 高兴 为您服务   女士 我们 现在 已经 不 寄 账单 了   您 要 账单 是 吗 您 要 账单 是 有 做 报销 还是 什么
您好 很 高兴 为您服务   幺 三七   六 四六 幺
七月份 发票 是 吧 手机 服务 密码 知道 吗   好 您 输入 一下 谢谢 嗯   好 谢谢您 稍 等 那 这边 帮 您 是 推送 到 幺 三九 邮箱 的 注意 查收 还有 什么 可以 帮 您
您好 很 高兴 为您服务   嗯 可以 的 请 稍等一下   呃 这边 需要 帮 您 申请 一下 吗 以后 每个 月 五号 之前 主动 发到 您 的 幺 三九 邮箱
您好 很 高兴 为您服务   手机 服务 密码 知道 吗 是 本 机要 几月份 发票   四 五六 四 五六 好 稍 等 那 您 先输 一下 密码 好 吧 恩 好好 好 谢谢 哎 啊
您好 很 高兴 为您服务   女士 我们 现在 已经 不 寄 账单 了   您 要 账单 是 吗 您 要 账单 是 有 做 报销 还是 什么
七月份 发票 是 吧 手机 服务 密码 知道 吗   好 您 输入 一下 谢谢 嗯   好 谢谢您 稍 等 那 这边 帮 您 是 推送 到 幺 三九 邮箱 的 注意 查收 还有 什么 可以 帮 您
就是 发 五月份 的 给 您 对 吧   八零 幺 三九 邮箱   请 您 什么 是 手机号 那个 服务 密码 知道 吗
为您服务   啊 就 发 您 幺 三九 邮箱 里 是 吧   人家 流量 啊 赠送 流量 可以 啊 先报 一下 您 的 姓名
您好 请 讲   好 服务 密码 知道 吗 先生   好 根据 语音 提示 输入 请稍等
您好 很 高兴 服务   这个 没有 的 从 今年 二月份 才 有 电子 发票 之前 是 没有 电子 发票 的   最低 只能 到 营业厅 进行 收取 电子 发票 二月份 才 开始 是 的 女士
您好 兴 为您服务   帮 您 嗯 我 看 一下 您 这个 本机 是 主 号码 付费 的 对 吧   呃 对 就 您 本 机号码 他 不 扣钱 的 如果说 您 按照 这个 这种 情况 的话 您 单独 开 的 发票 发开 不了 开 的 主号 上面 的 湖南 想 单独 开 的话 只能 从 到 群 里面 退出 来 才 可以 单独 开票
很 高兴 为您服务   目前 师傅 的 手机号码 的 钱 吗 小姐   幺 七三二 嗯
您好 很 高兴 为您服务   呃 是 手机号码 还是 客户 账号 的 限   对 是 手机号码 的 发票 吗
呃 现在 是 八月 吗 一般 都 是 要 六月   呃 我 看 一下 啊 七月份 的 我们 已经 发过 了 吗 是 在 八月 九号 推送 的 没有 收到 是 吧   呃 请问 您 登记 的 名字 叫 什么
您好 请 讲   开 电子 发票 的 随机码 是 吧 您 在 网上 营业厅 要 打印 打印 电子 发票 是 吧   是 这样 小姐 打印 电子 发票 的话 是 江 登录 网上 营业厅 手机 您 手机号码 登陆 上去 然后 再 一个 应该 是 右边 有 一个 兆 打印 的 噢 就是 电子 发票 您 点击 进去 之后 系统 它 是 自动 进行 下发 的 并 不是 人工 这边 进行 查询 的
那 现在 为您服务   嗯 麻烦 您 幺 三九 邮箱 吗   好 不 客气 请 报下 机主 姓名
您好 很 高兴 为您服务   嗯 请 讲   电子 的 代码 吗
您好 很 高兴 服务   发票 对 吧 充值 发票 要开 一下 是 吗   好 服务 密码 知道 吗 先生
充值 您好 请 讲   二月份 到 五月份 的   别的 手机 密码 知道 吗
您 服务   恩   宽带 一种 是 月 结 发票 就 跟 您 账单 上面 的 金额 还有 一个 就是 充值 发票 就 您 充 一百 帮 您 发 一百 这种
噢 那 我 再 帮 您 发 一份 吧 五月 已经 发到 您 手机 密码 知道 吗   好 麻烦 您 输入 一下   呃 先生 密码 正确 您 稍 等
您好 很 高兴 为您服务   嗯 稍等一下 呃 这 账单 里 我 看 一下 您 发票 没有 上面 没有 结清 所以 发票 还 没出 先 把 那个 用 不 掉 才 有 的   噢 那 帮 您 记下来 吧 您 稍后 就 充值 我 看充 了 之后 给 您 发好 吧 噢 好 的 您 姓名 报 一下
您好 很 高兴 为您服务   公司 账户   账户 号码 多少 客户 账号 恩
恩 你好 请 说 喂   好 的 是 本机 对 吧   好 您 稍 等
很 高兴 为您服务   呃 是 交 几月份 呢   呃 二月份 开始 有 的 帮 您 八二到 七月份 呀
为您服务   充值 发票 合约 机 发票 不能 重复 开具 的 我 现在 帮 您 开 那个 充值 发票 他 看到 金额 是 九十九 块 八 毛钱 嗯 嗯   发 您 幺 三九 邮箱
您好 很 高兴 为您服务   六月份 的 吗 那个 账单   六月份 的 账单 吗
您好 很 高兴 为您服务   幺 三九 邮箱 是 吗   可以 的 但是 我 只能 发 二月份 到 五月份 的 因为 我们 发票 是从 二月份 开始
有 啊 您好 兴 您 服务 好   但是 手机 的 服务 密码 有 吗   服务 密码 是 一 三五七 九零 啊 您 根据 语音 提示 您 输入 一下 啊 请 输 一下
您好 很 高兴 服务   这个 消费 发票 报销 用 了 对 吧   好 月 结 发票 这边 可以 帮 您 从 二月份 开始 到 八月份
拿 身份证 服务   点 开始 对 吧   现在 帮 您 设置 好 以后 每个 月 自动 发送 的 业务 吗 要 稍等一下 啊 可以
您好 很 高兴 为您服务   嗯 要 六月份 的 发票 吗   那 我 帮 您 看 一下 请问 您 那个 本机 的 密码 知道 吗 六位数 的
您好 很 高兴 为您服务   就 用 不到 对 吧   那 充值 发票 发给您 的话 以后 那个 月 结账 单 里面 这笔 就 没有 了
您好 兴 为您服务   嗯 嗯 好 的 要 七月份 吗   嗯
好 很 高兴 为您服务   今天 早上 我往   手机号码 先 八点
您好 很 高兴 服务   是 要 几月份 呢 先生   几月份 的 电子 发票 七月份 吗 一月份 还 没有 电子 发票 只能 从 二月份 到 七月份 可以 打 给 您
高兴 为您服务   八 幺 二二二 幺 二 二 幺 二二   七 百五十 号 您 先输 一下 密码 好 吧
您好 很 高兴 服务 您好 很 高兴 服务 你好   嗯 可以 的 我 帮 您 查询 一下   可以 服务 密码 知道 吗 帮 您 看 一下 功能 关闭 不 知道 但是 我 看 身份证件 号 报 一下 嗯 可以
您好 很 高兴 为您服务   然后 您 手机 服务 密码 知道 吗   哎 好 请 根据 语音 提示 验证 一下 请稍等 哎 好 密码 正确 是 本月 充值 的 发票 对 吧
嗯 可以 的 那开 了 充值 发票 以后 如果 再要 开 账单 发票 这部分 金额 会 扣除 掉 的 噢   噢 好 的 那 移动 本来 首先 本 机 服务 密码 知道 吗   请 根据 语音 提示 输入 密码 您好 密码 正确 嗯 然后 那个 是 发到 您 幺 三九 邮箱 还是 其他 邮箱
您好 很 高兴 为您服务   电子 发票   查 稍 等 手机 服务 密码 知道 吗
您好 您 说 我 那个   呃 您 是 要 发到 幺 三九 零三 还是 放 哪里 去   好 的 手机卡 的 服务 密码 知道 吗
您好 很 高兴 服务   嗯 请 讲 先生   好 密码机 主 姓名 您 报 一下 我 帮 您 发送 一下
您好 很 高兴 服务   是 几月份 吗 女士   吧 九月份 两个 月 的 一个 充值 发票 对 吧 我 这边 看 了 一下 您 在 之前 的话 已经 把 月 结 发票 开掉 了 开掉 之后 的话 它 不能 重开 的 你 现在 七月份 发票 也 可以 开去 给 您
您好 兴 为您服务   呃 对 现在 发票 发 发给您 几月份 两年 几月份 的 还是 以后 每个 月 都 要 我 把 它 我 帮 您 开通 一下 停止 发送 的   一月份 没有 从 二月份 开始 的 二六 发给您 一下
到 里面   网 可以 的 您 是 开 一张 一张 开 的 时候 还是 要 准备 给 您 开 通过 吗   好 的 那 您 的 服务 密码 知道 吗
您好 兴 为您服务   你 想   就 先 把 他 电子 码发 您 邮箱 对 吧 四月 五月 两个 月 啊 二 零 幺 三九 的 邮箱 可以 吗 可以 可以 啊 请问 您 服务 密码 知道 吗
您好 很 高兴 为您服务   嗯 您好 请 说   发到 我 的 邮箱 里面 十月份 发票 呀 八月份 的 是 吧
您好 很 高兴 为您服务 唉 你好 能帮 我发 一下 这个 电子 发票 的 账单 到 邮箱 吗   七月份 的   六月份 有 了 七月份 什么 时候 出 啊
行   喂   您 的 密码 知道 吗
您好 很 高兴 为您服务   可以 的 您 稍 等 手机 服务 密码 知道 吗   好 您 先 输入 一下 密码 谢谢
您好 很 高兴 为您服务   哦 电话费 您 说 的 是 发票 还是 什么 是 发票 吗 需要 发票 是 吧 几月份 发票 您 要 几月份 发票   八九月份 稍 等 手机 密码 知道 吧
高兴 您 服务   嗯 您 现在 几月份 的   啊 您 要 几月份 的
您好 很 高兴 为您服务 喂 你好 我 我 我 我 这个 手机 啊 就是 这个 手机号码 你 不 知道 的话 对 您 要 几月份 电子 发票 你 到时候 我到 两到 五月份 的 电子 发票 可以 那 我 发到 您 邮箱 里面 幺 三九 邮箱 您 密码 知道 吗 然后 我 我 知道 的 我会 我会 我会 打 你 输入 一下 让 您 输入 密码 嗯   不要
