您好很高兴您服务 因为给您发过来下来就可以来很抱歉当时吧行好的那已经给您发手机上了注意查收一下嗯还有其他可以帮您的吗 
发票的话您这边是机主姓名报一下我帮您进行 好稍等那这边的话就是把七月份发票推送给您了注意查收一下发到你幺三九邮箱里面了啊 
您好很高兴为您服务喂您好 哎好的恩请稍等好的您嗯先生您的机主姓名报一下 好那我这边帮您发过来稍后您噢就是会有短信告知收到短信之后可以登录幺三九邮箱查看一下 
您好很高兴为您服务唉你好能到那个八月和九月份就是那个话费话费单发到我的邮箱里面去嘛八月 不知道 身份证身份证号码三四幺幺嗯嗯嗯嗯幺九八四零八幺八幺零二八 
您好很高兴为您服务 噢发票的话就是 恩好的是每月那个自动发的功能开通了然后您要发之前上个月的吗 
您好很高兴为您服务 可以那我发到您幺三九邮箱里面您手机密码知道吗 噢那就可以那我帮您发过去您密码知道吗 
您好很高兴为您服务 你是说要那个充值发票吗 噢你说要是这个月的吗还是以前的 
您好很高兴为您服务 嗯请问您手机号码是多少 恩 
您好很高兴为您服务 恩可以我们可以推送两月到七月的啊然后十号到您幺三九邮箱对吧 嗯嗯稍等一下呃那个我看到您之前是就是qq邮箱不用发到qq邮箱吗叫他打幺三七不用不用 
高兴为您服务 哪个号码您报一下 帮助 
为您服务 变一下恩好的我帮您改一下请问您是本机的客服密码知道吗 请不要挂机根据提示音输一下密码 
您好很高兴为您服务 发票对吧这个用户我帮您发过来您手机密码知道吗 那您的名字说的报销 
您好很高兴为您服务 重发五分发票 是哪个号码先生 
很高兴为您服务您好请问听得到吗嗯请说 喂你好 您好听不清楚吗 
您好很高兴为您服务 呃充值发票对吧充值发票一点发票不能重复开的先帮您开通这个表还有多少钱稍等一下就觉得这个周期的啊嗯嗯稍等一下 噢先生您来决定您没有充值发票呀没有充值过话费 
您好很高兴为您服务 请您稍等一下啊我看一下 嗯看到是有的每月七号左右我们是发给您的 
嗯是要几月份呢 七八九三个月帮您幺三九邮箱里可以吗 好请问服务密码知道吗 
那稍后为您服务 那是几月份的发现 七八九的话我帮您看一下啊帮您幺三九邮箱是吧 
您好很高兴服务 可以的机主姓名麻烦您报一下 好这边的话把之前的发票推送到您指定的la区这个邮箱里面了注意查收一下 
您好很高兴为您服务 哦 对发送到您的邮箱 
很高兴为您服务 没问题的您的名字报一下 您稍等我先看一下六月份对吧 
您好兴为您服务 请问还有什么可以帮您 就刚才帮您发邮箱里面退吧现在还没发过来多少钱八幺幺啊幺三九对对对吧好这边请问您密码知道吗服务密码 
您好很高兴为您服务 嗯嗯好的那个号码是多少 幺五八二幺八八五六二六嗯请问这号码的密码知道吗 
您好很高兴为您服务 密码知道吗 那登记的身份证号码您报一下 
很高兴为您服务 就是电子发票了几月份的好的密码有吗 好的麻烦您输入一下请稍等好谢谢推送到您幺三九邮箱的啊 
您好很高兴为您服务 的邮箱是多少呀就是幺三九零的邮箱 你要什么密码服务密码女士 
您好很高兴为您服务 谢谢啊 其他号码不是不是对对对不是我这个号码幺三八幺六六零 
您好很高兴为您服务 您要几月份发票 不是您要充值发票还是月结发票 
您好很高兴为您服务 噢好的先生您的名字和身份证核对一下吧 唉对 
您好很高兴为您服务 现在 唉好的帮您设置一下请问您本机服务密码知道吗 
很高兴为您服务 充话费的发票就是充值那个发票您说的是这里我没觉得就是从一月份开始 啊我帮您看一下啊稍等一下 
电子发票是吧 好的请问您手机服务密码知道吗 好的那请您根据语音提示验证一下好的密码验证成功了已经给您发过去了先生唉等一下 
呃您好这边上海移动公司客服代表工号幺零幺幺二呃您好我这边帮您看了一下我这边发的话呢只能从二月份到五月份发一月份的话呢还是要到营业厅的因为我们这二月份才开始这个电子报销对吧对对对 二月份到五月份发到您qq邮箱里面好吧您密码我不知道吗 就是手机服务密码对 
您好兴您服务您好 就刚刚充值的吗 那您手机服务密码你有吗 
您好兴您服务您好 从几月份的呀 我帮您看一下请稍等稍等一下啊 
您好很高兴服务 好机主姓名麻烦您报一下女士 好重新帮您进行发送了一下 
您好兴为您服务您好 帮那个八月份的的发票是吗五五十八月份的发票是吧麻烦这还没有给我帮忙看一下您密码你有吗手机嗯你好手机密码 那您那个姓名和身份证号码知道吗你报一下 
很高兴服务 您好请讲 好机主姓名麻烦您报一下帮您开呃七月份现在还没出来原因是因为你现在七月份费用还没有交清那结清费用之后它自动生成的 
很高兴服务 您好请讲 好机主姓名麻烦您报一下帮您开呃七月份现在还没出来原因是因为你现在七月份费用还没有交清那结清费用之后它自动生成的 
很高兴为您服务 噢充值那个月结发票是吧 您是要发到幺三九邮箱还是发到哪里去啊 
很高兴为您服务 嗯要电子发票从是在那个登录邮箱打印的你有你有那个登录邮箱里面呢幺三九幺 呃您之前那个电子发票发送功能没开我帮您开通一下再补发二三四五月份的 
为您服务 嗯嗯好的请报一下您的姓名 以后需要帮您设置每个月自动发送的服务吗 
您好很高兴服务喂你好请问发一下我五月份的电子帐单到我的服务密码知道吗女士噢不是电子发票收费也是算的密码知道吗好根据语音提示输入请稍等 六二 七 
很高兴为您服务 幺五八零零六零然后那个 幺七六五 
嗯嗯你好 唉好那这边重新给您输一下密码好吧 唉您好现在密码正确噢请问您是要更改哪个哪个发票的东西 
为您服务 好的好的请问您的姓名 恩好的帮您换那个新的你刚留邮箱啦就是到七月份还有那我知道能看到 
您好很高兴服务 啊很抱歉先生目前的话我们系统在升级办不了业务的您要过两个小时之后再来电吧或者是无点之后您这边再来电开机一下就可以了 自助办不了的需要我们客服帮您发办好就登陆网站进行打印这样可以 
很高兴为您服务喂你好就是可以麻烦你把我五月份的那个电子发票发到我幺三九邮箱吗嗯您稍等一下好的呃这个手机的服务密码您知道吗不知道很抱歉您的身份证号码姓名嗯简称然后身份证号身份证号是四三零五二三一九九二零五个一两个二嗯嗯好的您稍等 好嗯 那你需要还几月份的五月份的电子发票幺三六 
您好很高兴为您服务 嗯嗯请问您手机号码是多少 好的请问服务密码知道吗 
您好很高兴服务 您好请讲 你什么时候充值过了先生 
您好很高兴为您服务 怎么可以就是六七月份发给您对吧 啊充值发票对吧那如果充的话发给您的话账单里面月底账单这笔钱就就会减掉的好吧 
您好很高兴为您服务 五六二号之后是多少钱你报一下吧嗯 嗯嗯 
嗯嗯嗯嗯 您好很高兴服务 好先生密码知道吗女士 
为您服务 对的账单什么 电子发票吧 
您好兴为您服务 能不能帮我 嗯嗯对哎没收到吗打电话就能收我也是没收到过 
您好兴为您服务 好的好稍等一下啊不客气就发您那个幺三九邮箱分钟对对对对对啊好的那这边以后也要帮您设置每个月自动发送的功能吗 跟你们说 
嗯您是要电子发票对吧他通过邮箱打印以上的话它每个月是发到那个幺三九邮箱的泉州邮箱进去我帮您向登录方式发给您登记之后的话就是收件箱里面打开里面就能看到发票了然后您报一下密码吗呃那个幺三九邮箱需要密码的可以通过短信验证码的也可以密码来的等于上面有告诉您密码的设置方式的您设置一个 
您好很高兴您服务 发的那个幺三九邮箱里面 那手机密码知道吗 
您好很高兴服务 你好 发票对吧 
您好很高兴为您服务二五 不行的我们不是已经发到过那个邮箱的嘛你可以自己 打不开那个邮箱 
您好很高兴为您服务 呃您是开月结发票开充值发票 呃您是几月份开始的啊发给您 
好的您好很高兴服务 现在再看看吧对电子发票 嗯嗯 
您好很高兴为您服务 几月份的 七月份的可以让我发到您的幺三九邮箱里面您看一下嘛您的名字报一下 
很高兴为您服务 因为银行 麻烦你提供一下 
您好很高兴服务 你好 您是几月份没收到 
您好很高兴为您服务再见 呃几月份的 可以那我发到您的邮箱里面您手机密码知道吗 
您好很高兴服务 发票是吗 好服务密码知道吗女士 
高兴为您服务 嗯四月份对吧我看一下稍等就只要这个月是吗 好密码知道吗 
您好很高兴为您服务 幺三九邮箱您稍等可以的您是发票不是账单发票吧需要报销的是这就是月份的好稍等手机服务密码知道吗 身份证号码姓名报一下吧 
您好很高兴服务 四月份发票是吗报销用呢 您现在话信号的您稍等帮您看一下您这个功能有没有开启 
您好很高兴服务 可以我帮您发票开出来但是如果充值发票开了月结账单里面那笔就会少掉的我帮您开一下吧您的名字报一下 说好那您把型号告诉我帮您加上去您手机密码知道吗 
您好很高兴为您服务 恩好的请稍等我帮您看一下 嗯是这样的我看到您先看一下您七月份账单还没有结清那结清之后才能发发票昨天 
很高兴为您服务 就发邮箱是吧 呃帮您发到幺三九邮箱可以吗 
您好很高兴服务 七月份的发票是吗 发票对吗 
您好很高兴为您服务 幺三七 六四六幺 
您好很高兴服务 好这边的话你要开这电子发票的话这边可以帮您开具一下直接推到您幺三九邮箱里面下载打印出来就可以用了是报销用对吧 对您服务密码知道吗先生 
为您服务 嗯七月份我看一下 好不客气七月份的话我帮您发一下请报下您的姓名 
您好很高兴服务 好服务密码知道吗喂密码知道吗服务密码手机号的 知道对吧根据语音提示输入请稍等四 
您好很高兴为您服务 唉好的请稍等一下我看一下是发到您幺三九邮箱对吗 哎好请稍等一下那个本机的密码知道吗六位数的 
高兴服务 发票对吧 好机主姓名麻烦您报一下先生 
您好很高兴为您服务 嗯发那个嗯七月份的那个电子发票对吧 我这边显示您七月份账单还没有结清要结清之后才能办 
您好很高兴为您服务 邮箱吗可以的请问您本机密码知道吗六位数的 呃或者您能报出您一周以前两个月以内打出去的反正就剩就报出您的公司名称和证件号码吗 
您好很高兴为您服务 女士我们现在已经不寄账单了 您要账单是吗您要账单是有做报销还是什么 
您好很高兴为您服务 幺三七 六四六幺 
七月份发票是吧手机服务密码知道吗 好您输入一下谢谢嗯 好谢谢您稍等那这边帮您是推送到幺三九邮箱的注意查收还有什么可以帮您 
您好很高兴为您服务 嗯可以的请稍等一下 呃这边需要帮您申请一下吗以后每个月五号之前主动发到您的幺三九邮箱 
您好很高兴为您服务 手机服务密码知道吗是本机要几月份发票 四五六四五六好稍等那您先输一下密码好吧恩好好好谢谢哎啊 
您好很高兴为您服务 女士我们现在已经不寄账单了 您要账单是吗您要账单是有做报销还是什么 
七月份发票是吧手机服务密码知道吗 好您输入一下谢谢嗯 好谢谢您稍等那这边帮您是推送到幺三九邮箱的注意查收还有什么可以帮您 
就是发五月份的给您对吧 八零幺三九邮箱 请您什么是手机号那个服务密码知道吗 
为您服务 啊就发您幺三九邮箱里是吧 人家流量啊赠送流量可以啊先报一下您的姓名 
您好请讲 好服务密码知道吗先生 好根据语音提示输入请稍等 
您好很高兴服务 这个没有的从今年二月份才有电子发票之前是没有电子发票的 最低只能到营业厅进行收取电子发票二月份才开始是的女士 
您好兴为您服务 帮您嗯我看一下您这个本机是主号码付费的对吧 呃对就您本机号码他不扣钱的如果说您按照这个这种情况的话您单独开的发票发开不了开的主号上面的湖南想单独开的话只能从到群里面退出来才可以单独开票 
很高兴为您服务 目前师傅的手机号码的钱吗小姐 幺七三二嗯 
您好很高兴为您服务 呃是手机号码还是客户账号的限 对是手机号码的发票吗 
呃现在是八月吗一般都是要六月 呃我看一下啊七月份的我们已经发过了吗是在八月九号推送的没有收到是吧 呃请问您登记的名字叫什么 
您好请讲 开电子发票的随机码是吧您在网上营业厅要打印打印电子发票是吧 是这样小姐打印电子发票的话是江登录网上营业厅手机您手机号码登陆上去然后再一个应该是右边有一个兆打印的噢就是电子发票您点击进去之后系统它是自动进行下发的并不是人工这边进行查询的 
那现在为您服务 嗯麻烦您幺三九邮箱吗 好不客气请报下机主姓名 
您好很高兴为您服务 嗯请讲 电子的代码吗 
您好很高兴服务 发票对吧充值发票要开一下是吗 好服务密码知道吗先生 
充值您好请讲 二月份到五月份的 别的手机密码知道吗 
您服务 恩 宽带一种是月结发票就跟您账单上面的金额还有一个就是充值发票就您充一百帮您发一百这种 
噢那我再帮您发一份吧五月已经发到您手机密码知道吗 好麻烦您输入一下 呃先生密码正确您稍等 
您好很高兴为您服务 嗯稍等一下呃这账单里我看一下您发票没有上面没有结清所以发票还没出先把那个用不掉才有的 噢那帮您记下来吧您稍后就充值我看充了之后给您发好吧噢好的您姓名报一下 
您好很高兴为您服务 公司账户 账户号码多少客户账号恩 
恩你好请说喂 好的是本机对吧 好您稍等 
很高兴为您服务 呃是交几月份呢 呃二月份开始有的帮您八二到七月份呀 
为您服务 充值发票合约机发票不能重复开具的我现在帮您开那个充值发票他看到金额是九十九块八毛钱嗯嗯 发您幺三九邮箱 
您好很高兴为您服务 六月份的吗那个账单 六月份的账单吗 
您好很高兴为您服务 幺三九邮箱是吗 可以的但是我只能发二月份到五月份的因为我们发票是从二月份开始 
有啊您好兴您服务好 但是手机的服务密码有吗 服务密码是一三五七九零啊您根据语音提示您输入一下啊请输一下 
您好很高兴服务 这个消费发票报销用了对吧 好月结发票这边可以帮您从二月份开始到八月份 
拿身份证服务 点开始对吧 现在帮您设置好以后每个月自动发送的业务吗要稍等一下啊可以 
您好很高兴为您服务 嗯要六月份的发票吗 那我帮您看一下请问您那个本机的密码知道吗六位数的 
您好很高兴为您服务 就用不到对吧 那充值发票发给您的话以后那个月结账单里面这笔就没有了 
您好兴为您服务 嗯嗯好的要七月份吗 嗯 
好很高兴为您服务 今天早上我往 手机号码先八点 
您好很高兴服务 是要几月份呢先生 几月份的电子发票七月份吗一月份还没有电子发票只能从二月份到七月份可以打给您 
高兴为您服务 八幺二二二幺二二幺二二 七百五十号您先输一下密码好吧 
您好很高兴服务您好很高兴服务你好 嗯可以的我帮您查询一下 可以服务密码知道吗帮您看一下功能关闭不知道但是我看身份证件号报一下嗯可以 
您好很高兴为您服务 然后您手机服务密码知道吗 哎好请根据语音提示验证一下请稍等哎好密码正确是本月充值的发票对吧 
嗯可以的那开了充值发票以后如果再要开账单发票这部分金额会扣除掉的噢 噢好的那移动本来首先本机服务密码知道吗 请根据语音提示输入密码您好密码正确嗯然后那个是发到您幺三九邮箱还是其他邮箱 
您好很高兴为您服务 电子发票 查稍等手机服务密码知道吗 
您好您说我那个 呃您是要发到幺三九零三还是放哪里去 好的手机卡的服务密码知道吗 
您好很高兴服务 嗯请讲先生 好密码机主姓名您报一下我帮您发送一下 
您好很高兴服务 是几月份吗女士 吧九月份两个月的一个充值发票对吧我这边看了一下您在之前的话已经把月结发票开掉了开掉之后的话它不能重开的你现在七月份发票也可以开去给您 
您好兴为您服务 呃对现在发票发发给您几月份两年几月份的还是以后每个月都要我把它我帮您开通一下停止发送的 一月份没有从二月份开始的二六发给您一下 
到里面 网可以的您是开一张一张开的时候还是要准备给您开通过吗 好的那您的服务密码知道吗 
您好兴为您服务 你想 就先把他电子码发您邮箱对吧四月五月两个月啊二零幺三九的邮箱可以吗可以可以啊请问您服务密码知道吗 
您好很高兴为您服务 嗯您好请说 发到我的邮箱里面十月份发票呀八月份的是吧 
您好很高兴为您服务唉你好能帮我发一下这个电子发票的账单到邮箱吗 七月份的 六月份有了七月份什么时候出啊 
行 喂 您的密码知道吗 
您好很高兴为您服务 可以的您稍等手机服务密码知道吗 好您先输入一下密码谢谢 
您好很高兴为您服务 哦电话费您说的是发票还是什么是发票吗需要发票是吧几月份发票您要几月份发票 八九月份稍等手机密码知道吧 
高兴您服务 嗯您现在几月份的 啊您要几月份的 
您好很高兴为您服务喂你好我我我我这个手机啊就是这个手机号码你不知道的话对您要几月份电子发票你到时候我到两到五月份的电子发票可以那我发到您邮箱里面幺三九邮箱您密码知道吗然后我我知道的我会我会我会打你输入一下让您输入密码嗯 不要 
