一个 您好 请问 您 稍后 宽带 办理 还是 咨询 是 是 办理 我 做 的 是 幺 八八 的 套餐 原来 有 送 宽带 的 是 吗 哦   请问 好好 静安区 金 山路   睡觉 了 对   过 那个 没有
很 高兴 您 服务 您好   呃 他 每个 月 会 送给 您 四百 分钟 打电话 三个 g 流量 对   三 g 啊   它 是 有 五百 兆 是 国内 的 二点五 g 是 省内 的 总共 是 三个 g
您好 请 说   香港 套餐 没有 车去 香港 漫游 让 你 自己 过来 啊 香港 漫游 的 这些 好 您 先生   两三天 噢 我 现在 把 国际 权限 先 打开 了 那 女士 国际 打算 上网 吗 还是   流量 有 它 刚好 三天 的 那个 是 呃 六十 八块钱 三个 月 是 六十八 诶 对 的
您好 请 说 喂 你好   现在 有 三百 分钟   您 现在 人 在 哪儿 呢 在 莆田 吗   在 涵江
您好 请 讲   呃 您 现在 这个 五十八 套餐 里面 一百 分钟 五百 兆 流量 都 是 全国 通用 的   五 五百 兆 流量   不 需要
您好 请 讲 有   不用 开 两城 一家 因为 现在 已经 取消 全国 漫游费 了   对 现在 您 接听电话 都 是 免费 的 拨打 电话 每分钟 都 是 两 毛钱   对
啊 你好 请 讲   套餐 自带 只有 六百 兆 流量   有 一种 的 流量 用 了 一 g 多 嘛 那 你 剩下 钱 就是 额外 收 扣款 吗 像 你 上个月 额外 超 了 二十几 兆 那 二十几 兆 的话 就 收 您 的 一兆 两毛 九 的 费用 大概 扣 了 你 八块 多 的 流量 费 吗   你 八月份 的 流量 有 送到 九月份 来用 啊 但是 您 九月份 就 没有 送 流量 到 八月份 来 了 儿 到 十月份 来 了 吗 所以 你 这个 月 使用 流量 自己 一定 要 注意 一下
早上好 很 高兴 为您服务   流量 包 那 您 这边 的话 今天 开 的话 您 可以 按天 折算 开 原价 是 三十元 那 今天 开 的话 是 赠送 您 大概 六百多 兆 就 收 您 十几块 钱 也 是 大概 要 多少 多少 兆 流量 的 是 这个 月 用 还是 说 接下来 每个 月 都 要   就 这个 月 噢 那 您 这个 月 的话 其实 就 开 一个 这种 按天 折算 包 最 划算   我 这边 人工 台 可以 给 您 直接 开 今天 开收 您 十四块 七毛 九 赠送 五百 零四兆
早上好   有 什么 可以 帮 您   呃 大概 需要 多少 钱 或 大概 需要 多少 兆 的   您 是 这个 月 要 用 的 还是 每个 月 都 要 用 的 呀
很 高兴 为您服务   恩 你好   在 本地 对 无限 流量   但是 用到 三十个 g 的 时候 速度 会 限速 的 速度 会 比 原先 慢 一些
您好 请 讲   语音 通话 跟 国内 主叫 通话 没 区别 一样 的 呀 怎么 了 吗   套餐 资费 两个 一个 是 本地 拨打 国内 呀 一个 是 国内 拨打 国内 啊   本省 啊 为什么 我 就 问 的 是 哪个 号码 的 业务 本 机 还是 他机 的 呢 开机 的 呀 就是说 要 这些 的话 你 要 给 我 一下 号码 跟 密码 噢
您好 您 请 讲   无限 流量 它 只有 校园 服务区 才 有 了 向阳 您 校园 套餐 有个 二十块 钱 的   嗯 我 给 您 看 一下   这个 办 的话 它 就 二十块 钱 校园 校园 可以 无限 上网 然后 他 这办 的话 要 到 您 的 附近 的 动感地带 品牌 营业厅 办理 的 就是 学校 附近 的 那个 营业厅
下午 好 请 讲   恩   是 我 发短信 给 您 吗 还是 说 手机 上面 跳出 这个 提示   手机 超出 的话 那个 只是 自己 手机 上面 设置 的 那个 流量 使用 的 提醒 这个 您 可以 不用 去 理会 您 如果 不 想要 这个 提醒 的话 那 就 把 您 手机 上面 的 流量 监控 给 它 关掉 关掉 之后 就 不会 有 这个 提示 了
你好 请 讲   流量 优惠 的 呃 是 有 有 一个 是 流量 做 活动 的 有 六十元 有 六个 g 的 流量 您 这 已经 开过 了   嗯 我 看 一下 这个 您 还有 一 g 多 没有用完 啊   这个 用 完 了 以后 还 可以 再开
您好   嗯 二十八 的 一个 飞享 套餐 每月 一百 分钟 三百 兆 流量 然后 下个月 转 了 一个 三十八 的 新飞 享 套餐   三百 分钟 一点 五 g   嗯
你好   请 稍等一下 这个 月 使用 的 家园 卡 本身 这个 家园 卡 套餐 里头 没有 流量 那 下个月 开始 我 看到 您 改为 三十 八块钱 的 套餐 了 下个月 开始 呢 您 每个 月 就 有 一点 五个 g 的 流量 了   对 改 套餐 要 下个月 才 生效 的 这个 月 没有 噢 这个 如果 有 上网 就是 一兆 按 两 毛九来 正常 收取
哎 您好 请 讲   嗯 是 啊 有 这个 套餐 的   恩对 对 对   恩是 的 没错
您好 请 说   噢 这个 国内 流量 它 就 只有 五百 兆 的   超出 部分 就是 一兆 按照 两毛九来 收费 的   定期 的
您好 请 说   您 是 要 添加 流量 套餐 是 吗   恩对   目前 的话 有 一个 流量 活动 是 那个 六十块 钱 有 六个 g 可以 在 一百八十 天 内 使用 这个 目前 是 最 划算 的
嗯 嗯 嗯 嗯 嗯 您好   呃 现在 到 月底 了 就 只 剩 几天 啊 您 大概 要 多少 兆   一个 g 啊 我 看 一下 啊   呃 我们 有个 五十块 的 今天 开 只要 二十四块 六毛有 一千 零九兆
您好 高兴 为您服务   加点 流量   是 这个 月 用 的 是 吗 对 对 就 这个 月 用 现在 有 一个 十四块 七毛九有 五百 零四兆   没错
对 您好 请 讲   您 到 香港 大 多久 呢   两三天 那 两三天 是 这样 的 如果 您 出 过去 三天 流量 有 套餐 流量 是 六十八 三天 不 限 流量   一天 一天 上 就 一天 最 多 三十块 钱不限 流量 三天 的话 那 就 九十块
您好 请 讲   电话 对 十块钱 有 一 百兆 的 还有 三十块 钱 呃 您 三十块 的 已经 开过 了 那 现在 就 开 十块钱 一 百兆 的   可以 这个 您 现在 开 我们 最近 有个 半年 包 可以 用半 半年 的 六十块 钱   恩 他 那边 要 在 营业厅 改 我们 人工 台办 不了 的 办理 完 也 要 下个月 一号 生效 的 噢 好 谢谢 谢谢 那 就 不用 应该 新好 的 您 也 可以 通过 淘宝 或者 支付宝 上 买 流量 也 可以 了 好 吗 恩 好 ok 好行 祝您 万事 顺心
需要   您好 请 讲   是 的   对 现在 对 对 对 我 这边 这样 是 十八块 的
您好 请 讲   像 您 这 张卡 对象 订 了 一个 三十元 五百 兆 这个 可以 考虑 取消 然后 现在 比较 流 呃 比较 现在 比较 高 的 就是 那个 六十元 六个 g 的 就 您 之前 订购 一个 六十元 十二个 g 的 然后 如果 你 用 完 了 话 您 可以 再订 一个 这个 订 六十元 六个 g 了 因为 它 这个 比 你 那个 三十元 五百 兆 划算 因为 什 呃 六十元 六个 g 平均 过去 十元 一个 g 了 那 你 再 去 订 那个 三十元 五百 兆 之前 比较 贵 了 现在 比 比较 低 了 您 的 三十元 五百 兆 可以 考虑 取消 掉 然后 接着 订是 六个 g   不是 因为 你 之前 的 那个 六十元 十二个 g 的 那个 流量 它 也 没用 完 了 您 之前 订 了 六月 二十四 号订 的 那个 嗯 六十元 十二个 g 还 剩 十一 g 多 啊   去 的 到 十二月 二十一 号
你好   哎   加油 包   如果 可以 办理 我们 现在 有 六十块 钱 六 g 的 半年 包 就 比较 优惠 的
您好 很 高兴 为您服务 哎 你   你好   您 这边 享受 流量 多一点 的 是 吗   噢 那 您 大概 一个月 需要 多少 g 的 流量 呢
哎 您好 请 讲   我 看 一下 您 这边 的话 是 一个 叫做 集团 网 每个 月 三块 钱 有 一个 三百 分钟 拨打 集团 网 的 电话 免费   可以 没 问题 那 已经 取消 好 了   还 需要 帮助 吗
很 高兴 为您服务 哎   比如说 您 这 张卡 现在 目前 是 呃 要 流量 多一些 的 是 吧   那 我们 有 一款 月租 五十八 的 它 里面 有 包括 了 呃 三千 兆 的 一个 流量 还有 四百 分钟 的 分钟 数   最少 的 我们 现在 目前 是 十八 的 在 本地 拨打 国内 电话 一百 分钟 流量 一 百兆
嗯 嗯   喂 您好 美女 我 想 请问 一下 有没有   呃 到 澳门 的 无限 流量   六十八 加上 一百 四十八 对 一百 四十八 是 那个 七天 的 吗 一百四十 八七 天对
您好 有 什么 帮助 您   流量 比较 多 您 现在 已经 是 新版 五十八 的 是 这个 三 g 不够 用 对 吧 那 您 要 不 就 在 剩 一个 八十八 嘛 三十八 是 那个 五 g 的 就 比较 多   对 八十八 五 g   五 g
您好 很 高兴 服务   两块钱 一天 的 流量 包 这个 暂时 没有 的 不好意思   周五 周六 周天 话 有 个 是 一块钱 一天 它 是 要 办理 流量 五十元 流量 包 以上 情况 下 客服 可以 办理 的 那 正常 情况 下 它 是 一个 十五块 钱 一个 g 二十四 小时 的   对 对 是 的 没错
您好 很 高兴 为您服务   呃 有 啊 女士   是 您 本机 这个 号码 要 办 吗   呃 目前 您 这种 的话 是 显示 这个 套餐 暂时 只 针对 我们 部分 的 幸运 用户 进行 办 您 这边 暂时 还 不是 所以 办理 不了
您好 请 讲   嗯 大概 要 多少 兆 呢 因为 我们 有 一个   呃 流量 保就 这个 月 用 还是 什么 还是 以后 每个 月 都 要   我 这边 因为 现在 有个 新 的 套餐 三十 八块钱 它会 有 一点 五 g 省内 可以 用 的
您好 请 讲 你好   呃 这个 是 点播 到 手机 有 点播 到 这些 梦网 业务 才 有 产生 费用 我 可以 把 移动梦网 总开关 关了 吧 避免 下次 产生 的 好 吗   我 把 这个 功能 帮 您 关 了 您 可以 放心 好 请问 还有 什么 可以 帮助 您 不 客气 那 感谢 来电 祝您
您好 请 说   你好   星级 它 是 我们 呃 移动 的 那个 现在 它 是 有 个 评定 星级 标准 的 一个 身份 标识 您 现在 目前 是 我们 三星 的 客户 就 比如说 您 现在 一年 可以 免费 补卡补 上次 啊 那 二十元 以下 的 就 不行 了   噢 对 他 就是 它 是 按 星级 我们 有 一些 二星 三星 四星 五星 您 现在 是 我们 三星 的 客户
您好 请 说   流量 套餐 是 吗   套餐 有 十块钱 一 百兆 然后 三十块 一个 g 五十块 钱 两个 g 这个 月 的 套餐   三十块 钱 一个 g 对
您好 有 什么 帮到 您 的 吗 喂 你好   是 的   一千两百 分钟 其中 有 五百 分钟 可以 国内 通用 剩余 的话 就是 您 在 福州 本地 使用 的   可以 啊 有 在 福州 的话 那 您 这边 的话 都 在 福州 的话 就是 一千两百 分钟 了
您好 请问 什么 可以 帮 您   嗯   您 说 上上网 就是 流量 是 吗   回到 厦门 就 以后 长期 都 在 厦门 了 是 吗 对 对 对 没错 您 可以 把 归属 地 改回 厦门
你好   流量 套餐 是 吧 呃 一般 都 在 就是说 我们 省内 跑步 会 去 外省 吧   那 您 看 一下 如果 需要 有 流量 的话 三十八 的 可以 吗 总共 有 一点 五 g 的 流量   嗯
您好 很 高兴 为您服务 您好   呃 又 是 十元 一 百兆 的 加油 包 马上 可以 用 下个月 会 自动 取消 一 百兆 不要   您 那个 优惠 一点 的 有 那种 三十元 的 三十元 今天 开 比较 合算 今天 开它 是 就 按 折算 今天 开 只要 扣 十三块 哎 八毛 一有 四百 七十一 兆 这种 合算   呃 我 现在 那个 没有 他 那个 要 改 套餐 呢 那个 就要 下个月 一百 一百多 的 套餐 呢
您好 很 高兴 为您服务   有 的 您 要 开通 了 一个 任 我 用 的 一个 流量 那个 是 盖 学校 指定 区域 里面 用 的 那 无线 了   那个 您 看 一下 是 有 离开 学校 的 范围 之后 用 掉 的 为 您 在 学校 里面 用 他 都 是 用 这个 不 限量 了 您 已经 开通 了 我 给 您 看 了 一下   恩 那 得 是 属于 手机 上面 功能 都 跟 您 只要 手机 能 打开 就 可以 了
嗯 您好 您 请 讲   这边 给 您 查询 您 的 一百 分钟 的话 就是 在 那个 莆田市 区 打 国内 电话 的 时长 不 含 港澳台   对 是 的   好 那 麻烦 了 知道 你们 不 客气 不用 了 好 谢谢 好 不 客气
您好 请 讲   啊 就是 您 套餐 里面 它 有 分 共享 额 不可 共享 的   啊 您 这个 八八 套餐 里面 其中 五百 兆 全国 流量 是 不能 共享 的 然后 省内 流量 四千 六百 二十 兆 其中 有 三 g 是 可以 共享 的   您 就 说 现在 是 您 省内 流量 那个 还有 一 g 多 的 那个 用 完 了
恩好 您好 请 讲 呃   是 没错 在 福建省 内 的话 流量 不 限量 但是 它 的 通话时间 就 变成 一千二百 分钟 就 不是 您 现在 用 了 两千四百 分钟 了   呃 没错   您 这个 号码 如果 您 现在 在 省内 的话 有 三十八个 g 全国 用 两个 g 也 就 说 如果 您 都 在 福建省 就 可以 用到 四十个 g 四十个 g 啊 噢
您好 有 什么 可以 帮 您   只有 一百 分钟 是 全国 都 可以 用 剩余 三百 分钟 是 南平 本地 拨打 全国   三百 还是 南平 拨打 到处 都 可以 对 那边 就 两百五十 九 分钟 噢   是 对 吧
您好 请 讲   我 帮 您 看 一下 这 张卡 套餐 里面 有 包含 一 百兆 的 国内 流量   嗯 这 一 百兆   没有 你 这边 只有 一 百兆
您好 请 讲   恩对 是 的   恩对 呀   恩对
您好 很 高兴 为您服务   省内 闲时 流量 是 一个 夜间 流量 包   对 就 晚上 十一点 到 早上 七点 这 段时间 上网 用 的   嗯 嗯 那 还有 其他 疑问 吗
嗯 你好 请 说 嗯   噢 您 现在 正常 再 再 要 再 补 一个 流量 嘛 对 吧   那个 大众卡 套餐 再 买 一个 三十块 的 上网 流量 套餐 今天 买 的话 刚好 是 收 一半 的 费用 嘛 差不多 收取 收 十五块 钱 左右 然后 流量 的话 刚好 有 五百五 百兆 左右 您 要 不要   嗯 对 然后 我 有 五百 兆 左右 下个月 直接 帮 您 取消 掉
您好 很 高兴 为您服务   嗯 稍 等 所以 这个 套餐 它 是 三百 分钟 然后 是 一点 啊 那个 两个 g 的 流量   你 帮 我 开 额外 它 是 有 赠送给 您 一年 一年 的 那个 通话 分钟 数 每个 月 是 送 三百 分钟 本地 打 国内 通话   流量 没有
嗯   您好 请 讲   套餐 的话 呢 您 如果 要 改 我们 有个 新 版本 的 五十八 套餐 七百 五十八 套餐 里面 是 有 包含 这个 三个 g 的 省内 流量 还有 四百 分钟 的 本地 打 国内 通话   这个 套餐 流量 如果 还 不够 的话 那 就 用 八十八 的 八十八 的话 有 五个 g 的 省内 流量 一千二百
你好 您好 很 高兴 为您服务 哎 你好 恩 你好   中国移动 的 这个   彩铃 是 吗   彩铃 您 这边 的话 是 有 一
早上好 很 高兴 为您服务 诶 你好 您好   诶 你好   请问 一下 嗯 哎   对 现在 还 现在
流量 流量 我们 现在 确实 有个 活动 有个 二十元 两个 g 的 从 十一月 一号 生效 的 有 需要 吗   嗯   您 是 说 不要 不要 改 套餐 的 是 吧   要 更改 的话 您 现在 是 幺 三八 吗 还 花 一千一百 五十八 两个 g
啊 您好 很 高兴 为您服务   国内 流量 我们 的话 最低 是 三十元 一个 g   对   在
你好   流量 的 套餐 这边 现在 是 您 是 说 要 咨询 有 含 宽带 跟 流量 的 那种 套餐   那 我 看到 您 下个月 有 改为 那种 新飞 享 的 八十八 元 套餐 每个 月 有 五个 g 的 流量 了   这个 月 您 看 一下 大概 还 需要 多少 兆 的 流量 呢
嗯 您好 很 高兴 为您服务   你好   本市 流量 不 限量 就是 在 泉州 但是 您 这边 付款 上网 总量 达到 三十 g 之后 网速 会 变慢   对 网速 会 变慢
十八元 的 您好 您 说   那种 十五元 一 g 的 流量 包 必须 要 您 的 套餐 要 两百 三十八 元 套餐 才能 订购 的 但是 就是 两百 三十八 套餐 才 有 开放 的
您好 请 讲   八块   发条 短信   发 一条 短信 您 看 一下 稍等一下 您 这 手机 应该 十八块
您好 请 讲   有 啊 五十八 五十八 赠送给 您 流量 是 三个 g 五百 兆 国内 两千五百 七十二 兆 的 省内 流量   没有   是 的
您好 请 讲   诶 您好   一 百兆   然后 我们 没有 二十 的 三十块 一个 g 五十块 两个 g 更 高 都 有
再见 为 您   你好   家庭网 的 套餐   呃 有 的 家庭网 资费 已经 了解 清楚 不 需要 我 现在 给 您 介绍 的 是 吗
您好 请 讲   噢 您 是 说 分钟 数 比较 多 的 对 吧   分钟 数 比较 多 的话 呢 有 五十 八块钱 五十八 它 是 四百 分钟 然后 八十八 的话 呢 它 是 一千两百 分钟 但是 这种 要 长期 有 在 本地 您 长期 在 宁德 吗   噢 在 福州 的话 呢 这个 会 比较 不是 噢 因为 它 这种 比如说 像 八十八 元 噢 一千两百 分钟 只有 三 一千两百 分钟 只能 在 宁德 本地 如果 您 去 福州 就是说 三百 分钟 可以 用 了 那 您 这种 是 这款 的 三十 八块钱 套餐 三百 分钟 全国 通用 那 你 不要 更改 这种 会 比较 优惠 一点
您好 高兴 为您服务   呃 全国 通用 的 我 看 一下 流量 全国 通用 的话 那 这边 是 有 那种 三十块 钱 一个 g 的 五十块 钱 两个 g 的 这种 流量 包 现在 会 比较 合算 一些   讲   流量 卡 的话 那个 是 要 重新 买 一个 新 的 号码 卡 才能 办理 的 但 但是 他 也 没有 全国 通用 流量 卡 地址 是 在 龙岩 里面 用 的 如果说 您 要 全国 流量 多 的话 就是 另外 买 流量 包 或者 是 改 套餐 改到 有 一种 是 一百八十 八 的 套餐 可以 全国 流量 不 限量 使用
您好 请 说   嗯   噢 我 这边 给 您 转接 宽带 客服 详细 咨询 一下 资费 您 电话 不要 挂 好 吗
您好 问   最低 套餐 帮 您 看 一下 您 稍 等 嗯 目前 的话 我们 人工 台能 更改 的 是 十八元 套餐   对   本地 拨打 现在 的 您 现在 就是 本地 的 一百 分钟
您好 喂   对   嗯 本机 目前 的 这个 八十八 套餐   一千二百 分钟 打电话 和 来电显示
您好 很 高兴 为您服务   您 说 你 下载 的 时候 可 不用 那个 流量 是 吗   稍 等 我 看 一下   手机 呃 我 这边 帮 您 查询 了 一下 他 下载 也 是 有 送到 这个 流量 当中 的 但是 比方说 您 在 登录 过程 当中 还有 这个 电视 就 播放 电视 之前 不是 都 会 有 一些 广告 吗 那 这些 的话 它 不会 算 到 这个 视频 流量 里面
哦 哦   您好 高兴 您 服务   你好   嗯 嗯
您好 请 讲   只能 用 一百 一个 g 啊 先生   我 看 一下   在 外省 只能 用 一个 g 您 现在 的话 还 剩下 九百 一 十一 兆
那 行 您好   对 没错   可以 要 帮 您 改到 八块钱 稍等一下   您 是 在 哪里 使用 送 您 吗
啊 你好 请 说   新飞 享 系列 的 吗   五个 g 流量 一千两百 分钟 对 对 对 对 对 这种 就 没 办法 确定 啊 因为 它 这种 是 阶段性 的 优惠政策 都 有 可能 会 做 调整 没 办法 保存 下个月 还有   可以 呀 您 现在 可以 改 下个月 一号 生效
对 您好   六百 兆   嗯 对   呃 一兆 两毛 九
嗯 您好 很 高兴 为您服务 呃 我 我 想 问 一下 就 本机 这个 的话 行开 全球通 的话 现在 有 什么 套餐 您 目前 就是 全球通 的 目前 是 全球通 了 现在 哪个 价位 的 套餐 五十八 的 噢 五十八 的 嗯 行 好好 还有 什么 可以 帮 您 啊 暂时 没 了 恩 好 的 祝您 生
您好 很 高兴 为您服务   呃 对 每天 扣 一块钱 五百 兆   我 看 一下 呃 今天 的 流量 目前 没有 超 今天 现在 就 用 了 三十多 兆   呃 之前 嘛 我 看 一下 呃 就是 您 有 之前 有超 了 十 十几 兆 吧
嗯 你好 请 说   诶 您好 请 说好   动力 加包 是 吗   这个 号码 没有 看到 有 这项 业务 啊 谢谢
您好 请 讲   呃 八块   呃 我 这边 能 帮 您 改 的话 是 有 一个 家园 卡 八元 套餐 打电话 要分 服务区 您 平常 是 在 您 在 哪里 吗   噢 如果 是 福州 的话 因为 我 只能 帮 您 改 的 那种 套餐 如果 您 在 服务区 外 打电话 一分钟 两毛五 如果 您 是 在 外地 我 是 建议您 可以 改飞享 八元 套餐 呃 这种 套餐 的话 但是 您 需要 发短信 才能 办理
哎 好 请 说   呃 对   噢 平常 都 在 厦门 本地 是 吗   我们 有个 五十八 套餐 是 四百 分钟 通话 三 g 流量 要 不要 办 这种 呢
您好   嗯 另外 一个 号码 是 吗 移动 号码 是 吗   开 一个 国际漫游 功能 把 您 那个 号码 密码 会 记得 吗 我 帮 您 查 一下 看 那个 功能 开 了 没有 噢 可以 号码 报给 我   幺 五 八八 零零 四四 是 幺 二八 幺 二八 然后 转过 去 验证 一下 密码 请稍等 噢
您好 有 什么 可以 帮助 您   那 您 是 都 在 外地 用 吗   五十八 的 它 有 一种 是 一百五十 分钟 一百五十 兆 的 如果说 您 流量 太少 您 可以 改 五十八 的 一百 分钟 五百 兆 的   对 啊
您好 您 请 说   两 gd   请稍等 我 看 一下   噢 这边 查询 您 这边 是 这个 月 就是 十月 四号 还有 十月 九号 的 时候 它 系统 有 就是 免费送 的 您 在 福建省 内 使用 的 一个 g 流量 那 这边 也 就 说 是 这个 月 有 送 您 省内 的 两个 g 流量 到 月底 的 流量 取消 了 流量 不 结账
您好 请 说   这个 是 本地 校园 流量   是 的   您 先 看 一下 先生 什么 电话 打 给 您 的 呢
十八 飞享 套餐 全球通 的 包含 一百 分钟 通话 一 百兆 流量 和 来电显示   嗯 您 稍 等 我 看 一下 这个 月 的 情况 三十 一块 一分   嗯 嗯   g 飞 享有 的 十八块 钱 新飞 享 啊
你好 请 讲   诶 你好   啊   您好 您 改 套餐 是 下个月 生效 不是 这个 月 生效 啊
宽带 早上好   一千两百 分钟   嗯 对 五个 g 省内 流量   呃 这个 是 移动 系统 的 一个 g 次性 的 提醒 的 您 如果 不 需要 这个 提醒 的 我 帮 您 报 后台 去 帮 您 关闭 掉 有 欠费 的 时候 再 通知 您 这样 可以 吗
您好 你好   嗯 因为 那个   啊 好 你好 流量 总共 三个 g   总公司 总公司
看看   您好 请 说 服务 诶 你好   一   嗯 有 啊 我们 现在 有 一百三十八 套餐 就是 在 泉州 本地 流量 无限量 用
您好 请 说   我 想 再   呃 现在 如果 额外 办理 流量 包 的话 大概 就是 十元 一 百兆 然后 三十元 一个 g 五十 两个 g 这 样子 的   十块钱 一 百兆 的 流量 啊 或者 是 呃 呃 三十块 钱 有 一个 g 然后 五十块 钱 两个 g 这 样子 啊 噢 十块钱 才 一 百兆 啊
您好 很 高兴 您 服务   您好   诶 你好   噢 您 这边 声音 有点 小声 女士 什么 问题
您 可以 再订 加油 包 的 或者 多一点 的 流量 套餐 都 可以   嗯 行 那 我 就 帮 您 先开 一个 加油 包 十块钱 一 百兆 这个 可以 马上 使用 的 下个月 自动 关闭   恩好 那 现在 已经 帮 您 加开 成功 马上 可以 使用 了
您好 请 说   多少 钱 的   呃 可以   呃 好 的 不 客气 还有 什么 可以 帮到 您
您好 很 高兴 为您服务   呃 是 什么   它 就是 校园 写 那个 是 学生 卡 学生 套餐 他 现在 凭 学生证 就是 高校 的 学生证 还有 他 本人 的 身份证 然后 到 营业厅 去 改 那个 校园 套餐 七十 八块钱 一个月 的   它 是 校园 流量 有 二点五 个 g 然后 全国 流量 五百 兆 就 等于 说 通用 的 有 三个 g 的
怎么样   嗯 还有 什么 可以 帮 您 的 吗   嗯 嗯
您好 请 讲   省内 流量 的话 套餐 里面 的 它 是 校园 特享 包 你 本机 的话 稍等一下 帮 您 查看 一下   它 这边 有 啊 你 有 一 g 多 你 用 了 现在 目前 还有 一 g 多   它 必须 要 实名制 本地 的 学校 省内 不算 它 是 在 一 二七 八月 才 算 在 省内 啊 现在 的话 已经 十点 了 不 算在里面 了
您好 很 高兴 为您服务   我 帮 您 检查一下 请 您 稍 等   您好 现在 的话 如果 您 在 外地 那 可以 开通 流量 加油 包 加油 包 的话 您 看 比如说 十块钱 有 一 百兆 这个 合适 吗   噢 那 要不然 开通 多一点 的 流量 对 吧 我 帮 您 参考 一个 请稍等 今天 的话 这边 已经 是 十六号 了 您 看 这边 的话 五百 兆 够不够 还是 说 要 一 千兆
您好 很 高兴 为您服务   里面 给 您 赠送 的 是 一百 分钟 本地 拨打 国内 通话 时长 跟 五百 兆 流量   呃 对   您 这边 的话 还有 两块钱 的 一个 来电 提醒 还有 个 彩印 还有 您 加入 了 一个 集团 网 一块钱 的 其他 没有 啦
您好 请 说   五五 千兆 嘛 五千 兆 有没有 这个 有个 八十八 的 套餐   恩有 的 就 新 的 八十八 的 套餐   对 一千两百 分钟 五个 g 的 流量
您好 请 说   上网 流量 我 看 一下 您 只要 这个 月 的 是 吗   只要 这个 月 的话 您 要 不 就 开通 的话 本月 的话 费用 是 呃 十五块 七毛八 流量 有 五百三十 八兆   十五块 七毛八
