一个您好请问您稍后宽带办理还是咨询是是办理我做的是幺八八的套餐原来有送宽带的是吗哦 请问好好静安区金山路 睡觉了对 过那个没有 
啊你好请讲 套餐自带只有六百兆流量 有一种的流量用了一g多嘛那你剩下钱就是额外收扣款吗像你上个月额外超了二十几兆那二十几兆的话就收您的一兆两毛九的费用大概扣了你八块多的流量费吗 你八月份的流量有送到九月份来用啊但是您九月份就没有送流量到八月份来了儿到十月份来了吗所以你这个月使用流量自己一定要注意一下 
早上好很高兴为您服务 流量包那您这边的话今天开的话您可以按天折算开原价是三十元那今天开的话是赠送您大概六百多兆就收您十几块钱也是大概要多少多少兆流量的是这个月用还是说接下来每个月都要 就这个月噢那您这个月的话其实就开一个这种按天折算包最划算 我这边人工台可以给您直接开今天开收您十四块七毛九赠送五百零四兆 
早上好 有什么可以帮您 呃大概需要多少钱或大概需要多少兆的 您是这个月要用的还是每个月都要用的呀 
很高兴为您服务 恩你好 在本地对无限流量 但是用到三十个g的时候速度会限速的速度会比原先慢一些 
您好请讲 语音通话跟国内主叫通话没区别一样的呀怎么了吗 套餐资费两个一个是本地拨打国内呀一个是国内拨打国内啊 本省啊为什么我就问的是哪个号码的业务本机还是他机的呢开机的呀就是说要这些的话你要给我一下号码跟密码噢 
您好您请讲 无限流量它只有校园服务区才有了向阳您校园套餐有个二十块钱的 嗯我给您看一下 这个办的话它就二十块钱校园校园可以无限上网然后他这办的话要到您的附近的动感地带品牌营业厅办理的就是学校附近的那个营业厅 
下午好请讲 恩 是我发短信给您吗还是说手机上面跳出这个提示 手机超出的话那个只是自己手机上面设置的那个流量使用的提醒这个您可以不用去理会您如果不想要这个提醒的话那就把您手机上面的流量监控给它关掉关掉之后就不会有这个提示了 
你好请讲 流量优惠的呃是有有一个是流量做活动的有六十元有六个g的流量您这已经开过了 嗯我看一下这个您还有一g多没有用完啊 这个用完了以后还可以再开 
您好 嗯二十八的一个飞享套餐每月一百分钟三百兆流量然后下个月转了一个三十八的新飞享套餐 三百分钟一点五g 嗯 
你好 请稍等一下这个月使用的家园卡本身这个家园卡套餐里头没有流量那下个月开始我看到您改为三十八块钱的套餐了下个月开始呢您每个月就有一点五个g的流量了 对改套餐要下个月才生效的这个月没有噢这个如果有上网就是一兆按两毛九来正常收取 
哎您好请讲 嗯是啊有这个套餐的 恩对对对 恩是的没错 
您好请说 噢这个国内流量它就只有五百兆的 超出部分就是一兆按照两毛九来收费的 定期的 
您好请说 您是要添加流量套餐是吗 恩对 目前的话有一个流量活动是那个六十块钱有六个g可以在一百八十天内使用这个目前是最划算的 
嗯嗯嗯嗯嗯您好 呃现在到月底了就只剩几天啊您大概要多少兆 一个g啊我看一下啊 呃我们有个五十块的今天开只要二十四块六毛有一千零九兆 
您好高兴为您服务 加点流量 是这个月用的是吗对对就这个月用现在有一个十四块七毛九有五百零四兆 没错 
对您好请讲 您到香港大多久呢 两三天那两三天是这样的如果您出过去三天流量有套餐流量是六十八三天不限流量 一天一天上就一天最多三十块钱不限流量三天的话那就九十块 
您好请讲 电话对十块钱有一百兆的还有三十块钱呃您三十块的已经开过了那现在就开十块钱一百兆的 可以这个您现在开我们最近有个半年包可以用半半年的六十块钱 恩他那边要在营业厅改我们人工台办不了的办理完也要下个月一号生效的噢好谢谢谢谢那就不用应该新好的您也可以通过淘宝或者支付宝上买流量也可以了好吗恩好ok好行祝您万事顺心 
需要 您好请讲 是的 对现在对对对我这边这样是十八块的 
您好请讲 像您这张卡对象订了一个三十元五百兆这个可以考虑取消然后现在比较流呃比较现在比较高的就是那个六十元六个g的就您之前订购一个六十元十二个g的然后如果你用完了话您可以再订一个这个订六十元六个g了因为它这个比你那个三十元五百兆划算因为什呃六十元六个g平均过去十元一个g了那你再去订那个三十元五百兆之前比较贵了现在比比较低了您的三十元五百兆可以考虑取消掉然后接着订是六个g 不是因为你之前的那个六十元十二个g的那个流量它也没用完了您之前订了六月二十四号订的那个嗯六十元十二个g还剩十一g多啊 去的到十二月二十一号 
你好 哎 加油包 如果可以办理我们现在有六十块钱六g的半年包就比较优惠的 
您好很高兴为您服务哎你 你好 您这边享受流量多一点的是吗 噢那您大概一个月需要多少g的流量呢 
哎您好请讲 我看一下您这边的话是一个叫做集团网每个月三块钱有一个三百分钟拨打集团网的电话免费 可以没问题那已经取消好了 还需要帮助吗 
很高兴为您服务哎 比如说您这张卡现在目前是呃要流量多一些的是吧 那我们有一款月租五十八的它里面有包括了呃三千兆的一个流量还有四百分钟的分钟数 最少的我们现在目前是十八的在本地拨打国内电话一百分钟流量一百兆 
嗯嗯 喂您好美女我想请问一下有没有 呃到澳门的无限流量 六十八加上一百四十八对一百四十八是那个七天的吗一百四十八七天对 
您好有什么帮助您 流量比较多您现在已经是新版五十八的是这个三g不够用对吧那您要不就在剩一个八十八嘛三十八是那个五g的就比较多 对八十八五g 五g 
您好很高兴服务 两块钱一天的流量包这个暂时没有的不好意思 周五周六周天话有个是一块钱一天它是要办理流量五十元流量包以上情况下客服可以办理的那正常情况下它是一个十五块钱一个g二十四小时的 对对是的没错 
您好很高兴为您服务 呃有啊女士 是您本机这个号码要办吗 呃目前您这种的话是显示这个套餐暂时只针对我们部分的幸运用户进行办您这边暂时还不是所以办理不了 
您好请讲 嗯大概要多少兆呢因为我们有一个 呃流量保就这个月用还是什么还是以后每个月都要 我这边因为现在有个新的套餐三十八块钱它会有一点五g省内可以用的 
您好请讲你好 呃这个是点播到手机有点播到这些梦网业务才有产生费用我可以把移动梦网总开关关了吧避免下次产生的好吗 我把这个功能帮您关了您可以放心好请问还有什么可以帮助您不客气那感谢来电祝您 
您好请说 你好 星级它是我们呃移动的那个现在它是有个评定星级标准的一个身份标识您现在目前是我们三星的客户就比如说您现在一年可以免费补卡补上次啊那二十元以下的就不行了 噢对他就是它是按星级我们有一些二星三星四星五星您现在是我们三星的客户 
您好请说 流量套餐是吗 套餐有十块钱一百兆然后三十块一个g五十块钱两个g这个月的套餐 三十块钱一个g对 
您好有什么帮到您的吗喂你好 是的 一千两百分钟其中有五百分钟可以国内通用剩余的话就是您在福州本地使用的 可以啊有在福州的话那您这边的话都在福州的话就是一千两百分钟了 
您好请问什么可以帮您 嗯 您说上上网就是流量是吗 回到厦门就以后长期都在厦门了是吗对对对没错您可以把归属地改回厦门 
你好 流量套餐是吧呃一般都在就是说我们省内跑步会去外省吧 那您看一下如果需要有流量的话三十八的可以吗总共有一点五g的流量 嗯 
您好很高兴为您服务您好 呃又是十元一百兆的加油包马上可以用下个月会自动取消一百兆不要 您那个优惠一点的有那种三十元的三十元今天开比较合算今天开它是就按折算今天开只要扣十三块哎八毛一有四百七十一兆这种合算 呃我现在那个没有他那个要改套餐呢那个就要下个月一百一百多的套餐呢 
您好很高兴为您服务 有的您要开通了一个任我用的一个流量那个是盖学校指定区域里面用的那无线了 那个您看一下是有离开学校的范围之后用掉的为您在学校里面用他都是用这个不限量了您已经开通了我给您看了一下 恩那得是属于手机上面功能都跟您只要手机能打开就可以了 
嗯您好您请讲 这边给您查询您的一百分钟的话就是在那个莆田市区打国内电话的时长不含港澳台 对是的 好那麻烦了知道你们不客气不用了好谢谢好不客气 
您好请讲 啊就是您套餐里面它有分共享额不可共享的 啊您这个八八套餐里面其中五百兆全国流量是不能共享的然后省内流量四千六百二十兆其中有三g是可以共享的 您就说现在是您省内流量那个还有一g多的那个用完了 
恩好您好请讲呃 是没错在福建省内的话流量不限量但是它的通话时间就变成一千二百分钟就不是您现在用了两千四百分钟了 呃没错 您这个号码如果您现在在省内的话有三十八个g全国用两个g也就说如果您都在福建省就可以用到四十个g四十个g啊噢 
您好有什么可以帮您 只有一百分钟是全国都可以用剩余三百分钟是南平本地拨打全国 三百还是南平拨打到处都可以对那边就两百五十九分钟噢 是对吧 
您好请讲 我帮您看一下这张卡套餐里面有包含一百兆的国内流量 嗯这一百兆 没有你这边只有一百兆 
您好请讲 恩对是的 恩对呀 恩对 
您好很高兴为您服务 省内闲时流量是一个夜间流量包 对就晚上十一点到早上七点这段时间上网用的 嗯嗯那还有其他疑问吗 
嗯你好请说嗯 噢您现在正常再再要再补一个流量嘛对吧 那个大众卡套餐再买一个三十块的上网流量套餐今天买的话刚好是收一半的费用嘛差不多收取收十五块钱左右然后流量的话刚好有五百五百兆左右您要不要 嗯对然后我有五百兆左右下个月直接帮您取消掉 
您好很高兴为您服务 嗯稍等所以这个套餐它是三百分钟然后是一点啊那个两个g的流量 你帮我开额外它是有赠送给您一年一年的那个通话分钟数每个月是送三百分钟本地打国内通话 流量没有 
嗯 您好请讲 套餐的话呢您如果要改我们有个新版本的五十八套餐七百五十八套餐里面是有包含这个三个g的省内流量还有四百分钟的本地打国内通话 这个套餐流量如果还不够的话那就用八十八的八十八的话有五个g的省内流量一千二百 
你好您好很高兴为您服务哎你好恩你好 中国移动的这个 彩铃是吗 彩铃您这边的话是有一 
早上好很高兴为您服务诶你好您好 诶你好 请问一下嗯哎 对现在还现在 
流量流量我们现在确实有个活动有个二十元两个g的从十一月一号生效的有需要吗 嗯 您是说不要不要改套餐的是吧 要更改的话您现在是幺三八吗还花一千一百五十八两个g 
啊您好很高兴为您服务 国内流量我们的话最低是三十元一个g 对 在 
你好 流量的套餐这边现在是您是说要咨询有含宽带跟流量的那种套餐 那我看到您下个月有改为那种新飞享的八十八元套餐每个月有五个g的流量了 这个月您看一下大概还需要多少兆的流量呢 
嗯您好很高兴为您服务 你好 本市流量不限量就是在泉州但是您这边付款上网总量达到三十g之后网速会变慢 对网速会变慢 
十八元的您好您说 那种十五元一g的流量包必须要您的套餐要两百三十八元套餐才能订购的但是就是两百三十八套餐才有开放的 
您好请讲 八块 发条短信 发一条短信您看一下稍等一下您这手机应该十八块 
您好请讲 有啊五十八五十八赠送给您流量是三个g五百兆国内两千五百七十二兆的省内流量 没有 是的 
您好请讲 诶您好 一百兆 然后我们没有二十的三十块一个g五十块两个g更高都有 
再见为您 你好 家庭网的套餐 呃有的家庭网资费已经了解清楚不需要我现在给您介绍的是吗 
您好请讲 噢您是说分钟数比较多的对吧 分钟数比较多的话呢有五十八块钱五十八它是四百分钟然后八十八的话呢它是一千两百分钟但是这种要长期有在本地您长期在宁德吗 噢在福州的话呢这个会比较不是噢因为它这种比如说像八十八元噢一千两百分钟只有三一千两百分钟只能在宁德本地如果您去福州就是说三百分钟可以用了那您这种是这款的三十八块钱套餐三百分钟全国通用那你不要更改这种会比较优惠一点 
您好高兴为您服务 呃全国通用的我看一下流量全国通用的话那这边是有那种三十块钱一个g的五十块钱两个g的这种流量包现在会比较合算一些 讲 流量卡的话那个是要重新买一个新的号码卡才能办理的但但是他也没有全国通用流量卡地址是在龙岩里面用的如果说您要全国流量多的话就是另外买流量包或者是改套餐改到有一种是一百八十八的套餐可以全国流量不限量使用 
您好请说 嗯 噢我这边给您转接宽带客服详细咨询一下资费您电话不要挂好吗 
您好问 最低套餐帮您看一下您稍等嗯目前的话我们人工台能更改的是十八元套餐 对 本地拨打现在的您现在就是本地的一百分钟 
您好喂 对 嗯本机目前的这个八十八套餐 一千二百分钟打电话和来电显示 
您好很高兴为您服务 您说你下载的时候可不用那个流量是吗 稍等我看一下 手机呃我这边帮您查询了一下他下载也是有送到这个流量当中的但是比方说您在登录过程当中还有这个电视就播放电视之前不是都会有一些广告吗那这些的话它不会算到这个视频流量里面 
哦哦 您好高兴您服务 你好 嗯嗯 
您好请讲 只能用一百一个g啊先生 我看一下 在外省只能用一个g您现在的话还剩下九百一十一兆 
那行您好 对没错 可以要帮您改到八块钱稍等一下 您是在哪里使用送您吗 
啊你好请说 新飞享系列的吗 五个g流量一千两百分钟对对对对对这种就没办法确定啊因为它这种是阶段性的优惠政策都有可能会做调整没办法保存下个月还有 可以呀您现在可以改下个月一号生效 
对您好 六百兆 嗯对 呃一兆两毛九 
嗯您好很高兴为您服务呃我我想问一下就本机这个的话行开全球通的话现在有什么套餐您目前就是全球通的目前是全球通了现在哪个价位的套餐五十八的噢五十八的嗯行好好还有什么可以帮您啊暂时没了恩好的祝您生 
您好很高兴为您服务 呃对每天扣一块钱五百兆 我看一下呃今天的流量目前没有超今天现在就用了三十多兆 呃之前嘛我看一下呃就是您有之前有超了十十几兆吧 
嗯你好请说 诶您好请说好 动力加包是吗 这个号码没有看到有这项业务啊谢谢 
您好请讲 呃八块 呃我这边能帮您改的话是有一个家园卡八元套餐打电话要分服务区您平常是在您在哪里吗 噢如果是福州的话因为我只能帮您改的那种套餐如果您在服务区外打电话一分钟两毛五如果您是在外地我是建议您可以改飞享八元套餐呃这种套餐的话但是您需要发短信才能办理 
哎好请说 呃对 噢平常都在厦门本地是吗 我们有个五十八套餐是四百分钟通话三g流量要不要办这种呢 
您好 嗯另外一个号码是吗移动号码是吗 开一个国际漫游功能把您那个号码密码会记得吗我帮您查一下看那个功能开了没有噢可以号码报给我 幺五八八零零四四是幺二八幺二八然后转过去验证一下密码请稍等噢 
您好有什么可以帮助您 那您是都在外地用吗 五十八的它有一种是一百五十分钟一百五十兆的如果说您流量太少您可以改五十八的一百分钟五百兆的 对啊 
您好您请说 两gd 请稍等我看一下 噢这边查询您这边是这个月就是十月四号还有十月九号的时候它系统有就是免费送的您在福建省内使用的一个g流量那这边也就说是这个月有送您省内的两个g流量到月底的流量取消了流量不结账 
您好请说 这个是本地校园流量 是的 您先看一下先生什么电话打给您的呢 
十八飞享套餐全球通的包含一百分钟通话一百兆流量和来电显示 嗯您稍等我看一下这个月的情况三十一块一分 嗯嗯 g飞享有的十八块钱新飞享啊 
你好请讲 诶你好 啊 您好您改套餐是下个月生效不是这个月生效啊 
宽带早上好 一千两百分钟 嗯对五个g省内流量 呃这个是移动系统的一个g次性的提醒的您如果不需要这个提醒的我帮您报后台去帮您关闭掉有欠费的时候再通知您这样可以吗 
您好你好 嗯因为那个 啊好你好流量总共三个g 总公司总公司 
看看 您好请说服务诶你好 一 嗯有啊我们现在有一百三十八套餐就是在泉州本地流量无限量用 
您好请说 我想再 呃现在如果额外办理流量包的话大概就是十元一百兆然后三十元一个g五十两个g这样子的 十块钱一百兆的流量啊或者是呃呃三十块钱有一个g然后五十块钱两个g这样子啊噢十块钱才一百兆啊 
您好很高兴您服务 您好 诶你好 噢您这边声音有点小声女士什么问题 
您可以再订加油包的或者多一点的流量套餐都可以 嗯行那我就帮您先开一个加油包十块钱一百兆这个可以马上使用的下个月自动关闭 恩好那现在已经帮您加开成功马上可以使用了 
您好请说 多少钱的 呃可以 呃好的不客气还有什么可以帮到您 
您好很高兴为您服务 呃是什么 它就是校园写那个是学生卡学生套餐他现在凭学生证就是高校的学生证还有他本人的身份证然后到营业厅去改那个校园套餐七十八块钱一个月的 它是校园流量有二点五个g然后全国流量五百兆就等于说通用的有三个g的 
怎么样 嗯还有什么可以帮您的吗 嗯嗯 
您好请讲 省内流量的话套餐里面的它是校园特享包你本机的话稍等一下帮您查看一下 它这边有啊你有一g多你用了现在目前还有一g多 它必须要实名制本地的学校省内不算它是在一二七八月才算在省内啊现在的话已经十点了不算在里面了 
您好很高兴为您服务 我帮您检查一下请您稍等 您好现在的话如果您在外地那可以开通流量加油包加油包的话您看比如说十块钱有一百兆这个合适吗 噢那要不然开通多一点的流量对吧我帮您参考一个请稍等今天的话这边已经是十六号了您看这边的话五百兆够不够还是说要一千兆 
您好很高兴为您服务 里面给您赠送的是一百分钟本地拨打国内通话时长跟五百兆流量 呃对 您这边的话还有两块钱的一个来电提醒还有个彩印还有您加入了一个集团网一块钱的其他没有啦 
您好请说 五五千兆嘛五千兆有没有这个有个八十八的套餐 恩有的就新的八十八的套餐 对一千两百分钟五个g的流量 
您好请说 上网流量我看一下您只要这个月的是吗 只要这个月的话您要不就开通的话本月的话费用是呃十五块七毛八流量有五百三十八兆 十五块七毛八 
什么费用您好什么帮您 呃流量额外开通包的话我们现在有三十块钱一个g的然后五十块钱两个g等等的这些套餐 是包月套餐每个月五十块钱然后流量有两个g可以用 嗯对没错如果你觉得这种包月太贵的话没关系还有个更优惠的包月就是套餐包半年的它是这样子算就比如说您现在马上开通马上扣六十总共有六个g的流量然后可以给您用一百八十天就是六十块钱六个g 
您好请讲 有最低八块钱 可以啊八块是三十分钟服务区内的打国内那您服务区设置在哪里呢 因为三十分钟只能选择龙岩的其中一个其实作为服务区比如说您设置在永定那您如果去武平或者长汀连城就用不到这三十分钟了 
您好请讲 八元不是啊他觉得优惠区内打电话两百分钟啊优惠区内 嗯用户区内吗 对您您比如说优惠区在涵江打这两百分钟您叫你开了涵江您这边是两百分钟就不能用了比方说到雪花到莆田是需要就不能用了他去还更小的 
您好 稍等我帮您查看一下这个九块他打电话每分钟一毛九没有免费的分钟数 嗯是的 对是的 
您好很高兴为您服务 对确实有这个 嗯那如果有需要您就直接验证码发送给他然后他那边直接登记办理就可以 对没错 
中午好 还有啊十块钱一百兆加油包还有可以加的 吴块钱办了现在 十块一百兆对 
您好您说 无限流量我帮您看一下请稍等 您这边有开通一个二十块钱的本地校园高校校园区内这个无线的十元流量达到四十五最低限速这种一个流量套餐的 对是的 
你好请讲 噢在家的话目前上有十块钱一百兆或者是多一点的有三十块钱一个g然后其他更多的也都有 您其实可以开三十的会比较合算因为三十块钱一个g嘛那今天已经十八号了今天并不会按照一整个月来扣费那实际上扣费只有扣您十四块钱左右那您可以用四百七十一兆然后月底取消 对下个月这个套餐不会帮您去上去然后您收到短信的话它是提示三十块钱一g您这个短信忽略掉因为十八号我们账单中扣费的话只有扣取您十四块钱左右那您实际上可以用这个四百七十一兆是啊 
您好请说 用完以后打电话就要正常计费了这目前是没有其他的这种叠加的通话包只能是按照每分钟一毛九正常计费 打电话方面目前是没有补充包所以要正常收费 还有什么可以帮助您 
你好 没有流量 二十八块钱只有送三十分钟国内通话来电显示 不客气就是您上网功能有开如果您上网会按一兆扣两毛九另外收钱 
好 您好请说嗯您好 您是说那个什么一个g的那个流量吗 呃您这个一个g的话是那个国内流量 
您好请讲 有现目前您现在是三十元五百兆我们现在已经这个月刚刚提速的三十元一g的流量 这个月流量没有用完不做累积改成二零一七年的那个套餐流量好吗 没有二十块钱最少充三十块钱开始算 
您好请讲 没错 对 对有包来电显示 
您好请讲 什么卡比较优惠您试一下流量多还是电话分钟数多还是什么 这个打电话的话您这个就是全国打电话都是一毛九一分钟计算呀 对啊 
您好您说 您您这个六十块钱六个g流量的话它是属于全国流量的所以您还剩下四千三四千八百三十兆它就就是全国流量您放心 噢那好的好的谢谢你啊没关系这是我应该做的还有什么可以帮您吗噢那没没事了哈祝您好心情 
您好请讲哎诶那个移动有一天一块钱的那个诶那个一一g的流量是吧它那是新买一个号码卡要跟主号绑定付费关系 对 恩还有什么帮助 户主对 
噢你好请说 请稍等帮您查询您要不另外买流量包我们现在有做一个六十元的流量包六十元您可以买六个g的流量有效期的话是一百八十天之内都可以用的 也可以买加油包加油包是十块钱一百兆那是六十元的比较合算一点 那要不然你开个三十块钱的三十块钱的是一个g流量现在开通的话当月按天折算差不多折半这样子 
您好请说 交通违章的话那您看一下是厦门的车嘛我们这个厦门有提供 那如果是这样子的话我这边就没办法查询能不能查得到我帮您转到厦门幺幺零直播这边您问一下这种的能不能查询可以吗 很抱歉这个的话不在我这边的话处理范围您如果要问的话我这边可以查询帮您转到我们这个我们厦门有一个专门的一个厦门幺零结果今天可以进行查处量为准的 
诶请说嗯 流量套餐稍等一下我看一下好的呃有十块钱一百兆三十块一g的还有六十块六个g的您看要开多少钱的 一百二十块钱一百兆对 没有十块都是一百兆的 
您好什么可以帮您 您要另外再开流量包是吗啊我们现在有个活动有个六十块钱六个g可以在一百八十天内使用的您看下要不要办理这个 其他的话那就是包月的套餐了三十块钱一个g五十块钱两个g这样子 十块钱只有一百兆啊加油包 
早上好请讲诶你好我想问一下那个移动现在有一个那个无限流量的那个套餐是吧有一百三十八的本地流量不限量它那个是说 流量达到三十个g费以后它网速会被限速掉的 限制就说那个二g网络网络网速了比较慢 我们那种开不了视频的 
您好请说 呃改套餐都要第二个月才能生效 对 对改套餐 
你好请说 那个是要在漳州本地打全国在郑州打的 不好意思 我还有没有三百分钟不客气嗯嗯嗯祝您阖家幸福再见 
你好请讲 祝陈什么 是本地打国内电话三百分钟不过您这个月在十号开通这张卡那这个月是两百一十七分钟 对然后国内打国内电话一百分钟那这个月就是有七十三分钟 
用了七十五了很高兴为您服务 家庭宽带您是要新装我们移动宽带吗还是什么 呃我们现在宽带它有一种便宜的是七十九套餐吧那那面有包含一个五十兆宽带和互联网电视账号包含一个g的流量还有两百分钟本地打全国 宽带这边的您是直接连wifi上网就没有什么流量了这个流量就没关系了嘛 
您很高兴为您服务 好您稍等我查一下哈 噢您这个目前的话用了一千九百九十一兆现在还剩下一千三百三十三 还剩下一千零三十三兆 
您好您说请讲请说 噢好的 那现在流量有做活动啊有个六十块钱六个g的有效期是一百八十天的用完以后自动取消您要开吗 一百八十天半年 
诶你好 呃请稍等我给您看看您好您的手机上面是指定爱奇艺软件的没错 嗯嗯没错 呃爱奇艺的话可以用啊就说您这手机上面在手机上开通一个爱奇艺的这个ipv键下载完之后呢您在爱奇艺的过程中比如说我们看电视啊看电影啊那您这边用的过程中都能连接上您是上网上不去吗还是说上网功能就没反应了 
您好高兴为您服务 有啊十块钱加油包一百兆 对啊那开流量套餐也可以有一个有加上 不用开了是吗 
您好 噢它是有流量的比如说三天六十八五天一百零八七天一百四十八的通话没有原来它有一些畅听日套餐暂停掉了现在没有诶 哎不用客气的还有什么可以帮您的 
您好请问什么可以帮助您 嗯您办的是学习套餐 呃有 下个月生效对 
您你好 好的我帮您看一下哈请您稍等统付流量就是集团就是您自己在外面买的那个流量啊 那应该是别人这边哪里给您赠送的反正这个就是不用钱的有额外七十兆可以用就是 不会啊我这边用的话就看到说是这个月那应该是别人充错了给您充到您自己的手机上来了就这个这个月用完就没了 
喂 您是要改这个套餐有国内流量五百兆还有省内流量五百兆还有本地拨打国内两百分钟另外是还有送一个宽带和电视账户噢 对哎 恩不客气还有什么可以帮助您哎嗯现在还 
您好请讲 他 嗯它是本地流量不限量一个只能在泉州 省内的话是也是一百八十八的全家统就是一七版的它是省内流量不限量 
您好请说 有啊比如说六十块钱六g流量半年之内用完都可以的 六g流量 对 
您好请说 诶我那边 这个套餐五十八是一百五十分钟通话流量一百五十兆 一千两百分钟那是八十八的 
您好请说 呃没有他就是说您的那个星级电话变成三星级用户它只是针对一个信用度的问题变成三星用户这个是没有没有关系的 哎对 噢不是的呃它因为我们这边有分一星级二十几分升级吗然后您现在三星就说给您改成三星级用户嘛就是这样子 
你好请讲 vip嗯请稍等我查看一下 为什么噢您好这边的话是有一个福州海峡职业技术学院的这个vip嗯 没有啊这打电话的呀这不是您开的吗因为我看了一下它这个也没有产生费用就是了然后它这个是呃喂片就是对方也有加入这个学校的微片的话主被叫合计五百分钟免费那如果您不是这个学校的那就没必要开通 
您好请讲诶你好 昨天是说您只能在福建省内用国内就说不管您在省内还在省外都可以使用 您现在南平本地就是省内跟国内流量都可以使用的 对呀国内我们省内国内肯定是包含省内跟省外啊 
您好 你好请讲 套餐吗 嗯您现在哪里有啊 
恩您好请说 可以呀五十块两g打电话两毛钱一分钟 嗯您保底消费八十八是不变的那您现在套餐八十八就关掉改到五十块钱的这个月流量不累积到下个月 全国通用流量过来 
您好请讲 呃您好请说 三十块钱一个g 是然后您现在开通那么这个月就只有五百三十八兆 
你好请说 呃有这种套餐就要三十八块钱的 对哎 呃这个只能低于三十八的以后才能办 
您好您说 你好 省内流量是吗 省内流量的话您目前的话就是说呃省内流量的话您这个套餐里面的话已经是有包含五百兆省内流量啊呃您的套餐的话是一个g的省内流量 
嗯 您好请讲 我看一下啊解决目前有四百八十七个积分 对 
你好 噢您的月租套餐的话是十八元这样子 是但是您这边还有一个三块来电提醒三块彩印两个另外六块钱那就十八加六就是二十四块钱这样子 来电提醒三块钱 
您好很高兴为您服务 我先查看一下哈稍等 呃流量是确实用完了现在还有半个月的时间要不这样子我给您开通那个五百三十八兆流量就是这个月用收您十五块七可以吗这个比较合算 五百三十八兆收十五块七如果说您另外开加油包是十元一百兆这个不合算我刚讲的是才收十五块多就五百多兆 
很高兴为您服务 哎您好 噢我帮您查一下啊您现在这个套餐里面的话我看有多少流量啊稍等一下感谢耐心等待我帮您看了一下您这套餐里面没有任何不对啊它每个月给您二十兆流量只有二十兆 对对对只有二十兆的噢 
您好请说 流量您这边是有个三十块钱的五百兆流量 可以啊您这五百兆记得用完一下噢 那我帮您登记好了不客气还有什么可以帮到您 
您好请讲 就是除了五十元本身套餐内的两g呢另外有买了一个七十块钱两g的流量包 那我现在七十块钱流量帮您退掉了下个月就没有了那这个流量的话呢就当月使用那您那个就是套餐的话目前查询还没有更改那您后续的话关注一下有没有收到更改的通知 嗯那还有其他需要帮助吗 
