一个 您好 请问 您 稍后 宽带 办理 还是 咨询 是 是 办理 我 做 的 是 幺 八八 的 套餐 原来 有 送 宽带 的 是 吗 哦   请问 好好 静安区 金 山路
您好 请 说   噢 这个 国内 流量 它 就 只有 五百 兆 的
您好 请 说   您 是 要 添加 流量 套餐 是 吗
嗯 嗯 嗯 嗯 嗯 您好   呃 现在 到 月底 了 就 只 剩 几天 啊 您 大概 要 多少 兆
您好 高兴 为您服务   加点 流量
对 您好 请 讲   您 到 香港 大 多久 呢
您好 请 讲   电话 对 十块钱 有 一 百兆 的 还有 三十块 钱 呃 您 三十块 的 已经 开过 了 那 现在 就 开 十块钱 一 百兆 的
需要   您好 请 讲
您好 请 讲   像 您 这 张卡 对象 订 了 一个 三十元 五百 兆 这个 可以 考虑 取消 然后 现在 比较 流 呃 比较 现在 比较 高 的 就是 那个 六十元 六个 g 的 就 您 之前 订购 一个 六十元 十二个 g 的 然后 如果 你 用 完 了 话 您 可以 再订 一个 这个 订 六十元 六个 g 了 因为 它 这个 比 你 那个 三十元 五百 兆 划算 因为 什 呃 六十元 六个 g 平均 过去 十元 一个 g 了 那 你 再 去 订 那个 三十元 五百 兆 之前 比较 贵 了 现在 比 比较 低 了 您 的 三十元 五百 兆 可以 考虑 取消 掉 然后 接着 订是 六个 g
你好   哎
您好 很 高兴 为您服务 哎 你   你好
哎 您好 请 讲   我 看 一下 您 这边 的话 是 一个 叫做 集团 网 每个 月 三块 钱 有 一个 三百 分钟 拨打 集团 网 的 电话 免费
很 高兴 为您服务 哎   比如说 您 这 张卡 现在 目前 是 呃 要 流量 多一些 的 是 吧
嗯 嗯   喂 您好 美女 我 想 请问 一下 有没有
您好 有 什么 帮助 您   流量 比较 多 您 现在 已经 是 新版 五十八 的 是 这个 三 g 不够 用 对 吧 那 您 要 不 就 在 剩 一个 八十八 嘛 三十八 是 那个 五 g 的 就 比较 多
您好 很 高兴 服务   两块钱 一天 的 流量 包 这个 暂时 没有 的 不好意思
您好 很 高兴 为您服务   呃 有 啊 女士
您好 请 讲   嗯 大概 要 多少 兆 呢 因为 我们 有 一个
您好 请 讲 你好   呃 这个 是 点播 到 手机 有 点播 到 这些 梦网 业务 才 有 产生 费用 我 可以 把 移动梦网 总开关 关了 吧 避免 下次 产生 的 好 吗
您好 请 说   你好
您好 请 说   流量 套餐 是 吗
您好 有 什么 帮到 您 的 吗 喂 你好   是 的
您好 请问 什么 可以 帮 您   嗯
你好   流量 套餐 是 吧 呃 一般 都 在 就是说 我们 省内 跑步 会 去 外省 吧
您好 很 高兴 为您服务 您好   呃 又 是 十元 一 百兆 的 加油 包 马上 可以 用 下个月 会 自动 取消 一 百兆 不要
您好 很 高兴 为您服务   有 的 您 要 开通 了 一个 任 我 用 的 一个 流量 那个 是 盖 学校 指定 区域 里面 用 的 那 无线 了
嗯 您好 您 请 讲   这边 给 您 查询 您 的 一百 分钟 的话 就是 在 那个 莆田市 区 打 国内 电话 的 时长 不 含 港澳台
您好 请 讲   啊 就是 您 套餐 里面 它 有 分 共享 额 不可 共享 的
恩好 您好 请 讲 呃   是 没错 在 福建省 内 的话 流量 不 限量 但是 它 的 通话时间 就 变成 一千二百 分钟 就 不是 您 现在 用 了 两千四百 分钟 了
您好 有 什么 可以 帮 您   只有 一百 分钟 是 全国 都 可以 用 剩余 三百 分钟 是 南平 本地 拨打 全国
您好 请 讲   我 帮 您 看 一下 这 张卡 套餐 里面 有 包含 一 百兆 的 国内 流量
您好 请 讲   恩对 是 的
您好 很 高兴 为您服务   省内 闲时 流量 是 一个 夜间 流量 包
嗯 你好 请 说 嗯   噢 您 现在 正常 再 再 要 再 补 一个 流量 嘛 对 吧
您好 很 高兴 为您服务   嗯 稍 等 所以 这个 套餐 它 是 三百 分钟 然后 是 一点 啊 那个 两个 g 的 流量
嗯   您好 请 讲
你好 您好 很 高兴 为您服务 哎 你好 恩 你好   中国移动 的 这个
早上好 很 高兴 为您服务 诶 你好 您好   诶 你好
流量 流量 我们 现在 确实 有个 活动 有个 二十元 两个 g 的 从 十一月 一号 生效 的 有 需要 吗   嗯
啊 您好 很 高兴 为您服务   国内 流量 我们 的话 最低 是 三十元 一个 g
你好   流量 的 套餐 这边 现在 是 您 是 说 要 咨询 有 含 宽带 跟 流量 的 那种 套餐
嗯 您好 很 高兴 为您服务   你好
十八元 的 您好 您 说   那种 十五元 一 g 的 流量 包 必须 要 您 的 套餐 要 两百 三十八 元 套餐 才能 订购 的 但是 就是 两百 三十八 套餐 才 有 开放 的
您好 请 讲   八块
您好 请 讲   有 啊 五十八 五十八 赠送给 您 流量 是 三个 g 五百 兆 国内 两千五百 七十二 兆 的 省内 流量
您好 请 讲   诶 您好
再见 为 您   你好
您好 请 讲   噢 您 是 说 分钟 数 比较 多 的 对 吧
您好 高兴 为您服务   呃 全国 通用 的 我 看 一下 流量 全国 通用 的话 那 这边 是 有 那种 三十块 钱 一个 g 的 五十块 钱 两个 g 的 这种 流量 包 现在 会 比较 合算 一些
您好 请 说   嗯
您好 问   最低 套餐 帮 您 看 一下 您 稍 等 嗯 目前 的话 我们 人工 台能 更改 的 是 十八元 套餐
您好 喂   对
您好 很 高兴 为您服务   您 说 你 下载 的 时候 可 不用 那个 流量 是 吗
哦 哦   您好 高兴 您 服务
您好 请 讲   只能 用 一百 一个 g 啊 先生
那 行 您好   对 没错
啊 你好 请 说   新飞 享 系列 的 吗
对 您好   六百 兆
嗯 您好 很 高兴 为您服务 呃 我 我 想 问 一下 就 本机 这个 的话 行开 全球通 的话 现在 有 什么 套餐 您 目前 就是 全球通 的 目前 是 全球通 了 现在 哪个 价位 的 套餐 五十八 的 噢 五十八 的 嗯 行 好好 还有 什么 可以 帮 您 啊 暂时 没 了 恩 好 的 祝您 生
您好 很 高兴 为您服务   呃 对 每天 扣 一块钱 五百 兆
嗯 你好 请 说   诶 您好 请 说好
您好 请 讲   呃 八块
哎 好 请 说   呃 对
您好   嗯 另外 一个 号码 是 吗 移动 号码 是 吗
您好 有 什么 可以 帮助 您   那 您 是 都 在 外地 用 吗
您好 您 请 说   两 gd
您好 请 说   这个 是 本地 校园 流量
十八 飞享 套餐 全球通 的 包含 一百 分钟 通话 一 百兆 流量 和 来电显示   嗯 您 稍 等 我 看 一下 这个 月 的 情况 三十 一块 一分
你好 请 讲   诶 你好
宽带 早上好   一千两百 分钟
您好 你好   嗯 因为 那个
看看   您好 请 说 服务 诶 你好
您好 请 说   我 想 再
您好 很 高兴 您 服务   您好
您 可以 再订 加油 包 的 或者 多一点 的 流量 套餐 都 可以   嗯 行 那 我 就 帮 您 先开 一个 加油 包 十块钱 一 百兆 这个 可以 马上 使用 的 下个月 自动 关闭
您好 请 说   多少 钱 的
您好 很 高兴 为您服务   呃 是 什么
怎么样   嗯 还有 什么 可以 帮 您 的 吗
您好 请 讲   省内 流量 的话 套餐 里面 的 它 是 校园 特享 包 你 本机 的话 稍等一下 帮 您 查看 一下
您好 很 高兴 为您服务   我 帮 您 检查一下 请 您 稍 等
您好 很 高兴 为您服务   里面 给 您 赠送 的 是 一百 分钟 本地 拨打 国内 通话 时长 跟 五百 兆 流量
您好 请 说   五五 千兆 嘛 五千 兆 有没有 这个 有个 八十八 的 套餐
您好 请 说   上网 流量 我 看 一下 您 只要 这个 月 的 是 吗
什么 费用 您好 什么 帮 您   呃 流量 额外 开通 包 的话 我们 现在 有 三十块 钱 一个 g 的 然后 五十块 钱 两个 g 等等 的 这些 套餐
您好 请 讲   有 最低 八块钱
您好 请 讲   八元 不是 啊 他 觉得 优惠 区内 打电话 两百 分钟 啊 优惠 区内
您好   稍 等 我 帮 您 查看 一下 这个 九块 他 打电话 每分钟 一毛 九 没有 免费 的 分钟 数
您好 很 高兴 为您服务   对 确实 有 这个
中午 好   还有 啊 十块钱 一 百兆 加油 包 还有 可以 加 的
您好 您 说   无限 流量 我 帮 您 看 一下 请稍等
你好 请 讲   噢 在家 的话 目前 上 有 十块钱 一 百兆 或者 是 多一点 的 有 三十块 钱 一个 g 然后 其他 更 多 的 也 都 有
您好 请 说   用 完 以后 打电话 就要 正常 计费 了 这 目前 是 没有 其他 的 这种 叠加 的 通话 包 只能 是 按照 每分钟 一毛 九 正常 计费
你好   没有 流量
好   您好 请 说 嗯 您好
您好 请 讲   有现 目前 您 现在 是 三十元 五百 兆 我们 现在 已经 这个 月 刚刚 提速 的 三十元 一 g 的 流量
您好 请 讲   没错
您好 请 讲   什么 卡 比较 优惠 您 试一下 流量 多 还是 电话 分钟 数多 还是 什么
您好 您 说   您 您 这个 六十块 钱 六个 g 流量 的话 它 是 属于 全国 流量 的 所以 您 还 剩下 四千 三 四千八百 三十 兆 它 就 就是 全国 流量 您 放心
您好 请 讲 哎 诶 那个 移动 有 一天 一块钱 的 那个 诶 那个 一一 g 的 流量 是 吧 它 那 是 新 买 一个 号码 卡要 跟 主号 绑定 付费 关系   对
噢 你好 请 说   请稍等 帮 您 查询 您 要 不 另外 买 流量 包 我们 现在 有 做 一个 六十元 的 流量 包 六十元 您 可以 买 六个 g 的 流量 有效期 的话 是 一百八十 天 之内 都 可以 用 的
您好 请 说   交通违章 的话 那 您 看 一下 是 厦门 的 车 嘛 我们 这个 厦门 有 提供
诶 请 说 嗯   流量 套餐 稍等一下 我 看 一下 好 的 呃 有 十块钱 一 百兆 三十块 一 g 的 还有 六十块 六个 g 的 您 看 要 开 多少 钱 的
您好 什么 可以 帮 您   您 要 另外 再开 流量 包是 吗 啊 我们 现在 有个 活动 有个 六十块 钱 六个 g 可以 在 一百八十 天 内 使用 的 您 看 下 要 不要 办理 这个
早上好 请 讲 诶 你好 我 想 问 一下 那个 移动 现在 有 一个 那个 无限 流量 的 那个 套餐 是 吧 有 一百三十八 的 本地 流量 不 限量 它 那个 是 说   流量 达到 三十个 g 费 以后 它 网速 会 被 限速 掉 的
您好 请 说   呃 改 套餐 都 要 第二个 月 才能 生效
你好 请 说   那个 是 要 在 漳州 本地 打 全国 在 郑州 打 的
你好 请 讲   祝 陈 什么
用 了 七十五 了 很 高兴 为您服务   家庭 宽带 您 是 要 新装 我们 移动 宽带 吗 还是 什么
您 很 高兴 为您服务   好 您 稍 等 我查 一下 哈
您好 您 说 请 讲 请 说   噢 好 的
诶 你好   呃 请稍等 我 给 您 看看 您好 您 的 手机 上面 是 指定 爱奇艺 软件 的 没错
您好 高兴 为您服务   有 啊 十块钱 加油 包一 百兆
您好   噢 它 是 有 流量 的 比如说 三天 六十八 五天 一百零八 七天 一百 四十八 的 通话 没有 原来 它 有 一些 畅听 日 套餐 暂停 掉 了 现在 没有 诶
您好 请问 什么 可以 帮助 您   嗯 您 办 的 是 学习 套餐
您 你好   好 的 我 帮 您 看 一下 哈请 您 稍 等 统付 流量 就是 集团 就是 您 自己 在 外面 买 的 那个 流量 啊
喂   您 是 要 改 这个 套餐 有 国内 流量 五百 兆 还有 省内 流量 五百 兆 还有 本地 拨打 国内 两百 分钟 另外 是 还有 送 一个 宽带 和 电视 账户 噢
您好 请 讲   他
您好 请 说   有 啊 比如说 六十块 钱 六 g 流量 半年 之内 用 完 都 可以 的
您好 请 说   诶 我 那边
您好 请 说   呃 没有 他 就是说 您 的 那个 星级 电话 变成 三星级 用户 它 只是 针对 一个 信用度 的 问题 变成 三星 用户 这个 是 没有 没有 关系 的
你好 请 讲   vip 嗯 请稍等 我 查看 一下
您好 请 讲 诶 你好   昨天 是 说 您 只能 在 福建省 内用 国内 就 说 不管 您 在 省内 还 在 省外 都 可以 使用
您好   你好 请 讲
恩 您好 请 说   可以 呀 五十块 两 g 打电话 两 毛钱 一分钟
您好 请 讲   呃 您好 请 说
你好 请 说   呃 有 这种 套餐 就要 三十 八块钱 的
您好 您 说   你好
嗯   您好 请 讲
你好   噢 您 的 月租 套餐 的话 是 十八元 这 样子
您好 很 高兴 为您服务   我先 查看 一下 哈稍 等
很 高兴 为您服务   哎 您好
您好 请 说   流量 您 这边 是 有 个 三十块 钱 的 五百 兆 流量
您好 请 讲   就是 除了 五十元 本身 套餐 内 的 两 g 呢 另外 有 买 了 一个 七十块 钱 两 g 的 流量 包
您好 请 说   您好
您好 请 说   呃 什么 意思 就 把 套餐 改掉 是 吗
很 高兴 为您服务   嗯 您 都 在 泉州 本地 用 吗
您好   送 了 多少 分钟 还 剩 多少 流量 谢谢 哎 好 的 帮 您 看 一下 您 稍 等
宽带 您好 很 高兴 为您服务   呃 流量 套餐 您 是 要 大概 需要 多少 呃 多少 的 下 长期 用 还是 说 就是 连续 使用
您好 请 讲   一百 分钟
你好 很 高兴 服务   多少 元 的 套餐 您 再 讲 一下 先生 您 要 转 哪个 套餐
您好 请 讲   对 三十八 是 有 三百 分钟 通话 现在 一点 五 g 省内 流量
您好 请 讲   现在 有 新 的 那种 和 家庭 套餐 像 九十九 的 它 上面 总 的 是 本地 打 国内 电话 三百 分钟 有 一 g 的 是 全国 流量 一 g 的 是 省内 流量 然后 宽带 是 有 一 百兆 这种 是 新版 的 您 可以 到 营业厅 里面 去 改新 的 套餐
您好 请 讲   无限 套餐 也 是 说 流量 没 限制 的 吗
你好 请 说 对   您 是 说 这个 月 补充 的 吗
您好 请 讲   家庭网 是 吗
您好 请 说   全球通 八十八 套餐 是 吗 对 对 对 从 飞享 八八 套餐 是 有 五 g 的 流量 是 五 g 流量 在 省内 都 可以 使用 另外 还有 赠送 一千两百 分钟 通话 分钟 数 可以 用
您好 很 高兴 为您服务   流量 包 比较 多人办 了 有 一款 六十块 钱 六个 g 的 它 是 一次性 扣 六十 给 六个 g 流量 然后 半年 之内 用 完 就 好 了
嗯 您好 请 说   噢 也 是 飞享 五十八 套餐 里面 是 有 三个 g 流量 在 省内 可以 用 然后 打电话 是 有 四百 分钟 其中 呢 有 一百 分钟 是 全国 的 另外 三百 分钟 有 要求 必须 在 莆田 本地 打 您 平时 会 不会 在 外地 经常 用 吗 出差 漫游 啊
很 高兴 为您服务   现在 您 还 参加 了 一个 流量 的 活动
您好 请 说   噢
幺 您好 请 讲   流量 包是 吧 流量 包 现在 有个 六十元 有 六个 g 的 全国 流量 有效期 可以 用 半年 的 平均 下来 就 十块钱 一个 g 这 样子
您好 请 讲   恩 您好
您好 很 高兴 为您服务   您好 很 高兴
您好 请 说   您好
您好 有 什么 可以 帮 您 呃   就是 无限 流量 是 没有 线 的 那个 无限 流量 还是 没有 限量 的 有 无限 流量 没有 限量 了 很多 这 样子 啊 没有 限量 的 无限 流量 的话 我们 这个 这种 专门 的 卡 是 没有 我们 有 套餐 是 这么 呃 对 啊 我 就是 问问 我 我 就 说 有没有 说 它 那种 套餐 噢 还有 一百
高兴 您 服务   您好
喂 您好 很 高兴 为您服务 您好 很 高兴 为您服务 诶 您好 你 说   啊 套餐 有 啊 是 五十块 两 g 的 流量 包是 按天 折算 的 像 今天 都 十八号 了 吗 今天 十八号 您 办理 五十块 两 g 的 我们 就 收 您 二十三 块 零 一分 有 九百 四十九 百 四十二 兆 今天 开 的话
您好 请 讲   没有 八十八 无限 流量 无限 流量 是 这种 是 一百三十八 就 您 现在 这个
下午 好   一天 一 g 这个 是 流量 王 的 号码 卡 正在 重新 入网 一张 再 重新 买 一张 流量 王 的 号码 然后 跟 哪个 号码 进行 捆绑 付费 关系 才 可以 啊
您好 请 讲   稍 等 啊
您好 请 说   优惠 的 流量 套餐 现在 比较 优惠 六十元 六 g 的 了
诶 你好 您好 请问 什么 可以 帮到 您 呢 再见   嗯 这 号码 现在 这 张卡 新款 的 它 通话 分钟 数是 四百 分钟 上网 流量 套餐 的话 是 有 三个 g 但 由于 您 是 在 十月 十七号 十七号 买 的 我们 套餐 金额 试着 办 的 所以 只收 您 二十八 块 六 毛钱 的 月租 然后 您 的 数据 上网 流量 我们 这边 折算 完 之后 应该 只 剩下 一点 五个 g 左右 通话时间 都 全部 加 起来 有 一百九十八 分钟
你好 您好 请 讲   噢 您 现在 套餐 的话 是 八十八 的 然后 每个 月 通话 的话 有 一千两百 分钟 全国 的 都 可以 打 流量 每个 月 有 五个 g 省内 的 之前 当月 费用
您好 很 高兴 为您服务   国内 流量 就是说 在 全国 都 可以 通用 的 省内 流量 就 只能 在 福建省 内用
您好 很 高兴 为您服务   短信 的 有 十块 两百 条 二十块 四百 三十块 六百 兆
您好 请 讲   安心 包它 不用 收费 这个 的话 是 长期有效 的 在 您 手机 流量 五百 兆 用 完 之后 如果 您 有 接着 上网 它会 自动 按照 十块钱 一 百兆 给 您 补充
帮助 您 很 高兴 为您服务   流量 套餐 有 啊 流量 套餐 比如说 您 套餐 里面 有 五百 兆 国内 流量 然后 我们 有 另外 送给 您 一个 g 福建省 的 流量 啊 然后 噢 现在 在 六十 兆 如果 流量 不够 用 可以 另外 开 流量 套餐 比如说 有 三十块 一个 g 的 另外 开 也 可以 啊
您好 请 说 呃 喂 你好   八块钱 的 是 吗 对 噢 有 啊
您好 很 高兴 为您服务 您好   就是 它 有 送 您 一个 宽带 一 百兆 然后 送 您 的 互联网 电视 的 账号 然后 额外 送 您 四个 g 的 流量 还有 六百 分钟 的 通话
您好 很 高兴 为您服务   诶 您好
您好 请 说   喂 你好
您好 很 高兴 为您服务 啊   那 这样 我们 没有 那种 本地 的 流量 套餐 我们 这边 开 的 套餐 都 是 全国 通用 的 不管 您 在 本地 或者 在 外地 都 能 用 的 这种 的
您好 很 高兴 为您服务   无限 流量 您 的 流量 是 吧 流量 的话 如果 是 漳州 本地 不 限量 的话 是 一百三十八 怎么
嗯 您好 请 讲   嗯 嗯
您好 请 说   国内 流量 包 您 稍等一下
您好 请 说   噢 你 现在 段 的 是 属于 三十八 套餐 如果 比较 多 的话 我们 有个 新飞 享 五十八 套餐 套餐 月租 十八块 钱
你好 请 说   优惠 的话 就是 六十元 六 g 的 活动 最 多 可以 用 一百八十 天 您 现在 人 是 在 这个 福建省 内 吗
您好 请 讲   取消
啊 您好 高兴 您 服务   呃 您 现在 套餐 是 五十八 的 套餐 一百五十 分钟 通话 一百五十 兆 流量
您好 请 讲   前两天 他 说 订 的 套餐 是 什么样 的 套餐 我 这
您好 请 请 讲   噢 它 是 说 您 这边 有 重新 星级 您 是 担心 的 根据 您 哎
您好 请 讲   我 看 一下 稍 等
哎   嗯 现在 帮 您 看 一下 对 也 是 幺 三九 套餐 是 有 这个 送 宽带 的 那 如果 您 要 改 套餐 要 把 宽带 取消 才能 改
早上好 您 说   每天 五百 兆 省内 流量
您好 请 说   您 这个 十八块 钱 的 套餐 有 一 百兆 的 流量
您好 很 高兴 为您服务   流量 是 吧 我 帮 您 看 一下 稍等一下 对 您 这边 还 说话 是 校园 四八 套餐 就 套餐 四十八 块钱 它 是 有 包含 五百 兆 的 国内 流量 呃 还有 一个 是 两千五百 七十二 兆 的 校园 流量 然后 一个 g 的 这个 闲时 流量
您好 请 讲 喂 你好   校 讯通
您好 请 讲   我 看 一下 噢
你好 很 高兴 为您服务   呃 港澳台 是 吗 港澳台 漫游 功能 呃 您 说
你好 请 讲   是 八百 三十八 的
您好 很 高兴 为您服务   嗯 新飞 享 八十八 有 五个 g 的 流量 五百 兆 国内 通用 流量 四千 六百 二十 兆 的 一个 省内 流量
你好   有 吗 有 五十八 的 有
您好 请 说   按 什么 流量 您 是 说
呃 您好 请 说   没有 丰台 现在 最低 有 那个 一百三十八 套餐 那个 本地 流量 无限量 使用
祝您   您好 请 说
嗯 您好 请 讲   手机 流量 是 吧
下午 好   噢 现在 没有 专门 针对 通话 分钟 数 的 额外 加 的
你好 请 说 您好   噢 那 您 在 莆田 吗
您好 请 讲   新飞 享 三十八 没错 给 您 改 那个 套餐 是 吗
您好 请 讲   先生 您 这个 八十八 套餐 里面 都 是 国内 呃 您 这 省内 流量 是 有 有 赠送 您 省内 呀 如果 到 福建 就 可以 使用 了
你好 请 说   另外 一种 新 推出 的 套餐 它 有 一点 五 g 但是 您 这 号码 改不了 的 因为 它 这个 套餐 有 要求 原来 套餐 要 小于 三十八 的 号码 它 才能 改
我 看 一下 您 稍等一下 流量 您 现在 用 的 是 五十八 您 只要 开 这个 月 吗 还是 每个 月 都 要   嗯 现在 有 一个 三十块 一个 g 因为 今天 十七号 这个 月 开通 收 您 十四块 八 五百 零四兆 这个 比较 优惠
你好 请 讲   对 有 是 有 这个 套餐
您好 请 讲   您好
您好 请 讲 嗯 那个   好 帮 您 看 一下 好 的
您好 请 说   噢 在 省内 还 在 省外 呢
您好 请 说 您好 请 说 哎   套餐 是 吗
您好 很 高兴 为您服务 您好   您 这 要不然 您 可以 帮 您 转 六十块 六个 g 流量 有效期 一百八十 天 您 就 办 这种 这种 比较 便宜
您好 请 讲   请稍等 我 帮 您 看 一下 噢 它 是 说 您 手机 有 一个 机顶盒 那个 服务 是 到 这个 月 月底 到期 的 到期 如果 您 没有 取消 的话 那 就 电视 费用 一个月 就 十八块 钱 的 电话费 里面 扣 了
您好 很 高兴 为您服务   请稍等 我 先 帮 您 看 一下 您 的 业务 噢 有 您 这边 就 一个 基本 包 那 您 这边 到 月底 的话 大概 需要 多少 兆龙
嗯 哼 您好 很 高兴 为您服务   套餐 的话 看 您 个人 需要 多少 的 都 有 啊
请 讲 您好 请 讲   六 您 是 流量 用 的 比较 多 是 吧
嗯 嗯 你好 请 讲   换 什么样 的
你好   噢 没有 它 这个 是 套餐 里面 它 就是 一块钱 五百 兆 的
好 的 您好 请 说   呃 流量 套餐 十元 加油 包一 百兆 您 这个 已经 有 安心 包 然后 其他 的 包月 的 您 已经 有 一个 五十元 一个 g 的 了 然后 您 是 想 这个 月 生效 吗 这个 月 生效 的 只有 六十元 六 g 的 一百八十 天 有效 只能 开 这种 其他 不能 开 我 换彩铃
您好 很 高兴 为您服务   呃 改个 套餐 可以 吗 我 是 建议 改成 三十八 的 套餐 流量 会 更 多一点
你好 早上好   呃 我们 现在 您 八十八 往上升 的话 有 一个 一百三十八 的 本地 流量 无限 是 这 样子 的
您好 高兴 为您服务   幺 八八 套餐 好像 是 流量 已经 是 无限量 的 是 吗 对 您 在 福建省 内 流量 不 限量 用 对 去 了 外省 有 两 g
您好 请 讲 有 什么 可以 帮 您   流量 有 什么 套餐 是 吗 请稍等 为 您 看 一下 噢 噢 现在 目前 有个 流量 活动 是 六十块 钱 六个 g 半年 之内 使用 的 您 是 这个 月 想开 流量 吗
啊 您 请 说   幺 八八 的 您 都 是 在 福建省 内 使用 是 吗
宽带 您好 您 请 说   您 在 本地 用 吗 呃 对 您 大概 一个月 需要 多少 啊 两百 二
您好 请 说   出国 到 哪个 国家
呃 您好 请 讲   流量 包有 多少 是 吗 诶 您 稍 等 呃 我 这边 帮 您 查询 本机 的 流量 包 呃 您 现在 额外 再开 是 吗 我们 现在 目前 有 推出 一个 活动 六十块 钱 有 六个 g 有效期 有 一百八十 天
早上好 请 说   噢 那 您 看 需要 多少 流量 呢 比如说 十块钱 一 百兆 或者 是 说 您 现在 办 这种 包月 折算 的 比较 比较 划算 一些 比如说 那个 原价 是 三十块 钱 呃 呃 一个 g 的 现在 今天 办 因为 今天 十八号 嘛 它 今天 实际上 只会收 您 呃 十三块 然后 有 四百 七十一 兆 可以 用
您好 请 说   那个 是 要 专门 您 再 换 那个 流量 日租卡 才 有 的 那 它 每天 一元 的 五百 兆 流量 是 在 福建省 内用 都行 不管 白天 晚上 那 那 去 哪里 里面 那 张卡 这个 是 在 ip 上面 话 零取 幺 零零 八六 营业厅
您好 请 讲   多块 这个 请问 要 咨询 什么 我 也 能 听不清
您好 什么 可以 帮到 您 的   无 线路 由 跑 到 先生 您好 您 这边 的话 都 是 在 本地 使用 和 外地 使用 呢
您好 很 高兴 您 服务 您好   噢 就 这个 月 用 的 是 吗
您好 请 说 听 得到 吗   呃 优惠 的 您 是 指 流量 呢 还是 打电话 方面 的
您好 请 说   呃 您 这边 的话 这边 是 有 设置 那个 按次 的 来电 提醒 呢 平常 如果说 没用 的话 我们 我本 我 就 帮 您 关掉 吧 它 那个 是 关机 没 信号 的 时候 短信 提醒 啊
嗯 嗯 您好 很 高兴 服务   一个 星期 套餐 流量 无限 对 呀 还是 我们 这边 只有 一个 是 幺 三八 套餐 它 是 在 龙岩 地区 无限量 上网
你好 行   可以
恩 你好 您 请 说   恩 你好
您好 很 高兴 为您服务   就 等 于是 有 办理 了 一条 宽带 您 是 哪 一个 就 您 这个 号码 是 吗
