您好 很 高兴 您 服务   噢 我 这个 月 的 话费 帮 我发 一下 吧 看看   因为 给 您 发过来 下来 就 可以 来 很 抱歉 当时 吧 行好 的 那 已经 给 您 发手机 上 了 注意 查收 一下 嗯 还有 其他 可以 帮 您 的 吗
您好 请 讲   你好 能 不能 把 我 就是 这 几天 的 消费 明细 发 一份 给 我   噢 现在 目前为止 这个 是 欠费 停机 状态 您 稍等一下 噢 我 这边 看 什么 开机 然后 发给您 您 稍 等   噢 特别 是 呃 昨天 我 到底 用 了 什么 东西 它 有 有 有 电说 欠费 了
你好   你好   您 请 讲   请 给 我 把 那个 七 八九月份 那个 可以 用 话费 给 我 打 过来 好不好 发短信 给 我
您好 请 说   喂   你好 嗯 您好   我 就是 我 想要 我订 一个月 的 话费 消费 账单 能 不能 给我发 一下 啊
没   您好 请 讲 喂 你好   诶 您好 先生   诶 诶 我 想 问 一下 我 现在 这个 卡 的 套餐 资费 能 不能 发过来 给 我 看 一下 发短信
哎 你好 请 讲 您好 没有   你 帮 我 这个 这个 手机 的 号码 那个 话费 工作 那个 总共 多少 话费 欠 多少 钱 还有 那个 包月 的 多少 你 帮 我发 一下 给 我 好不好   嗯 可以 的 我 这边 有 看 呃 在 您 这个 发送给 您 的 基础 套餐   嗯 嗯
您好 很 高兴 服务 唉 你好 是 这样 那个 我 想 麻烦 你们 把 那个 我 七月份 的 那个 手机 那个 话费 账单 给我发 到 那个 人家 的 是 吗 唉 唉 对 对 对 对 对 发送 啊   发票 的话 您 这边 是 机主 姓名 报 一下 我 帮 您 进行   发送 一下 总是   好 稍 等 那 这边 的话 就是 把 七月份 发票 推送 给 您 了 注意 查收 一下 发到 你 幺 三九 邮箱 里面 了 啊
您好 很 高兴 为您服务 喂 您好   我 我 想 问 那个 六月份 什么 嗯 六位 是 吗 月份 电子 发票 发到 幺 三九 邮箱 里面   哎 好 的 恩 请稍等 好 的 您 嗯 先生 您 的 机主 姓名 报 一下   按量
您好 很 高兴 为您服务 唉 你好 能 到 那个 八月 和 九月份 就是 那个 话费 话费单 发到 我 的 邮箱 里面 去 嘛 八月   您 说 是 报 报销 是 发票 吧 要 报销 的 话费 发票 八月份 九月份 的 发票 对 吧 呃 手机 服务 密码 知道 哇   不 知道   身份证 号码 是 您 麻烦 报 一下
您好 很 高兴 为您服务   啊 你好 我 是 呃 那个 那 我 要 那个 电信 那个 那个 那个 发票   噢 发票 的话 就是   发到 我 邮箱 了 对
您好 很 高兴 为您服务   唉 你好 我 这边 那个 那个 那个 账单 呢 接收 到 您 六月份 对 呀 你 能 把 五月 从 二月份 到 现在 都 从 二月份 到 五月份 多少 流   可以 那 我 发到 您 幺 三九 邮箱 里面 您 手机 密码 知道 吗   你 发到 我 的 呃 另外 一个 邮箱 吧 可以 你 这样 像 你们 一样 我 觉得 你们 里面 设置 过 的
您好 很 高兴 为您服务   唉 你好 是 这 样子 的 我 那个 需要 可以 到 二十一 号 的 那个 发票 然后 我 昨天 已经 充值 了 你 可以 帮 我 把 发票 反映 一下 吗   你 是 说 要 那个 充值 发票 吗   呃 就是 那个 报销 的 吗 报销 话费 的 发票
您好 很 高兴 为您服务   呃 您好 就是 我 那个 这个 月 手机 话费 交了 然后 请问 您 可以 帮忙 把 那个 发票 发到 那个 我 的 电子邮箱 吗   嗯 请问 您 手机号码 是 多少   嗯 幺 三五
您好 很 高兴 为您服务   啊 小姐 你好 我 是 那个 本 机主 的 那个 想 问 一下 就是说 我 现在 打 幺 三九 的 邮箱 因为 我们 公司 手机 是 可以 有 一个 报销 的 报销 然后 麻烦 你 可以 帮 我 推送 六个月 之前 的 一个 手机 话费 的 发票 吗   恩 可以 我们 可以 推送 两月 到 七月 的 啊 然后 十号 到 您 幺 三九 邮箱 对 吧   对 对 对 您 现在 帮 我 催 一下 好 嘛
高兴 为您服务   喂 你好 我 就 想 下载 一下 我 的 电子 发票   哪个 号码 您 报 一下   噢 幺 三七
为您服务   啊 你好 那个 我 我 这里 是 这样 的 你们 那个 就是 电子 发票 了 给 我 我 那个 电子 发票 结束 的 那个 邮箱 要   变 一下 恩好 的 我 帮 您 改 一下 请问 您 是 本机 的 客服 密码 知道 吗   知道
您好 很 高兴 为您服务   唉 你好 是 这 样子 我 想要 一下 二月份 跟 五月份 的 那个 发票   发票 对 吧 这个 用户 我 帮 您 发过来 您 手机 密码 知道 吗   手机 好像 没 设 密码 呀
您好 很 高兴 为您服务   唉 你好 我 这边 需要 你 重发 五月份 那个 发票   重 发 五分 发票   唉 对 因为 我 没有 收到 这个 问 我 移动 手机 的 号码 收到 十二个 套餐 然后 要 要 不要 报给 你 什么 什么 号码 手机号 单位 的 嗯
很 高兴 为您服务 您好 请问 听 得到 吗 嗯 请 说   唉 信号 有点 不好 唉 你好   喂 你好   喂
您好 很 高兴 为您服务   喂 你好 把 我 那个 现在 五月份 充值 的 发票 发到 我 幺 三九 邮箱 吗   呃 充值 发票 对 吧 充值 发票 一点 发票 不能 重复 开 的 先 帮 您 开通 这个 表 还有 多少 钱 稍等一下 就 觉得 这个 周期 的 啊 嗯 嗯 稍等一下   对 的
您好 很 高兴 为您服务   恩恩 我 我们 有 我 我 这个 八月份 都 有 新 的 账单 没 成功 嘛 我 每个 月 都 有 雪域 电讯 账单 了   请 您 稍等一下 啊 我 看 一下   对
您好 很 高兴 为您服务 唉 喂 你好 就是 我 想开 一下 那个 话费单 的 电子 发票   嗯 是 要 几月份 呢   呃 七月份 八月份 九月份 的   七八 九三个 月 帮 您 幺 三九 邮箱 里 可以 吗
那 稍后 为您服务   小姐 像 我 现在 的 电子 发票 我要 那个 他 那个 电子 发票   那 是 几月份 的 发现   呃 七八 九 这个 看不出来 我 现在 七八 九 这 三个 月 的话 是 多少 钱 吗
您好 很 高兴 服务   唉 你好 这样 吧 我 昨天中午 打电话 问 你们 叫 我 那个 三四 五月 的 那个 电子 发票 那个 账单 我 让 他 发到 我 邮箱 是 第一个 那 那 你 发到 我 幺 三九 的 邮箱 吗 一八 也 不是 三次 我 不是 对应 的 那个 嗯 我 重新 发 一下 好 吧   可以 的 机主 姓名 麻烦 您 报 一下   星湖
您好 很 高兴 为您服务   喂 你好 我 想 那个   哦   就是 那个 那个 那个 什么 电子 发票 了 你 能 帮 我 打印 一下 吗 就是说 发到 我 邮箱 里
很 高兴 为您服务   喂 你好 我 六月份 的 那个 电话费 昨天 已经 结清 了 麻烦 你 能 不能 把 电子 发票 发到 邮箱 里   没 问题 的 您 的 名字 报 一下   耳东 陈 美丽 的 丽姿 汇汇
您好 兴 为您服务   喂   请问 还有 什么 可以 帮 您   唉 喂 小姐 唉 我 想 那个 呃 叫 什么 我 那个 那个 手机 啊 就是 那个 那个 呃 话费 那个 付 了 就是 五月份 的 付 了 以后 然后 发票 要 给 我 那个 那个 要
您好 很 高兴 为您服务   喂 你好 请 帮 我 一张 手机卡 的 那个 村 嗯 刚才 有 一个 礼拜 了 吧 那个 那个 电子 账单 能 发给 我 吗   嗯 嗯 好 的 那个 号码 是 多少   幺 五八 二 幺 八八 五六 二六
您好 很 高兴 为您服务   唉 你好 麻烦 你 帮 我 一月份 的 那个 账单 呢 是不是 账单 就是 那个 电话费 的 发票 发到 我 的 邮箱 我 是 幺 三九 的 就是 现在 打 过来 的 这个 电话 月份 的 时候 对 八月 一号 到 三十 号 的 三十一 号 才能 自己 报销 我 想 停   密码 知道 吗   不 知道
很 高兴 为您服务   喂 你好 呃 帮忙 看 一下 月份 的 通讯费 的 发票 呃   就是 电子 发票 了 几月份 的 好 的 密码 有 吗   有
您好 很 高兴 为您服务   喂 你好 我 那个 麻烦 你 就是 我 这个 手机 每个 月 不是 有 账单 的 了 吗 你 把 我 的 电子 发票 账单 发现 那个 那个 我 的 邮箱 里面 好 吧   的 邮箱 是 多少 呀 就是 幺 三九 零 的 邮箱   噢 密码 有 吗
您好 很 高兴 为您服务   唉 你好 那个 额 我 前面 有 打电话 来要 一个 那个 手机号 的 那个 电子 发票 然后 他 月份 发错 了 他 九月 没有 发给 我   谢谢 啊   二 幺 三八
您好 很 高兴 为您服务   唉 我 这个 号码 的 机主 我 我 上个月 办理 在 这 一段 有 通知 你们 发 那个 电子 发票 给 我   您 要 几月份 发票   九月份 就 呃 每个 月 的 我 我 这个 礼拜天 月 还 没有 开始
您好 很 高兴 为您服务   你 帮 我 把 那个 九月份 的 那个 电子 发票 发给 我 那 就 七天 吧   噢 好 的 先生 您 的 名字 和 身份证 核对 一下 吧   恩 不 客气
您好 很 高兴 为您服务   唉 喂 你好   现在   我 想 办 一下 那个 就是 就是 月 月 账单 开 电子 发票 了
很 高兴 为您服务   喂 你好 嗯 他 能 帮 我 支四 二七 是 整改 您 一年 充 的 那个 话费 的 呃 发票 发到 我 的 那个 邮箱 吗   充 话费 的 发票 就是 充值 那个 发票 您 说 的 是 这里 我 没 觉得 就 是从 一月份 开始   对 对 一月份 到 最近 没
为您服务 喂 你好 那个 就是 我 刚才 呃 把 上个月 的 账单 是 其实 麻烦 你 帮 我 推送 一个 电 电子 账单 好 吗   电子 发票 是 吧   最近 发票   好 的 请问 您 手机 服务 密码 知道 吗
提供   呃 您好 这边 上海 移动 公司 客服 代表 工号 幺 零 幺 幺 二 呃 您好 我 这边 帮 您 看 了 一下 我 这边 发 的话 呢 只能 从 二月份 到 五月份 发 一月份 的话 呢 还是 要 到 营业厅 的 因为 我们 这 二月份 才 开始 这个 电子 报销 对 吧 对 对 对   好 吧 我 帮 您 那个 从   二月份 到 五月份 发到 您 qq 邮箱 里面 好 吧 您 密码 我 不 知道 吗
您好 兴 您 服务 您好   喂 你好 嗯 我 想 请 你 帮忙 帮 我 把 那个 充值 那个 发票 发给 我   就 刚刚 充值 的 吗   嗯 但是 昨天 昨 昨天 充值 的 一个 方法
您好 兴 您 服务 您好   呃 喂 你好 我 这边 的话 想要 就是 我 那个 发票 充值 的 发票 啊 充值 的 保险 对 对 对   从 几月份 的 呀   上个月 的 九月份 的
您好 很 高兴 服务   唉 你好 是 这样 的 那个 我 想 让 你们 帮 我 推送 一下 我 的 上 月 的 那个 账单 的 一个 电子 发票 吗 对 电子 发票 好 发到 我 的 幺 三九 邮箱   好 机主 姓名 麻烦 您 报 一下 女士   机主 姓名 顾 医院
您好 兴 为您服务 您好   喂 你好 就是 我 八月份 的 那个 电子 发票 那个 发到 幺 三九 邮箱 里 吗   帮 那个 八月份 的 的 发票 是 吗 五 五十八 月份 的 发票 是 吧 麻烦 这 还 没有 给 我 帮忙 看 一下 您 密码 你 有 吗 手机 嗯 你好 手机 密码   红 服务 密码 忘 了 呀
很 高兴 服务   唉 小姐 你好   您好 请 讲   唉 我 想要 那个 七月份 的 那个 账单 的 电子 发票
很 高兴 服务   唉 小姐 你好   您好 请 讲   唉 我 想要 那个 七月份 的 那个 账单 的 电子 发票
很 高兴 为您服务   唉 你好 那个 我 那个 那个 什么 电话费 的 发票 你 这边 人工 能 那个 电子版 的 吗   噢 充值 那个 月结 发票 是 吧   对
很 高兴 为您服务   唉 你好 我要 打 发票 怎么 短信   嗯 要 电子 发票 从 是 在 那个 登录 邮箱 打印 的 你 有 你 有 那个 登录 邮箱 里面 呢 幺 三九 幺   我 登陆 了 到 邮箱 里 只有 账单 没有 没有 那个
为您服务   唉 你好 你 给 我 那个 七月份 电子 发票 他 发送给 我 幺 三九 信箱 好 吗   嗯 嗯 好 的 请 报 一下 您 的 姓名   那 谢谢 啊
服务   您好 很 高兴 服务 喂 你好 请问 发 一下 我 五月份 的 电子 帐单 到 我 的 服务 密码 知道 吗 女士 噢 不是 电子 发票 收费 也 是 算 的 密码 知道 吗 好 根据 语音 提示 输入 请稍等   好 吧   六二
很 高兴 为您服务   唉 你好 啊 呃 我 手机号 是 幺 五八 零零 六零 四 七六   幺 五八 零零 六零 然后 那个   五 零零 九零 五 六七六 五
嗯 嗯 你好   呃   唉 好 那 这边 重新 给 您 输 一下 密码 好 吧   嗯 好好 就
为您服务   嗯 小姐 你好 麻烦 你 帮 我 把 我 的 那个 七月份 的 电子 帐 单发 到 我 的 那个 就是 已经 登记 过 了 一个 个人 邮箱 里 就 不要 发到 幺 三九 是 另外 一个 另外 一个   好 的 好 的 请问 您 的 姓名   呃 我 的 信息 按 一
您好 很 高兴 服务   好 你好 就 发 那个 六月份 的 电子 发票 到 我 呢 麻烦 你 了   啊 很 抱歉 先生 目前 的话 我们 系统 在 升级 办 不了 业务 的 您 要 过 两个 小时 之后 再 来电 吧 或者 是 无点 之后 您 这边 再 来电 开机 一下 就 可以 了   那个 我能 问 一下 在 网站 上 可以 自助 办 吗
很 高兴 为您服务 喂 你好 就是 可以 麻烦 你 把 我 五月份 的 那个 电子 发票 发到 我 幺 三九 邮箱 吗 嗯 您 稍等一下 好 的 呃 这个 手机 的 服务 密码 您 知道 吗 不 知道 很 抱歉 您 的 身份证 号码 姓名 嗯 简称 然后 身份证号 身份证号 是 四三零五 二三 一九九二 零五个 一两个 二 嗯 嗯 好 的 您 稍 等   嗯 嗯 嗯   好 嗯   嗯 哼 零 九零 幺 六 幺 幺 七 四 一个月 喂 嗯
您好 很 高兴 为您服务   唉 你好 我 是 想要 那个 现在 电话费 那个 这样 发票   嗯 嗯 请问 您 手机号码 是 多少   啊 幺 三七 六 四四 三七 三零
您好 很 高兴 服务   唉 喂 你好   您好 请 讲   嗯 对 现在 不 都 是 那个 话费 是 电子 发票 吗 然后 就 把 我 呃 就是 充值 的 那个 增值税 发票 发给 我
您好 很 高兴 为您服务   唉 你好 是 这样 的 我 刚才 就 通过 网上 就是 给 我 手机 充充 了 值 我 想要 电子 发票   怎么 可以 就是 六七 月份 发给您 对 吧   不是 我 就是 我 充值 的 发票
您好 很 高兴 为您服务   订 唉 你好 我 我 我 想 麻烦 你 这边 帮 我 推送 一个 集团 集团 账号 的 五六 月份 的 电子 发票   五六 二号 之后 是 多少 钱 你 报 一下 吧 嗯   呃 幺 零零 七 幺 九
嗯 嗯 嗯 嗯   哦   您好 很 高兴 服务   喂 你好 我 想 就是 看 一下 信息 账单 六月份 的 到 我 的 幺 零零 幺
为您服务   呃 麻烦 您 把 那个 我 七月份 的 话费 发 我 邮箱   对 的 账单 什么   对 噢 好 的 那 这样 我 觉得 我要 那个 发票
您好 兴 为您服务   唉 这样 我 是 本 机号码 我 的 五月份 账单 早就 付掉 了 但是 我 的 那个 就是 那个 发票   能 不能 帮 我   嗯 嗯 就是 我 刚才 如果说 要 被 别发 可以 发到 我 的 邮箱 的
您好 兴 为您服务   唉 喂 你好 帮 我 看 一下 七月份 的 那个 电子 发票 恩   好 的 好 稍等一下 啊 不 客气 就 发 您 那个 幺 三九 邮箱 分钟 对 对 对 对 对 啊 好 的 那 这边 以后 也 要 帮 您 设置 每个 月 自动 发送 的 功能 吗   啊 好像 昨天 我 打过 电话
您好 兴 为您服务 你好 我 想 那个 打 呃 打印 那个 就是 电话费 的 发票 怎么 打印 的   嗯 您 是 要 电子 发票 对 吧 他 通过 邮箱 打印 以上 的话 它 每个 月 是 发到 那个 幺 三九 邮箱 的 泉州 邮箱 进去 我 帮 您 向 登录 方式 发给您 登记 之后 的话 就是 收件箱 里面 打开 里面 就 能 看到 发票 了 然后 您 报 一下 密码 吗 呃 那个 幺 三九 邮箱 需要 密码 的 可以 通过 短信 验证码 的 也 可以 密码 来 的 等于 上面 有 告诉您 密码 的 设置 方式 的 您 设置 一个   好 的 好 的 那 你 你 刚 发给 我 谢谢 嗯 好 不 客气 还有 什么 帮 您 的 吗 没有 了 谢谢 祝您 生活 愉快 再见 不 客气 再见
您好 很 高兴 您 服务   唉 唉 先生 唉 清 请 将 我 那个 这个 月 充值 的 那个 嗯 发票 发到 我 信箱 里 好 吧 我 要 打印 那个 发票   发 的 那个 幺 三九 邮箱 里面   唉
您好 很 高兴 服务   喂 你好   你好   麻烦 你 帮 我 补 一下 四月份 五月份 的 那个 电话费 账单 呢
您好 很 高兴 为您服务 二五   唉 你好 唉 我 问 一下 就是 我 的 那个 邮箱 你们 现在 那个 电子 账单 啊 我 呃 我 我 给 你 重新 发 一个 邮箱 你 把 我 今年以来 所有 的 就是 已经 付过费 的 那个 电子 账单 都 给我发 一下 好 吧   不行 的 我们 不是 已经 发到 过 那个 邮箱 的 嘛 你 可以 自己   打 打不开 我 现在 打不开
您好 很 高兴 为您服务   唉 你好 唉 是 这样 那个 帮 我 把 我 之前 充值 的 这些 发票 你 帮 我 开 一下 电子 发票   呃 您 是 开月结 发票 开 充值 发票   开 那个 充值 的 发票
好 的 您好 很 高兴 服务   你好 我 想 看 一下 我 的 手机号 我 想要 那个 电子 发票   现在 再 看看 吧 对 电子 发票   要开 吗
您好 很 高兴 为您服务   唉 先生 你好 我 需要 那个 电子 发票   几月份 的   呃 七月份 吗
很 高兴 为您服务   唉 你好 我 刚刚 在 那个 自助 上面 交了 我 的 那个 六月份 的话 然后 您 帮 我 推送 一下 那个 电子 发票 好 吧   因为 银行   那个 交完 了 它 直接 短信 就 提醒 然后 我 看 今天 短信 没有 提醒
好好   您好 很 高兴 服务   你好   你好
您好 很 高兴 为您服务 再见   服务 你好 你好 我 想 那个 就是 要 像 那个 电子 发票   呃 几月份 的   呃 二月份 到
您好 很 高兴 服务   唉 喂 你好 小姐 帮 我 把 那个 什么 账单 呃 六月份 账单   发票 是 吗   嗯
高兴 为您服务   唉 你 能 把 我 四月份 的 发 那个 电子 发票 发给 我 吗   嗯 四月份 对 吧 我 看 一下 稍 等 就 只要 这个 月 是 吗   再 加 四月份
您好 很 高兴 为您服务   喂 你好 我 想要 那个 七月份 的 那个 电话 账单 你们 发 一个 幺 三九 的 邮箱 吗   幺 三九 邮箱 您 稍 等 可以 的 您 是 发票 不是 账单 发票 吧 需要 报销 的 是 这 就是 月份 的 好 稍 等 手机 服务 密码 知道 吗   那 我 不 知道 呀
您好 很 高兴 服务   唉 你好 麻烦 一下 就是 呃 想 问 一下 七月份 的 那个 移动 账单 的话 什么 时候 时候 可以 退到 我 的 邮箱   四月份 发票 是 吗 报销 用 呢   不是 发票 是 需要 跟 您 联系 账单
您好 很 高兴 服务   唉 你好 刚刚 才 再加 三十分钟 之前 有 一笔 我 想 那个 发现 现在 能开 吗   可以 我 帮 您 发票 开 出来 但是 如果 充值 发票 开 了 月 结账 单 里面 那笔 就 会 少掉 的 我 帮 您 开 一下 吧 您 的 名字 报 一下   呃 其父 号 可以 那 我 就是 这样 的 解掉 现在 我们 公司 报账 的话 他 需要 那个 税号 没开 吧
您好 很 高兴 为您服务   唉 你好 麻烦 你 把 我 上个月 七月份 的 那个 话费 的 发票 啊 发给 我 电子 发票   恩好 的 请稍等 我 帮 您 看 一下   噢
很 高兴 为您服务   喂 你好 这样 我 想 问 一下 我 五月份 那个 话费 的 电子 发票   就 发 邮箱 是 吧   对
您好 很 高兴 服务   哎 你好 我 想 我 想要 那个 七月份 这个 本机 的 话费 账单 已经 发到 我 邮箱 吗   七月份 的 发票 是 吗   账单
您好 很 高兴 为您服务   喂 你好 我 的 手机号 是 那个 幺 三七   幺 三七   六 四六 幺
您好 很 高兴 服务   喂 你好 我 问 一下 就 说 我们 那个 电子 发票 你们 会 是不是 需要 什么 他 能够 直接 到 我 幺 三九 的 那个 信息   好 这边 的话 你 要 开 这 电子 发票 的话 这边 可以 帮 您 开具 一下 直接 推到 您 幺 三九 邮箱 里面 下载 打印 出来 就 可以 用 了 是 报销 用 对 吧   对 的 对 的 啊 那 这边 的话 帮 我 才能 帮 我 操作 的 是 吧
为您服务   唉 你好 呃 我 是 幺 三九 这个 客户 然后 我 想 因为 我 八月份 的 七月份 的 那个 账单 没 发到 我 手机 呢 手机 邮箱   嗯 七月份 我 看 一下   我 看 一下 谢谢
您好 很 高兴 服务   唉 你好 我 现在 需要 一张 那个 我 这个 手机号 的 电子 发票   好 服务 密码 知道 吗 喂 密码 知道 吗 服务 密码 手机号 的   知道
您好 很 高兴 为您服务   喂 你好 刚刚 又 再 充值 帮忙 把 发票 发过来 好 吧   唉 好 的 请 稍等一下 我 看 一下 是 发到 您 幺 三九 邮箱 对 吗   嗯 对 的
高兴 服务   你好 你 帮 我 那个 七月份 的 账单 发 一下 我 那个 幺 三九   发票 对 吧   对
您好 很 高兴 为您服务   唉 你好 麻烦 你 给 我 我 本机 提醒 你 帮 我发 一个 那个 七月份 的 电子 账单   嗯 发 那个 嗯 七月份 的 那个 电子 发票 对 吧   对 对 对 对 对 您 稍 等 啊 噢
您好 很 高兴 为您服务   唉 你好 是 这样 是 这样 的 那个 我 昨天 还是 前天 就是 充了 一次 话费 然后 您 能 帮 我 把 那个 发票 发到 我 那个   邮箱 吗 可以 的 请问 您 本机 密码 知道 吗 六位数 的   噢 是 这样 啊 幺 幺 幺 五八 八九 零二
您好 很 高兴 为您服务   唉 你好 我 那个 帮 我 记 一个 那个 我 的 账单 到 我 的 地址 这个 地方 吗   女士 我们 现在 已经 不 寄 账单 了   那 我 下个月 账单 密码
您好 很 高兴 为您服务   喂 你好 我 的 手机号 是 那个 幺 三七   幺 三七   六 四六 幺
您好 很 高兴 为您服务 哎 你好 你 能 帮 我 那个 上个月 的 那个 电子 发票 发过来 的   七月份 发票 是 吧 手机 服务 密码 知道 吗   哎哟 二 幺 幺 八 八七   好 您 输入 一下 谢谢 嗯
您好 很 高兴 为您服务   唉 你好 麻烦 您 帮 我 把 那个 我 这个 手机号 的 七月份 和 八月份 的 那个 话费 那个 发票 把 我 那个 幺 三九 邮箱 吗   嗯 可以 的 请 稍等一下   哎
套餐   您好 很 高兴 为您服务   唉 你好 我 想 申请 一下 那个 电子 发票 好 您 稍 等 噢   手机 服务 密码 知道 吗 是 本 机要 几月份 发票
您好 很 高兴 为您服务   唉 你好 我 那个 帮 我 记 一个 那个 我 的 账单 到 我 的 地址 这个 地方 吗   女士 我们 现在 已经 不 寄 账单 了   那 我 下个月 账单 密码
您好 很 高兴 为您服务 哎 你好 你 能 帮 我 那个 上个月 的 那个 电子 发票 发过来 的   七月份 发票 是 吧 手机 服务 密码 知道 吗   哎哟 二 幺 幺 八 八七   好 您 输入 一下 谢谢 嗯
您好 很 高兴 为您服务 唉 你好 我 那个 下个月 的 这个 发票 给我发 一下 吧   就是 发 五月份 的 给 您 对 吧   嗯   八零 幺 三九 邮箱
为您服务   唉 你好 请问 一下 我 六月份 的 呃 七月份 的 发票 发给 我   啊 就 发 您 幺 三九 邮箱 里 是 吧   呃 qq 邮箱
您好 请 讲   哎 你好 然后 呢 就是 我 充值 的 那个 电子 发票 帮 我 发给 我   好 服务 密码 知道 吗 先生   呃 幺 八七 零 幺 九
您好 很 高兴 服务   你好 能 帮 我 那个 就是 发 一个 那个 电子 发票 嘛 就是 是 七月份 嘛 呃 不是 去 去年 的   这个 没有 的 从 今年 二月份 才 有 电子 发票 之前 是 没有 电子 发票 的   帮 我 充值 的 发票 我要 充值 的 我 找 谁 呢 我 每个 月 充值
您好 兴 为您服务   唉 你好 我 是 那个 幺 三 六八 幺 九 六六 二八 这个 机主 我 想 那个 申请 那个 就是 电子邮件 给 我 发票   帮 您 嗯 我 看 一下 您 这个 本机 是 主 号码 付费 的 对 吧   呃 不是 我 这个 是 我 的 是 挂 在 其他 这个 号码 就是 做 一个 连接 号码 不会 是 我 现在 手机 付费 的
很 高兴 为您服务   唉 先生 你好 我 想 咨询 一下 就是 我 这个 发 我 当时 有付 付钱 过去 然后 忘记 了 要 发票 了 然后 我 现在 这个 发票 在 哪里 可以 打印 吗   目前 师傅 的 手机号码 的 钱 吗 小姐   呃 可能 是 团付 吧 你 看 一下 号码 幺 七三二
您好 很 高兴 为您服务   唉 你好 我 这边 有 几张 电子 发票 能 帮 我 发到 邮箱 一下 吗   呃 是 手机号码 还是 客户 账号 的 限   公司 的 发票
您好 很 高兴 为您服务 喂 你好 我 是 幺 三 六四 幺 九三 三 三 六零 我 想要 就是 呃 正常 的话 应该 是 几月份 的 账单 啊   呃 现在 是 八月 吗 一般 都 是 要 六月   在 七月 六月 的 这个 电子 发票 是 吧 我 怎么 能够 看 出来 我 上次 打 了 一个 是 开票 日期 是 七月 十七号 应该 是 开 的 六月份 的 对 吧 那 是 六月份 的 那么 现在 的话 额 对 我 要 七月份 的 恩 好 的   呃 我 看 一下 啊 七月份 的 我们 已经 发过 了 吗 是 在 八月 九号 推送 的 没有 收到 是 吧
您好 请 讲   唉 喂 你好 我想查 一下 我 这个 手机号码 要开 那个 电子 发票 的 那个 随机码   开 电子 发票 的 随机码 是 吧 您 在 网上 营业厅 要 打印 打印 电子 发票 是 吧   啊 对 对 是 的 清
那 现在 为您服务   唉 你好 我 现在 需要 九月份 的 话费 账单 的 发票   嗯 麻烦 您 幺 三九 邮箱 吗   对 发个 幺 三九 邮箱 吧 谢谢
