诶你好 呃请说 哎你好诶我像我这个手机如果是在跨地区一分钟是多少钱呐打 帮我查一下您稍等一下您这张卡现在是在整个大陆打大陆的移动六分大陆打联通电信是两毛 
您好请讲 你好嗯嗯麻烦你帮我 查看一下我的 就是那个流量噢流量我上次按了那个什么嗯 
您好很高兴为您服务 喂你好请问一下我这张卡是怎么收费的 您这张是技术卡它这个月租十九块钱一个月的然后如果说您有用到额外的流量是一天一块钱五百兆的省内流量 对诶 
你好我下午好请讲你好 我这个那个流量不够用了这个满意都要多少钱啊 那买的话有十块一百兆三十块一g 噢他们发一次 
您好请说 嗯 那个 如果说哎 
中午好很高兴为您服务 我想问一下我这个号码收费标准是怎么样 呃您收费的有套餐费十八块然后还有一个三十块钱 怎么怎么怎么刚刚 
你好您好请说 我问一下你们那个最低保底的那个电话电话卡是多少 八块钱八块 呃八块钱呢我们像我这样子的手机能不能改成这个这个电话卡可以可以 
早上好请讲 喂你好我想问你一下嗯嗯嗯我这个电话再下发短信怎么收费啊 香港是吗 啊 
嗯好您好请讲哎 噢现在只要开来电提醒一个月多少钱呢 来电提醒是两块钱一个月的 哎那现在有 
咨询哎你好请讲 哎你好我问一下我这个电话号码跟那个宽带连接它那个收费是怎么收 嗯我查了一下您的宽带情况您宽带的话是基本套每个月的话是这样的每个月是收二十一块钱 噢那我现在知道这个有线电视也没收费啊 
您好请讲 诶我这个全球通的多一分钱多少一分钟多少钱的这现在 您稍等马上帮您看呃这边帮您看了一下一分钟只要六分钱 零那就等于外地块也是六分钱 
您好很高兴为您服务 呃你好呃欠然后你帮我查一下我这个手机是怎么收费的呢 好视频定向包九块钱流量一天一块钱五百兆 噢这样子啊 
您好请说呃喂 诶您好 喂你好我请问一下那个我这个号码现在在那个外省的话呃有这个叫什么叫漫游费吗 没有漫游费的那这个您放心接电话一样不用钱您在外省打的话也是每分钟一毛九收费的 
您好很高兴为您服务 诶你好 您好 诶就是我这个手机号码嘛之前有办理了一个宽带然后那个宽带一年到期以后我没有讯然后它变成好像非常包月了那我现在想问一下如果是还继续包年的话一年是多少钱呐 
您好 哎小姐你好请问我本机去泉州漫游的话是怎么收费呀 泉州漫游请您稍等在泉州漫游接听是免费的打电话就按您在服务区外打电话费用打一分钟是您在服务区外打是两毛钱 呃你离开福州都是两毛钱是一分钟那个 
你好喂 你好我那个手机就是说从三明过来这边厦门的一个月这个东一分钟通话费是多少啊 在厦门那边那就一分钟一毛一毛九啊接听免费 噢怎么我的手机费怎么一一一下子没有啦然后那么快呀原来很多的它打几次电话都没有啦 
嗯您好很高兴为您服务 诶你好我现在那个套餐是不是三十八块的 呃对您目前是三十八块钱的 嗯然后那个就是是免费的那个打电话的一百分钟是国内的还是省内的 
您好请讲 那帮我查一下我这个这个这个电话那个套餐费多少什么套餐 您现在用三十八套餐 那怎么会显显示八十八呀 
您好很高兴为您服务你好 喂你好 嗯有什么可以帮您 啊我想让你帮我查一下像我这样用的手机在那个漫游的话就是在福州站什么地方打电话和接电话是多少钱一分钟呢 
诶您请说 诶你好嗯嗯呃我问一下我这个套餐资费那个流流量是怎么算的 好您这款套餐每月有含一g的国内流量 诶才一g吗 
很高兴为您服务 诶您好我想问一下现在那个移动的这个流量套餐有多少钱的 流量套餐的话你需要补流量用吗最少有三十元一个g的一十 和子的你三十块钱一个g啊 
去香港可以开通国际及港澳台漫游功能开通之后的话手机噢您已经开过了手机就有信号了那您去香港要开当地的流量套餐吗 呃是怎么算 如果说您过去直接用的话就是一天三块钱三兆每天封顶费用三十带来三十块钱当天就可以无限量用了但目前香港也可以开流量包有三天的五天的跟七天的这三种没办过去是几天呢 可能过去三十天吧 
您好请讲 哎你好那个每天就是给我发那个新闻那个是要收钱的吧 今晚短信的我给您看了一下是冲浪助手是吗 嗯嗯 
您好很高兴为您服务 诶你好那个我三元是四十条短信然后还有上面还有多多少兆元的几条 噢你是想开个短信包您稍等帮您看一下大概需要多少短信十块钱两百条够吗 没有别的少一点有没有 
您好请讲 诶你好帮我查一下我这个呃号码一分钟打电话是多少钱 电话超过三十分钟每分钟一毛九 呃它一它一个月它套餐是最低消费是多少有没有 
您好很高兴为您服务我我现在那个现在那个通过来电显的按 您现在是要什么来电等待我就呼叫等待是吧 嗯对 稍等一下现在是别人给您打电话不会呼叫等待是吗 
就是您好请说 喂你好 还有什么可以帮助您啊 什么业务帮我取消一下我有我看这个月的业务 
您好请说 等下我想咨询一下我这本机号码如果要开通台湾的话费用是是怎么计算的 嗯台湾的是吗那您要先开通国际长途和国际漫游开通这个功能是不收费的先生那就是说您过去以后在台湾那边通话的话每分钟是打回中国大陆或者当地的那每分钟都是接听的话都是按九毛九收费的 呃接听跟打电话都是按九毛九的对吧我一会儿可以把台湾的相关资费发给您流量话费的话诶诶你你说你说 
你好 喂你好 诶 嗯那个我有接到电话就是说呃有送免费宽带的就是那个九十九的套餐 
诶您好很高兴为您服务哎你好我想问一下我那个不是流量那个是流量套餐嘛噢 然后呢 然后就是说它说一天一个g就是说那个流量的话 诶超出去首先您一天一个g的流量只能在漳州本地使用 
您好请讲 喂 诶您好 啊我那个号码是幺三在三明的号码可以在那边开通嘛我原来是漫游关掉啊 
您好请说 诶您好我想问一下我这个卡的套餐是是怎么样子的收费 好我看一下哈这个卡套餐八块钱八块 嗯呃一个月八块钱然后包含什么呢 
嗯嗯呃您好很高兴服务 呃您好我想问一下我现在这个套餐那是那个费用是多少 呃套餐费是三十八块钱 噢三十八块钱那个 
嗯您好很高兴为您服务 哎你好美女 你好 哎我这个套餐是五十八的呀 
嗯嗯您好很高兴为您服务您好请问什么可以帮您的呢 帮我查一下我这手机是多少钱的套餐啊 八块钱的七十八块钱啊是的 还有没有其他收费的东西有没有 
您好请讲 喂你好帮我帮我查一下我这个套餐是怎么回事哎稍等一下好嘛嗯哦 这边的话您套餐是宽带九十九的和家庭套餐 本地打国内那如果我我我我我等外或者是国内打国内怎么算 
您好高兴为您服务 你好我想请问一下我这个每个月套餐多少钱 您现在用的是一百二十八的上网套餐里面有四百二十分钟通话来电显示一个g流量的 每个月才一g 
您好请讲 哎你好我想问一下我的手机有一些什么收费标准 恩帮您查看一下您除了基本套餐有一个五十元的流量包有一个六g的红包有一个来电提醒有一个是三块钱的短信功能还有一个是噢咪咕有缘阅读噢这个都帮您取消都已经取消掉了 还有一个什么六元红包 
您好请说 诶你好那个我我不是我加入一个那个题时间用的那个机机号码吗如果我这样子给别人国际长途打电话不要收钱了 给别人国际长途打电话您这个集团网 也是在学习号码里面的我想请问你们然后我给那个人国际打电话费也要钱吗 
您好请讲 诶我问一下我那个费用怎么算呢天天都要扣那个什么费用 恩给您看一下嗯每天都给您扣的是一个宽带 宽带 
您好请说 哎你好我是厦门翔安的我想问一下你们新装的宽带有没有包年的呢但是宽带 您这边稍等一下为您转接我们的宽带专席好 
您好请讲 你好你帮我看下我我我这个手机号码这个套餐一个月多少钱呐 本机套餐一个月八十八块钱的 那我这个基本上都没怎么用能不能它这个套餐降低降低 
您好请说 啊你好我想开流量然后就是说跟增加流量是多少钱一个月他说就是多少钱第一个 您是临时开通还是说长期开啊 噢就就这个月开的 
你好有什么可以帮您流量 你好我我想我我昨天手机我在什么共享流量池里面点进去加了一个家庭好友那这个要收费吗 添加的跟家庭成员的话是不用收费的但是是上次我现在 但是我现在想删掉因为我本身我没有流量不可能给你加共享我想想关掉我不懂怎么办 
嗯很高兴您服务 呃好你你帮我查一下我这个手机的套餐如果去省外的话那个市话收费怎么收 流量在省外一样可以用然后接电话都是免费的打电话每分钟一毛九 噢那就跟省内一样的 
您好请问是新装宽带吗 噢宽带那是怎么收费啊您是用本机号码包含几个号码吧功能本身本机啊 本机在莆田地区安装宽带是吧 噢没错 
对您好很高兴为您服务 然后嗯嗯喂 您好请讲 请问那个宽带你这个宽带的什么什么算喂 
谢谢 您好请说 喂你好 你好 
嗯嗯 早上好很高兴为您服务 噢我想问一下你你你帮我查一下我的那个套餐资费现在怎么样发个短信有 呃基本套餐资费是怎样的是吧好的那我这边给您发送请您查收一下好嗯没有其它需要为您服务的 
疑问 您好请说您好 喂你好呃那个我我那个这个电话号码然后呃办理我们那个移动的那个宽带是不是免费的 宽带是吧女士 
您好请讲 哎你好诶我想问一下那个我把手机他是不是在幺五八的那个他是神州行到现在现在它是南平地区的嘛然后他去外地还有漫游费吗 现在都取消漫游费了 都都取消了是吗 
您好请说喂你好您好 呃我我这个号码是在哪里接都都是免费的吗 对您这个号码是全国接听电话免费的 那拨打您 
对您好请讲 呃您好我想问一下你们现在有那个三十八元套餐吗 那那个流量是多少的呢 一点五个g省内流量其中有一点四g省内流量只限当月使用 
您好请说 诶你好诶我这个手机套餐是十八元还是三十八元的其他的它前面一个月有打电话叫我办那个三十八元我说今天也他说没给我办啊 没有看到您办三十八套餐如果您要办我可以帮您更换 噢好的 
您好请讲 请问一下我这个手机它它这个我这里面套餐是多少钱 呃套餐您是一百八十八块的 啊一百八十八一百八十八的套餐 
哎您好很高兴为您服务 呃你好 您好 呃我问一下就是我这个套餐是八十八元的是吗 
你好 哎你好我想问一下就我现在用的这个就这个手机号码的套餐里面反正你们用那个短信发一个详细的那个给我吗 套餐资费吗 嗯就说对 
噢嗯您好很高兴为您服务 我刚才开这些模式的时候然后好像有人给我打电话但通话就那个这边没有出啊你能帮我查一下我 稍等一下啊就是说刚刚有人打你电话但是你开飞行模式没接到是吧 块 
您好很高兴为您服务好就是我什么北京今天好像什么时候办理套餐 比如说办理套餐 二十八元的套餐 第二个月改了三十八的套餐有给 
子对您好请讲啊 二二 二二 咨询一下啊我问一下我这个本机噢有个套亲情号码这个套餐呐呃要不要每个月都要另外交三元了这个我不是手机呀 
很高兴为您服务 喂你好 你好 你好请问查询一下我现在 
您好请讲诶你好您好您说嗯嗯喂 能听得到我声音吗 可以啊然后屏蔽掉这个电话费是比如分钟数用完了后面一分钟是多少钱 每分钟一毛九 
您好请讲喂你好我想问一下我这个套餐多少钱一个月的嗯三十八元 哎 我想改一下您要改为哪一条套餐呀 改成那种八块的可以吗 
哎您好请说 喂你好请问一下我这个如果分钟用完了超过了一分钟多少钱 一毛九一分钟 啊 
您好请说 喂你好 您好 诶我问你一下现在诶改套餐的话那无限套餐是多少钱呐 
您好请讲 诶请问一下我这个卡是不是资费怎么样给我帮我查一下好吧 资费怎么样的是吧呃对谢谢噢我看一下您稍等我这边给您查看的话您这个是一个月八块钱的月租里面有三十分钟全国打全国电话加来电显示全国接免费 呃就是三十分钟在外地打嘞 
你好我想问就是本机套餐一个月是怎么资费啊 稍等一下 嗯嗯 您这个号码的基本套餐一个月是十八来电提醒两块 
你好请讲 哎你好请问我这个手机号码是怎么收费呢 您是三十八块钱的套餐那除了这个套餐之外的话有一个两块钱的来电提醒还有一个宽带那其他要收您个人费用的业务通过系统帮您看了一下目前没有的啊 我这个流量有多少送多少多少兆流量啊 
嗯 您好请讲 我想查一下我我这个手机那流量已经有没收费的 噢您现在这个号码里面没有流量您要用的话就一兆两毛九现在用了十块五毛二了要给您补充个流量包吗 
早上好很高兴为您服务 你好我这个我不是有牵一条宽带的那个流量的嘛我想再另外一个号码 就是在呃呃就是牵一条您是要再多加一个宽带还是说 不是不是我宽带已经欠费了然后它一百八十八的吗宽带嘛然后不是有流量四十多g吗四十多g的话不是可以挂别的号码吗 
您好请讲 哎你好我想请问一下我这个手机的流量它是怎么收费的 请您稍等您这张卡一个月是有五百兆的国内流量目前您的国内流量已经全部都用完了额外还超了一百一十八兆一共超了三十四块四毛 儿已经超了三十四的 
您好很高兴为您服务 哎你好我想问一下我这个电话的是现在套餐是多少钱 套餐您是十八块钱的套餐 十八块的 
您好很高兴为您服务您好 那个那个我这张卡打电话是多少钱一分钟啊 您这个是新神州行我查询一下 啊你帮我查一下麻烦你了 
您好有什么可以帮助您 给我查一下那个一一个开通一个流量就是二十块钱呐 稍等一下我帮您查看一下目前帮您查询您这个手机没有开通十块钱的流量啊 哦 
嗯嗯嗯嗯其他的话多少钱啊啊谢谢 呃是这样子你能帮我查一下我这个现在我那边那个手机我用了好多呃套餐或者是什么样的那个资费 嗯 没有搞 
您好很高兴为您服务 喂你好那个我现在这个套餐是怎么样子收费嗯是怎么样的 呃您现在是一百二十八块钱的商旅套餐 嗯嗯然后这边是有 
你好对您好请讲 喂你好我想问一下我这张卡为什么呃我的应该是说我的套餐费是八十八块钱是吧 对是的新飞享八十八的 那为什么里面有这么多捆绑的什么咪咕会员啊什么的每个月都是让我消费直接交到一百二 
您好请讲 哎你好我问一下我现在套餐是多少钱的套餐呀 噢我帮您查五十八的 五十八的现呃是多少分钟呀 
谢谢您好很高兴服务 你好王到那个台湾的但这部手机办流量在厦门接呃一分钟接打是多少钱噢 您去台湾漫游拨打和接听每分钟是九毛九计算的 啊 
啊您好请讲 你好 你好 我这个接听要不要钱的你帮我说去 
嗯 哎您好请说诶你好我想问一下那个全球通到香港的话呃接打电话它业务就那个收费接需要需要那个需要那个呃扣费吗还是说有人接跟打都是九毛九一分钟噢接也是是吧嗯对这是全球通的是的那如果是如果神州行的话那就是一样的国际的都是同一同一收费接打都是九毛是吧一毛九一毛九好这样子吧好的谢谢不客气其他有什么可以帮您的噢谢谢那感谢您的来电 
您好您请讲 哎你好诶我这个是呃多少钱套餐吗 这款的话是一百二十八元的 诶能不能诶帮我改成八十八的八十八多少分钟 
通您好请说 喂你好诶我想咨询我这个号码是那个怎么收费的 吧那您这个它是固定套餐九块钱的 呃这个是里面还有什么东内容啊 
您好请讲 喂你好嗯我问一下我这个一个月套餐多少钱 呃女士您现在用的是三十八的套餐 呃那怎么每个月都扣四十几块那六什么叫增值业务费啊 
您好请讲 你好问一下这个套餐现在是怎么收费的 噢您这五十元流量卡套餐包含两个g流量和来电显示那打电话呢就是按照一分钟两毛钱来算接电话免费 一分钟两毛那现在有什么别的就是恩套餐嘛我想改套餐 
您好请讲 哎你好问一下噢 您讲 我这个电话号码在外面接要不要钱嘛 
您好高兴为您服务 诶你好我请问一下我这个套餐一个月是多少钱 三十八套餐一百分钟呃您说 哎我三十八好像那个嗯每个月到那个这个月过后然后发信息的是五十块啊我要麻烦你给我开个地方呢 
您好请说 呃我想咨询一下就是说移动的移动的宽带是怎么算呢 嗯那您不要挂机我帮您转宽带专席好吗 噢 
你好请说 呃我这套餐是多少钱的 这套餐是八十八的飞享套餐 要往低的改嘛 
您好请问是本机要新装宽带吗 我问一下那个装宽带要多少钱 呃装宽带的话我们现在嗯跟套餐绑定的话比较划算的嗯那您现在不要把套餐改成七十九元的套餐 就可以送一百五十兆的宽带了我哥哥几天再装 
您好 喂你好我想开通那个香港国际吗流量要多少钱 看一下香港漫游这个功能是免费的您要去几天啊你去几天 我不是就是说我在这张就要打那些香港那个电话能开通吗 
您好请讲 哎喂你好我想请问一下是接听是前面的吗 嗯没错全国接听都免费 国外呢 
您好您请说 诶你好诶我问一下就是我这边就是我我这个电话号码不是办了那个宽带嘛 哦怎么了 刚才我这是一个月多少钱啊 
您好您请讲 我想问一下我要充要用那个流量加油包是多少有多少钱的套餐呢 呃五百兆加油包有十元一百兆你现在如果要增加流量您可以考虑订一个三十元一g的流量包啊然后下个月取消掉因为现在订三十元一g的流量包的话我们移动公司是按天折算的只收您的价格是十五块七毛八流量有三百呃有五百三十八兆这个月用 十月三十块多少兆 
您好请讲 诶麻烦问一下你这边那个宽带是怎么弄啥的 宽带怎么了不能用吗 不是不是不是就是两宽带怎么消费怎么装安装 
你好 喂漫游有没有收费 漫游现在漫游不用收费的漫游接听是免费的您的套餐里面的分钟数是可以在就是套餐一千两百分钟可以在漫游用但是流量只能在省内用在省外流量就用不了 啊 
您好很高兴为您服务 呃呃你好我问我想问一下现在流量一g的是多少钱流量包 请稍等一下 呃 
上好请说 诶 你好 肯定有我那个套餐的十二月我是多多少钱的套餐 
您好请讲 你好问一下我这个套餐是多少钱的套餐 三十八的套餐 那我想问一下我上个月的呃这个月的话费是多少钱啊 
行 你好请讲 哎你好你诶我这个流量套餐是每个月多少钱的 请稍等一下我查一下嗯嗯那您好女士您这个套餐内每个月包含了是一个g的流量下个月有换换成那种幺八八的省内流量无限使用的 
您好请讲 支付宝喂你好 啊您说麻烦你帮我查一下我这个卡 就是说打出去的话应该 
您好请说 噢麻烦你请问一下我们打四零零电话电话开头的要不要收费 这边就要正常收费呃正常收费了嗯对是的 好的好的谢谢啊 
您好请说 诶你好嗯你好啊我问一下我现在这个套餐是多少钱呐 您除了八十八以外额外的您还有个来电提醒两块钱下个月改的是一百三十八套餐 那那那你能不能帮我改一下那个省份的的套餐呢 
啊您好很高兴为您服务 哎你好我这个号码打那个头哎投诉四零零的号码要要就打分钟数还是另外收费 拨打四零零的是吧这个的话分钟数会先扣就是有扣费的号码 又还要另外收费啊 
你好请讲 诶你好我我里面的流量是怎么收费的 先生是本机吗我看一下 不 
你好请说 帮我查一下那个套餐使用费 有一个什么 宽带的还有一个叫做家校互联呢 
您好请讲 啊请问一下我这手机那个 一个月套餐是多少钱十八块的 十八块然后应该是报停它的 
你好请讲噢你好我想说我的别人的昨天那个用完了二十块都不能用是吧 我看一下您在外省是吧 没有现在在那个国内 噢再不是您现在在省内还是在省外 
嗯您好 诶你好你好喂 你好女士您请说您好 诶你帮我查一下我这个套餐下个月是多少钱一个月的 
你好诶你好 诶请说 呃就是我之前是一直都是动感地带套餐嘛噢就是它的套餐费三十八对吧 嗯嗯是的 
您好 哎就是我那个我想问一下就是我那个套餐有一个就是打那个国内的一百分钟嘛不是我打电话那个我想一点都没有送啊 帮我 好的时候用 
哎请问一下那麻烦你啊喂诶其他我这个大众卡要不要漫游费的 现在已经取消漫游费了呀全国接听都是免费的 噢好谢谢谢谢不客气还有其他他拨打电话啦 拨打电话的话您这个是就是说呃呃忙时和非忙时的区别嘛然后您这边两城一家我就帮您取消了现在不需要了噢 
您好请说 哎你好我想问一下办理那个呃嗯那个什么八元的什么飞享套餐然后那个是嗯短信是怎么算的呢 发送国内短信每条一毛钱跟现在一样 噢好我我想问一下 
您好请说 诶你好我想问一下我这个套餐是八十八块钱一个月的是 对八十八块的三十 如果说我现在不想要用这个是直接取消或者说我要停机是直接可以诶办理吗 
您好请问算那就不是那种要买月租你好 你好我想咨询你一下我这个手机那个我那个八块钱套餐如果八块钱超过的那个我们一分钟是多少钱 一毛九用那个一毛九是吗对是 噢在市区内一分钟就是一毛九 
好的您好请说 诶你好你帮我查一下这个手机怎么收费的 别的手机就套餐费是八块的月头一次性扣 多少钱呢 
您好请说 哎你好诶我想问你一下噢像我是它是在外地吧然后我是想问一下就说这个有没有就说长打长途有没有算那个漫游费呀怎么那样 噢不会啊就是您在外地是接听免费嘛打电话就是一毛九每分钟就可以了 二这个那个呃等下就说接听就是都是按一毛九来算啊 
嗯好 您好请说 你好我我呃就是想查一下另外一个手机号他的那个发信息要不要钱你能帮我查一下号码多少呢幺五二幺五二八零六六 八零六六还是三零六六八八五零八零六六 
挂机您好请讲 卡那个二十八套餐这个资费发送发送一下吧 呃就是新飞享八十八元套餐资费啊 可能我下个月办理这种 
为您很高兴为您服务 嗯咱们办这个号码问等登录全国流量 您好 用了 
您好请说 扣喂你好你好你麻烦你帮我查一下我这个卡的套餐是多少钱啊 请稍等我看一下啊十八块钱的 十八块钱是吗的那那我这个月一共有交了几次话费啊 
您好请说 嗯哎你好我想问一下我这个是一六版的套餐还是一一版的套餐 您这个的话是一六版呢 那可以改成有一版的呢 
嗯您好请说 喂你好 您好喂有什么可以帮您 对喂 
嗯您好很高兴为您服务 喂你好我想请问一下我这张卡的那个噢情况 您稍等我帮您看一下帮您看到您这边套餐里面没有包含任何的流量您也没有使用上网啊 噢它是一个月多少钱的这个它这个卡多一个月多少钱 
嗯您好高兴您服务您好 诶我这个流量是怎么收费 流量是吗稍等一下我看一下噢您这号码的套餐本身里面带的就是一百兆流量给您用的然后您现然后我们在这个月还有送您两百兆的省内流量所以您现在人在福建省内的话这个月到目前为止还剩下两百八十二兆的省内流量给您用说流量还是有的不用担心噢 诶下个月我有多少这个流量一百分钟三百 
很高兴为您服务呃您好我想问一下办一个加油包要多少钱一百兆了 十块钱 噢那有两百兆呢 没有两百兆的我们可以推荐您办这个三十的当时的流流量套餐您现在办它只收一半的费用收您十五块七毛八流量有五百三十八兆这个会划算一点 
您好请讲您好请说您好 您说我请问一下噢我这个三十八元的套餐你不是有一个新危险那个套餐嘛是不是三十八块的 永新飞享三十八 噢那我要改那个那你不是有一点五g的流量嘛是不是三百分钟话费噢 
很高兴为您服务 诶 诶喂你好 我想请问一下这个我现在这个钟申请这个宽带吗 
您好高兴您服务 嗯我想问一下就是我啊套餐现在那个国内打国内那个一百分钟用完了然后我现在还剩打国内是一分钟是怎么算的一毛九分多少钱嗯嗯 一毛九 一毛九 
