诶你好 呃请说 
您好很高兴为您服务 哎请问这个光纤现在是一个月是多少钱的 
您好请讲 哎你好我问一下那个买那个那里边的铃声买一张换的那是多少钱 
您好请问什么可以帮您 诶您好就是我想了解一下就是那个流量吗我现在这个卡是三十八套餐吧 
您好请说 好你好帮我查一下我本机那个是是资费套餐是怎样的啊 
您好很高兴为您服务 诶你好我想问一下就是比如说客户他去那个新加坡那边的漫游的话啊好那个诶啊啊呃就是他老婆去新加坡那边漫游的话它现在它那个流量的话要怎么算嘞呃是贵点另外一张卡吗还是要另外一张卡 
您好请讲 诶您好我想我想还有一个宽带那我想问一下宽带一个月多少钱呐 
你好请说 哎现在来电提醒一个月多少钱 
您好请讲 喂你好请问一下我这个里面有那个什么亲情号码的噢 
您好请讲 喂你好我想请问一下那个流量保一个月多少钱嗯流量保 
您好请讲 我问一下我这个这个手机如果是拿到外地就用我弟弟的话要漫游费吗 
您好请讲 您好 
您好您请说 噢你好那个我想开通那个香港的那个 
你好请讲 哎喂你好 
很高兴为您服务 喂你好诶你好请讲我想一下不是我这架手机如果就说我现在去北京的话那话费怎么算就是晚上有一百分钟是免费的有没有包含在内呢 
您好请讲 你好嗯嗯麻烦你帮我 
您好很高兴为您服务 喂你好请问一下我这张卡是怎么收费的 
你好我下午好请讲你好 我这个那个流量不够用了这个满意都要多少钱啊 
您好请说 嗯 
中午好很高兴为您服务 我想问一下我这个号码收费标准是怎么样 
你好您好请说 我问一下你们那个最低保底的那个电话电话卡是多少 
早上好请讲 喂你好我想问你一下嗯嗯嗯我这个电话再下发短信怎么收费啊 
嗯好您好请讲哎 噢现在只要开来电提醒一个月多少钱呢 
咨询哎你好请讲 哎你好我问一下我这个电话号码跟那个宽带连接它那个收费是怎么收 
您好请讲 诶我这个全球通的多一分钱多少一分钟多少钱的这现在 
您好很高兴为您服务 呃你好呃欠然后你帮我查一下我这个手机是怎么收费的呢 
您好请说呃喂 诶您好 
您好很高兴为您服务 诶你好 
您好 哎小姐你好请问我本机去泉州漫游的话是怎么收费呀 
你好喂 你好我那个手机就是说从三明过来这边厦门的一个月这个东一分钟通话费是多少啊 
嗯您好很高兴为您服务 诶你好我现在那个套餐是不是三十八块的 
您好请讲 那帮我查一下我这个这个这个电话那个套餐费多少什么套餐 
您好很高兴为您服务你好 喂你好 
诶您请说 诶你好嗯嗯呃我问一下我这个套餐资费那个流流量是怎么算的 
很高兴为您服务 诶您好我想问一下现在那个移动的这个流量套餐有多少钱的 
去香港可以开通国际及港澳台漫游功能开通之后的话手机噢您已经开过了手机就有信号了那您去香港要开当地的流量套餐吗 呃是怎么算 
您好请讲 哎你好那个每天就是给我发那个新闻那个是要收钱的吧 
您好很高兴为您服务 诶你好那个我三元是四十条短信然后还有上面还有多多少兆元的几条 
您好请讲 诶你好帮我查一下我这个呃号码一分钟打电话是多少钱 
您好很高兴为您服务我我现在那个现在那个通过来电显的按 您现在是要什么来电等待我就呼叫等待是吧 
就是您好请说 喂你好 
您好请说 等下我想咨询一下我这本机号码如果要开通台湾的话费用是是怎么计算的 
你好 喂你好 
诶您好很高兴为您服务哎你好我想问一下我那个不是流量那个是流量套餐嘛噢 然后呢 
您好请讲 喂 
您好请说 诶您好我想问一下我这个卡的套餐是是怎么样子的收费 
嗯嗯呃您好很高兴服务 呃您好我想问一下我现在这个套餐那是那个费用是多少 
嗯您好很高兴为您服务 哎你好美女 
嗯嗯您好很高兴为您服务您好请问什么可以帮您的呢 帮我查一下我这手机是多少钱的套餐啊 
您好请讲 喂你好帮我帮我查一下我这个套餐是怎么回事哎稍等一下好嘛嗯哦 
您好高兴为您服务 你好我想请问一下我这个每个月套餐多少钱 
您好请讲 哎你好我想问一下我的手机有一些什么收费标准 
您好请说 诶你好那个我我不是我加入一个那个题时间用的那个机机号码吗如果我这样子给别人国际长途打电话不要收钱了 
您好请讲 诶我问一下我那个费用怎么算呢天天都要扣那个什么费用 
您好请说 哎你好我是厦门翔安的我想问一下你们新装的宽带有没有包年的呢但是宽带 
您好请讲 你好你帮我看下我我我这个手机号码这个套餐一个月多少钱呐 
您好请说 啊你好我想开流量然后就是说跟增加流量是多少钱一个月他说就是多少钱第一个 
你好有什么可以帮您流量 你好我我想我我昨天手机我在什么共享流量池里面点进去加了一个家庭好友那这个要收费吗 
嗯很高兴您服务 呃好你你帮我查一下我这个手机的套餐如果去省外的话那个市话收费怎么收 
您好请问是新装宽带吗 噢宽带那是怎么收费啊您是用本机号码包含几个号码吧功能本身本机啊 
对您好很高兴为您服务 然后嗯嗯喂 
谢谢 您好请说 
嗯嗯 早上好很高兴为您服务 
疑问 您好请说您好 
您好请讲 哎你好诶我想问一下那个我把手机他是不是在幺五八的那个他是神州行到现在现在它是南平地区的嘛然后他去外地还有漫游费吗 
您好请说喂你好您好 呃我我这个号码是在哪里接都都是免费的吗 
对您好请讲 呃您好我想问一下你们现在有那个三十八元套餐吗 
您好请说 诶你好诶我这个手机套餐是十八元还是三十八元的其他的它前面一个月有打电话叫我办那个三十八元我说今天也他说没给我办啊 
您好请讲 请问一下我这个手机它它这个我这里面套餐是多少钱 
哎您好很高兴为您服务 呃你好 
你好 哎你好我想问一下就我现在用的这个就这个手机号码的套餐里面反正你们用那个短信发一个详细的那个给我吗 
噢嗯您好很高兴为您服务 我刚才开这些模式的时候然后好像有人给我打电话但通话就那个这边没有出啊你能帮我查一下我 
您好很高兴为您服务好就是我什么北京今天好像什么时候办理套餐 比如说办理套餐 
子对您好请讲啊 二二 
很高兴为您服务 喂你好 
您好请讲诶你好您好您说嗯嗯喂 能听得到我声音吗 
您好请讲喂你好我想问一下我这个套餐多少钱一个月的嗯三十八元 哎 
哎您好请说 喂你好请问一下我这个如果分钟用完了超过了一分钟多少钱 
您好请说 喂你好 
您好请讲 诶请问一下我这个卡是不是资费怎么样给我帮我查一下好吧 
你好我想问就是本机套餐一个月是怎么资费啊 稍等一下 
你好请讲 哎你好请问我这个手机号码是怎么收费呢 
嗯 您好请讲 
早上好很高兴为您服务 你好我这个我不是有牵一条宽带的那个流量的嘛我想再另外一个号码 
您好请讲 哎你好我想请问一下我这个手机的流量它是怎么收费的 
您好很高兴为您服务 哎你好我想问一下我这个电话的是现在套餐是多少钱 
您好很高兴为您服务您好 那个那个我这张卡打电话是多少钱一分钟啊 
您好有什么可以帮助您 给我查一下那个一一个开通一个流量就是二十块钱呐 
嗯嗯嗯嗯其他的话多少钱啊啊谢谢 呃是这样子你能帮我查一下我这个现在我那边那个手机我用了好多呃套餐或者是什么样的那个资费 
您好很高兴为您服务 喂你好那个我现在这个套餐是怎么样子收费嗯是怎么样的 
你好对您好请讲 喂你好我想问一下我这张卡为什么呃我的应该是说我的套餐费是八十八块钱是吧 
您好请讲 哎你好我问一下我现在套餐是多少钱的套餐呀 
谢谢您好很高兴服务 你好王到那个台湾的但这部手机办流量在厦门接呃一分钟接打是多少钱噢 
啊您好请讲 你好 
嗯 哎您好请说诶你好我想问一下那个全球通到香港的话呃接打电话它业务就那个收费接需要需要那个需要那个呃扣费吗还是说有人接跟打都是九毛九一分钟噢接也是是吧嗯对这是全球通的是的那如果是如果神州行的话那就是一样的国际的都是同一同一收费接打都是九毛是吧一毛九一毛九好这样子吧好的谢谢不客气其他有什么可以帮您的噢谢谢那感谢您的来电 
您好您请讲 哎你好诶我这个是呃多少钱套餐吗 
通您好请说 喂你好诶我想咨询我这个号码是那个怎么收费的 
您好请讲 喂你好嗯我问一下我这个一个月套餐多少钱 
您好请讲 你好问一下这个套餐现在是怎么收费的 
您好请讲 哎你好问一下噢 
您好高兴为您服务 诶你好我请问一下我这个套餐一个月是多少钱 
您好请说 呃我想咨询一下就是说移动的移动的宽带是怎么算呢 
你好请说 呃我这套餐是多少钱的 
您好请问是本机要新装宽带吗 我问一下那个装宽带要多少钱 
您好 喂你好我想开通那个香港国际吗流量要多少钱 
您好请讲 哎喂你好我想请问一下是接听是前面的吗 
您好您请说 诶你好诶我问一下就是我这边就是我我这个电话号码不是办了那个宽带嘛 
您好您请讲 我想问一下我要充要用那个流量加油包是多少有多少钱的套餐呢 
您好请讲 诶麻烦问一下你这边那个宽带是怎么弄啥的 
你好 喂漫游有没有收费 
您好很高兴为您服务 呃呃你好我问我想问一下现在流量一g的是多少钱流量包 
上好请说 诶 
您好请讲 你好问一下我这个套餐是多少钱的套餐 
行 你好请讲 
您好请讲 支付宝喂你好 
您好请说 噢麻烦你请问一下我们打四零零电话电话开头的要不要收费 
您好请说 诶你好嗯你好啊我问一下我现在这个套餐是多少钱呐 
啊您好很高兴为您服务 哎你好我这个号码打那个头哎投诉四零零的号码要要就打分钟数还是另外收费 
你好请讲 诶你好我我里面的流量是怎么收费的 
你好请说 帮我查一下那个套餐使用费 
您好请讲 啊请问一下我这手机那个 
你好请讲噢你好我想说我的别人的昨天那个用完了二十块都不能用是吧 我看一下您在外省是吧 
嗯您好 诶你好你好喂 
你好诶你好 诶请说 
您好 哎就是我那个我想问一下就是我那个套餐有一个就是打那个国内的一百分钟嘛不是我打电话那个我想一点都没有送啊 
哎请问一下那麻烦你啊喂诶其他我这个大众卡要不要漫游费的 现在已经取消漫游费了呀全国接听都是免费的 
您好请说 哎你好我想问一下办理那个呃嗯那个什么八元的什么飞享套餐然后那个是嗯短信是怎么算的呢 
您好请说 诶你好我想问一下我这个套餐是八十八块钱一个月的是 
您好请问算那就不是那种要买月租你好 你好我想咨询你一下我这个手机那个我那个八块钱套餐如果八块钱超过的那个我们一分钟是多少钱 
好的您好请说 诶你好你帮我查一下这个手机怎么收费的 
您好请说 哎你好诶我想问你一下噢像我是它是在外地吧然后我是想问一下就说这个有没有就说长打长途有没有算那个漫游费呀怎么那样 
嗯好 您好请说 
挂机您好请讲 卡那个二十八套餐这个资费发送发送一下吧 
为您很高兴为您服务 嗯咱们办这个号码问等登录全国流量 
您好请说 扣喂你好你好你麻烦你帮我查一下我这个卡的套餐是多少钱啊 
您好请说 嗯哎你好我想问一下我这个是一六版的套餐还是一一版的套餐 
嗯您好请说 喂你好 
嗯您好很高兴为您服务 喂你好我想请问一下我这张卡的那个噢情况 
嗯您好高兴您服务您好 诶我这个流量是怎么收费 
很高兴为您服务呃您好我想问一下办一个加油包要多少钱一百兆了 十块钱 
您好请讲您好请说您好 您说我请问一下噢我这个三十八元的套餐你不是有一个新危险那个套餐嘛是不是三十八块的 
很高兴为您服务 诶 
您好高兴您服务 嗯我想问一下就是我啊套餐现在那个国内打国内那个一百分钟用完了然后我现在还剩打国内是一分钟是怎么算的一毛九分多少钱嗯嗯 
您好请讲 呃我问一下我那个手机是不是有什么功能打开了 
您好请讲 喂你好那么一个g是不是三十块啊 
你好 你好帮我查一下那个呃七十块钱两g的流量现在需要补多少钱的月租 
您好请讲 哎你好麻烦你反映下本机是多少钱一个月套餐 
您好很高兴为您服务 你好帮我查一下我这个本机套餐是多少钱的 
嗯 他您好很高兴为您服务请问您要帮我看下我这个钱套餐一个什么收费请稍等正在为您查询 
嗯嗯您好请说 可以就请问一下那个流量用超过一一兆扣多少钱 
您好请说 哎那个现在的流量我我流量包用完了然后想问下再开通个流量的话一个一个一个月交多少钱 
您好很高兴为您服务 那你帮我查一下这个手机号码的每个月套餐费是多少钱啊 
您好请讲哎您好 您好搞那个开通一个g流量多少钱 
嗯嗯您好很高兴为您服务 诶请帮我查询我这个号码怎么收费呀 
您好高兴您服务您好 诶你好诶我想问一下我这个呃这个号码的话它现在的话套餐是呃是多少钱 
什么嗯您好请讲 哎我问一下就是那个家庭网络那种就是那个电视盒要是以后更新还是安装什么都里面要扣费吗 
您好很高兴为您服务 你看一下我的套餐是多少钱的 
您好请讲 多少哎你好我刚才关了一个什么就是那个就是特级会员免费专属临河就是免就是要费用的吗 
您好请讲诶 电话本机的话他拨打呃因为我这个现在好的哎这边呃呃拨打的话一分钟是多少钱 
你好请说 诶你帮我看下我这个套餐是多少钱呢 
你好 喂你好我想请问一下您全球通它现在最低的套餐费用是多少钱 
您好请说你好你帮我查一下这个这个话费扣的测试什么啊 好稍等一下我给您查一下这个月的吗 
您好请讲 呃你好我想问一下我这部手机是怎么收费的 
还有什么可以帮您 的 
您好请讲 身份证我们我们有办了一个号交易这个多 
您好请讲 你好 
您好请说 喂你好 
您好很高兴为您服务 你好诶我只是这样的噢嗯我刚刚有信号说你们那边咨询什么那我用套餐这个是多少钱的八十八幺三二 
您好请讲 喂你好你帮我查一下我这个手机把我那个另外一个给我绑定那个家庭网那一个怎么有经常打过去它手机之后关机的话它一条短信过来那个要给我说要什么费用吗 
您好请说 诶给我看下我原来这个是多少多少钱的套餐 
您好请说你好 诶你好 
您好请说您好 喂你好请问一下本机是多少分钟了 
嗯嗯嗯 您好请讲 
下午好很高兴为您服务 诶你好我想查询一下我我我这个那个手机丢了没什么用我看了好像今天来来电显示现在来电显示要不要钱呢一个月 
您好请讲您好 诶你好我想问一下我现在的套餐一个月是多少啊 
您好请问什么可以帮助您 诶你好我这个有来电就是那个给我关机了嘛然后开机的时候它就提醒我上次给我打电话了吗然后这个有一个就是短信就是一个是两毛钱对吧 
您好很高兴为您服务 你好我这个月租卡是多少的 
您好请问有什么可以帮您 我现在发现我买的套餐 
您好 呃喂您好我想咨询一下开通那个什么国际漫游的话是怎么收费 
嗯 您好很高兴为您服务我那个手机是多少钱套餐有什么套餐有那种 
您好请说什么意思啊恩你好 呃我订那个 
您好请讲 的我一个月拦截功能 
您好您说 诶请问我那个我们那个我有个咪太嘛然后它是这样子这个移动的然后一天一g吗超过一g另外收费那超过一g的话是怎么收费啊 
噢 啊 
您好请讲 你好我想咨询一下就是我这个号码我想转接到另外一个卡上面转接要收费吗 
您好请讲 呃你好呃就是我想请问这种这八十八块钱的套餐流量到是省外的就是流量怎么算的 
您好请讲 流量套餐帮我看一下 
您好请讲 噢是这样的我的套餐是二十八元是吗 
您好请讲 喂你好 
嗯嗯就是您好很高兴为您服务 喂你好请问一下那个共享流量流量包那个四季要收钱了 
请问一下我这张卡那个啊分钟后来工作人员怎么算多少还是 您稍等一下有什么六百你好您的流量的话已经用完用超了超了五十六块钱 
您好请说 喂你好你就那个现在应该一g流量我现在开是扣多少钱 
您好请讲 诶你好那个最近在哪里那个套餐呢就是那个流量套餐 
你好请讲 哎你好哎 
早上好请讲 呃你好我问一下牵宽带现在多少钱噢女士这个号码家里要新装宽带是吗这样子然后我我不想嗯不连接那个这个手机号嘞 
不用了拜拜喂你好 诶您好请讲 
你好我现在就可以通过我只收一百五六零您好他不会收取能听见喂喂你好请讲诶我这个国际漫游开通的网络 好您稍等马上帮您查一下 
您好请讲 呃你好我想请问一下呃移动的啊那个呃菲律宾的电话一分钟是多少 
哎 嗯 
您好很高兴为您服务 诶麻烦问一下那个宽带里面也人家一年多少钱 
早上好 你好那个我想问一下我不是装那个宽带吗好像可以免费家那个网络电视是吧 
早上好 诶我这个我一个月套餐要多少钱的帮我查一下 
回来您好高兴您服务 诶你好请问一下我现在人在香港日本现在这个流量是怎么算的就是wifi的流量就是我们的流量手机该怎么算 
嗯 您好请讲 
换点那个长或者对对对对就你好你说特别大那个我想问一下我这个套餐是多少钱的流量有多少 呃这张卡目前使用的是五十块套餐包两g流量跟来电显示 
你好 诶你好呃我想问一下那一个哦你们现在不是有有一个那个一天一元五百兆的那个卡吗 
很高兴您服务 喂你好 
您好请说 喂 
您好请讲 我问一下就是现在办个宽带是多少钱呀 
嗯嗯 您好很高兴为您服务您好 
很高兴为您服务 诶请问下你们那边流量包都有什么价位啊 
您好请说诶你好帮我咨询一下啊我帮我查询一下这个本机哎总的套餐是是怎么消费您这码卡是无线座机的请问你一下是无线座机每个月通话保底消费十块钱只要您在就是南安省新片区这边的话拨打就是本地的本身泉州的移动号码两千分钟之内免费就是说就是在我们自己南安南是里面的范围然后打打出泉州的拨打泉州的移动号码 噢 
很高兴为您服务 喂你好 
您好请说 哎你好我想问一下我这个套餐是多少钱的套餐 
您好请您说 你好呃我手机号是开通了一个流量的安心包啊是没错 
嗯您好诶您好你你帮我查一下那个步行街的那个二十七栋九十几号的宽带你帮我查一下费用 呃您是 
您好请讲您好 哎你好我这个套餐是多少钱你帮我查一下 
您好请讲 等下你帮我查一下我这个宽带多少钱呀 
您好很高兴为您服务考虑保留 哦你你帮我查询一下我现在套餐是多少钱然后还有什么其他附加的套餐吗其他的业务套餐帮我查询一下 
嗯您好请说 诶你好我想咨询一下那个宽带装装你们有限那个也是网络电视的话需要二十块钱充值费吗 
您好很高兴为您服务 啊我问一下我那个套餐一个月是交多少钱噢 
噢您好请讲嗯 哎就是我我今天人人在香港吗这边的话那个流量的话十块你们有没有什么区有没有超过七天了好的 
没有 您好很高兴您服务 
你好 好 
您好请讲 啊我想开通一下那个国际服务了通话的 
您好请说你好我想问我这边分钟打完了嘛我就申请怎么就打完了是不是好的 那马上帮您检查一下请您别挂呃您是说的没错分钟数目前为止帮您查询用完了 
你好请讲 嗯小姐问一下我这个这张这个套餐如果一百分钟用完以后每分钟是多少钱 
您好请说 不要哎你好嗯我购买一个流量怎么怎么怎么过来 
呃很高兴为您服务 可以诶喂我请问一下那个飞享套餐八块钱一个月八块钱的飞享套餐是怎么回事怎么收费的 
您好请说 喂请问一下我这个当地卡那个这个福州问题能用的时候是怎么收费的吧 
您好很高兴为您服务 诶你好诶我想办理问一下诶我这这这个卡是打和接是多少钱帮我查一下看一下 
你好嗯 您好请说 
您好很高兴为您服务 喂你好 
您好请讲 嗯你好我想问一下那个这卡那个办那个无线那个流量卡那个那个就是要多少钱一个月 
你好 喂 
诶您好 诶你好 
很高兴为您服务您好 呃你好请问一下你们现在移动这边最便宜的这个月套餐是多少钱啊 
从这个 月就能查嘞 
很高兴为您服务您好 嗯问一下你这这个这个卡如果达到那个莆田涵登那个这个话费怎么算 
您好请讲你好 呃喂您好 
嗯嗯 啊 
您好请讲 呃您好我刚才的话就是呃查到的话我这边的话呃有来电提醒的一个一个业务每个月需要三块钱是吗 
您好请说 我想问一下就是要是别人它说什么要我的电话号码然后做那个什么学联系学校的无线就是注册那个是要收费的吗就是拿那个电话号码去那个注册那个学校的wifi吗那个是要钱的吗 
您好请讲 喂你好 
您好请讲 诶现在三十八元套餐呢那个现在是怎么算 
您好请讲您好 你帮我查一下我这个办的时候现在办这宽带是怎么收费的呀 
哎您好请说 你好我帮我查一下我这个手机号码绑定的这个宽带是怎么收费的 
您好高兴为您服务 诶请问一下流量对一百兆多少钱 
嗯您好请说 对你好那个我想咨询一下那个港澳台开通港澳台港澳台那边这个 
您好请讲 呃您好我想请问一下你帮我查一下我现在补寄这个套餐啊到底是多少钱一个月的 
您好请讲 不了诶你好我这个套餐是多少钱呐的 
您好什么帮您诶喂你好我想问一下呃 这个发一条短信是多少钱 
你好早上好 喂你好我想这个我这个本机的套餐费是多少的 
早上好 哎你好我想查询一下那个如果办那个国内流量的吗当天的是什么费用 
呃你好请说你好我想问一下我目前这个套餐是怎么资费跟我说一下喂你好哎验证码您好 您说呃您好不好意思您刚才声音太小我这边没有听到 
哎您好请说 呃我想问一下我这张卡现在在外地接电话要不要话费呀 
您好很高兴为您服务 二我我问一下我如果 
您好请说呃 嗯请问那个加油包出初始化一个g多少钱 
您好请讲 我我帮我查一下我套餐是多少钱的 
您好请说幺喂你好诶您好诶我 问一下我那个流量是省内流量但是我连现在在河南的流量是国内流量已经用完了这个流量是怎么算的超了超了保证超了七八百兆 
您好请说您好 我这个套餐是多少钱的嘞 
您好很高兴为您服务 喂 
您好请说 诶现在装宽带的话多少钱呢 
您好请讲 诶问一下我这个呃套餐嗯是多少钱呢 
您好很高兴为您服务 诶请问一下那个我的那个呃套餐以外的每分钟要多少钱啊 
您好很高兴为您服务 嗯比如说我这张卡拿到山西套餐会怎么算的上网 
问题吗您好请说 你好我想问一下我现在套餐是多少钱的套餐 
好请说 你好呃帮我查询下这个卡呃套餐接电话交钱吗 
您好 诶问一下我们现在有一种什么新乡经超微信想费套餐是怎么资费是什么样的 
您好请讲 哎那个美女请问一下我现在本机套餐是多少钱的套餐 
您好请讲 你好今天今天有个那个什么幺二五八零的一个什么短信的那个那个那个那个那个那个什么包啊那个是要收费了吗你帮我取消掉呗哎 
您好很高兴为您服务 喂你好我想咨询一下我这个号码办理那个宽带的费用问题 
您好请问什么号 喂你好 
您好很高兴为您服务 哎你好我想开我想问一下我要是开通就是几天那个国际漫游的话收费是怎么收费啊 
高兴为您服务 呃喂你好我想咨询一下你们那边宽带的这个情况就是一年多少 
您好很高兴为您服务 唉你好那个我想办一个宽带就是这个现在有什么套餐 
您好很高兴为您服务 哎你好我想问一下我们这个手机号码的那个宽带业务是不是到期了 
六九二九九 您好很高兴为您服务 
您好很高兴为您服务 喂你那个我看刚才在官网那个什么关 
您好很高兴为您服务喂你好我想 这个买这个流量是怎么买的咨询一下 
对您好高兴您服务喂你好这手机这个月套餐那个十六元的充资费是怎么收的 您说十六元的对吧那这边就是说是这样子的您不是您是要改套餐是什么 
您好恩 嗯嗯我想问一下我手机里面有个魔百盒还是送那个对 
喂 您好请讲 
您好很高兴为您服务 这样我问一下我这个号码到外地打打电话的话呃接电话要钱吗到外省是吧对对对额外省的话您打电话 
哦 呃您好很高兴为您服务 
您好很高兴为您服务 唉你好你帮我问一下我这个套餐是多少钱的 
您好很高兴为您服务 喂你好我想我想呃这个套餐下个月给我改成那种流量多一点的就是电话少一点的它是多少钱一个月的 
您好兴为您服务 哎你好我想问一下啊比如说人家打电话给我我把人家 
您好很高兴为您服务 你好我想请问一下现在四g套餐里头最便宜的是多少钱 
您好很高兴为您服务 喂你好什么你好唉我想请问一下我是就是通话两百分钟两百二十分钟通话断掉了有这座机分钟啊 
您好很高兴为您服务 唉你给我 
您好高兴为您服务 喂你好 
您好很高兴为您服务 哎你好我想问一下就是咱们现在这个宽带一百兆现在是多少钱 
您好很高兴为您服务 唉我请问一下话费啊就是说到这个柬埔寨去这个到了当地以后我跟导游之前这个话费多少钱不在 
您好请讲 噢 
您好很高兴为您服务哎你好我想问一下这个流量十块钱流量多少 十块钱您是说这个月临时加十块钱吗 
为您您好很高兴为您服务 唉你好我问一下我现在这个手机是集团短号是多少钱一个月的呢 
您好很高兴为您服务哎你好我想查一下这个呃电话卡的资费的状况您现在是一个神州行的大众卡十块钱 其他消费就想稍等一下啊嗯嗯其他收费项目就没有了就这些 
您好很高兴为您服务 唉你好呃我想问一下我想那个到日本开通海外漫游呃就现在的费用是怎么日本是怎么计费的 
您好兴您服务 唉先生你好 
您好兴您服务您好 不是我现在像月底下个月用十块钱大大概现在不是现在到月底的话大概加多少兆了呢 
公司唉 您好很高兴为您服务 
您好很高兴为您服务 唉唉唉小姐我问一下啊我我们是嗯本来是三十号最后一天八月三十号呢我我换了一个就是我家里的都我是群呃那个呃就是家里的那个六个人就是互打电话可以免费的就是我是我定的后来我换了一个号码然后呢你们不知道工作人员 
很高兴为您服务 你好我是想咨询一下我这个套餐是有一个叫什么就是这种充值亲情电话就是每个月同步了以后就是那个互打信息的互打这边就是说是是免费的 
您好很高兴为您服务唉你好 呃我想问一下今天是八月一号我那个宽带费应该扣掉了吧 
很高兴为您服务你好您好请说恩 我向你们反映就是我的幺零二幺零八幺八六这个号码的问题啊 
您好很高兴为您服务 你好是这样的我现在流量不够了 
您好很高兴为您服务 哎你好我想问一下我现在套餐的那个流量快用完了我想问一下你们有什么加流量的那手机卡密码有一个任我翻活动一个套餐计算可以加二十块钱再给您是 
您好兴您服务 哎你好我想问一下我这个手机今天的话我想开通一个呃去日本当地的话一个流量一一个流量包你们这边怎么收费的呀 
您好高兴为您服务 呃喂你好我想问一下那个短信二十四块每个月就是那个什么视频的三十个g这个要钱吗 
您好很高兴您服务啊 喂兆 
您好很高兴为您服务 哎你好我想问一下哈就是我现在我这个号码是上海的然后我现在山东然后我想这个月就流量不够了我想买一点就是怎么合适呀 
您好请说喂你好 那个我想问一下呃那个九月一号不是说那个打长途是按照市话收费我想问一下市话现在是多少钱一分钟啊 
您好很高兴为您服务 唉你好我这个号就是十八元套餐那个在外地打电话现在多少钱一分钟啊 
您好很高兴为您服务 喂你好嗯嗯我想问一下我如果是换成三十八块钱的套餐是这样子的 
为您服务 唉小姐我问一下我早上的办了这个三十八块下个月套餐我想问这个你给我看看我老年人不懂啊就是打电话还还能打吧免费的好吧 
您好很高兴为您服务喂你好我想请问一下我看你们那个有自选套餐嘛你们现在里面有一个是三十元一g的是多久 那他就是内容就是一点怎么加拨九十 
您好高兴为您服务您好 唉你好是这样子的我的手机号码幺三五零幺八幺三五七六是这样我爸爸是每个月八十八块钱的套餐我想问一声这八十八块钱的套餐里面包含了些什么东西 
您好很高兴为您服务 你好我问一下我的那个月租多少钱的套餐 
您好很高兴服务 帮我查一下我上个月的那个升级的套餐下个月就转回要多少钱啊 
您好很高兴为您服务我想问一下现在那个九月份开始那个手机打电话都是一毛钱是吧 那套餐算的套餐是多少兆多少您现在套餐是一毛九的 
很高兴为您服务 喂你好我想查一下我的那个流量套餐现在是什么情况每个月交多少钱或者多少数据流量多少语音话费流量 
您好很高兴为您服务 我想查询两张四g上网卡里面的套餐内容 
您好很高兴为您服务您好唉请讲 我想我这个套餐的流量是多少 
好好 您好很高兴为您服务 
您好很高兴为您服务 喂你好就是我现在那个月租是多少钱一个月 
您好很高兴为您服务 但我前面不想去弄了一个东西就是什么留言的是不是要收钱 
为您服务 啊我你好你好问一下那个长长途是怎么算的 
对您好很高兴为您服务 哎你好我想咨询一下那个老人卡它那个不是接听免费吗那么如果在外地的话那个接电话是不是也是免费的也是免费的噢那就在外地的话就是我我打给他他接电话不要钱的是吧对的好的那谢谢啊 
您好很高兴服务 喂你好我想麻烦你帮我查一下我月租是多少钱呢 
