诶 你好   呃 请 说   哎 你好 诶 我 像 我 这个 手机 如果 是 在 跨地区 一分钟 是 多少 钱 呐 打   帮 我查 一下 您 稍等一下 您 这 张卡 现在 是 在 整个 大陆 打 大陆 的 移动 六分 大陆 打 联通 电信 是 两毛
您好 很 高兴 为您服务   诶 你好 我 想 问 一下 就是 比如说 客户 他 去 那个 新加坡 那边 的 漫游 的话 啊 好 那个 诶 啊 啊 呃 就是 他 老婆 去 新加坡 那边 漫游 的话 它 现在 它 那个 流量 的话 要 怎么 算 嘞 呃 是 贵点 另外 一张 卡 吗 还是 要 另外 一张 卡   是 这 样子 如果 去 新加坡 漫游 首先 是 他 要 先 有 开通 国际漫游 功能 到 那边 开通 然后 然后 如果 是 流量 方面 我们 针对 新加波 地区 您 可以 开通 一带 一路 多 国 流量 包它 有 三天 五天 七天 然后 您 可以 根据 您 自己 的 行程 呃 进行 办理 这个 流量 包   三天 五天 之前 是 在 要 在 营业厅 办理 是 吧
您好 请 讲   诶 您好 我 想 我 想 还有 一个 宽带 那 我 想 问 一下 宽带 一个月 多少 钱 呐   稍等一下 我 看 一下 哈 宽带 您 就是 刚卡 现在 有 一家 要 新装 办理 我们 宽带 是 吗   有个 什么
你好 请 说   哎 现在 来电 提醒 一个月 多少 钱   来电 提醒 的话 一个月 两块钱 愉快   就是说 我 关机 或者说 不 在 服务区 都 有 来电 提醒
您好 请 讲   喂 你好 请问 一下 我 这个 里面 有 那个 什么 亲情 号码 的 噢   家庭网 对   他 那个 要 怎么 处理 如果 要是 号码 把 那个 幺 幺 零 五加 一个 就要 怎么 算
您好 请 讲   喂 你好 我 想 请问 一下 那个 流量 保 一个月 多少 钱 嗯 流量 保   啊 您 是 说 流量 保嘛   好 的
您好 请 讲   我 问 一下 我 这个 这个 手机 如果 是 拿到 外地 就 用 我 弟弟 的话 要 漫游费 吗   不要 漫游费   不 呃 不是 跟 打 天天 要 要 要 收费 吗
您好 请 讲   您好   喂 你好 我 想 问 一下 如果 您 我 另外 一个 号码 的话 想 复机 嘛 我 不来 停机 吗 然后 我 今天 想 复机 的话 你们 这个 收费 怎么 收 如果 现在 复机 的话 这个 月 的 来电显示 套餐 的 费用 都 要 正常 收取 的 就是 办 没有 跟 我 说 是 十五号 以后 是 半个 月 的 还是 一一 整个 月 赠送 吗 噢 如果 是 来电显示 这些 都 是 收一 整个 月 的 套餐 费 的话 要 看 什么 套餐 有 号码 和 密码 吗 我 可以 帮 您 确认 一下 又 可以 啊 购买 多少 幺 三七 哦 零六 零六 嗯 零五 零六 六七 那 麻烦 您 输 一下 密码 按井号 键子 书 哎 呃 很 抱歉 密码 输入 错误 密码 不 知道 吗   帮 我 问 一下 你 那个 我 那个 号码 你 按 的 是 多少
您好 您 请 说   噢 你好 那个 我 想 开通 那个 香港 的 那个   广东 呀 完 了 噢   噢 好
你好 请 讲   哎 喂 你好   诶 你好   哎 就是说 现在 比如说 那个 这 张装 宽带 那个 从 那个 要 怎么 收费 了
很 高兴 为您服务   喂 你好 诶 你好 请 讲 我 想 一下 不是 我 这架 手机 如果 就 说 我 现在 去 北京 的话 那 话费 怎么 算 就是 晚上 有 一百 分钟 是 免费 的 有没有 包含 在内 呢   话 没有 的 是 一百 分钟 只能 在 福州 本地 用 如果 您 去 北京 让 您 接 是 免费 的 但是 您 打 一分钟 要 一毛 九   噢 这 样子 诶 那 我 刚才 收到 一条 短信 说 什么 呃 呃 三星级 客户 这个 是 什么 意思 呢
您好 请 讲   你好 嗯 嗯 麻烦 你 帮 我   查看 一下 我 的   就是 那个 流量 噢 流量 我 上次 按 了 那个 什么 嗯
您好 很 高兴 为您服务   喂 你好 请问 一下 我 这 张卡 是 怎么 收费 的   您 这 张 是 技术 卡 它 这个 月租 十九块 钱 一个月 的 然后 如果说 您 有用 到 额外 的 流量 是 一天 一块钱 五百 兆 的 省内 流量   对 诶
你好 我 下午 好 请 讲 你好   我 这个 那个 流量 不够 用 了 这个 满意 都 要 多少 钱 啊   那买 的话 有 十块 一 百兆 三十块 一 g   噢 他们 发 一次
您好 请 说   嗯   那个   如果说 哎
中午 好 很 高兴 为您服务   我 想 问 一下 我 这个 号码 收费 标准 是 怎么样   呃 您 收费 的 有 套餐 费 十八块 然后 还有 一个 三十块 钱   怎么 怎么 怎么 刚刚
你好 您好 请 说   我 问 一下 你们 那个 最低 保底 的 那个 电话 电话卡 是 多少   八块钱 八块   呃 八块钱 呢 我们 像 我 这 样子 的 手机 能 不能 改成 这个 这个 电话卡 可以 可以
早上好 请 讲   喂 你好 我 想 问 你 一下 嗯 嗯 嗯 我 这个 电话 再下 发短信 怎么 收费 啊   香港 是 吗   啊
嗯 好 您好 请 讲 哎   噢 现在 只要 开来 电 提醒 一个月 多少 钱 呢   来电 提醒 是 两块钱 一个月 的   哎 那 现在 有
咨询 哎 你好 请 讲   哎 你好 我 问 一下 我 这个 电话号码 跟 那个 宽带 连接 它 那个 收费 是 怎么 收   嗯 我查 了 一下 您 的 宽带 情况 您 宽带 的话 是 基本 套 每个 月 的话 是 这样 的 每个 月 是 收 二十一 块钱   噢 那 我 现在 知道 这个 有线电视 也 没 收费 啊
您好 请 讲   诶 我 这个 全球通 的 多一分 钱 多少 一分钟 多少 钱 的 这 现在   您 稍 等 马上 帮 您 看 呃 这边 帮 您 看 了 一下 一分钟 只要 六分 钱   零 那 就 等于 外地 块 也 是 六分 钱
您好 很 高兴 为您服务   呃 你好 呃 欠 然后 你 帮 我查 一下 我 这个 手机 是 怎么 收费 的 呢   好 视频 定向 包 九块 钱 流量 一天 一块钱 五百 兆   噢 这 样子 啊
您好 请 说 呃 喂   诶 您好   喂 你好 我 请问 一下 那个 我 这个 号码 现在 在 那个 外省 的话 呃 有 这个 叫 什么 叫 漫游费 吗   没有 漫游费 的 那 这个 您 放心 接电话 一样 不用 钱 您 在 外省 打 的话 也 是 每分钟 一毛 九 收费 的
您好 很 高兴 为您服务   诶 你好   您好   诶 就是 我 这个 手机号码 嘛 之前 有 办理 了 一个 宽带 然后 那个 宽带 一年 到期 以后 我 没有 讯 然后 它 变成 好像 非常 包月 了 那 我 现在 想 问 一下 如果 是 还 继续 包年 的话 一年 是 多少 钱 呐
您好   哎 小姐 你好 请问 我本 机去 泉州 漫游 的话 是 怎么 收费 呀   泉州 漫游 请 您 稍 等 在 泉州 漫游 接听 是 免费 的 打电话 就 按 您 在 服务区 外 打电话 费用 打 一分钟 是 您 在 服务区 外 打 是 两 毛钱   呃 你 离开 福州 都 是 两 毛钱 是 一分钟 那个
你好 喂   你好 我 那个 手机 就是说 从 三明 过来 这边 厦门 的 一个月 这个 东 一分钟 通话费 是 多少 啊   在 厦门 那边 那 就 一分钟 一毛 一毛 九 啊 接听 免费   噢 怎么 我 的 手机费 怎么 一一 一下子 没有 啦 然后 那么 快 呀 原来 很多 的 它 打 几次 电话 都 没有 啦
嗯 您好 很 高兴 为您服务   诶 你好 我 现在 那个 套餐 是不是 三 十八块 的   呃 对 您 目前 是 三十 八块钱 的   嗯 然后 那个 就是 是 免费 的 那个 打电话 的 一百 分钟 是 国内 的 还是 省内 的
您好 请 讲   那帮 我查 一下 我 这个 这个 这个 电话 那个 套餐 费 多少 什么 套餐   您 现在 用 三十八 套餐   那 怎么 会显 显示 八十八 呀
您好 很 高兴 为您服务 你好   喂 你好   嗯 有 什么 可以 帮 您   啊 我 想 让 你 帮 我查 一下 像 我 这样 用 的 手机 在 那个 漫游 的话 就是 在 福州 站 什么 地方 打电话 和 接电话 是 多少 钱 一分钟 呢
诶 您 请 说   诶 你好 嗯 嗯 呃 我 问 一下 我 这个 套餐 资费 那个 流 流量 是 怎么 算 的   好 您 这款 套餐 每月 有 含 一 g 的 国内 流量   诶 才 一 g 吗
很 高兴 为您服务   诶 您好 我 想 问 一下 现在 那个 移动 的 这个 流量 套餐 有 多少 钱 的   流量 套餐 的话 你 需要 补 流量 用 吗 最少 有 三十元 一个 g 的 一十   和子 的 你 三十块 钱 一个 g 啊
去 香港 可以 开通 国际 及 港澳台 漫游 功能 开通 之后 的话 手机 噢 您 已经 开过 了 手机 就 有 信号 了 那 您 去 香港 要开 当地 的 流量 套餐 吗   呃 是 怎么 算   如果说 您 过去 直接 用 的话 就是 一天 三块 钱三兆 每天 封顶 费用 三十 带来 三十块 钱 当天 就 可以 无限量 用 了 但 目前 香港 也 可以 开 流量 包有 三天 的 五天 的 跟 七天 的 这 三种 没 办 过去 是 几天 呢   可能 过去 三十天 吧
您好 请 讲   哎 你好 那个 每天 就是 给我发 那个 新闻 那个 是 要 收钱 的 吧   今晚 短信 的 我 给 您 看 了 一下 是 冲浪 助手 是 吗   嗯 嗯
您好 很 高兴 为您服务   诶 你好 那个 我 三元 是 四十条 短信 然后 还有 上面 还有 多 多少 兆元 的 几条   噢 你 是 想开 个 短信 包 您 稍 等 帮 您 看 一下 大概 需要 多少 短信 十块钱 两百 条够 吗   没有 别的 少 一点 有没有
您好 请 讲   诶 你好 帮 我查 一下 我 这个 呃 号码 一分钟 打电话 是 多少 钱   电话 超过 三十分钟 每分钟 一毛 九   呃 它 一 它 一个月 它 套餐 是 最低 消费 是 多少 有没有
您好 很 高兴 为您服务 我 我 现在 那个 现在 那个 通过 来电 显 的 按   您 现在 是 要 什么 来电 等待 我 就 呼叫 等待 是 吧   嗯 对   稍等一下 现在 是 别人 给 您 打电话 不会 呼叫 等待 是 吗
就是 您好 请 说   喂 你好   还有 什么 可以 帮助 您 啊   什么 业务 帮 我 取消 一下 我 有 我 看 这个 月 的 业务
您好 请 说   等 下 我 想 咨询 一下 我 这本 机号码 如果 要 开通 台湾 的话 费用 是 是 怎么 计算 的   嗯 台湾 的 是 吗 那 您 要 先 开通 国际 长途 和 国际漫游 开通 这个 功能 是 不 收费 的 先生 那就是说 您 过去 以后 在 台湾 那边 通话 的话 每分钟 是 打 回 中国 大陆 或者 当地 的 那 每分钟 都 是 接听 的话 都 是 按九毛 九 收费 的   呃 接听 跟 打电话 都 是 按九毛 九 的 对 吧 我 一会儿 可以 把 台湾 的 相关 资费 发给您 流量 话费 的话 诶 诶 你 你 说 你 说
你好   喂 你好   诶   嗯 那个 我 有 接到 电话 就是说 呃 有 送 免费 宽带 的 就是 那个 九十九 的 套餐
诶 您好 很 高兴 为您服务 哎 你好 我 想 问 一下 我 那个 不是 流量 那个 是 流量 套餐 嘛 噢   然后 呢   然后 就是说 它 说 一天 一个 g 就是说 那个 流量 的话   诶 超出 去 首先 您 一天 一个 g 的 流量 只能 在 漳州 本地 使用
您好 请 讲   喂   诶 您好   啊 我 那个 号码 是 幺 三 在 三明 的 号码 可以 在 那边 开通 嘛 我 原来 是 漫游 关掉 啊
您好 请 说   诶 您好 我 想 问 一下 我 这个 卡 的 套餐 是 是 怎么 样子 的 收费   好 我 看 一下 哈 这个 卡 套餐 八块钱 八块   嗯 呃 一个月 八块钱 然后 包含 什么 呢
嗯 嗯 呃 您好 很 高兴 服务   呃 您好 我 想 问 一下 我 现在 这个 套餐 那 是 那个 费用 是 多少   呃 套餐 费是 三十 八块钱   噢 三十 八块钱 那个
嗯 您好 很 高兴 为您服务   哎 你好 美女   你好   哎 我 这个 套餐 是 五十八 的 呀
嗯 嗯 您好 很 高兴 为您服务 您好 请问 什么 可以 帮 您 的 呢   帮 我查 一下 我 这 手机 是 多少 钱 的 套餐 啊   八块钱 的 七十 八块钱 啊 是 的   还有 没有 其他 收费 的 东西 有没有
您好 请 讲   喂 你好 帮 我 帮 我查 一下 我 这个 套餐 是 怎么回事 哎 稍等一下 好 嘛 嗯 哦   这边 的话 您 套餐 是 宽带 九十九 的 和 家庭 套餐   本地 打 国内 那 如果 我 我 我 我 我 等 外 或者 是 国内 打 国内 怎么 算
您好 高兴 为您服务   你好 我 想 请问 一下 我 这个 每个 月 套餐 多少 钱   您 现在 用 的 是 一百二十八 的 上网 套餐 里面 有 四百 二十分钟 通话 来电显示 一个 g 流量 的   每个 月 才 一 g
您好 请 讲   哎 你好 我 想 问 一下 我 的 手机 有 一些 什么 收费 标准   恩帮 您 查看 一下 您 除了 基本 套餐 有 一个 五十元 的 流量 包有 一个 六 g 的 红包 有 一个 来电 提醒 有 一个 是 三块 钱 的 短信 功能 还有 一个 是 噢 咪 咕 有缘 阅读 噢 这个 都 帮 您 取消 都 已经 取消 掉 了   还有 一个 什么 六元 红包
您好 请 说   诶 你好 那个 我 我 不是 我 加入 一个 那个 题 时间 用 的 那个 机 机号码 吗 如果 我 这 样子 给 别人 国际 长途 打电话 不要 收钱 了   给 别人 国际 长途 打电话 您 这个 集团 网   也 是 在 学习 号码 里面 的 我 想 请问 你们 然后 我 给 那个 人 国际 打电话 费 也 要钱 吗
您好 请 讲   诶 我 问 一下 我 那个 费用 怎么 算 呢 天天 都 要 扣 那个 什么 费用   恩给 您 看 一下 嗯 每天 都 给 您 扣 的 是 一个 宽带   宽带
您好 请 说   哎 你好 我 是 厦门 翔安 的 我 想 问 一下 你们 新装 的 宽带 有没有 包年 的 呢 但是 宽带   您 这边 稍等一下 为 您 转接 我们 的 宽带 专席 好
您好 请 讲   你好 你 帮 我 看 下 我 我 我 这个 手机号码 这个 套餐 一个月 多少 钱 呐   本 机 套餐 一个月 八十 八块钱 的   那 我 这个 基本上 都 没 怎么 用能 不能 它 这个 套餐 降低 降低
您好 请 说   啊 你好 我 想开 流量 然后 就是说 跟 增加 流量 是 多少 钱 一个月 他 说 就是 多少 钱 第一个   您 是 临时 开通 还是 说 长期 开 啊   噢 就 就 这个 月 开 的
你好 有 什么 可以 帮 您 流量   你好 我 我 想 我 我 昨天 手机 我 在 什么 共享 流量 池 里面 点 进去 加 了 一个 家庭 好友 那 这个 要 收费 吗   添加 的 跟 家庭成员 的话 是 不用 收费 的 但是 是 上次 我 现在   但是 我 现在 想 删掉 因为 我 本身 我 没有 流量 不 可能 给 你 加 共享 我 想想 关掉 我 不 懂 怎么办
嗯 很 高兴 您 服务   呃 好 你 你 帮 我查 一下 我 这个 手机 的 套餐 如果 去 省外 的话 那个 市话 收费 怎么 收   流量 在 省外 一样 可以 用 然后 接电话 都 是 免费 的 打电话 每分钟 一毛 九   噢 那 就 跟 省内 一样 的
您好 请问 是 新装 宽带 吗   噢 宽带 那 是 怎么 收费 啊 您 是 用 本 机号码 包含 几个 号码 吧 功能 本身 本机 啊   本机 在 莆田 地区 安装 宽带 是 吧   噢 没错
对 您好 很 高兴 为您服务   然后 嗯 嗯 喂   您好 请 讲   请问 那个 宽带 你 这个 宽带 的 什么 什么 算 喂
谢谢   您好 请 说   喂 你好   你好
嗯 嗯   早上好 很 高兴 为您服务   噢 我 想 问 一下 你 你 你 帮 我查 一下 我 的 那个 套餐 资费 现在 怎么样 发个 短信 有   呃 基本 套餐 资费 是 怎样 的 是 吧 好 的 那 我 这边 给 您 发送 请 您 查收 一下 好 嗯 没有 其它 需要 为您服务 的
疑问   您好 请 说 您好   喂 你好 呃 那个 我 我 那个 这个 电话号码 然后 呃 办理 我们 那个 移动 的 那个 宽带 是不是 免费 的   宽带 是 吧 女士
您好 请 讲   哎 你好 诶 我 想 问 一下 那个 我 把 手机 他 是不是 在 幺 五八 的 那个 他 是 神州行 到 现在 现在 它 是 南平 地区 的 嘛 然后 他 去 外地 还有 漫游费 吗   现在 都 取消 漫游费 了   都 都 取消 了 是 吗
您好 请 说 喂 你好 您好   呃 我 我 这个 号码 是 在 哪里 接都 都 是 免费 的 吗   对 您 这个 号码 是 全国 接听电话 免费 的   那 拨打 您
对 您好 请 讲   呃 您好 我 想 问 一下 你们 现在 有 那个 三十八 元 套餐 吗   那 那个 流量 是 多少 的 呢   一点 五个 g 省内 流量 其中 有 一点 四 g 省内 流量 只限 当月 使用
您好 请 说   诶 你好 诶 我 这个 手机 套餐 是 十八元 还是 三十八 元 的 其他 的 它 前面 一个月 有 打电话 叫 我 办 那个 三十八 元 我 说 今天 也 他 说 没 给 我 办 啊   没有 看到 您 办 三十八 套餐 如果 您 要 办 我 可以 帮 您 更换   噢 好 的
您好 请 讲   请问 一下 我 这个 手机 它 它 这个 我 这 里面 套餐 是 多少 钱   呃 套餐 您 是 一百八十 八块 的   啊 一百八十 八 一百八十 八 的 套餐
哎 您好 很 高兴 为您服务   呃 你好   您好   呃 我 问 一下 就是 我 这个 套餐 是 八十八 元 的 是 吗
你好   哎 你好 我 想 问 一下 就 我 现在 用 的 这个 就 这个 手机号码 的 套餐 里面 反正 你们 用 那个 短信 发 一个 详细 的 那个 给 我 吗   套餐 资费 吗   嗯 就 说 对
噢 嗯 您好 很 高兴 为您服务   我 刚才 开 这些 模式 的 时候 然后 好像 有人 给 我 打电话 但 通话 就 那个 这边 没有 出 啊 你 能 帮 我查 一下 我   稍等一下 啊 就是说 刚刚 有人 打 你 电话 但是 你 开 飞行 模式 没 接到 是 吧   块
您好 很 高兴 为您服务 好 就是 我 什么 北京 今天 好像 什么 时候 办理 套餐   比如说 办理 套餐   二十八 元 的 套餐   第二个 月 改 了 三十八 的 套餐 有 给
子 对 您好 请 讲 啊   二 二   二 二   咨询 一下 啊 我 问 一下 我 这个 本机 噢 有 个 套 亲情 号码 这个 套餐 呐 呃 要 不要 每个 月 都 要 另 外交 三元 了 这个 我 不是 手机 呀
很 高兴 为您服务   喂 你好   你好   你好 请问 查询 一下 我 现在
您好 请 讲 诶 你好 您好 您 说 嗯 嗯 喂   能 听 得到 我 声音 吗   可以 啊 然后 屏蔽掉 这个 电话费 是 比如 分钟 数用 完 了 后面 一分钟 是 多少 钱   每分钟 一毛 九
您好 请 讲 喂 你好 我 想 问 一下 我 这个 套餐 多少 钱 一个月 的 嗯 三十八 元   哎   我 想 改 一下 您 要 改为 哪一条 套餐 呀   改成 那种 八块 的 可以 吗
哎 您好 请 说   喂 你好 请问 一下 我 这个 如果 分钟 用 完 了 超过 了 一分钟 多少 钱   一毛 九 一分钟   啊
您好 请 说   喂 你好   您好   诶 我 问 你 一下 现在 诶 改 套餐 的话 那 无限 套餐 是 多少 钱 呐
您好 请 讲   诶 请问 一下 我 这个 卡 是不是 资费 怎么样 给 我 帮 我查 一下 好 吧   资费 怎么样 的 是 吧 呃 对 谢谢 噢 我 看 一下 您 稍 等 我 这边 给 您 查看 的话 您 这个 是 一个月 八块钱 的 月租 里面 有 三十分钟 全国 打 全国 电话 加 来电显示 全国 接 免费   呃 就是 三十分钟 在 外地 打 嘞
你好 我 想 问 就是 本 机 套餐 一个月 是 怎么 资费 啊   稍等一下   嗯 嗯   您 这个 号码 的 基本 套餐 一个月 是 十八 来电 提醒 两块
你好 请 讲   哎 你好 请问 我 这个 手机号码 是 怎么 收费 呢   您 是 三十 八块钱 的 套餐 那 除了 这个 套餐 之外 的话 有 一个 两块钱 的 来电 提醒 还有 一个 宽带 那 其他 要收 您 个人 费用 的 业务 通过 系统 帮 您 看 了 一下 目前 没有 的 啊   我 这个 流量 有 多少 送 多少 多少 兆 流量 啊
嗯   您好 请 讲   我想查 一下 我 我 这个 手机 那 流量 已经 有 没 收费 的   噢 您 现在 这个 号码 里面 没有 流量 您 要 用 的话 就 一兆 两毛 九 现在 用 了 十块 五毛 二 了 要 给 您 补充 个 流量 包 吗
早上好 很 高兴 为您服务   你好 我 这个 我 不是 有 牵 一条 宽带 的 那个 流量 的 嘛 我 想 再 另外 一个 号码   就是 在 呃 呃 就是 牵 一条 您 是 要 再 多加 一个 宽带 还是 说   不是 不是 我 宽带 已经 欠费 了 然后 它 一百八十 八 的 吗 宽带 嘛 然后 不是 有 流量 四十多 g 吗 四十多 g 的话 不是 可以 挂 别的 号码 吗
您好 请 讲   哎 你好 我 想 请问 一下 我 这个 手机 的 流量 它 是 怎么 收费 的   请 您 稍 等 您 这 张卡 一个月 是 有 五百 兆 的 国内 流量 目前 您 的 国内 流量 已经 全部 都 用 完 了 额外 还 超 了 一百一十 八兆 一共 超 了 三十四块 四毛   儿 已经 超 了 三十四 的
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 我 这个 电话 的 是 现在 套餐 是 多少 钱   套餐 您 是 十八块 钱 的 套餐   十八块 的
您好 很 高兴 为您服务 您好   那个 那个 我 这 张卡 打电话 是 多少 钱 一分钟 啊   您 这个 是 新 神州行 我 查询 一下   啊 你 帮 我查 一下 麻烦 你 了
您好 有 什么 可以 帮助 您   给 我查 一下 那个 一 一个 开通 一个 流量 就是 二十块 钱 呐   稍等一下 我 帮 您 查看 一下 目前 帮 您 查询 您 这个 手机 没有 开通 十块钱 的 流量 啊   哦
嗯 嗯 嗯 嗯 其他 的话 多少 钱 啊 啊 谢谢   呃 是 这 样子 你 能 帮 我查 一下 我 这个 现在 我 那边 那个 手机 我用 了 好多 呃 套餐 或者 是 什么样 的 那个 资费   嗯   没有 搞
