知道 哎 嗯 嗯 您好 高兴 您 服务   你好 我 想 叫 你 帮 我查 一下 这鸿梅 小区 这 一段 是不是 那个 呃 无线网络 没用 了   地址 是 什么 用 不了   呃 电视 看 不了 上网 也 上 不了
很 高兴 为您服务   哎 我 想查 一下 有 呃 一个 四元 你们 的 一个 百兆 资源 一个 地址 百兆 是   可以 地址 说 一下   呃 金钟 路 一千一百 一十八 号 重新 提上 才
高兴 您 服务 哎   你好 我 想 问 一下 就是 我 想 办理 那个 什么 呃 家庭 承诺 消费 送 宽带 的 那个 业务 吧 嗯 你 能 帮 我 看 一下 就 我们 这个 地址 呃 这边 有 资源 吗 就是 呃 可以   您 地址 报 一下   立水 六 浦东新区
您好 很 高兴 为您服务   喂 您好 我想查 一下 我们 小区 没有 覆盖 移动 的 那个 宽带   再见 呃 可以 啊 上海 哪个 区 的   浦东新区 羽 山路 包 的 嗯
很 高兴 为您服务   唉 你好 我 想 问 一下 就是 我 这边 地址 能查 一下 可不可以 装 那个 移动 宽带 我   噢 好 的 你 把 地址 报 一下 我 帮 您 确认 下   呃 徐汇区 肇嘉 浜 路
您好 很 高兴 为您服务   喂 美女 你好   你好   我 想 问 一下 就是 宽带 业务 我们 那个 宝山区 可以 办理 吧
您好 很 高兴 为您服务   唉 你好 我想装 宽带 呀 你们 我 我 这里 不 知道 有没有 一 百兆 二百 兆 的   具体 什么 密码   地址 啊 真光路
您好 很 高兴 为您服务   呃 我 想 问 一下 就是说 海滨 五村 这边 的话 宽带 可以 有 光纤 吗   海滨 五村 哪个 区 的   宝山区
您好 很 高兴 为您服务   喂 你好 哎 我 是 上海 今天 这边 的 对 我 想 办理 那个 宽带 我 想 咨询 一下 哪里   办理 宽带   对 对 对 就 用 那种 个人消费 呢 帮 我 那个 活动 嘛 二十八 的 八十八 送 流量
您好 很 高兴 为您服务 哎 我 想 问 一下 在 你们 的 宽带 是 就 先要 开通 那个 再见 如果 走 的 是 东方 有线 的 线路 您 没有 开 的话 就要 看 您 的 地方 是否 完成 g 的 网络 改造 了 不然 到 时 可能 会装 不了 的   啊 没 听懂 你 再说 一下 嗯   如果 您 这个 地方 装 的 是 我们 跟 东方 有线 合作 的 那 就要 看 您 家里 有线电视 有没有 开 如果 没有 开要 看 您 这边 是否 完成 mc 的 网络 改造 这个 您 可以 东方 有线 去 问 的 能 不能 安装 他 那边 如果说 可以 装 的 那 也 可以 的   噢 打 东方 有 限制 啊
高兴 您 服务   哎 我 想 问 一下 你们 那个 浦东新区 呃 靠近 北蔡 这边 有 呼叫 的 宽带 吗   你 把 地址 报给 您 查 一下 是 浦东新区 是 什么 路   呃 是 在 朋友 如何 盛春路 这边 交界 的 地方 或者 谢谢 谢谢
很 高兴 为您服务   您好 这里 是 宽带 服务 吗   对 是 的   我 想 问 一下 上海 就是 超完 这 一块 能装 了 宽带 嘛
高兴 您 服务   喂 你好 麻烦 帮 我 查询 一下 那边 能 不能 装 宽带 帮 我 给 个 地址 给 你 请 讲方出 巴黎 春 张春芳 对 当初 用 发现   芳村 金融 大厦   对
很 高兴 为您服务 唉 你好 我 问 一下 就是 我 已经   讲   不是 上海 就 像 您 小区 这边 移动网 宽带 有 接入 了 吗 是 哪个 区 呃 上海市 黄浦区 黄浦区   行 就 福州路 三百 二十 弄 对 吗
您好 很 高兴 为您服务   喂 你好 哎 我 想 问 一下 我 那个 工作 是 三 百八十 号 有没有 申请 的   呃 我 看 一下 稍 等 那个 七十块 钱 那个 小时   到底 去 吗 因为
您好 很 高兴 为您服务 您好 很 高兴 为您服务   唉 小姐 你好 是 这样 的 我 想查 一下 有 一个 地址 不 知道 你们 一共 有没有 宽带资源   好 的 那 情况 您 在 那里 地址   地址 是 虹口 虹口区 的
您好 很 高兴 为您服务   你好 中国移动 宽带 是 吧 嗯 我 想查 一下 那个 高桥 更 高 合作 这里 有没有 是 吧 撤销   您 要查 有没有 资源 覆盖 对 吧   对
您好 很 高兴 为您服务   喂 唉 你好   唉 我 想 那个 咨询 一下 呀   就 你们 这个 移动 宽带 能 不能 移机 的
您好 请 讲   唉 小姐 我 想 问 一下 我 这 都 在 风县 信息 做 台湾 城 小区 有没有 这个 宽带 业务 就是 之前 在 我 看到 一个 广告 信箱 里 就是 呃 月 消费 七十八 元 每月 二十元 就是 可以 享受 宽带   嗯 活动 是 有 的 您 什么 地方 要装 呢   啊 我 我 说 了 吗 和 台湾 成 奉贤 西渡 台湾 成
您好 很 高兴 为您服务   唉 你好 先生 我 想 问 一下 啊 就是 嗯 是 这样 的 因为 我 想 问 一下 因为 我 现在 用 的 那个 是 长城 宽带 如果 我 那个 想想 换 你们 这边 宽带 的话 呢 换 的 对 吧   就 移动 的 宽带 对 吧 呃 移动 宽带 是 这样 的 首先 确认 一下 您 这个 地址 有没有 装 过 如果 没有 装 过 地址 覆盖 就 可以 参加   什么 叫 地址 覆盖
为您服务   你好 我 现在 是 要 搬家 嘛 我 想 问 一下 就是 我 是 办 的 地方 那帮 我查 一下 有没有 那个 你们 宽带 那个 接口 端口   嗯 哪个 区 的 上海   后面 去 手机号
您好 很 高兴 为您服务   唉 你好 是 这样 的 你们 这个 移动 有 那个 消费 就是说 送 宽带 的 那个 业务 我 想 问 一下 就是 上海市 那个 共康村   是 上海 哪个 区 的   应该 属于 南区 的
您好 很 高兴 为您服务   支付宝 好 你好 你好 你好 你 帮 我 那 你 帮 我查 一下 就是 嗯 名下 有没有 那个 移动 那个 宽带   您 是 要查 这 地方 能 不能 装 宽带 嘛 对 对 对 对 对 对 对 哪个 区 请问   一
您好 很 高兴 为您服务   喂 你好   恩 你好   哎 我 想 咨询 一下 一个 地址 能 不能 办理 宽带
您好 很 高兴 为您服务   中国移动 是 吧   对 你 帮 我   我 想 我 想 那个 办理 一下 你们 移动 宽带 可以 办 吗 我 觉得 那个 地方
对   哎 您好 请 讲   喂 你好 我 这边 查 一下 我 这个 地址 是 不变 帮 我查 一下 好 吧   地址 有 宽带资源 覆盖 对 吧 噢 好 你 把 地址 报 一下
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 那个 朱冬村 上海浦东新区 周 东村 包呀 四 那种 东西 能 不能 安 宽带   什么 村   朱 东村
您好 很 高兴 为您服务   呃 您好 我 想 问 一下 就是 我家 现在 这边 能 不能 办 那个 就是 你们 这边 的 宽带 你 能 帮 我查 一下 吗   呃 哪个 区 的 上海   呃 上海 宝山区
您好 请 讲   喂 你好 那个 我 我 想 办 一个 那个 就是 自己 手机 提升 到 一百零八 的 套餐 装 免费 宽带 我 这边 是 长宁区 的 呀   可以 看 吗 钢琴曲 具体地址 是   蔡新金 现在 是 一百三十 一号 幺
账 大概 什么 时候 能装   您好 很 高兴 为您服务   喂 你好 唉 我 这个 家庭 客户 我 想 申请 一个 宽带   您 什么 地方 装 宽带 呢
您好 很 高兴 为您服务   唉 你 帮 我 查个 地址   恩 你好   啊 都 会路 三 幺 九九 弄
您好 很 高兴 为您服务   唉 你好 我 在 上海 这边 然后 有 呃 成立 的 一个 新 的 公司 然后 我 需要 去 做 一些 就是 公司 的 电话 业务 已经 网络 业务 我 想 问 一下 咱们 这块 是 怎么 做 的 我 大概 需要 一个 那个 一 百兆 的 宽带 或者 是 光纤 然后 还 需要 要 还是 要 大概 一百个 人 的 座机   那 您 这边 地址 有 吗 先 帮 您 查 一下 资源 情况   有 的 我 在 上海 坪 村 大厦 然后 蓝港路 百 五百多 号 这个 上海 听 请 说 请 是 那个 品德 的 品村 是 尊敬 六吨
您好 很 高兴 为您服务   噢 你好 我 想 问 一下 普陀区 白日 路 五十八 号 能 不能 装鞋 宽带   八月 五十八 号 对 吧 请稍等 我 帮 您 看 一下   白日 六
您好 很 高兴 为您服务   你好 我 这边 想 咨询 一下 那个 就是 我 是 那个 个体户 吗 电力 吗 想 装 的 那个 wifi 的 问题   店铺 是 吧   啊 对 店铺 呃 刘莹路 七百 七十七 号
您好 请 讲   唉 你好 哎 你好 我 想 问 一下 呃 我 我们 我住 这边 有没有 这个 覆盖 的 这个 宽带 这个 是 松江区   然后 具体地址   松江区 是 闵塔路 全 一千七百 五十七 号 吧 就 就是 那个 前段 新村
您好 很 高兴 为您服务   唉 你好 那个 你们 现在 我 报个 地址 给 您 车墩 这边 可以 那个 吧 可以 办理 们 移动 的 业务 吗 宽带 业务   啊 要 装 宽带 对 吧 对 您 撤单 具体 什么 地址 呢   车墩 镇车 丰路 乔峰路
您好 很 高兴 为您服务   我 想 我 想查 一下 我们 将 附近 有 你们 的 宽带 光纤网络   噢 就 帮 您 转到 宽带 部门 给 您 查 一下 好 吗 我 现在 帮 您 转接 帮 他 解决问题 不 客气 我 将 电话 转 专席 处理 请稍等
您好 很 高兴 为您服务   你好 我 想 问 一下 那个 家里 宽带 嗯 嗯 就是 那个 我 我 不 知道 那个 呃 彩铃 打区 可以 转 吧 移动 的   嗯 哪个 区   呃 上海市 崇明 区
您好 很 高兴 为您服务   那个 我 是 那个 企业 吗   然后   在 那个 商用 楼 月租 的 这个 办公室 吧 然后 呢 要 办 那个 宽带 呀 然后 我 就 想 问 一下 那 因为 他 的 物业 跟 我 反应 说 是 什么 找 一家 什么 名 应该 怎么 代理 公司 现 里面 移动 宽带
您好 很 高兴 为您服务   唉 你好   唉 你好   噢 我 想 我 这个 手机号 就是说 把 那个 宽带
您好 很 高兴 为您服务   喂 你好   恩 你好   呃 我 就 想 问 一下 我想装 一个 宽带
您好 请 讲   的 喂 你好 嗯 那 请问 一下 我 就是 跟 你 说 一个 地址 看 这边 的话 可以 按 安装 宽带 吗   嗯 您 说   呃 松江区 小 昆山 镇 嗯 嗯 凭 原街 三百 一十二 弄
您好 很 高兴 为您服务   唉 你好 你好 我 给你个 地址 能帮 我查 一下 能 不能 装 宽带 好 吧 你们 移动 的 宽带   嗯 您 说   浦东新区
您好 很 高兴 为您服务   呃 我 想 问 一下 你们 那个 移动 宽带 覆盖 那个 一个 小区 吗   嗯 这个 帮 您 转到 我们 的 宽带 部门 给 您 查 一下 好 吗   噢 可以
您好 很 高兴 为您服务   呃 你好 我 问 一下 就是 呃 我 在 那个 闸北区 那个 芷江 西路 十三路 这里 支 不 支持 那个 那个 移动 宽带 的   噢 您 是 要 咨询 宽带 是 吧 对 我 这个 我 帮 您 转接 到 宽带 专席 那边 帮 您 查 一下 的 好 吧 好 稍 等 不要 挂机 为了 更好 请 您 再 打电话 找 一 下去 处理 好 嗯
您好 很 高兴 为您服务   喂 你好 呃 我 想 问 咨询 一下 那个 移动 宽带   宽带 什么 问题 请 讲 先生   不是 我 想 咨询 一下 我 这边 小区 可以 办 吗
您好 很 高兴 为您服务   唉 你好 呃 我 想 问 一下 就是 呃 之前 你们 给 我 打过 电话 说 我 这个 套餐 可以 享受 那个 宽带 的 赠送 宽带 的 然后 你 先 帮 我 查询 一下 我 手机 的 这个 地址 啊 能 不能 就是 有 你们 网络 现在   在 哪个 区   呃 呃 松江区 永平镇
您好 很 高兴 为您服务   唉 喂 你好 我 想 问 一下 你们 这个 送 那个 网络 帮 我查 一下 这个 地址 那边 能装 吗   您 把 地址 报给 我 看 一下   呃 上海浦东新区
您好 很 高兴 为您服务   唉 喂 您好 我 想 咨询 一下 我们 这里 能装 什么样 的 宽带 嗯 您 地址 报给 我 给 您 查 一下 看看 上海市 宝山区 北安路   每安路   每月 美丽 的 美 按天 按盘
啊 您好 兴 您 服务   唉 我 问 一下 我 是 那个 广元 西路 三百 四十一 弄 的 呃 我们 这边 的 那个 宽带 就是 你们 不是 在 搞 那个 活动 啊 什么 宽带 尽快 加急 活动 这边 有 我 这个 小区 有没有   宽带 情况 下 您 是 说 那个 打 一次 两次 那个 活动 啊   唉 对 对 对
为您服务   喂 你好 喂   唉 你好   呃 你好 我 想 办 那个 宽带 想 咨询 一下 什么 叫伟
您好 很 高兴 为您服务   唉 喂 你好 嗯 我 现在 是 那个 呃 那个 学生 的 紫竹园 那边 我们 这边 能装 移动 的 宽带 吗   上海 松 松江区   对 对 松江区 的
嗯 您好 很 高兴 为您服务   唉 你好 那个 你们 这边 是 移动 的 那个 宽带 是 吧   嗯 对 的   哎 我 想 问 您 一下 一个 呢 就是 我 这边 叫 那个 万科 金谷 松湖 小区 就是 这个 地方 你们 能装 不能 装
您好 很 高兴 为您服务   喂 你好 我 问 一下 那个 装 宽带 的 呀   嗯   呃 就是 青浦 明白 加量 嗯 因为 现在 那个 九元 六 跟 新桥 路 那个 地方 三百 八十七 号 那里 有没有 覆盖
您好 很 高兴 为您服务   喂 你好 我 问 一下 我 这个 地方 能装 你们 那个 移动 的 宽带 啦   哪个 区 的 呢   到 上海市浦东新区
您好 很 高兴 为您服务   喂 你好 我 想 问 一下 你 我 这里 不是 光纤 有没有 我 可能 没 光纤 不 名字 顾唐路   好像   沪 太路 三千 一百五十 六号
您好 很 高兴 为您服务 您好   唉 你好 那个 我 咨询 一下 我 这边 是 宋贤 西青 村镇 运河 村 一百三十 三号 这边 现在 都 可以 那个 办 宽带   什么 村   啊 我 就是 送贤区 新生 镇六县
您好 很 高兴 服务 唉 你好 我 那个 之前 预约 一个 生效 呃 家庭 消费 八十块 送 五十 兆 宽带 的 那个 那个 那个 好像 没 回复 吗 你 帮 我 看 一下 你 说 宽带 是不是 能装 是 吧 啊 对 对 对 那个 那个 我 不是 那个 预约 的 那个 东西 嘛 他 那个   呃   诶 软件 上面 预约 了 你 帮 我 看 一下 有 一个 这个 这个 单子 我 帮 您 转 专席 帮 您 查 一下 请稍等 啊 好 的 嗯 不 客气 不 客气
哦   您好 很 高兴 为您服务   喂 你好 唉 我 想 请问 一下 呢 这 我 现在 是 在 那个 闵航 就是 春申路   幺 七 幺
您好 很 高兴 为您服务   唉 你好 我 问 一下 你们 不是 有 那个 承诺 消费 那个 宽带 业务 啊 嗯 嗯   噢   然后 我 问 一下 那个 那个 你 帮 我查 一下 那个 噢 上海市浦东新区 书苑 镇西 村七栋 二号 四零二 可不可以 的
您好 高兴 为您服务 您好   哎 你好 我 想 问 一下 我 所在 小区 能 不能 装 这种 免费 宽带 就是说 个人消费 满 一百五十 八送 宽带 那个   两 百兆 的 是 吗   对 的
好 很 高兴 为您服务   你好 我 想 请 咨询 一下 就是说 关于 那个 新办 这个 没用 你们 这个 移动 的 这个 宽带 然后 新装 吗   嗯 就 想 办个 移动 的 家庭 宽带 是 这样 吗   对 对 是 的 然后 那 你们
您好 很 高兴 为您服务   呃 您好 是 这 样子 我 这边 想办 企业 宽带 的话 我 给你个 地址 你 帮 我 查查 有没有 资源   噢 可以 先生 您 把 地址 报 一下 我查 一下   是 呃 呃 是 在 娄山关 路 五百三十 三号
您好 很 高兴 为您服务   嗯 谢谢 我 想 咨询 一下 就是 你们 就是 移动 的 宽带 现在 也 是 光纤 用户 吧 有 的 有 看 小区 的 看 小区 的 我们 这 呃 浦东新区 莲 莲花 这里 是 什么 这个 是不是 光纤 用户 啊   浦东新区   浦东新区 元 建华 什么 电话 联杨言阳
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 你们 那个 移动 的   宽带 有个 套餐 吗 那 看 您 那个 地址 能 不能 安装 的 地址 报 一下 在 哪个 区 的 呃 是 浦东新区 浦东新区 什么 路 呃 华东 路 跟 那个 龙东 大道 交叉口 这边 我们 现在   不 知道 的
稍等一下 很 高兴 为您服务   呃 你好 我 想 咨询 一下 我 现在 在 上海 然后 闵行区 北省 路 两百 六十 弄 可以 装 网线 吗   对 线路 对 对 是 哪 哪个 省   全良 对 吧 哎呀 那 行
您好 很 高兴 您 服务   啊 你好 哎 我 想 转 一下 宽带 是 怎么 个 状态 呀   首先 先看 地址 您 把 地址 报 一下   啊 广零 四六 五七 二弄 十九号 一零二
您好 很 高兴 为您服务 你好 我 想 问 一下 那个 移动 现在 新开通 了 一个   宽带 覆盖 的 小区 说 是 新增 了 五佰个 小区 对于 新 办理 那个 入网 的 用户 有 一个 呃 优惠 的 一个 接入网 的 价格 对 吧 我 想 看 一下 我 的 小区 现在 是 不 属于 如果 属于 的话 从 下个月 开始 我 就 显示   帮 您   一毛
您好 很 高兴 为您服务   噢 我 想 问 一下 在 顾全 路 这里 可以 办 宽带 吧   个人 宽带 还是 公司 宽带   四零
您好 很 高兴 为您服务   喂 你好 我 想 问 一下 那个 上海大学 城路 九十九 号 然后 那个 学生 只是 可以 用 那个 移动 的 宽带 吗   您 是 想 办 校园 宽带 吗   对
很 高兴 为您服务 你 帮 我查 一下 那个 宝山区 月浦 镇村路   三十二 弄 有没有 这个 宽带   宝山区 月浦 六   啊
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 就是 你 帮 我 看 一下 我 这里 有没有 覆盖 到 你们 移动 宽带   移动 的 宽带 对 吧 可以 你 把 地址 报 一下 小姐 我查 一下 有没有 上海 的 宽带 g   呃 上海 宝山区 路祥路
您好 很 高兴 为您服务   喂 你好 我 那个 想 问 一下 就是 我 这边 的 宽带 还 能 不能 装   嗯 您 是 哪个 地方   呃 在 那个 松江区 上海市 金山区 然后 九亭 镇 嗯 嗯 然后 沪 南 公路 幺 四八 零六
您好 很 高兴 为您服务   嗯 嗯 我 想 问 一下 那个 虹口区 场 中路 通话 录 有没有 一 百兆 的 宽带 关机   场 中路 额 您 现在 是 什么 地方 要装 宽带   场 中路 三十二块 五
很 高兴 为您服务 哎 你好 我 想 那个 确认 一下 我们 家 那个 小区 可以 装 移动 的 宽带   嗯 哪个 区 的 请问   浦东新区 嗯 嗯   原 西路 九十九 号 联系 路 哪个 连
您好 兴 您 服务   唉 你好 是 这样 我 想 办理   宽带 迁移 宽带 移机 是 要 去 营业厅 办理 的 请 您 保持 号码 办 的 吗   啊 对 是
您好 很 高兴 为您服务   喂 你好 我 那个 我 我 这边 是 那个 企业 营业厅 嘛 然后 我 想 办 那个 宽带 你 能 不能 帮 我查 一下 看看 我们 这边 有没有   噢 可以 你 把 这边 要 安装 的 公司地址 报 一下 我 查询 有没有 企业 线路 覆盖 小姐   嗯 那个 滑雪 路 六 百八十
您好 很 高兴 为您服务   唉 你好 我 问 一下 就是 你 现在 能帮 我查 一下 我 住 的 地方 能 不能 按 移动 的 宽带 呗   那帮 您 是 安装 宽带 地址 报给 你 查 一下 是 上海 哪个 区 的 呃 普陀区 浦东新区 是 吧   呃
您好 很 高兴 为您服务   噢   好好   你 能 帮 我 七月份 你们 宽带 怎么回事 吧
