知道 哎 嗯 嗯 您好 高兴 您 服务   你好 我 想 叫 你 帮 我查 一下 这鸿梅 小区 这 一段 是不是 那个 呃 无线网络 没用 了
您好 很 高兴 服务 唉 你好 我 那个 之前 预约 一个 生效 呃 家庭 消费 八十块 送 五十 兆 宽带 的 那个 那个 那个 好像 没 回复 吗 你 帮 我 看 一下 你 说 宽带 是不是 能装 是 吧 啊 对 对 对 那个 那个 我 不是 那个 预约 的 那个 东西 嘛 他 那个   呃
哦   您好 很 高兴 为您服务
您好 很 高兴 为您服务   唉 你好 我 问 一下 你们 不是 有 那个 承诺 消费 那个 宽带 业务 啊 嗯 嗯
您好 高兴 为您服务 您好   哎 你好 我 想 问 一下 我 所在 小区 能 不能 装 这种 免费 宽带 就是说 个人消费 满 一百五十 八送 宽带 那个
好 很 高兴 为您服务   你好 我 想 请 咨询 一下 就是说 关于 那个 新办 这个 没用 你们 这个 移动 的 这个 宽带 然后 新装 吗
您好 很 高兴 为您服务   呃 您好 是 这 样子 我 这边 想办 企业 宽带 的话 我 给你个 地址 你 帮 我 查查 有没有 资源
您好 很 高兴 为您服务   嗯 谢谢 我 想 咨询 一下 就是 你们 就是 移动 的 宽带 现在 也 是 光纤 用户 吧 有 的 有 看 小区 的 看 小区 的 我们 这 呃 浦东新区 莲 莲花 这里 是 什么 这个 是不是 光纤 用户 啊
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 你们 那个 移动 的
稍等一下 很 高兴 为您服务   呃 你好 我 想 咨询 一下 我 现在 在 上海 然后 闵行区 北省 路 两百 六十 弄 可以 装 网线 吗
您好 很 高兴 您 服务   啊 你好 哎 我 想 转 一下 宽带 是 怎么 个 状态 呀
您好 很 高兴 为您服务 你好 我 想 问 一下 那个 移动 现在 新开通 了 一个   宽带 覆盖 的 小区 说 是 新增 了 五佰个 小区 对于 新 办理 那个 入网 的 用户 有 一个 呃 优惠 的 一个 接入网 的 价格 对 吧 我 想 看 一下 我 的 小区 现在 是 不 属于 如果 属于 的话 从 下个月 开始 我 就 显示
您好 很 高兴 为您服务   噢 我 想 问 一下 在 顾全 路 这里 可以 办 宽带 吧
您好 很 高兴 为您服务   喂 你好 我 想 问 一下 那个 上海大学 城路 九十九 号 然后 那个 学生 只是 可以 用 那个 移动 的 宽带 吗
很 高兴 为您服务 你 帮 我查 一下 那个 宝山区 月浦 镇村路   三十二 弄 有没有 这个 宽带
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 就是 你 帮 我 看 一下 我 这里 有没有 覆盖 到 你们 移动 宽带
您好 很 高兴 为您服务   喂 你好 我 那个 想 问 一下 就是 我 这边 的 宽带 还 能 不能 装
您好 很 高兴 为您服务   嗯 嗯 我 想 问 一下 那个 虹口区 场 中路 通话 录 有没有 一 百兆 的 宽带 关机
很 高兴 为您服务 哎 你好 我 想 那个 确认 一下 我们 家 那个 小区 可以 装 移动 的 宽带   嗯 哪个 区 的 请问
您好 兴 您 服务   唉 你好 是 这样 我 想 办理
您好 很 高兴 为您服务   喂 你好 我 那个 我 我 这边 是 那个 企业 营业厅 嘛 然后 我 想 办 那个 宽带 你 能 不能 帮 我查 一下 看看 我们 这边 有没有
您好 很 高兴 为您服务   唉 你好 我 问 一下 就是 你 现在 能帮 我查 一下 我 住 的 地方 能 不能 按 移动 的 宽带 呗
您好 很 高兴 为您服务   噢
