知道哎嗯嗯您好高兴您服务 你好我想叫你帮我查一下这鸿梅小区这一段是不是那个呃无线网络没用了 地址是什么用不了 呃电视看不了上网也上不了 
您好很高兴为您服务哎我想问一下在你们的宽带是就先要开通那个再见如果走的是东方有线的线路您没有开的话就要看您的地方是否完成g的网络改造了不然到时可能会装不了的 啊没听懂你再说一下嗯 如果您这个地方装的是我们跟东方有线合作的那就要看您家里有线电视有没有开如果没有开要看您这边是否完成mc的网络改造这个您可以东方有线去问的能不能安装他那边如果说可以装的那也可以的 噢打东方有限制啊 
高兴您服务 哎我想问一下你们那个浦东新区呃靠近北蔡这边有呼叫的宽带吗 你把地址报给您查一下是浦东新区是什么路 呃是在朋友如何盛春路这边交界的地方或者谢谢谢谢 
很高兴为您服务 您好这里是宽带服务吗 对是的 我想问一下上海就是超完这一块能装了宽带嘛 
高兴您服务 喂你好麻烦帮我查询一下那边能不能装宽带帮我给个地址给你请讲方出巴黎春张春芳对当初用发现 芳村金融大厦 对 
很高兴为您服务唉你好我问一下就是我已经 讲 不是上海就像您小区这边移动网宽带有接入了吗是哪个区呃上海市黄浦区黄浦区 行就福州路三百二十弄对吗 
您好很高兴为您服务 喂你好哎我想问一下我那个工作是三百八十号有没有申请的 呃我看一下稍等那个七十块钱那个小时 到底去吗因为 
您好很高兴为您服务您好很高兴为您服务 唉小姐你好是这样的我想查一下有一个地址不知道你们一共有没有宽带资源 好的那情况您在那里地址 地址是虹口虹口区的 
您好很高兴为您服务 你好中国移动宽带是吧嗯我想查一下那个高桥更高合作这里有没有是吧撤销 您要查有没有资源覆盖对吧 对 
您好很高兴为您服务 喂唉你好 唉我想那个咨询一下呀 就你们这个移动宽带能不能移机的 
您好请讲 唉小姐我想问一下我这都在风县信息做台湾城小区有没有这个宽带业务就是之前在我看到一个广告信箱里就是呃月消费七十八元每月二十元就是可以享受宽带 嗯活动是有的您什么地方要装呢 啊我我说了吗和台湾成奉贤西渡台湾成 
您好很高兴为您服务 唉你好先生我想问一下啊就是嗯是这样的因为我想问一下因为我现在用的那个是长城宽带如果我那个想想换你们这边宽带的话呢换的对吧 就移动的宽带对吧呃移动宽带是这样的首先确认一下您这个地址有没有装过如果没有装过地址覆盖就可以参加 什么叫地址覆盖 
为您服务 你好我现在是要搬家嘛我想问一下就是我是办的地方那帮我查一下有没有那个你们宽带那个接口端口 嗯哪个区的上海 后面去手机号 
您好很高兴为您服务 唉你好是这样的你们这个移动有那个消费就是说送宽带的那个业务我想问一下就是上海市那个共康村 是上海哪个区的 应该属于南区的 
您好很高兴为您服务 支付宝好你好你好你好你帮我那你帮我查一下就是嗯名下有没有那个移动那个宽带 您是要查这地方能不能装宽带嘛对对对对对对对哪个区请问 一 
您好很高兴为您服务 喂你好 恩你好 哎我想咨询一下一个地址能不能办理宽带 
您好很高兴为您服务 中国移动是吧 对你帮我 我想我想那个办理一下你们移动宽带可以办吗我觉得那个地方 
对 哎您好请讲 喂你好我这边查一下我这个地址是不变帮我查一下好吧 地址有宽带资源覆盖对吧噢好你把地址报一下 
您好很高兴为您服务 哎你好我想问一下那个朱冬村上海浦东新区周东村包呀四那种东西能不能安宽带 什么村 朱东村 
您好很高兴为您服务 呃您好我想问一下就是我家现在这边能不能办那个就是你们这边的宽带你能帮我查一下吗 呃哪个区的上海 呃上海宝山区 
您好请讲 喂你好那个我我想办一个那个就是自己手机提升到一百零八的套餐装免费宽带我这边是长宁区的呀 可以看吗钢琴曲具体地址是 蔡新金现在是一百三十一号幺 
账大概什么时候能装 您好很高兴为您服务 喂你好唉我这个家庭客户我想申请一个宽带 您什么地方装宽带呢 
您好很高兴为您服务 唉你帮我查个地址 恩你好 啊都会路三幺九九弄 
您好很高兴为您服务 唉你好我在上海这边然后有呃成立的一个新的公司然后我需要去做一些就是公司的电话业务已经网络业务我想问一下咱们这块是怎么做的我大概需要一个那个一百兆的宽带或者是光纤然后还需要要还是要大概一百个人的座机 那您这边地址有吗先帮您查一下资源情况 有的我在上海坪村大厦然后蓝港路百五百多号这个上海听请说请是那个品德的品村是尊敬六吨 
您好很高兴为您服务 噢你好我想问一下普陀区白日路五十八号能不能装鞋宽带 八月五十八号对吧请稍等我帮您看一下 白日六 
您好很高兴为您服务 你好我这边想咨询一下那个就是我是那个个体户吗电力吗想装的那个wifi的问题 店铺是吧 啊对店铺呃刘莹路七百七十七号 
您好请讲 唉你好哎你好我想问一下呃我我们我住这边有没有这个覆盖的这个宽带这个是松江区 然后具体地址 松江区是闵塔路全一千七百五十七号吧就就是那个前段新村 
您好很高兴为您服务 唉你好那个你们现在我报个地址给您车墩这边可以那个吧可以办理们移动的业务吗宽带业务 啊要装宽带对吧对您撤单具体什么地址呢 车墩镇车丰路乔峰路 
您好很高兴为您服务 我想我想查一下我们将附近有你们的宽带光纤网络 噢就帮您转到宽带部门给您查一下好吗我现在帮您转接帮他解决问题不客气我将电话转专席处理请稍等 
您好很高兴为您服务 你好我想问一下那个家里宽带嗯嗯就是那个我我不知道那个呃彩铃打区可以转吧移动的 嗯哪个区 呃上海市崇明区 
您好很高兴为您服务 那个我是那个企业吗 然后 在那个商用楼月租的这个办公室吧然后呢要办那个宽带呀然后我就想问一下那因为他的物业跟我反应说是什么找一家什么名应该怎么代理公司现里面移动宽带 
您好很高兴为您服务 唉你好 唉你好 噢我想我这个手机号就是说把那个宽带 
您好很高兴为您服务 喂你好 恩你好 呃我就想问一下我想装一个宽带 
您好请讲 的喂你好嗯那请问一下我就是跟你说一个地址看这边的话可以按安装宽带吗 嗯您说 呃松江区小昆山镇嗯嗯凭原街三百一十二弄 
您好很高兴为您服务 唉你好你好我给你个地址能帮我查一下能不能装宽带好吧你们移动的宽带 嗯您说 浦东新区 
您好很高兴为您服务 呃我想问一下你们那个移动宽带覆盖那个一个小区吗 嗯这个帮您转到我们的宽带部门给您查一下好吗 噢可以 
您好很高兴为您服务 呃你好我问一下就是呃我在那个闸北区那个芷江西路十三路这里支不支持那个那个移动宽带的 噢您是要咨询宽带是吧对我这个我帮您转接到宽带专席那边帮您查一下的好吧好稍等不要挂机为了更好请您再打电话找一下去处理好嗯 
您好很高兴为您服务 喂你好呃我想问咨询一下那个移动宽带 宽带什么问题请讲先生 不是我想咨询一下我这边小区可以办吗 
您好很高兴为您服务 唉你好呃我想问一下就是呃之前你们给我打过电话说我这个套餐可以享受那个宽带的赠送宽带的然后你先帮我查询一下我手机的这个地址啊能不能就是有你们网络现在 在哪个区 呃呃松江区永平镇 
您好很高兴为您服务 唉喂你好我想问一下你们这个送那个网络帮我查一下这个地址那边能装吗 您把地址报给我看一下 呃上海浦东新区 
您好很高兴为您服务 唉喂您好我想咨询一下我们这里能装什么样的宽带嗯您地址报给我给您查一下看看上海市宝山区北安路 每安路 每月美丽的美按天按盘 
啊您好兴您服务 唉我问一下我是那个广元西路三百四十一弄的呃我们这边的那个宽带就是你们不是在搞那个活动啊什么宽带尽快加急活动这边有我这个小区有没有 宽带情况下您是说那个打一次两次那个活动啊 唉对对对 
为您服务 喂你好喂 唉你好 呃你好我想办那个宽带想咨询一下什么叫伟 
您好很高兴为您服务 唉喂你好嗯我现在是那个呃那个学生的紫竹园那边我们这边能装移动的宽带吗 上海松松江区 对对松江区的 
嗯您好很高兴为您服务 唉你好那个你们这边是移动的那个宽带是吧 嗯对的 哎我想问您一下一个呢就是我这边叫那个万科金谷松湖小区就是这个地方你们能装不能装 
您好很高兴为您服务 喂你好我问一下那个装宽带的呀 嗯 呃就是青浦明白加量嗯因为现在那个九元六跟新桥路那个地方三百八十七号那里有没有覆盖 
您好很高兴为您服务 喂你好我问一下我这个地方能装你们那个移动的宽带啦 哪个区的呢 到上海市浦东新区 
您好很高兴为您服务 喂你好我想问一下你我这里不是光纤有没有我可能没光纤不名字顾唐路 好像 沪太路三千一百五十六号 
您好很高兴为您服务您好 唉你好那个我咨询一下我这边是宋贤西青村镇运河村一百三十三号这边现在都可以那个办宽带 什么村 啊我就是送贤区新生镇六县 
您好很高兴服务唉你好我那个之前预约一个生效呃家庭消费八十块送五十兆宽带的那个那个那个好像没回复吗你帮我看一下你说宽带是不是能装是吧啊对对对那个那个我不是那个预约的那个东西嘛他那个 呃 诶软件上面预约了你帮我看一下有一个这个这个单子我帮您转专席帮您查一下请稍等啊好的嗯不客气不客气 
哦 您好很高兴为您服务 喂你好唉我想请问一下呢这我现在是在那个闵航就是春申路 幺七幺 
您好很高兴为您服务 唉你好我问一下你们不是有那个承诺消费那个宽带业务啊嗯嗯 噢 然后我问一下那个那个你帮我查一下那个噢上海市浦东新区书苑镇西村七栋二号四零二可不可以的 
您好高兴为您服务您好 哎你好我想问一下我所在小区能不能装这种免费宽带就是说个人消费满一百五十八送宽带那个 两百兆的是吗 对的 
好很高兴为您服务 你好我想请咨询一下就是说关于那个新办这个没用你们这个移动的这个宽带然后新装吗 嗯就想办个移动的家庭宽带是这样吗 对对是的然后那你们 
您好很高兴为您服务 呃您好是这样子我这边想办企业宽带的话我给你个地址你帮我查查有没有资源 噢可以先生您把地址报一下我查一下 是呃呃是在娄山关路五百三十三号 
您好很高兴为您服务 嗯谢谢我想咨询一下就是你们就是移动的宽带现在也是光纤用户吧有的有看小区的看小区的我们这呃浦东新区莲莲花这里是什么这个是不是光纤用户啊 浦东新区 浦东新区元建华什么电话联杨言阳 
您好很高兴为您服务 哎你好我想问一下你们那个移动的 宽带有个套餐吗那看您那个地址能不能安装的地址报一下在哪个区的呃是浦东新区浦东新区什么路呃华东路跟那个龙东大道交叉口这边我们现在 不知道的 
稍等一下很高兴为您服务 呃你好我想咨询一下我现在在上海然后闵行区北省路两百六十弄可以装网线吗 对线路对对是哪哪个省 全良对吧哎呀那行 
您好很高兴您服务 啊你好哎我想转一下宽带是怎么个状态呀 首先先看地址您把地址报一下 啊广零四六五七二弄十九号一零二 
您好很高兴为您服务你好我想问一下那个移动现在新开通了一个 宽带覆盖的小区说是新增了五佰个小区对于新办理那个入网的用户有一个呃优惠的一个接入网的价格对吧我想看一下我的小区现在是不属于如果属于的话从下个月开始我就显示 帮您 一毛 
您好很高兴为您服务 噢我想问一下在顾全路这里可以办宽带吧 个人宽带还是公司宽带 四零 
您好很高兴为您服务 喂你好我想问一下那个上海大学城路九十九号然后那个学生只是可以用那个移动的宽带吗 您是想办校园宽带吗 对 
很高兴为您服务你帮我查一下那个宝山区月浦镇村路 三十二弄有没有这个宽带 宝山区月浦六 啊 
您好很高兴为您服务 哎你好我想问一下就是你帮我看一下我这里有没有覆盖到你们移动宽带 移动的宽带对吧可以你把地址报一下小姐我查一下有没有上海的宽带g 呃上海宝山区路祥路 
您好很高兴为您服务 喂你好我那个想问一下就是我这边的宽带还能不能装 嗯您是哪个地方 呃在那个松江区上海市金山区然后九亭镇嗯嗯然后沪南公路幺四八零六 
您好很高兴为您服务 嗯嗯我想问一下那个虹口区场中路通话录有没有一百兆的宽带关机 场中路额您现在是什么地方要装宽带 场中路三十二块五 
很高兴为您服务哎你好我想那个确认一下我们家那个小区可以装移动的宽带 嗯哪个区的请问 浦东新区嗯嗯 原西路九十九号联系路哪个连 
您好兴您服务 唉你好是这样我想办理 宽带迁移宽带移机是要去营业厅办理的请您保持号码办的吗 啊对是 
您好很高兴为您服务 喂你好我那个我我这边是那个企业营业厅嘛然后我想办那个宽带你能不能帮我查一下看看我们这边有没有 噢可以你把这边要安装的公司地址报一下我查询有没有企业线路覆盖小姐 嗯那个滑雪路六百八十 
您好很高兴为您服务 唉你好我问一下就是你现在能帮我查一下我住的地方能不能按移动的宽带呗 那帮您是安装宽带地址报给你查一下是上海哪个区的呃普陀区浦东新区是吧 呃 
您好很高兴为您服务 噢 好好 你能帮我七月份你们宽带怎么回事吧 
