呃 请 说   帮 我查 一下 您 稍等一下 您 这 张卡 现在 是 在 整个 大陆 打 大陆 的 移动 六分 大陆 打 联通 电信 是 两毛
您 这 套餐 是 九块 钱 的 是 爱奇艺 的 流量 有 三 g 然后 只能 登录 爱奇 诶 被 人键 播放 视频 用 的 其他 的话 如果 您 在 福建省 内 上网 一天 就是 一块钱 有 五百 兆 有用 就 收 这 一块 没用 的话 这 一块钱 就 不扣 如果 您 到 省外 的话 那 就 没有 流量 正常 收费   对 就是 当天 的话 在 福建省 内 上网 五百 兆 以内 就是说 一块 吗
您好 很 高兴 为您服务   呃 您 是 本机 想 办理 宽带 是 吗
您好 请 讲   铃声 的话 彩铃 功能 您 要 先 打开 功能 的话 是 一个月 五块 钱 然后 铃声 的话 一首 大概 是 零到 三块 不 等 嗯
您好 请问 什么 可以 帮 您   恩对
您好 请 说   您 这个 是 全球通 三十八 套餐 每个 月 包含 三百 分钟 的 通话时间 一千五百 兆 的 省内 流量 还有 来电显示 套餐 三十八
您好 很 高兴 为您服务   是 这 样子 如果 去 新加坡 漫游 首先 是 他 要 先 有 开通 国际漫游 功能 到 那边 开通 然后 然后 如果 是 流量 方面 我们 针对 新加波 地区 您 可以 开通 一带 一路 多 国 流量 包它 有 三天 五天 七天 然后 您 可以 根据 您 自己 的 行程 呃 进行 办理 这个 流量 包
您好 请 讲   稍等一下 我 看 一下 哈 宽带 您 就是 刚卡 现在 有 一家 要 新装 办理 我们 宽带 是 吗
你好 请 说   来电 提醒 的话 一个月 两块钱 愉快
您好 请 讲   家庭网 对
您好 请 讲   啊 您 是 说 流量 保嘛
您好 请 讲   不要 漫游费
您好 请 讲   喂 你好 我 想 问 一下 如果 您 我 另外 一个 号码 的话 想 复机 嘛 我 不来 停机 吗 然后 我 今天 想 复机 的话 你们 这个 收费 怎么 收 如果 现在 复机 的话 这个 月 的 来电显示 套餐 的 费用 都 要 正常 收取 的 就是 办 没有 跟 我 说 是 十五号 以后 是 半个 月 的 还是 一一 整个 月 赠送 吗 噢 如果 是 来电显示 这些 都 是 收一 整个 月 的 套餐 费 的话 要 看 什么 套餐 有 号码 和 密码 吗 我 可以 帮 您 确认 一下 又 可以 啊 购买 多少 幺 三七 哦 零六 零六 嗯 零五 零六 六七 那 麻烦 您 输 一下 密码 按井号 键子 书 哎 呃 很 抱歉 密码 输入 错误 密码 不 知道 吗
您好 您 请 说   广东 呀 完 了 噢
你好 请 讲   诶 你好
很 高兴 为您服务   话 没有 的 是 一百 分钟 只能 在 福州 本地 用 如果 您 去 北京 让 您 接 是 免费 的 但是 您 打 一分钟 要 一毛 九
您好 请 讲   查看 一下 我 的
您好 很 高兴 为您服务   您 这 张 是 技术 卡 它 这个 月租 十九块 钱 一个月 的 然后 如果说 您 有用 到 额外 的 流量 是 一天 一块钱 五百 兆 的 省内 流量
你好 我 下午 好 请 讲 你好   那买 的话 有 十块 一 百兆 三十块 一 g
您好 请 说   那个
中午 好 很 高兴 为您服务   呃 您 收费 的 有 套餐 费 十八块 然后 还有 一个 三十块 钱
你好 您好 请 说   八块钱 八块
早上好 请 讲   香港 是 吗
嗯 好 您好 请 讲 哎   来电 提醒 是 两块钱 一个月 的
咨询 哎 你好 请 讲   嗯 我查 了 一下 您 的 宽带 情况 您 宽带 的话 是 基本 套 每个 月 的话 是 这样 的 每个 月 是 收 二十一 块钱
您好 请 讲   您 稍 等 马上 帮 您 看 呃 这边 帮 您 看 了 一下 一分钟 只要 六分 钱
您好 很 高兴 为您服务   好 视频 定向 包 九块 钱 流量 一天 一块钱 五百 兆
诶 您好   没有 漫游费 的 那 这个 您 放心 接电话 一样 不用 钱 您 在 外省 打 的话 也 是 每分钟 一毛 九 收费 的
您好 很 高兴 为您服务   您好
您好   泉州 漫游 请 您 稍 等 在 泉州 漫游 接听 是 免费 的 打电话 就 按 您 在 服务区 外 打电话 费用 打 一分钟 是 您 在 服务区 外 打 是 两 毛钱
你好 喂   在 厦门 那边 那 就 一分钟 一毛 一毛 九 啊 接听 免费
嗯 您好 很 高兴 为您服务   呃 对 您 目前 是 三十 八块钱 的
您好 请 讲   您 现在 用 三十八 套餐
您好 很 高兴 为您服务 你好   嗯 有 什么 可以 帮 您
诶 您 请 说   好 您 这款 套餐 每月 有 含 一 g 的 国内 流量
很 高兴 为您服务   流量 套餐 的话 你 需要 补 流量 用 吗 最少 有 三十元 一个 g 的 一十
去 香港 可以 开通 国际 及 港澳台 漫游 功能 开通 之后 的话 手机 噢 您 已经 开过 了 手机 就 有 信号 了 那 您 去 香港 要开 当地 的 流量 套餐 吗   如果说 您 过去 直接 用 的话 就是 一天 三块 钱三兆 每天 封顶 费用 三十 带来 三十块 钱 当天 就 可以 无限量 用 了 但 目前 香港 也 可以 开 流量 包有 三天 的 五天 的 跟 七天 的 这 三种 没 办 过去 是 几天 呢
您好 请 讲   今晚 短信 的 我 给 您 看 了 一下 是 冲浪 助手 是 吗
您好 很 高兴 为您服务   噢 你 是 想开 个 短信 包 您 稍 等 帮 您 看 一下 大概 需要 多少 短信 十块钱 两百 条够 吗
您好 请 讲   电话 超过 三十分钟 每分钟 一毛 九
您 现在 是 要 什么 来电 等待 我 就 呼叫 等待 是 吧   稍等一下 现在 是 别人 给 您 打电话 不会 呼叫 等待 是 吗
就是 您好 请 说   还有 什么 可以 帮助 您 啊
您好 请 说   嗯 台湾 的 是 吗 那 您 要 先 开通 国际 长途 和 国际漫游 开通 这个 功能 是 不 收费 的 先生 那就是说 您 过去 以后 在 台湾 那边 通话 的话 每分钟 是 打 回 中国 大陆 或者 当地 的 那 每分钟 都 是 接听 的话 都 是 按九毛 九 收费 的
你好   诶
然后 呢   诶 超出 去 首先 您 一天 一个 g 的 流量 只能 在 漳州 本地 使用
您好 请 讲   诶 您好
您好 请 说   好 我 看 一下 哈 这个 卡 套餐 八块钱 八块
嗯 嗯 呃 您好 很 高兴 服务   呃 套餐 费是 三十 八块钱
嗯 您好 很 高兴 为您服务   你好
嗯 嗯 您好 很 高兴 为您服务 您好 请问 什么 可以 帮 您 的 呢   八块钱 的 七十 八块钱 啊 是 的
您好 请 讲   这边 的话 您 套餐 是 宽带 九十九 的 和 家庭 套餐
您好 高兴 为您服务   您 现在 用 的 是 一百二十八 的 上网 套餐 里面 有 四百 二十分钟 通话 来电显示 一个 g 流量 的
您好 请 讲   恩帮 您 查看 一下 您 除了 基本 套餐 有 一个 五十元 的 流量 包有 一个 六 g 的 红包 有 一个 来电 提醒 有 一个 是 三块 钱 的 短信 功能 还有 一个 是 噢 咪 咕 有缘 阅读 噢 这个 都 帮 您 取消 都 已经 取消 掉 了
您好 请 说   给 别人 国际 长途 打电话 您 这个 集团 网
您好 请 讲   恩给 您 看 一下 嗯 每天 都 给 您 扣 的 是 一个 宽带
您好 请 说   您 这边 稍等一下 为 您 转接 我们 的 宽带 专席 好
您好 请 讲   本 机 套餐 一个月 八十 八块钱 的
您好 请 说   您 是 临时 开通 还是 说 长期 开 啊
你好 有 什么 可以 帮 您 流量   添加 的 跟 家庭成员 的话 是 不用 收费 的 但是 是 上次 我 现在
嗯 很 高兴 您 服务   流量 在 省外 一样 可以 用 然后 接电话 都 是 免费 的 打电话 每分钟 一毛 九
您好 请问 是 新装 宽带 吗   本机 在 莆田 地区 安装 宽带 是 吧
对 您好 很 高兴 为您服务   您好 请 讲
您好 请 说   你好
早上好 很 高兴 为您服务   呃 基本 套餐 资费 是 怎样 的 是 吧 好 的 那 我 这边 给 您 发送 请 您 查收 一下 好 嗯 没有 其它 需要 为您服务 的
您好 请 说 您好   宽带 是 吧 女士
您好 请 讲   现在 都 取消 漫游费 了
您好 请 说 喂 你好 您好   对 您 这个 号码 是 全国 接听电话 免费 的
对 您好 请 讲   一点 五个 g 省内 流量 其中 有 一点 四 g 省内 流量 只限 当月 使用
您好 请 说   没有 看到 您 办 三十八 套餐 如果 您 要 办 我 可以 帮 您 更换
您好 请 讲   呃 套餐 您 是 一百八十 八块 的
哎 您好 很 高兴 为您服务   您好
你好   套餐 资费 吗
噢 嗯 您好 很 高兴 为您服务   稍等一下 啊 就是说 刚刚 有人 打 你 电话 但是 你 开 飞行 模式 没 接到 是 吧
比如说 办理 套餐   第二个 月 改 了 三十八 的 套餐 有 给
子 对 您好 请 讲 啊   二 二
很 高兴 为您服务   你好
能 听 得到 我 声音 吗   每分钟 一毛 九
您好 请 讲 喂 你好 我 想 问 一下 我 这个 套餐 多少 钱 一个月 的 嗯 三十八 元   我 想 改 一下 您 要 改为 哪一条 套餐 呀
哎 您好 请 说   一毛 九 一分钟
您好 请 说   您好
您好 请 讲   资费 怎么样 的 是 吧 呃 对 谢谢 噢 我 看 一下 您 稍 等 我 这边 给 您 查看 的话 您 这个 是 一个月 八块钱 的 月租 里面 有 三十分钟 全国 打 全国 电话 加 来电显示 全国 接 免费
稍等一下   您 这个 号码 的 基本 套餐 一个月 是 十八 来电 提醒 两块
你好 请 讲   您 是 三十 八块钱 的 套餐 那 除了 这个 套餐 之外 的话 有 一个 两块钱 的 来电 提醒 还有 一个 宽带 那 其他 要收 您 个人 费用 的 业务 通过 系统 帮 您 看 了 一下 目前 没有 的 啊
您好 请 讲   噢 您 现在 这个 号码 里面 没有 流量 您 要 用 的话 就 一兆 两毛 九 现在 用 了 十块 五毛 二 了 要 给 您 补充 个 流量 包 吗
早上好 很 高兴 为您服务   就是 在 呃 呃 就是 牵 一条 您 是 要 再 多加 一个 宽带 还是 说
您好 请 讲   请 您 稍 等 您 这 张卡 一个月 是 有 五百 兆 的 国内 流量 目前 您 的 国内 流量 已经 全部 都 用 完 了 额外 还 超 了 一百一十 八兆 一共 超 了 三十四块 四毛
您好 很 高兴 为您服务   套餐 您 是 十八块 钱 的 套餐
您好 很 高兴 为您服务 您好   您 这个 是 新 神州行 我 查询 一下
您好 有 什么 可以 帮助 您   稍等一下 我 帮 您 查看 一下 目前 帮 您 查询 您 这个 手机 没有 开通 十块钱 的 流量 啊
嗯 嗯 嗯 嗯 其他 的话 多少 钱 啊 啊 谢谢   嗯
您好 很 高兴 为您服务   呃 您 现在 是 一百二十八 块钱 的 商旅 套餐
你好 对 您好 请 讲   对 是 的 新飞 享 八十八 的
您好 请 讲   噢 我 帮 您 查 五十八 的
谢谢您 好 很 高兴 服务   您 去 台湾 漫游 拨打 和 接听 每分钟 是 九 毛 九 计算 的
啊 您好 请 讲   你好
哎 您好 请 说 诶 你好 我 想 问 一下 那个 全球通 到 香港 的话 呃 接 打电话 它 业务 就 那个 收费 接 需要 需要 那个 需要 那个 呃 扣费 吗 还是 说 有人 接 跟 打 都 是 九 毛 九 一分钟 噢 接 也 是 是 吧 嗯 对 这 是 全球通 的 是 的 那 如果 是 如果 神州行 的话 那 就是 一样 的 国际 的 都 是 同一 同一 收费 接打 都 是 九 毛 是 吧 一 毛九一 毛九好 这 样子 吧 好 的 谢谢 不 客气 其他 有 什么 可以 帮 您 的 噢 谢谢 那 感谢您 的 来电
您好 您 请 讲   这 款 的话 是 一百二十八 元 的
通 您好 请 说   吧 那 您 这个 它 是 固定 套餐 九块 钱 的
您好 请 讲   呃 女士 您 现在 用 的 是 三十八 的 套餐
您好 请 讲   噢 您 这 五十元 流量 卡 套餐 包含 两个 g 流量 和 来电显示 那 打电话 呢 就是 按照 一分钟 两 毛钱 来算 接电话 免费
您好 请 讲   您 讲
您好 高兴 为您服务   三十八 套餐 一百 分钟 呃 您 说
您好 请 说   嗯 那 您 不要 挂机 我 帮 您 转 宽带 专席 好 吗
你好 请 说   这 套餐 是 八十八 的 飞享 套餐
您好 请问 是 本 机要 新装 宽带 吗   呃装 宽带 的话 我们 现在 嗯 跟 套餐 绑定 的话 比较 划算 的 嗯 那 您 现在 不要 把 套餐 改成 七十九 元 的 套餐
您好   看 一下 香港 漫游 这个 功能 是 免费 的 您 要 去 几天 啊 你 去 几天
您好 请 讲   嗯 没错 全国 接听 都 免费
您好 您 请 说   哦 怎么 了
您好 您 请 讲   呃 五百 兆 加油 包有 十元 一 百兆 你 现在 如果 要 增加 流量 您 可以 考虑 订 一个 三十元 一 g 的 流量 包 啊 然后 下个月 取消 掉 因为 现在 订 三十元 一 g 的 流量 包 的话 我们 移动 公司 是 按天 折算 的 只 收 您 的 价格 是 十五块 七毛八 流量 有 三百 呃 有 五百三十 八兆 这个 月 用
您好 请 讲   宽带 怎么 了 不能 用 吗
你好   漫游 现在 漫游 不用 收费 的 漫游 接听 是 免费 的 您 的 套餐 里面 的 分钟 数是 可以 在 就是 套餐 一千两百 分钟 可以 在 漫游 用 但是 流量 只能 在 省内 用 在 省外 流量 就 用 不了
您好 很 高兴 为您服务   请 稍等一下
上 好 请 说   你好
您好 请 讲   三十八 的 套餐
你好 请 讲   请 稍等一下 我查 一下 嗯 嗯 那 您好 女士 您 这个 套餐 内 每个 月 包含 了 是 一个 g 的 流量 下个月 有 换换 成 那种 幺 八八 的 省内 流量 无限 使用 的
您好 请 讲   啊 您 说 麻烦 你 帮 我查 一下 我 这个 卡
您好 请 说   这边 就要 正常 收费 呃 正常 收费 了 嗯 对 是 的
您好 请 说   您 除了 八十八 以外 额外 的 您 还有 个 来电 提醒 两块钱 下个月 改 的 是 一百三十八 套餐
啊 您好 很 高兴 为您服务   拨打 四 零零 的 是 吧 这个 的话 分钟 数会 先扣 就是 有 扣费 的 号码
你好 请 讲   先生 是 本机 吗 我 看 一下
你好 请 说   有 一个 什么
您好 请 讲   一个月 套餐 是 多少 钱 十八块 的
我 看 一下 您 在 外省 是 吧   噢 再 不是 您 现在 在 省内 还是 在 省外
嗯 您好   你好 女士 您 请 说 您好
诶 请 说   嗯 嗯 是 的
您好   帮 我
现在 已经 取消 漫游费 了 呀 全国 接听 都 是 免费 的   拨打 电话 的话 您 这个 是 就是说 呃 呃 忙 时 和 非忙 时 的 区别 嘛 然后 您 这边 两城 一家 我 就 帮 您 取消 了 现在 不 需要 了 噢
您好 请 说   发送 国内 短信 每条 一毛钱 跟 现在 一样
您好 请 说   对 八十八 块 的 三十
您好 请问 算 那 就 不是 那种 要 买 月租 你好   一毛九用 那个 一毛九是 吗 对 是
好 的 您好 请 说   别的 手机 就 套餐 费是 八块 的 月 头 一次性 扣
您好 请 说   噢 不会 啊 就是 您 在 外地 是 接听 免费 嘛 打电话 就是 一毛 九 每分钟 就 可以 了
您好 请 说   八零 六六 还是 三 零六 六八 八五 零八零 六六
挂机 您好 请 讲   呃 就是 新飞 享 八十八 元 套餐 资费 啊
为 您 很 高兴 为您服务   您好
您好 请 说   请稍等 我 看 一下 啊 十八块 钱 的
您好 请 说   您 这个 的话 是 一 六版 呢
嗯 您好 请 说   您好 喂 有 什么 可以 帮 您
嗯 您好 很 高兴 为您服务   您 稍 等 我 帮 您 看 一下 帮 您 看到 您 这边 套餐 里面 没有 包含 任何 的 流量 您 也 没有 使用 上网 啊
嗯 您好 高兴 您 服务 您好   流量 是 吗 稍等一下 我 看 一下 噢 您 这 号码 的 套餐 本身 里面 带 的 就是 一 百兆 流量 给 您 用 的 然后 您 现 然后 我们 在 这个 月 还有 送 您 两 百兆 的 省内 流量 所以 您 现在 人 在 福建省 内 的话 这个 月 到 目前为止 还 剩下 两百 八十二 兆 的 省内 流量 给 您 用 说 流量 还是 有 的 不用 担心 噢
十块钱   没有 两 百兆 的 我们 可以 推荐 您 办 这个 三十 的 当时 的 流 流量 套餐 您 现在 办 它 只 收 一半 的 费用 收 您 十五块 七毛八 流量 有 五百三十 八兆 这个 会 划算 一点
您好 请 讲 您好 请 说 您好   永新 飞享 三十八
很 高兴 为您服务   诶 喂 你好
您好 高兴 您 服务   一毛 九
您好 请 讲   帮 您 看 了 一下 除了 基本 套餐 还有 个 来电 提醒 彩印 彩铃 其他 的 没有 了
您好 请 讲   呃 本 机号码 请稍等 我 看 一下 让 我方 三十元 流量 套餐 十一月 一号 申请 生效 的 套餐 二零一七版 一 三十块 钱 一个 g
你好   噢 好 我 看 一下
您好 请 讲   您 现在 是 飞享 的 十八 套餐
您好 很 高兴 为您服务   您 本机 套餐 是 三十八
他 您好 很 高兴 为您服务 请问 您 要 帮 我 看 下 我 这个 钱 套餐 一个 什么 收费 请稍等 正在 为 您 查询   基本 套餐 费 八块钱 然后 其他 没有 了 没有 其他费用 是 吧 对 因为 还有 就是 那个 这个 号码 已经
嗯 嗯 您好 请 说   超出 一兆 的话 是 两毛 九
您好 请 说   您 看 需要 亮 了 比如 三十块 一 g 的 够 吗
您好 很 高兴 为您服务   请 稍等一下 呃 您好 三十 八块钱
您好 请 讲 哎 您好   一个 g 的话 如果 是 包月 的话 现在 是 三十元 一个月 呃 您 是 这个 月 要 办 吗
嗯 嗯 您好 很 高兴 为您服务   您 的 号码 是 那个 神州行 轻松 卡 就 不用 月租 就是 每个 月 的话 您 的 上网 流量 五块 钱 来电显示 六块钱 加上 小孩子 在 学校 的 校 讯通 八块 别的 业务 就 没有 了
您好 高兴 您 服务 您好   您 现在 办理 的 是 一百五十 八块 的 飞享 套餐 另外 有 开通 一个 七十块 两个 g 的 上网 流量 包
什么 嗯 您好 请 讲   噢 就是 安装 是 吗 安装 号键 都 是 需要 那个 安装费 的
您好 很 高兴 为您服务   噢 好 的 请 您 稍 等 谢谢 嗯
您好 请 讲   这个 是 免费 的 您 这 上面 这个 无线 音乐 俱乐部 它 这 里面 水 的 费用 对
您好 请 讲 诶   呃 您 再说 一下 刚刚 有点 断断续续 没有 听 清楚 您 说 什么 打 多少 钱
你好 请 说   嗯 您 是 十八块 钱 的 费用
你好   八块钱 一个月
好 稍等一下 我 给 您 查 一下 这个 月 的 吗   您 这个 月 套餐 是 三十八 套餐 加 一个 来电 提醒 二九
您好 请 讲   您 本 机号码 有 哪些 收费 业务 是 吗 对 对 对 有 哪些 业务 就是 您 一个 神州行 的 家园 卡 套餐 费 五块 钱 保底 消费 十块 然后 来电显示 六块 其他 业务 的话 没有 了 就 按照 正常 收费
还有 什么 可以 帮 您   哎 你好 是 这 样子 的
您好 请 讲   和 教育 是 吗 我 帮 您 查 一下 呃 有 一个 和 教育 的 没错 您 不 需要 是 吗
你好   呃 您 说
您好 请 说   你好
您好 很 高兴 为您服务   哎 它 原价 是 幺 三八 那 第一年 的话 有 做 活动 每个 月 给 您 返还 五十块 钱 是从 呃
您好 请 讲   呃 这 是 来电 提醒
您好 请 说   十八块 钱 的
您好 请 说 你好   哎 先生 您好
您好 请 说 您好   对 对 然后 您 这边 是 一百 分钟 呢 一百块 钱 套餐 诶
您好 请 讲   呃 这边 下个月 的话 有 转为 一个 新飞 享 三十八 的 套餐 也 是 三十八 然后 它 是 三百 分钟 然后
下午 好 很 高兴 为您服务   本机 的 来电显示 送 的 不用 钱
您好 请 讲 您好   呃 一百二十八 然后 的话 你 还有 一个 三十块 流量 包
您好 请问 什么 可以 帮助 您   来电 提醒 业务 有 提醒 就 扣费 嗯
您好 很 高兴 为您服务   我查 一下 月租费 是 八十八
您好 请问 有 什么 可以 帮 您   需要 查询 本机 办 的 业务 对 吧
您好   行 呃 本 机要 开 吗
您好 很 高兴 为您服务 我 那个 手机 是 多少 钱 套餐 有 什么 套餐 有 那种   噢 三百 兆 流量 是 吧 啊 没错
您好 请 说 什么 意思 啊 恩 你好   新闻 噢
您好 请 讲   你好 什么 帮助 吗
您好 您 说   操作 一次 嗯 嗯 操作 它 一天 最低 流量 王 套餐 超出 话 一兆两 毛九来 扣费 达到 六十块 钱 一次性 的 费用 来 进行 计算 的
噢   你好 请 说
您好 请 讲   呼叫转移 分钟 一毛钱
您好 请 讲   我 的话 需要 另外 收费 的 您 现在 今天 流量 只能 在 省内 用 在 外省 要 另外 扣钱 返
您好 请 讲   流量 套餐 是 吗
您好 请 讲   是
您好 请 讲   什么 可以 帮 您
嗯 嗯 就是 您好 很 高兴 为您服务   噢 如果 是 家庭成员 共享 就 不用 钱 那 如果 是 非常 里面 成员 之间 共享 的话 功能 费到 十二月 三十一 号 之前 只收 五块 钱 一个 号码
您 稍等一下 有 什么 六百 你好 您 的 流量 的话 已经 用 完用 超 了 超 了 五十 六块钱   两毛 九
您好 请 说   一个 g 流量 它 原价 是 三十块 今天 开 的话 它 只能 用 五百 兆 然后 费用 的话 差不多 只要 扣 您 那个 十四块 有 四百 七十一 兆
您好 请 讲   呃 流量 包 的话 还是 有 的 呀 您 要 用到 多少 流量 呢
你好 请 讲   呃 请 说 怎么 了
早上好 请 讲   那 您 可以 用 其他 号码 打 过来 我们 帮 您 转 宽带 专线 给 您 详细 介绍 一下
诶 您好 请 讲   对 对 八十八 的 套餐 然后 办理 宽带 业务 嗯 您 说
好 您 稍 等 马上 帮 您 查 一下   国际漫游 开通
您好 请 讲   嗯 嗯 您 在 本地 打是 吗
哎   您好 请 说
您好 很 高兴 为您服务   帮 您 现在 的话 没有 优惠 五十 兆 宽带 包年 的话 要 九百 六 一年 没有
早上好   嗯 噢 您 是 说 那个 宽带 您 要 互联网 电视 是 吗
早上好   好 的 您 现在 用 的 套餐 是 上网 一百五十 八块钱 套餐
回来 您好 高兴 您 服务   您 如果 是 在 香港 的话
您好 请 讲   好 的 我 看 一下 套餐 是 三十八 的 套餐 三十八 对 然后 包含 了 本地 通话 一百 分钟 五百 流量
呃 这 张卡 目前 使用 的 是 五十块 套餐 包两 g 流量 跟 来电显示   两个 g 就 两 千兆
你好   噢 对 日 租卡
很 高兴 您 服务   诶 您好 请 讲
您好 请 说   你好
您好 请 讲   呃 我 这边 马上 帮 您 转 宽带 客服 您 可以 了解 一下 具体 资费 啊
您好 很 高兴 为您服务 您好   您好 请 说
很 高兴 为您服务   流量 包是 吧
您好 请 说 诶 你好 帮 我 咨询 一下 啊 我 帮 我 查询 一下 这个 本机 哎 总 的 套餐 是 是 怎么 消费 您 这码 卡 是 无线 座机 的 请问 你 一下 是 无线 座机 每个 月 通话 保底 消费 十块钱 只要 您 在 就是 南安 省新 片区 这边 的话 拨打 就是 本地 的 本身 泉州 的 移动 号码 两千 分钟 之内 免费 就是说 就是 在 我们 自己 南 安南 是 里面 的 范围 然后 打 打出 泉州 的 拨打 泉州 的 移动 号码   就是 两千 分钟 没 呃 免费 的 对 如果 超出 的 分钟 数 或者 是 拨打 非 移动 的 号码 那么 前 三分钟 按照 每分钟 两毛 噢 两百 分钟 按照 两 毛钱 后面 按照 每分钟 一毛钱 来 计算 就是 是 打打 打 本地 电话 的
很 高兴 为您服务   诶 您好 请 讲
您好 请 说   您 稍 等 我 看 一下 您 现在 是 我们 这个 三十八 的 套餐 然后 另外 的话 您 这 有 个 宽带 的 业务 然后 每个 月 是 收 您 四十 一块 活动 是从 这个 月 开始 要 收费 的 其他 没有 了
您好 请 您 说   有 开通 呢
呃 您 是   感谢 耐心 等待 您 本 机号码 办 的 那个 宽带 是 一个月 三十 就 您 说 的 那 那个 账号 的 尾数 零 幺 的 那个 它 是 一个月 三十 一块钱 买 一年 送 一年 呃 今年 的 九月份 是 这个 第二年 的 第一个 月 了
您好 请 讲 您好   八十 八块钱 一个月 的 现在 好像 有个 新 的 八十 八块钱 的 套餐 取消 要 这个 套餐 呢 就是 新版 的 二 零 幺 四版 版 的 您 现在 是 要 改 这个 套餐 吗 我 我 想 了解 一下 套餐 那种 是 什么 它 是 这 样子 的 嗯 三百 分钟 全国 用 的 然后 九百 分钟 本地 打 国内 电话 加 起来 一千两百 分钟 国内 流量 五百 兆 省内 流量 四千 六百 二十 兆加 起来 的话 是 三个 g 的
您好 请 讲   您 稍 等 我 帮 您 看 一下 噢 先生 您好 感谢 耐心 等待 您 这个 是 到 二零一 七年 的 十一月 一号 到期 十一 十一月 一号
您好 很 高兴 为您服务 考虑 保留   好 的 稍 等 对 您 这 买 月租费 五十八 元 的 有 个 来电 提醒 两块钱
嗯 您好 请 说   噢 对 他 是 有 个 安装费 对
您好 很 高兴 为您服务   您 这边 是 和 家庭 九十九 的 套餐
噢 您好 请 讲 嗯   呃 请问 一下 先生 您 在 香港 几天 呢
您好 很 高兴 您 服务   嗯 女士 您 现在 办理 是 十八块 钱 的 你 要 更 高 的 还是 想 了解 更 低 的 呢
你好   您 请 说
您好 请 讲   国际漫游 是 吧
那 马上 帮 您 检查一下 请 您 别 挂 呃 您 是 说 的 没错 分钟 数 目前为止 帮 您 查询 用 完 了   三百五十 分钟
你好 请 讲   呃 超过 以后 是 一毛 九 一分钟
您好 请 说   先生 您 需要 多少 流量 呢
呃 很 高兴 为您服务   八块钱 里面 有 三十分钟 免费 通话 来电显示 其他 就 没有 了
您好 请 说   福州 是 吗 啊 呃 这边 的话 是 全国 接听 免费 全国 拨打 一分钟 一毛 九
您好 很 高兴 为您服务   接听 要钱
您好 请 说   好 您 稍 等 我 马上 帮 您 查 一下 记录 好 的
您好 很 高兴 为您服务   诶 那个
您好 请 讲   无限 流量 卡 您 在 本地 用 还是 在 福建省
你好   您好 请 说
诶 您好   嗯
很 高兴 为您服务 您好   十八块
月 就 能查 嘞   噢 十八块 的 全球通
很 高兴 为您服务 您好   您 稍 等 我 帮 您 查 一下 人 是 在 福州 打是 吗
您好 请 讲 你好   请问 小姐
嗯 嗯   您好 请 讲钟 您好 诶 您好 我要 拿 那个 五百 兆 流量 多少 钱 啊 五百 兆 因为 现在 已经 是 十九号 今天 没有 刚好 五百 兆 的 有 四百 三十七 兆 十二块 八 这个 可以 吗 五百 兆 流量 啊 我 不 知道 现在 没有 五百 兆 的 就是 有 四百多 兆 的 十二块 八 可以 吗 你好 这个 套餐
