知道哎嗯嗯您好高兴您服务 地址是什么用不了 
您好很高兴为您服务 嗯 
您好很高兴为您服务 哪个区的呢 
您好很高兴为您服务 好像 
您好很高兴为您服务您好 什么村 
您好很高兴服务唉你好我那个之前预约一个生效呃家庭消费八十块送五十兆宽带的那个那个那个好像没回复吗你帮我看一下你说宽带是不是能装是吧啊对对对那个那个我不是那个预约的那个东西嘛他那个 诶软件上面预约了你帮我看一下有一个这个这个单子我帮您转专席帮您查一下请稍等啊好的嗯不客气不客气 
您好很高兴为您服务 幺七幺 
您好很高兴为您服务 噢 
您好高兴为您服务您好 两百兆的是吗 
好很高兴为您服务 嗯就想办个移动的家庭宽带是这样吗 
您好很高兴为您服务 噢可以先生您把地址报一下我查一下 
您好很高兴为您服务 浦东新区 
您好很高兴为您服务 宽带有个套餐吗那看您那个地址能不能安装的地址报一下在哪个区的呃是浦东新区浦东新区什么路呃华东路跟那个龙东大道交叉口这边我们现在 
稍等一下很高兴为您服务 对线路对对是哪哪个省 
您好很高兴您服务 首先先看地址您把地址报一下 
您好很高兴为您服务你好我想问一下那个移动现在新开通了一个 帮您 
您好很高兴为您服务 个人宽带还是公司宽带 
您好很高兴为您服务 您是想办校园宽带吗 
很高兴为您服务你帮我查一下那个宝山区月浦镇村路 宝山区月浦六 
您好很高兴为您服务 移动的宽带对吧可以你把地址报一下小姐我查一下有没有上海的宽带g 
您好很高兴为您服务 嗯您是哪个地方 
您好很高兴为您服务 场中路额您现在是什么地方要装宽带 
很高兴为您服务哎你好我想那个确认一下我们家那个小区可以装移动的宽带 浦东新区嗯嗯 
您好兴您服务 宽带迁移宽带移机是要去营业厅办理的请您保持号码办的吗 
您好很高兴为您服务 噢可以你把这边要安装的公司地址报一下我查询有没有企业线路覆盖小姐 
您好很高兴为您服务 那帮您是安装宽带地址报给你查一下是上海哪个区的呃普陀区浦东新区是吧 
您好很高兴为您服务 好好 
