知道 哎 嗯 嗯 您好 高兴 您 服务   地址 是 什么 用 不了   宽带 使用 不了 是 吧
您好 很 高兴 为您服务 哎 我 想 问 一下 在 你们 的 宽带 是 就 先要 开通 那个 再见 如果 走 的 是 东方 有线 的 线路 您 没有 开 的话 就要 看 您 的 地方 是否 完成 g 的 网络 改造 了 不然 到 时 可能 会装 不了 的   如果 您 这个 地方 装 的 是 我们 跟 东方 有线 合作 的 那 就要 看 您 家里 有线电视 有没有 开 如果 没有 开要 看 您 这边 是否 完成 mc 的 网络 改造 这个 您 可以 东方 有线 去 问 的 能 不能 安装 他 那边 如果说 可以 装 的 那 也 可以 的   对
高兴 您 服务   你 把 地址 报给 您 查 一下 是 浦东新区 是 什么 路   当月 的 我 查不到 的 不好意思 标准
很 高兴 为您服务   对 是 的   漕王 是 吗 那 您 报 一下 地址 我 帮 您 查 一下 好 吧
高兴 您 服务   芳村 金融 大厦   是 居民区 还是 商务楼 啊
很 高兴 为您服务 唉 你好 我 问 一下 就是 我 已经   不是 上海 就 像 您 小区 这边 移动网 宽带 有 接入 了 吗 是 哪个 区 呃 上海市 黄浦区 黄浦区   欧洲 六
您好 很 高兴 为您服务   呃 我 看 一下 稍 等 那个 七十块 钱 那个 小时   嘉定
您好 很 高兴 为您服务 您好 很 高兴 为您服务   好 的 那 情况 您 在 那里 地址   虹口区 的
您好 很 高兴 为您服务   您 要查 有没有 资源 覆盖 对 吧   啊 哪个 区 的 活动 限制 浦东 然后 具体地址 是
您好 很 高兴 为您服务   唉 我 想 那个 咨询 一下 呀   一 g 对 啊 可以 啊 只要 您 那边 有 资源 就 可以 已经
您好 请 讲   嗯 活动 是 有 的 您 什么 地方 要装 呢   等 一下 啊 奉贤 奉贤区 的 是 吧
您好 很 高兴 为您服务   就 移动 的 宽带 对 吧 呃 移动 宽带 是 这样 的 首先 确认 一下 您 这个 地址 有没有 装 过 如果 没有 装 过 地址 覆盖 就 可以 参加   就 看 一下 地址 有没有 移动 的 宽带 线路 覆盖
为您服务   嗯 哪个 区 的 上海   长宁区
您好 很 高兴 为您服务   是 上海 哪个 区 的   先安区
您好 很 高兴 为您服务   您 是 要查 这 地方 能 不能 装 宽带 嘛 对 对 对 对 对 对 对 哪个 区 请问   上海 哪个 区 的
您好 很 高兴 为您服务   恩 你好   好 的 哪个 区 的 请问
您好 很 高兴 为您服务   对 你 帮 我   呃 哪个 区 的 请问
哎 您好 请 讲   地址 有 宽带资源 覆盖 对 吧 噢 好 你 把 地址 报 一下   杨浦区 控江路 二十八 号 我 看 一下 啊
您好 很 高兴 为您服务   什么 村   周 东城 哪个 朱
您好 很 高兴 为您服务   呃 哪个 区 的 上海   宝山区 你 具体地址 呢
您好 请 讲   可以 看 吗 钢琴曲 具体地址 是   零 啊 天 山西路
您好 很 高兴 为您服务   您 什么 地方 装 宽带 呢   嗯 请 说
您好 很 高兴 为您服务   恩 你好   好 嗯 呃 都市 路
您好 很 高兴 为您服务   那 您 这边 地址 有 吗 先 帮 您 查 一下 资源 情况   请 尊重 大厦
您好 很 高兴 为您服务   八月 五十八 号 对 吧 请稍等 我 帮 您 看 一下   白玉 路 五十八 号 对 吧
您好 很 高兴 为您服务   店铺 是 吧   有 银联 路 七百 四十七 号
您好 请 讲   然后 具体地址   帮 您 明塔路 明天 的 明堡 台 它 吗
您好 很 高兴 为您服务   啊 要 装 宽带 对 吧 对 您 撤单 具体 什么 地址 呢   车辆 的 车 山峰 的 峰 吗
您好 很 高兴 为您服务   噢 就 帮 您 转到 宽带 部门 给 您 查 一下 好 吗 我 现在 帮 您 转接 帮 他 解决问题 不 客气 我 将 电话 转 专席 处理 请稍等
您好 很 高兴 为您服务   嗯 哪个 区   嗯 然后 查询 镇长 兴镇 然后 呢 呃 付城 小区 阜成 小区 是 吗 是 那个 被 停 呃 怎么 写 的
您好 很 高兴 为您服务   然后   代理 公司 的话 这个 您 可以 问 一下 物业 具体 怎么 欠 然后 你 可以 把 地址 报 一下 我查 一下 这边 线路 有没有 覆盖 钱
您好 很 高兴 为您服务   唉 你好   嗯 嗯 需要 办 公司 宽带 是 吧 店铺 的
您好 很 高兴 为您服务   恩 你好   不是 要装 宽带 您 什么 地方 装 呢
您好 请 讲   嗯 您 说   嗯 几号楼
您好 很 高兴 为您服务   嗯 您 说   嗯 嗯
您好 很 高兴 为您服务   嗯 这个 帮 您 转到 我们 的 宽带 部门 给 您 查 一下 好 吗   那 解决问题 我 将 电话 转 专席 处理 请稍等
您好 很 高兴 为您服务   噢 您 是 要 咨询 宽带 是 吧 对 我 这个 我 帮 您 转接 到 宽带 专席 那边 帮 您 查 一下 的 好 吧 好 稍 等 不要 挂机 为了 更好 请 您 再 打电话 找 一 下去 处理 好 嗯
您好 很 高兴 为您服务   宽带 什么 问题 请 讲 先生   呃 你 把 这边 的 地址 报 一下 我 帮 您 查 一下 能 不能 办
您好 很 高兴 为您服务   在 哪个 区   嗯 嗯
您好 很 高兴 为您服务   您 把 地址 报给 我 看 一下   恩
您好 很 高兴 为您服务   每安路   嗯 然后 是
啊 您好 兴 您 服务   宽带 情况 下 您 是 说 那个 打 一次 两次 那个 活动 啊   那 小区 名字 报 一下
为您服务   唉 你好   你 要 办 宽带 对 吧 什么 地址 我 帮 您 查询 情况
您好 很 高兴 为您服务   上海 松 松江区   呃 具体 呢
嗯 您好 很 高兴 为您服务   嗯 对 的   上海 哪个 区 的
您好 很 高兴 为您服务   嗯   详细 您 先 讲 什么
您好 很 高兴 为您服务   哪个 区 的 呢   恩
您好 很 高兴 为您服务   好像   给 您 一百五十 六号 还是 弄
您好 很 高兴 为您服务 您好   什么 村   清 丰镇 是 吗 还有 什么 可以 帮 您
您好 很 高兴 服务 唉 你好 我 那个 之前 预约 一个 生效 呃 家庭 消费 八十块 送 五十 兆 宽带 的 那个 那个 那个 好像 没 回复 吗 你 帮 我 看 一下 你 说 宽带 是不是 能装 是 吧 啊 对 对 对 那个 那个 我 不是 那个 预约 的 那个 东西 嘛 他 那个   诶 软件 上面 预约 了 你 帮 我 看 一下 有 一个 这个 这个 单子 我 帮 您 转 专席 帮 您 查 一下 请稍等 啊 好 的 嗯 不 客气 不 客气
您好 很 高兴 为您服务   幺 七 幺   那 这边 帮 您 转到 宽带 专席 帮 您 查 一下 这边 不要 挂 帮 您 转到 后台 啊 嗯 好 先 稍 等 为 您 解决问题 我 转接 专席 处理 好 的 祝您 您好
您好 很 高兴 为您服务   噢   哪个 区
您好 高兴 为您服务 您好   两 百兆 的 是 吗   嗯 号码 是 呃 不好意思 家里 地址 报 一下 我 给 您 看 一下
好 很 高兴 为您服务   嗯 就 想 办个 移动 的 家庭 宽带 是 这样 吗   安装 宽带 地址 报给 你 查 一下 能 不能 装没装 到 账 您 是 上海 哪个 区 的
您好 很 高兴 为您服务   噢 可以 先生 您 把 地址 报 一下 我查 一下   好 的 是 长宁区 吗
您好 很 高兴 为您服务   浦东新区   您 是 什么 联
您好 很 高兴 为您服务   宽带 有个 套餐 吗 那 看 您 那个 地址 能 不能 安装 的 地址 报 一下 在 哪个 区 的 呃 是 浦东新区 浦东新区 什么 路 呃 华东 路 跟 那个 龙东 大道 交叉口 这边 我们 现在   从 一村 红是 红色 的 红 吗 对 对 对 应该 预存 的 唉 对 对 对鸿益 村 然后
稍等一下 很 高兴 为您服务   对 线路 对 对 是 哪 哪个 省   闵行区 北 审核 东南西北 的 北 沈阳 省 两百 六十 弄
您好 很 高兴 您 服务   首先 先看 地址 您 把 地址 报 一下   请 稍等一下
您好 很 高兴 为您服务 你好 我 想 问 一下 那个 移动 现在 新开通 了 一个   帮 您   嗯 您 是 要 装 宽带 是 吧
您好 很 高兴 为您服务   个人 宽带 还是 公司 宽带   个人 是 吧
您好 很 高兴 为您服务   您 是 想 办 校园 宽带 吗   代 人 宽带 的话 呢 这个 目前 只能 到 我们 就近 的 营业厅 进去 查询 呢
很 高兴 为您服务 你 帮 我查 一下 那个 宝山区 月浦 镇村路   宝山区 月浦 六   三十二 弄 是 吧 几号楼 呃 应该 在 十分钟 嗯 三十二 弄 还是 三百 三十二 弄 不要 三百 三十二 应该 是 啊 几号楼 呢
您好 很 高兴 为您服务   移动 的 宽带 对 吧 可以 你 把 地址 报 一下 小姐 我查 一下 有没有 上海 的 宽带 g   陆翔路 呃 后面
您好 很 高兴 为您服务   嗯 您 是 哪个 地方   几号楼
您好 很 高兴 为您服务   场 中路 额 您 现在 是 什么 地方 要装 宽带   场 中路 三十二 弄 对 几号楼
很 高兴 为您服务 哎 你好 我 想 那个 确认 一下 我们 家 那个 小区 可以 装 移动 的 宽带   浦东新区 嗯 嗯   莲花 的 莲出 审批
您好 兴 您 服务   宽带 迁移 宽带 移机 是 要 去 营业厅 办理 的 请 您 保持 号码 办 的 吗   安装 地址 您 报 一下 老 的 地址 是
您好 很 高兴 为您服务   噢 可以 你 把 这边 要 安装 的 公司地址 报 一下 我 查询 有没有 企业 线路 覆盖 小姐   滑雪 刘华路 六百 八十五号 对 吧 上海 什么 区 的
您好 很 高兴 为您服务   那帮 您 是 安装 宽带 地址 报给 你 查 一下 是 上海 哪个 区 的 呃 普陀区 浦东新区 是 吧   普陀区 然后
您好 很 高兴 为您服务   好好   怎么 现在 您 可以 您 报下 地址 吗 看看 能 不能 装 移动 的 宽带
