请您好请说 本机要申请宽带呃先新装的吗是吗 
您好很高兴为您服务 服务密码是啊 
您好你好很高兴为您服务 本机这个号码的吗 
您好请讲 你好诶 
您好什么可以帮您 您好请讲 
您好请讲您好嗯您好 夜间十g流量套餐 
您好请说 呃您稍等一下噢恩好的先生那我发给您您稍后根据身份证号您自己重新设置一个以后保管好就可以了嗯 
哎您好很高兴为您服务 新飞享五十八套餐那个有要求啊要比五十元低的套餐才能办这种而且你有宽带活动改套餐要到营业厅改然后现在没有符合条件直接改改不了的 
您好高兴为您服务 呃您好非常抱歉目前暂时没有给您送赠送这个流量啊 
噢添加号码我可以帮您加入啊您把要添加号码给我一下他这边需要添加 省内嗯您说 
喂你好您好请讲短信您好请问什么可以帮助您 噢您本机要开通国际漫游是吧呃行可以那您稍等我帮您开通 
你你那个咪咕阅读定向流量多开通您咪咕定向那个咪咕咪咕阅读啊对啊那个定向流量怎么开咪咕阅读定向流量那个是赠送的业务没有直接开通的方法但怎么或者啊 就是之前有参加咪咕阅读活动它会自动赠送没有办法直接现在没有啊 
接听您好请讲 身份证原件还有业务密码有吗 
对您好请说 没有赠送的以前有现在已经不能赠送了对只能说它在您的身边您开个热点然后给他一起用噢这样子噢还有其他疑问吗 
您好 它当月的话费打幺零零八六幺幺 
您好很高兴为您服务您好 你好 
您好很高兴为您服务您好 噢如果是说手机没有流量了您看用到月底五百多兆够不够用 
下午好请说 呃请问是本机要开吗 
您好很高兴为您服务 您好 
嗯你好 要看您要加多少就这个月用是吧 
您好请讲 呃你说添加亲情号码是吧 
您好很高兴为您服务 好的密码会知道吗 
嗯您好请讲 应该共享是吧你流量里面有一个g的国内可共享还有本地的那个三g其中有四个g可共享那您有那个我看一下密码有吗手机号码密码你要开共享功能但是开通共享功能你加一个副号呢要收您五块现在活动期间但是明年开始加一个就要收十块了 
你好什么需要帮助 就是您另外再买个手机号如果说 
您好请讲 哦您稍等我查询一下嗯嗯呃您好先生我们有个流量的加油包要不要开您流量加油包已经有开了当您流量用完了会自动给您开通十块一百兆流量不用再开了 
你好请讲 要流量您这个月就要吗还是说之后把流量改多一点 
您好 不是啊您如果退的话要到营业厅吧营业厅但是有没有那个比如说要进行收据什么的 
您好请讲 那请问您是不是您本机这张卡还是另外一张卡 
您好请问什么可以帮您 啊流量限速了这个可以再看一下我把那个开通方式发给您开完之后手机关机重启一下哈嗯 
你好请讲 那个什么手续是有打算办理我们宽带的业务吗对对对那我可以帮您转接宽带专席那边进一步咨询了解好吗好的谢谢嗯不客气那您这边不要挂机我帮您转接宽带办理转接中祝您生活愉快再见 
嗯您好高兴您服务 流量限速的那个安心锁是吧 
你好啊您好很高兴为您服务 呃十块钱一百兆 
哎你好 嗯 
哎您好请说呃您好我想问一下国内流量怎么申请呃国内流量的话这边可以直接帮您办理的国内流量有一个那个活动的 六十块钱六个g的 
您好请说 呃您说的就是这个手机号的服务密码忘记了那这边的话要用您登记的身份证号码进行重置了您登记的身份证号现在会知道吧 
您好请讲喂你好 没 
您好请说喂你好诶你好 呃直接通过我们幺零零八六ipp就可以兑换我马上把这个链接发给您一下好吧 
您好很高兴为您服务 请稍等三十八它是赠送本地打国内一百分钟五百兆流量还有来电显示可以吗 
您好请讲 呃流量是您用完了是吧先生您好您可以办那个我们要求是六十块钱六个g的流量有效期一百八十天有六个g的流量不过我看了一下您这流量不是还有很多吗流量还有一千一千零七十兆诶还有一个g啊先生 
很高兴为您服务 您是说宽带续费是不是对对对对对对对要到移动营业厅续费我们这边是不了 
你好您好很高兴为您服务您好 先生您到月底的话我给您加一个比较实惠一点的流量啊就是我们有个三十块钱有一个g的那今天开通的话我们不收您三十块只收您十五块七毛八流量有五百三十八兆用到月底我帮您取消好吗 
您好请说 本机号码的吗 
您好有什么可以帮助您 先生很抱歉您那边是有用免提吗我这边听不太清楚您讲话如果有的话麻烦您免提关掉一下 
您好很高兴为您服务 香港接听免费套餐没有了 
哎您好请说 嗯手机卡的服务密码就是业务密码这个您如果说密码不记得的话我给您发一个设置密码的方式您根据短信操作就可以设置一个新的密码 
你好请说 流量不够用了稍等一下女士我给您看一下 
您好您说 嗯嗯 
泰国漫游先把那个国际漫游功能先打开我这边帮您开通一下 不用的就您这个本机是吧 
淘宝网您好请讲请问那个什么业务初始密码那个怎么弄啊您说什么业务初始密码 噢初始密码忘记了是吗我给您看一下 
您好请说 好的请稍等我帮您看一下噢 
您好很高兴为您服务您好 彩铃的那个电话是吗啊那个幺二五三零 
嗯您好请讲 呃移机稍等一下我帮您转我们宽带客服那边登记一下噢 
诶好的请稍等一下先生帮您查询一下噢这张卡登记过身份证嘛噢可以通过身份证来找回密码我待会儿把怎么找回的方式发过去您按照短信操作一下就可以转回来了 行我发过去哈还有其他需要帮助吗 
您好请讲 缴费发票应该是您是要改比如说呃像九月份的发票这种是吗要报销这种是吗 
您好很高兴为您服务请问您现在本机号码新装移动宽带吗 麻烦您提供一下手机号码还有密码我们这边帮您做登记呃幺八二幺五九 
嗯嗯呃您好请讲 呃您要升成四g卡是吗 
你好请说 幺零零八六幺幺 
没您好请说 干是吗 
您好 然后那个宽带是好像 
您好请说 要号码销户要去营业厅 
您好请讲 本机号码的彩铃功能吗 
对您好高兴为您服务 噢我这边也帮您直接转接宽带这边问一下您不要挂机哈啊嗯正在为您转接 
您好请说嗯 电子发票是吗可以了电子发票这个号码的服务密码的吗它有个那个短信随机码我们有获取的网站我把这个电子发票或者网站发给您 
您好很高兴为您服务 诶您好 
您好请说 由他们代付发票是体现在付费的那个号码上 
你好你好您说 您是说哪里的号码厦门的号码 
您好很高兴为您服务 号码多少我帮您报你报给我一下 
你好 你好 
您好请说 你好喂您说先生 
嗯哦中午好您说 这个是集团的那个显示如果是这种的话通过营业网点取消我们电话上也没办法做这个 
您好您请说 您好什么可以帮您的吗 
您好请讲 我给您看稍等一下呃漫游功能已经开了先生 
你好 四主卡吗 
您好很高兴为您服务 呃对你要到台湾去漫游对吗先生 
您好请讲 电话转接呃是您这边手机要呼叫转移到别的号码上是吗 
您好请说 您是要新装移动宽带吗 
您好很高兴为您服务 取消宽带的话需要到营业厅进行取消的 
您好很高兴为您服务 您是说发票开错了 
您好请说 您稍等跟您现在人是在福建省内吗 
您好请讲 兆了电话呃一样的我们全全省电话的先生您是要咨询号码在厦门号码的这个问题是吗 
解绑这个宽带请稍等我看一下您的宽带是两年时间现在一年都还没到 嗯 
您好请讲 好的没问题给您发送了稍后留意产生恩那还有什么可以帮您的没有了诶好的感谢来电再见 
您好请讲 您要办理我们移动宽带是吗 
您好请说 好的那我这边直接给您取消取消完之后这个月剩余的流量月底之前就要用完噢 
您好请说 噢我帮您办我先帮您查一下您稍等 
那这种要那这种要机主带身份证到营业厅那边恢复了 现 
您好高兴为您服务 呃是您本机号码申请的宽带密码吗 
您好请讲 如果密码您本机的手机服务密码是吧嗯 
嗯好请讲 您好请说 
你好您好跟您讲诶你好 就是所有人打您电话都转短信提醒是吧 
您好请讲 噢好的如果您不记得的话我这边呃就是需要这个女士您呀但是您自己的身份证原件然后找一个漳州移动呃去处理一下银行就移动为准 
您好请讲 呃国际电话是吗好那我现在帮您开通一下国际长途的可是不是不是我的号码我就是想问一下吧 
您好请讲 服务密码被那个是查不到的那个身份证号码记得吗 
您好请说 嗯嗯 
您好很高兴为您服务 是本机转他机还是他机转本机 
您好请讲 你好 
您好请讲 您卡是哪里的呀 
您好很高兴为您服务 你说宽带密码忘记了我这边可以帮您去重新设置一个新的 
您好请讲 那就补卡 
嗯嗯您好请讲 你好 
谢谢 就是 
您好请讲 每张卡其实都有业务密码只是说您可能之前自己没有获取过或者说没有找过密码 
您好很高兴为您服务 您可以提供身份证还有五个拨打过电话进行办理停机保号那要提醒您一下这种停机保号如果通过这种方式办理的话呃以后如果要复机一定要到营业厅去重置密码以后才能够复机而且这种一般手机卡丢失了才会这样办的 
您好请讲 您要查流量剩下多少是吗 
你好请讲 唉你说呀这里是幺零零八六客服热线 
哎您好请说 啊本机要开是吗 
您好请讲 噢宽带的密码忘记了是吧我这边直接重置一个密码发送到您手机上稍后您看一下好吗噢好谢谢啊我直接发过去给您通知您说我们的这个客户有参加我们这个有呃活动优惠原价是五十元两g的现在只要进行相应的是二十块钱就有两g流量我就开打六个月下个月生效我这边帮您登记吗 
您好很高兴您服务 呃这个要去营业厅换卡这个没办法寄送非常抱歉 
你好很高兴服务 稍等一下你先稍等一下哈 
愉快再见 您好很高兴为您服务 
您好什么可以帮助您 您输入密码 
为您服务 换卡就带身份证原件吗到营业厅换卡就可以了 
您好请讲 宽带的密码是吗请稍等我看一下本机办理的移动宽带密码忘记我帮您重新设置一个新的账号就您本机号码好吗家里有路由器的话也需要设置一下我这边帮您进行下发给您了请问还有什么可以帮助您 
您好有什么可以帮您 您好 
您好请问什么可以帮您 什么意思 
您好请说 您现在是八八的您是觉得太多了还是太少了呢 
嗯嗯您好很高兴为您服务 那师傅还没上门啊 
早上好 呃呃 
您好您请讲 嗯您好 
您好您说喂你好我想问一下我那个您说 如果说您用身份证买的号码吗现在没有用是吧咱这张卡是现在已经是空号还是说欠费了现在 
您好高兴您服务 噢我现在 
你好请讲 您这个短信功能是吗 
很高兴为您服务 那您去几天嘛号码 
哦 请说 
您好请说您好您好请问听得到吗 十块钱二十四个小时十个g对啊 
您好请说哎你好我想请问一下那个 送流量现在移动没办法直接转赠流量啊先生 
您好高兴为您服务 今天想多少的三十八吗 
您好高兴为您服务 呃对对对要设备要拿到营业厅给退掉 
你好请说 恩我这边可以帮您开您请稍等我一下 
您好兴您服务 本人带上本人身份证本人到上海移动营业厅就可以 
您好高兴为您服务您好 手机密码知道吗 
您好很高兴为您服务 呃可以去重置一下发送密码两个字到幺零零八六根据短信提示就可以重置密码的 
您好很高兴为您服务 呃就是说我知道就比如说您在跟我通话是另一个电话能打进来您可以选择接听不接听这个功能对吧那您已经开通了但是您要激活一下拨打激活的方式呢下发给您了您可以看一下 
高兴为您服务 是 
您好很高兴为您服务 您好 
恩 那我帮您把这个业务取消掉您的密码知道吗不客气 
您好很高兴服务您好很高兴服务 你好 
很高兴为您服务 电子发票就是我们这边帮您开通的每个月电子发票自动发给您那个幺三九邮箱里面的问一下 
您好很高兴服务 对 
为您服务 呃这个就是不是一定要去营业厅办就是说您要办一个新的号码这意思 
不客气 唉您好您说 
您好高兴为您服务您好 有的条件是有的首先您这个套餐是不符合要求的你肯定要改套餐就第一个第二个的话您是您这边的话是公司总部的吗 
您好高兴为您服务 嗯对到月底是的 
您好很高兴服务 好发票你要开几月份的发票五月份的吗 
不是的女士任我翻的流量优惠包您加不了 我们这边的话人工也可以加呀你用那个副号码打人工也可以呀 
您好很高兴为您服务 呃您现在到月底要多少兆流量呢大概的需求 
为您服务喂你好 您好您说 
您好很高兴为您服务 宽带的话您什么地址呢 
您好兴为您服务您好 噢您现在几月份的 
您好很高兴为您服务 呃不好意思没听明白你说移动的什么问题 
为您服务 呃赠送给您的是两g算上海本地用的一个本地流量在上海本地就可以继续使用的 
您好很高兴为您服务 这呃你说的是增值税专用发票吗小姐 
您好很高兴为您服务 噢有些活动是另外送流量的活动有的就是您这套餐可以保持不变申请一个活动每个月免费送一g的上海本地流量还送一个g的国内夜间流量还有三个g的咪咕视频流量送到一八年六月份 
你需要办理款机器的发票 您是要存过一个是幺四g两毛吗对您是要那个报销对吧啦 
您好很高兴为您服务 请说 
您好请讲 是手机号码要办理过户对吗小姐 
您好请讲 嗯嗯套餐的话也就是说它的密码您知道吗先生 
您好很高兴为您服务您好 发票什么刚才我可以给您发电子版的发票邮箱 
服务 你好 
您好请讲 办理流量的话您还需要用多少 
您好很高兴服务 好加流量对吧 
很高兴服务 来电开通一下就行了 
您好很高兴为您服务 唉你好 
很高兴为您服务 呃你说别的地方要装吗因为我看您已经办理移动宽带您是其他的地方其他的手机号码要办吗 
您好兴您服务 是哪个手机号码 
您好很高兴为您服务 嗯要去那个安装的也就是浦东新区的随便哪家营业厅都可以办的您把设备身份证还有公司这边相关证件营业执照副本原件带好然后单位介绍信加盖公章嗯 
高兴您服务 套餐流量您现在订的是一个二十块钱三百兆流量包您在网上去吗 
您好兴为您服务您好 嗯那您手机的一个服务密码你有吗 
您好很高兴为您服务 怎么开这个您这个手机号码要开通流量是吗如果您要开通流量的话我们有十块钱一百兆二十块钱三百兆三十块钱五百兆这样的流量包可以让您选择 
您好很高兴为您服务您好 交话费话费的话是通过短信兑换的一个月兑换一次月末最后一天不能兑换我把那个操作的步骤发给您这样您自己通过短信兑换的 
您好很高兴为您服务 那么您买的手机上您整个过程有没有付过钱谢谢 
您好兴为您服务您好 噢那我这边可以帮您看一下您手机的服务密码您有吗服务密码现在我啥来着的呀姓名和身份证号码知道吗您报一下 
您好很高兴为您服务 您好 
您好很高兴为您服务 的是视频的流量不能操作正常的流量用的看视频用的 
您好很高兴为您服务 那么这个加油包办理要通过短信操作我把指令发给您你通过短信直接回复一下 
高兴为您服务 这个要看地址有没有光纤资源的您什么地方了 
您好很高兴为您服务 就是越南的吗对的好的您稍等噢好的好这边已经下发给您了还有什么可以帮您 
您好我是预处理专席代表很高兴为您服务 是我儿子再用以前小学的时候他没有 
您好很高兴为您服务 噢这很简单的我帮您再就可能十块一百兆那名字报一下就可以 
您好很高兴为您服务 嗯嗯 为您服务 您的意思说您公司有很多移动手机号 
您好很高兴为您服务 嗯您好 
您好很高兴为您服务 密码 
开通吗您好兴您服务 补卡对吧首先的话补卡的话是今天刚推出的所以会出现就是补卡不成功或者是您拨卡没有办法使用的情况而且我们这边是您要是个人实名制登记的个人客户然后才能补卡您要需要带好啊认一下身份证随便呃按照一下身份证本人还要给到您手机的服务密码去我们指定的移动营业厅才能办手机服务密码首先您知道吗 
您好很高兴为您服务 包年宽带最低二十兆一年七百六是家里的宽带对吧 
您好我是预处理专席代表很高兴为您服务 我 
您好兴您服务 您是帮您刷新的手机卡是什么样子 
七号很高兴为您服务 银行卡为手机充值那您可以通过第三方平台他们支付宝 
您好很高兴为您服务 您好请说 
您好很高兴为您服务 就是说他是上海的话在外地补卡然后 
为您服务 开流量就是当月加个流量包对吧 
您好很高兴服务 发票您要电子发票对吧是您本机号码吗 
您好很高兴为您服务 嗯可以多加二十块钱包一点五个g 
您好很高兴您服务 我帮您办理一下就套餐流量用原来的两个g免费升级至三个g而且现在是有优惠每个月再送您三个g的国内流量送到明年的六月底 
您好很高兴为您服务 恩您好请说 
之前停掉啊 那您就带好身份证设备去安装地移动营业厅退订但这个剩余时间的费用就不能退还了 
高兴您服务 我先帮您查一下吧 
您好兴您服务您好 那这个要打回四川当地移动让他们这边帮您办理一下 
为您服务 公司短号已经回复的国外已经生效了 
为您服务 呃就是当月要使用流量吗先生 
好很高兴为您服务 呃三g的呃就是要变更一下套餐啊就是说您现在是非常办的二百三十就需要变更成那个自选版的二百三十八就是套餐资费不变然后流量的话就是有六个g呃是用流量是赠送到明年六月底到明年七月份开始流量的话就恢复这个三个g 
您好很高兴为您服务 上海移动的卡吗 
您好很高兴为您服务 您要办家庭承诺消费幺零八是吗您主号我说您是要办家庭承诺消费送宽带对吧对对对对这个要您是上海户籍可以直接带好身份证去那个营业厅里面办理的 
您好很高兴为您服务 你好您好电话已接通请讲话 
您好很高兴为您服务 呃充值对吧您把那个手机号码先报一下 
您好很高兴服务 另外流量您要首先开国际漫游开好之后再办流量包按流量包您要看去的是哪个国家 
您好很高兴为您服务 噢这个一直有的只要您算够就可以换 
呃您好很高兴为您服务 需要办这边移动就是移动的四零零电话服务 
您好兴您服务您好 可以 
您好高兴为您服务 额积分这里不能直接办但说那个可以把那个兑换的方式可以发给您您要兑换话费还是要兑换什么 
您好很高兴为您服务 呃我听不到您说话麻烦您调整一下您好您要七千多的积分怎么了 
您好兴为您服务 我是泰国对吧可以开国际漫游的然后那个流量的话是按照三块钱三兆算的三十块钱一天不封顶另外的话有一些套餐带有三天包是七十八的五天一百一十八七天一百五十八 
您好很高兴为您服务 宽带是吗我这边为您转接宽带专席由专席为您办理请稍等吧 
您好很高兴为您服务 刚才充流量这里办理业务需要密码的他的密码有吗 
您好很高兴为您服务 要买多少流量 
您好兴您服务 噢要查才知道手机密码知道吗 
您好很高兴为您服务 积分换话费是吧两千五百分兑换三十元话费我怎么可能用了短信指令您需要的话稍后发短信兑换 
唉你好 噢我刚才直接转到那个宽带那边去了不好意思 
您好高兴为您服务 就现在是有一个双十一活动十一月十号到十二号申请办理可以享受这个优惠 
您好很高兴为您服务 就是这个月临时加点流量的意思吗哦那选择也挺多的那您看您根据需要来的您看这个月到月底大概需要多少兆我帮您找一个 
高兴为您服务 彩铃歌曲的话您打幺二五三零这边查询一下 
套餐营业厅要求有关 
您好很高兴为您服务 那你要多少通话多少流量您告诉我 
您好很高兴为您服务 是哪个号码试过您的手机号还有限公司 
村 去了一呃那这应该是三六零的什么软件什么上面标记的那您要联系他们那边直接删除 
好很高兴为您服务 密码就是六位数的一个服务密码如果您不知道的话您可以发送短信幺零六三到幺零零八六可以进行密码重置 
您好很高兴为您服务 稍等我查一下啊 
您好很高兴为您服务 那免费充值 
您好很高兴为您服务 这个发票的话在邮箱里然后每个月它有一个移动默认邮箱呢呃在幺三九邮箱里面就是手机号艾特幺三九点com然后那个登录方法我可以发给您用户名是手机号密码的话可以用短信验证码来登录发那个网址给您了 
您好兴您服务您好 呃更改的话您拨打幺零零八六按四号键根据语音提示合同重新设置一下好嗯嗯帮您转到语音首层您按一下四号键可以直接设置一下好吧噢好好那这边请稍等其他开户的详细介绍 
您好很高兴为您服务 嗯号码办宽带手机号码是上海移动的手机号码 
哦 您好请说 
您好很高兴为您服务 营业厅的话是要带好身份证原件去营业厅办的 
您好很高兴为您服务 网线您说的是个人办无线网络 
您好很高兴为您服务 对 
您好很高兴为您服务 公司就是申请一个新的上海移动号码一共是没有登记 
恩 嗯嗯具体细则不太了解这集团业务啊 
您好很高兴为您服务 唉你好 
您好很高兴为您服务 企业彩铃如果办的话它是必须公司名义办理然后要十个上海移动手机号码才可以办其他彩铃 
姓周流量您好兴您服务 七呃首先下地址的资源地址报一下吧 
您好兴您服务 喂您好请讲 
您好很高兴为您服务您好 你好就是 
