请 您好 请 说   本 机要 申请 宽带 呃 先 新装 的 吗 是 吗   您 不用 挂 电话 我 帮 您 转到 宽带 专家 这边 给 您 做 申请 一下 我们 专家 为您服务
您好 您 说 请 讲 请 说   就 说 办理 停机 保号 吗   那 那个 等 下个月 的话 打 我们 电话 把 密码 验证 一下 就 能 开 啦
是 的 没有 您好 很 高兴 为您服务 您好 诶 您好 请 说   那 我 能 问下 先生 是 只是 您 个人 手机 会 出现 这种 情况 吗 周围 的 人 也 会 是 这样 吗   个人 的 对 吧 我 刚刚 查 了 一下 您 本机 的 数据 功能 对 吧 功能 的话 都 是 正常 的 没有 问题
您好 请 讲   宽带 吗 稍 等 宽带 目前 状态 正常   恩对 是不是
您好 很 高兴 为您服务   哦 那 您 要 身份证 原件 拿 过去 看 一下 能 不能 重新 购买 具体 要 到 营业厅 问 一下 您 把 身份证 原件 进行 带 过去   嗯 那 您 号码 是 多少 我 先 帮 您 查 一下 号码 多少
您好 请 说   注销 需要 带 身份证 原件 到 移动 营业厅 去 注销 一下   嗯 不行 啊 只能 在 厦门 营业厅
您好 请 讲   恩 您 说   补卡 的话 要 在 南平 这边 补 诶
为 您   你好   呃 是 互联网 电视 吗 还是 宽带 呀
哼 您好 很 高兴 为您服务 你好 诶 请 讲   帮 您 移动信息 服务   没有 噢 您 稍 等 我 帮 您 看 一下 您 这边 的话 是 要 嗯 确实 没有 没 有关 要 帮 您 开启 吗
您好 请 讲   呃 有 本地 版 开机 是 吗 这里 这 部手机 转 到 另外 一部 手机 吗 那 可以 啊 发送 短信 给 您 就 可以 操作 了 呼叫转移 分钟 一毛钱 噢   对 就是 关机 没 信号 的 时候 是不是 还是 要 哪 一种
嗯 嗯 再见 您好 请 讲   你好 你好   抱歉 断断续续 的 听 不到 您 的 声音 您 刚 说 什么 问题 呢
您好 很 高兴 为您服务   噢 非常 抱歉 我们 这边 流量 的话 没有 办法 进行 转移 过去 的   嗯 不 客气 那 还有 什么 可以 帮到 您
怎么样   家里 开 的 那个 宽带 它   嗯 我 这边 为 您 重新 设置 一下 稍后 把 这个 机顶盒 的 密码 发短信 给 您
五八 您好 请 讲   有 什么 可以 帮助 您   噢 您 的 本机 国际漫游 功能 已经 有 开过 了 不 需要 再开 您 是 打算 去 哪里
其他 哎 您好 请 讲   哎 提供 他 的 手机号 和 他 的 服务 密码 就 可以 帮 他 直接 办理 了   噢 可以 手机号 多少
您好 请 说 诶 您好 是 这 样子   呃 因为 支付宝 的话 它 这个 属于 第三方 充值 您 可以 联系 一下 支付宝 客服 那边
您好 请 讲   请 请 说   呃 先生 你 可以 办 一个 六十块 六 g 的 一百八十 天 有效 这个 更 还是 六十块 钱 六个 g 呃 有 六千多 兆 六千 然后 一百八十 天内 都 可以 用
您好 很 高兴 为您服务   国际漫游 功能 如果 要开 我 这边 可以 直接 帮 您 开 啊 然后 您 过去 之前 到时候 看 一下 需要 开 什么 流量 套餐 那些 可以 跟 我们 联系 再开 就行了 功能 可以 先 开始 不 收费 的   对 啊
锦 你好 请 讲   激活 了 吗   那 十五天 后 会 自动 销掉 的 这卡先 收后 十五天 没有 激活 或者 激活 不 成功 的话 它 就 会 自动 就是 号码 就 会 自动 回收 到
嗯 嗯   您好 请 讲   您 稍等一下 我 看看
您好 请 说   升级 什么样 的   嗯 那 您 这边 要 升级 嘛
您好 高兴 您 服务   那 您 最好 打 支付宝 客服 那边 问 一下 这个 功能 是 什么 时候 设置 的 噢 哎 噢 行行 行行 噢 行   没事 销户 了 一个 号码 还 销户 了 以后 号码 肯定 不能 用
您好 请 讲   你 说 稍后 详细 地址 的 也 是 说 平常 消费 的 明细 吗   他 说 别人 打 您 电话 别人 听 得到 音乐 那个 对 吧
您好 请 说   您 说 的 是 校园 宽带 嘛   家庭 宽带 的话 您 本机 没有 绑定 啊
高兴 服   诶 先生 您好   宽带 要 移机 是 吧 宽带 要 移机 的话 呃 我 这边 就是 因为 您 是 南平 地区 宽带 移机 的话 需要 去 营业厅 前台 一 g 您 和 机主 本人 带 身份证 原件 和 服务 密码 到 您 当地 移动 营业厅 来 申请 移机 然后 呃 它 会派 人 勘查 您 新 地址 有没有 资源 能 不能 没有 的话 他会 到 办 安排 您 当地 的 新 地址 的 专辑 维护 人员 给 您 预约 上门 移机
您好 请 说   呃 我们 现在 目前 的 套餐 你 现在 十二 十八 套餐 那 您 需要 那种 提示 吗 还是 说 降低 现在 什么 类型 的 套餐 先生   流量 不是 有个 新飞 享 三十八 套餐 里面 送 通话 本地 打 全国 三百 分钟 通话 时 长 省内 上网 流量 一点 五个 g 跟 来 显 其中 如果说 离开 了 厦门 全国 通话 有 一百 分钟 全国 流量 一 百兆 剩余 的 流量 仅限 本月 本身 使用 三十 八块钱 的
您好 请 讲   你好   服 服务 密码 吗 哎 噢 密码 的话 是 个人信息 啊 如果 您 原先 忘记掉 的话 可以 发短信 重新 设置 一个 我 可以 把 步骤 发给您
高兴 为 您 看 一下 啊   加油 包 十块 一 百兆 流量 那 如果 您 流量 用 的 比较 多 也 可以 开 比如说 有 一种 是 一次性 的 六十块 六个 g 的 有效期 一百八十 天 全国 都 可以 用   六个 g
哎 您好 很 高兴 为您服务   共享 流量 您 是 做 户主 给 别人 使用 吗   您 密码 知不知道 如果 知道 我 可以 帮 您 设置
您好 请 说   呃 您 说   呃 什么 改掉
嗯 您好 您 讲   密码 忘记 的话 只能 进行 重置 了 那 这边 我 帮 您 把 这个 重置 的 一个 方式 给 您 发送 下 短信 您 这边 话 直接 根据 短信 用 身份证 号码 重置 一下 可以 吗   嗯 嗯 已经 给 您 发送 的 短信 您 可以 留意 一下 还有 什么 其他 需要 呢
您好 请 讲   没有 到期 啊 女士 您 是 一 六年 九月份 办 的 嘛 到 一 八年 九月 一号 到期 啊 块钱 是 第一年 呢 是 有 送 您 三十元 的 宽带 费 吗 您 不用 付费 的 第二年 的话 呢 从 今年 九月份 开始 就要 自己 付费 了 所以 现在 还 没有 到 啊 关 我 一 六年 办 的 我 所以 没错 呃 一 六年 办 的 到 明年 的 九月份 才 到期   对 是 的 没错
你好   呃 我 这边 可以 帮 您 登记 到 时 具体 办理手续 我们 工作人员 会 打电话 给 您 可以 吗   恩 那 您 说 移机 的 新 地址 您 报 给 我 一下
你好 需要 什么 帮助   是 在 外省 还是 在 省内   在 外省 的话 如果 补卡要 到 外省 的 营业厅 去 问 一下 有没有 支持 跨省 补卡 的 服务
很 高兴 为您服务   呃 是 我们 移动 的 这个 号码 就是 装 我们 移动 宽带 啊   噢 你 是 已经 装 了 然后 项 宽带 有 问题 是 吧
您好 很 高兴 为您服务   您 这边 的话 是 呃 要 搬家 了 然后 要 移机 是 吗   那 您 不要 挂 我们 有个 专家 台席 我 帮 您 转过 去 帮 您 登记 好 吧
您好 请 讲   你 需要 办 宽带 是 吗   那 您 的话 就 帮 您 转接 宽带 专席 在线 人工 帮 您 登记 办理 好 吗 请稍等 呃 没事 我先 问问 我 帮 您 转接 一下 在线 工作人员 给 您 介绍 宽带 活动 如果 您 现在 也 可以 登记 您 可以 不用 马上 办 也 可以 了解 一下 好 吗 噢 好 的 那 不要 挂机 我 帮 您 转接 一下
您好 很 高兴 为您服务   好行 您 现在 话 目前 的话 有 四百 六十九 个 积分   对 四百多
你好 需要 什么 帮助   是 在 外省 还是 在 省内   在 外省 的话 如果 补卡要 到 外省 的 营业厅 去 问 一下 有没有 支持 跨省 补卡 的 服务
您好 请 讲 你好   嗯 那 张卡 是 就是 负责 在 外地 是 吧   号码 是 福建 移动 的 吗
你好   噢 然后 呢   嗯 嗯
中午 好 请 讲   那 我 把 这个 删除 和 添加 的 方式 我 发给您 吧 您 可以 通过 发短信 操作 可以 吗   诶 行 那 您 收 一下 噢 那 其他 什么 需要 帮助 您 的 呢
你好   打电话 给 你   宽带 续费 吗 嗯 嗯 宽带 欠费 如果 您 到期 要续 成 包月 的 它 会 自动 帮 您 续 那 流量 是 包年 的话 只能 营业厅 去 没错
您好 请 说   嗯 对 就 您 本人 携带 有效 身份证 原件 这个 号码 跟 服务 密码 到 归属 地 营业厅 这边 去 办 注销   就是 您 这 张卡 吗 您 稍 等 下 还是
您好 请 说   这个 只有 这个 有个 简单 的 查询 方式 您 直接 打 那个 幺 零零 八六 幺 幺 它 就 会 把 您 的 话费 情况 进行 回复 给 您   对
您好 高兴 为您服务   稍 等 我 看 一下 啊 呃 我 这边 把 那个 短信 重置 服务 密码 的 方式 发到 您 手机 上 您 稍后 呢 根据 短信 提示 按照 上面 的 格式 要求 然后 重新 设 一个 六位数 的 密码 发到 幺 零零 八六以 成功 短信 为准 好 吗   直接 更改 也 可以 但是 它 这个 是 随机 的 我 这边 帮 您 转过 去 也 行 先生 您 放心
您好 请 讲 你好   啊 我 目前 的话 帮 您 查看 一下 您 这边 之前 有 获取 过 初始密码 我 这边 的话 给 您 转接 到 我们 的 语音 提醒 然后 您 修改 一下 的 好 吗
您好 请 说   嗯 您 有 他 的 手机号 跟 服务 密码 吗   那 他 所 登记 的 身份证 号码 您 会 知道 吗
嗯 再见 请 说 您好   哎 就 麻烦   哪 一个
您好 请 说   宽带 的 密码 是 吗 没 办法 查 只能 说 重启   重置 不了
您好 请 讲   错误 流量 的话 我 帮 您 看 目前 送 流量 我们 是 只有 共享 的 呀 共享 还 没有 做 这个   对 是 的
你好 很 高兴 为您服务   如果 您 需要 办 宽带 那 您 稍后 不要 挂 我 这边 的话 是 帮 您 转 我们 的 宽带 专家 有 专门 人员 为您服务 好 吗   呃 您 不用 挂机 我 这边 直接 帮 您 转接 我们 有 专家 人员 为 您 直接 服务
啊 很 高兴 您 服务   你 说 的 是 家庭计划 嘛   您 现在 要 添加 的 是 吗 好
您好 很 高兴 为您服务   我 这边 可以 直接 帮 您 退 那 您 看 一下 我 直接 帮 您 退掉 吗   噢 您 是 说 不是 您 本机 是 吗
你好 早上好   诶 我 想   额外 的 流量 包 额外 流量 包 您 这边 是 有 办 一个 五十元 两 g 他 打个 四折 的 每个 月 是 二十块 的 是 说 这个 吗
嗯 嗯 您好 很 高兴 为您服务   已经 激活 了 那 就 得 去 营业厅 办 销户 了 直接 带 着 您 身份证 然后 去 咱们 那个 三明 当地 营业厅 办理 销户 这 样子   马上 就 办好 了
您好 很 高兴 为您服务   啊 流量 看 您 开通 多少 的 比如说 是 十块钱 一 百兆 的 加油 包 或者 有 一种 要 多一点 的话 办 那种 半年 包 更 合算 六十元 六个 g 的 有效期 一百八十 天 内 使用 有效   哎 是 的
您好 高兴 您 服务   哪个 号码 要 过户 本机 吗   原先 活动 还 没有 结束 现在 还 过 腹部 了 活动 结束 了 的话 就 双方 机主 凭 身份证 原件 双方 到 营业厅 去
嗯 我 这边 也 可以 直接 帮 您 补充 啊 您 是 只要 补充 这个 月 还是 每个 月 都 要   嗯 四百多 兆够 您 用 吗   对 或者 就是 十元 一 百兆 吗 四百多 兆 就 十三块 八毛 一
您好 请 讲   请 您 稍 等 呃 您 要加 家庭成员 是 吧   把 您 要 加 的 号码 告诉 我 吧 我 直接 帮 您 加 可以 吗
哎 您好 请 说   家庭网 我 这边 可以 帮 您 加 福建 这边 可以 加 或者 您 短信 添加 也 可以   噢 号码 多少
您好 请 讲   怎么 怎么 办理 啊 三十块 钱 一个 g 的 要 马上 开通 是 吗   您 放心 啊
嗯 您好 请 讲   宽带 取消 您 稍 等 我们 移动 宽带 吗   好先 稍等一下 二十 它 是 哎 嗯 多 您好 啊 对 宽带 取消 的话 您 在 翔 是 想 和 去 这边 就 叫 营业厅 过去 取消 华 国际
您好 请 讲   办 流量 你 需要 补充 一些 是 吗 这个 月 的   我 看 一下 噢 诶 我 这边 你 办 那个 流量 包 半年 的 那种 吧 六十块 六个 g 这个 在 一百八十 天内用 完 就 好 了
您好 您 讲   服务 密码 忘记 的话 只能 进行 重置 密码 了 那 您 稍 等 我 帮 您 看 一下 这边 您 要 怎么 操作   帮 您 核实 了 一下 就是说 您 这边 话 直接 发送 一下 四 零星 号键 然后 输入 下 您 的 那个 新密码 再 一个 星号 键 输入 身份证 号码 用井 号键 结束 发送到 幺 零零 八六 就 可以 操作 了 操作 方式 我 这边 也 给 您 发 一下 短信 您 根据 短信 操作 一下 哈 可以 可以 好 的 好 的 嗯 好 的 还有 什么 其他 需要 呢 没有 没有 谢谢 啊 好 不 客气 的 那 祝您 生活 愉快 再见
你好 请 说   呃 流量 包 的话 像 十块钱 一 百兆 还有 包月 的 三十元 一 g 五十元 两 g 七十 元 三 g 八月份 如果 现在 开通 是 按 比例 折算 的 就 今天 十七号 了 就 一半左右 这 样子   马上 生效 它 下个月 会 自动 取消 的 噢 好好 流量 下个月 清零 好 可以 了 好 的 还有 什么 可以 帮到 您 的 吗
您好 请 讲 你好 电话 已 接通   噢 您好 您 说   您 可以 改成 幺 三八 套餐 新飞 享 八十八 的 那个 改不了 不好意思
您好 请 说 你好   您 是 宽带 密码 不 知道 是 吗   没关系 我 重新 给 您 发送 一个 新 的 宽带 密码 过去 那 您 宽带 等 下 路由器 的 wifi 密码 需要 自己 重新 设置 过 一个 了 噢
您好 请 讲   您 是 指 那个 哪里 的 号码 漳州 的 还是   噢 漳州 的 移动 号码 登记 是 您 自己 的 身份证 原件 对 吧
您好 请 说   换 什么   是 吗 啊 对 啊 您 这边 如果说 不是 四 g 卡 的话 您 这边 可以 带上 您 身份证 去 营业厅 换 四 g 卡
您好 请 讲   您好   那 你 要 你 下个月 改 下下个月 生效
您好 请 说   不用 的话 带上 身份证 原件 到 当地 的 营业厅 那边 去 注销   对 再 帮 您 注销 的 时候 把 欠费 的 金额 可以 补交
您好 很 高兴 为您服务   不是   嗯 是 这 样子 的 您 这边 如果 不 不是 预约 的话 需要 携带 身份证 到 营业厅 进行 一下 宽带 账号 的 注销 噢
您好 请 讲   是 省外 号码 吗   吗 号码 的话 我们 福建 规定 是 只能 在 号码 归属 地 当然 销户 的 没有 办法 跨地区 注销 不好意思
您好 很 高兴 您 服务   诶 您好   我 看 一下 哈 您 稍 等 您好 感谢 耐心 等待 呃 我 这边 查看 了 一下 这个 需要 的 要 麻烦 您 机主 本人 带 身份证 原件 到 营业厅 办理
你好 请 讲   没 听 清楚 套餐 什么 问题 请 再 重复 一遍 好 吗   套餐 什么 问题
您好 很 高兴 为您服务 诶 你好 你好   比如说 喂 诶 您好 您 说   您 那个 是 叫 呼叫 等待 您 如果说 在 通话 过程 中有 另外 方 打电话 过来 的 时候 他 手机 上 会 显示 一个 通话 接换 如果 您 是 两个 都 按 掉 的话 它 两个 就 会 中断 了
您好 请 讲 有 什么 可以 帮 您   拿 身份证 到 营业厅 去 换卡 就 可以 了 帮别人 办 也 帮别人 办 别人 的 卡 是 吗   请稍等 为 您 看 一下 哪里 的 卡 呀
您好 请 讲   密码 知道 吗   嗯 如果 不 知道 密码 的话 您 提供 身份证 号码 跟 近 三个 月 的 三次 充值 记录 比如说 有 充过 五十 了 一百 呀 提供 三个 额度 就行 这 两个 能 提 功能 了 吗 嗯 嗯 我 想 一下
你好   可以 帮 您 升彩铃要 打 幺 二 五五 三零   幺 二 五八 零是 查询 号码 的 铃声 是 幺 二五 三零 这边 没有 铃声 的 服务
您 您好 请 说   诶 有 什么 帮 您   无法 接通 那 您 意思 说 您 不想 接到 别人 的 来电 是 吧 那 这种 的话 您 可以 进行 呼叫转移 吗
您好 高兴 为您服务 哎   嗯 您 自己 要 设置 呼叫转移 到 别的 号码 是 吧   呃 我 这边 设置 它 本机 来电 设置 不了 噢 可以 设置 他机 的
呃 您好 很 高兴 为您服务   密码 这个 呃 您 是 修改 吗 修改 可以 发短信 啊 重置 也 可以 发短信 啊 你 接 重新 设置 一个 新 的 叫 你 记 的 身份证号 它 是 可以 设置 的   带 您 就是 发送 四零 一号 键 你 要 自己 设置 的 密码 然后 身份证号 井号键 这样 发到 幺 零零 八六 这 样子 就 可以 重置 了 我 把 这个 方法 给 您 发过来 吧
您好 什么 可以 帮 您   噢 我 给 您 查 一下 一个月 一个 g 省内 流量 噢 您 可以 放心 您 想 前面 少 了 一个 星号 键 他 是 让 您 发送 星号 键 幺 三六是 发到 幺 零零 八六 您 只发 了 一个 幺 三六是 前面 少 了 一个 星号 键   呃 对 星号 键 幺 三六是 发给 幺 零零 八六 根据 它 的 短信 提示 零请 您 收到 成功 领取 信息 为准 好 吗
你好 请 说   您 这 号码 的话 是 已经 有 开通 国际 及 港澳台 漫游 功能 的 钱   流量 的 是 的 没错 它 是 有 三天 五天 七天 的 先生
你好 很 高兴 为您服务   可以 的 目前 您 的 积分 的话 这边 是 有 累积 五千 一百一十 七分   我 稍后 将 那个 查询 方式 给 您 发 过去 好 吗
您好 请 说   可以 发短信 进行 添加 或者说 您 现在 把 号码 告诉 我 我 这边 帮 您 去 添加   最 多 可以 八个
您好 很 高兴 为您服务   下个月 的 对 吧   这个 月 啊 可以 帮 您 办 补充 的 先 剩 补充 包 的话 呃 稍等一下
啊 那 张卡 信息 的话 它 说 那 张卡 服务 密码 密码 知道 吗   登录 密码 情况 的话 我们 直接 查不到 它 数据 啊 要 用 本机 号 打   这种 情况 呢 可以 办 一个 叫 停机 保号 暂时 停掉 一天 一毛 六 它 只要 您 没有 密码 情况 下 我们 需要 您 的 身份证 号码 然后 还 需要 五天 之前 三个 月 之内 平常 充 的 话费 有 三笔 钱 吗
您好 请 讲   呃 您 这个 如果 宽带 还 没 到期 取消 交 违约金 这 样子 对 您 不划算   您 这个 宽带 是 两年 不是 一年 先生
您好 请 说   去 那边 也 是 有 信号 可以 直接 用 的 噢 我 看 下 到 越南 怎么 收费   到 越南 的话 接听电话 是 九 毛 九 一分钟 打 当地 跟 打 回 中国 大陆 也 是 九 毛 九 一分钟
您好 很 高兴 您 服务   新装 是 吗 啊 新装 一条 宽带 对 吧   现在 帮 您 转到 新装 客服 为 你 介绍 请 您 不要 挂机 祝您 万事如意 再见
您好 请 讲   呃 您 这 张卡 的话 我 可以 直接 帮 您 打开 那个 港澳台 国际漫游 功能 现在 就 给 您 开 是 吗   诶 行 稍等一下 哈 谢谢 好 的 功能 给 您 开好 了 您 去 什么 地方 资费 要 不要 给 您 介绍 一下
您好 请 说 喂 你好 你好 请 讲   嗯   您 是 想 办理 宽带 移机 还是 把 宽带 取消 掉
您好 请 讲   我查 一下 请稍等 噢 您 共享 流量 您 八十八 套餐 里面 的 那个 流量 是 不能 共享 的 是 仅限 本 机 自己 使用 的   共享 零给 单独 就是说 开 一个 上网 套餐 比如说 像 三十 五十 这 样子 的 有 具备 共享 套餐 有 具备 共享 功能 的 上网 套餐 才 行到 但是 您 本身 就是说 八十八 套餐 里面 五 g 还是 不能 共享 是 这 样子
你好   呃 本机 转 他机 吗   呃 可以 通过 本 机号码 直接 操作 操作 过 吗
您好 请 讲   号码 报停 的话 要用 您 的 服务 密码 您 知道 服务 密码 吗   那 服务 密码 忘记 了 的话 是 这个 号码 还是 其他 号码 嘞
您好 请 说   呃 您 说 什么 问题 我 没有 听 清楚   稍后 要 带 身份证 原件 到 营业厅 去 办理
您好 请 讲   您 如果 需要 办 的话 我 可以 帮 您 办 直接 家庭网 的 收费 您 了解 吗   我 想 家庭网 的话 是 说 三块 钱 的 加 本地 两个 成员 也 只 收 三块 在 本地 福州 本地 打 本地 成员 每个 月 消费 三百 分钟 如果 您 在 加 一个 本地 成员 一个月 就要 多 一块钱 分钟 数 不变
您好 请 说   没有 说 赠送 的 呀 您 这个 号码 的 流量 吗   你 只能 说 添加 共享 功能 然后 他 可以 共享 里面 里面 的 流量 添加 一个 号码 五块 钱 一个月
你好 请 讲   下个月 一号 生效   嗯 对 对 对 那 要 帮 您 改 一下 吗
哎 很 高兴 为您服务   那 如果 您 要 想 开通 的话 我们 可以 帮 您 来 操作 到 香港 的 一个 功能 然后 同时 的话 噢 您 的 到 香港 的 功能 已经 开通 了 那 您 那 是 说 要 连续 五天 在 香港 使用 上网 是 吧   那 我们 现在 目前 有 一款 是 五天 的 一个 包括 打电话 和 流量 的 一个 这个 套餐 它 是 五天 呃 我 看 一下 噢 稍 等
里面   里面 它 它 就是 有 幺 零 通过 查询 通话 详单 里面 有个 查询 办理 吗 里面 有个 详单 查询 通过 上面 就 可以 查 了   刚才 那个 短信 上面 有 写 的 有 个 查询 办理 里面 有个 详单 查询
您好 请 说   呃 彩印 业务 是 别人 打 您 电话 的 时候 个性 签名 出现 在 别人 屏幕 上 一般 是 通过 办理 一些 比如说 您 要 登录 我们 的 移动 的 相关 关官 网 的 软 呃 官网 的 一些 软件 啊 或者 关注 里面 有 赠送 一些 什么 业务 的话 它 这个 会 连 再 赠送给 您   呃 它 是 比如说 别人 打 您 电话 的 时候 然后 你 的 个性 签名 出现 在 别人 屏幕 上 就是 打电话 的 时候 它会 有 一个 是 祝福语 把 那些 像 祝福语 这样 都 出现 在 别人 屏幕 上面
您好 很 高兴 为您服务   呃 您 是 要 四 g 所有 电话 来电 提醒 还是 转 到 其他 号码 上   移动 还是 联通 电信 呢 需要 我们 帮 您 操作 还是 把 设置 方式 发给您
您好 请 讲   好 请稍等   嗯 不用谢 那 现在 要 帮 您 先 取消 吗
嗯   您好 请 讲   诶
您好 请 说   呃 您 可以 发送 短信 幺 八到 幺 零零 八六 进行 查询   对 就 套餐 流量 使用 情况 嘛 对 不 对
您好 请 说   哇 需要 改 服务 密码 那 请问 您 旧 的 密码 知道 吗   呃 那 就 叫 重置 密码 重置 密码 的话 身份证 号码 知道 吗
行 您好 请 讲   我 我 要 问   噢 您 知道 他机 的 密码 吗
你好 什么 可以 帮 您   没有 就是 对方 打是 关机   您 是 说 所有 电话 打 进来 都 这样 吗
您好 什么 可以 帮 您   那 您 是 要 用 这 张卡办 一个 移动 的 宽带 对 吗   也 是 要 办理 一个 新 宽带 嘛 对 吗
晚上 好   呃 销户 的话 要 麻烦 您 带上 身份证 原件 跟 业务 密码 到 归属 地 营业厅 去 办理 销户   您 现在 永定 吗
您好 很 高兴 为您服务   呃 您 是 要 把 其他 的 业务 给 您 关掉 吗   我 帮 您 查看 其他 以后 您 这边 要 取消 的话 这 几项 有 来电 提醒 彩铃 彩印 这些 我 这边 帮 您 都 取消 掉 了 噢
嗯 不用 您好 请 讲   可以 您 开通 需要 加多少 呢   噢 十块钱 一 百兆 或者 三十元 一 g 五十元 两 g 现在 开始 按天 折算 其实 折算 完 之后 有 一个 十五块 多 五百三十 八兆 还有 二十六 块 多 一 千兆
您好 很 高兴 为您服务   您好 很 高兴 为您服务   请稍等 您 是 呃 您 的 流量 现在 给 您 看 了 除了 您 本身 套餐 的 流量 没有 其他 流量
您好 很 高兴 为您服务   服务 密码 是 啊   那 重置 密码 的话 我们 有个 语音 的 一个 重置 方式 您 直接 输入 身份证 他会 给 您 发 一个 密码 您 可以 回复 短信 确认 一下 还有 一个 发短信 操作 也 是 您 看 一下 您 要 发短信 去 帮 您 转 语音
您好 你好 很 高兴 为您服务   本 机 这个 号码 的 吗   稍等一下 您 会 记得 这个 号码 原先 登记 的 那个 身份证 号码 吗 身份证 号码 会 不会 会 不会 知道
您好 请 讲   你好 诶   噢 十元 一 百兆 加油 包 可以 吗 可以 的话 我 直接 帮 您 开 就行了
您好 什么 可以 帮 您   您好 请 讲   外省 的 卡 您 知道 号码 和 服务 密码 吗
您好 请 讲 您好 嗯 您好   夜间 十 g 流量 套餐   呃 我 没 听 明白 您 是 有 看到 这方面 的 活动 吗 还是 什么
您好 请 说   呃 您 稍等一下 噢 恩 好 的 先生 那 我 发给您 您 稍后 根据 身份证号 您 自己 重新 设置 一个 以后 保管 好 就 可以 了 嗯   好 请 您 查收 不 客气 应该 做 的 啊 还 需要 其他 帮助 您 的 吗
哎 您好 很 高兴 为您服务   新飞 享 五十八 套餐 那个 有 要求 啊 要 比 五十元 低 的 套餐 才能 办 这种 而且 你 有 宽带 活动 改 套餐 要 到 营业厅 改 然后 现在 没有 符合条件 直接 改 改不了 的   嗯 对 原件 比如说 三十八 了 十八 期 才能 办 这种
您好 高兴 为您服务   呃 您好 非常 抱歉 目前 暂时 没有 给 您 送 赠送 这个 流量 啊   嗯 有 十块钱 一 百兆 流量 加油 包 可以 吗
噢 添加 号码 我 可以 帮 您 加入 啊 您 把 要 添加 号码 给 我 一下 他 这边 需要 添加   省内 嗯 您 说   一个 全国 两个 省内 厦门 异地 的 呃 厦门 以外 的 移动 号码 跟 一个 全国 移动 号码
喂 你好 您好 请 讲 短信 您好 请问 什么 可以 帮助 您   噢 您 本 机要 开通 国际漫游 是 吧 呃 行 可以 那 您 稍 等 我 帮 您 开通   对 日本 或者 韩国 漫游 它 对 您 手机 有 要求 要 评估 手机 或者 wcdma 的 终端 才 可以
