请 您好 请 说   本 机要 申请 宽带 呃 先 新装 的 吗 是 吗
你好 请 讲   没 听 清楚 套餐 什么 问题 请 再 重复 一遍 好 吗
您好 很 高兴 为您服务 诶 你好 你好   比如说 喂 诶 您好 您 说
您好 请 讲 有 什么 可以 帮 您   拿 身份证 到 营业厅 去 换卡 就 可以 了 帮别人 办 也 帮别人 办 别人 的 卡 是 吗
您好 请 讲   密码 知道 吗
你好   可以 帮 您 升彩铃要 打 幺 二 五五 三零
您 您好 请 说   诶 有 什么 帮 您
您好 高兴 为您服务 哎   嗯 您 自己 要 设置 呼叫转移 到 别的 号码 是 吧
呃 您好 很 高兴 为您服务   密码 这个 呃 您 是 修改 吗 修改 可以 发短信 啊 重置 也 可以 发短信 啊 你 接 重新 设置 一个 新 的 叫 你 记 的 身份证号 它 是 可以 设置 的
您好 什么 可以 帮 您   噢 我 给 您 查 一下 一个月 一个 g 省内 流量 噢 您 可以 放心 您 想 前面 少 了 一个 星号 键 他 是 让 您 发送 星号 键 幺 三六是 发到 幺 零零 八六 您 只发 了 一个 幺 三六是 前面 少 了 一个 星号 键
你好 请 说   您 这 号码 的话 是 已经 有 开通 国际 及 港澳台 漫游 功能 的 钱
你好 很 高兴 为您服务   可以 的 目前 您 的 积分 的话 这边 是 有 累积 五千 一百一十 七分
您好 请 说   可以 发短信 进行 添加 或者说 您 现在 把 号码 告诉 我 我 这边 帮 您 去 添加
您好 很 高兴 为您服务   下个月 的 对 吧
啊 那 张卡 信息 的话 它 说 那 张卡 服务 密码 密码 知道 吗   登录 密码 情况 的话 我们 直接 查不到 它 数据 啊 要 用 本机 号 打
您好 请 讲   呃 您 这个 如果 宽带 还 没 到期 取消 交 违约金 这 样子 对 您 不划算
您好 请 说   去 那边 也 是 有 信号 可以 直接 用 的 噢 我 看 下 到 越南 怎么 收费
您好 很 高兴 您 服务   新装 是 吗 啊 新装 一条 宽带 对 吧
您好 请 讲   呃 您 这 张卡 的话 我 可以 直接 帮 您 打开 那个 港澳台 国际漫游 功能 现在 就 给 您 开 是 吗
您好 请 说 喂 你好 你好 请 讲   嗯
您好 请 讲   我查 一下 请稍等 噢 您 共享 流量 您 八十八 套餐 里面 的 那个 流量 是 不能 共享 的 是 仅限 本 机 自己 使用 的
你好   呃 本机 转 他机 吗
您好 请 讲   号码 报停 的话 要用 您 的 服务 密码 您 知道 服务 密码 吗
您好 请 说   呃 您 说 什么 问题 我 没有 听 清楚
您好 请 讲   您 如果 需要 办 的话 我 可以 帮 您 办 直接 家庭网 的 收费 您 了解 吗
您好 请 说   没有 说 赠送 的 呀 您 这个 号码 的 流量 吗
你好 请 讲   下个月 一号 生效
哎 很 高兴 为您服务   那 如果 您 要 想 开通 的话 我们 可以 帮 您 来 操作 到 香港 的 一个 功能 然后 同时 的话 噢 您 的 到 香港 的 功能 已经 开通 了 那 您 那 是 说 要 连续 五天 在 香港 使用 上网 是 吧
里面   里面 它 它 就是 有 幺 零 通过 查询 通话 详单 里面 有个 查询 办理 吗 里面 有个 详单 查询 通过 上面 就 可以 查 了
您好 请 说   呃 彩印 业务 是 别人 打 您 电话 的 时候 个性 签名 出现 在 别人 屏幕 上 一般 是 通过 办理 一些 比如说 您 要 登录 我们 的 移动 的 相关 关官 网 的 软 呃 官网 的 一些 软件 啊 或者 关注 里面 有 赠送 一些 什么 业务 的话 它 这个 会 连 再 赠送给 您
您好 很 高兴 为您服务   呃 您 是 要 四 g 所有 电话 来电 提醒 还是 转 到 其他 号码 上
您好 请 讲   好 请稍等
嗯   您好 请 讲
您好 请 说   呃 您 可以 发送 短信 幺 八到 幺 零零 八六 进行 查询
您好 请 说   哇 需要 改 服务 密码 那 请问 您 旧 的 密码 知道 吗
行 您好 请 讲   我 我 要 问
你好 什么 可以 帮 您   没有 就是 对方 打是 关机
您好 什么 可以 帮 您   那 您 是 要 用 这 张卡办 一个 移动 的 宽带 对 吗
晚上 好   呃 销户 的话 要 麻烦 您 带上 身份证 原件 跟 业务 密码 到 归属 地 营业厅 去 办理 销户
您好 很 高兴 为您服务   呃 您 是 要 把 其他 的 业务 给 您 关掉 吗
嗯 不用 您好 请 讲   可以 您 开通 需要 加多少 呢
您好 很 高兴 为您服务   您好 很 高兴 为您服务
您好 很 高兴 为您服务   服务 密码 是 啊
您好 你好 很 高兴 为您服务   本 机 这个 号码 的 吗
您好 请 讲   你好 诶
您好 什么 可以 帮 您   您好 请 讲
您好 请 讲 您好 嗯 您好   夜间 十 g 流量 套餐
您好 请 说   呃 您 稍等一下 噢 恩 好 的 先生 那 我 发给您 您 稍后 根据 身份证号 您 自己 重新 设置 一个 以后 保管 好 就 可以 了 嗯
哎 您好 很 高兴 为您服务   新飞 享 五十八 套餐 那个 有 要求 啊 要 比 五十元 低 的 套餐 才能 办 这种 而且 你 有 宽带 活动 改 套餐 要 到 营业厅 改 然后 现在 没有 符合条件 直接 改 改不了 的
您好 高兴 为您服务   呃 您好 非常 抱歉 目前 暂时 没有 给 您 送 赠送 这个 流量 啊
噢 添加 号码 我 可以 帮 您 加入 啊 您 把 要 添加 号码 给 我 一下 他 这边 需要 添加   省内 嗯 您 说
喂 你好 您好 请 讲 短信 您好 请问 什么 可以 帮助 您   噢 您 本 机要 开通 国际漫游 是 吧 呃 行 可以 那 您 稍 等 我 帮 您 开通
你 你 那个 咪咕 阅读 定向 流量 多 开通 您 咪 咕 定向 那个 咪 咕咪咕 阅读 啊 对 啊 那个 定向 流量 怎么 开咪咕 阅读 定向 流量 那个 是 赠送 的 业务 没有 直接 开通 的 方法 但 怎么 或者 啊   就是 之前 有 参加 咪咕 阅读 活动 它会 自动 赠送 没有 办法 直接 现在 没有 啊
接听 您好 请 讲   身份证 原件 还有 业务 密码 有 吗
对 您好 请 说   没有 赠送 的 以前 有 现在 已经 不能 赠送 了 对 只能 说 它 在 您 的 身边 您 开个 热点 然后 给 他 一起 用 噢 这 样子 噢 还有 其他 疑问 吗
您好   它 当月 的 话费 打 幺 零零 八六 幺 幺
您好 很 高兴 为您服务 您好   你好
您好 很 高兴 为您服务 您好   噢 如果 是 说 手机 没有 流量 了 您 看 用到 月底 五百多 兆 够不够 用
下午 好 请 说   呃 请问 是 本 机要 开 吗
您好 很 高兴 为您服务   您好
嗯 你好   要 看 您 要 加多少 就 这个 月 用 是 吧
您好 请 讲   呃 你 说 添加 亲情 号码 是 吧
您好 很 高兴 为您服务   好 的 密码 会 知道 吗
嗯 您好 请 讲   应该 共享 是 吧 你 流量 里面 有 一个 g 的 国内 可 共享 还有 本地 的 那个 三 g 其中 有 四个 g 可 共享 那 您 有 那个 我 看 一下 密码 有 吗 手机号码 密码 你 要 开 共享 功能 但是 开通 共享 功能 你加 一个 副 号 呢 要 收 您 五块 现在 活动 期间 但是 明年 开始 加 一个 就要 收 十块 了
你好 什么 需要 帮助   就是 您 另外 再 买个 手机号 如果说
您好 请 讲   哦 您 稍 等 我 查询 一下 嗯 嗯 呃 您好 先生 我们 有个 流量 的 加油 包要 不要 开 您 流量 加油 包 已经 有开 了 当 您 流量 用 完 了 会 自动 给 您 开通 十块 一 百兆 流量 不用 再开 了
你好 请 讲   要 流量 您 这个 月 就要 吗 还是 说 之后 把 流量 改 多一点
您好   不是 啊 您 如果 退 的话 要 到 营业厅 吧 营业厅 但是 有没有 那个 比如说 要 进行 收据 什么 的
您好 请 讲   那 请问 您 是不是 您 本机 这 张卡 还是 另外 一张 卡
您好 请问 什么 可以 帮 您   啊 流量 限速 了 这个 可以 再 看 一下 我 把 那个 开通 方式 发给您 开 完 之后 手机 关机 重启 一下 哈 嗯
你好 请 讲   那个 什么 手续 是 有 打算 办理 我们 宽带 的 业务 吗 对 对 对 那 我 可以 帮 您 转接 宽带 专席 那边 进一步 咨询 了解 好 吗 好 的 谢谢 嗯 不 客气 那 您 这边 不要 挂机 我 帮 您 转接 宽带 办理 转接 中 祝您 生活 愉快 再见
嗯 您好 高兴 您 服务   流量 限速 的 那个 安心 锁 是 吧
你好 啊 您好 很 高兴 为您服务   呃 十块钱 一 百兆
哎 你好   嗯
哎 您好 请 说 呃 您好 我 想 问 一下 国内 流量 怎么 申请 呃 国内 流量 的话 这边 可以 直接 帮 您 办理 的 国内 流量 有 一个 那个 活动 的   六十块 钱 六个 g 的
您好 请 说   呃 您 说 的 就是 这个 手机号 的 服务 密码 忘记 了 那 这边 的话 要用 您 登记 的 身份证 号码 进行 重置 了 您 登记 的 身份证号 现在 会 知道 吧
您好 请 讲 喂 你好   没
您好 请 说 喂 你好 诶 你好   呃 直接 通过 我们 幺 零零 八六 ipp 就 可以 兑换 我 马上 把 这个 链接 发给您 一下 好 吧
您好 很 高兴 为您服务   请稍等 三十八 它 是 赠送 本地 打 国内 一百 分钟 五百 兆 流量 还有 来电显示 可以 吗
您好 请 讲   呃 流量 是 您 用 完 了 是 吧 先生 您好 您 可以 办 那个 我们 要求 是 六十块 钱 六个 g 的 流量 有效期 一百八十 天有 六个 g 的 流量 不过 我 看 了 一下 您 这 流量 不是 还有 很多 吗 流量 还有 一千 一千零七 十兆 诶 还有 一个 g 啊 先生
很 高兴 为您服务   您 是 说 宽带 续费 是不是 对 对 对 对 对 对 对 要 到 移动 营业厅 续费 我们 这边 是 不了
你好 您好 很 高兴 为您服务 您好   先生 您 到 月底 的话 我 给 您 加 一个 比较 实惠 一点 的 流量 啊 就是 我们 有个 三十块 钱 有 一个 g 的 那 今天 开通 的话 我们 不收 您 三十块 只收 您 十五块 七毛八 流量 有 五百三十 八兆 用到 月底 我 帮 您 取消 好 吗
您好 请 说   本 机号码 的 吗
您好 有 什么 可以 帮助 您   先生 很 抱歉 您 那边 是 有用 免提 吗 我 这边 听 不 太 清楚 您 讲话 如果 有 的话 麻烦 您 免提 关掉 一下
您好 很 高兴 为您服务   香港 接听 免费 套餐 没有 了
哎 您好 请 说   嗯 手机卡 的 服务 密码 就是 业务 密码 这个 您 如果说 密码 不 记得 的话 我 给 您 发 一个 设置 密码 的 方式 您 根据 短信 操作 就 可以 设置 一个 新 的 密码
你好 请 说   流量 不够 用 了 稍等一下 女士 我 给 您 看 一下
您好 您 说   嗯 嗯
泰国 漫游 先 把 那个 国际漫游 功能 先 打开 我 这边 帮 您 开通 一下   不用 的 就 您 这个 本机 是 吧
淘宝网 您好 请 讲 请问 那个 什么 业务 初始密码 那个 怎么弄 啊 您 说 什么 业务 初始密码   噢 初始密码 忘记 了 是 吗 我 给 您 看 一下
您好 请 说   好 的 请稍等 我 帮 您 看 一下 噢
您好 很 高兴 为您服务 您好   彩铃 的 那个 电话 是 吗 啊 那个 幺 二五 三零
嗯 您好 请 讲   呃 移机 稍等一下 我 帮 您 转 我们 宽带 客服 那边 登记 一下 噢
诶 好 的 请 稍等一下 先生 帮 您 查询 一下 噢 这 张卡 登记 过 身份证 嘛 噢 可以 通过 身份证 来 找回 密码 我 待会儿 把 怎么 找回 的 方式 发 过去 您 按照 短信 操作 一下 就 可以 转 回来 了   行 我发 过去 哈 还有 其他 需要 帮助 吗
您好 请 讲   缴费 发票 应该 是 您 是 要 改 比如说 呃 像 九月份 的 发票 这种 是 吗 要 报销 这种 是 吗
您好 很 高兴 为您服务 请问 您 现在 本 机号码 新装 移动 宽带 吗   麻烦 您 提供 一下 手机号码 还有 密码 我们 这边 帮 您 做 登记 呃 幺 八二 幺 五九
嗯 嗯 呃 您好 请 讲   呃 您 要 升成 四 g 卡是 吗
你好 请 说   幺 零零 八六 幺 幺
没 您好 请 说   干是 吗
您好   然后 那个 宽带 是 好像
您好 请 说   要 号码 销户 要 去 营业厅
您好 请 讲   本 机号码 的 彩铃 功能 吗
对 您好 高兴 为您服务   噢 我 这边 也 帮 您 直接 转接 宽带 这边 问 一下 您 不要 挂机 哈 啊 嗯 正在 为 您 转接
您好 请 说 嗯   电子 发票 是 吗 可以 了 电子 发票 这个 号码 的 服务 密码 的 吗 它 有 个 那个 短信 随机码 我们 有 获取 的 网站 我 把 这个 电子 发票 或者 网站 发给您
您好 很 高兴 为您服务   诶 您好
您好 请 说   由 他们 代付 发票 是 体现 在 付费 的 那个 号码 上
你好 你好 您 说   您 是 说 哪里 的 号码 厦门 的 号码
您好 很 高兴 为您服务   号码 多少 我 帮 您 报 你 报 给 我 一下
你好   你好
您好 请 说   你好 喂 您 说 先生
嗯 哦 中午 好 您 说   这个 是 集团 的 那个 显示 如果 是 这种 的话 通过 营业网点 取消 我们 电话 上 也 没 办法 做 这个
您好 您 请 说   您好 什么 可以 帮 您 的 吗
您好 请 讲   我 给 您 看 稍等一下 呃 漫游 功能 已经 开 了 先生
你好   四主卡 吗
您好 很 高兴 为您服务   呃 对 你 要 到 台湾 去 漫游 对 吗 先生
您好 请 讲   电话 转接 呃 是 您 这边 手机 要 呼叫转移 到 别的 号码 上 是 吗
您好 请 说   您 是 要 新装 移动 宽带 吗
您好 很 高兴 为您服务   取消 宽带 的话 需要 到 营业厅 进行 取消 的
您好 很 高兴 为您服务   您 是 说 发票 开错 了
您好 请 说   您 稍 等 跟 您 现在 人 是 在 福建省 内 吗
您好 请 讲   兆 了 电话 呃 一样 的 我们 全 全省 电话 的 先生 您 是 要 咨询 号码 在 厦门 号码 的 这个 问题 是 吗
解绑 这个 宽带 请稍等 我 看 一下 您 的 宽带 是 两年 时间 现在 一年 都还没 到   嗯
您好 请 讲   好 的 没 问题 给 您 发送 了 稍后 留意 产生 恩 那 还有 什么 可以 帮 您 的 没有 了 诶 好 的 感谢 来电 再见
您好 请 讲   您 要 办理 我们 移动 宽带 是 吗
您好 请 说   好 的 那 我 这边 直接 给 您 取消 取消 完 之后 这个 月 剩余 的 流量 月底 之前 就要 用 完 噢
您好 请 说   噢 我 帮 您 办 我 先 帮 您 查 一下 您 稍 等
那 这种 要 那 这种 要 机主 带 身份证 到 营业厅 那边 恢复 了   现
您好 高兴 为您服务   呃 是 您 本 机号码 申请 的 宽带 密码 吗
您好 请 讲   如果 密码 您 本机 的 手机 服务 密码 是 吧 嗯
嗯 好 请 讲   您好 请 说
你好 您好 跟 您 讲 诶 你好   就是 所有人 打 您 电话 都 转 短信 提醒 是 吧
您好 请 讲   噢 好 的 如果 您 不 记得 的话 我 这边 呃 就是 需要 这个 女士 您 呀 但是 您 自己 的 身份证 原件 然后 找 一个 漳州 移动 呃 去 处理 一下 银行 就 移动 为准
您好 请 讲   呃 国际 电话 是 吗 好 那 我 现在 帮 您 开通 一下 国际 长途 的 可是 不是 不是 我 的 号码 我 就是 想 问 一下 吧
您好 请 讲   服务 密码 被 那个 是 查不到 的 那个 身份证 号码 记得 吗
您好 请 说   嗯 嗯
您好 很 高兴 为您服务   是 本机 转 他机 还是 他机 转本机
您好 请 讲   你好
您好 请 讲   您 卡 是 哪里 的 呀
您好 很 高兴 为您服务   你 说 宽带 密码 忘记 了 我 这边 可以 帮 您 去 重新 设置 一个 新 的
您好 请 讲   那 就 补卡
嗯 嗯 您好 请 讲   你好
谢谢   就是
您好 请 讲   每张 卡 其实 都 有 业务 密码 只是 说 您 可能 之前 自己 没有 获取 过 或者说 没有 找过 密码
您好 很 高兴 为您服务   您 可以 提供 身份证 还有 五个 拨打 过 电话 进行 办理 停机 保号 那要 提醒您 一下 这种 停机 保号 如果 通过 这种 方式 办理 的话 呃 以后 如果 要 复机 一定 要 到 营业厅 去 重置 密码 以后 才 能够 复机 而且 这种 一般 手机卡 丢失 了 才 会 这样 办 的
您好 请 讲   您 要查 流量 剩下 多少 是 吗
你好 请 讲   唉 你 说 呀 这里 是 幺 零零 八六 客服热线
哎 您好 请 说   啊 本 机要 开是 吗
您好 请 讲   噢 宽带 的 密码 忘记 了 是 吧 我 这边 直接 重置 一个 密码发送 到 您 手机 上 稍后 您 看 一下 好 吗 噢 好 谢谢 啊 我 直接 发 过去 给 您 通知 您 说 我们 的 这个 客户 有 参加 我们 这个 有 呃 活动 优惠 原价 是 五十元 两 g 的 现在 只要 进行 相应 的 是 二十块 钱 就 有 两 g 流量 我 就 开打 六个月 下个月 生效 我 这边 帮 您 登记 吗
您好 很 高兴 您 服务   呃 这个 要 去 营业厅 换卡 这个 没 办法 寄送 非常 抱歉
你好 很 高兴 服务   稍等一下 你 先 稍等一下 哈
愉快 再见   您好 很 高兴 为您服务
您好 什么 可以 帮助 您   您 输入 密码
为您服务   换卡 就 带 身份证 原件 吗 到 营业厅 换卡 就 可以 了
您好 请 讲   宽带 的 密码 是 吗 请稍等 我 看 一下 本 机 办理 的 移动 宽带 密码 忘记 我 帮 您 重新 设置 一个 新 的 账号 就 您 本 机号码 好 吗 家里 有 路由器 的话 也 需要 设置 一下 我 这边 帮 您 进行 下 发给您 了 请问 还有 什么 可以 帮助 您
您好 有 什么 可以 帮 您   您好
您好 请问 什么 可以 帮 您   什么 意思
您好 请 说   您 现在 是 八八 的 您 是 觉得 太多 了 还是 太少 了 呢
嗯 嗯 您好 很 高兴 为您服务   那 师傅 还 没 上门 啊
早上好   呃 呃
您好 您 请 讲   嗯 您好
您好 您 说 喂 你好 我 想 问 一下 我 那个 您 说   如果说 您 用 身份证 买 的 号码 吗 现在 没有 用 是 吧 咱 这 张卡 是 现在 已经 是 空号 还是 说 欠费 了 现在
您好 高兴 您 服务   噢 我 现在
你好 请 讲   您 这个 短信 功能 是 吗
很 高兴 为您服务   那 您 去 几天 嘛 号码
哦   请 说
您好 请 说 您好 您好 请问 听 得到 吗   十块钱 二十四个 小时 十个 g 对 啊
您好 请 说 哎 你好 我 想 请问 一下 那个   送 流量 现在 移动 没 办法 直接 转赠 流量 啊 先生
您好 高兴 为您服务   今天 想 多少 的 三十八 吗
您好 高兴 为您服务   呃 对 对 对 要 设备 要 拿到 营业厅 给 退掉
你好 请 说   恩 我 这边 可以 帮 您 开 您 请稍等 我 一下
您好 兴 您 服务   本人 带上 本人 身份证 本人 到 上海 移动 营业厅 就 可以
您好 高兴 为您服务 您好   手机 密码 知道 吗
您好 很 高兴 为您服务   呃 可以 去 重置 一下 发送 密码 两个 字 到 幺 零零 八六 根据 短信 提示 就 可以 重置 密码 的
您好 很 高兴 为您服务   呃 就是说 我 知道 就 比如说 您 在 跟 我 通话 是 另 一个 电话 能 打 进来 您 可以 选择 接听 不 接听 这个 功能 对 吧 那 您 已经 开通 了 但是 您 要 激活 一下 拨打 激活 的 方式 呢 下 发给您 了 您 可以 看 一下
高兴 为您服务   是
