请您好请说 本机要申请宽带呃先新装的吗是吗 您不用挂电话我帮您转到宽带专家这边给您做申请一下我们专家为您服务 
您好请讲 呃有本地版开机是吗这里这部手机转到另外一部手机吗那可以啊发送短信给您就可以操作了呼叫转移分钟一毛钱噢 对就是关机没信号的时候是不是还是要哪一种 
嗯嗯再见您好请讲 你好你好 抱歉断断续续的听不到您的声音您刚说什么问题呢 
您好很高兴为您服务 噢非常抱歉我们这边流量的话没有办法进行转移过去的 嗯不客气那还有什么可以帮到您 
怎么样 家里开的那个宽带它 嗯我这边为您重新设置一下稍后把这个机顶盒的密码发短信给您 
五八您好请讲 有什么可以帮助您 噢您的本机国际漫游功能已经有开过了不需要再开您是打算去哪里 
其他哎您好请讲 哎提供他的手机号和他的服务密码就可以帮他直接办理了 噢可以手机号多少 
您好请说诶您好是这样子 呃因为支付宝的话它这个属于第三方充值您可以联系一下支付宝客服那边 
您好请讲 请请说 呃先生你可以办一个六十块六g的一百八十天有效这个更还是六十块钱六个g呃有六千多兆六千然后一百八十天内都可以用 
您好很高兴为您服务 国际漫游功能如果要开我这边可以直接帮您开啊然后您过去之前到时候看一下需要开什么流量套餐那些可以跟我们联系再开就行了功能可以先开始不收费的 对啊 
锦你好请讲 激活了吗 那十五天后会自动销掉的这卡先收后十五天没有激活或者激活不成功的话它就会自动就是号码就会自动回收到 
嗯嗯 您好请讲 您稍等一下我看看 
您好请说 升级什么样的 嗯那您这边要升级嘛 
您好高兴您服务 那您最好打支付宝客服那边问一下这个功能是什么时候设置的噢哎噢行行行行噢行 没事销户了一个号码还销户了以后号码肯定不能用 
您好请讲 你说稍后详细地址的也是说平常消费的明细吗 他说别人打您电话别人听得到音乐那个对吧 
您好请说 您说的是校园宽带嘛 家庭宽带的话您本机没有绑定啊 
高兴服 诶先生您好 宽带要移机是吧宽带要移机的话呃我这边就是因为您是南平地区宽带移机的话需要去营业厅前台一g您和机主本人带身份证原件和服务密码到您当地移动营业厅来申请移机然后呃它会派人勘查您新地址有没有资源能不能没有的话他会到办安排您当地的新地址的专辑维护人员给您预约上门移机 
您好请说 呃我们现在目前的套餐你现在十二十八套餐那您需要那种提示吗还是说降低现在什么类型的套餐先生 流量不是有个新飞享三十八套餐里面送通话本地打全国三百分钟通话时长省内上网流量一点五个g跟来显其中如果说离开了厦门全国通话有一百分钟全国流量一百兆剩余的流量仅限本月本身使用三十八块钱的 
您好请讲 你好 服服务密码吗哎噢密码的话是个人信息啊如果您原先忘记掉的话可以发短信重新设置一个我可以把步骤发给您 
高兴为您看一下啊 加油包十块一百兆流量那如果您流量用的比较多也可以开比如说有一种是一次性的六十块六个g的有效期一百八十天全国都可以用 六个g 
哎您好很高兴为您服务 共享流量您是做户主给别人使用吗 您密码知不知道如果知道我可以帮您设置 
您好请说 呃您说 呃什么改掉 
嗯您好您讲 密码忘记的话只能进行重置了那这边我帮您把这个重置的一个方式给您发送下短信您这边话直接根据短信用身份证号码重置一下可以吗 嗯嗯已经给您发送的短信您可以留意一下还有什么其他需要呢 
您好请讲 没有到期啊女士您是一六年九月份办的嘛到一八年九月一号到期啊块钱是第一年呢是有送您三十元的宽带费吗您不用付费的第二年的话呢从今年九月份开始就要自己付费了所以现在还没有到啊关我一六年办的我所以没错呃一六年办的到明年的九月份才到期 对是的没错 
你好 呃我这边可以帮您登记到时具体办理手续我们工作人员会打电话给您可以吗 恩那您说移机的新地址您报给我一下 
你好需要什么帮助 是在外省还是在省内 在外省的话如果补卡要到外省的营业厅去问一下有没有支持跨省补卡的服务 
很高兴为您服务 呃是我们移动的这个号码就是装我们移动宽带啊 噢你是已经装了然后项宽带有问题是吧 
您好很高兴为您服务 您这边的话是呃要搬家了然后要移机是吗 那您不要挂我们有个专家台席我帮您转过去帮您登记好吧 
您好请讲 你需要办宽带是吗 那您的话就帮您转接宽带专席在线人工帮您登记办理好吗请稍等呃没事我先问问我帮您转接一下在线工作人员给您介绍宽带活动如果您现在也可以登记您可以不用马上办也可以了解一下好吗噢好的那不要挂机我帮您转接一下 
您好很高兴为您服务 好行您现在话目前的话有四百六十九个积分 对四百多 
你好需要什么帮助 是在外省还是在省内 在外省的话如果补卡要到外省的营业厅去问一下有没有支持跨省补卡的服务 
您好请讲你好 嗯那张卡是就是负责在外地是吧 号码是福建移动的吗 
你好 噢然后呢 嗯嗯 
中午好请讲 那我把这个删除和添加的方式我发给您吧您可以通过发短信操作可以吗 诶行那您收一下噢那其他什么需要帮助您的呢 
你好 打电话给你 宽带续费吗嗯嗯宽带欠费如果您到期要续成包月的它会自动帮您续那流量是包年的话只能营业厅去没错 
您好请说 嗯对就您本人携带有效身份证原件这个号码跟服务密码到归属地营业厅这边去办注销 就是您这张卡吗您稍等下还是 
您好请说 这个只有这个有个简单的查询方式您直接打那个幺零零八六幺幺它就会把您的话费情况进行回复给您 对 
您好高兴为您服务 稍等我看一下啊呃我这边把那个短信重置服务密码的方式发到您手机上您稍后呢根据短信提示按照上面的格式要求然后重新设一个六位数的密码发到幺零零八六以成功短信为准好吗 直接更改也可以但是它这个是随机的我这边帮您转过去也行先生您放心 
您好请讲你好 啊我目前的话帮您查看一下您这边之前有获取过初始密码我这边的话给您转接到我们的语音提醒然后您修改一下的好吗 
您好请说 嗯您有他的手机号跟服务密码吗 那他所登记的身份证号码您会知道吗 
嗯再见请说您好 哎就麻烦 哪一个 
您好请说 宽带的密码是吗没办法查只能说重启 重置不了 
您好请讲 错误流量的话我帮您看目前送流量我们是只有共享的呀共享还没有做这个 对是的 
你好很高兴为您服务 如果您需要办宽带那您稍后不要挂我这边的话是帮您转我们的宽带专家有专门人员为您服务好吗 呃您不用挂机我这边直接帮您转接我们有专家人员为您直接服务 
啊很高兴您服务 你说的是家庭计划嘛 您现在要添加的是吗好 
您好很高兴为您服务 我这边可以直接帮您退那您看一下我直接帮您退掉吗 噢您是说不是您本机是吗 
你好早上好 诶我想 额外的流量包额外流量包您这边是有办一个五十元两g他打个四折的每个月是二十块的是说这个吗 
嗯嗯您好很高兴为您服务 已经激活了那就得去营业厅办销户了直接带着您身份证然后去咱们那个三明当地营业厅办理销户这样子 马上就办好了 
您好很高兴为您服务 啊流量看您开通多少的比如说是十块钱一百兆的加油包或者有一种要多一点的话办那种半年包更合算六十元六个g的有效期一百八十天内使用有效 哎是的 
您好高兴您服务 哪个号码要过户本机吗 原先活动还没有结束现在还过腹部了活动结束了的话就双方机主凭身份证原件双方到营业厅去 
嗯我这边也可以直接帮您补充啊您是只要补充这个月还是每个月都要 嗯四百多兆够您用吗 对或者就是十元一百兆吗四百多兆就十三块八毛一 
您好请讲 请您稍等呃您要加家庭成员是吧 把您要加的号码告诉我吧我直接帮您加可以吗 
哎您好请说 家庭网我这边可以帮您加福建这边可以加或者您短信添加也可以 噢号码多少 
您好请讲 怎么怎么办理啊三十块钱一个g的要马上开通是吗 您放心啊 
嗯您好请讲 宽带取消您稍等我们移动宽带吗 好先稍等一下二十它是哎嗯多您好啊对宽带取消的话您在翔是想和去这边就叫营业厅过去取消华国际 
您好请讲 办流量你需要补充一些是吗这个月的 我看一下噢诶我这边你办那个流量包半年的那种吧六十块六个g这个在一百八十天内用完就好了 
您好您讲 服务密码忘记的话只能进行重置密码了那您稍等我帮您看一下这边您要怎么操作 帮您核实了一下就是说您这边话直接发送一下四零星号键然后输入下您的那个新密码再一个星号键输入身份证号码用井号键结束发送到幺零零八六就可以操作了操作方式我这边也给您发一下短信您根据短信操作一下哈可以可以好的好的嗯好的还有什么其他需要呢没有没有谢谢啊好不客气的那祝您生活愉快再见 
你好请说 呃流量包的话像十块钱一百兆还有包月的三十元一g五十元两g七十元三g八月份如果现在开通是按比例折算的就今天十七号了就一半左右这样子 马上生效它下个月会自动取消的噢好好流量下个月清零好可以了好的还有什么可以帮到您的吗 
您好请讲你好电话已接通 噢您好您说 您可以改成幺三八套餐新飞享八十八的那个改不了不好意思 
您好请说你好 您是宽带密码不知道是吗 没关系我重新给您发送一个新的宽带密码过去那您宽带等下路由器的wifi密码需要自己重新设置过一个了噢 
您好请讲 您是指那个哪里的号码漳州的还是 噢漳州的移动号码登记是您自己的身份证原件对吧 
您好请说 换什么 是吗啊对啊您这边如果说不是四g卡的话您这边可以带上您身份证去营业厅换四g卡 
您好请讲 您好 那你要你下个月改下下个月生效 
您好请说 不用的话带上身份证原件到当地的营业厅那边去注销 对再帮您注销的时候把欠费的金额可以补交 
您好很高兴为您服务 不是 嗯是这样子的您这边如果不不是预约的话需要携带身份证到营业厅进行一下宽带账号的注销噢 
您好请讲 是省外号码吗 吗号码的话我们福建规定是只能在号码归属地当然销户的没有办法跨地区注销不好意思 
您好很高兴您服务 诶您好 我看一下哈您稍等您好感谢耐心等待呃我这边查看了一下这个需要的要麻烦您机主本人带身份证原件到营业厅办理 
你好请讲 没听清楚套餐什么问题请再重复一遍好吗 套餐什么问题 
您好很高兴为您服务诶你好你好 比如说喂诶您好您说 您那个是叫呼叫等待您如果说在通话过程中有另外方打电话过来的时候他手机上会显示一个通话接换如果您是两个都按掉的话它两个就会中断了 
您好请讲有什么可以帮您 拿身份证到营业厅去换卡就可以了帮别人办也帮别人办别人的卡是吗 请稍等为您看一下哪里的卡呀 
您好请讲 密码知道吗 嗯如果不知道密码的话您提供身份证号码跟近三个月的三次充值记录比如说有充过五十了一百呀提供三个额度就行这两个能提功能了吗嗯嗯我想一下 
你好 可以帮您升彩铃要打幺二五五三零 幺二五八零是查询号码的铃声是幺二五三零这边没有铃声的服务 
您您好请说 诶有什么帮您 无法接通那您意思说您不想接到别人的来电是吧那这种的话您可以进行呼叫转移吗 
您好高兴为您服务哎 嗯您自己要设置呼叫转移到别的号码是吧 呃我这边设置它本机来电设置不了噢可以设置他机的 
呃您好很高兴为您服务 密码这个呃您是修改吗修改可以发短信啊重置也可以发短信啊你接重新设置一个新的叫你记的身份证号它是可以设置的 带您就是发送四零一号键你要自己设置的密码然后身份证号井号键这样发到幺零零八六这样子就可以重置了我把这个方法给您发过来吧 
您好什么可以帮您 噢我给您查一下一个月一个g省内流量噢您可以放心您想前面少了一个星号键他是让您发送星号键幺三六是发到幺零零八六您只发了一个幺三六是前面少了一个星号键 呃对星号键幺三六是发给幺零零八六根据它的短信提示零请您收到成功领取信息为准好吗 
你好请说 您这号码的话是已经有开通国际及港澳台漫游功能的钱 流量的是的没错它是有三天五天七天的先生 
你好很高兴为您服务 可以的目前您的积分的话这边是有累积五千一百一十七分 我稍后将那个查询方式给您发过去好吗 
您好请说 可以发短信进行添加或者说您现在把号码告诉我我这边帮您去添加 最多可以八个 
您好很高兴为您服务 下个月的对吧 这个月啊可以帮您办补充的先剩补充包的话呃稍等一下 
啊那张卡信息的话它说那张卡服务密码密码知道吗 登录密码情况的话我们直接查不到它数据啊要用本机号打 这种情况呢可以办一个叫停机保号暂时停掉一天一毛六它只要您没有密码情况下我们需要您的身份证号码然后还需要五天之前三个月之内平常充的话费有三笔钱吗 
您好请讲 呃您这个如果宽带还没到期取消交违约金这样子对您不划算 您这个宽带是两年不是一年先生 
您好请说 去那边也是有信号可以直接用的噢我看下到越南怎么收费 到越南的话接听电话是九毛九一分钟打当地跟打回中国大陆也是九毛九一分钟 
您好很高兴您服务 新装是吗啊新装一条宽带对吧 现在帮您转到新装客服为你介绍请您不要挂机祝您万事如意再见 
您好请讲 呃您这张卡的话我可以直接帮您打开那个港澳台国际漫游功能现在就给您开是吗 诶行稍等一下哈谢谢好的功能给您开好了您去什么地方资费要不要给您介绍一下 
您好请说喂你好你好请讲 嗯 您是想办理宽带移机还是把宽带取消掉 
您好请讲 我查一下请稍等噢您共享流量您八十八套餐里面的那个流量是不能共享的是仅限本机自己使用的 共享零给单独就是说开一个上网套餐比如说像三十五十这样子的有具备共享套餐有具备共享功能的上网套餐才行到但是您本身就是说八十八套餐里面五g还是不能共享是这样子 
你好 呃本机转他机吗 呃可以通过本机号码直接操作操作过吗 
您好请讲 号码报停的话要用您的服务密码您知道服务密码吗 那服务密码忘记了的话是这个号码还是其他号码嘞 
您好请说 呃您说什么问题我没有听清楚 稍后要带身份证原件到营业厅去办理 
您好请讲 您如果需要办的话我可以帮您办直接家庭网的收费您了解吗 我想家庭网的话是说三块钱的加本地两个成员也只收三块在本地福州本地打本地成员每个月消费三百分钟如果您在加一个本地成员一个月就要多一块钱分钟数不变 
您好请说 没有说赠送的呀您这个号码的流量吗 你只能说添加共享功能然后他可以共享里面里面的流量添加一个号码五块钱一个月 
你好请讲 下个月一号生效 嗯对对对那要帮您改一下吗 
哎很高兴为您服务 那如果您要想开通的话我们可以帮您来操作到香港的一个功能然后同时的话噢您的到香港的功能已经开通了那您那是说要连续五天在香港使用上网是吧 那我们现在目前有一款是五天的一个包括打电话和流量的一个这个套餐它是五天呃我看一下噢稍等 
里面 里面它它就是有幺零通过查询通话详单里面有个查询办理吗里面有个详单查询通过上面就可以查了 刚才那个短信上面有写的有个查询办理里面有个详单查询 
您好请说 呃彩印业务是别人打您电话的时候个性签名出现在别人屏幕上一般是通过办理一些比如说您要登录我们的移动的相关关官网的软呃官网的一些软件啊或者关注里面有赠送一些什么业务的话它这个会连再赠送给您 呃它是比如说别人打您电话的时候然后你的个性签名出现在别人屏幕上就是打电话的时候它会有一个是祝福语把那些像祝福语这样都出现在别人屏幕上面 
您好很高兴为您服务 呃您是要四g所有电话来电提醒还是转到其他号码上 移动还是联通电信呢需要我们帮您操作还是把设置方式发给您 
您好请讲 好请稍等 嗯不用谢那现在要帮您先取消吗 
嗯 您好请讲 诶 
您好请说 呃您可以发送短信幺八到幺零零八六进行查询 对就套餐流量使用情况嘛对不对 
您好请说 哇需要改服务密码那请问您旧的密码知道吗 呃那就叫重置密码重置密码的话身份证号码知道吗 
行您好请讲 我我要问 噢您知道他机的密码吗 
你好什么可以帮您 没有就是对方打是关机 您是说所有电话打进来都这样吗 
您好什么可以帮您 那您是要用这张卡办一个移动的宽带对吗 也是要办理一个新宽带嘛对吗 
晚上好 呃销户的话要麻烦您带上身份证原件跟业务密码到归属地营业厅去办理销户 您现在永定吗 
您好很高兴为您服务 呃您是要把其他的业务给您关掉吗 我帮您查看其他以后您这边要取消的话这几项有来电提醒彩铃彩印这些我这边帮您都取消掉了噢 
嗯不用您好请讲 可以您开通需要加多少呢 噢十块钱一百兆或者三十元一g五十元两g现在开始按天折算其实折算完之后有一个十五块多五百三十八兆还有二十六块多一千兆 
您好很高兴为您服务 您好很高兴为您服务 请稍等您是呃您的流量现在给您看了除了您本身套餐的流量没有其他流量 
您好很高兴为您服务 服务密码是啊 那重置密码的话我们有个语音的一个重置方式您直接输入身份证他会给您发一个密码您可以回复短信确认一下还有一个发短信操作也是您看一下您要发短信去帮您转语音 
您好你好很高兴为您服务 本机这个号码的吗 稍等一下您会记得这个号码原先登记的那个身份证号码吗身份证号码会不会会不会知道 
您好请讲 你好诶 噢十元一百兆加油包可以吗可以的话我直接帮您开就行了 
您好什么可以帮您 您好请讲 外省的卡您知道号码和服务密码吗 
您好请讲您好嗯您好 夜间十g流量套餐 呃我没听明白您是有看到这方面的活动吗还是什么 
您好请说 呃您稍等一下噢恩好的先生那我发给您您稍后根据身份证号您自己重新设置一个以后保管好就可以了嗯 好请您查收不客气应该做的啊还需要其他帮助您的吗 
哎您好很高兴为您服务 新飞享五十八套餐那个有要求啊要比五十元低的套餐才能办这种而且你有宽带活动改套餐要到营业厅改然后现在没有符合条件直接改改不了的 嗯对原件比如说三十八了十八期才能办这种 
您好高兴为您服务 呃您好非常抱歉目前暂时没有给您送赠送这个流量啊 嗯有十块钱一百兆流量加油包可以吗 
噢添加号码我可以帮您加入啊您把要添加号码给我一下他这边需要添加 省内嗯您说 一个全国两个省内厦门异地的呃厦门以外的移动号码跟一个全国移动号码 
喂你好您好请讲短信您好请问什么可以帮助您 噢您本机要开通国际漫游是吧呃行可以那您稍等我帮您开通 对日本或者韩国漫游它对您手机有要求要评估手机或者wcdma的终端才可以 
你你那个咪咕阅读定向流量多开通您咪咕定向那个咪咕咪咕阅读啊对啊那个定向流量怎么开咪咕阅读定向流量那个是赠送的业务没有直接开通的方法但怎么或者啊 就是之前有参加咪咕阅读活动它会自动赠送没有办法直接现在没有啊 没了好那祝您生活愉快 
接听您好请讲 身份证原件还有业务密码有吗 这些都有是吗 
对您好请说 没有赠送的以前有现在已经不能赠送了对只能说它在您的身边您开个热点然后给他一起用噢这样子噢还有其他疑问吗 
您好 它当月的话费打幺零零八六幺幺 它这个是当余额比较低的时候会给您提醒就您余额第一期块钱的时候会提醒您 
您好很高兴为您服务您好 你好 位的服务密码您有吗 
您好很高兴为您服务您好 噢如果是说手机没有流量了您看用到月底五百多兆够不够用 那就办理二十六块三毛一千零七十七兆的这个够用吗 
下午好请说 呃请问是本机要开吗 噢好的您稍等我帮您开通一下嗯嗯好的国际漫游已经开起来了请问到哪里呢我帮您我把这个资费介绍发给您 
您好很高兴为您服务 您好 改套餐您这个号码现在有捆绑的宽带的如果您要改套餐的话呃您这边现在之前参与的宽带活动没到期现在改不了 
嗯你好 要看您要加多少就这个月用是吧 呃加多少 
您好请讲 呃你说添加亲情号码是吧 好的我帮您查一下您稍等啊是您的家庭网您是户主那我帮您看一下您添加了多少个您稍等好三个现在还可以再添加呀您要添加的号码多少告诉我 
您好很高兴为您服务 好的密码会知道吗 噢密码不知道的话那另外一个号码的资料状态我们这边就查看不到了 
嗯您好请讲 应该共享是吧你流量里面有一个g的国内可共享还有本地的那个三g其中有四个g可共享那您有那个我看一下密码有吗手机号码密码你要开共享功能但是开通共享功能你加一个副号呢要收您五块现在活动期间但是明年开始加一个就要收十块了 呃可以到时候你不要要自己去取消它不会自动取消噢 
你好什么需要帮助 就是您另外再买个手机号如果说 您这个本机号码您只办过一张学生号码卡还是说 
您好请讲 哦您稍等我查询一下嗯嗯呃您好先生我们有个流量的加油包要不要开您流量加油包已经有开了当您流量用完了会自动给您开通十块一百兆流量不用再开了 对已经给我给我已经给我开了是不是对但您流量用完了系统会自动给您开通十块一百兆流量您不用再开了 
你好请讲 要流量您这个月就要吗还是说之后把流量改多一点 这个月您本身套餐内还剩下一百七十六兆啊 
您好 不是啊您如果退的话要到营业厅吧营业厅但是有没有那个比如说要进行收据什么的 他应该是有押金收取吧然后那个到营业厅去退 
您好请讲 那请问您是不是您本机这张卡还是另外一张卡 呃另外一张号码卡诶密码不记得 
您好请问什么可以帮您 啊流量限速了这个可以再看一下我把那个开通方式发给您开完之后手机关机重启一下哈嗯 好请问还有什么可以帮您的嗯 
你好请讲 那个什么手续是有打算办理我们宽带的业务吗对对对那我可以帮您转接宽带专席那边进一步咨询了解好吗好的谢谢嗯不客气那您这边不要挂机我帮您转接宽带办理转接中祝您生活愉快再见 
嗯您好高兴您服务 流量限速的那个安心锁是吧 噢那个可以发一个短信过去把他关掉就可以了我把短信的关闭方式发给您了稍后您这边发短信过去关掉那个安心锁限速服务就可以了 
你好啊您好很高兴为您服务 呃十块钱一百兆 没有二十的它就十块钱一百兆 
哎你好 嗯 噢您好我们这边的话就说只保留那个金呃叫包括这个月的近五个月的这个通话记录专线我给您说过了吧但因为我们这边查询因为我们这些那个客服热线对比较大储存的量只有这么多您要查一年半的这个我们这没有办法 
哎您好请说呃您好我想问一下国内流量怎么申请呃国内流量的话这边可以直接帮您办理的国内流量有一个那个活动的 六十块钱六个g的 请问不够的话您开通一个那个流量包吧流量包比较优惠我给您看看算一下多少钱嗯比如您开通一个三十块钱一个g的吗那今天已经是二十号了那今天折算一下只要收您十多块钱十一块八毛四有一个四百零三兆的国内流量 
您好请说 呃您说的就是这个手机号的服务密码忘记了那这边的话要用您登记的身份证号码进行重置了您登记的身份证号现在会知道吧 呃对这个会知道吗要用这个身份证号去设置一下密码的 
您好请讲喂你好 没 啊有什么问题可以帮您呢 
您好请说喂你好诶你好 呃直接通过我们幺零零八六ipp就可以兑换我马上把这个链接发给您一下好吧 嗯对或者是发送短信兑换也行啊您看一下短信也不知道也发给您是吗 
您好很高兴为您服务 请稍等三十八它是赠送本地打国内一百分钟五百兆流量还有来电显示可以吗 那就改成三十八是赠送给您本地打国内一百分钟五百兆流量还来电显示啊但是改的话以后就不能改为您这种一六版的飞享新飞享八十八了好吗 
您好请讲 呃流量是您用完了是吧先生您好您可以办那个我们要求是六十块钱六个g的流量有效期一百八十天有六个g的流量不过我看了一下您这流量不是还有很多吗流量还有一千一千零七十兆诶还有一个g啊先生 还有一个g的流量吗先生您这里还很多不用办 
很高兴为您服务 您是说宽带续费是不是对对对对对对对要到移动营业厅续费我们这边是不了 工作人员手机你要是你要接到移动营业厅去办理续费的一些活动之类的您不要直接充进去直接充进去的话它没办法给您自己宽带的要去移动前台办如果说您没有去续费它就会按包月来扣下个月开始一个月六十块钱那是提前办的是什么下个月十几分钟的它这个月月底之前就要去办续费了要办续费了噢对要去移动前台办 
你好您好很高兴为您服务您好 先生您到月底的话我给您加一个比较实惠一点的流量啊就是我们有个三十块钱有一个g的那今天开通的话我们不收您三十块只收您十五块七毛八流量有五百三十八兆用到月底我帮您取消好吗 对十五块多然后流量有五百多兆这样子啊 
您好请说 本机号码的吗 嗯我发一个短信给您您要严格按照发给您的短信方式它里面有告诉您的格式要怎么发报到按了一个是发短信到幺零零八六可以把您的密码重新设置一下 
您好有什么可以帮助您 先生很抱歉您那边是有用免提吗我这边听不太清楚您讲话如果有的话麻烦您免提关掉一下 那您要两个人带上各自的身份证原件然后到当地移动营业厅去办理过户啊 
您好很高兴为您服务 香港接听免费套餐没有了 没有了没有了对您是就两块九一天接听免费的这个是吧 
哎您好请说 嗯手机卡的服务密码就是业务密码这个您如果说密码不记得的话我给您发一个设置密码的方式您根据短信操作就可以设置一个新的密码 呃我将操作方式给您发过去了 
你好请说 流量不够用了稍等一下女士我给您看一下 您现在是不您现在是没有在那个三明是不是在在在厦门 
您好您说 嗯嗯 嗯那您现在您是您这部手机的密码忘记了是吗 
泰国漫游先把那个国际漫游功能先打开我这边帮您开通一下 不用的就您这个本机是吧 不用啊 
淘宝网您好请讲请问那个什么业务初始密码那个怎么弄啊您说什么业务初始密码 噢初始密码忘记了是吗我给您看一下 我这个月到这个您现在人在福建省内吗对啊打那个幺二五九零幺七这个电话打出去然后它会自动挂机过完之后就会把密码发到您手机上我给您把号码发给您您去拨打一下 
您好请说 好的请稍等我帮您看一下噢 呃密码如果忘了您本机这边是可以拿身份证件到龙岩营业厅去密码重新设置一下 
您好很高兴为您服务您好 彩铃的那个电话是吗啊那个幺二五三零 哎幺二五三零对彩铃电话嗯 
嗯您好请讲 呃移机稍等一下我帮您转我们宽带客服那边登记一下噢 
诶好的请稍等一下先生帮您查询一下噢这张卡登记过身份证嘛噢可以通过身份证来找回密码我待会儿把怎么找回的方式发过去您按照短信操作一下就可以转回来了 行我发过去哈还有其他需要帮助吗 
您好请讲 缴费发票应该是您是要改比如说呃像九月份的发票这种是吗要报销这种是吗 缴费发票那我们只有是说电子比如说我们是只有一种比如说我十月份了我可以去打您九月份的消费发票那您说的他的缴费发票是指什么呀只是说您缴费记录还是什么您是在什么什么网站上面可以问一下那个网站客服需要的是什么内容 
您好很高兴为您服务请问您现在本机号码新装移动宽带吗 麻烦您提供一下手机号码还有密码我们这边帮您做登记呃幺八二幺五九 幺零五九幺零零八 
嗯嗯呃您好请讲 呃您要升成四g卡是吗 呃如果要升成四g卡的话您需要去营业厅更换卡把这张卡更换成四g卡 
你好请说 幺零零八六幺幺 就是您要查话费余额是吧 
没您好请说 干是吗 他是这样的是五十八有现在有一种新飞享五八套餐有四百分钟通话然后三个g流量其中一百分钟的话可以在全国打全国电话三百分钟只能在本地打全国然后流量有三个g二点五g可以在福建省内用限当月用另外五百兆可以全国通用 
您好 然后那个宽带是好像 里面包含 
您好请说 要号码销户要去营业厅 但是的 
您好请讲 本机号码的彩铃功能吗 助稍等我帮您看一下 
对您好高兴为您服务 噢我这边也帮您直接转接宽带这边问一下您不要挂机哈啊嗯正在为您转接 
您好请说嗯 电子发票是吗可以了电子发票这个号码的服务密码的吗它有个那个短信随机码我们有获取的网站我把这个电子发票或者网站发给您 我把这个电话过去电子发票的网站网网址发给您 
您好很高兴为您服务 诶您好 资费怎么交 
您好请说 由他们代付发票是体现在付费的那个号码上 您在打印发票的时候它上面就会有显示显示了就是主号去打印发票 
你好你好您说 您是说哪里的号码厦门的号码 块钱然后呃就是国内的省外的一个号码然后要在这个福建省不是是哪里去厦门咱们有然后想补卡然后您是呃都有身份证然后密码都知道是吧 
您好很高兴为您服务 号码多少我帮您报你报给我一下 嗯嗯 
你好 你好 我帮您转接宽带客服他会跟您介绍然后再帮您登记您不要挂机好吗 
您好请说 你好喂您说先生 一百块钱五个g流量昂 
嗯哦中午好您说 这个是集团的那个显示如果是这种的话通过营业网点取消我们电话上也没办法做这个 您身份证原件您到营业厅把这个情况跟工作人员说一下他会帮您直接取消这个是集团方面的一个显示问题 
您好您请说 您好什么可以帮您的吗 噢就是那种异地业务的没有密码是吗 
