您好 请 说 你好 可以 听 得到 吗 嗯 您 说   呃 请问 一下 我 以前 有 一个 送 一台 什么 宽带 什么 啊 哎呀 怎么 没给 我装 呢   这个 号码 吗   对 啊 这个 号码 你 帮 我查 一下 都 都 过去 掉 了
您好 很 高兴 为您服务   请 帮 我 查询 一下 我 前天 反馈 那个 问题 怎么 还 没 帮 我 处理   好 的 那 您 稍 等 我 帮 您 查询 一下   昨天 有 打电话 还 没 帮 我 处理 今天 还要 打电话
您好 请 讲   喂 你好   有 什么 可以 帮 您   我们 这边 宽带 都 修 了 两三天 什么 时候 能 修好
您好 请 讲   诶 你 我们 这边 宽带 什么 时候 可以 还 什么 时候 可以 修好 了 都 一天 把 怎么 还 没 修好   那 我 跟 移动 宽带 啊   对 对 对
哎 您好 请 说   诶 我 想 请问 我 现在 我 手机 是 两 呃 双卡 双待 的 都 是 移动 的 号码 噢   嗯 嗯 嗯 嗯   然后 然后 那 我 现在 流量 流量 是 在 卡二 我 流流 呃 卡 有没有 流量 然后 手机 要 设置 成 到时候 有 流量 的话 就是 卡二 怎么 扣 那 要 怎么 设置 啊
你好   哎 你好 我 想 那个 宽带 已经 嗯   可以 那 您 这边 要 移到 哪里 呢   那 就是 然后 就是 当面 街 这边 嘛 就是 一到 前面 一点点 来 还是 在 这里 小姐
您好 请 说   我要 投诉 你们 那个 公司   什么 问题 呀   我 那个 宽带 家 里面 故障 从 昨天 开始 就 在 就 在 这边 跟 你们 联系 联系 到 今天
很 高兴 您 服务   对 我 现在 这个 家 里面 这个 这个 宽带 啊 这个 宽带 那个 数据 那个 网络 电视 那个 维修 人员 这么久 的 呢 它 它 都 拿 那个 核实 哪里 很多遍 都 没有 来装   我 这边 给 您 转到 我们 宽带 您 是 互联网 电视 现在 用 不了 是不是   可以 有 可是 那个 那个 师傅 上次 来修 就 来 异地 七八天 才 来 现在 来 的 那个 什么 东西 拿 去 修 的 电话 也 不接 的 也 没有 来 没
你好   您好 请 讲 你好 我 我 我 是 一 情况 这边 的 怎么 刚才 有 两个 小男孩 过来 帮 我 说 什么 那个 网络 什么 升级 现在 怎么 那个 都 不能 上网 的 他 没 搞好 啊 然后 就 走 了   您 是 说 宽带 是不是 不能 用   没错 噢 行
啊 您好 很 高兴 您 服务   那 你 上次 有个 业务员 打电话 给 我 说 套餐 改 一下 有 赠送 一个 网络 我 现在 都还没 来装 啊   比如说 宽带 是 吗 这样 他 没有 可以 看到 给 您 登记 安装 的 记录 您 稍等一下 我 帮 您 查本 机号码 是 吗   对
边 嗯 嗯 您好 请 讲   我办 了 宽带 到 现在 还 没 给 我 装呐   好 稍等一下 我 看 一下 是 本 机号码 办 的 宽带 是 吗 嗯 嗯 噢 好 那 您 等 我 一下   啊
很 高兴 为您服务 您好 请 讲 这 是 幺 零零 八六   你好 我 就 想 问 一下 我 这 手机号码 昨天 反映 了 我 的 违约金 被扣 的 钱 怎么 到 现在 都 没有 人 跟 我 联系 呃 是不是 我要 打 是不是 我要 打 三 幺 五 电话 才 可以 帮 我 处理 呢 我 要是 我要 还 三千块 钱 给 我 怎么 这 样子   呃 您好 请问   有 话费 我 电话费 发 一点点 钱 就 把 我 扣 了 那么 多钱 扣 了 二 十几块 反映 的 又 没人 没人 没人 给 我 解决 到 现在 都 没人 解决 可能 要 打要 我们 才 会 出去
啊   嗯 您好 请 说   喂   啊 您好 请 讲
嗯 您好 很 高兴 为您服务   诶 我 请问 一下 我 那个 宽带 已经 到 现在 怎么 还 没来 帮 我 办理   嗯 宽带 是 吗 你 说 移机 是 吗   对
嗯 您好 有 什么 可以 帮 您   昨天 你们 投保 了 流量 的 是 怎么 还 没 处理 好 我 昨天 投诉 啊   嗯 稍 等 先生 我 帮 您 查询   你们 没有 及时 提醒 而且 我 看 那个 流量 安心 锁 也 没用 充了 四十多 块钱 我 昨天 有 投诉 过 怎么 还 没 处理
喂 你好 请 讲 呃 您好 就是   早上 你们 打电话 跟 我 讲会 把 那个 安装 电视 那个 机顶盒 那个 师傅 的 电话 发给 我 我 等 了 一个 早上 都 没有 收到 信息   机顶盒 噢 刚才 系统 的 记录 啊 稍等一下 啊 最低 只 负责 今天 早上 诶 早上 我输 您 的 号码 早上 您 是 几点 来电 呢 呃 是 十一点多 吗 还是 几点 多   就 你们 跟 我 移动 打电话 给 我 了
哎 您好 请 讲   你 讲 那个 二 那个 昨天 反馈 的 问题 都 你 那个 没有 工作人员 跟 我 联系   我 看看 麻烦 您 稍等一下 是 关于 那个 流量 包 的 问题 是 吧   对 啊 那 现在 我 没 使用 是 失效 就是 十五块 钱 退回来 啊
嗯   您好 请 说   你好 我 刚才 我 有 一个 那个 就是 一个 和 包 那 它 随便 给 我 转接 过去 对方 都 没人接 啊   呃 它 您 是 要 和 包 什么 问题 要 咨询 呢
您好 请 说 对   喂 你好   你好   哎 我 就是说 我 这个 用 的 那个 套餐 外 流量 你们 不是 说 十五号 跟 我 返 给 我们 怎么 还 没返 给 我
对   您好 很 高兴 为您服务   诶 喂 你好 诶 你好 那个 我 我 这边 就是 它 我 这边 办 的 宽带 吗 然后 本来 说好 早上 过来 了 但是 现在 还 没 过来   噢
您好 请 讲   喂 你 你们 那个 对 移动 公司 做 事情 消费 怎么 那么 低 噢   嗯 什么 问题 要 咨询   我 这边 的 我 九月份 九月 二十 号 左右 就 向 你们 反映 说大点 一下 诶 太 王字 高兴 村村 在 这边 那个 一个 内 的 一个 那个 诶 信号 还 坏掉 了 就 跟 我 讲 不要 来修 啊 要 一定 要 来 修修 到 现在 还 没来 修 他 说 原来 是 二十九 号会 不会 来 弄弄 弄 到 现在 都 都 这块 马上 第二个 月 二十九 号楼
您好 很 高兴 为您服务 也 是 专门 来 弄 这个 东西 啦 我 宽带 报修 怎么 还 不来 啊   真的 很 抱歉 请问 是 哪个 号码 办 的 移动 宽带 呢 我 看 一下   幺 三 六 五六 九零 八九 八   幺 三 六五 还是 六九
您好 请 说   诶 我   前前   前 十几天 应该 有 预约 了 一个 什么 移动 宽带 那个 然后 你们 公司 这边 一直 没 给 我 安装
您好 很 高兴 为您服务   哎 你好   您好   啊 我 我 这边 的 宽带 哎 那 移动 的 宽带 的 呃 那个 电视 呢 出 了 问题 我 已经 打 了 很 多次 电话 你们 这边 怎么 都 不 受理 人家 给 我 投诉 啊
您好 请 说   喂 你好   恩 您好   呃 就是 为什么 我们 就 打 那个 装装 装 宽带 之后 他 电话 都 不接 的
您好 请 说   诶 你好 噢 你 我 想 按 一下 那个 我 这边 的 那个 宽带 他 经常 都 没用 没接 的 时候 来 给 我 装 的 时候 为 没 给 我 换线 我 以前 装 的 用 的 是 那个 联通 的 它 就 那个 直接 给 我 减掉 装上去 现在 经常 都 没用 然后 他 留 了 这 电话号码 给 我 呗 这个 这边 本地 可能 是 公司 的 还是 什么 的 每天 都 打 不通 都 是 关机 的   嗯 那 就 您 现在 是 经常 上 不了 网是 不会 断网 这样 是 吗   对 经常 会断 网 我 手机 都 没 办法 用 我 一般 都 用 数据 流量 我 的 这个 wifi 都 没 办法 用 了 完 有些 什么 一下子 又 没动 啦 电视 也 是 一下子 就 没 办法
您好 很 高兴 为您服务   哎 你好 是 这样 的 我 昨天 有 一个 那个 网络 了 那个 宽带 那个 那个 千 一千 的 时候 他 今天 怎么 还 还 都 没有 打电话 跟 我 联系 我 想 尽快 给 他 迁移 过去 因为 这边 我 那 两 在 这边   噢 我 看 一下 您 稍 等   恩好 谢谢
您好 请 讲   哎 你好 我 想 问 一下 就 昨天 送 我 反馈 那个 问题 怎么 到 现在 都 没有 解决   行 我 马上 帮 您 看 一下 哈 呃 看到 您 这个 视频 流量 费用 的 问题 对 不 对   对 对 对
喂 你好   您好   那个 昨天 说 我 反映 那个 情况 就是 扣费 那个 情况 怎么 不 它 没有 处理 昨天晚上 又 给 我 停机 了   我 帮 您 看 一下 处理 进度 请稍等 是 反映 本 机号码 还是 其他 号码
您好 很 高兴 为您服务   哎 你 你们 那个 我 想 投诉 身份证 投诉 我家 牵 宽带 到 现在 还 没来 牵   哇 嗯 先生 我 帮 您 查看 一下   诶 我 是 刚阳 乡下 的 很 好 然后 我 我 之前 就 说 了 再 办理 他们 今天 又 来 一个 来 一个 他 说 工程队 什么 机顶盒 啊 那 什么 什么 什么 什么 什么 什么 还 没 迁移 到 这边 来
您好   诶 您好 我 想 问 一下 每个 月 的 账单 你们 有 发短信 过来 叫 我们 到 邮箱 去 查询 但是 我们 打开 邮箱 里面 看到 没有 每个 月 消费 了 怎么 没有 明细 啊   您 这 查询 您 这个 明细 对 吗   对 我 是 要 明细
您好 请 讲   就是 那个 为什么 没有 师傅 给 我 打电话   嗯 什么 没有 电话 不好意思 刚才 没有 听 清楚 能 不能 再说 一下   就是 我 预约 了 不是 说 有 师傅 来 给 我 安装 吗 为什么 没有 给 我 打电话
您好 请 讲   诶 你好 我 想 问 一下 我 那个 之前 有 一部 手机 吗 然后 反馈 说 套餐 更改 然后 当时 里面 有 受理 做 反馈 上去 然后 是 几个 工作日 要会 退还 话费 怎么 到 现在 都还没 返 返还 呢   呃 请问 是 哪个 号码 我 给 您 查 一下 好 吗   呃 幺 三 六
您好 请 讲 你好 我 问 一下 我 上次 这个 不是 说 呃 那个 什么 呢 它 都 扣 了 我 两百多 两百 八十八 的 什么 费用 吗 那个 然后 那 宽带 的 那个 他 不是 说 要 退还给 我 怎么 还 没退 啊   好 的 是 这个 月 多 扣 两 百八十 八块钱 的 一个 宽带 设备 费用 是 吧   按 次   好 的 我 帮 您 查 一下 您 稍 等
您好   呃 喂 你好 那个 我 想 问 一下 就是 移动 营业厅 为什么 就是 经常 一段时间 就 一直 打电话 推销 流量 流量 流量 的   噢 它 可能 会 有 一些 新 的 活动 然后 跟 你 介绍   四 游客 有时候 连 着 移动 每天 都 打 这个 不同 的 号码 就是 每天 都 打 过来
嗯 哎   很 高兴 为您服务 您好   喂 您好 我 这边 就是 宽带 问题 反映 从 九月 三十 号 到 现在 怎么 就 都 没有 消息 的   您 稍 等 我 帮 您 查 一下
很 高兴 为您服务   都 想 投诉   噢 是 什么 问题 啊 女士   你们 你们 移动 是不是 有外 包 或者 什么 之类 的 怎么 每天 我 听说 我 上次 已经 投诉 过 一次 了 然后 你们 现在 是 一周 是 五十个 电话 给 我 打电话 过来 要 不要 呃 就是 那种 那 这种 套餐 五十八 八十八
嗯 嗯 你好 请 说 啊   你好 我 想 问 一下 上个月 的 那个 宽带 我 都 是 反应 过去 了 你们 那边 都 要 特别 扣 诶 我 那个 噢 对 对 是 这样 的 应该 是 这样 说 就是说 我 每个 月 的 那个 营业厅 消好 的 好 的 多少 就是说 我 上个月 的 那个 看看 扣费乱 扣费 啊 他 给 我 那个 说 钱 二十五 号 退 给 我 到 现在 都还没 充 过来 四十多 块钱 呢   您 稍 等 我 帮 您 看 一下   嗯 嗯
您好   呃 我 的 宽带 九月份 办 了 现在 还 没 修好   咱们 现在 宽带 还 不能 用 了 不要 挂机 噢 马上 噢 还 在 处理 当中 您 稍等一下 我 先查 一下 看 他 之前 的 这个 嗯 这 样子 哈   嗯
您好 高兴 为您服务 你好 哎 你好 我 下午   那 我 再 报修 的 这个 怎么 到 现在 没有 给 我 联系 呢   就是 宽带 嘛 那 您 电话 不要 挂 我 帮 您 转到 我们 宽带 负责人 那边 您 稍等一下
您好 请 讲   我 上次 那个 流量 是 什么 语音 包十 就 好 了 没有 好 的 好 的   你 说 您 现在 流量 不能 用 是 吗 还是 什么 问题 我 上次 申 申诉 的 流量   多扣 的 问题 是 申诉 到 现在 还 没 给 我 打电话 管
您好 嗯   你好 诶 我 之前 有 打电话 退 打电话 问 了 一个 九十九 的 套餐 为什么 还有 个 五十块 的 之前 没 跟 我 说 要 五十块 的 呀   二十块 不 收费 赠送 您 两年 每个 月 五十块 移动 都 会 返还 给 您 吧 请 放心 哦 那 它 有 一个 一个 g 的 省内 流量 赠送 活动 那 就 赠送 的 五十块 噢 每个 月 都 有 返还 就 相当于 说 您 第一年 每个 月 它 会 返还 六 十五块 其中 五十块 是 的 流量 的 费用 另外 的 十五块 是 我们 当时 做 宽带 活动 每个 月 返还 十五块 的 那个 第二年   每月 返 我 说 比如说 我 说 我 九十九 块 它现 它 直接 会 给 我 抵扣 六 十五块 过去
哎 您好 很 高兴 为您服务   唉 你好 我 这边 就是 留 了 一个 电话 要 联系 那个 上课 块 那个 你们 那个 经理 联系 我 然后 但是 你们 到 现在 都 没有 让 他 打电话 给 我   客户经理 呃 请问 你 当时 留 的 联系电话 是 多少 我 帮 您 查 一下   六二 幺 二
服务 你好 您好 很 高兴 为您服务   目前 那 这个 报销 的 呀 怎么 你好   您好 请 说   呃 我 问 一下 那个 宽带 嘛 就是 我们 那个 申请 那个 宽带 他 说 那个 呃 呃 有线 他 明天 帮 我们 装 呃 说 那个 电话会 联系 的 现在 还 没有 联系 我们 吧
可以 吗   您好 很 高兴 为您服务   喂 你好 你好 哎 这 样子 的 今天 是 怎么回事 啊 我 打 你 幺 零零 八六 什么 每 一次 都 很慢 什么 的 然后 还有 流量 想 问 我 想 登陆 我 的 手机 营业厅 我要 下载 账单 一直 下载 不了   是 的 因为 今天 系统 问题 所以 不能 操作 呃 建议您 晚一点 再 操作 下午 再试一下 啊
您好 很 高兴 服务   喂 你好 唉 我 就是 早上 跟 他 打过 电话 都 要 呼 那个 外地 的 外地 卡要 换卡 了 怎么 到 到 了 长寿路 这边 他 说 设备 外地 卡 没有 啊   他 可能 是 缺货   哎呀 大厦 就是 那个 别的 还 没付 啊
您好 很 高兴 为您服务 声音 大声 点 大声 点   您好 请问 听得见 吗   噢 现在 听见 了 然后 的话 跟 你 说 一下 噢 我 这 我 这个 呢 呃 上个月 这个 钱过 了 很 久 了 到 现在 没有 那个 赔付 给 我 你 看 一下 幺 三五 八五 五七 九幺七二   幺 三五 八五 五七 九 幺 七二对 吗
您好 我 是 预处理 专席 代表 很 高兴 为您服务   您好   您好 请 讲   噢 是 这 样子 的 我 上午 本来 再 打 过去 办个 副 号码 吗 然后 呢 这边 的话 因为 我 这个 月 我 也 不 知道 然后 我开 选择 一个 号码 然后 呢 我 是 但是 又 没 打印 然后 说 让 我 重新 去 打印 吗 然后 我 就 重新 再 去 找 嘛 因为 找 的话 因为 这个 继续 反应 有点 慢
您好 兴 您 服务   唉 你好 就是 我 昨天 那个 我 是 那个 澳门路 对 吗 我 那个 宽带 昨天下午 报修 的 后来 他 说 派 人来 来 了 吗 后来 说 没 来说 什么 下班 了 今天上午 来到 现在 还 没来   好 的 我 帮 您 去 催 一下 这个 手   好 的 那 谢谢
您好 很 高兴 为您服务   我 跟 你 说 刚刚 大概 电话 过来 以后 又 来 了 一个 电话 我 不 接受 他 你 你们 的 你们 的 处理   呃 我   说 还是 呃 我 追加 呀 我 还是 不 觉得 他 说 这 是 他们 领导 的 意见 对 吧 你 领导 能 代表 什么 你 能 那 你 你 你 你 你 这个 速度 本来 就是 错误 的 那 你 错误 的 你 你 你 你 拦截 你 受理 不了 你 这个 功能 对 不 对 你 认为 你 这个 广告 你 这个 广告 我 我订 了 没有 那 我 我 我 我 老百姓 现在 都 没法 现在 吃 东西 要 老 短信 要 设备 现在 你 的 广告 也 要 我 设备 你 这个 大概 东西 是不是 广告
您好 很 高兴 为您服务   唉 你好 我 上次 反映 的 那个 短信 的 那个 事情 怎么 还 没有 回复 四十八 小时 给 我 恢复   你 说 这个 号码 反映 的 问题 对 吧   对 的
您好 兴 为您服务   唉 你好 你好 我 这个 手机 充值 超 了 两天 了 北京 的 钱 为什么 到 现在 还 没有 进去 拨打 腾讯 的 电话 也 打 不通 的   就 您 这个 如果 您 开始 没有 到 账 而且 通过 他们 平台 通话 你 看 一下 他们 有 什么 加送 这个 活动 要 不 您 的 问题   我们 这里 也 没有 恢复 了 就是说 我
很 高兴 为您服务   唉 你好 我 想 问 一下 就是 我 这个 用 手机 用 手机 话费 不是 要 办理 宽带 的 业务 吗 对 吧   嗯 嗯   因为 你们 之前 打 过 电话 给 我 让 我们 来 就 我们 的 账单 安装 或者 办理 的话 我 等 了 这么 长时间 怎么 也 没人来 没人 联系 我们 怎么 说 呢
您好 兴 您 服务   你好   你好   就 刚才 我 就是 唉 刚才 我 就是 打 你 这个 电话 你 帮 我 转 那个 投诉 部 的 那边 没人接 呀
为您服务   喂 你好   您好 请 讲   我报 这个 宽带 为什么 还 没有 人 过来 说 呢
呃 您好 很 高兴 为您服务   唉 您好 我 这边 是 东方 新 地方 服务 有限公司 想 办理 十分 评价 业务   呃 就是 专门 发短信 的 平台 业务 对 吧 直接 那 我 这边 帮 您 做 一下 咨询 根据 稍后 我们 会 那 办理 的 业务经理 联系 您 可以 问 一下 具体 的 资费 和 办理 流程   噢 好 的 因为 昨天 我 又 打过 服务 你们 这边 客服 他 也 说 帮 我 办理 可是 昨天 没有 收到 那边 的 电话 就 今天 再 给 我
很 高兴 为您服务 您好   先生 我要 投诉 早上 到 我们 家来 维修 宽带 的 昨天晚上 接到 我 的   嗯 嗯 接到 您 的 客服 有 什么 问题 吗 先生   我 给 你 把 我 把 这个 情况 跟 你 说明 还 没收 我 就 我 现在 是 我 我 是 每个 月 的 套餐 是 三百 八十八 还是 四百多 忘记 了 反正 然后 由于 这个 事情 呢 你们 送 我们 不是 一年 的 宽带 吗
刚刚   没 听 清楚 的   唉 你好   不好
您好 很 高兴 为您服务   唉 你好   啊 你好 呃 我   我 这个 号码 因为 那个 实名 资料 那个 这是 什么 不 完善 永春 那 我 营业厅 营业厅 去 了 对 的
您好 我 是 预处理 专席 代表 很 高兴 为您服务 您好   唉 你好 我 投诉 的 问题 啊 你们 现在 就是说 你 能 不能 解决   对 是 信号 问题 对 吧 我 看不清 她 转接 过来 幺   对
您好 高兴 您 服务   唉 你好 我 昨天 的 时候 那个 变更 一个 宽带 的 资费 然后 那个 你们 这边 说 可以 装 那个 魔百盒 还有 什么 就是 那个 机顶盒 那个 东西 然后 约 的 是 今天上午 师傅 来 装到 现在 了 没人 跟 我 联系 也 没有 人来   就 您 办理 了 我们 的 宽带 就是 示范 没有 人 上门 帮 您 安装 魔百盒 还是 什么 什么 百合   这个 宽带 我 之前 是 装过 的 就是 变更 一下 应该 不 最低 的 什么 设备 账单
您好 兴 您 服务   喂 你好 这个 我们 那个 宽带 到 现在 还 没有 人来 上门 那   是 哪个 号码 办   幺 三 六
您好 很 高兴 为您服务   唉 你好 是 这 样子 我 是 上周 上周四 的 时候 就是 到 那个 营业厅 呃 就是说 是 安排 是 预约 好 是 周六 给 我 过来 上门 装 固定 电话 和 魔百盒 但是 到 现在 一直 也 没有 那个 安装 人员 跟 我 联系 今天 什么 时间 过来 装 呀 都 已经 到 中午 了   啊 嗯 恩 是 本 机号码 预约 安装 的 嘛   对
您好 很 高兴 为您服务   唉 你 你 你好   唉 你好   我 预约 了 一个 宽带 安装 不 知道 他 今天 交到 十二月 三号 但是 到 现在 好像 还 没来 过 电话 嘛
您好 我 是 预处理 专席 代表 很 高兴 为您服务   噢 您好 是 这样 的 是 十一月 十号 下午 我 再 要 换个 营业厅 这边 不是 办 实名 认证 吗 二十八 三 很多 事情 然后 那个 我 做 了 一个 投诉 投诉 之后 呢 说 是 四十八 小时 之内 会 给 我 回复 但是 并 没有 啊   我 看 一下   对 投诉 单号 你 要 记 一下 吧
您好 很 高兴 为您服务   呃 我 今天 办理 了 一个 那个 魔百盒 的 宽带 他们 说 下午 来装 的 我 想 问 一下 他们 到底 会 不会 来   今天 办 稍等一下 我 看 一下 啊   李平路 六十 是 哪个 号码 办理 的
您好 很 高兴 服务   我 知道 了 现在 反馈 一个 问题 你们 你们 移   移动 告诉 我 四十八 小时 之内 给 我 回复   改 一直 没有 没有
您好 很 高兴 为您服务   呃 是 这样 的 我 昨天晚上 从 六点 十分 到 八点钟 的 这 段时间 用 的 呀 他 流量 用 了 一个 g 呃 你 能 帮 我查 一下 我 昨天 我 打电话 过来 查 你们 说 帮 我 转 一个 什么 专 专人 服务 啊 给 我们 后来 就 一直 没 转过 去   嗯 我 再 帮 您 转 一下   唉 对 对 对 对 你 帮 我 先 短信 你 要么 帮 我 转到 小票 人 打过 电话 给 我 吧 我 估计 你 这个 电话 转过 去 你 现在 帮 我 转 也 没用 啊
您好 很 高兴 为您服务 你好   喂 你好 那个 我 上 上周 在 你们 移动 营业厅 办 的 业务 然后 说 叫 师傅 上门 安装 那个 就是 那个 我 上网 宽带 啊 对 啊   噢   给 我 说 是 预约 是 上 周六 然后 没 没有 人 给 我 联系 上周 你们 客服 给 我 打电话 说 因为 没有 安装 让 让 安装 人员 给 我联 联系 又 没 联系 就是 这个 都 又 又 没有 联系 你们 这是 怎么 来办 事情 啊
您好 很 高兴 为您服务   喂 你好 我 那个 接电话 刚才 你 刚才 叫 就 转 那个 电话 十几分钟 了 也 没人接 那边 到底 你们 能 不能 能 不能 能 不能 办 的 这个 是   十 十五分钟 我 接电话 的 问题 什么 问题   啊
您好 兴 您 服务 您好   喂 你好 喂 我 想 问 一下 上网 通知 上午 来 按照 那个 宽带 的 到 现在 还 没来   那 我 这边 帮 您 转到 宽带 三十八 查 一下 这边 不要 挂机 那 请稍等 为 您 看 解决问题 电话 转 专席 处理
您好 很 高兴 为您服务   你好 我 想 问 一下 就是 我 之前 用 这个 号码 预约 的 就是 今天上午 过来 装 宽带 的 但是 到 现在 是 还 没有 出现 是 什么 情况   呃 我 看 一下 请稍等 是 这个 来电 的 手机 对 吗 小姐   唉 对
您好 我 是 预处理 专席 代表 很 高兴 为您服务 您好   我 刚才 你们 昨天 交到 电信 前 我 到底 里面 付 就 用 跟 他 想 他 现在 打 过 你们 电话 你们 给 我 等 四十八 小时 上去 三七 八八 前天 也 跟 他 再 大钱 六月 一一 一个月 给 我 再 发 一次 你们 这个 问题 解决 了 没有   那 真的 不好意思 给 您 添麻烦 了 我 看 了 一下 问题 这边 还是 在 处理 当中 啊   怎么 再付 怎么 在 处理 当中 了
嗯 嗯 嗯 嗯   您好 我 是 上海 移动 客服 中心 投诉 处理 专席 工号 幺 零七 六二 很 高兴 为您服务   你好 我 等 一下 你 你 你 你 发短信 他 不好 幺 零七 六二 多少   是 的
